TimesH,Frame,NoMissing,2,2,4,4,7,7,8,8,10,10,15,15,16,16,17,17,21,21,22,22,27,27,33,33,36,36,38,38,39,39,44,44,46,46,48,48,49,49,51,51,53,53,54,54,59,59,65,65,66,66,68,68,69,69,71,71,73,73,75,75,79,79,81,81,84,84,87,87,92,92,93,93,94,94,98,98,106,106,119,119,121,121,124,124,127,127,130,130,131,131,137,137,139,139,140,140,141,141,142,142,146,146,147,147,149,149,153,153,158,158,166,166,170,170,171,171,173,173,175,175,177,177,178,178,185,185,186,186,189,189,194,194,195,195,208,208,214,214,235,235,273,273,275,275,297,297,300,300,306,306,312,312,317,317,322,322,332,332,337,337,338,338,339,339,341,341,345,345,381,381,612,612,901,901,926,926,941,941
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,203.785,91.211,190.037,87.41,233.75900000000001,87.08200000000001,250.071,84.97399999999999,89.935,87.4,136.12,83.821,129.286,98.573,222.858,95.806,80.229,96.037,186.18599999999998,95.74799999999999,100.645,94.742,206.919,106.709,121.42399999999999,104.39,247.765,106.50200000000001,195.00099999999998,106.345,196.96099999999998,99.079,118.214,117.09899999999999,192.544,118.84700000000001,107.552,119.508,263.065,113.631,202.08700000000002,114.611,136.226,111.669,216.88299999999998,107.65799999999999,233.393,129.091,113.805,127.01899999999999,86.60600000000001,128.42700000000002,124.641,126.81299999999999,91.441,124.29,220.12099999999998,124.40299999999999,99.678,120.77,185.69299999999998,136.039,99.719,138.477,125.027,134.62,115.82,133.651,214.37099999999998,131.45600000000002,262.94599999999997,144.72899999999998,229.4,144.74200000000002,121.416,143.282,199.979,139.6,108.066,148.686,88.76899999999999,145.89,190.43099999999998,160.975,209.643,160.65200000000002,125.08200000000001,158.52700000000002,84.943,156.91299999999998,200.692,156.095,221.595,169.239,204.739,168.852,103.618,171.14,244.977,169.139,84.368,168.722,54.843,167.433,122.96700000000001,167.042,65.021,165.77700000000002,112.35,176.273,69.77199999999999,173.942,188.31900000000002,171.77,205.38299999999998,181.863,102.056,183.47799999999998,73.685,181.358,110.06299999999999,182.243,195.32299999999998,180.768,213.09099999999998,177.69099999999997,121.226,178.34400000000002,229.446,191.575,87.891,188.274,214.447,185.47299999999998,207.551,195.672,214.28,192.365,3.0,217.0,112.594,36.45,236.373,35.527,123.024,37.806,93.36399999999999,59.027,204.162,57.41,92.571,50.438,202.294,67.82600000000001,93.064,68.414,107.81299999999999,79.947,120.686,76.306,91.758,79.317,217.94299999999998,77.616,107.20200000000001,71.324,80.737,71.05199999999999,,,,,,,,,,
0.25,1.0,,203.767,91.19200000000001,189.93,87.334,233.78099999999998,87.10799999999999,250.08900000000003,85.00299999999999,89.932,87.355,136.129,83.794,129.297,98.566,222.862,95.807,80.22399999999999,96.01899999999999,186.2,95.73299999999999,100.648,94.758,206.891,106.662,121.42299999999999,104.37100000000001,247.683,106.48,194.99200000000002,106.38799999999999,196.77200000000002,99.225,118.064,117.13,192.5,118.825,107.494,119.506,263.055,113.70700000000001,202.08900000000003,114.588,136.226,111.682,216.90099999999998,107.615,233.393,129.084,113.79299999999999,126.98200000000001,86.605,128.401,124.589,126.79700000000001,91.421,124.26100000000001,220.12,124.42,99.445,120.55,185.688,136.035,99.71,138.356,124.98700000000001,134.601,115.76700000000001,133.643,214.328,131.44,262.972,144.75,229.373,144.768,121.436,143.253,200.01,139.545,108.085,148.724,88.723,145.875,190.43200000000002,160.935,209.658,160.649,125.012,158.506,84.965,156.923,200.74099999999999,156.02200000000002,221.60299999999998,169.245,204.761,168.812,103.588,171.13099999999997,244.997,169.141,84.339,168.692,54.791000000000004,167.429,122.956,167.002,65.042,165.791,112.31700000000001,176.30900000000003,69.774,173.898,188.41,171.72400000000002,205.35299999999998,181.735,102.068,183.519,73.704,181.31799999999998,110.035,182.238,195.3,180.761,213.097,177.669,121.23,178.328,229.451,191.565,87.852,188.207,214.417,185.467,207.55200000000002,195.65200000000002,214.27,192.34400000000002,3.0,217.0,112.552,36.431999999999995,236.396,35.564,123.05,37.611999999999995,93.306,59.055,204.183,57.388000000000005,92.54299999999999,50.396,202.24900000000002,67.805,93.05799999999999,68.39699999999999,107.749,79.90899999999999,120.684,76.315,91.75200000000001,79.33800000000001,217.929,77.65,107.209,71.331,80.64699999999999,70.957,,,,,,,,,,
0.5,2.0,,203.735,91.081,190.011,87.12899999999999,233.783,87.102,250.09099999999998,84.9,89.914,87.321,136.10299999999998,83.79,129.28799999999998,98.545,222.87900000000002,95.83200000000001,80.206,95.973,186.15099999999998,95.773,100.63799999999999,94.73200000000001,206.922,106.74,121.43,104.32,247.674,106.465,195.074,106.279,196.822,98.95700000000001,118.024,117.089,192.455,118.772,107.49700000000001,119.434,263.103,113.709,202.08599999999998,114.544,136.247,111.721,216.92700000000002,107.54899999999999,233.40099999999998,129.046,113.79899999999999,126.978,86.553,128.453,124.555,126.885,91.416,124.24799999999999,220.105,124.345,99.454,120.65799999999999,185.687,135.995,99.786,138.346,125.009,134.55100000000002,115.8,133.648,214.31900000000002,131.39700000000002,262.969,144.748,229.37099999999998,144.763,121.383,143.279,200.00900000000001,139.434,108.061,148.715,88.696,145.85,190.412,160.937,209.67,160.666,124.831,158.375,84.905,156.918,200.782,156.018,221.622,169.23,204.78400000000002,168.817,103.646,171.06799999999998,245.023,169.12599999999998,84.353,168.713,54.763999999999996,167.42700000000002,122.90700000000001,166.982,64.964,165.77200000000002,112.30799999999999,176.265,69.75,173.899,188.446,171.60299999999998,205.40599999999998,181.804,102.057,183.55599999999998,73.668,181.322,110.014,182.217,195.322,180.747,213.113,177.649,121.196,178.34900000000002,229.458,191.577,87.804,188.11,214.373,185.523,207.532,195.567,214.28599999999997,192.313,3.0,217.0,112.57799999999999,36.412,236.37900000000002,35.521,123.3,37.571,93.33,59.065,204.18200000000002,57.361000000000004,92.544,50.37,202.169,67.762,93.03299999999999,68.385,107.57,79.544,120.684,76.32,91.726,79.343,217.915,77.66,107.205,71.332,80.598,70.832,124.729,152.34799999999998,,,,,,,,
0.75,3.0,,203.65099999999998,90.916,189.857,87.226,233.825,87.119,250.12599999999998,84.869,89.925,87.29,136.062,83.818,129.235,98.485,222.90200000000002,95.815,80.14399999999999,95.95700000000001,186.18099999999998,95.771,100.64299999999999,94.726,206.93200000000002,106.72200000000001,121.40799999999999,104.316,247.68,106.431,195.08599999999998,106.257,196.912,98.802,117.932,117.101,192.457,118.73700000000001,107.421,119.37,263.105,113.678,202.076,114.541,136.255,111.715,216.93,107.589,233.391,129.039,113.803,126.98299999999999,86.53299999999999,128.437,124.505,126.713,91.431,124.228,220.065,124.271,99.57799999999999,120.74600000000001,185.68099999999998,136.007,99.73200000000001,138.333,125.036,134.55200000000002,115.82600000000001,133.66299999999998,214.352,131.406,262.907,144.766,229.363,144.734,121.417,143.296,200.03799999999998,139.496,108.05799999999999,148.69,88.685,145.839,190.40099999999998,160.917,209.66400000000002,160.654,124.852,158.374,84.88799999999999,156.916,200.774,156.077,221.641,169.209,204.77900000000002,168.84,103.697,171.019,245.021,169.135,84.32,168.699,54.703,167.37900000000002,122.83200000000001,166.989,64.968,165.75599999999997,112.33200000000001,176.215,69.667,173.862,188.467,171.65599999999998,205.47299999999998,181.907,101.939,183.433,73.652,181.267,110.008,182.209,195.331,180.717,213.09,177.64700000000002,121.175,178.37400000000002,229.50900000000001,191.543,87.85600000000001,188.082,214.482,185.53099999999998,207.48,195.514,214.30700000000002,192.291,3.0,217.0,112.56200000000001,36.411,236.435,35.554,123.251,37.828,93.29299999999999,59.022,204.22400000000002,57.38,92.535,50.336000000000006,202.11700000000002,67.773,93.05799999999999,68.374,107.565,79.558,120.675,76.305,91.762,79.372,217.895,77.654,107.249,71.312,80.525,70.689,124.762,152.214,,,,,,,,
1.0,4.0,,203.57,90.78200000000001,189.892,87.275,233.829,87.101,250.123,84.781,89.944,87.28399999999999,136.032,83.758,129.215,98.493,222.91400000000002,95.78200000000001,80.06,95.96,186.115,95.745,100.62799999999999,94.715,206.96,106.73700000000001,121.37200000000001,104.31,247.67700000000002,106.367,195.148,106.209,196.907,98.905,117.865,117.10600000000001,192.489,118.736,107.39399999999999,119.353,263.105,113.661,202.074,114.52,136.263,111.709,216.963,107.555,233.453,129.028,113.82799999999999,127.008,86.531,128.41,124.361,126.676,91.43799999999999,124.212,220.09099999999998,124.265,99.52,120.70200000000001,185.606,136.043,99.741,138.342,124.975,134.53,115.775,133.644,214.25,131.415,262.933,144.691,229.34900000000002,144.747,121.355,143.265,199.97299999999998,139.33100000000002,108.027,148.66299999999998,88.615,145.825,190.388,160.912,209.65099999999998,160.619,124.79,158.33700000000002,84.86,156.925,200.774,156.006,221.61,169.19799999999998,204.817,168.813,103.635,171.046,245.03900000000002,169.136,84.285,168.71200000000002,54.703,167.35299999999998,122.785,166.993,64.98899999999999,165.705,112.337,176.12,69.6,173.84799999999998,188.55,171.593,205.43,181.833,101.93299999999999,183.44099999999997,73.679,181.275,110.0,182.175,195.331,180.75400000000002,213.097,177.62400000000002,121.17200000000001,178.398,229.61599999999999,191.36,87.85,188.08900000000003,214.61599999999999,185.35,207.511,195.57,214.34,192.278,3.0,217.0,112.546,36.385,236.392,35.639,123.26299999999999,37.797,93.258,59.044,204.25400000000002,57.397,92.546,50.291000000000004,202.15200000000002,67.834,93.068,68.351,108.0,80.0,120.67399999999999,76.27600000000001,91.725,79.33800000000001,217.87599999999998,77.658,107.206,71.297,80.57600000000001,70.73,124.73700000000001,152.208,,,,,,,,
1.25,5.0,,203.549,90.80799999999999,189.977,87.26100000000001,233.798,87.027,250.136,84.77,89.916,87.26799999999999,136.05700000000002,83.735,129.209,98.43799999999999,222.93200000000002,95.774,80.045,95.92399999999999,186.11599999999999,95.765,100.63,94.71799999999999,206.98,106.741,121.346,104.27600000000001,247.72299999999998,106.41,195.2,106.287,196.868,98.84,117.728,117.10700000000001,192.50599999999997,118.75399999999999,107.389,119.329,263.075,113.61399999999999,202.079,114.51,136.283,111.671,216.968,107.56,233.49599999999998,129.05,113.789,126.971,86.55,128.39,124.325,126.794,91.434,124.206,220.1,124.235,99.545,120.661,185.625,136.07399999999998,99.93799999999999,138.36,124.969,134.54,115.79700000000001,133.629,214.262,131.445,262.938,144.766,229.363,144.727,121.315,143.263,200.012,139.475,107.978,148.666,88.58200000000001,145.805,190.363,160.966,209.69299999999998,160.615,124.745,158.315,84.87100000000001,156.92700000000002,200.77700000000002,155.86,221.609,169.172,204.834,168.787,103.639,171.02,245.05900000000003,169.138,84.25,168.71200000000002,54.696000000000005,167.313,122.82799999999999,166.99200000000002,64.967,165.81599999999997,112.295,176.18,69.542,173.83,188.47400000000002,171.50799999999998,205.468,181.83,101.898,183.40900000000002,73.714,181.28,109.98700000000001,182.176,195.329,180.737,213.09,177.606,121.196,178.44299999999998,229.687,191.247,87.757,188.03099999999998,214.607,185.312,207.49900000000002,195.532,214.331,192.25599999999997,3.0,217.0,112.59200000000001,36.424,236.44799999999998,35.611999999999995,123.194,37.904,93.249,59.0,204.25900000000001,57.318999999999996,92.536,50.324,202.09900000000002,67.807,93.059,68.32300000000001,108.0,80.0,120.667,76.271,91.712,79.319,217.86900000000003,77.579,107.155,71.252,80.634,70.858,124.666,152.18200000000002,,,,,,,,
1.5,6.0,,203.542,90.74799999999999,190.03099999999998,87.257,233.78,87.031,250.13,84.729,90.001,87.256,136.062,83.619,129.22,98.421,222.945,95.75,80.015,95.885,186.12900000000002,95.76,100.62700000000001,94.68700000000001,206.975,106.71,121.323,104.256,247.81599999999997,106.429,195.235,106.245,196.888,98.87299999999999,117.626,117.09700000000001,192.53400000000002,118.635,107.35799999999999,119.30799999999999,263.164,113.574,202.08,114.509,136.248,111.682,217.002,107.51,233.585,129.05,113.79,126.90700000000001,86.50200000000001,128.386,124.348,126.839,91.475,124.223,220.143,124.2,99.53,120.546,185.58900000000003,136.153,99.835,138.403,124.896,134.39,115.79,133.594,214.324,131.452,263.033,144.721,229.389,144.671,121.36200000000001,143.269,199.97400000000002,139.498,107.93799999999999,148.666,88.589,145.739,190.33599999999998,160.939,209.706,160.59799999999998,124.62200000000001,158.222,84.881,156.934,200.769,155.8,221.567,169.176,204.847,168.78,103.647,170.987,245.049,169.146,84.22200000000001,168.667,54.672,167.27599999999998,122.816,166.988,64.90100000000001,165.797,112.242,176.24,69.49,173.8,188.495,171.373,205.65900000000002,181.86,101.881,183.418,73.681,181.255,109.97399999999999,182.175,195.333,180.697,213.106,177.604,121.18799999999999,178.44099999999997,229.718,191.185,87.726,188.017,214.623,185.222,207.52200000000002,195.49,214.343,192.267,3.0,217.0,112.596,36.405,236.515,35.586999999999996,123.226,37.813,93.238,58.976000000000006,204.261,57.236000000000004,92.546,50.345,202.18099999999998,67.825,93.055,68.313,107.59200000000001,79.524,120.66799999999999,76.266,91.68799999999999,79.282,217.899,77.535,107.156,71.22,80.602,70.844,124.618,152.09,,,,,,,,
1.75,7.0,,203.482,90.61200000000001,190.146,87.265,233.765,87.01799999999999,250.104,84.66,90.00200000000001,87.25399999999999,136.07299999999998,83.589,129.22299999999998,98.405,222.96900000000002,95.73899999999999,79.956,95.86,186.102,95.775,100.611,94.684,207.02599999999998,106.71700000000001,121.29700000000001,104.26299999999999,247.78599999999997,106.416,195.28,106.182,196.947,98.90100000000001,117.682,117.02799999999999,192.597,118.696,107.346,119.28299999999999,263.183,113.54899999999999,202.08599999999998,114.493,136.215,111.689,217.019,107.45700000000001,233.59,129.05100000000002,113.78399999999999,126.929,86.521,128.34,124.445,126.833,91.42399999999999,124.213,220.16,124.21700000000001,99.46799999999999,120.44200000000001,185.514,136.23,99.814,138.414,124.745,134.30200000000002,115.786,133.60299999999998,214.305,131.469,262.907,144.651,229.44099999999997,144.629,121.32799999999999,143.278,199.96200000000002,139.55,107.883,148.672,88.54799999999999,145.726,190.328,160.912,209.733,160.59799999999998,124.60799999999999,158.216,84.86200000000001,156.851,200.75,155.681,221.551,169.15,204.856,168.765,103.605,171.0,245.035,169.144,84.20299999999999,168.688,54.618,167.247,122.76,166.96099999999998,64.873,165.79,112.20299999999999,176.25099999999998,69.46,173.77700000000002,188.56,171.45,205.757,181.84900000000002,101.81299999999999,183.34099999999998,73.631,181.22099999999998,109.95,182.15,195.35,180.72099999999998,213.11700000000002,177.576,121.20200000000001,178.425,229.78400000000002,191.06900000000002,87.72,188.005,214.64700000000002,185.17,207.532,195.485,214.36700000000002,192.21400000000003,3.0,217.0,112.57,36.454,236.50599999999997,35.571999999999996,123.27799999999999,37.885999999999996,93.26299999999999,58.976000000000006,204.269,57.2,92.49799999999999,50.347,202.123,67.741,93.04299999999999,68.281,107.58,79.477,120.662,76.258,91.665,79.251,217.92,77.47800000000001,107.11,71.154,80.595,70.835,124.579,152.099,,,,,,,,
