TimesH,Frame,NoMissing,11,11,45,45,52,52,54,54,55,55,57,57,66,66,81,81,82,82,83,83,94,94,98,98,103,103,104,104,105,105,106,106,107,107,116,116,126,126,130,130,140,140,148,148,149,149,152,152,154,154,157,157,158,158,159,159,166,166,171,171,173,173,188,188,194,194,195,195,198,198,209,209,210,210,212,212,219,219,222,222,224,224,227,227,228,228,230,230,238,238,241,241,245,245,246,246,251,251,257,257,258,258,261,261,263,263,266,266,267,267,269,269,286,286,288,288,291,291,292,292,297,297,298,298,304,304,306,306,318,318,321,321,322,322,324,324,326,326,329,329,333,333,336,336,341,341,347,347,350,350,356,356,361,361,362,362,368,368,373,373,376,376,400,400,416,416,444,444,449,449,451,451,453,453,457,457,537,537,538,538,611,611,682,682,800,800,888,888,896,896,974,974
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,95.55,52.648999999999994,216.35,70.143,120.04299999999999,72.382,59.835,73.279,112.337,73.183,81.834,75.12100000000001,74.152,77.229,77.023,82.97399999999999,108.045,83.33200000000001,112.65899999999999,83.162,236.543,85.617,101.837,87.54700000000001,118.219,90.928,57.618,90.137,88.92,89.87799999999999,201.99400000000003,89.774,128.741,90.637,80.411,95.23100000000001,229.804,97.244,128.582,99.04,210.148,103.18700000000001,81.107,106.875,189.865,113.374,248.282,106.431,86.927,108.384,93.419,109.43299999999999,112.396,109.04,126.935,108.43700000000001,134.086,110.689,189.12099999999998,117.09299999999999,243.465,113.51299999999999,,,100.958,122.615,203.30900000000003,119.24,118.90700000000001,122.929,236.732,127.53399999999999,245.842,126.936,195.295,128.395,135.457,129.924,206.918,132.96,86.846,134.526,180.261,134.986,217.718,135.019,194.388,136.214,69.087,139.468,236.416,138.924,119.23899999999999,141.226,132.394,140.881,100.025,144.97799999999998,111.73899999999999,146.799,136.31799999999998,147.144,195.74200000000002,148.481,222.093,149.61700000000002,76.298,151.453,127.619,151.95,106.523,152.95,95.795,157.58,117.5,158.989,81.843,161.546,243.363,160.751,89.77799999999999,162.977,124.665,163.359,103.898,163.72799999999998,194.27200000000002,165.112,251.747,171.08,102.47399999999999,171.93,114.09,171.65599999999998,200.403,172.362,82.302,172.68400000000003,73.47800000000001,174.49,121.855,176.47799999999998,241.25799999999998,177.104,,,203.447,182.765,85.939,183.981,97.07600000000001,186.829,187.15,188.329,240.91,188.46599999999998,226.928,191.032,86.36399999999999,195.308,106.405,198.293,3.0,217.0,97.756,14.540999999999999,111.175,35.823,72.288,38.274,206.438,38.415,80.241,38.764,105.971,43.18899999999999,,,,,,,,,,,,,,,,
0.25,1.0,,95.49600000000001,52.506,216.35,70.182,120.035,72.39,59.838,73.259,112.37700000000001,73.133,81.855,75.035,74.16,77.278,77.057,82.98200000000001,108.04700000000001,83.277,112.51799999999999,83.29299999999999,236.579,85.54299999999999,101.77,87.501,118.26,90.764,57.766000000000005,90.185,88.935,89.819,202.023,89.74,128.74200000000002,90.709,80.366,95.29899999999999,229.84400000000002,97.21,128.561,99.025,210.078,103.055,81.083,106.844,192.15,108.323,248.22799999999998,106.395,86.939,108.36200000000001,93.219,109.37899999999999,112.51299999999999,109.064,126.978,108.421,134.05,110.708,189.65900000000002,114.166,243.53799999999998,113.54,,,100.99600000000001,122.609,205.332,121.527,118.916,122.88600000000001,236.785,127.48299999999999,245.91,126.963,195.415,128.306,135.369,130.026,206.899,132.936,86.675,134.393,180.36,134.84,217.672,135.02,194.313,136.114,69.081,139.434,236.421,138.841,119.10700000000001,141.20600000000002,132.303,140.857,99.94,144.89700000000002,111.693,146.71200000000002,136.162,147.05700000000002,195.804,148.47799999999998,222.139,149.519,76.33800000000001,151.401,127.64200000000001,151.92,106.45,152.722,95.65299999999999,157.609,117.50200000000001,159.112,81.87899999999999,161.362,243.26,160.71,89.69,162.984,124.648,163.313,103.855,163.79,194.34,164.985,251.812,171.023,102.46600000000001,171.886,114.012,171.765,200.46200000000002,172.278,82.259,172.838,73.234,174.468,121.839,176.44,241.303,177.074,253.535,179.842,203.544,182.71900000000002,85.86,184.005,96.97,186.71,187.157,188.28400000000002,240.852,188.554,226.922,191.043,86.43,195.41299999999998,106.54700000000001,198.31900000000002,3.0,217.0,97.755,14.540999999999999,111.50299999999999,35.894,72.398,38.255,206.359,38.594,80.321,38.73,106.052,43.01,,,,,,,,,,,,,,,,
0.5,2.0,,95.538,52.56100000000001,216.35,70.117,120.083,72.59100000000001,59.791000000000004,73.252,112.428,73.127,81.92399999999999,75.01,74.2,77.34899999999999,77.061,82.96600000000001,108.00299999999999,83.14299999999999,112.587,83.09700000000001,236.683,85.47399999999999,101.712,87.566,118.929,89.796,57.815,90.189,88.75200000000001,89.861,202.02,89.742,128.74200000000002,90.681,80.38,95.38600000000001,229.798,97.177,128.417,99.075,210.144,102.99,81.096,106.868,195.78,107.23100000000001,248.239,106.43799999999999,86.914,108.34100000000001,93.23100000000001,109.375,112.54899999999999,109.023,127.083,108.531,134.035,110.678,189.757,113.7,243.46900000000002,113.53399999999999,189.167,118.209,100.975,122.57600000000001,205.0,121.0,118.854,122.884,236.757,127.375,245.792,126.81200000000001,195.525,128.491,135.33,130.02700000000002,206.899,132.92700000000002,86.65700000000001,134.329,180.41099999999997,134.642,217.65200000000002,135.02100000000002,194.255,136.1,69.157,139.366,236.389,138.88,118.95299999999999,140.986,132.24,140.81799999999998,99.79899999999999,144.835,111.652,146.644,136.165,146.99,195.832,148.439,222.21099999999998,149.486,76.312,151.352,127.42200000000001,151.91899999999998,106.367,152.662,95.586,157.609,117.553,159.21200000000002,81.832,161.501,243.34400000000002,160.738,89.645,162.982,124.704,163.241,103.848,163.819,194.295,164.925,251.84799999999998,170.985,102.459,171.857,113.97399999999999,171.854,200.47,172.271,82.226,173.028,73.21,174.438,121.853,176.398,241.335,177.11700000000002,253.595,179.80700000000002,203.637,182.69299999999998,85.87200000000001,183.993,96.925,186.773,187.18,188.21,240.90099999999998,188.542,226.851,191.028,86.465,195.334,106.465,198.207,3.0,217.0,97.73700000000001,14.565,111.508,35.830999999999996,72.493,38.323,206.748,38.228,80.339,38.756,106.085,43.018,,,,,,,,,,,,,,,,
0.75,3.0,,95.49600000000001,52.445,216.355,70.012,120.07799999999999,72.564,59.782,73.253,112.414,73.09899999999999,81.984,75.014,74.212,77.428,77.087,82.904,107.956,83.08,112.62700000000001,83.051,236.62900000000002,85.414,101.68700000000001,87.66,119.36399999999999,89.225,57.716,89.94,88.837,89.766,202.013,89.758,128.829,90.73899999999999,80.336,95.395,229.81799999999998,97.116,128.524,99.096,210.113,102.991,80.99,106.785,196.007,106.979,248.292,106.505,86.87899999999999,108.31700000000001,93.17399999999999,109.229,112.56700000000001,109.00399999999999,127.081,108.60600000000001,134.013,110.65799999999999,189.79,113.758,243.31900000000002,113.52600000000001,189.201,118.095,101.01700000000001,122.493,205.493,121.561,118.744,122.82600000000001,236.792,127.287,245.84900000000002,126.833,195.592,128.436,135.30100000000002,130.055,206.967,132.925,86.59100000000001,134.285,180.37099999999998,134.671,217.65,134.983,194.232,135.94799999999998,69.122,139.33,236.392,138.868,118.87899999999999,140.899,132.22899999999998,140.795,99.757,144.795,111.522,146.666,136.181,147.032,195.865,148.457,222.24400000000003,149.435,76.345,151.332,127.45299999999999,151.923,106.32,152.653,95.506,157.514,117.52600000000001,159.16299999999998,81.896,161.18,243.27900000000002,160.704,89.632,162.986,124.77600000000001,163.155,103.82,163.812,194.362,164.828,251.84,170.859,102.37799999999999,171.797,113.93,171.926,200.416,172.245,82.25299999999999,173.079,73.21,174.41299999999998,121.804,176.40400000000002,241.415,177.197,253.733,179.815,203.68599999999998,182.64700000000002,85.87799999999999,183.96599999999998,96.838,186.71599999999998,187.18400000000003,188.111,240.956,188.46200000000002,226.887,190.995,86.54,195.36599999999999,106.59700000000001,198.236,3.0,217.0,97.757,14.595,111.43299999999999,35.778,72.508,38.327,206.692,38.062,80.278,38.722,106.148,43.022,,,,,,,,,,,,,,,,
1.0,4.0,,95.556,52.51,216.308,70.002,120.022,72.442,59.777,73.18,112.46799999999999,73.046,81.98899999999999,75.092,74.17,77.441,77.083,82.84,107.944,83.044,112.87,82.911,236.787,85.307,101.66799999999999,87.557,119.566,88.931,57.74100000000001,89.885,88.90700000000001,89.68700000000001,202.044,89.70200000000001,128.925,90.721,80.30199999999999,95.45299999999999,229.696,97.038,128.514,99.089,210.062,102.995,80.946,106.74,196.287,106.96700000000001,248.363,106.48100000000001,86.855,108.275,93.15899999999999,109.25399999999999,112.566,108.986,127.124,108.537,133.983,110.64399999999999,189.858,113.27600000000001,243.359,113.572,189.032,118.529,101.025,122.414,205.69099999999997,121.66,118.66799999999999,122.79700000000001,236.79,127.26700000000001,245.892,126.779,195.62900000000002,128.336,135.282,130.014,206.988,132.888,86.54899999999999,134.244,180.53,134.623,217.65099999999998,134.95600000000002,194.343,135.971,69.157,139.327,236.391,138.718,118.853,140.839,132.235,140.734,99.669,144.764,111.54799999999999,146.578,136.14700000000002,146.915,195.88400000000001,148.444,222.235,149.381,76.46300000000001,151.21200000000002,127.32,151.83700000000002,106.255,152.611,95.455,157.542,117.55,159.35299999999998,81.979,160.93200000000002,243.33900000000003,160.74200000000002,89.63600000000001,162.906,124.751,163.121,103.819,163.76,194.521,164.66299999999998,251.868,170.9,102.324,171.74900000000002,113.82700000000001,171.945,200.486,172.166,82.26799999999999,173.072,73.125,174.36900000000003,121.795,176.37,241.429,177.18,253.717,179.90900000000002,203.71200000000002,182.593,85.831,183.937,96.87100000000001,186.706,187.14,188.13299999999998,241.023,188.419,226.86,190.972,86.46,195.114,106.58200000000001,198.196,3.0,217.0,97.68,14.618,111.507,35.743,72.319,38.231,206.771,37.861,80.252,38.672,106.21799999999999,42.988,,,,,,,,,,,,,,,,
1.25,5.0,,95.544,52.44,216.275,70.051,120.071,72.486,59.755,73.089,112.45100000000001,73.03699999999999,82.064,75.113,74.183,77.42699999999999,77.111,82.831,107.921,83.05,113.016,82.791,236.87099999999998,85.2,101.661,87.551,118.23700000000001,90.667,57.751000000000005,89.829,88.87700000000001,89.615,202.09,89.64,128.922,90.667,80.29899999999999,95.48700000000001,229.609,97.025,128.545,99.056,210.002,103.03200000000001,80.816,106.694,196.49099999999999,106.816,248.358,106.49799999999999,86.835,108.273,93.054,109.17399999999999,112.499,108.98100000000001,127.089,108.505,133.881,110.585,189.87599999999998,113.06299999999999,243.351,113.557,189.22299999999998,118.197,100.99600000000001,122.381,205.793,121.65,118.654,122.78,236.851,127.209,245.888,126.756,195.65099999999998,128.106,135.28799999999998,129.969,207.017,132.834,86.554,134.154,180.48,134.54399999999998,217.687,134.912,194.227,135.936,69.28699999999999,139.261,236.34599999999998,138.595,118.76700000000001,140.77,132.16,140.732,99.65,144.741,111.46,146.59,136.123,146.903,195.90599999999998,148.446,222.167,149.308,76.486,151.235,127.20200000000001,151.811,106.219,152.476,95.501,157.477,117.57799999999999,159.379,81.978,160.781,243.28400000000002,160.612,89.572,162.81799999999998,124.749,163.082,103.77,163.776,194.821,164.322,251.90099999999998,170.955,102.28,171.736,113.76899999999999,171.97099999999998,200.437,172.085,82.30799999999999,173.082,73.12100000000001,174.44299999999998,121.811,176.312,241.43200000000002,177.15,253.82,179.87,203.739,182.51,85.84100000000001,183.91299999999998,96.82700000000001,186.625,187.13299999999998,187.96900000000002,241.06900000000002,188.358,226.856,190.951,86.64399999999999,195.544,106.529,198.071,3.0,217.0,97.728,14.677999999999999,111.46799999999999,35.721,72.502,38.239000000000004,206.78900000000002,37.933,80.233,38.639,106.155,43.016000000000005,,,,,,,,,,,,,,,,
1.5,6.0,,95.52,52.494,216.322,70.025,120.156,72.442,59.76,73.10300000000001,112.37899999999999,72.87100000000001,81.988,75.14399999999999,74.186,77.365,77.047,82.791,107.897,82.985,113.03200000000001,82.70200000000001,236.928,85.16,101.631,87.473,118.206,90.531,57.753,89.757,88.84100000000001,89.649,202.077,89.65,128.91899999999998,90.64,80.267,95.413,229.453,96.92200000000001,128.562,99.05,209.84900000000002,103.094,80.715,106.68799999999999,196.535,106.889,248.34099999999998,106.384,86.809,108.22,93.10600000000001,109.194,112.505,108.975,127.085,108.538,133.893,110.527,189.87599999999998,112.88600000000001,243.31799999999998,113.49600000000001,189.31799999999998,117.999,100.90100000000001,122.36200000000001,205.805,121.571,118.62299999999999,122.76899999999999,236.87,127.244,245.903,126.79700000000001,195.68599999999998,128.04,135.278,129.924,207.015,132.82299999999998,86.506,134.20600000000002,180.382,134.49200000000002,217.688,134.935,194.13099999999997,135.797,69.29,139.276,236.343,138.64600000000002,118.741,140.776,132.077,140.721,99.556,144.684,111.465,146.54399999999998,136.127,146.904,195.922,148.45,222.15200000000002,149.296,76.447,151.209,127.156,151.845,106.135,152.4,95.512,157.504,117.492,159.116,82.00299999999999,160.642,243.393,160.572,89.55799999999999,162.944,124.671,163.096,103.779,163.815,194.757,164.298,251.951,170.94400000000002,102.262,171.68599999999998,113.773,171.97099999999998,200.41099999999997,172.076,82.273,173.083,73.02,174.485,121.81700000000001,176.274,241.607,177.27900000000002,253.958,179.832,203.782,182.476,85.818,183.862,96.756,186.50599999999997,187.144,187.847,241.06799999999998,188.372,226.794,190.918,86.648,195.532,106.564,198.033,3.0,217.0,97.678,14.668,111.61200000000001,35.692,72.513,38.313,206.85,37.939,80.252,38.654,106.11,42.983999999999995,,,,,,,,,,,,,,,,
1.75,7.0,,95.58200000000001,52.54600000000001,216.31599999999997,69.998,120.145,72.41,59.781000000000006,73.096,112.385,72.766,81.88,75.143,74.189,77.354,77.072,82.775,107.91,82.986,113.18,82.54799999999999,237.03599999999997,85.194,101.698,87.48899999999999,118.152,90.59899999999999,57.747,89.72200000000001,88.735,89.67299999999999,202.101,89.618,128.89600000000002,90.62,80.273,95.42399999999999,229.615,96.955,128.499,98.98200000000001,209.86,103.154,80.685,106.613,196.732,106.884,248.312,106.459,86.78399999999999,108.15100000000001,93.146,109.179,112.48100000000001,108.92,127.07600000000001,108.536,133.85299999999998,110.492,189.859,112.915,243.361,113.49,189.238,117.96700000000001,100.976,122.28399999999999,205.715,121.365,118.59,122.734,236.91299999999998,127.178,245.93,126.76100000000001,195.701,128.026,135.22,129.924,207.02700000000002,132.804,86.485,134.138,180.363,134.421,217.673,134.93,193.917,135.75799999999998,69.223,139.275,236.356,138.536,118.694,140.67700000000002,132.099,140.72799999999998,99.521,144.704,111.49,146.483,136.041,146.858,195.938,148.435,222.14,149.284,76.45,151.173,127.102,151.84,106.09,152.425,95.525,157.428,117.434,159.18200000000002,81.99,160.514,243.31599999999997,160.388,89.67200000000001,162.935,124.726,163.056,103.75,163.745,194.78,164.262,251.938,170.86599999999999,102.228,171.68,113.728,171.92700000000002,200.44799999999998,172.05900000000003,82.258,173.33599999999998,72.962,174.484,121.821,176.245,241.785,177.392,254.03799999999998,179.885,203.833,182.454,85.934,183.945,96.59,186.356,187.222,187.851,241.104,188.35,226.85299999999998,190.947,86.637,195.555,106.54700000000001,198.081,3.0,217.0,97.705,14.700999999999999,111.74799999999999,35.569,72.462,38.431,206.899,37.909,80.256,38.705999999999996,105.99600000000001,42.968999999999994,217.649,169.183,257.166,188.165,,,,,,,,,,,,
