TimesH,Frame,NoMissing,13,13,23,23,36,36,63,63,71,71,73,73,81,81,82,82,93,93,94,94,100,100,105,105,115,115,116,116,122,122,150,150,151,151,157,157,163,163,168,168,181,181,185,185,189,189,192,192,224,224,226,226,228,228,232,232,244,244,251,251,257,257,259,259,267,267,274,274,288,288,292,292,310,310,330,330,366,366,372,372,377,377,378,378,436,436,440,440,476,476,498,498,502,502,506,506,509,509,526,526,530,530,535,535,559,559,573,573,596,596,598,598,599,599,622,622,631,631,755,755,798,798,864,864
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
143.25,573.0,,95.384,76.199,123.29799999999999,75.03,126.101,89.209,259.582,95.488,95.71,92.302,211.69,108.89399999999999,116.20200000000001,104.37299999999999,222.865,104.084,120.94200000000001,116.992,264.872,116.87100000000001,218.645,110.59,88.178,127.985,186.433,119.779,204.50099999999998,119.492,192.535,133.385,103.395,154.786,237.96,156.327,208.68200000000002,149.153,262.58,147.756,59.306999999999995,164.733,224.322,170.049,245.774,171.40900000000002,71.015,170.178,97.024,170.285,224.94299999999998,177.90099999999998,113.867,175.67700000000002,121.079,176.03799999999998,212.865,175.528,191.183,188.68099999999998,242.511,187.231,102.555,180.82299999999998,109.678,180.50900000000001,196.989,179.864,240.247,35.903,115.694,32.361999999999995,214.255,190.825,95.445,47.766999999999996,96.947,65.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.5,574.0,,95.20200000000001,76.262,123.29299999999999,75.09,126.2,89.395,259.524,95.334,95.686,92.359,211.69400000000002,108.898,116.197,104.384,222.84900000000002,103.98899999999999,120.984,116.87100000000001,264.841,116.81,218.676,110.58,88.15299999999999,127.99700000000001,186.438,119.77799999999999,204.46400000000003,119.583,192.75099999999998,133.505,103.556,154.762,237.98,156.153,208.608,148.936,262.682,147.542,59.286,164.769,224.31,170.019,245.791,171.40599999999998,70.975,170.195,96.95100000000001,170.25900000000001,225.08900000000003,177.863,113.824,175.64,121.19200000000001,176.114,212.87599999999998,175.502,191.077,188.636,242.703,187.195,102.544,180.833,109.676,180.55,197.01,179.903,240.25,35.865,115.696,32.158,214.253,190.84799999999998,95.37799999999999,47.73,96.948,65.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.75,575.0,,95.132,76.29,123.27,75.1,126.15,89.34,259.643,95.531,95.648,92.40100000000001,211.701,108.912,116.23899999999999,104.398,222.92,103.917,121.02600000000001,116.80799999999999,264.72700000000003,116.775,218.697,110.52799999999999,88.15299999999999,127.988,186.41400000000002,119.756,204.548,119.32600000000001,192.78799999999998,133.563,103.669,154.61700000000002,238.023,156.21200000000002,208.57299999999998,148.858,262.443,147.776,59.138999999999996,164.892,224.262,170.06099999999998,245.703,171.451,70.944,170.165,96.848,170.334,225.153,177.834,113.742,175.61599999999999,121.15799999999999,176.13299999999998,212.873,175.544,191.106,188.68099999999998,242.738,187.226,102.52600000000001,180.803,109.698,180.56099999999998,197.02599999999998,179.903,240.27900000000002,35.861,115.46700000000001,32.215,214.263,190.886,95.404,47.727,96.82799999999999,65.203,,,,,,,206.84400000000002,164.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.0,576.0,,95.064,76.306,123.28200000000001,75.155,126.2,89.345,259.14799999999997,95.43799999999999,95.61399999999999,92.43,211.695,108.929,116.221,104.40100000000001,223.09400000000002,103.839,121.071,116.73100000000001,264.624,116.725,218.68,110.506,88.162,127.962,186.4,119.759,204.567,119.334,192.762,133.549,103.73100000000001,154.84,238.12400000000002,156.461,208.55,148.72899999999998,262.567,147.565,59.021,164.929,224.25400000000002,170.041,245.71900000000002,171.362,70.986,170.18900000000002,96.87899999999999,170.326,225.27,177.80700000000002,113.676,175.606,121.163,176.13099999999997,212.86,175.515,191.088,188.755,242.649,187.264,102.51799999999999,180.81599999999997,109.759,180.581,197.03599999999997,179.908,240.31900000000002,35.830999999999996,115.37700000000001,32.409,214.282,190.945,95.431,47.766999999999996,96.788,65.131,,,185.201,142.941,,,207.02200000000002,165.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.25,577.0,,95.055,76.392,123.288,75.13,126.162,89.214,259.067,95.304,95.554,92.42200000000001,211.695,108.936,116.22200000000001,104.479,223.06599999999997,103.801,121.141,116.708,264.466,116.62700000000001,218.72099999999998,110.50200000000001,88.146,127.961,186.387,119.713,204.606,119.221,192.798,133.57399999999998,103.704,154.937,238.172,156.424,208.57,148.834,262.33299999999997,147.731,59.003,164.92,224.236,170.03,245.722,171.33,71.01,170.168,96.863,170.27700000000002,225.377,177.763,113.65,175.571,121.155,176.13299999999998,212.888,175.49,190.912,188.618,242.88299999999998,187.3,102.509,180.81799999999998,109.81200000000001,180.602,197.028,179.893,240.317,35.808,115.417,32.531,214.326,191.03900000000002,95.419,47.699,96.65100000000001,65.131,,,185.0,143.0,90.383,158.57,207.01,165.35299999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.5,578.0,,95.086,76.403,123.314,75.083,126.12700000000001,89.164,259.439,95.544,95.559,92.439,211.683,108.963,116.19200000000001,104.564,223.118,103.777,121.16799999999999,116.742,264.622,116.631,218.725,110.48,88.139,127.948,186.38099999999997,119.73200000000001,204.606,118.913,192.826,133.631,103.76700000000001,155.042,238.24200000000002,156.405,208.575,148.763,262.563,147.554,58.973,164.933,224.26,170.041,245.713,171.352,71.033,170.173,96.927,170.266,225.495,177.75099999999998,113.695,175.535,121.22,176.11,212.896,175.484,190.921,188.69299999999998,242.88,187.46900000000002,102.509,180.84400000000002,109.851,180.592,197.05,179.875,240.321,35.791,115.405,32.653,214.33,191.08,95.431,47.762,96.681,65.14399999999999,218.05599999999998,90.711,184.582,142.685,90.38600000000001,158.675,207.033,166.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.75,579.0,,95.05799999999999,76.37899999999999,123.287,75.089,126.09299999999999,89.155,259.23,95.507,95.571,92.432,211.674,108.977,116.197,104.65,223.063,103.79700000000001,121.241,116.641,264.563,116.602,218.752,110.444,88.101,127.976,186.373,119.706,204.588,118.819,192.8,133.667,103.777,154.963,238.18,156.226,208.62900000000002,148.808,262.60900000000004,147.438,58.88,164.99099999999999,224.24900000000002,170.062,245.699,171.38,71.036,170.174,96.88600000000001,170.243,225.52599999999998,177.766,113.67,175.525,121.244,176.13299999999998,212.92700000000002,175.50599999999997,190.892,188.628,242.859,187.497,102.465,180.84,109.836,180.63,197.055,179.87599999999998,240.308,35.811,115.208,32.933,214.39,191.077,95.398,47.757,96.605,65.068,218.058,90.68,185.356,143.084,90.345,158.283,206.96900000000002,167.21200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.0,580.0,,95.041,76.403,123.273,75.047,126.1,89.177,259.385,95.70299999999999,95.6,92.5,211.65400000000002,108.97,116.179,104.7,223.093,103.786,121.314,116.53200000000001,264.57,116.493,218.755,110.459,88.098,127.977,186.352,119.73299999999999,204.583,118.79299999999999,192.808,133.697,103.891,154.97299999999998,238.33900000000003,156.342,208.61,148.736,262.746,147.352,58.953,164.96,224.266,170.06900000000002,245.69,171.359,71.05,170.227,96.914,170.237,225.58,177.77900000000002,113.60700000000001,175.351,121.265,176.081,212.94299999999998,175.472,190.69400000000002,188.56599999999997,242.80200000000002,187.607,102.461,180.854,109.84899999999999,180.622,197.044,179.898,240.28799999999998,35.829,115.161,33.004,214.38,191.137,95.37200000000001,47.755,96.536,65.12,218.12599999999998,90.794,184.638,142.784,90.42399999999999,158.465,206.998,167.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
