TimesH,Frame,NoMissing,70,70,84,84,89,89,111,111,116,116,125,125,127,127,138,138,140,140,142,142,143,143,145,145,147,147,151,151,153,153,161,161,165,165,167,167,177,177,185,185,189,189,198,198,199,199,204,204,208,208,213,213,214,214,215,215,217,217,229,229,232,232,238,238,239,239,242,242,252,252,257,257,261,261,267,267,269,269,272,272,274,274,276,276,281,281,287,287,296,296,298,298,300,300,301,301,306,306,310,310,315,315,320,320,323,323,330,330,331,331,336,336,353,353,355,355,359,359,360,360,365,365,367,367,401,401,402,402,403,403,404,404,408,408,411,411,413,413,415,415,417,417,421,421,422,422,433,433,437,437,438,438,442,442,450,450,454,454,462,462,464,464,468,468,487,487,495,495,503,503,523,523,536,536,542,542,544,544,545,545,548,548,555,555,560,560,569,569,570,570,588,588,590,590,603,603,610,610,616,616,617,617,618,618,631,631,634,634,643,643,651,651,671,671,713,713,785,785,836,836,871,871,901,901
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
143.25,573.0,,90.041,49.42,207.433,59.428000000000004,247.06099999999998,58.738,83.34,32.715,108.23899999999999,41.435,131.124,78.59899999999999,109.771,79.301,95.807,84.15100000000001,104.06700000000001,88.391,241.535,86.579,66.791,88.669,121.146,87.81299999999999,251.53599999999997,89.76799999999999,213.74900000000002,91.662,104.76799999999999,91.85799999999999,123.895,68.893,229.72400000000002,70.104,78.718,70.399,50.604,77.878,127.79299999999999,109.441,211.176,109.93799999999999,247.548,113.79,222.513,117.531,230.321,119.37899999999999,121.01299999999999,121.40299999999999,103.65700000000001,122.905,95.906,93.89200000000001,202.765,94.088,84.648,94.95200000000001,234.861,99.79799999999999,208.15900000000002,101.19,88.866,105.538,240.739,105.611,248.668,107.96,239.36900000000003,138.035,207.583,141.558,78.113,144.486,88.001,144.701,215.817,146.996,130.125,146.782,87.43700000000001,151.159,224.37900000000002,148.33700000000002,246.06599999999997,125.339,87.712,126.55799999999999,181.393,131.592,80.1,131.813,228.329,133.061,212.75900000000001,133.143,72.336,134.984,94.48299999999999,164.463,118.537,169.91400000000002,261.17400000000004,170.609,252.202,171.739,74.07,173.02599999999998,101.135,174.158,109.906,177.67,195.00599999999997,155.827,210.981,157.89700000000002,116.359,162.202,200.607,159.511,73.561,163.349,265.111,164.23,79.96300000000001,179.225,208.513,179.14,217.325,179.80200000000002,226.4,180.49400000000003,97.311,182.86599999999999,111.436,186.94,87.234,187.08700000000002,244.498,187.91400000000002,220.368,187.24599999999998,211.72299999999998,188.96900000000002,229.06599999999997,189.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.5,574.0,,90.022,49.586999999999996,207.49599999999998,59.44,247.04,58.706,83.307,32.773,108.277,41.412,131.131,78.59,109.749,79.337,95.766,84.117,104.022,88.431,241.518,86.516,66.917,88.78200000000001,121.113,87.757,251.361,89.751,213.747,91.682,104.69200000000001,91.865,123.86200000000001,68.944,229.727,70.08800000000001,78.682,70.438,50.708,77.916,127.811,109.46,211.188,110.007,247.528,114.01100000000001,222.451,118.005,230.355,119.395,121.005,121.426,103.665,122.779,96.656,94.77,202.804,93.921,84.04299999999999,93.868,234.778,99.788,208.15,100.973,89.00399999999999,105.571,240.192,105.109,248.679,108.01,239.385,138.006,207.575,141.59,78.048,144.512,88.001,144.694,215.84799999999998,147.032,130.114,146.77100000000002,87.417,151.171,224.363,148.325,246.019,125.288,87.66,126.478,181.322,131.49,80.081,131.80700000000002,228.25799999999998,133.121,212.707,133.181,72.336,135.02,94.339,164.44,118.427,170.00799999999998,261.085,170.65599999999998,252.157,171.77900000000002,74.027,172.726,101.156,174.173,110.024,177.666,194.96,155.849,211.017,157.91,116.34700000000001,162.18200000000002,200.601,159.464,73.51899999999999,163.349,265.03700000000003,164.419,79.97800000000001,179.245,208.671,179.12400000000002,217.34799999999998,179.84,226.46599999999998,180.482,97.081,182.87400000000002,111.455,187.033,87.219,187.08599999999998,244.429,187.92,220.33599999999998,187.354,211.678,188.672,229.076,189.6,96.994,46.688,217.109,116.523,216.294,99.675,105.501,163.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.75,575.0,,89.98200000000001,49.696000000000005,207.59599999999998,59.801,247.082,58.691,83.325,32.784,108.344,41.373000000000005,131.125,78.592,109.73700000000001,79.214,95.70100000000001,84.14399999999999,103.99700000000001,88.40799999999999,241.518,86.46600000000001,66.908,88.745,121.169,87.75200000000001,251.072,89.59,213.81599999999997,91.639,104.646,91.803,123.821,68.945,229.588,70.133,78.658,70.44800000000001,50.655,77.92,127.868,109.419,211.18,110.056,247.502,113.866,222.495,118.116,230.357,119.387,121.009,121.42299999999999,103.65700000000001,122.693,95.319,93.146,202.797,93.77600000000001,83.99,93.90899999999999,234.704,99.819,208.185,100.75,89.41799999999999,105.406,240.31,105.175,248.821,108.074,239.412,137.995,207.558,141.642,78.05,144.558,88.00299999999999,144.684,215.835,147.13,130.137,146.79399999999998,87.414,151.086,224.292,148.328,246.128,125.515,87.68700000000001,126.506,181.28099999999998,131.328,80.085,131.78799999999998,228.331,133.17700000000002,212.63400000000001,133.178,72.069,135.20600000000002,94.361,164.47099999999998,118.37,169.86599999999999,261.09,170.71200000000002,252.143,171.812,74.07300000000001,172.852,101.307,174.123,110.089,177.63299999999998,194.875,155.87,210.998,157.905,116.329,162.149,200.65400000000002,159.261,73.37,163.22799999999998,265.079,164.642,80.03,179.192,208.771,179.112,217.31,179.858,226.438,180.518,96.943,182.88299999999998,111.366,187.105,87.226,187.06400000000002,244.517,187.825,220.31599999999997,187.40099999999998,211.579,188.455,229.125,189.636,96.98299999999999,46.582,216.92,116.70700000000001,216.326,99.758,105.601,163.344,,,237.763,129.191,96.655,143.82,,,,,,,,,,,253.331,70.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.0,576.0,,89.959,49.76,207.516,59.451,247.03900000000002,58.791000000000004,83.303,32.835,108.369,41.36,131.075,78.55,109.772,79.07,95.654,84.137,104.006,88.405,241.47400000000002,86.405,66.91199999999999,88.72200000000001,121.161,87.785,251.045,89.609,213.75400000000002,91.611,104.55799999999999,91.7,123.844,68.96,229.588,70.089,78.64399999999999,70.462,50.592,77.878,127.95200000000001,109.35700000000001,211.27900000000002,109.917,247.623,113.743,222.519,117.345,230.36700000000002,119.402,120.985,121.37,103.647,122.595,96.49600000000001,94.87299999999999,202.782,93.691,83.84200000000001,93.57799999999999,234.602,99.869,208.215,100.704,89.416,105.24700000000001,240.19400000000002,105.13,248.65900000000002,107.93,239.33599999999998,137.984,207.56900000000002,141.651,78.038,144.578,87.985,144.685,215.78599999999997,147.222,130.062,146.792,87.40700000000001,151.072,224.30200000000002,148.431,246.236,125.62799999999999,87.538,126.53399999999999,181.39700000000002,131.149,80.068,131.77100000000002,228.375,133.215,212.588,133.188,71.915,135.308,94.351,164.41400000000002,118.333,169.857,261.157,170.59900000000002,252.153,171.842,74.05,172.653,101.37,174.09099999999998,110.11,177.639,194.88,155.845,211.07299999999998,157.908,116.336,162.165,200.514,158.91,73.335,163.247,265.07099999999997,164.666,80.031,179.11599999999999,208.699,179.105,217.28400000000002,179.84599999999998,226.287,180.486,96.71600000000001,182.896,111.34700000000001,187.112,87.18,187.051,244.43400000000003,187.817,220.287,187.507,211.515,188.174,229.173,189.657,97.006,46.787,217.26,116.43,216.363,99.919,105.527,163.488,248.19,81.23100000000001,237.84900000000002,129.192,96.64200000000001,143.968,204.329,185.176,241.43900000000002,176.757,,,,,,,253.274,70.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.25,577.0,,89.929,49.876999999999995,207.53599999999997,59.401,246.937,58.854,83.274,32.864000000000004,108.395,41.32899999999999,131.013,78.554,109.78299999999999,78.986,95.585,84.141,103.96799999999999,88.382,241.535,86.42200000000001,66.94,88.771,121.167,87.796,251.268,89.70299999999999,213.75599999999997,91.60700000000001,104.214,91.084,123.809,68.975,229.50400000000002,70.102,78.517,70.516,50.476000000000006,77.92699999999999,127.959,109.37799999999999,211.262,109.881,247.56099999999998,113.917,222.445,117.945,230.36900000000003,119.411,120.985,121.42399999999999,103.65700000000001,122.59200000000001,96.51299999999999,94.939,202.771,93.555,83.844,93.50399999999999,234.361,99.863,208.23,100.646,89.52,105.165,240.25599999999997,105.147,248.715,108.182,239.34400000000002,137.984,207.571,141.643,78.048,144.57299999999998,87.98899999999999,144.69299999999998,215.765,147.255,129.946,146.855,87.36200000000001,151.089,224.232,148.437,246.324,125.759,87.46,126.363,181.45,131.141,80.071,131.72299999999998,228.405,133.172,212.53799999999998,133.184,71.744,135.496,94.32799999999999,164.395,118.354,169.80700000000002,261.14099999999996,170.585,252.196,171.86,74.082,172.666,101.259,174.093,110.25299999999999,177.65099999999998,194.963,155.77700000000002,211.055,157.888,116.291,162.10299999999998,200.543,158.83,73.259,163.304,264.839,164.47099999999998,80.03,179.158,208.78799999999998,179.074,217.23,179.89700000000002,226.338,180.519,96.772,182.86900000000003,111.345,187.123,87.169,187.054,244.308,187.824,220.268,187.458,211.46599999999998,187.753,229.085,189.753,97.03200000000001,46.714,217.217,116.40100000000001,216.375,99.971,105.603,163.384,248.49900000000002,81.443,237.938,129.219,96.609,144.113,204.303,185.29,241.327,176.842,196.71900000000002,83.413,206.84099999999998,148.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.5,578.0,,89.921,49.925,207.517,59.42,246.96400000000003,58.839,83.272,32.834,108.396,41.285,131.02700000000002,78.568,109.76799999999999,78.94,95.531,84.184,103.954,88.339,241.553,86.51799999999999,66.936,88.889,121.199,87.801,250.704,89.445,213.713,91.605,104.62100000000001,91.65799999999999,123.77,68.964,229.528,70.09,78.5,70.538,50.46,77.79899999999999,127.97399999999999,109.40100000000001,211.331,109.845,247.572,113.89,222.68099999999998,116.406,230.33700000000002,119.37100000000001,120.98200000000001,121.493,103.63799999999999,122.35600000000001,96.44200000000001,94.788,202.769,93.492,83.816,93.465,234.15400000000002,99.81700000000001,208.208,100.745,89.522,105.12,240.389,105.285,,,239.33700000000002,137.957,207.63400000000001,141.679,78.09100000000001,144.524,87.98200000000001,144.68200000000002,215.69799999999998,147.334,129.885,146.808,87.38,151.109,224.15599999999998,148.422,246.525,126.053,87.42299999999999,126.351,181.355,131.143,80.03699999999999,131.757,228.40900000000002,133.291,212.53900000000002,133.158,71.765,135.46,94.19200000000001,164.465,118.288,169.815,261.129,170.636,252.18,171.856,74.078,172.618,101.26100000000001,174.11599999999999,110.306,177.63299999999998,194.907,155.685,211.00599999999997,157.761,116.288,162.19899999999998,200.493,158.763,73.244,163.281,264.85900000000004,164.476,80.046,179.132,208.935,179.05,217.30200000000002,179.87900000000002,226.31900000000002,180.46400000000003,96.71799999999999,182.81799999999998,111.305,187.187,87.13799999999999,186.99900000000002,244.233,187.81599999999997,220.24099999999999,187.476,211.475,187.79,229.173,189.76,97.06200000000001,46.816,217.209,116.458,216.4,100.075,105.615,163.497,248.237,81.26899999999999,238.025,129.166,96.527,144.296,204.34099999999998,185.263,241.347,176.893,196.49900000000002,83.53200000000001,206.835,148.371,260.255,192.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.75,579.0,,89.911,49.872,207.49599999999998,59.363,246.91299999999998,58.818000000000005,83.259,32.873000000000005,108.417,41.283,130.947,78.554,109.715,79.01100000000001,95.478,84.117,103.96700000000001,88.272,241.43099999999998,86.257,66.926,88.90299999999999,121.294,87.866,250.264,89.094,213.729,91.63600000000001,104.624,91.602,123.743,68.944,229.457,70.001,78.477,70.492,50.673,77.767,127.99600000000001,109.36200000000001,211.416,109.77,247.493,113.975,222.65,116.45100000000001,230.28900000000002,119.334,120.979,121.51100000000001,103.633,122.32,96.53,95.01899999999999,202.80200000000002,93.47,83.62299999999999,93.46799999999999,234.088,99.76100000000001,208.148,100.431,89.516,105.162,240.703,105.568,248.81799999999998,108.226,239.405,137.911,207.64700000000002,141.737,78.048,144.524,87.959,144.679,215.65900000000002,147.359,130.007,146.821,87.34700000000001,151.05200000000002,224.085,148.44899999999998,246.483,126.111,87.382,126.34,181.33700000000002,130.982,80.025,131.762,228.39,133.248,212.468,133.218,71.735,135.472,93.991,164.481,118.26799999999999,169.683,261.12,170.72799999999998,252.24099999999999,171.891,74.086,172.562,101.145,174.05900000000003,110.389,177.638,194.921,155.69299999999998,211.023,157.719,116.264,162.106,200.512,158.52,73.161,163.245,264.95,164.46200000000002,80.105,179.127,208.74200000000002,179.111,217.25900000000001,179.88099999999997,226.317,180.445,96.757,182.87,111.28399999999999,187.192,87.12799999999999,187.00099999999998,244.53900000000002,187.764,220.206,187.394,211.428,187.7,229.16099999999997,189.773,97.094,46.792,217.19,116.413,216.362,100.124,105.59200000000001,163.526,247.873,81.13600000000001,238.12599999999998,129.129,96.506,144.459,204.393,185.227,241.18,177.09099999999998,196.547,83.26100000000001,206.774,148.358,260.19,192.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.0,580.0,,89.89200000000001,49.926,207.545,59.468,246.887,58.95,83.26799999999999,32.859,108.44,41.278999999999996,130.951,78.525,109.741,78.967,95.384,84.079,104.01299999999999,88.271,241.442,86.228,66.941,88.91799999999999,121.38600000000001,87.865,250.171,89.007,213.68200000000002,91.68700000000001,104.65,91.50299999999999,123.73,69.01,229.417,70.044,78.476,70.618,50.586000000000006,77.65899999999999,128.016,109.351,211.81900000000002,109.395,247.25900000000001,114.495,222.667,116.391,230.27900000000002,119.333,120.946,121.515,103.63600000000001,122.244,96.34700000000001,94.819,202.862,93.44200000000001,83.66,93.471,233.90599999999998,99.854,208.226,100.12200000000001,89.361,105.196,240.69400000000002,105.581,248.77700000000002,108.223,239.375,137.898,207.62900000000002,141.715,78.096,144.529,87.96,144.67,215.6,147.47799999999998,130.059,146.841,87.333,151.10399999999998,224.08900000000003,148.45,246.438,126.119,87.351,126.354,181.31099999999998,131.02100000000002,79.994,131.762,228.278,133.151,212.399,133.235,71.624,135.561,94.01799999999999,164.502,118.23200000000001,169.518,261.12,170.71900000000002,252.18,171.93599999999998,74.115,172.516,101.11399999999999,174.109,110.34200000000001,177.666,194.96400000000003,155.65,211.053,157.713,116.25399999999999,162.064,200.52,158.46,73.118,163.253,265.212,164.546,80.182,179.08900000000003,208.699,179.122,217.308,179.89700000000002,226.351,180.445,96.86200000000001,182.8,111.22200000000001,187.18099999999998,87.079,187.02,244.37,187.775,220.158,187.3,211.435,187.85299999999998,229.31599999999997,189.84799999999998,97.04899999999999,46.825,217.19099999999997,116.34299999999999,216.42,100.292,105.652,163.539,247.858,81.171,238.19099999999997,129.137,96.458,144.56,204.334,185.37400000000002,241.09799999999998,177.265,196.64700000000002,83.221,206.782,148.295,260.244,192.93900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
