TimesH,Frame,NoMissing,3,3,5,5,9,9,12,12,13,13,21,21,24,24,26,26,28,28,29,29,34,34,35,35,37,37,38,38,40,40,41,41,45,45,49,49,53,53,54,54,57,57,65,65,67,67,70,70,73,73,77,77,79,79,108,108,111,111,125,125,128,128,131,131,132,132,134,134,135,135,136,136,138,138,143,143,146,146,148,148,149,149,155,155,164,164,166,166,171,171,177,177,184,184,197,197,198,198,211,211,212,212,216,216,217,217,221,221,223,223,230,230,232,232,233,233,235,235,240,240,241,241,248,248,253,253,257,257,264,264,265,265,386,386,495,495,606,606,801,801,860,860,970,970,984,984,1124,1124
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
310.5,1242.0,,189.813,142.868,86.835,141.556,101.756,148.852,108.257,147.1,230.75,146.579,140.19799999999998,149.27700000000002,176.05200000000002,156.83,200.71,156.151,96.137,155.334,84.721,153.298,107.65799999999999,118.994,81.148,117.21799999999999,177.985,115.62200000000001,199.139,116.11,86.501,127.18700000000001,205.47099999999998,124.948,138.918,121.64200000000001,200.41400000000002,131.111,130.483,129.44899999999998,220.389,127.038,113.209,139.469,189.24,134.26,120.705,182.429,195.106,180.297,108.96799999999999,180.39,98.655,179.44799999999998,224.877,179.27599999999998,212.979,191.482,229.88299999999998,190.547,189.53099999999998,161.262,78.173,160.375,88.46799999999999,158.064,240.662,157.564,70.096,169.97400000000002,234.62,165.99200000000002,54.983999999999995,165.49900000000002,66.291,163.778,243.888,171.764,95.055,171.28,204.889,169.94400000000002,222.03900000000002,170.294,212.485,176.14700000000002,72.605,174.37599999999998,122.306,56.222,203.287,60.867,95.64200000000001,67.07,114.37,36.501,237.15099999999998,36.824,89.98700000000001,39.343,94.04899999999999,49.725,222.13,96.985,81.322,95.191,93.363,94.73299999999999,120.98899999999999,103.931,90.025,101.035,235.485,108.352,112.234,107.26700000000001,205.4,107.725,120.51,116.014,98.87100000000001,111.419,215.933,110.774,93.164,78.625,121.82600000000001,77.65100000000001,91.553,86.45200000000001,215.075,91.935,124.839,90.897,,,,,,,,,,,,,,,,
310.75,1243.0,,189.775,142.895,86.90899999999999,141.592,101.76,148.87,108.226,147.15,230.747,146.55700000000002,140.15200000000002,149.312,176.028,156.868,200.71200000000002,156.172,96.162,155.269,84.698,153.349,107.667,119.001,81.153,117.214,177.989,115.619,199.15200000000002,116.11200000000001,86.51799999999999,127.194,205.454,124.959,138.925,121.64299999999999,200.36599999999999,131.128,130.45600000000002,129.52,220.394,127.001,113.211,139.463,189.226,134.28799999999998,120.67399999999999,182.385,195.106,180.28400000000002,108.96700000000001,180.39700000000002,98.587,179.487,224.859,179.30700000000002,213.053,191.51,229.83900000000003,190.56,189.521,161.28799999999998,78.185,160.40200000000002,88.491,158.079,240.688,157.571,70.101,169.955,234.59,166.035,54.931999999999995,165.511,66.275,163.75799999999998,243.886,171.77599999999998,95.06,171.27900000000002,204.888,169.965,222.042,170.30599999999998,212.481,176.118,72.597,174.375,122.478,56.25,203.295,60.931999999999995,95.65299999999999,67.064,114.381,36.588,237.10299999999998,36.865,90.163,39.465,94.036,49.70399999999999,222.235,97.029,81.329,95.191,93.38,94.811,120.988,103.945,90.036,101.009,235.495,108.30799999999999,112.189,107.199,205.4,107.749,120.507,116.01,98.87200000000001,111.382,215.921,110.76299999999999,93.14200000000001,78.609,121.833,77.681,91.586,86.50399999999999,215.16099999999997,91.88799999999999,124.875,90.90100000000001,,,,,,,,,,,,,,,,
311.0,1244.0,,189.857,142.884,86.89299999999999,141.609,101.76299999999999,148.86700000000002,108.225,147.166,230.73,146.562,140.166,149.34799999999998,176.092,156.866,200.71900000000002,156.18200000000002,96.198,155.268,84.709,153.338,107.631,119.00399999999999,81.17399999999999,117.23200000000001,177.988,115.611,199.153,116.096,86.522,127.194,205.455,124.92,138.937,121.64399999999999,200.40400000000002,131.12,130.438,129.49,220.357,126.958,113.22,139.47299999999998,189.231,134.32399999999998,120.70200000000001,182.438,195.114,180.295,108.96700000000001,180.37400000000002,98.515,179.46,224.856,179.31400000000002,213.05599999999998,191.477,229.875,190.53599999999997,189.52900000000002,161.266,78.19800000000001,160.363,88.478,158.086,240.68400000000003,157.592,70.108,169.985,234.61,166.04,54.903,165.52700000000002,66.29899999999999,163.72799999999998,243.877,171.769,95.044,171.262,204.892,169.97,222.035,170.294,212.47299999999998,176.112,72.607,174.37900000000002,122.44200000000001,56.343999999999994,203.28900000000002,60.957,95.648,67.107,114.31299999999999,36.715,237.067,36.843,90.068,39.329,94.03399999999999,49.691,222.209,97.008,81.294,95.20100000000001,93.37700000000001,94.837,120.977,103.93700000000001,89.895,100.959,235.47,108.28399999999999,112.242,107.228,205.39,107.735,120.5,115.994,98.876,111.398,215.926,110.759,93.18299999999999,78.57300000000001,121.81700000000001,77.72399999999999,91.57600000000001,86.509,215.109,91.92200000000001,124.85799999999999,90.899,,,,,,,,,,,,,,,,
311.25,1245.0,,189.868,142.83100000000002,87.008,141.658,101.74700000000001,148.869,108.209,147.252,230.78400000000002,146.529,140.19899999999998,149.314,176.08900000000003,156.878,200.71400000000003,156.202,96.20700000000001,155.291,84.698,153.284,107.62,118.98899999999999,81.178,117.17200000000001,178.002,115.613,199.15400000000002,116.086,86.51799999999999,127.206,205.49200000000002,124.85,138.939,121.641,200.394,131.113,130.42600000000002,129.466,220.343,126.98299999999999,113.186,139.428,189.24,134.334,120.648,182.493,195.112,180.296,108.97200000000001,180.372,98.49600000000001,179.40900000000002,224.84599999999998,179.33,213.046,191.477,229.905,190.519,189.517,161.278,78.181,160.406,88.454,158.061,240.68599999999998,157.57299999999998,70.079,169.965,234.615,166.03799999999998,54.883,165.525,66.292,163.736,243.873,171.769,95.052,171.264,204.898,169.959,222.028,170.283,212.426,176.12,72.625,174.387,122.458,56.345,203.27200000000002,60.937,95.677,67.163,114.215,36.481,237.09099999999998,36.85,90.155,39.365,94.022,49.674,222.27900000000002,97.02,81.28,95.165,93.389,94.89200000000001,120.97,103.93,89.759,100.995,235.454,108.25399999999999,112.31,107.18799999999999,205.378,107.773,120.50299999999999,115.98,98.87700000000001,111.426,215.91299999999998,110.787,93.133,78.584,121.84200000000001,77.789,91.669,86.556,215.158,92.008,124.84,90.915,,,,,,,,,,,,,,,,
311.5,1246.0,,189.856,142.815,87.12899999999999,141.666,101.74700000000001,148.9,108.179,147.289,230.782,146.548,140.202,149.335,176.1,156.90200000000002,200.69400000000002,156.221,96.23299999999999,155.283,84.68799999999999,153.28799999999998,107.632,119.00200000000001,81.124,117.115,177.99900000000002,115.61,199.187,116.083,86.52600000000001,127.23,205.47099999999998,124.854,138.946,121.60600000000001,200.338,131.09799999999998,130.387,129.435,220.34799999999998,127.01799999999999,113.132,139.355,189.225,134.347,120.67,182.513,195.11900000000003,180.297,108.973,180.362,98.572,179.396,224.82,179.345,213.01,191.45,229.891,190.53,189.525,161.299,78.16199999999999,160.453,88.435,158.02200000000002,240.71599999999998,157.609,70.087,169.94799999999998,234.61599999999999,166.049,54.91,165.516,66.307,163.709,243.868,171.773,95.041,171.262,204.9,169.97,222.002,170.27900000000002,212.41,176.13,72.623,174.38299999999998,122.354,56.256,203.325,60.978,95.66799999999999,67.195,114.525,36.888000000000005,237.078,36.832,90.311,39.51,94.022,49.663000000000004,222.264,96.999,81.27600000000001,95.186,93.35600000000001,94.89299999999999,121.001,103.916,89.682,101.007,235.46599999999998,108.236,112.291,107.191,205.364,107.76899999999999,120.50200000000001,115.96799999999999,98.87299999999999,111.43799999999999,215.924,110.807,93.139,78.59899999999999,121.85,77.795,91.758,86.552,215.19,91.94200000000001,124.839,90.91,,,,,,,,,,,,,,,,
311.75,1247.0,,189.81400000000002,142.879,87.10700000000001,141.655,101.762,148.91899999999998,108.189,147.38,230.75400000000002,146.58,140.13,149.414,176.12400000000002,156.91,200.705,156.241,96.22399999999999,155.267,84.681,153.25799999999998,107.63600000000001,119.008,81.155,117.13600000000001,177.993,115.604,199.197,116.09,86.539,127.24799999999999,205.44299999999998,124.85600000000001,138.94299999999998,121.59899999999999,200.329,131.06799999999998,130.388,129.44899999999998,220.351,127.044,113.111,139.326,189.226,134.347,120.613,182.49400000000003,195.12400000000002,180.274,108.984,180.363,98.633,179.417,224.822,179.358,212.98,191.46,229.926,190.52700000000002,189.50799999999998,161.311,78.19,160.47799999999998,88.444,158.00799999999998,240.727,157.597,70.068,169.967,234.608,166.05700000000002,54.943999999999996,165.507,66.291,163.705,243.88,171.768,95.04899999999999,171.271,204.90099999999998,169.99900000000002,222.00099999999998,170.28,212.41299999999998,176.167,72.598,174.373,122.432,56.246,203.292,60.928999999999995,95.654,67.21,114.335,36.591,237.06099999999998,36.79,90.22399999999999,39.492,94.03399999999999,49.661,222.206,96.98700000000001,81.26100000000001,95.182,93.404,94.93799999999999,121.027,103.9,89.678,100.90100000000001,235.488,108.23100000000001,112.241,107.234,205.37,107.728,120.507,115.963,98.89299999999999,111.439,215.916,110.814,93.156,78.568,121.866,77.796,91.581,86.51100000000001,215.197,91.876,124.82799999999999,90.925,,,,,,,,,,,,,,,,
312.0,1248.0,,189.90900000000002,142.903,87.09200000000001,141.67,101.786,148.945,108.204,147.356,230.755,146.611,140.14700000000002,149.415,176.12099999999998,156.935,200.696,156.248,96.22200000000001,155.279,84.704,153.308,107.65299999999999,118.993,81.15100000000001,117.161,177.99400000000003,115.596,199.173,116.09200000000001,86.552,127.24,205.514,124.825,138.933,121.618,200.248,131.08700000000002,130.37,129.44,220.347,126.994,113.08200000000001,139.344,189.21200000000002,134.343,120.633,182.43900000000002,195.12,180.266,108.98299999999999,180.362,98.54799999999999,179.363,224.81900000000002,179.34599999999998,212.94299999999998,191.423,229.917,190.52900000000002,189.50599999999997,161.293,78.12100000000001,160.57,88.444,158.0,240.708,157.609,70.05,169.956,234.59400000000002,166.044,54.882,165.507,66.295,163.7,243.873,171.78099999999998,95.059,171.269,204.91099999999997,169.99099999999999,221.99900000000002,170.271,212.386,176.157,72.605,174.385,122.47399999999999,56.348,203.312,60.943000000000005,95.65,67.22800000000001,114.521,36.884,237.013,36.771,90.26,39.443000000000005,94.054,49.653999999999996,222.101,97.009,81.203,95.1,93.43,94.94200000000001,121.024,103.87700000000001,89.689,100.831,235.47099999999998,108.185,112.272,107.21700000000001,205.38099999999997,107.71799999999999,120.515,115.956,98.887,111.425,215.926,110.869,93.18,78.53,121.86399999999999,77.825,91.635,86.51700000000001,215.233,91.863,124.837,90.943,,,,,,,,,,,,,,,,
312.25,1249.0,,189.888,142.933,87.125,141.674,101.789,148.92700000000002,108.204,147.393,230.792,146.577,140.11,149.457,176.12,156.971,200.68900000000002,156.255,96.215,155.289,84.679,153.276,107.68,118.994,81.128,117.109,177.985,115.587,199.15400000000002,116.08200000000001,86.555,127.213,205.577,124.76700000000001,138.96200000000002,121.648,200.18900000000002,131.07,130.40200000000002,129.498,220.34099999999998,126.994,113.105,139.382,189.235,134.37,120.656,182.428,195.11599999999999,180.25400000000002,108.986,180.362,98.546,179.416,224.82299999999998,179.345,212.90200000000002,191.43099999999998,229.952,190.518,189.515,161.29399999999998,78.181,160.485,88.459,158.003,240.705,157.571,70.048,169.93,234.61700000000002,166.046,54.885,165.545,66.316,163.69299999999998,243.878,171.783,95.06,171.282,204.918,169.98,222.002,170.27200000000002,212.403,176.14700000000002,72.6,174.39,122.488,56.325,203.331,60.968999999999994,95.616,67.197,114.40100000000001,36.749,236.967,36.817,90.11399999999999,39.22,94.053,49.662,222.115,96.98,81.161,95.09200000000001,93.413,94.921,121.03,103.863,89.677,100.75299999999999,235.497,108.15799999999999,112.24799999999999,107.21600000000001,205.386,107.709,120.516,115.949,98.889,111.43799999999999,215.929,110.867,93.238,78.54,121.86399999999999,77.771,91.60799999999999,86.49700000000001,215.28799999999998,91.92200000000001,124.82799999999999,90.939,,,,,,,,,,,,,,,,
