TimesH,Frame,NoMissing,14,14,18,18,26,26,82,82,85,85,92,92,116,116,117,117,118,118,128,128,142,142,144,144,148,148,156,156,164,164,167,167,172,172,174,174,175,175,178,178,179,179,183,183,184,184,187,187,191,191,206,206,207,207,208,208,222,222,226,226,227,227,230,230,235,235,241,241,243,243,245,245,247,247,256,256,259,259,261,261,265,265,275,275,278,278,281,281,289,289,295,295,303,303,310,310,311,311,312,312,315,315,317,317,318,318,321,321,328,328,333,333,336,336,338,338,339,339,340,340,345,345,347,347,351,351,362,362,372,372,373,373,375,375,380,380,384,384,514,514,569,569,625,625,636,636,702,702,729,729,1225,1225,1270,1270
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
310.5,1242.0,,235.653,200.043,81.845,36.806999999999995,100.079,29.904,201.94400000000002,77.175,76.098,75.574,61.105,71.661,90.624,57.942,125.666,56.665,108.156,57.2,96.774,50.648999999999994,114.881,108.86399999999999,110.75200000000001,107.82,94.97399999999999,105.64399999999999,119.78399999999999,102.676,253.488,96.70700000000001,191.55700000000002,95.625,81.443,93.145,218.563,91.92299999999999,110.662,92.162,131.20600000000002,89.675,66.273,90.321,58.226000000000006,88.95100000000001,237.014,87.744,104.05799999999999,86.71600000000001,166.822,85.064,110.311,134.254,86.75299999999999,133.565,225.782,133.178,244.795,128.469,136.543,126.87799999999999,220.66400000000002,126.189,92.837,126.17299999999999,172.324,123.602,235.083,119.802,133.635,119.459,188.22400000000002,118.413,120.855,118.221,92.89299999999999,113.76799999999999,201.032,111.67399999999999,247.74,110.60799999999999,116.20200000000001,160.97899999999998,181.208,156.189,69.742,155.631,222.63400000000001,155.32299999999998,108.35799999999999,150.167,195.99200000000002,147.515,119.395,145.237,131.97799999999998,142.863,74.286,142.534,244.96599999999998,141.688,137.811,140.78799999999998,92.124,140.143,68.81,138.513,218.585,136.539,240.104,188.78900000000002,209.73,186.62,220.608,185.16400000000002,231.75400000000002,182.882,109.74799999999999,182.5,202.25599999999997,182.375,192.09799999999998,180.47099999999998,239.287,179.02,80.834,178.863,73.142,171.36,226.99,165.81099999999998,215.334,165.854,192.53099999999998,165.27700000000002,252.592,163.78799999999998,70.187,163.329,,,,,,,,,,,,,,,,
310.75,1243.0,,235.778,200.105,81.835,36.784,100.07799999999999,29.889,201.888,77.161,76.14,75.565,61.1,71.738,90.613,57.953,125.697,56.683,108.285,57.225,96.544,50.28,114.913,108.869,110.831,107.815,94.92200000000001,105.631,119.802,102.625,253.592,96.78,191.53900000000002,95.684,81.546,93.074,218.50400000000002,91.971,110.71700000000001,92.161,131.04,89.68700000000001,66.344,90.315,58.123999999999995,88.87200000000001,236.97799999999998,87.709,104.03299999999999,86.70100000000001,166.753,85.104,110.315,134.189,86.757,133.57399999999998,225.808,133.156,244.75099999999998,128.424,136.60299999999998,126.891,220.641,126.18,92.84,126.17200000000001,172.324,123.587,235.076,119.82,133.632,119.44,188.22400000000002,118.395,120.93,118.17299999999999,92.948,113.81,201.125,111.669,247.71,110.557,116.14299999999999,160.97899999999998,181.206,156.19299999999998,69.695,155.666,222.572,155.34799999999998,108.322,150.15,196.058,147.553,119.416,145.232,131.911,142.967,74.268,142.558,244.96,141.67600000000002,137.858,140.795,92.10700000000001,140.155,68.843,138.53,219.0,136.0,240.09099999999998,188.771,209.709,186.62400000000002,220.715,185.174,231.72099999999998,182.826,109.76100000000001,182.528,202.274,182.333,192.109,180.45,239.26,178.995,80.875,178.832,73.171,171.36900000000003,227.035,165.872,215.34599999999998,165.862,192.516,165.205,252.687,163.812,70.233,163.33,,,,,,,,,,,,,,,,
311.0,1244.0,,235.739,200.1,81.821,36.743,100.059,29.855,201.887,77.187,76.101,75.618,61.108000000000004,71.725,90.72200000000001,57.821000000000005,125.667,56.699,108.272,57.243,96.455,50.032,115.007,108.925,110.791,107.79700000000001,95.10600000000001,105.539,119.805,102.61,253.63,96.73299999999999,191.511,95.679,81.516,93.035,218.50900000000001,92.036,110.719,92.20100000000001,131.007,89.73200000000001,66.278,90.37799999999999,58.101000000000006,88.854,237.017,87.743,104.061,86.792,166.768,85.105,110.294,134.209,86.75299999999999,133.578,225.835,133.165,244.658,128.586,136.666,126.844,220.646,126.241,92.838,126.17299999999999,172.33700000000002,123.655,235.08599999999998,119.83200000000001,133.642,119.441,188.266,118.387,120.87200000000001,118.213,92.936,113.821,201.14,111.65299999999999,247.708,110.583,116.175,161.023,181.21099999999998,156.168,69.697,155.67600000000002,222.537,155.362,108.338,150.162,196.084,147.584,119.444,145.259,131.947,142.934,74.24600000000001,142.57,245.02,141.72899999999998,137.86700000000002,140.813,92.12700000000001,140.151,68.82300000000001,138.531,218.61700000000002,136.559,240.1,188.762,209.666,186.55200000000002,220.553,185.09599999999998,231.697,182.743,109.805,182.639,202.312,182.28599999999997,192.05200000000002,180.37900000000002,239.25900000000001,179.002,80.874,178.817,73.17699999999999,171.364,226.998,165.856,215.38,165.87599999999998,192.49900000000002,165.19099999999997,252.703,163.813,70.23899999999999,163.341,,,,,,,,,,,,,,,,
311.25,1245.0,,235.67700000000002,200.085,81.822,36.799,100.06299999999999,29.843000000000004,201.935,77.208,76.488,75.441,61.071999999999996,71.73899999999999,90.704,57.916000000000004,125.62100000000001,56.676,108.3,57.27,96.57799999999999,50.238,114.895,108.816,110.792,107.78299999999999,95.32,105.40799999999999,119.82,102.58,253.637,96.81200000000001,191.483,95.611,81.509,93.113,218.577,92.06200000000001,110.68299999999999,92.213,130.892,89.679,66.327,90.412,58.044,88.795,236.998,87.71600000000001,104.081,86.738,166.778,85.075,110.305,134.17,86.765,133.579,225.833,133.159,244.674,128.569,136.688,126.86,220.611,126.234,92.818,126.166,172.329,123.652,235.101,119.814,133.641,119.413,188.195,118.383,120.868,118.209,92.97,113.82799999999999,201.15200000000002,111.667,247.699,110.574,116.223,161.003,181.207,156.096,69.665,155.659,222.56099999999998,155.387,108.406,150.178,196.042,147.54399999999998,119.43799999999999,145.22899999999998,131.953,142.91,74.271,142.55100000000002,245.01,141.73,137.832,140.83100000000002,92.116,140.167,68.801,138.543,218.72400000000002,136.352,240.09900000000002,188.734,209.66299999999998,186.558,220.43900000000002,185.045,231.675,182.731,109.694,182.52900000000002,202.31,182.29,192.016,180.327,239.28,178.958,80.827,178.86,73.14399999999999,171.38299999999998,227.06799999999998,165.91,215.382,165.888,192.484,165.135,252.78799999999998,163.84799999999998,70.24600000000001,163.356,,,,,,,,,,,,,,,,
311.5,1246.0,,235.571,200.08700000000002,81.83,36.821999999999996,100.059,29.834,201.954,77.229,76.476,75.47399999999999,61.122,71.727,90.615,58.056000000000004,125.611,56.528,108.274,57.268,96.32,49.983999999999995,115.109,108.91799999999999,110.756,107.78299999999999,95.53399999999999,105.25200000000001,119.836,102.569,253.722,96.79700000000001,191.47099999999998,95.64,81.50399999999999,93.073,218.551,92.072,110.652,92.23299999999999,130.959,89.662,66.313,90.46,58.032,88.795,236.98,87.73200000000001,104.094,86.713,166.75900000000001,85.06200000000001,110.31200000000001,134.14700000000002,86.757,133.575,225.851,133.158,244.61900000000003,128.532,136.696,126.904,220.605,126.214,92.829,126.177,172.354,123.68,235.076,119.821,133.66299999999998,119.42299999999999,188.213,118.50399999999999,120.915,118.165,92.93700000000001,113.868,201.122,111.675,247.732,110.62299999999999,116.292,160.997,181.185,156.13,69.64699999999999,155.67,222.574,155.36,108.476,150.213,196.084,147.554,119.41799999999999,145.224,131.906,142.901,74.296,142.536,245.053,141.745,137.833,140.828,92.125,140.165,68.858,138.533,218.63099999999997,136.447,240.104,188.732,209.671,186.54,220.378,185.046,231.65,182.707,109.678,182.386,202.292,182.30599999999998,191.99200000000002,180.27900000000002,239.26,178.96200000000002,80.723,178.905,73.142,171.403,227.03,165.91099999999997,215.389,165.921,192.59900000000002,165.15900000000002,252.748,163.862,70.266,163.334,,,,,,,,,,,,,,,,
311.75,1247.0,,235.50799999999998,200.063,81.845,36.825,100.064,29.846999999999998,202.02599999999998,77.226,76.154,75.565,61.193000000000005,71.78,90.626,58.042,125.62899999999999,56.638000000000005,108.3,57.292,96.355,49.977,114.916,108.805,110.819,107.77,95.33,105.39,119.848,102.53299999999999,253.595,96.811,191.46900000000002,95.652,81.55,93.079,218.565,92.086,110.695,92.258,130.904,89.697,66.217,90.37200000000001,57.945,88.79799999999999,236.92700000000002,87.719,104.12,86.704,166.74,85.087,110.295,134.208,86.741,133.558,225.842,133.112,244.61,128.546,136.66899999999998,126.90799999999999,220.546,126.156,92.85700000000001,126.179,172.31400000000002,123.62,235.049,119.863,133.643,119.415,188.153,118.51899999999999,120.931,118.11,92.87,113.87200000000001,201.144,111.63600000000001,247.743,110.67299999999999,116.368,160.99200000000002,181.155,156.109,69.593,155.69299999999998,222.584,155.35399999999998,108.553,150.203,196.09099999999998,147.517,119.41,145.238,131.903,142.875,74.28699999999999,142.512,245.053,141.759,137.774,140.822,92.113,140.127,68.881,138.494,218.625,136.483,240.09900000000002,188.747,209.66400000000002,186.542,220.359,185.01,231.705,182.77200000000002,109.65899999999999,182.395,202.282,182.231,191.995,180.283,239.282,178.93900000000002,80.705,178.885,73.143,171.393,226.99599999999998,165.886,215.39700000000002,165.929,192.565,165.213,252.803,163.859,70.252,163.355,,,,,,,,,,,,,,,,
312.0,1248.0,,235.66400000000002,200.062,81.827,36.875,100.05,29.839000000000002,201.942,77.127,76.493,75.492,61.172,71.786,90.58200000000001,58.034,125.572,56.641000000000005,108.26700000000001,57.32,96.42,50.012,114.905,108.76899999999999,110.9,107.755,95.529,105.274,119.887,102.53200000000001,253.604,96.94200000000001,191.503,95.69200000000001,81.548,93.06200000000001,218.601,92.163,110.71,92.26299999999999,130.847,89.65799999999999,66.26,90.395,57.853,88.803,236.98,87.71799999999999,104.111,86.729,166.69400000000002,85.07799999999999,110.32700000000001,134.252,86.726,133.55,225.829,133.121,244.658,128.469,136.667,126.945,220.532,126.15,92.845,126.13799999999999,172.327,123.619,235.025,119.845,133.608,119.427,188.08700000000002,118.588,120.984,118.074,92.791,113.866,201.158,111.617,247.77599999999998,110.734,116.431,160.983,181.08900000000003,156.088,69.472,155.769,222.558,155.325,108.60600000000001,150.222,196.155,147.452,119.381,145.222,131.94899999999998,142.894,74.296,142.496,245.028,141.798,137.67600000000002,140.833,92.096,140.131,68.903,138.455,218.53,136.533,240.076,188.74900000000002,209.648,186.549,220.222,184.981,231.726,182.774,109.682,182.563,202.297,182.14700000000002,191.984,180.27200000000002,239.28900000000002,178.957,80.774,178.851,73.132,171.43599999999998,226.96099999999998,165.889,215.37400000000002,165.917,192.512,165.217,252.729,163.817,70.292,163.30700000000002,,,,,,,,,,,,,,,,
312.25,1249.0,,235.729,200.02700000000002,81.81,36.845,100.038,29.82,202.023,77.192,76.532,75.532,61.159,71.708,90.556,58.027,125.47,56.648999999999994,108.185,57.324,96.366,49.981,114.92,108.78399999999999,110.943,107.75,95.345,105.383,119.85600000000001,102.50399999999999,253.615,96.935,191.517,95.7,81.57,93.01700000000001,218.528,92.196,110.73700000000001,92.275,130.80100000000002,89.705,66.298,90.37100000000001,58.129,88.836,236.924,87.712,104.074,86.77,166.71,85.113,110.352,134.327,86.711,133.55100000000002,225.85,133.137,244.726,128.387,136.605,127.01899999999999,220.523,126.132,92.85700000000001,126.12799999999999,172.328,123.60700000000001,235.00400000000002,119.825,133.595,119.45200000000001,188.07,118.491,121.096,118.009,92.73,113.855,201.17700000000002,111.564,247.763,110.773,116.43700000000001,160.959,181.114,156.041,69.482,155.738,222.50400000000002,155.317,108.587,150.256,196.081,147.406,119.34899999999999,145.221,131.969,142.866,74.314,142.445,245.003,141.828,137.711,140.827,92.152,140.08100000000002,68.824,138.436,218.52700000000002,136.541,240.06400000000002,188.735,209.63400000000001,186.512,220.321,184.972,231.727,182.797,109.82,182.62900000000002,202.253,182.122,191.988,180.278,239.263,178.90599999999998,80.76899999999999,178.838,73.194,171.455,226.975,165.896,215.387,165.959,192.375,165.127,252.75,163.827,70.262,163.31,,,,,,,,,,,,,,,,
