 ,X,Y
1,214,33
2,213,33
3,213,34
4,212,34
5,211,35
6,210,36
7,208,36
8,207,37
9,206,38
10,205,39
11,204,40
12,203,41
13,202,42
14,201,43
15,200,44
16,200,45
17,199,45
18,198,46
19,197,47
20,196,48
21,195,49
22,194,50
23,194,51
24,193,52
25,193,53
26,192,54
27,191,54
28,191,55
29,190,56
30,190,57
31,189,58
32,189,59
33,188,59
34,188,60
35,187,61
36,186,62
37,185,64
38,185,65
39,184,66
40,183,67
41,182,68
42,182,69
43,181,70
44,181,71
45,180,71
46,180,73
47,179,73
48,179,75
49,178,76
50,178,77
51,177,78
52,177,79
53,176,80
54,176,81
55,175,82
56,174,82
57,174,83
58,173,84
59,172,85
60,172,86
61,171,88
62,171,89
63,170,90
64,170,91
65,169,92
66,169,93
67,168,94
68,168,95
69,168,96
70,167,97
71,167,99
72,167,100
73,166,101
74,166,102
75,166,103
76,166,104
77,165,105
78,165,106
79,165,107
80,165,108
81,164,109
82,164,110
83,164,111
84,163,113
85,163,114
86,162,114
87,162,115
88,161,116
89,161,117
90,161,118
91,160,118
92,160,119
93,160,120
94,159,121
95,159,122
96,159,123
97,159,124
98,159,125
99,159,126
100,159,127
101,158,128
102,158,129
103,158,130
104,158,131
105,158,132
106,158,133
107,158,134
108,159,135
109,159,137
110,159,138
111,159,139
112,159,140
113,159,141
114,159,142
115,159,143
116,159,144
117,159,145
118,160,146
119,160,147
120,160,149
121,160,150
122,160,151
123,161,152
124,161,153
125,161,154
126,161,155
127,162,156
128,162,157
129,162,159
130,162,160
131,162,161
132,163,162
133,163,163
134,163,164
135,163,165
136,164,166
137,164,167
138,164,168
139,165,169
140,165,171
141,165,172
142,166,172
143,166,173
144,166,174
145,166,175
146,167,176
147,167,177
148,167,178
149,168,178
150,168,179
151,168,180
152,169,180
153,169,181
154,170,182
155,170,183
156,171,184
157,172,185
158,173,186
159,174,187
160,175,187
161,175,188
162,176,188
163,176,189
164,177,190
165,178,190
166,178,191
167,179,191
168,180,192
169,181,193
170,181,194
171,183,194
172,183,195
173,184,195
174,185,196
175,186,196
176,187,197
177,188,197
178,188,198
179,189,198
180,190,199
181,191,199
182,192,199
183,193,200
184,194,200
185,195,200
186,196,200
187,197,200
188,198,200
189,199,201
190,200,201
191,201,201
192,202,201
193,203,202
194,204,202
195,205,202
196,206,202
197,207,202
198,209,203
199,210,203
200,211,203
201,212,203
202,213,203
203,214,203
204,215,203
205,216,203
206,217,203
207,218,203
208,219,203
209,220,203
210,221,203
211,222,203
212,223,203
213,224,203
214,225,203
215,226,203
216,227,203
217,228,203
218,229,203
219,230,203
220,231,203
221,232,203
222,233,203
223,234,203
224,235,203
225,236,203
226,237,203
227,238,203
228,239,203
229,240,203
230,241,203
231,242,203
232,243,203
233,244,203
234,245,203
235,246,203
236,247,204
237,248,204
238,249,203
239,250,203
240,251,203
241,252,203
242,253,203
243,254,203
244,255,203
245,256,203
246,257,203
247,258,203
248,259,203
249,260,203
250,261,203
251,262,203
252,263,203
253,263,202
254,264,202
255,265,202
256,266,202
257,267,201
258,268,201
259,269,200
260,270,200
261,270,199
262,271,199
263,272,198
264,272,197
265,273,197
266,273,196
267,274,196
268,275,195
269,275,194
270,275,193
271,276,193
272,276,192
273,277,192
274,277,191
275,278,191
276,279,191
277,279,190
278,280,190
279,280,189
280,281,188
281,281,187
282,281,186
283,282,186
284,282,185
285,282,184
286,282,183
287,282,182
288,282,181
289,282,180
290,282,179
291,282,178
292,282,177
293,282,176
294,282,175
295,282,174
296,283,174
297,283,173
298,283,172
299,283,171
300,283,169
301,283,168
302,284,167
303,284,166
304,284,165
305,284,164
306,284,163
307,284,162
308,284,161
309,284,160
310,285,159
311,285,158
312,285,157
313,285,156
314,285,155
315,285,154
316,285,153
317,285,152
318,285,151
319,285,150
320,286,149
321,286,148
322,286,146
323,286,145
324,286,144
325,286,143
326,286,142
327,286,141
328,286,140
329,286,138
330,286,137
331,286,136
332,286,134
333,285,133
334,285,132
335,285,131
336,285,130
337,285,129
338,285,128
339,285,127
340,285,126
341,285,125
342,285,124
343,285,123
344,285,121
345,285,120
346,285,119
347,284,118
348,284,117
349,284,116
350,284,115
351,284,114
352,284,112
353,284,111
354,284,110
355,284,109
356,284,108
357,284,107
358,284,106
359,284,105
360,283,104
361,283,103
362,283,101
363,283,100
364,283,99
365,283,98
366,282,96
367,282,95
368,282,94
369,282,93
370,282,92
371,282,91
372,282,89
373,281,88
374,281,87
375,281,86
376,281,84
377,280,83
378,280,82
379,279,81
380,279,79
381,279,78
382,278,77
383,278,75
384,277,74
385,277,73
386,276,72
387,276,71
388,276,70
389,275,69
390,275,67
391,275,66
392,275,64
393,274,63
394,274,62
395,274,61
396,273,60
397,273,59
398,273,58
399,273,57
400,273,56
401,272,54
402,272,53
403,272,52
404,272,50
405,271,49
406,271,48
407,271,47
408,271,46
409,270,45
410,270,44
411,269,43
412,269,42
413,268,41
414,267,40
415,266,39
416,265,38
417,264,37
418,263,36
419,262,36
420,261,35
421,261,34
422,260,34
423,260,33
424,259,33
425,258,32
426,257,32
427,256,31
428,255,31
429,254,30
430,253,30
431,252,29
432,251,28
433,250,28
434,249,27
435,248,27
436,248,26
437,247,26
438,246,26
439,245,26
440,244,25
441,243,25
442,242,25
443,241,25
444,240,25
445,239,25
446,238,25
447,237,25
448,236,25
449,235,25
450,234,25
451,233,25
452,231,25
453,230,25
454,229,25
455,228,26
456,227,26
457,226,26
458,225,26
459,224,27
460,223,27
461,223,28
462,222,28
463,221,29
464,220,29
465,219,30
466,218,30
467,217,31
468,216,31
469,216,32
470,215,32
471,215,33
472,214,33
473,213,33
474,213,34
475,213,35
