TimesH,Frame,NoMissing,4,4,37,37,41,41,47,47,50,50,61,61,62,62,68,68,71,71,80,80,84,84,90,90,94,94,102,102,103,103,108,108,111,111,116,116,120,120,122,122,123,123,125,125,127,127,128,128,129,129,132,132,133,133,138,138,139,139,157,157,160,160,172,172,173,173,174,174,177,177,178,178,179,179,183,183,184,184,189,189,190,190,191,191,196,196,197,197,198,198,205,205,206,206,210,210,212,212,215,215,218,218,224,224,225,225,229,229,230,230,231,231,234,234,236,236,238,238,239,239,244,244,246,246,247,247,249,249,250,250,254,254,256,256,262,262,263,263,267,267,271,271,275,275,279,279,281,281,283,283,284,284,286,286,287,287,288,288,292,292,300,300,303,303,310,310,318,318,323,323,326,326,666,666,704,704,838,838,1153,1153
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,222.28900000000002,56.528,213.49400000000003,66.363,143.312,67.885,200.46599999999998,63.821000000000005,241.449,63.596000000000004,204.19299999999998,83.444,90.835,85.072,220.138,83.675,150.0,82.0,141.29399999999998,78.76899999999999,224.606,74.138,221.502,92.37899999999999,163.418,92.545,196.21900000000002,92.146,107.45100000000001,92.301,95.976,90.225,150.501,90.416,136.917,86.963,218.215,105.573,81.578,106.837,187.59099999999998,107.98700000000001,258.548,107.811,150.22799999999998,102.399,293.223,100.291,96.65299999999999,105.24700000000001,131.965,105.53200000000001,161.808,106.428,157.656,99.911,201.269,101.196,68.676,120.166,265.341,114.634,197.245,109.609,158.774,109.131,111.036,109.715,116.915,109.725,164.049,111.26,89.126,111.431,182.024,134.166,81.282,135.132,159.393,130.58100000000002,65.085,130.57399999999998,267.197,132.36700000000002,182.321,125.594,142.776,126.024,58.091,127.78399999999999,289.214,122.06200000000001,206.517,123.333,32.906,148.63,154.195,148.881,297.22900000000004,148.681,48.941,145.659,192.679,146.814,278.616,146.085,63.391999999999996,142.356,75.625,144.239,206.608,144.174,189.817,139.214,237.66099999999997,139.067,281.77,138.99200000000002,294.733,140.19899999999998,217.842,160.91899999999998,143.058,161.673,132.315,163.088,68.14399999999999,158.204,85.928,157.283,156.868,158.526,210.62900000000002,158.171,76.29,157.254,274.635,155.81799999999998,281.226,152.59799999999998,40.532,154.586,187.2,176.498,224.97299999999998,177.947,208.889,169.15400000000002,251.71099999999998,170.833,80.679,174.222,133.855,175.06,124.485,175.455,282.885,166.17700000000002,76.48899999999999,169.425,40.725,165.99400000000003,227.77200000000002,188.685,218.5,185.793,93.072,180.77599999999998,264.012,180.537,49.52,179.127,,,,,,,,
0.25,1.0,,221.83900000000003,57.24,213.488,66.34899999999999,143.247,67.854,200.457,63.852,241.47799999999998,63.563,204.2,83.412,90.712,85.16799999999999,220.144,83.65700000000001,146.049,81.483,141.312,78.747,224.614,74.14399999999999,221.47400000000002,92.40899999999999,163.335,92.57600000000001,196.21900000000002,92.12,107.522,92.26299999999999,96.104,90.164,150.043,90.49700000000001,136.89,86.961,218.07,105.68,81.58800000000001,106.821,187.56400000000002,108.035,258.493,107.76299999999999,150.207,102.37799999999999,292.89,100.78200000000001,96.71700000000001,105.225,131.976,105.51899999999999,161.812,106.435,157.625,99.845,201.275,101.195,68.65,120.166,265.403,114.595,197.078,109.521,158.687,109.145,111.03,109.685,116.962,109.70200000000001,164.043,111.25299999999999,89.117,111.416,182.007,134.171,81.251,135.121,159.412,130.546,65.11399999999999,130.636,267.202,132.349,182.359,125.573,142.769,126.015,58.086999999999996,127.781,289.223,122.053,206.53099999999998,123.304,32.823,148.593,154.2,148.844,297.27099999999996,148.657,48.935,145.65200000000002,192.665,146.80700000000002,278.616,146.072,63.383,142.35399999999998,75.61,144.232,206.639,144.162,189.822,139.21200000000002,237.665,139.056,281.837,138.97799999999998,294.735,140.188,217.83700000000002,160.89700000000002,143.059,161.68200000000002,132.31799999999998,163.08,68.124,158.217,85.917,157.281,156.871,158.497,210.622,158.142,76.271,157.248,274.63599999999997,155.792,281.224,152.605,40.543,154.565,187.22299999999998,176.481,224.975,177.937,208.87099999999998,169.046,251.72,170.84099999999998,80.66199999999999,174.222,133.863,175.013,124.45200000000001,175.422,282.895,166.18400000000003,76.482,169.445,40.688,166.00400000000002,227.755,188.65599999999998,218.50099999999998,185.797,93.015,180.75900000000001,264.003,180.524,49.46,179.13099999999997,,,,,,,,
0.5,2.0,,221.60299999999998,57.485,213.47099999999998,66.34899999999999,143.304,67.794,200.442,63.845,241.52700000000002,63.531000000000006,204.22,83.382,90.85,84.68,220.14,83.633,146.963,81.438,141.313,78.76100000000001,224.611,74.15,221.425,92.402,163.308,92.566,196.24599999999998,92.101,107.53,92.21799999999999,96.105,90.189,150.474,90.477,136.863,86.96700000000001,218.138,105.624,81.58800000000001,106.803,187.56099999999998,108.06299999999999,258.498,107.741,150.215,102.348,292.943,100.72200000000001,96.846,105.18799999999999,131.961,105.514,161.798,106.44,157.602,99.815,201.28,101.181,68.65899999999999,120.154,265.407,114.616,197.11900000000003,109.479,158.50799999999998,109.169,111.00299999999999,109.65799999999999,116.902,109.671,164.028,111.24,89.12200000000001,111.413,182.002,134.154,81.242,135.111,159.394,130.515,65.125,130.715,267.20599999999996,132.33700000000002,182.354,125.538,142.761,126.008,58.075,127.77799999999999,289.231,122.044,206.523,123.292,32.819,148.52200000000002,154.196,148.805,297.343,148.611,48.923,145.635,192.643,146.799,278.623,146.062,63.369,142.35299999999998,75.572,144.243,206.643,144.145,189.80599999999998,139.19899999999998,237.65599999999998,139.058,281.738,138.921,294.77,140.16,217.827,160.888,143.06799999999998,161.679,132.311,163.075,68.113,158.22299999999998,85.896,157.3,156.859,158.447,210.588,158.115,76.244,157.246,274.633,155.779,281.202,152.59799999999998,40.525999999999996,154.545,187.215,176.399,224.958,177.918,208.81799999999998,169.048,251.71,170.81099999999998,80.64699999999999,174.22299999999998,133.86,174.99200000000002,124.42200000000001,175.412,282.89,166.206,76.518,169.425,40.638000000000005,166.013,227.71900000000002,188.65200000000002,218.495,185.801,93.015,180.738,264.004,180.517,49.45399999999999,179.132,,,,,,,,
0.75,3.0,,222.109,56.786,213.505,66.367,143.295,67.781,200.472,63.865,241.521,63.506,204.226,83.35600000000001,92.19,82.441,220.137,83.63,147.123,81.398,141.328,78.742,224.613,74.149,221.39700000000002,92.417,163.261,92.586,196.22099999999998,92.071,107.57799999999999,92.15700000000001,96.29299999999999,90.22,150.43200000000002,90.406,136.843,86.958,217.993,105.585,81.59100000000001,106.802,187.58700000000002,108.072,258.485,107.63600000000001,150.238,102.337,292.865,100.725,96.802,105.16,131.952,105.495,161.789,106.416,157.575,99.77799999999999,201.282,101.175,68.634,120.182,265.42900000000003,114.581,197.023,109.493,158.502,109.176,110.954,109.63,116.848,109.64399999999999,164.016,111.243,89.126,111.421,182.0,134.124,81.21300000000001,135.112,159.39600000000002,130.486,65.15,130.773,267.211,132.313,182.304,125.444,142.767,125.991,58.062,127.78200000000001,289.226,122.027,206.519,123.281,32.783,148.515,154.197,148.773,297.378,148.57,48.92100000000001,145.61,192.61900000000003,146.767,278.632,146.062,63.35,142.35,75.556,144.248,206.606,144.121,189.813,139.178,237.65099999999998,139.064,281.665,138.923,294.784,140.14,217.815,160.872,143.06,161.672,132.313,163.077,68.108,158.22899999999998,85.889,157.303,156.85299999999998,158.414,210.6,158.079,76.227,157.245,274.618,155.77100000000002,281.192,152.59,40.522,154.514,187.206,176.29,224.94099999999997,177.912,208.733,168.986,251.722,170.78,80.632,174.229,133.835,174.98,124.406,175.393,282.881,166.217,76.49600000000001,169.43599999999998,40.623000000000005,166.00599999999997,227.696,188.64,218.502,185.799,93.001,180.71,264.01,180.524,49.498000000000005,179.175,,,,,,,,
1.0,4.0,,222.295,56.503,213.458,66.344,143.313,67.75399999999999,200.43599999999998,63.856,241.50799999999998,63.481,204.24099999999999,83.324,92.23100000000001,82.23200000000001,220.145,83.60700000000001,147.34799999999998,81.337,141.33,78.722,224.61700000000002,74.142,221.37900000000002,92.40899999999999,163.29399999999998,92.64,196.247,92.042,107.631,92.125,96.31700000000001,90.238,150.091,90.421,136.817,86.95,218.035,105.50200000000001,81.602,106.781,187.628,108.096,258.531,107.56700000000001,150.262,102.336,292.888,100.74600000000001,96.757,105.135,131.937,105.469,161.80100000000002,106.40899999999999,157.55100000000002,99.755,201.285,101.163,68.62,120.17399999999999,265.441,114.566,197.012,109.515,158.446,109.17299999999999,110.93,109.59700000000001,116.844,109.62799999999999,164.018,111.235,89.117,111.415,181.99599999999998,134.132,81.189,135.10299999999998,159.39600000000002,130.472,65.227,130.86700000000002,267.216,132.30200000000002,182.303,125.42399999999999,142.756,125.96700000000001,58.027,127.781,289.22,122.016,206.513,123.275,32.748000000000005,148.497,154.185,148.719,297.409,148.542,48.924,145.597,192.59599999999998,146.73,278.625,146.049,63.327,142.36,75.529,144.257,206.622,144.064,189.801,139.168,237.63299999999998,139.062,281.638,138.865,294.788,140.134,217.80200000000002,160.86,143.061,161.638,132.312,163.08,68.087,158.256,85.89399999999999,157.28,156.84799999999998,158.401,210.582,158.039,76.21600000000001,157.25,274.616,155.761,281.188,152.599,40.501,154.501,187.142,176.327,224.925,177.90099999999998,208.78099999999998,168.96599999999998,251.748,170.774,80.634,174.229,133.845,174.93200000000002,124.39399999999999,175.389,282.882,166.229,76.47800000000001,169.43,40.604,165.995,227.68099999999998,188.63099999999997,218.5,185.80900000000003,92.988,180.674,263.986,180.53,49.466,179.12599999999998,,,,,,,,
1.25,5.0,,222.48,56.183,213.43099999999998,66.324,143.289,67.718,200.475,63.919,241.533,63.464,204.24599999999998,83.292,92.40700000000001,82.069,220.146,83.61200000000001,147.624,81.308,141.34799999999998,78.709,224.628,74.145,221.37599999999998,92.374,163.293,92.611,196.24900000000002,92.04299999999999,107.75299999999999,92.081,96.24600000000001,90.20299999999999,150.049,90.352,136.803,86.95,218.148,105.32,81.609,106.76700000000001,187.62599999999998,108.065,258.529,107.53299999999999,150.245,102.29799999999999,292.817,100.697,96.83,105.12299999999999,131.94299999999998,105.45,161.828,106.37700000000001,157.528,99.712,201.294,101.155,68.62100000000001,120.178,265.437,114.537,197.097,109.46700000000001,158.394,109.154,110.876,109.559,116.84200000000001,109.62,164.02700000000002,111.234,89.126,111.40799999999999,181.99099999999999,134.106,81.171,135.08700000000002,159.386,130.434,65.288,130.912,267.22700000000003,132.298,182.299,125.361,142.75799999999998,125.948,58.007,127.775,289.221,122.01700000000001,206.52700000000002,123.24799999999999,32.711,148.5,154.197,148.668,297.481,148.503,48.861000000000004,145.597,192.579,146.665,278.626,146.034,63.308,142.371,75.476,144.333,206.608,143.995,189.82,139.154,237.632,139.05,281.58299999999997,138.799,294.841,140.11,217.812,160.843,143.036,161.628,132.311,163.069,68.085,158.25799999999998,85.89299999999999,157.282,156.851,158.346,210.58599999999998,158.02,76.204,157.253,274.608,155.76,281.173,152.59799999999998,40.495,154.509,187.192,176.269,224.903,177.894,208.773,168.952,251.72400000000002,170.74099999999999,80.631,174.234,133.826,174.896,124.39399999999999,175.385,282.867,166.234,76.52,169.481,40.569,165.953,227.66,188.628,218.50099999999998,185.812,92.98100000000001,180.67700000000002,263.992,180.52700000000002,49.449,179.176,186.515,85.4,,,,,,
1.5,6.0,,222.19299999999998,56.577,213.4,66.309,143.293,67.741,200.489,63.867,241.55,63.443000000000005,204.25900000000001,83.26100000000001,92.155,82.20299999999999,220.15099999999998,83.6,147.778,81.26899999999999,141.364,78.7,224.614,74.142,221.355,92.35,163.292,92.65700000000001,196.296,92.031,107.821,92.051,96.28,90.167,150.114,90.346,136.786,86.943,217.959,105.464,81.604,106.738,187.62900000000002,108.111,258.528,107.512,150.238,102.273,292.461,100.899,96.829,105.12,131.95,105.454,161.835,106.368,157.501,99.635,201.30200000000002,101.134,68.564,120.199,265.425,114.499,197.08599999999998,109.334,158.30700000000002,109.134,110.84299999999999,109.527,116.809,109.595,164.028,111.26,89.12100000000001,111.37899999999999,182.00099999999998,134.095,81.15899999999999,135.08700000000002,159.369,130.392,65.359,130.939,267.23400000000004,132.287,182.303,125.28200000000001,142.735,125.928,57.993,127.76899999999999,289.226,122.01799999999999,206.523,123.225,32.743,148.475,154.168,148.623,297.495,148.47899999999998,48.852,145.586,192.581,146.657,278.628,146.02700000000002,63.286,142.375,75.438,144.362,206.585,143.94799999999998,189.821,139.132,237.62599999999998,139.053,281.551,138.75799999999998,294.869,140.08700000000002,217.801,160.814,143.058,161.608,132.30200000000002,163.063,68.067,158.298,85.88,157.27200000000002,156.843,158.304,210.565,157.999,76.187,157.254,274.593,155.74200000000002,281.156,152.60399999999998,40.459,154.494,187.16400000000002,176.188,224.898,177.875,208.74200000000002,168.845,251.718,170.72099999999998,80.61,174.239,133.765,174.86,124.38799999999999,175.36599999999999,282.85200000000003,166.231,76.55,169.463,40.542,165.94799999999998,227.641,188.613,218.493,185.83,92.94200000000001,180.648,263.97900000000004,180.512,49.483999999999995,179.185,186.422,85.883,47.578,175.517,,,,
1.75,7.0,,222.488,55.769,213.347,66.30199999999999,143.384,67.747,200.546,63.885,241.59,63.403999999999996,204.269,83.221,92.176,82.208,220.15099999999998,83.579,147.822,81.264,141.34,78.67,224.62900000000002,74.152,221.34599999999998,92.34,163.314,92.679,196.312,92.01299999999999,107.86200000000001,92.023,96.39299999999999,90.137,150.18,90.344,136.77700000000002,86.941,217.89700000000002,105.59100000000001,81.60600000000001,106.721,187.588,108.10600000000001,258.476,107.473,150.255,102.26799999999999,292.678,100.667,96.77,105.11,131.953,105.45100000000001,161.84,106.366,157.458,99.583,201.315,101.12100000000001,68.516,120.195,265.482,114.538,197.082,109.26899999999999,158.21,109.119,110.73200000000001,109.491,116.791,109.575,164.03799999999998,111.26899999999999,89.119,111.381,182.005,134.058,81.139,135.07299999999998,159.356,130.332,65.365,130.952,267.228,132.27200000000002,182.31400000000002,125.25399999999999,142.741,125.927,57.964,127.77,289.22900000000004,122.01,206.542,123.20700000000001,32.766999999999996,148.491,154.17700000000002,148.589,297.518,148.44,48.792,145.597,192.562,146.626,278.632,146.034,63.26,142.382,75.39,144.36,206.602,143.945,189.822,139.115,237.608,139.064,281.536,138.711,294.89799999999997,140.08100000000002,217.798,160.775,143.075,161.614,132.303,163.062,68.056,158.32299999999998,85.87799999999999,157.273,156.845,158.254,210.56,157.965,76.18,157.268,274.573,155.73,281.13599999999997,152.6,40.402,154.47799999999998,187.179,176.12400000000002,224.889,177.864,208.643,168.692,251.68599999999998,170.703,80.598,174.238,133.744,174.813,124.382,175.355,282.828,166.22799999999998,76.565,169.533,40.537,165.93900000000002,227.607,188.59099999999998,218.49099999999999,185.842,92.945,180.632,263.982,180.50400000000002,49.461999999999996,179.082,186.37099999999998,86.617,46.449,174.446,,,,
