TimesH,Frame,NoMissing,2,2,6,6,11,11,16,16,18,18,21,21,23,23,28,28,31,31,39,39,43,43,48,48,55,55,59,59,60,60,62,62,72,72,73,73,75,75,76,76,84,84,89,89,91,91,101,101,102,102,103,103,106,106,109,109,112,112,117,117,119,119,121,121,122,122,124,124,129,129,132,132,137,137,145,145,148,148,152,152,156,156,162,162,165,165,168,168,171,171,265,265,284,284,287,287,288,288,293,293,311,311,322,322,333,333,339,339,347,347,348,348,353,353,367,367,373,373,378,378,399,399,404,404,406,406,419,419,420,420,427,427,473,473,590,590,1006,1006,1053,1053,1158,1158
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
165.5,662.0,,68.32,128.84,275.805,130.032,193.61700000000002,134.15200000000002,307.611,137.727,58.64,139.42,160.524,139.421,209.952,139.637,83.249,143.032,79.675,111.698,186.313,117.666,165.923,120.139,301.219,120.07700000000001,29.348000000000003,157.201,298.295,157.059,223.601,158.076,151.75799999999998,159.151,90.60700000000001,164.419,294.368,166.518,79.727,167.41099999999997,29.092,167.615,199.247,142.739,300.16700000000003,145.205,34.042,147.675,78.217,151.373,291.51599999999996,150.451,65.985,153.44299999999998,163.856,152.47,37.147,155.816,50.187,155.965,16.206,189.87900000000002,204.05,190.11,30.447,190.405,227.933,189.46599999999998,96.07,190.861,237.21,194.19,43.852,195.03,53.23,200.80900000000003,39.243,172.44799999999998,67.834,174.976,133.931,177.343,231.872,178.261,37.543,183.37599999999998,87.266,185.15,280.586,185.514,60.786,187.205,222.502,45.117,231.80599999999998,51.763000000000005,255.641,54.963,243.122,55.525,216.33900000000003,55.482,251.13,35.617,225.35299999999998,73.892,112.789,78.602,224.778,81.815,136.762,85.67200000000001,140.29399999999998,62.147,228.227,62.598,88.18700000000001,70.192,236.446,70.503,229.415,73.197,149.533,108.491,109.96600000000001,110.402,159.155,110.131,94.31,91.265,106.008,90.109,243.326,95.20200000000001,130.585,204.799,,,,,,,,
165.75,663.0,,68.324,128.845,275.777,130.035,193.662,134.143,307.616,137.739,58.638000000000005,139.42700000000002,160.523,139.593,209.96099999999998,139.671,83.259,143.05100000000002,79.702,111.664,186.292,117.73,165.91400000000002,120.109,301.22900000000004,120.054,29.289,157.20600000000002,298.278,157.05,223.59599999999998,158.132,151.736,159.17700000000002,90.594,164.426,294.369,166.519,79.723,167.40099999999998,29.052,167.611,199.215,142.761,300.185,145.231,33.801,147.529,78.207,151.39,291.518,150.416,65.975,153.44899999999998,163.845,152.546,36.977,155.841,50.198,155.942,16.338,189.946,204.00799999999998,190.169,30.36,190.49599999999998,227.94299999999998,189.525,96.05799999999999,190.90099999999998,237.206,194.28599999999997,43.821999999999996,195.046,53.242,200.799,39.223,172.485,68.19800000000001,174.887,133.92,177.373,231.894,178.28900000000002,37.529,183.395,87.26799999999999,185.143,280.574,185.52599999999998,60.783,187.202,222.495,45.122,231.725,51.717,255.63400000000001,54.93,243.09599999999998,55.486999999999995,216.34900000000002,55.473,251.08599999999998,35.525999999999996,225.273,73.906,112.73700000000001,78.539,224.761,81.78399999999999,136.751,85.65,140.248,62.128,228.202,62.525,88.29899999999999,70.161,236.449,70.502,229.49,73.15100000000001,149.517,108.506,109.96600000000001,110.37200000000001,159.15200000000002,110.105,94.265,91.226,106.00399999999999,90.13,243.32299999999998,95.226,129.542,199.592,,,,,,,,
166.0,664.0,,68.336,128.845,275.764,130.006,193.71,134.18,307.626,137.732,58.638999999999996,139.44,160.42600000000002,139.601,209.972,139.672,83.243,143.062,79.73899999999999,111.645,186.293,117.759,165.861,120.09,301.251,120.052,29.273000000000003,157.214,298.26,157.048,223.553,158.202,151.713,159.207,90.59100000000001,164.43400000000003,294.471,166.46,79.72,167.391,28.94,167.637,199.227,142.806,300.20799999999997,145.249,33.926,147.535,78.185,151.4,291.476,150.409,65.965,153.452,163.84900000000002,152.624,36.792,155.874,50.165,155.966,16.319000000000003,189.82299999999998,203.965,190.265,30.289,190.528,227.958,189.525,96.064,190.923,237.209,194.363,43.888999999999996,195.00900000000001,53.21,200.798,39.242,172.479,68.02199999999999,174.951,133.953,177.389,231.91299999999998,178.305,37.509,183.407,87.28399999999999,185.13099999999997,280.556,185.549,60.751000000000005,187.218,222.484,45.129,231.66400000000002,51.681999999999995,255.607,54.849,243.097,55.494,216.395,55.465,251.09599999999998,35.503,225.372,73.893,112.714,78.505,224.66299999999998,81.702,136.722,85.649,140.171,62.106,228.25599999999997,62.369,88.40299999999999,70.188,236.419,70.544,229.327,73.211,149.49,108.501,109.949,110.34100000000001,159.126,110.10700000000001,94.228,91.18799999999999,106.042,90.08,243.34400000000002,95.23100000000001,,,,,,,,,,
166.25,665.0,,68.30199999999999,128.84799999999998,275.751,130.034,193.74599999999998,134.17700000000002,307.665,137.734,58.6,139.453,160.391,139.586,209.967,139.694,83.23,143.08100000000002,79.743,111.59100000000001,186.25400000000002,117.806,165.847,120.124,301.265,120.054,29.318,157.216,298.298,157.094,223.547,158.319,151.688,159.213,90.581,164.421,294.488,166.44799999999998,79.714,167.41,28.965,167.579,199.207,142.839,300.175,145.243,34.089,147.322,78.17,151.40200000000002,291.475,150.418,65.96,153.45,163.822,152.67600000000002,36.841,155.868,50.131,155.97299999999998,16.345,189.915,203.97299999999998,190.303,30.291999999999998,190.56,227.97400000000002,189.518,96.06,190.91299999999998,237.16,194.455,43.843999999999994,195.033,53.208,200.77599999999998,39.271,172.454,67.868,174.984,133.95600000000002,177.399,231.93099999999998,178.299,37.512,183.465,87.28399999999999,185.12599999999998,280.568,185.585,60.738,187.243,222.48,45.108999999999995,231.695,51.571999999999996,255.646,54.849,243.071,55.488,216.391,55.478,251.11599999999999,35.611999999999995,225.31099999999998,73.844,112.74799999999999,78.517,224.614,81.678,136.7,85.65299999999999,140.17600000000002,62.093999999999994,228.25,62.317,88.443,70.157,236.429,70.525,229.345,73.185,149.501,108.48100000000001,109.95,110.34299999999999,159.075,110.103,94.22399999999999,91.12200000000001,105.971,90.031,243.334,95.235,,,,,,,,,,
166.5,666.0,,68.267,128.816,275.772,130.049,193.701,134.22,307.692,137.741,58.596000000000004,139.461,160.38,139.602,209.96599999999998,139.724,83.221,143.078,79.673,111.588,186.23,117.815,165.847,120.124,301.26099999999997,120.085,29.246,157.2,298.282,157.113,223.524,158.384,151.665,159.22299999999998,90.572,164.405,294.485,166.463,79.702,167.418,28.997,167.563,199.17,142.82299999999998,300.19599999999997,145.268,34.052,147.247,78.169,151.425,291.422,150.406,65.947,153.45600000000002,163.817,152.69,36.787,155.901,50.083999999999996,155.986,16.458,189.851,204.06599999999997,190.22,30.296999999999997,190.58900000000003,227.988,189.542,96.04299999999999,190.946,237.218,194.515,43.881,194.983,53.218,200.791,39.285,172.452,67.788,175.013,133.918,177.4,231.923,178.331,37.446999999999996,183.403,87.256,185.123,280.563,185.595,60.723,187.248,222.481,45.114,231.50099999999998,51.351000000000006,255.50599999999997,54.897,243.046,55.468999999999994,216.398,55.461000000000006,251.079,35.499,225.188,73.91,112.72200000000001,78.51899999999999,224.58599999999998,81.689,136.743,85.654,140.142,62.07,228.222,62.24100000000001,88.431,70.16,236.435,70.502,229.372,73.195,149.489,108.499,109.96600000000001,110.34899999999999,159.026,110.1,94.21600000000001,91.132,105.889,90.001,243.30599999999998,95.21600000000001,130.319,203.952,,,,,,,,
166.75,667.0,,68.23,128.79399999999998,275.793,130.05700000000002,193.65,134.3,307.70799999999997,137.762,58.556999999999995,139.475,160.342,139.513,209.97099999999998,139.766,83.196,143.07,79.558,111.635,186.197,117.846,165.84799999999998,120.124,301.27,120.1,29.24,157.213,298.286,157.123,223.52599999999998,158.482,151.65,159.255,90.56,164.407,294.475,166.47,79.678,167.425,29.005,167.53900000000002,199.171,142.813,300.249,145.293,33.941,147.30100000000002,78.13,151.416,291.448,150.389,65.937,153.459,163.796,152.716,36.749,155.894,50.045,156.007,16.283,189.838,204.015,190.25400000000002,30.168000000000003,190.637,228.016,189.507,96.02600000000001,190.985,237.19,194.59799999999998,43.788999999999994,195.051,53.17100000000001,200.83599999999998,39.29,172.452,67.822,175.012,133.912,177.39,231.91099999999997,178.385,37.44,183.40900000000002,87.23700000000001,185.12900000000002,280.565,185.58700000000002,60.726000000000006,187.265,222.47400000000002,45.104,231.386,51.099,255.577,54.813,243.13299999999998,55.446999999999996,216.408,55.424,250.988,35.549,225.322,73.82300000000001,112.74,78.506,224.601,81.682,136.724,85.664,140.15200000000002,62.066,228.202,62.174,88.29899999999999,70.163,236.422,70.529,229.356,73.192,149.487,108.48899999999999,109.932,110.368,158.99200000000002,110.102,94.116,91.15799999999999,105.881,89.929,243.317,95.262,130.329,204.171,,,,,,,,
167.0,668.0,,68.255,128.808,275.768,130.048,193.653,134.289,307.72,137.753,58.574,139.454,160.30700000000002,139.516,210.013,139.767,83.177,143.05700000000002,79.545,111.63,186.18200000000002,117.859,165.81599999999997,120.113,301.3,120.13,29.219,157.191,298.264,157.183,223.618,158.488,151.622,159.293,90.57799999999999,164.416,294.459,166.44400000000002,79.679,167.435,29.018,167.585,199.18599999999998,142.839,300.35,145.359,34.02,147.34,78.125,151.401,291.468,150.382,65.932,153.464,163.81,152.731,36.656,155.907,50.018,156.02200000000002,16.383,189.78099999999998,203.987,190.324,30.07,190.71400000000003,228.042,189.485,96.01,191.05,237.15400000000002,194.637,43.695,195.079,53.151,200.86900000000003,39.274,172.46599999999998,67.832,175.018,133.911,177.399,231.90400000000002,178.40200000000002,37.416,183.425,87.21700000000001,185.12900000000002,280.565,185.611,60.706,187.273,222.468,45.068000000000005,231.32299999999998,50.938,255.585,54.748000000000005,243.227,55.443000000000005,216.43400000000003,55.431999999999995,251.02,35.624,225.261,73.798,112.71700000000001,78.48100000000001,224.669,81.637,136.73,85.671,140.08,62.048,228.206,62.167,88.264,70.17,236.428,70.517,229.36900000000003,73.181,149.502,108.48899999999999,109.913,110.354,158.974,110.094,94.083,91.145,105.917,89.946,243.31900000000002,95.26799999999999,130.255,203.90200000000002,,,,,,,,
167.25,669.0,,68.192,128.809,275.752,130.055,193.696,134.27700000000002,307.768,137.753,58.568999999999996,139.44299999999998,160.30700000000002,139.559,210.01,139.774,83.181,143.096,79.482,111.67,186.173,117.87100000000001,165.821,120.13600000000001,301.295,120.17,29.173000000000002,157.155,298.248,157.195,223.65200000000002,158.547,151.60399999999998,159.31,90.573,164.445,294.457,166.44,79.67699999999999,167.43400000000003,29.081,167.601,199.2,142.83,300.32099999999997,145.336,34.11,147.411,78.135,151.414,291.497,150.4,65.925,153.46200000000002,163.80100000000002,152.786,36.742,155.952,49.978,156.047,16.358,189.863,204.041,190.171,30.026,190.731,228.078,189.468,95.993,191.1,237.143,194.582,43.657,195.09400000000002,53.128,200.896,39.245,172.46599999999998,67.986,174.99099999999999,133.861,177.46400000000003,231.868,178.451,37.374,183.40599999999998,87.21600000000001,185.138,280.545,185.61900000000003,60.674,187.301,222.484,45.075,231.30700000000002,50.931000000000004,255.676,54.79,243.267,55.455,216.41099999999997,55.397,250.965,35.554,225.23,73.818,112.74700000000001,78.479,224.658,81.646,136.689,85.626,140.079,62.044,228.232,62.135,88.25200000000001,70.20100000000001,236.422,70.507,229.363,73.212,149.466,108.456,109.91799999999999,110.348,158.967,110.07799999999999,94.05,91.152,105.897,89.98100000000001,243.355,95.262,130.16,203.799,,,,,,,,
