TimesH,Frame,NoMissing,4,4,16,16,18,18,21,21,25,25,28,28,29,29,41,41,44,44,45,45,50,50,55,55,88,88,101,101,102,102,103,103,108,108,111,111,116,116,130,130,137,137,139,139,142,142,143,143,146,146,150,150,151,151,156,156,159,159,160,160,163,163,167,167,180,180,181,181,182,182,184,184,192,192,193,193,199,199,202,202,203,203,205,205,208,208,213,213,214,214,219,219,220,220,225,225,230,230,231,231,234,234,235,235,240,240,241,241,248,248,257,257,258,258,260,260,261,261,265,265,266,266,268,268,273,273,275,275,277,277,282,282,283,283,284,284,285,285,286,286,287,287,288,288,293,293,296,296,297,297,298,298,299,299,304,304,306,306,310,310,311,311,312,312,314,314,319,319,323,323,326,326,338,338,339,339,340,340,346,346,348,348,383,383,384,384,391,391,394,394,397,397,398,398,399,399,405,405,619,619,707,707,753,753
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
333.75,1335.0,,115.04799999999999,42.601000000000006,220.687,49.486000000000004,196.709,52.021,211.577,50.13,237.183,56.15,230.3,55.37,129.44899999999998,55.457,215.912,30.518,201.267,36.825,255.03099999999998,36.434,245.293,35.663000000000004,215.58700000000002,41.763999999999996,79.832,22.531999999999996,131.591,108.288,152.459,105.713,144.109,106.34200000000001,75.583,111.16799999999999,107.145,109.205,117.443,112.669,299.906,92.488,213.03599999999997,96.117,199.94799999999998,97.53200000000001,237.27200000000002,94.735,114.102,94.72399999999999,183.347,103.363,208.40599999999998,100.07,190.878,99.851,259.012,102.62100000000001,90.964,104.16,153.136,78.19800000000001,195.503,78.517,128.415,80.80199999999999,142.606,81.605,234.94799999999998,82.125,203.581,81.88600000000001,101.435,88.20100000000001,142.535,62.435,246.078,63.716,131.562,68.833,139.105,69.291,189.09799999999998,64.691,237.269,66.331,231.505,70.017,218.75400000000002,70.433,84.781,70.227,185.81,71.916,115.794,72.258,132.306,174.58,33.359,172.263,236.255,176.68099999999998,53.867,179.055,226.68599999999998,175.82,34.063,182.91400000000002,84.2,183.917,57.416000000000004,186.646,46.858999999999995,155.5,36.333,154.711,159.328,151.92700000000002,29.526,152.887,218.248,158.011,26.613000000000003,157.914,204.446,155.374,136.017,163.94299999999998,147.1,159.847,291.207,162.06,16.692999999999998,169.385,209.713,166.14700000000002,34.961,165.93200000000002,68.932,168.47799999999998,76.208,166.76,154.745,139.817,61.897,140.001,54.096000000000004,139.671,79.134,143.264,296.925,143.161,194.489,143.018,263.882,142.30200000000002,202.225,147.541,300.553,148.411,34.281,146.236,62.413000000000004,152.207,307.212,151.037,73.083,151.634,179.299,122.845,32.411,121.104,142.381,121.412,181.963,133.31,272.149,130.275,195.359,129.808,239.543,137.222,143.653,133.88299999999998,199.896,188.78400000000002,101.514,188.183,14.252,194.34900000000002,39.774,193.997,49.489,200.546,211.567,197.22299999999998,22.473000000000003,196.34599999999998,133.161,205.704,,,,,,
334.0,1336.0,,115.01100000000001,42.573,220.685,49.494,196.718,52.016000000000005,211.57,50.126000000000005,237.171,56.157,230.293,55.36,129.444,55.443999999999996,215.903,30.522,201.27,36.808,255.03400000000002,36.442,245.283,35.661,215.58,41.744,79.831,22.509,131.579,108.28200000000001,152.465,105.72399999999999,144.114,106.344,75.575,111.177,107.15899999999999,109.178,117.448,112.678,299.92,92.50399999999999,213.048,96.09700000000001,199.953,97.53200000000001,237.271,94.741,114.074,94.694,183.356,103.402,208.417,100.06700000000001,190.878,99.889,259.028,102.633,90.96700000000001,104.161,153.122,78.218,195.475,78.472,128.39700000000002,80.806,142.619,81.59899999999999,234.92,82.12100000000001,203.62599999999998,81.89699999999999,101.45100000000001,88.204,142.576,62.43600000000001,246.06599999999997,63.716,131.55100000000002,68.833,139.148,69.297,189.085,64.693,237.263,66.32,231.543,70.001,218.767,70.43,84.781,70.24600000000001,185.80200000000002,71.905,115.785,72.251,132.356,174.554,33.37,172.27900000000002,236.248,176.683,53.8,179.063,226.71,175.80700000000002,34.069,182.89,84.182,183.919,57.41,186.65200000000002,46.854,155.505,36.334,154.702,159.335,151.946,29.515,152.905,218.24099999999999,158.03,26.607,157.94299999999998,204.40400000000002,155.39600000000002,136.04399999999998,163.95,147.09799999999998,159.856,291.21299999999997,162.071,16.679000000000002,169.36700000000002,209.683,166.15200000000002,34.98,165.975,68.916,168.482,76.207,166.755,154.751,139.82,61.888999999999996,140.002,54.098,139.672,79.122,143.25,296.925,143.16,194.52700000000002,143.116,263.874,142.295,202.222,147.549,300.565,148.424,34.294000000000004,146.24,62.409,152.20600000000002,307.221,151.032,73.055,151.636,179.301,122.848,32.455999999999996,121.119,142.379,121.411,181.96599999999998,133.30100000000002,272.135,130.257,195.375,129.821,239.577,137.246,143.664,133.89,199.891,188.753,101.50299999999999,188.188,14.235,194.356,39.758,194.02,49.511,200.551,211.563,197.22099999999998,22.473000000000003,196.343,133.188,205.637,,,,,,
334.25,1337.0,,115.022,42.592,220.713,49.501000000000005,196.72,52.015,211.565,50.126999999999995,237.15099999999998,56.156000000000006,230.274,55.301,129.44799999999998,55.442,215.888,30.484,201.262,36.787,255.02200000000002,36.426,245.28,35.64,215.585,41.722,79.811,22.506999999999998,131.589,108.291,152.484,105.721,144.112,106.34200000000001,75.559,111.18,107.14399999999999,109.162,117.459,112.70100000000001,299.913,92.49600000000001,213.058,96.09,199.945,97.537,237.27599999999998,94.744,114.098,94.711,183.361,103.389,208.425,100.072,190.875,99.897,259.017,102.624,90.98700000000001,104.156,153.135,78.197,195.44400000000002,78.52199999999999,128.395,80.797,142.643,81.602,234.896,82.115,203.574,81.904,101.47,88.205,142.56,62.441,246.093,63.678000000000004,131.547,68.84,139.137,69.291,189.079,64.703,237.269,66.32,231.56,69.992,218.743,70.443,84.765,70.253,185.803,71.918,115.834,72.265,132.401,174.52200000000002,33.367,172.274,236.247,176.669,53.714,179.07299999999998,226.72400000000002,175.8,34.071999999999996,182.91099999999997,84.175,183.916,57.393,186.65599999999998,46.854,155.505,36.34,154.692,159.334,151.923,29.515,152.89700000000002,218.166,158.023,26.612,157.93,204.338,155.43200000000002,136.04,163.965,147.099,159.835,291.205,162.063,16.637999999999998,169.352,209.678,166.149,34.981,165.96200000000002,68.89399999999999,168.46400000000003,76.207,166.75900000000001,154.75,139.827,61.891000000000005,140.003,54.102,139.675,79.142,143.291,296.92900000000003,143.15,194.532,143.124,263.878,142.31,202.22299999999998,147.553,300.58,148.46200000000002,34.296,146.269,62.419,152.207,307.218,151.031,73.04899999999999,151.643,179.295,122.846,32.446999999999996,121.10700000000001,142.38299999999998,121.40799999999999,181.96900000000002,133.30200000000002,272.132,130.255,195.392,129.826,239.49599999999998,137.01,143.641,133.916,199.891,188.74599999999998,101.508,188.19,14.235,194.359,39.760999999999996,194.03,49.515,200.549,211.555,197.24400000000003,22.473000000000003,196.343,133.158,205.56900000000002,,,,,,
334.5,1338.0,,115.042,42.56399999999999,220.673,49.49,196.71599999999998,52.007,211.56,50.126000000000005,237.143,56.15,230.247,55.331,129.548,55.39,215.889,30.494,201.262,36.811,255.02700000000002,36.449,245.275,35.648,215.606,41.727,79.87,22.486,131.597,108.28399999999999,152.489,105.72,144.114,106.335,75.571,111.18,107.147,109.161,117.46700000000001,112.671,299.913,92.477,213.058,96.096,199.945,97.516,237.285,94.73299999999999,114.079,94.721,183.34900000000002,103.35600000000001,208.416,100.072,190.852,99.89299999999999,259.015,102.624,90.999,104.147,153.162,78.186,195.419,78.5,128.378,80.78399999999999,142.661,81.613,234.892,82.118,203.572,81.89,101.473,88.197,142.535,62.468999999999994,246.088,63.721000000000004,131.55200000000002,68.839,139.126,69.282,189.085,64.693,237.269,66.316,231.582,70.001,218.71,70.456,84.786,70.26100000000001,185.793,71.91199999999999,115.854,72.339,132.389,174.519,33.37,172.271,236.253,176.66400000000002,53.724,179.074,226.75799999999998,175.79,34.06,182.93,84.178,183.90200000000002,57.372,186.67700000000002,46.857,155.50799999999998,36.342,154.696,159.326,151.916,29.511999999999997,152.891,218.135,158.032,26.625,157.931,204.32,155.418,136.06,163.94400000000002,147.102,159.847,291.189,162.072,16.633,169.362,209.66400000000002,166.17,34.974000000000004,165.93099999999998,68.903,168.468,76.202,166.75599999999997,154.761,139.832,61.905,140.018,54.115,139.667,79.131,143.279,296.925,143.149,194.52900000000002,143.131,263.876,142.296,202.22099999999998,147.558,300.574,148.451,34.28,146.275,62.426,152.208,307.203,151.043,73.03399999999999,151.64600000000002,179.294,122.839,32.47,121.102,142.375,121.396,181.96400000000003,133.314,272.125,130.255,195.37900000000002,129.826,239.618,137.267,143.673,133.899,199.894,188.74599999999998,101.49700000000001,188.192,14.235999999999999,194.361,39.751999999999995,194.033,49.541000000000004,200.541,211.54,197.22299999999998,22.47,196.34599999999998,133.086,205.602,,,,,,
334.75,1339.0,,115.04299999999999,42.538999999999994,220.67700000000002,49.48,196.738,51.996,211.55200000000002,50.125,237.13400000000001,56.147,230.304,55.35,129.44299999999998,55.406000000000006,215.899,30.499000000000002,201.28900000000002,36.8,255.002,36.454,245.28599999999997,35.648,215.614,41.733999999999995,79.867,22.505,131.60399999999998,108.31200000000001,152.477,105.73700000000001,144.112,106.34100000000001,75.581,111.17399999999999,107.13799999999999,109.15100000000001,117.48200000000001,112.69,299.915,92.479,213.072,96.09299999999999,199.942,97.542,237.273,94.74600000000001,114.086,94.70100000000001,183.317,103.344,208.426,100.07799999999999,190.856,99.891,259.005,102.631,91.02,104.164,153.148,78.188,195.425,78.457,128.364,80.781,142.643,81.608,234.90400000000002,82.111,203.53799999999998,81.883,101.469,88.191,142.561,62.367,246.113,63.696000000000005,131.55200000000002,68.89399999999999,139.124,69.275,189.08,64.685,237.261,66.312,231.58,70.014,218.69099999999997,70.447,84.789,70.232,185.791,71.905,115.887,72.313,132.382,174.53,33.373000000000005,172.28,236.263,176.649,53.614,179.076,226.828,175.782,34.049,182.94,84.171,183.89700000000002,57.398,186.67700000000002,46.857,155.51,36.339,154.69,159.339,151.94899999999998,29.506,152.894,218.11,158.039,26.625,157.936,204.298,155.433,136.064,163.93200000000002,147.097,159.85399999999998,291.185,162.08700000000002,16.592,169.362,209.665,166.168,34.984,165.965,68.887,168.46599999999998,76.19800000000001,166.76,154.765,139.82299999999998,61.923,140.023,54.11600000000001,139.655,79.123,143.298,296.926,143.15,194.533,143.14600000000002,263.85900000000004,142.292,202.21200000000002,147.561,300.58299999999997,148.465,34.279,146.25799999999998,62.426,152.216,307.197,151.04,73.012,151.661,179.291,122.82700000000001,32.473,121.103,142.377,121.396,181.96599999999998,133.317,272.131,130.25,195.37599999999998,129.82,239.563,137.234,143.708,133.89700000000002,199.886,188.732,101.495,188.209,14.220999999999998,194.36900000000003,39.74,194.03900000000002,49.548,200.535,211.528,197.235,22.465999999999998,196.34400000000002,133.191,205.576,,,,,,
335.0,1340.0,,114.985,42.52,220.683,49.483000000000004,196.74200000000002,51.993,211.549,50.128,237.11599999999999,56.159,230.313,55.333999999999996,129.532,55.342,215.889,30.45,201.292,36.817,255.019,36.453,245.30700000000002,35.648,215.609,41.726000000000006,79.848,22.483,131.605,108.314,152.489,105.71600000000001,144.113,106.331,75.562,111.18,107.132,109.154,117.475,112.691,299.914,92.484,213.048,96.11399999999999,199.947,97.53,237.266,94.74,114.04899999999999,94.705,183.31099999999998,103.337,208.435,100.068,190.86700000000002,99.887,259.019,102.62299999999999,91.006,104.166,153.132,78.194,195.41099999999997,78.422,128.33700000000002,80.793,142.615,81.575,234.89,82.154,203.58,81.87899999999999,101.479,88.194,142.493,62.402,246.097,63.698,131.547,68.884,139.107,69.283,189.08700000000002,64.702,237.261,66.312,231.613,70.02600000000001,218.697,70.446,84.788,70.25,185.796,71.90100000000001,115.88,72.286,132.40200000000002,174.551,33.372,172.282,236.263,176.64,53.611999999999995,179.077,226.832,175.78599999999997,34.045,182.99900000000002,84.16799999999999,183.91299999999998,57.43899999999999,186.667,46.85,155.515,36.361,154.691,159.346,151.954,29.504,152.895,218.12099999999998,158.016,26.623,157.939,204.155,155.52,136.075,163.942,147.10399999999998,159.852,291.184,162.072,16.573,169.38299999999998,209.668,166.15200000000002,34.991,165.988,68.907,168.47,76.215,166.75400000000002,154.768,139.821,61.917,140.032,54.123000000000005,139.66299999999998,79.12100000000001,143.274,296.92,143.156,194.54,143.157,263.849,142.29399999999998,202.209,147.584,300.591,148.45,34.258,146.27100000000002,62.428000000000004,152.19799999999998,307.19599999999997,151.036,72.976,151.67700000000002,179.28599999999997,122.814,32.496,121.117,142.393,121.37200000000001,181.97,133.30200000000002,272.122,130.236,195.386,129.811,239.571,137.303,143.72,133.889,199.888,188.725,101.49,188.248,14.197000000000001,194.372,39.731,194.05,49.523,200.541,211.528,197.24200000000002,22.464000000000002,196.342,133.251,205.525,,,,,,
335.25,1341.0,,114.95100000000001,42.516999999999996,220.695,49.467,196.733,51.993,211.548,50.13,237.136,56.151,230.345,55.325,129.526,55.327,215.892,30.393,201.324,36.797,255.02200000000002,36.453,245.325,35.633,215.63400000000001,41.735,79.84100000000001,22.489,131.631,108.321,152.483,105.714,144.115,106.319,75.548,111.18700000000001,107.148,109.15100000000001,117.48299999999999,112.681,299.938,92.485,213.08599999999998,96.141,199.949,97.53299999999999,237.262,94.744,114.12200000000001,94.729,183.312,103.33,208.451,100.06200000000001,190.86,99.906,259.013,102.634,90.99,104.155,153.134,78.183,195.417,78.437,128.33700000000002,80.793,142.59799999999998,81.551,234.894,82.132,203.637,81.917,101.485,88.18299999999999,142.494,62.361000000000004,246.07299999999998,63.674,131.55700000000002,68.888,139.119,69.295,189.08900000000003,64.695,237.248,66.313,231.645,70.009,218.706,70.441,84.78399999999999,70.257,185.801,71.891,115.88799999999999,72.334,132.446,174.52700000000002,33.369,172.27700000000002,236.261,176.638,53.58,179.08599999999998,226.84400000000002,175.785,34.038000000000004,183.02200000000002,84.17,183.89,57.42100000000001,186.666,46.853,155.52200000000002,36.361999999999995,154.695,159.361,151.969,29.505,152.89,218.09799999999998,158.049,26.615,157.954,204.14,155.52100000000002,136.065,163.94799999999998,147.108,159.84799999999998,291.186,162.078,16.582,169.365,209.672,166.15599999999998,34.978,165.954,68.888,168.454,76.217,166.75900000000001,154.77,139.822,61.913999999999994,140.028,54.123999999999995,139.661,79.133,143.275,296.922,143.16,194.543,143.154,263.845,142.292,202.208,147.595,300.594,148.423,34.281,146.24200000000002,62.431999999999995,152.192,307.209,151.029,72.949,151.679,179.27700000000002,122.79899999999999,32.532,121.10799999999999,142.385,121.34899999999999,181.97099999999998,133.296,272.115,130.22899999999998,195.37900000000002,129.793,239.58,137.384,143.72799999999998,133.875,199.88299999999998,188.72400000000002,101.5,188.255,14.202,194.36900000000003,39.744,194.03599999999997,49.527,200.545,211.53599999999997,197.24,22.468000000000004,196.33599999999998,133.135,205.59599999999998,,,,,,
335.5,1342.0,,114.87700000000001,42.511,220.704,49.45399999999999,196.72799999999998,51.996,211.545,50.13399999999999,237.141,56.13399999999999,230.34599999999998,55.343999999999994,129.50799999999998,55.293,215.888,30.487,201.315,36.814,255.015,36.453,245.297,35.632,215.649,41.735,79.84899999999999,22.496,131.632,108.344,152.483,105.71,144.113,106.33,75.543,111.161,107.154,109.13600000000001,117.484,112.68799999999999,299.934,92.48200000000001,213.101,96.13799999999999,199.95,97.524,237.25799999999998,94.729,114.164,94.71799999999999,183.278,103.31,208.437,100.05799999999999,190.84599999999998,99.90100000000001,259.014,102.64200000000001,90.964,104.154,153.127,78.185,195.41400000000002,78.42399999999999,128.35299999999998,80.793,142.631,81.558,234.905,82.11200000000001,203.61900000000003,81.911,101.49799999999999,88.18299999999999,142.491,62.315,246.09799999999998,63.67100000000001,131.55200000000002,68.86399999999999,139.138,69.28699999999999,189.08700000000002,64.695,237.24400000000003,66.319,231.655,70.018,218.707,70.444,84.779,70.28,185.813,71.866,115.897,72.34100000000001,132.38299999999998,174.56099999999998,33.378,172.283,236.265,176.606,53.495,179.095,226.892,175.77,34.025999999999996,183.02900000000002,84.171,183.88099999999997,57.457,186.669,46.855,155.516,36.364000000000004,154.7,159.358,151.93200000000002,29.500999999999998,152.885,218.104,158.035,26.616999999999997,157.964,204.11700000000002,155.511,136.03799999999998,163.958,147.109,159.847,291.16900000000004,162.071,16.587,169.38,209.643,166.146,34.972,165.898,68.907,168.453,76.215,166.764,154.783,139.8,61.933,140.02100000000002,54.119,139.664,79.134,143.273,296.922,143.157,194.545,143.17,263.845,142.30200000000002,202.215,147.59799999999998,300.596,148.42600000000002,34.278,146.24,62.442,152.188,307.224,151.02700000000002,72.95100000000001,151.672,179.269,122.785,32.54,121.103,142.39,121.375,181.968,133.283,272.118,130.22299999999998,195.38099999999997,129.79,239.55200000000002,137.4,143.749,133.879,199.88,188.699,101.493,188.257,14.212,194.37599999999998,39.738,194.046,49.528,200.55200000000002,211.53900000000002,197.257,22.476,196.338,133.255,205.549,,,,,,
