 ,X,Y
1,164.000,80.000
2,163.287,78.597
3,162.721,76.493
4,162.189,74.047
5,161.580,71.613
6,160.781,69.547
7,159.756,68.011
8,158.617,66.789
9,157.494,65.619
10,156.514,64.250
11,155.706,62.613
12,155.008,60.817
13,154.356,58.975
14,153.687,57.200
15,152.962,55.543
16,152.175,53.985
17,151.320,52.507
18,150.389,51.087
19,149.379,49.715
20,148.283,48.387
21,147.095,47.098
22,145.821,45.840
23,144.505,44.590
24,143.207,43.316
25,141.989,41.987
26,140.887,40.593
27,139.848,39.193
28,138.798,37.864
29,137.664,36.682
30,136.395,35.690
31,134.987,34.861
32,133.440,34.167
33,131.756,33.578
34,129.980,33.060
35,128.176,32.583
36,126.410,32.115
37,124.738,31.624
38,123.138,31.102
39,121.546,30.549
40,119.900,29.965
41,118.153,29.362
42,116.305,28.796
43,114.366,28.330
44,112.345,28.030
45,110.255,27.946
46,108.115,28.060
47,105.951,28.318
48,103.786,28.671
49,101.645,29.067
50,99.547,29.472
51,97.498,29.893
52,95.505,30.344
53,93.571,30.840
54,91.702,31.394
55,89.906,32.029
56,88.191,32.771
57,86.566,33.645
58,85.041,34.675
59,83.633,35.858
60,82.368,37.171
61,81.271,38.591
62,80.359,40.096
63,79.583,41.660
64,78.851,43.256
65,78.074,44.859
66,77.181,46.450
67,76.203,48.058
68,75.202,49.728
69,74.242,51.502
70,73.380,53.417
71,72.629,55.436
72,71.976,57.484
73,71.405,59.484
74,70.905,61.361
75,70.444,63.077
76,69.954,64.679
77,69.360,66.226
78,68.591,67.775
79,67.621,69.356
80,66.472,70.971
81,65.167,72.622
82,63.730,74.309
83,62.201,76.035
84,60.658,77.803
85,59.187,79.620
86,57.872,81.488
87,56.796,83.413
88,55.989,85.391
89,55.361,87.395
90,54.804,89.400
91,54.214,91.376
92,53.493,93.301
93,52.642,95.193
94,51.725,97.097
95,50.807,99.061
96,49.951,101.128
97,49.192,103.308
98,48.454,105.481
99,47.641,107.501
100,46.659,109.223
101,45.413,110.505
102,43.908,111.369
103,42.262,112.028
104,40.597,112.702
105,39.029,113.600
106,37.569,114.747
107,36.154,116.041
108,34.720,117.373
109,33.204,118.642
110,31.630,119.830
111,30.098,121.000
112,28.713,122.221
113,27.577,123.557
114,26.701,125.035
115,25.978,126.626
116,25.294,128.300
117,24.540,130.026
118,23.684,131.793
119,22.757,133.603
120,21.790,135.460
121,20.816,137.366
122,19.862,139.317
123,18.948,141.288
124,18.090,143.254
125,17.308,145.188
126,16.618,147.065
127,16.030,148.905
128,15.549,150.758
129,15.180,152.679
130,14.926,154.721
131,14.785,156.897
132,14.744,159.165
133,14.790,161.476
134,14.910,163.782
135,15.091,166.036
136,15.347,168.203
137,15.720,170.264
138,16.255,172.200
139,16.996,173.992
140,17.970,175.629
141,19.139,177.131
142,20.445,178.528
143,21.833,179.848
144,23.254,181.117
145,24.695,182.348
146,26.160,183.550
147,27.651,184.730
148,29.175,185.891
149,30.754,186.990
150,32.424,187.964
151,34.220,188.748
152,36.172,189.283
153,38.264,189.590
154,40.442,189.752
155,42.652,189.856
156,44.837,189.987
157,46.953,190.219
158,49.000,190.571
159,50.993,191.041
160,52.947,191.630
161,54.878,192.335
162,56.806,193.113
163,58.758,193.874
164,60.758,194.526
165,62.835,194.976
166,65.007,195.159
167,67.252,195.144
168,69.537,195.039
169,71.828,194.956
170,74.093,195.006
171,76.304,195.263
172,78.464,195.681
173,80.577,196.183
174,82.652,196.694
175,84.694,197.141
176,86.715,197.482
177,88.730,197.728
178,90.759,197.893
179,92.818,197.994
180,94.921,198.043
181,97.061,198.056
182,99.224,198.043
183,101.394,198.018
184,103.558,197.995
185,105.709,197.980
186,107.853,197.975
187,109.996,197.980
188,112.146,197.993
189,114.310,198.013
190,116.481,198.035
191,118.646,198.048
192,120.789,198.041
193,122.897,198.003
194,124.953,197.920
195,126.937,197.766
196,128.830,197.507
197,130.611,197.113
198,132.266,196.554
199,133.830,195.840
200,135.366,194.994
201,136.935,194.040
202,138.587,193.003
203,140.319,191.908
204,142.114,190.777
205,143.955,189.636
206,145.823,188.507
207,147.691,187.399
208,149.517,186.302
209,151.259,185.203
210,152.876,184.091
211,154.335,182.951
212,155.653,181.748
213,156.866,180.442
214,158.006,178.992
215,159.105,177.373
216,160.189,175.624
217,161.280,173.797
218,162.402,171.946
219,163.577,170.122
220,164.784,168.343
221,165.962,166.588
222,167.046,164.835
223,167.971,163.064
224,168.690,161.253
225,169.226,159.396
226,169.625,157.488
227,169.930,155.524
228,170.184,153.500
229,170.409,151.415
230,170.615,149.274
231,170.813,147.080
232,171.015,144.836
233,171.226,142.545
234,171.440,140.217
235,171.646,137.858
236,171.834,135.478
237,171.995,133.083
238,172.119,130.683
239,172.194,128.291
240,172.211,125.921
241,172.158,123.586
242,172.024,121.299
243,171.807,119.072
244,171.543,116.899
245,171.284,114.768
246,171.083,112.666
247,170.993,110.581
248,171.027,108.497
249,171.111,106.393
250,171.162,104.245
251,171.093,102.031
252,170.825,99.727
253,170.356,97.340
254,169.759,94.902
255,169.104,92.443
256,168.465,89.996
257,167.915,87.592
258,167.477,85.302
259,167.059,83.298
260,166.548,81.764
261,165.836,80.883
262,164.913,80.548
263,164.000,80.000
