 ,X,Y
1,284.000,80.000
2,283.008,78.125
3,282.096,76.288
4,281.229,74.482
5,280.371,72.699
6,279.489,70.932
7,278.548,69.172
8,277.539,67.414
9,276.480,65.654
10,275.390,63.887
11,274.287,62.110
12,273.191,60.318
13,272.117,58.508
14,271.063,56.693
15,270.016,54.889
16,268.965,53.112
17,267.898,51.380
18,266.804,49.710
19,265.677,48.108
20,264.528,46.562
21,263.367,45.053
22,262.207,43.564
23,261.059,42.078
24,259.931,40.584
25,258.800,39.105
26,257.637,37.674
27,256.414,36.323
28,255.100,35.085
29,253.676,33.982
30,252.153,32.984
31,250.559,32.044
32,248.917,31.116
33,247.253,30.153
34,245.591,29.116
35,243.934,28.016
36,242.281,26.882
37,240.629,25.745
38,238.977,24.633
39,237.322,23.576
40,235.657,22.600
41,233.966,21.725
42,232.233,20.973
43,230.445,20.363
44,228.584,19.917
45,226.647,19.642
46,224.652,19.524
47,222.621,19.543
48,220.575,19.682
49,218.536,19.922
50,216.524,20.246
51,214.556,20.655
52,212.642,21.159
53,210.796,21.770
54,209.029,22.497
55,207.354,23.350
56,205.761,24.315
57,204.214,25.341
58,202.677,26.376
59,201.111,27.369
60,199.479,28.269
61,197.770,29.061
62,196.013,29.790
63,194.242,30.508
64,192.491,31.264
65,190.794,32.112
66,189.179,33.086
67,187.666,34.186
68,186.269,35.402
69,185.006,36.727
70,183.893,38.151
71,182.932,39.664
72,182.091,41.250
73,181.329,42.891
74,180.607,44.570
75,179.885,46.268
76,179.136,47.980
77,178.374,49.727
78,177.615,51.535
79,176.878,53.429
80,176.179,55.437
81,175.536,57.579
82,174.953,59.839
83,174.431,62.179
84,173.968,64.562
85,173.564,66.951
86,173.218,69.307
87,172.930,71.593
88,172.694,73.784
89,172.499,75.878
90,172.333,77.877
91,172.183,79.782
92,172.035,81.592
93,171.878,83.314
94,171.703,84.981
95,171.499,86.641
96,171.261,88.342
97,170.978,90.134
98,170.648,92.048
99,170.288,94.068
100,169.915,96.166
101,169.550,98.316
102,169.210,100.489
103,168.916,102.659
104,168.676,104.814
105,168.482,106.962
106,168.324,109.118
107,168.191,111.295
108,168.074,113.504
109,167.963,115.758
110,167.858,118.061
111,167.775,120.400
112,167.729,122.761
113,167.738,125.129
114,167.818,127.492
115,167.984,129.836
116,168.252,132.148
117,168.614,134.428
118,169.059,136.679
119,169.577,138.905
120,170.156,141.107
121,170.785,143.289
122,171.453,145.454
123,172.158,147.611
124,172.900,149.771
125,173.682,151.946
126,174.503,154.150
127,175.367,156.392
128,176.273,158.686
129,177.216,161.028
130,178.175,163.385
131,179.129,165.725
132,180.055,168.014
133,180.932,170.219
134,181.739,172.304
135,182.457,174.240
136,183.129,176.023
137,183.832,177.667
138,184.647,179.188
139,185.654,180.601
140,186.924,181.923
141,188.430,183.178
142,190.092,184.399
143,191.828,185.616
144,193.555,186.860
145,195.191,188.162
146,196.682,189.535
147,198.058,190.942
148,199.357,192.336
149,200.622,193.673
150,201.894,194.905
151,203.212,195.996
152,204.600,196.947
153,206.080,197.777
154,207.672,198.500
155,209.397,199.135
156,211.259,199.689
157,213.225,200.157
158,215.258,200.532
159,217.321,200.806
160,219.378,200.972
161,221.392,201.023
162,223.356,200.962
163,225.275,200.800
164,227.154,200.547
165,229.000,200.214
166,230.818,199.809
167,232.613,199.338
168,234.388,198.796
169,236.145,198.180
170,237.888,197.487
171,239.620,196.713
172,241.350,195.865
173,243.099,194.963
174,244.886,194.029
175,246.734,193.086
176,248.661,192.156
177,250.685,191.258
178,252.785,190.396
179,254.931,189.567
180,257.087,188.768
181,259.223,187.997
182,261.306,187.250
183,263.305,186.526
184,265.223,185.839
185,267.085,185.210
186,268.916,184.665
187,270.740,184.227
188,272.584,183.918
189,274.459,183.731
190,276.361,183.606
191,278.280,183.481
192,280.209,183.290
193,282.140,182.971
194,284.065,182.480
195,285.968,181.836
196,287.835,181.074
197,289.650,180.226
198,291.399,179.325
199,293.069,178.403
200,294.669,177.466
201,296.226,176.505
202,297.766,175.509
203,299.318,174.468
204,300.905,173.371
205,302.512,172.209
206,304.093,170.973
207,305.600,169.653
208,306.985,168.241
209,308.199,166.726
210,309.217,165.109
211,310.068,163.408
212,310.790,161.646
213,311.419,159.844
214,311.992,158.025
215,312.536,156.205
216,313.034,154.371
217,313.458,152.505
218,313.780,150.588
219,313.972,148.602
220,314.009,146.531
221,313.883,144.411
222,313.600,142.306
223,313.166,140.281
224,312.585,138.398
225,311.863,136.723
226,311.018,135.274
227,310.096,133.966
228,309.151,132.700
229,308.232,131.373
230,307.386,129.896
231,306.609,128.262
232,305.868,126.513
233,305.131,124.692
234,304.365,122.839
235,303.541,120.997
236,302.656,119.178
237,301.733,117.375
238,300.798,115.579
239,299.874,113.780
240,298.985,111.969
241,298.152,110.140
242,297.371,108.297
243,296.634,106.447
244,295.936,104.596
245,295.267,102.752
246,294.620,100.921
247,293.976,99.098
248,293.304,97.275
249,292.577,95.439
250,291.765,93.581
251,290.840,91.688
252,289.790,89.757
253,288.649,87.800
254,287.459,85.832
255,286.260,83.866
256,285.093,81.917
257,284.000,80.000
