TimesH,Frame,NoMissing,3,3,8,8,15,15,19,19,33,33,40,40,44,44,48,48,60,60,65,65,81,81,104,104,111,111,119,119,121,121,123,123,126,126,127,127,132,132,133,133,136,136,143,143,147,147,151,151,156,156,157,157,160,160,163,163,165,165,170,170,173,173,174,174,180,180,184,184,185,185,187,187,189,189,190,190,193,193,194,194,198,198,206,206,214,214,215,215,217,217,220,220,221,221,222,222,227,227,229,229,233,233,234,234,235,235,262,262,267,267,270,270,271,271,272,272,284,284,286,286,288,288,292,292,293,293,906,906,1031,1031,1107,1107,1241,1241,1384,1384
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,218.472,52.092,79.661,48.632,58.208999999999996,44.543,49.102,60.224,111.68,66.98,122.874,63.373999999999995,38.459,61.699,125.59200000000001,74.366,333.476,68.506,245.111,22.425,233.43400000000003,30.489,223.782,44.401,203.218,40.271,155.308,111.338,211.08700000000002,111.90899999999999,161.321,108.77,253.833,108.27799999999999,202.49,106.48700000000001,72.513,117.92,128.887,118.579,222.261,116.476,187.503,114.223,248.923,126.40799999999999,220.15200000000002,124.555,211.247,119.514,158.149,118.596,191.65099999999998,135.874,209.303,133.286,201.003,135.144,,,200.523,128.144,308.83299999999997,81.237,206.606,80.918,160.81,78.725,141.571,78.828,152.476,75.333,63.198,76.357,291.825,88.229,46.556000000000004,88.04700000000001,135.733,87.149,190.476,84.70100000000001,145.183,96.772,342.4,90.542,191.35,91.68799999999999,55.983000000000004,89.822,125.51100000000001,103.92299999999999,233.442,101.97399999999999,288.617,103.81200000000001,209.15099999999998,101.814,70.363,98.78,157.088,97.399,305.556,97.934,201.312,97.62899999999999,243.696,146.951,209.921,143.49,112.904,142.155,225.767,137.825,101.68700000000001,138.118,217.666,152.319,86.524,148.225,235.99,149.15,99.848,171.21400000000003,117.98,167.516,,,,,,,,,,
0.25,1.0,,218.618,52.306000000000004,79.681,48.574,57.898,44.581,49.081,60.222,111.693,66.971,122.85799999999999,63.449,38.59,61.59,125.60799999999999,74.378,333.51099999999997,68.446,245.141,22.425,233.449,30.503,223.81099999999998,44.403,203.278,40.171,155.304,111.323,211.082,111.906,161.305,108.772,253.863,108.19,202.487,106.50200000000001,72.712,117.84200000000001,128.892,118.598,222.298,116.488,187.49900000000002,114.255,248.93,126.414,220.203,124.58200000000001,210.877,119.565,158.186,118.63600000000001,191.627,135.876,209.327,133.287,201.019,135.184,,,200.525,128.136,308.851,81.19800000000001,206.608,80.906,160.826,78.767,141.532,78.844,152.486,75.347,63.199,76.355,291.857,88.212,46.542,88.052,135.773,87.056,190.47,84.70100000000001,145.186,96.743,342.434,90.586,191.28,91.63799999999999,55.941,89.855,125.55799999999999,104.01,233.36599999999999,102.111,288.612,103.81,209.155,101.82700000000001,70.188,98.83,157.10399999999998,97.40799999999999,305.596,97.93700000000001,201.304,97.62700000000001,243.704,146.961,209.94799999999998,143.52700000000002,112.977,142.161,225.735,137.906,101.663,138.114,217.668,152.313,86.525,148.268,236.049,149.159,99.861,171.229,117.986,167.497,,,,,,,,,,
0.5,2.0,,218.607,52.402,79.635,48.575,57.806999999999995,44.593999999999994,49.07,60.208999999999996,111.67399999999999,66.992,122.861,63.452,38.84,61.457,125.523,74.40100000000001,333.529,68.483,245.138,22.426,233.451,30.564,223.81099999999998,44.4,203.206,40.163000000000004,155.30700000000002,111.306,211.15400000000002,111.912,161.311,108.772,254.093,108.40799999999999,202.5,106.495,72.722,117.95200000000001,128.814,118.601,222.312,116.494,187.574,114.25,248.93599999999998,126.429,220.22099999999998,124.58200000000001,210.882,119.633,158.235,118.634,191.65900000000002,135.89,209.351,133.343,201.053,135.22,136.124,127.073,200.55599999999998,128.138,308.91700000000003,81.199,206.61900000000003,80.90100000000001,160.83700000000002,78.803,141.542,78.902,152.483,75.345,63.196000000000005,76.35600000000001,291.867,88.206,46.513000000000005,88.04799999999999,135.773,87.098,190.467,84.70200000000001,145.178,96.679,342.45300000000003,90.594,191.31,91.588,55.93,89.87200000000001,125.54,104.016,233.378,102.166,288.626,103.819,209.15099999999998,101.83200000000001,70.095,98.814,157.114,97.412,305.42,97.791,201.312,97.619,243.74400000000003,146.94799999999998,209.947,143.55700000000002,112.915,142.172,225.787,137.767,101.69200000000001,138.10299999999998,217.655,152.315,86.54899999999999,148.291,236.035,149.184,99.86200000000001,171.234,117.988,167.50799999999998,,,,,,,,,,
0.75,3.0,,218.43,52.159,79.671,48.55,57.435,44.61600000000001,49.071999999999996,60.198,111.655,66.98,122.913,63.49100000000001,38.819,61.461999999999996,125.47,74.429,333.606,68.479,245.139,22.421,233.48,30.56,223.832,44.396,203.615,39.977,155.30700000000002,111.285,211.169,111.90799999999999,161.317,108.755,254.035,108.369,202.516,106.49600000000001,72.703,117.91,128.805,118.632,222.317,116.488,187.608,114.243,248.93599999999998,126.42,220.204,124.56,210.933,119.711,158.24,118.679,191.688,135.906,209.31400000000002,133.343,200.886,135.22299999999998,136.145,127.065,200.58,128.127,308.952,81.18,206.64,80.888,160.866,78.757,141.491,78.866,152.483,75.351,63.18899999999999,76.366,291.909,88.20200000000001,46.489,88.029,135.714,86.96799999999999,190.46099999999998,84.699,145.17600000000002,96.62700000000001,342.543,90.695,191.33,91.675,55.888999999999996,89.883,125.436,104.096,233.34,102.14299999999999,288.643,103.837,209.153,101.829,70.313,98.823,157.12,97.399,305.504,97.709,201.321,97.61,243.706,146.914,210.053,143.42600000000002,112.95700000000001,142.16899999999998,225.78400000000002,137.79,101.71700000000001,138.092,217.644,152.321,86.55799999999999,148.30700000000002,236.058,149.231,99.852,171.22299999999998,117.969,167.52200000000002,,,,,,,,,,
1.0,4.0,,218.392,52.225,79.683,48.427,57.567,44.597,49.08,60.193000000000005,111.63,67.001,122.919,63.474,38.783,61.472,125.48899999999999,74.449,333.664,68.454,245.15900000000002,22.403000000000002,233.47799999999998,30.535999999999998,223.829,44.408,203.967,39.705999999999996,155.32,111.292,211.18200000000002,111.89399999999999,161.332,108.75,254.08599999999998,108.458,202.486,106.568,72.736,117.90700000000001,128.77200000000002,118.68,222.315,116.48200000000001,187.543,114.26100000000001,248.92,126.412,220.225,124.56200000000001,210.62900000000002,119.76899999999999,158.268,118.73899999999999,191.685,135.929,209.32,133.368,201.03599999999997,135.235,136.175,127.041,200.581,128.121,308.975,81.17399999999999,206.636,80.884,160.872,78.743,141.45,78.835,152.47899999999998,75.347,63.18899999999999,76.37100000000001,291.92400000000004,88.199,46.464,88.038,135.631,86.913,190.424,84.71700000000001,145.157,96.54799999999999,342.55800000000005,90.70700000000001,191.396,91.60700000000001,55.826,89.84200000000001,125.56299999999999,104.088,233.328,102.26799999999999,288.656,103.833,209.15400000000002,101.831,69.999,98.79,157.126,97.4,305.33,97.715,201.312,97.616,243.77900000000002,146.92,210.095,143.32399999999998,112.99600000000001,142.185,225.804,137.805,101.712,138.153,217.65599999999998,152.315,86.538,148.316,236.06099999999998,149.246,99.839,171.23,117.955,167.515,,,,,,,,,,
1.25,5.0,,218.472,52.193999999999996,79.641,48.443999999999996,57.534,44.606,49.067,60.195,111.60799999999999,67.02199999999999,122.93700000000001,63.411,38.759,61.501999999999995,125.542,74.464,333.721,68.419,245.169,22.381999999999998,233.486,30.534000000000002,223.822,44.413999999999994,203.925,39.649,155.325,111.287,211.15099999999998,111.898,161.347,108.728,254.06099999999998,108.434,202.52,106.49799999999999,72.109,117.99700000000001,128.829,118.68,222.35,116.506,187.497,114.33200000000001,248.915,126.40899999999999,220.261,124.586,210.733,119.775,158.265,118.773,191.679,135.938,209.338,133.364,200.894,135.249,136.175,127.165,200.578,128.124,309.012,81.168,206.643,80.878,160.84799999999998,78.763,141.428,78.835,152.482,75.342,63.196999999999996,76.369,291.918,88.181,46.473,88.05,135.575,87.008,190.412,84.727,145.127,96.469,342.539,90.697,191.388,91.575,55.78,89.84299999999999,125.449,104.223,233.363,102.305,288.676,103.84299999999999,209.16400000000002,101.831,70.057,98.794,157.13,97.402,305.29900000000004,97.712,201.305,97.60600000000001,243.83,146.9,210.053,143.194,113.06,142.157,225.77700000000002,137.77700000000002,101.666,138.168,217.662,152.321,86.514,148.369,236.085,149.241,99.79799999999999,171.243,117.949,167.515,,,,,,,,,,
1.5,6.0,,218.248,52.153999999999996,79.579,48.408,57.365,44.657,49.078,60.195,111.61399999999999,67.014,122.97399999999999,63.388999999999996,38.787,61.463,125.62899999999999,74.376,333.718,68.407,245.136,22.366,233.454,30.545,223.83900000000003,44.393,204.055,39.599000000000004,155.30700000000002,111.292,211.112,111.911,161.344,108.71600000000001,254.524,108.90100000000001,202.50599999999997,106.493,72.119,118.12899999999999,128.83,118.656,222.37400000000002,116.507,187.554,114.311,248.925,126.413,220.24400000000003,124.581,210.96,119.689,158.28799999999998,118.837,191.68599999999998,135.94799999999998,209.32,133.316,200.817,135.22899999999998,136.191,127.169,200.567,128.131,309.095,81.15899999999999,206.644,80.888,160.833,78.777,141.459,78.803,152.484,75.348,63.193999999999996,76.373,291.934,88.179,46.476000000000006,88.068,135.596,86.99600000000001,190.394,84.73,145.12,96.39299999999999,342.50699999999995,90.64299999999999,191.45,91.70200000000001,55.773,89.837,125.545,104.17200000000001,233.343,102.449,288.675,103.82600000000001,209.174,101.824,70.112,98.855,157.14,97.40100000000001,305.105,97.73,201.301,97.603,243.804,146.921,210.25099999999998,143.261,113.09700000000001,142.221,225.78,137.66,101.671,138.175,217.68099999999998,152.319,86.521,148.395,236.105,149.263,99.774,171.268,117.969,167.503,,,,,,,,,,
1.75,7.0,,218.31599999999997,52.181999999999995,79.615,48.438,57.44,44.614,49.077,60.183,111.62200000000001,67.032,122.988,63.379,38.838,61.422,125.57600000000001,74.402,333.727,68.404,245.16400000000002,22.328000000000003,233.438,30.581999999999997,223.858,44.379,203.987,39.661,155.315,111.3,211.055,111.90100000000001,161.311,108.743,254.585,109.11,202.49400000000003,106.48899999999999,72.36399999999999,118.07799999999999,128.846,118.65299999999999,222.363,116.508,187.50799999999998,114.316,248.929,126.41,220.255,124.586,210.87900000000002,119.755,158.245,118.896,191.67,135.972,209.30599999999998,133.332,200.891,135.284,136.178,127.209,200.572,128.138,309.17,81.146,206.643,80.895,160.804,78.76100000000001,141.47299999999998,78.828,152.481,75.348,63.199,76.38,291.972,88.17299999999999,46.458999999999996,88.07600000000001,135.578,86.90299999999999,190.38400000000001,84.74600000000001,145.10299999999998,96.37299999999999,342.55400000000003,90.53399999999999,191.548,91.637,55.765,89.807,125.531,104.147,233.248,102.43700000000001,288.691,103.829,209.176,101.819,70.267,98.867,157.142,97.405,305.067,97.787,201.28,97.62700000000001,243.80200000000002,146.917,210.15099999999998,143.069,113.083,142.21200000000002,225.80599999999998,137.542,101.68700000000001,138.181,217.68200000000002,152.325,86.508,148.451,236.078,149.289,99.79700000000001,171.313,117.944,167.50099999999998,,,,,,,,,,
