TimesH,Frame,NoMissing,0,0,4,4,6,6,7,7,14,14,16,16,18,18,19,19,31,31,33,33,36,36,38,38,46,46,47,47,48,48,51,51,52,52,54,54,57,57,58,58,61,61,66,66,75,75,89,89,91,91,92,92,94,94,106,106,144,144,146,146,156,156,159,159,161,161,173,173,182,182,186,186,189,189,196,196,201,201,206,206,209,209,219,219,221,221,222,222,227,227,228,228,229,229,230,230,231,231,233,233,234,234,393,393,410,410,443,443,652,652,1068,1068
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
166.5,666.0,,295.747,87.367,165.109,80.624,296.067,79.654,109.51899999999999,80.533,350.54400000000004,88.057,,,309.863,96.241,153.077,98.17200000000001,72.361,99.01299999999999,338.50199999999995,64.898,34.611,61.217,52.79600000000001,59.849,113.39,67.637,67.169,75.447,128.586,74.671,38.869,73.279,46.288000000000004,72.821,24.590999999999998,72.778,146.094,78.541,314.471,79.046,156.974,75.0,242.952,42.742,232.19400000000002,44.527,25.421,56.95,247.28400000000002,56.349,325.028,56.076,310.6,55.523,239.088,31.781,91.008,149.836,240.49599999999998,148.974,221.201,152.83100000000002,103.27600000000001,171.995,121.384,167.34599999999998,224.825,124.897,205.032,129.828,253.66299999999998,126.59299999999999,105.645,140.145,155.94299999999998,133.27200000000002,115.964,142.983,149.694,105.77799999999999,292.501,103.525,128.459,106.551,216.56400000000002,115.844,227.946,116.867,159.495,112.941,268.918,112.757,202.705,119.941,131.251,120.695,143.665,120.03200000000001,73.804,118.72200000000001,123.07600000000001,117.97200000000001,,,,,,,,,,
166.75,667.0,,295.747,87.369,165.118,80.633,295.824,79.703,109.60600000000001,80.666,350.50199999999995,87.984,,,309.874,96.23899999999999,152.916,98.052,72.429,98.99,338.49199999999996,64.939,34.595,61.233000000000004,52.817,59.857,113.429,67.7,67.185,75.444,128.616,74.685,38.81,73.27600000000001,46.364,72.815,24.59,72.766,146.11,78.53399999999999,314.54200000000003,79.062,156.993,74.99,242.787,42.685,232.19799999999998,44.528,25.497,56.953,247.416,56.43,325.03,56.089,310.65,55.477,239.07,31.779,91.03399999999999,149.81799999999998,240.505,148.97799999999998,221.213,152.84799999999998,103.275,171.99200000000002,121.366,167.285,224.75900000000001,124.87799999999999,205.042,129.832,253.66,126.565,105.64299999999999,140.149,155.906,133.245,116.009,142.964,149.697,105.77600000000001,292.519,103.512,128.46,106.56299999999999,216.614,115.837,227.946,116.866,159.511,112.921,268.957,112.71700000000001,202.611,119.90700000000001,131.282,120.681,143.6,119.99799999999999,73.78399999999999,118.691,123.094,117.96600000000001,,,,,,,,,,
167.0,668.0,,295.76,87.35799999999999,165.142,80.652,295.82099999999997,79.705,109.54899999999999,80.62,350.504,87.93700000000001,,,309.871,96.21799999999999,152.912,97.979,72.702,98.988,338.50800000000004,64.965,34.629,61.191,52.798,59.861000000000004,113.40700000000001,67.709,67.179,75.437,128.614,74.692,38.81,73.34100000000001,46.501000000000005,72.819,24.651999999999997,72.77,146.119,78.53399999999999,314.5,79.06,156.988,75.03,242.963,42.625,232.21200000000002,44.523,25.498,56.968999999999994,247.706,56.553000000000004,325.031,56.106,310.601,55.452,239.075,31.779,91.005,149.799,240.50099999999998,148.97799999999998,221.208,152.829,103.28299999999999,171.985,121.375,167.278,224.738,124.82799999999999,205.03799999999998,129.859,253.672,126.571,105.646,140.14600000000002,156.016,133.21200000000002,116.05,142.967,149.708,105.789,292.528,103.49700000000001,128.424,106.552,216.57299999999998,115.82700000000001,227.96,116.87700000000001,159.532,112.91799999999999,268.97900000000004,112.696,202.645,120.001,131.334,120.664,143.655,119.88,73.91,118.62299999999999,123.191,117.948,,,,,,,,,,
167.25,669.0,,295.751,87.352,165.153,80.652,295.762,79.753,109.479,80.758,350.48199999999997,87.92,191.02900000000002,97.973,309.851,96.236,153.002,98.039,72.962,99.005,338.523,64.965,34.628,61.148,52.788999999999994,59.87,113.397,67.725,67.176,75.432,128.553,74.658,39.012,73.333,46.513000000000005,72.836,24.678,72.777,146.124,78.531,314.468,79.067,156.974,75.053,242.90599999999998,42.706,232.197,44.54,25.534000000000002,56.898999999999994,247.511,56.478,325.026,56.125,310.64799999999997,55.452,239.08900000000003,31.776,90.98700000000001,149.792,240.498,148.983,221.202,152.822,103.28299999999999,171.985,121.374,167.28400000000002,224.761,124.844,205.043,129.857,253.673,126.568,105.656,140.129,155.991,133.164,116.066,142.972,149.707,105.78399999999999,292.519,103.47200000000001,128.415,106.54299999999999,216.577,115.876,227.957,116.86200000000001,159.554,112.919,268.955,112.656,202.61900000000003,120.001,131.384,120.661,143.659,119.845,73.94,118.48899999999999,123.277,117.961,,,,,,,,,,
167.5,670.0,,295.74,87.34700000000001,165.176,80.663,295.779,79.733,109.55799999999999,80.71300000000001,350.465,87.935,191.07299999999998,97.79799999999999,309.872,96.20299999999999,152.811,97.885,73.513,98.994,338.517,64.96300000000001,34.673,61.13399999999999,52.778,59.891000000000005,113.411,67.747,67.189,75.421,128.477,74.69,39.204,73.327,46.538000000000004,72.831,24.714000000000002,72.791,146.14,78.525,314.512,79.07600000000001,156.972,75.061,242.94099999999997,42.681000000000004,232.2,44.538999999999994,25.51,56.912,247.584,56.451,325.015,56.129,310.7,55.336000000000006,239.11,31.778000000000002,90.965,149.78799999999998,240.502,148.97899999999998,221.208,152.811,103.288,171.97099999999998,121.39299999999999,167.25599999999997,224.875,124.889,205.03599999999997,129.88299999999998,253.65200000000002,126.56299999999999,105.65700000000001,140.131,156.16,133.148,116.126,142.931,149.72,105.775,292.466,103.521,128.408,106.54700000000001,216.56,115.87200000000001,227.945,116.865,159.566,112.919,268.89599999999996,112.68799999999999,202.49599999999998,120.009,131.446,120.63799999999999,143.641,119.806,73.92699999999999,118.48100000000001,123.229,117.89200000000001,,,,,,,,,,
167.75,671.0,,295.758,87.355,165.18400000000003,80.646,295.778,79.72800000000001,109.786,80.806,350.51099999999997,87.913,191.262,97.65,309.879,96.21600000000001,152.845,97.946,73.44800000000001,98.992,338.505,64.932,34.676,61.15,52.772,59.905,113.427,67.741,67.197,75.42,128.481,74.693,39.228,73.29899999999999,46.552,72.809,24.721,72.791,146.151,78.52,314.47900000000004,79.033,156.97,75.062,242.93599999999998,42.724,232.19400000000002,44.537,25.424,56.882,247.572,56.449,324.998,56.096000000000004,310.752,55.27,239.122,31.781,90.99700000000001,149.782,240.50599999999997,148.983,221.21099999999998,152.80100000000002,103.285,171.96900000000002,121.387,167.24400000000003,224.898,124.89299999999999,205.051,129.875,253.643,126.587,105.662,140.13299999999998,156.315,133.131,116.132,142.939,149.717,105.773,292.472,103.514,128.39,106.56200000000001,216.612,115.896,227.942,116.87200000000001,159.578,112.921,268.983,112.555,202.51,120.096,131.477,120.641,143.613,119.772,73.921,118.611,123.368,117.932,,,,,,,,,,
168.0,672.0,,295.749,87.36399999999999,165.201,80.643,295.79,79.715,109.728,81.054,350.55300000000005,87.94,191.278,97.818,309.89599999999996,96.196,152.798,97.911,73.539,98.93700000000001,338.49699999999996,64.931,34.692,61.126999999999995,52.812,59.913999999999994,113.4,67.732,67.193,75.418,128.497,74.635,39.33,73.331,46.531000000000006,72.78,24.74,72.791,146.157,78.52199999999999,314.483,79.024,156.966,75.07,243.043,42.7,232.18599999999998,44.543,25.351999999999997,56.891999999999996,247.672,56.473,325.033,56.102,310.809,55.317,239.13400000000001,31.791,91.009,149.77700000000002,240.50599999999997,148.981,221.21200000000002,152.798,103.291,171.965,121.344,167.265,224.815,124.87,205.067,129.86700000000002,253.645,126.56200000000001,105.64399999999999,140.136,156.238,133.11,116.089,142.929,149.70600000000002,105.773,292.476,103.51799999999999,128.33,106.566,216.592,115.911,227.94299999999998,116.876,159.591,112.916,268.957,112.56700000000001,202.52599999999998,120.162,131.53,120.637,143.484,119.72,73.887,118.743,123.411,117.979,,,,,,,,,,
168.25,673.0,,295.743,87.367,165.203,80.637,295.811,79.732,109.63600000000001,81.12,350.55,87.992,191.18200000000002,97.905,309.86,96.204,152.80200000000002,97.87200000000001,73.344,98.985,338.48199999999997,64.923,34.692,61.15,52.821999999999996,59.901,113.404,67.717,67.205,75.419,128.451,74.57300000000001,39.12,73.266,46.49100000000001,72.771,24.781999999999996,72.788,146.17,78.516,314.443,79.023,156.97,75.05,243.058,42.73,232.208,44.553999999999995,25.419,56.777,247.733,56.449,325.079,56.074,310.635,55.343,239.149,31.807,91.0,149.782,240.517,148.972,221.217,152.768,103.294,171.96599999999998,121.354,167.293,224.86599999999999,124.88,205.08900000000003,129.88299999999998,253.646,126.552,105.649,140.136,156.187,133.134,116.113,142.91299999999998,149.705,105.78399999999999,292.503,103.499,128.36,106.53200000000001,216.673,115.913,227.959,116.89399999999999,159.61,112.915,268.973,112.715,202.639,120.305,131.563,120.63799999999999,143.281,119.73100000000001,73.91199999999999,118.756,123.431,117.985,,,,,,,,,,
