TimesH,Frame,NoMissing,0,0,2,2,3,3,5,5,12,12,13,13,15,15,19,19,21,21,22,22,30,30,32,32,34,34,36,36,37,37,39,39,45,45,46,46,47,47,50,50,51,51,53,53,54,54,56,56,57,57,63,63,75,75,79,79,82,82,83,83,111,111,112,112,113,113,114,114,121,121,140,140,142,142,144,144,150,150,151,151,154,154,155,155,156,156,159,159,161,161,162,162,163,163,164,164,172,172,174,174,175,175,176,176,180,180,181,181,182,182,185,185,186,186,187,187,189,189,190,190,191,191,193,193,194,194,200,200,201,201,208,208,210,210,214,214,217,217,222,222,223,223,227,227,231,231,425,425,525,525
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
335.25,1341.0,,142.395,122.492,152.97299999999998,121.809,132.86700000000002,121.491,88.271,120.449,119.765,115.46600000000001,,,266.506,113.691,253.27,111.259,147.467,111.288,130.803,110.906,72.208,145.496,230.59099999999998,144.225,118.5,142.119,133.362,140.472,107.946,138.457,212.239,138.145,141.644,131.915,228.517,131.007,253.08599999999998,129.616,131.44,129.415,114.414,129.41899999999998,161.886,126.92399999999999,242.97,126.35600000000001,253.31099999999998,123.617,220.75900000000001,124.10600000000001,124.664,166.547,112.72200000000001,151.991,239.95,148.249,247.007,147.0,103.749,146.664,61.156000000000006,46.81,244.47799999999998,45.342,26.398000000000003,44.993,228.77200000000002,41.435,250.34400000000002,22.855999999999998,66.307,65.751,127.788,65.407,37.625,64.139,245.67,58.443000000000005,53.891000000000005,58.515,27.453000000000003,56.821999999999996,323.688,55.203,119.814,55.213,82.34700000000001,53.766000000000005,232.236,53.093,42.026,52.963,308.991,51.713,222.801,48.785,347.87699999999995,85.17200000000001,295.139,84.16799999999999,205.19299999999998,83.495,113.382,83.21600000000001,166.93900000000002,79.721,312.166,77.99600000000001,271.582,77.929,212.299,77.22800000000001,147.457,75.593,130.664,75.602,47.979,74.47800000000001,41.055,73.56,25.831,73.507,158.539,72.53399999999999,67.34100000000001,73.01100000000001,113.81700000000001,69.08,221.51,107.355,202.525,101.762,291.871,100.835,47.11,100.396,76.028,98.791,249.265,95.844,189.674,95.992,198.895,95.37299999999999,51.354,89.514,,,,
335.5,1342.0,,142.388,122.51799999999999,152.965,121.846,132.87,121.492,88.41,120.465,119.742,115.428,161.244,114.584,266.547,113.695,253.28,111.23700000000001,147.467,111.289,130.809,110.917,72.172,145.452,230.543,144.247,118.49700000000001,142.129,133.377,140.512,107.932,138.474,212.24599999999998,138.171,141.638,131.928,228.51,131.015,253.043,129.608,131.431,129.407,114.385,129.431,161.89700000000002,126.936,242.956,126.348,253.297,123.62100000000001,220.78,124.1,124.67,166.53,112.708,151.997,239.956,148.25,247.032,147.056,103.495,146.33700000000002,61.152,46.818000000000005,244.46900000000002,45.363,26.340999999999998,44.976000000000006,228.798,41.441,250.365,22.865,66.271,65.756,127.79,65.432,37.773,64.187,245.671,58.446999999999996,53.888999999999996,58.523,27.456999999999997,56.836000000000006,323.72700000000003,55.208,119.706,55.056000000000004,82.355,53.762,232.368,53.152,42.018,52.968,308.95099999999996,51.74100000000001,222.787,48.784,347.884,85.181,295.133,84.177,205.192,83.494,113.359,83.23700000000001,166.946,79.72399999999999,312.135,78.006,271.605,78.12899999999999,212.303,77.217,147.41899999999998,75.61,130.674,75.6,47.988,74.506,41.03,73.558,25.888,73.517,158.539,72.544,67.333,73.02,113.8,69.089,221.54,107.36,202.53599999999997,101.771,291.867,100.829,47.07899999999999,100.348,76.064,98.802,249.266,95.84700000000001,189.67,96.005,198.886,95.37799999999999,51.351000000000006,89.515,,,,
335.75,1343.0,,142.38299999999998,122.538,152.958,121.866,132.869,121.49700000000001,88.531,120.553,119.78,115.476,161.232,114.586,266.589,113.699,252.645,111.31200000000001,147.476,111.29299999999999,130.817,110.93700000000001,72.264,145.406,230.53400000000002,144.254,118.50299999999999,142.131,133.409,140.571,107.928,138.491,212.262,138.174,141.66,131.939,228.516,131.007,253.081,129.607,131.44799999999998,129.40200000000002,114.383,129.439,161.908,126.95,242.983,126.339,253.295,123.618,220.803,124.09100000000001,124.686,166.54,112.70100000000001,151.99200000000002,239.981,148.224,247.025,147.047,103.715,146.616,61.173,46.821999999999996,244.53400000000002,45.367,26.416999999999998,44.993,228.81,41.456,250.364,22.89,66.212,65.757,127.775,65.442,37.579,64.203,245.58,58.468999999999994,53.886,58.523,27.434,56.82899999999999,323.72900000000004,55.22,119.697,55.027,82.35600000000001,53.771,232.487,53.233000000000004,42.028999999999996,52.975,309.007,51.773,222.77200000000002,48.791000000000004,347.87800000000004,85.193,295.132,84.181,205.18400000000003,83.49700000000001,113.39200000000001,83.22,166.954,79.725,312.142,77.998,271.758,78.081,212.30900000000003,77.217,147.392,75.605,130.696,75.611,48.021,74.535,41.031000000000006,73.565,25.935,73.509,158.537,72.585,67.308,73.016,113.806,69.112,221.578,107.374,202.535,101.773,291.866,100.825,47.06399999999999,100.353,76.07600000000001,98.803,249.252,95.87,189.65099999999998,96.037,198.877,95.384,51.343,89.515,,,,
336.0,1344.0,,142.385,122.556,152.959,121.87200000000001,132.876,121.491,88.509,120.45200000000001,119.8,115.505,161.227,114.62799999999999,266.568,113.697,252.986,111.295,147.482,111.29299999999999,130.838,110.959,72.26100000000001,145.371,230.5,144.27700000000002,118.508,142.145,133.563,140.732,107.93299999999999,138.50799999999998,212.274,138.17700000000002,141.658,131.947,228.52599999999998,131.003,253.101,129.58,131.43200000000002,129.403,114.36,129.45,161.904,126.961,242.995,126.35600000000001,253.28799999999998,123.615,220.81900000000002,124.084,124.71600000000001,166.558,112.69,151.987,239.988,148.22299999999998,247.04,147.059,103.68299999999999,146.55200000000002,61.138000000000005,46.81,244.455,45.47,26.410999999999998,44.983999999999995,228.80599999999998,41.458,250.388,22.899,66.23100000000001,65.744,127.77799999999999,65.47,37.677,64.176,245.752,58.501000000000005,53.887,58.527,27.409000000000002,56.803000000000004,323.737,55.247,119.679,54.995,82.35799999999999,53.778999999999996,232.51,53.263000000000005,42.027,52.978,309.055,51.805,222.774,48.785,347.879,85.191,295.123,84.182,205.18,83.48899999999999,113.37100000000001,83.229,166.959,79.722,312.165,77.967,271.829,78.084,212.30200000000002,77.219,147.379,75.6,130.7,75.61399999999999,48.078,74.538,41.056000000000004,73.571,25.881999999999998,73.512,158.548,72.572,67.318,73.016,113.81299999999999,69.094,221.60299999999998,107.375,202.524,101.775,291.867,100.833,47.076,100.363,76.105,98.80799999999999,249.234,95.865,189.645,96.02600000000001,198.87,95.39299999999999,51.35,89.512,,,,
336.25,1345.0,,142.364,122.581,152.967,121.87799999999999,132.878,121.50200000000001,88.492,120.459,119.851,115.54,161.796,113.023,266.528,113.689,252.921,111.38799999999999,147.47899999999998,111.294,130.856,110.98200000000001,72.25,145.436,230.456,144.327,118.494,142.15200000000002,133.519,140.721,107.94,138.543,212.26,138.181,141.632,131.969,228.52700000000002,131.00799999999998,253.075,129.618,131.43,129.408,114.375,129.46,161.917,126.964,243.014,126.35,253.282,123.62200000000001,220.831,124.066,124.736,166.548,112.704,152.004,239.987,148.207,247.042,147.08700000000002,103.337,146.266,61.153999999999996,46.806000000000004,244.46400000000003,45.445,26.430999999999997,44.993,228.803,41.468,250.38400000000001,22.913,66.2,65.757,127.78200000000001,65.476,37.641999999999996,64.141,245.765,58.512,53.895,58.531000000000006,27.421,56.82,323.762,55.25899999999999,119.696,55.043,82.354,53.793,232.505,53.266999999999996,42.012,52.973,309.099,51.863,222.77,48.801,347.876,85.18799999999999,295.119,84.186,205.19,83.49600000000001,113.351,83.243,166.965,79.706,312.151,77.98100000000001,271.795,78.051,212.322,77.23,147.36,75.597,130.725,75.634,48.122,74.551,41.063,73.583,25.846,73.498,158.547,72.609,67.334,73.016,113.82700000000001,69.115,221.65200000000002,107.384,202.511,101.773,291.868,100.84100000000001,47.083,100.354,76.098,98.79799999999999,249.261,95.90700000000001,189.61599999999999,96.01899999999999,198.86,95.40899999999999,51.36,89.524,,,,
336.5,1346.0,,142.362,122.59299999999999,152.955,121.88600000000001,132.872,121.516,88.411,120.48299999999999,119.865,115.564,161.976,112.625,266.534,113.681,253.127,111.385,147.491,111.29,130.862,110.992,72.317,145.355,230.41400000000002,144.346,118.49799999999999,142.164,133.407,140.66299999999998,107.971,138.55100000000002,212.264,138.20600000000002,141.63,131.988,228.52599999999998,131.006,253.06900000000002,129.635,131.409,129.406,114.37299999999999,129.45600000000002,161.917,126.978,243.016,126.35,253.28400000000002,123.62,220.852,124.04899999999999,124.741,166.535,112.705,152.02,240.02200000000002,148.178,247.044,147.069,103.094,145.88299999999998,61.169,46.797,244.481,45.476000000000006,26.426,45.038000000000004,228.80599999999998,41.458,250.40400000000002,22.908,66.189,65.75399999999999,127.755,65.513,37.734,64.14,245.767,58.538000000000004,53.894,58.53,27.416,56.782,323.79400000000004,55.235,119.65,54.902,82.355,53.801,232.528,53.26,42.02,52.986000000000004,309.04,51.809,222.769,48.79,347.874,85.209,295.13,84.193,205.21,83.49600000000001,113.35799999999999,83.265,166.97799999999998,79.7,312.165,77.977,271.949,78.095,212.303,77.226,147.343,75.597,130.708,75.65899999999999,48.187,74.57600000000001,41.063,73.609,25.849,73.491,158.55200000000002,72.60300000000001,67.346,73.023,113.829,69.124,221.66299999999998,107.396,202.52900000000002,101.79,291.868,100.844,47.161,100.402,76.113,98.801,249.255,95.911,189.59,96.027,198.84799999999998,95.415,51.368,89.51299999999999,,,,
336.75,1347.0,,142.35,122.616,152.951,121.902,132.865,121.525,88.416,120.493,119.887,115.584,161.944,112.68700000000001,266.52099999999996,113.694,253.305,111.301,147.499,111.29899999999999,130.863,111.01299999999999,72.265,145.39600000000002,230.40099999999998,144.35,118.505,142.172,133.429,140.719,107.97399999999999,138.56,212.262,138.219,141.621,132.014,228.532,131.00799999999998,253.084,129.657,131.384,129.403,114.397,129.464,161.938,126.991,243.035,126.376,253.292,123.625,220.87,124.07,124.741,166.554,112.727,152.024,240.033,148.164,247.046,147.05200000000002,103.245,146.00799999999998,61.19,46.815,244.65599999999998,45.512,26.383000000000003,45.015,228.812,41.455,250.40400000000002,22.916,66.145,65.765,127.75399999999999,65.527,37.715,64.146,245.72,58.545,53.894,58.532,27.396,56.747,323.797,55.238,119.561,54.739,82.33,53.801,232.518,53.221000000000004,42.02,52.968,309.065,51.798,222.78099999999998,48.781000000000006,347.884,85.215,295.132,84.199,205.239,83.515,113.3,83.30799999999999,166.987,79.687,312.176,77.95,271.81,78.127,212.305,77.24,147.32299999999998,75.60300000000001,130.69,75.665,48.17100000000001,74.60600000000001,41.08,73.617,25.89,73.482,158.55,72.62100000000001,67.347,73.031,113.825,69.13,221.69299999999998,107.406,202.53400000000002,101.796,291.858,100.839,47.203,100.434,76.137,98.803,249.269,95.91799999999999,189.562,96.05,198.85,95.44,51.376999999999995,89.50200000000001,,,,
337.0,1348.0,,142.344,122.635,152.939,121.914,132.859,121.538,88.47,120.462,119.92200000000001,115.625,162.02200000000002,112.514,266.503,113.708,253.44,111.39200000000001,147.5,111.311,130.868,111.039,72.308,145.476,230.392,144.355,118.512,142.175,133.309,140.78,107.961,138.58,212.29,138.24,141.609,132.031,228.52200000000002,131.009,253.071,129.67,131.372,129.41,114.39200000000001,129.487,161.954,127.01,243.015,126.369,253.287,123.626,220.875,124.07,124.685,166.56799999999998,112.70200000000001,152.017,240.025,148.174,247.06799999999998,147.099,103.235,145.977,61.205,46.806000000000004,244.59099999999998,45.475,26.396,45.041000000000004,228.85,41.456,250.39,22.923000000000002,66.163,65.766,127.741,65.524,37.696,64.168,245.715,58.54,53.895,58.531000000000006,27.383000000000003,56.758,323.791,55.245,119.50299999999999,54.691,82.324,53.806000000000004,232.541,53.227,42.03,52.966,309.017,51.791000000000004,222.791,48.781000000000006,347.88300000000004,85.219,295.127,84.196,205.263,83.53,113.338,83.336,166.979,79.691,312.192,77.955,271.942,78.02,212.3,77.24600000000001,147.319,75.593,130.672,75.683,48.215,74.612,41.056000000000004,73.645,25.930999999999997,73.473,158.554,72.63600000000001,67.351,73.038,113.82600000000001,69.141,221.729,107.391,202.537,101.791,291.861,100.84,47.242,100.463,76.14399999999999,98.807,249.27,95.914,189.55900000000003,96.04799999999999,198.84900000000002,95.443,51.386,89.506,,,,
