 ,X,Y
1,177.149,83.253
2,176.645,81.470
3,176.124,79.812
4,175.547,78.221
5,174.877,76.641
6,174.108,75.042
7,173.279,73.426
8,172.431,71.801
9,171.602,70.172
10,170.797,68.546
11,170.001,66.935
12,169.196,65.345
13,168.372,63.780
14,167.546,62.207
15,166.743,60.583
16,165.988,58.866
17,165.282,57.054
18,164.572,55.224
19,163.800,53.466
20,162.908,51.868
21,161.874,50.456
22,160.749,49.134
23,159.589,47.794
24,158.449,46.335
25,157.309,44.775
26,156.098,43.219
27,154.745,41.775
28,153.184,40.542
29,151.451,39.514
30,149.660,38.598
31,147.926,37.703
32,146.360,36.738
33,144.967,35.675
34,143.650,34.547
35,142.310,33.388
36,140.865,32.234
37,139.322,31.127
38,137.723,30.112
39,136.109,29.233
40,134.505,28.521
41,132.881,27.952
42,131.193,27.490
43,129.396,27.099
44,127.477,26.747
45,125.461,26.409
46,123.375,26.061
47,121.245,25.677
48,119.088,25.248
49,116.895,24.797
50,114.653,24.352
51,112.351,23.941
52,109.976,23.591
53,107.544,23.312
54,105.092,23.094
55,102.661,22.928
56,100.291,22.803
57,98.021,22.709
58,95.849,22.628
59,93.733,22.538
60,91.630,22.416
61,89.497,22.238
62,87.303,21.995
63,85.061,21.727
64,82.789,21.480
65,80.507,21.304
66,78.235,21.247
67,75.985,21.318
68,73.759,21.485
69,71.560,21.710
70,69.390,21.956
71,67.249,22.191
72,65.125,22.420
73,63.002,22.667
74,60.861,22.952
75,58.687,23.300
76,56.481,23.710
77,54.270,24.160
78,52.085,24.622
79,49.954,25.070
80,47.904,25.479
81,45.947,25.857
82,44.087,26.221
83,42.327,26.589
84,40.666,26.980
85,39.071,27.401
86,37.495,27.858
87,35.891,28.354
88,34.232,28.890
89,32.520,29.458
90,30.757,30.049
91,28.947,30.658
92,27.124,31.313
93,25.338,32.060
94,23.641,32.947
95,22.074,34.017
96,20.607,35.238
97,19.161,36.538
98,17.656,37.845
99,16.025,39.089
100,14.298,40.271
101,12.573,41.429
102,10.946,42.603
103,9.512,43.833
104,8.295,45.140
105,7.245,46.526
106,6.304,47.992
107,5.423,49.537
108,4.589,51.141
109,3.805,52.780
110,3.074,54.426
111,2.406,56.077
112,1.832,57.798
113,1.385,59.664
114,1.100,61.752
115,1.000,64.074
116,1.087,66.506
117,1.361,68.910
118,1.819,71.147
119,2.460,73.083
120,3.246,74.725
121,4.098,76.239
122,4.935,77.800
123,5.687,79.564
124,6.367,81.504
125,7.040,83.496
126,7.768,85.412
127,8.612,87.134
128,9.583,88.669
129,10.648,90.147
130,11.771,91.701
131,12.917,93.451
132,14.058,95.389
133,15.169,97.417
134,16.226,99.440
135,17.203,101.361
136,18.087,103.113
137,18.897,104.727
138,19.658,106.258
139,20.396,107.757
140,21.141,109.276
141,21.926,110.861
142,22.788,112.559
143,23.758,114.409
144,24.825,116.385
145,25.942,118.405
146,27.067,120.390
147,28.152,122.258
148,29.170,123.953
149,30.165,125.511
150,31.194,126.995
151,32.318,128.466
152,33.562,129.965
153,34.859,131.475
154,36.128,132.974
155,37.288,134.437
156,38.312,135.849
157,39.322,137.222
158,40.467,138.571
159,41.889,139.910
160,43.605,141.242
161,45.504,142.555
162,47.469,143.838
163,49.383,145.078
164,51.147,146.270
165,52.767,147.443
166,54.291,148.641
167,55.767,149.908
168,57.239,151.279
169,58.707,152.730
170,60.150,154.202
171,61.546,155.639
172,62.876,156.985
173,64.140,158.239
174,65.362,159.449
175,66.563,160.665
176,67.762,161.933
177,68.952,163.292
178,70.122,164.776
179,71.258,166.422
180,72.354,168.243
181,73.426,170.191
182,74.495,172.207
183,75.579,174.230
184,76.698,176.203
185,77.848,178.097
186,79.004,179.919
187,80.138,181.676
188,81.225,183.374
189,82.252,185.017
190,83.257,186.600
191,84.288,188.115
192,85.393,189.553
193,86.600,190.915
194,87.900,192.221
195,89.279,193.490
196,90.719,194.744
