TimesH,Frame,NoMissing,61,61,63,63,74,74,78,78,79,79,126,126,129,129,135,135,139,139,140,140,141,141,150,150,161,161,165,165,178,178,181,181,184,184,189,189,211,211,215,215,219,219,220,220,223,223,229,229,234,234,235,235,236,236,245,245,263,263,271,271,282,282,284,284,292,292,300,300,311,311,319,319,322,322,326,326,328,328,330,330,351,351,356,356,363,363,367,367,500,500,515,515,524,524,542,542,564,564,572,572,622,622,708,708,958,958
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,128.137,52.442,240.808,51.81,181.903,58.313,211.55900000000003,58.751999999999995,253.53900000000002,58.699,255.21400000000003,79.688,133.66,80.583,116.912,84.219,87.10799999999999,84.848,137.835,85.01,186.55200000000002,85.167,102.19,88.413,246.565,92.215,237.204,93.178,143.752,97.385,54.346000000000004,99.495,182.07,100.31200000000001,277.525,100.825,94.491,108.441,122.01100000000001,108.744,252.158,110.435,273.85,109.53399999999999,232.68099999999998,111.072,102.876,114.08200000000001,56.632,115.25299999999999,247.99900000000002,115.229,219.236,115.787,110.99600000000001,120.08200000000001,92.521,124.807,38.562,127.72399999999999,248.834,132.895,89.47200000000001,133.7,65.721,136.749,265.957,138.69799999999998,92.71600000000001,141.71200000000002,257.656,144.518,90.772,147.207,245.021,147.065,50.431999999999995,147.967,33.085,149.111,290.402,152.907,235.229,154.868,49.288000000000004,157.444,261.65,157.01,229.452,8.935,97.537,15.429,188.08599999999998,19.105999999999998,116.68299999999999,27.061,,,,,,,,,,
0.25,1.0,,128.077,52.317,240.75,51.763999999999996,181.997,57.839,211.49900000000002,58.684,253.343,58.648,255.15099999999998,79.702,133.53799999999998,80.475,117.15299999999999,84.152,87.09,84.79,137.921,85.115,186.658,85.12799999999999,102.185,88.23299999999999,246.48,92.25,237.18099999999998,93.23200000000001,143.804,97.43,54.426,99.47200000000001,181.97299999999998,100.288,277.496,100.70700000000001,94.537,108.352,121.88600000000001,108.648,252.083,110.29899999999999,273.901,109.488,234.63299999999998,112.32799999999999,102.854,114.053,56.647,115.42399999999999,247.965,115.236,219.24900000000002,115.955,110.956,120.105,92.512,124.79899999999999,38.624,127.78299999999999,248.785,132.997,89.40100000000001,133.713,65.72,136.798,266.22700000000003,138.86,92.727,141.653,257.803,144.662,90.704,147.184,245.023,146.97299999999998,50.446999999999996,147.884,33.244,149.429,290.265,153.143,235.22799999999998,154.678,49.32899999999999,157.308,261.63599999999997,156.928,229.53599999999997,8.807,97.557,15.394,188.042,18.791,116.65799999999999,26.686,,,225.418,103.635,,,,,,
0.5,2.0,,128.05,52.129,240.685,51.766999999999996,182.104,57.276,211.57,58.663000000000004,253.267,58.722,255.136,79.745,133.52700000000002,80.422,117.235,84.06299999999999,87.04700000000001,84.834,137.928,85.139,186.702,85.03299999999999,102.271,88.113,246.419,92.23899999999999,237.167,93.26100000000001,143.92600000000002,97.544,54.468999999999994,99.486,181.88400000000001,100.17200000000001,277.531,100.78,94.758,108.016,121.823,108.541,252.02200000000002,110.24700000000001,273.845,109.616,234.738,112.20700000000001,102.83,114.036,56.527,115.23299999999999,247.995,115.208,219.15400000000002,115.949,110.93299999999999,120.09899999999999,92.48100000000001,124.76299999999999,38.66,127.711,248.84099999999998,132.696,89.352,133.625,65.734,136.835,266.15,138.85,92.976,141.447,257.857,144.627,90.631,147.48,244.915,147.03,50.43600000000001,148.076,33.35,149.739,290.125,153.293,235.231,154.547,49.396,157.126,261.651,156.968,229.615,8.724,97.43700000000001,15.284,188.115,18.268,116.27600000000001,26.094,69.096,71.633,225.257,103.775,,,,,,
0.75,3.0,,128.09,52.083999999999996,240.60299999999998,51.763999999999996,182.13,56.851000000000006,211.58700000000002,58.568000000000005,253.565,58.711000000000006,255.12599999999998,79.623,133.493,80.236,117.571,84.12100000000001,86.985,84.919,137.966,85.12100000000001,186.733,84.915,102.314,88.04799999999999,246.449,92.16799999999999,237.187,93.275,143.888,97.564,54.426,99.49600000000001,181.892,100.169,277.524,100.671,94.735,107.895,121.596,108.476,251.892,110.133,273.774,109.756,234.78099999999998,111.881,102.759,114.009,56.593999999999994,115.198,248.112,115.291,219.19299999999998,115.87,110.93,120.07700000000001,92.412,124.738,38.664,127.63799999999999,248.926,132.32299999999998,89.34200000000001,133.569,65.68,136.918,266.11,138.829,92.958,141.452,257.803,144.583,90.585,147.485,244.987,146.845,50.394,148.03799999999998,33.308,149.914,290.22700000000003,153.214,235.36599999999999,154.384,49.293,156.969,261.642,156.938,229.66400000000002,8.651,97.359,15.28,188.283,17.721,116.023,25.801,68.933,71.663,225.142,103.786,,,,,,
1.0,4.0,,128.17600000000002,52.05,240.65599999999998,51.70399999999999,182.14700000000002,56.558,211.541,58.518,253.8,58.751000000000005,255.31,79.589,133.41899999999998,80.135,117.663,84.116,86.89200000000001,84.85799999999999,138.011,85.10799999999999,186.763,84.865,102.245,88.03200000000001,246.43900000000002,92.16799999999999,237.208,93.32600000000001,143.909,97.57799999999999,54.418,99.48200000000001,181.93200000000002,100.12899999999999,277.572,100.69,94.587,108.074,121.52600000000001,108.48100000000001,251.88099999999997,110.04799999999999,273.74,109.811,235.128,112.21799999999999,102.741,113.95,56.516000000000005,115.10700000000001,248.15099999999998,115.338,219.145,115.85600000000001,110.92200000000001,120.035,92.47200000000001,124.663,38.662,127.624,248.967,132.2,89.33200000000001,133.55200000000002,65.657,136.904,265.842,138.96200000000002,92.928,141.347,257.75,144.39,90.584,147.52200000000002,244.963,146.674,50.288999999999994,147.891,33.446999999999996,149.66899999999998,290.341,153.07399999999998,235.364,154.19799999999998,49.315,156.889,261.698,156.959,229.775,8.656,97.316,14.940999999999999,188.465,17.124000000000002,116.036,25.646,69.03399999999999,71.551,225.06799999999998,103.82,,,,,,
1.25,5.0,,128.196,51.992,240.68,51.7,182.19,56.31399999999999,211.66,58.506,253.827,58.708999999999996,255.457,79.532,133.379,80.013,117.581,84.09899999999999,86.80799999999999,84.82600000000001,137.999,85.054,186.692,84.81299999999999,102.2,88.05,246.459,92.074,237.21,93.34,143.923,97.53200000000001,54.431000000000004,99.454,181.843,100.04299999999999,277.611,100.721,94.63,107.89,121.507,108.405,251.97,110.0,273.659,109.81700000000001,235.102,112.18700000000001,102.77,113.87799999999999,56.461000000000006,115.04299999999999,248.199,115.37299999999999,219.148,115.86,110.929,120.05799999999999,92.47,124.626,38.621,127.499,248.983,132.211,89.35799999999999,133.627,65.602,136.879,266.256,139.403,92.823,141.349,257.757,144.32399999999998,90.38600000000001,147.204,245.043,146.694,50.239,147.877,33.638000000000005,149.672,290.422,152.92,235.636,153.662,49.235,156.711,261.678,156.931,229.794,8.573,97.13,14.767999999999999,188.417,17.024,115.98,25.444000000000003,68.925,71.521,224.947,103.934,,,,,,
1.5,6.0,,128.202,51.977,240.75099999999998,51.646,182.206,56.199,211.72299999999998,58.397,254.014,58.646,255.50599999999997,79.452,133.347,80.006,117.604,84.08200000000001,86.819,84.90799999999999,138.069,85.139,186.69799999999998,84.669,102.14,87.98899999999999,246.625,92.009,237.233,93.34299999999999,143.946,97.565,54.475,99.43700000000001,181.877,100.00200000000001,277.60200000000003,100.70700000000001,94.734,107.772,121.344,108.286,251.963,109.98200000000001,273.64799999999997,109.95100000000001,235.217,112.06200000000001,102.76700000000001,113.815,55.99,114.77,248.298,115.37899999999999,219.172,115.749,110.939,119.98,92.536,124.62100000000001,38.624,127.499,248.979,132.155,89.385,133.579,65.596,136.964,265.635,138.971,92.82799999999999,141.334,257.692,144.222,90.315,147.164,244.981,146.69899999999998,50.225,147.816,33.7,149.455,290.357,152.893,235.69099999999997,153.262,49.184,156.636,261.626,156.93,229.798,8.52,97.11200000000001,14.743,188.519,16.652,115.905,25.289,68.922,71.531,224.82,103.786,229.985,113.944,,,,
1.75,7.0,,128.158,51.938,240.701,51.696000000000005,182.233,56.055,211.75400000000002,58.309,254.15900000000002,58.535,255.507,79.652,133.306,79.87100000000001,117.594,84.038,86.84299999999999,84.90700000000001,138.039,85.12200000000001,186.715,84.579,102.199,87.927,246.615,91.90799999999999,237.28900000000002,93.376,143.995,97.60700000000001,54.455,99.463,181.796,99.962,277.586,100.68,94.76299999999999,107.67299999999999,121.295,108.197,252.08,109.999,273.518,109.973,235.291,112.07700000000001,102.806,113.771,55.964,114.837,248.27,115.385,219.18200000000002,115.69200000000001,110.94,119.904,92.54299999999999,124.639,38.6,127.45299999999999,249.019,131.898,89.306,133.509,65.61,136.968,265.678,138.86700000000002,92.811,141.306,257.844,144.338,90.256,147.085,244.96,146.57399999999998,50.195,147.886,33.81,149.731,290.782,152.333,235.59900000000002,153.153,49.287,156.88299999999998,261.65,156.885,229.77700000000002,8.527000000000001,97.00200000000001,14.51,188.532,16.584,115.78399999999999,25.258000000000003,68.817,71.59100000000001,224.9,103.964,229.842,114.275,,,,
