TimesH,Frame,NoMissing,53,53,127,127,202,202,228,228,249,249,252,252,256,256,284,284,306,306,307,307,333,333,418,418,477,477,616,616,786,786,862,862,901,901,905,905,926,926,929,929,949,949,1052,1052,1061,1061,1089,1089
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
166.75,667.0,,48.063,143.232,216.269,61.078,142.24200000000002,102.738,,,257.14099999999996,82.37799999999999,91.773,82.99799999999999,112.45299999999999,85.564,178.165,99.46,80.158,95.709,122.461,96.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.0,668.0,,48.114,143.381,216.313,61.083999999999996,142.299,102.865,,,256.971,82.363,91.89299999999999,82.958,112.48200000000001,85.579,178.09900000000002,99.38600000000001,80.05199999999999,95.773,122.493,96.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.25,669.0,,48.041000000000004,143.577,216.31099999999998,61.1,142.30200000000002,102.869,127.03299999999999,141.041,257.073,82.309,91.796,82.8,112.59,85.285,178.00799999999998,99.525,80.023,95.678,122.45100000000001,96.03399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.5,670.0,,48.123999999999995,143.975,216.326,61.095,142.205,102.90299999999999,127.02,140.959,257.351,82.368,91.762,82.874,112.883,85.08,178.157,99.551,80.124,95.751,122.426,95.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.75,671.0,,47.906000000000006,143.38299999999998,216.356,61.098,142.173,103.014,127.098,141.091,257.19,82.238,91.756,82.82700000000001,112.698,85.14,178.12900000000002,99.755,80.447,95.669,122.429,95.963,252.005,112.021,,,,,,,,,,,,,,,,,,,,,,,,,,
168.0,672.0,,47.94,143.31,216.36,61.09,142.195,103.04899999999999,127.12700000000001,141.047,257.314,82.454,91.814,82.881,112.35799999999999,85.53399999999999,178.173,99.611,80.459,95.68799999999999,122.43700000000001,95.917,252.27,111.969,,,,,,,,,,,,,,,,,,,,,,,,,,
168.25,673.0,,47.869,143.186,216.351,61.102,142.17,103.12700000000001,127.196,140.731,256.95099999999996,82.361,91.804,82.90700000000001,112.382,85.68299999999999,178.188,99.92399999999999,80.622,95.73100000000001,122.45100000000001,95.994,252.33900000000003,111.807,,,,,,,,,,,,,,,,,,,,,,,,,,
168.5,674.0,,47.79600000000001,143.313,216.36,61.117,142.144,103.197,126.94200000000001,141.106,256.824,82.396,91.829,82.82,112.29899999999999,85.671,178.33,100.01,80.589,95.82600000000001,122.443,95.994,252.25799999999998,111.584,,,,,,,,,,,,,,,,,,,,,,,,,,
168.75,675.0,,47.909,143.268,216.37400000000002,61.128,142.203,103.307,126.92200000000001,141.101,257.082,82.446,91.68799999999999,82.64399999999999,112.507,85.406,178.382,100.08,80.476,95.79700000000001,122.445,95.99700000000001,252.47299999999998,111.58200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
