TimesH,Frame,NoMissing,7,7,13,13,22,22,32,32,36,36,46,46,50,50,60,60,63,63,78,78,105,105,131,131,219,219,238,238,260,260,266,266,291,291,298,298,305,305,311,311,312,312,317,317,321,321,330,330,335,335,342,342,343,343,344,344,348,348,354,354,356,356,529,529,612,612,627,627,649,649,855,855,867,867,885,885,895,895,933,933,956,956,968,968,981,981,986,986
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
166.75,667.0,,124.779,95.944,82.57799999999999,97.41799999999999,95.73,100.809,119.32799999999999,104.802,53.265,108.734,204.299,113.096,109.471,114.03399999999999,73.749,120.259,282.385,120.243,204.28,126.40100000000001,52.552,137.69,269.89,148.356,85.06700000000001,15.339,209.171,28.128,148.19299999999998,39.918,218.44299999999998,41.703,191.857,54.026,116.21,61.333,245.62599999999998,63.028999999999996,185.13299999999998,65.842,209.463,65.99600000000001,234.90400000000002,69.058,111.31,70.071,74.15,74.572,136.149,75.291,143.624,80.40100000000001,184.18400000000003,80.419,223.52700000000002,81.053,85.336,84.447,242.706,85.448,104.294,86.02,,,,,,,,,,,,,,,,,,,,,,,,,,
167.0,668.0,,124.818,96.146,82.631,97.516,95.76299999999999,100.86200000000001,119.205,104.809,53.218999999999994,108.76700000000001,204.33900000000003,113.109,109.486,114.02,73.743,120.24799999999999,282.466,120.295,204.215,126.352,52.816,137.675,269.86,148.205,85.065,15.307,209.15900000000002,28.143,148.135,39.908,218.485,41.745,191.886,53.985,116.2,61.409,245.68599999999998,62.908,185.267,65.848,209.48,65.992,234.907,69.084,111.321,70.15899999999999,73.983,74.328,136.122,75.506,143.61700000000002,80.396,184.271,80.506,223.545,81.155,86.428,84.501,242.709,85.447,104.234,86.179,,,,,,,,,,,,,,,,,,,,,,,,,,
167.25,669.0,,124.75399999999999,95.89399999999999,82.635,97.588,95.833,100.899,119.186,104.835,53.211000000000006,108.71,204.424,113.133,109.45100000000001,114.02600000000001,73.757,120.18,282.519,120.36200000000001,204.127,126.396,52.871,137.726,269.818,148.268,85.053,15.38,209.15200000000002,28.135,148.011,39.929,218.50400000000002,41.755,191.81900000000002,54.03,116.22399999999999,61.318000000000005,245.707,62.885,185.31,65.887,209.515,65.918,234.916,69.113,111.389,70.387,74.275,74.39,136.165,75.57,143.546,80.391,184.38299999999998,80.51,223.53599999999997,81.169,86.84200000000001,84.411,242.72099999999998,85.42200000000001,104.255,86.21700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
167.5,670.0,,124.66,95.855,82.689,97.584,95.897,100.93,119.176,104.77799999999999,53.193000000000005,108.71700000000001,204.347,113.07799999999999,109.421,114.044,73.72,120.315,282.377,120.273,203.997,126.462,52.985,137.674,269.92400000000004,148.244,85.037,15.298,209.143,28.119,148.079,39.859,218.553,41.763000000000005,191.89,53.98,116.492,61.278,245.755,62.86600000000001,185.39,65.67699999999999,209.513,65.952,234.90099999999998,69.12100000000001,111.43700000000001,70.34,73.74,73.809,136.175,75.627,143.54399999999998,80.407,184.356,80.38600000000001,223.54,81.256,86.78,84.48700000000001,242.74200000000002,85.441,104.281,86.219,,,,,,,,,,,,,,,,,,,,,,,,,,
167.75,671.0,,124.65700000000001,95.818,82.75200000000001,97.619,95.844,100.883,119.09700000000001,104.786,53.202,108.79299999999999,204.40599999999998,113.069,109.461,114.00200000000001,73.76,120.25,282.349,120.243,204.113,126.68700000000001,52.993,137.704,269.964,148.262,85.01,15.299000000000001,209.15400000000002,28.068,147.976,39.774,218.61700000000002,41.74,191.908,54.016999999999996,116.34700000000001,61.4,245.785,62.806999999999995,185.41099999999997,65.792,209.43599999999998,66.041,234.864,69.104,111.369,70.34100000000001,74.112,74.221,136.19299999999998,75.794,143.502,80.403,184.30599999999998,80.471,223.59799999999998,81.357,86.206,84.685,242.71599999999998,85.449,104.26899999999999,86.366,,,,,,,,,,,,,,,,,,,,,,,,,,
168.0,672.0,,124.684,95.604,82.814,97.581,95.85799999999999,100.819,119.098,104.792,53.22,108.725,204.33900000000003,113.111,109.459,113.995,73.742,120.25,282.307,120.334,204.238,126.719,52.915,137.77,269.933,148.287,85.006,15.4,209.13400000000001,28.03,147.89,39.785,218.57299999999998,41.74100000000001,191.92700000000002,53.971000000000004,116.331,61.443000000000005,245.71,62.824,185.34799999999998,65.968,209.451,66.089,234.861,69.105,111.35700000000001,70.055,74.149,74.50399999999999,136.11,75.842,143.472,80.395,184.31400000000002,80.389,223.669,81.377,86.316,84.72,242.71400000000003,85.428,104.319,86.29899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
168.25,673.0,,124.81700000000001,95.49700000000001,82.82799999999999,97.541,95.87299999999999,100.73200000000001,119.13,104.765,53.235,108.73,204.38099999999997,113.07600000000001,109.405,114.075,73.78,120.15799999999999,282.314,120.29700000000001,204.352,126.71,52.766999999999996,137.951,270.013,148.328,84.991,15.402000000000001,209.132,28.01,147.752,39.692,218.44099999999997,41.698,191.903,53.903,116.171,61.474,245.696,62.816,185.26,66.21,209.46,66.07600000000001,234.86,69.102,111.384,69.71,74.38600000000001,74.331,136.126,75.82300000000001,143.48,80.402,184.35299999999998,80.432,223.639,81.345,86.331,84.727,242.734,85.45299999999999,104.41,86.309,,,,,,,,,,,,,,,,,,,,,,,,,,
168.5,674.0,,125.042,95.33200000000001,82.78,97.45,95.925,100.656,119.17399999999999,104.76899999999999,53.306000000000004,108.742,204.328,113.11399999999999,109.333,114.045,73.903,120.095,282.298,120.291,204.22799999999998,127.115,52.728,137.939,269.97700000000003,148.356,84.96799999999999,15.338,209.136,28.006999999999998,147.496,39.613,218.41400000000002,41.684,191.88,53.861999999999995,116.115,61.592,245.71400000000003,62.79600000000001,185.368,66.27600000000001,209.47799999999998,66.096,234.878,69.07300000000001,111.288,69.819,74.25,74.26100000000001,136.142,75.965,143.524,80.444,184.399,80.42699999999999,223.558,81.352,86.338,84.819,242.734,85.45,104.323,86.36,,,,,,,,,,,,,,,,,,,,,,,,,,
