TimesH,Frame,NoMissing,4,4,18,18,99,99,100,100,103,103,106,106,122,122,134,134,137,137,138,138,139,139,150,150,152,152,159,159,161,161,163,163,166,166,170,170,175,175,177,177,185,185,187,187,192,192,195,195,207,207,239,239,242,242,253,253,263,263,268,268,269,269,279,279,280,280,282,282,291,291,688,688,773,773,871,871,972,972,1189,1189,1291,1291,1655,1655,1656,1656,1832,1832,2096,2096
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
335.75,1343.0,,215.92700000000002,58.29600000000001,191.77900000000002,51.111999999999995,131.582,130.904,161.501,130.548,139.344,129.031,245.905,116.223,77.013,109.45700000000001,215.495,109.92299999999999,199.825,102.62100000000001,275.744,102.97,127.444,101.73299999999999,186.69299999999998,95.031,212.03099999999998,95.89299999999999,116.919,97.87100000000001,75.528,98.55799999999999,90.448,97.34700000000001,248.935,86.916,110.095,84.82,84.197,92.12299999999999,110.24,91.553,171.149,81.65899999999999,108.295,78.992,87.979,84.251,182.435,83.12200000000001,257.621,77.843,112.074,161.967,86.82600000000001,158.372,42.821000000000005,152.559,72.875,153.817,281.60900000000004,144.834,121.632,145.903,212.447,146.226,238.364,145.639,53.727,146.955,41.992,137.282,,,,,,,,,,,,,,,,,,,,
336.0,1344.0,,215.942,58.277,191.774,51.11,131.562,130.933,161.49200000000002,130.513,139.395,129.138,245.885,116.24,76.97399999999999,109.46600000000001,215.547,109.889,199.817,102.60600000000001,275.751,102.95100000000001,127.43799999999999,101.721,186.65900000000002,95.11399999999999,212.084,95.854,116.931,97.863,75.518,98.544,90.431,97.369,248.93200000000002,86.906,110.096,84.792,84.181,92.14299999999999,110.236,91.579,171.15599999999998,81.676,108.38600000000001,78.971,87.985,84.24700000000001,182.39700000000002,83.16,257.684,77.835,112.084,161.983,86.81700000000001,158.359,42.85,152.566,72.89,153.92,281.645,144.855,121.626,145.922,212.472,146.231,238.32,145.632,53.722,146.957,41.978,137.281,,,,,,,,,,,,,,,,,,,,
336.25,1345.0,,215.93599999999998,58.312,191.769,51.107,131.555,130.887,161.512,130.55100000000002,139.382,129.156,245.91,116.249,77.018,109.42200000000001,215.525,109.87200000000001,199.797,102.611,275.768,102.97200000000001,127.421,101.71799999999999,186.662,95.126,212.11700000000002,95.735,116.946,97.891,75.491,98.523,90.416,97.33,248.92700000000002,86.883,110.074,84.714,84.208,92.15700000000001,110.24600000000001,91.583,171.14700000000002,81.678,108.537,79.057,87.99600000000001,84.265,182.392,83.169,257.719,77.809,112.057,161.929,86.84100000000001,158.347,42.858000000000004,152.59,72.91199999999999,153.734,281.633,144.87,121.646,145.938,212.457,146.249,238.32299999999998,145.628,53.708999999999996,146.958,41.956,137.27700000000002,,,,,,,,,,,,,,,,,,,,
336.5,1346.0,,215.886,58.295,191.752,51.092,131.542,130.891,161.499,130.55,139.421,129.142,245.905,116.25399999999999,76.994,109.42200000000001,215.69799999999998,109.81700000000001,199.804,102.604,275.779,102.98299999999999,127.429,101.719,186.687,95.053,212.123,95.738,116.941,97.927,75.471,98.51700000000001,90.40899999999999,97.34700000000001,248.92,86.824,110.03399999999999,84.681,84.235,92.12700000000001,110.316,91.57,171.149,81.667,108.56200000000001,79.165,87.96,84.27600000000001,182.408,83.145,257.775,77.791,112.071,161.914,86.821,158.328,42.852,152.589,72.888,153.621,281.671,144.933,121.64,145.951,212.447,146.259,238.285,145.63,53.703,146.959,41.961000000000006,137.27,,,,,,,,,,,,,,,,,,,,
336.75,1347.0,,215.88299999999998,58.312,191.745,51.081,131.493,130.92700000000002,161.505,130.556,139.44899999999998,129.158,245.90400000000002,116.29700000000001,77.017,109.432,215.674,109.82799999999999,199.81599999999997,102.59899999999999,275.745,102.975,127.45700000000001,101.69200000000001,186.67700000000002,95.084,212.13400000000001,95.744,116.96600000000001,97.917,75.483,98.524,90.446,97.338,248.90099999999998,86.807,110.11200000000001,84.667,84.243,92.12200000000001,110.35,91.565,171.15,81.646,108.556,79.273,87.906,84.31299999999999,182.403,83.155,257.744,77.786,112.073,161.887,86.81700000000001,158.296,42.856,152.596,72.87899999999999,153.588,281.65,144.881,121.624,145.958,212.44400000000002,146.237,238.267,145.63299999999998,53.707,146.964,41.966,137.261,,,,,,,,,,,,,,,,,,,,
337.0,1348.0,,215.862,58.283,191.747,51.083,131.459,130.91299999999998,161.494,130.565,139.519,129.168,245.885,116.296,77.006,109.473,215.507,109.82600000000001,199.81799999999998,102.588,275.72700000000003,102.98,127.428,101.711,186.71900000000002,95.025,212.106,95.694,116.988,97.92299999999999,75.476,98.509,90.446,97.33200000000001,248.90400000000002,86.79899999999999,110.171,84.60700000000001,84.236,92.118,110.42399999999999,91.539,171.16299999999998,81.66,108.546,79.215,87.925,84.306,182.388,83.18700000000001,257.748,77.758,112.065,161.908,86.836,158.299,42.865,152.595,72.946,153.721,281.663,144.947,121.652,145.969,212.447,146.244,238.294,145.655,53.702,146.965,41.978,137.266,,,,,,,,,,,,,,,,,,,,
337.25,1349.0,,215.857,58.387,191.752,51.071999999999996,131.48,130.858,161.467,130.57299999999998,139.468,129.184,245.924,116.23,77.007,109.47200000000001,215.642,109.831,199.80900000000003,102.595,275.67900000000003,103.014,127.42200000000001,101.719,186.72299999999998,94.993,212.104,95.73299999999999,116.94200000000001,97.912,75.507,98.51899999999999,90.412,97.31700000000001,248.86900000000003,86.76700000000001,110.118,84.662,84.23200000000001,92.098,110.598,91.449,171.157,81.66,108.64200000000001,79.355,87.926,84.32,182.393,83.17299999999999,257.746,77.752,112.053,161.901,86.89,158.286,42.839,152.586,72.97,153.635,281.668,145.05100000000002,121.68700000000001,145.939,212.44099999999997,146.241,238.28799999999998,145.632,53.717,147.013,41.98,137.253,,,,,,,,,,,,,,,,,,,,
337.5,1350.0,,215.877,58.338,191.74200000000002,51.071000000000005,131.451,130.799,161.469,130.57399999999998,139.36,129.116,245.861,116.141,76.988,109.508,215.74200000000002,109.78200000000001,199.808,102.63600000000001,275.688,102.99600000000001,127.40700000000001,101.755,186.77599999999998,94.913,212.132,95.695,116.95299999999999,97.891,75.558,98.516,90.40299999999999,97.34,248.89,86.76,110.17,84.661,84.23,92.102,110.443,91.553,171.15599999999998,81.672,108.70299999999999,79.345,87.958,84.288,182.407,83.167,257.809,77.756,112.051,161.92700000000002,86.90899999999999,158.239,42.846000000000004,152.54399999999998,72.934,153.475,281.671,145.111,121.68,145.93200000000002,212.43599999999998,146.233,238.304,145.629,53.706,147.009,41.986000000000004,137.249,,,,,,,,,,,,,,,,,,,,
337.75,1351.0,,215.918,58.34,191.75,51.071000000000005,131.421,130.841,161.467,130.563,139.401,129.09799999999998,245.857,116.149,76.984,109.51100000000001,215.84900000000002,109.75,199.793,102.64,275.69,102.955,127.406,101.758,186.797,94.891,212.148,95.66,116.94,97.891,75.557,98.50399999999999,90.417,97.311,248.85299999999998,86.764,110.169,84.678,84.226,92.09100000000001,110.426,91.57600000000001,171.139,81.672,108.664,79.243,87.96,84.289,182.412,83.133,257.755,77.755,112.054,161.868,86.895,158.23,42.82,152.532,72.965,153.525,281.666,145.095,121.676,145.928,212.446,146.24,238.325,145.605,53.683,147.007,41.986000000000004,137.25,,,,,,,,,,,,,,,,,,,,
338.0,1352.0,,215.929,58.37,191.734,51.06100000000001,131.438,130.8,161.454,130.56799999999998,139.395,129.086,245.815,116.13600000000001,76.99,109.458,216.12900000000002,109.71799999999999,199.791,102.63600000000001,275.671,103.001,127.441,101.726,186.813,94.883,212.153,95.51100000000001,116.943,97.889,75.581,98.51299999999999,90.402,97.301,248.93599999999998,86.711,110.191,84.62299999999999,84.214,92.098,110.51,91.507,171.146,81.666,108.601,79.24600000000001,87.96700000000001,84.34899999999999,182.418,83.131,257.73400000000004,77.753,112.055,161.85399999999998,86.84899999999999,158.166,42.793,152.52200000000002,72.977,153.466,281.634,145.07399999999998,121.681,145.935,212.455,146.252,238.297,145.599,53.707,147.014,41.979,137.245,,,,,,,,,,,,,,,,,,,,
338.25,1353.0,,215.924,58.423,191.729,51.06,131.41899999999998,130.881,161.444,130.572,139.344,129.067,245.824,116.15899999999999,77.012,109.491,216.27900000000002,109.7,199.798,102.62299999999999,275.689,102.985,128.94799999999998,100.197,186.852,94.887,212.169,95.476,116.941,97.902,75.566,98.512,90.416,97.28399999999999,248.921,86.76299999999999,110.182,84.58,84.215,92.11399999999999,110.65100000000001,91.48700000000001,171.15099999999998,81.69800000000001,108.604,79.225,87.98899999999999,84.36,182.396,83.14399999999999,257.81,77.705,112.07799999999999,161.862,86.81700000000001,158.134,42.785,152.539,72.933,153.433,281.655,145.097,121.678,145.942,212.46,146.24,238.30200000000002,145.635,53.71,147.019,41.985,137.251,,,,,,,,,,,,,,,,,,,,
338.5,1354.0,,215.93400000000003,58.435,191.717,51.058,131.409,130.884,161.452,130.592,139.41899999999998,129.155,245.847,116.15,76.988,109.49700000000001,216.32299999999998,109.726,199.799,102.619,275.682,102.985,128.969,100.154,186.90400000000002,94.834,212.178,95.391,116.915,97.89200000000001,75.551,98.523,90.434,97.264,248.92,86.76,110.148,84.601,84.20299999999999,92.12100000000001,110.559,91.535,171.123,81.685,108.615,79.101,87.993,84.384,182.38,83.15899999999999,257.7,77.76100000000001,112.09,161.828,86.838,158.13,42.776,152.532,73.008,153.616,281.67900000000003,145.166,121.68299999999999,145.95,212.454,146.226,238.33700000000002,145.629,53.702,147.016,41.99,137.25,,,,,,,,,,,,,,,,,,,,
338.75,1355.0,,215.893,58.481,191.71599999999998,51.06100000000001,131.395,130.851,161.436,130.606,139.336,129.10399999999998,245.888,116.15,76.985,109.50399999999999,216.364,109.677,199.803,102.626,275.66900000000004,102.97200000000001,128.922,100.198,186.94,94.792,212.17,95.47,116.925,97.875,75.527,98.49600000000001,90.35,97.27799999999999,248.929,86.72200000000001,110.23700000000001,84.50200000000001,84.2,92.13799999999999,110.47399999999999,91.587,171.123,81.663,108.589,79.214,88.031,84.37200000000001,182.392,83.12299999999999,257.879,77.706,112.096,161.815,86.853,158.15,42.79600000000001,152.543,73.074,153.565,281.685,145.162,121.677,145.937,212.46599999999998,146.218,238.33900000000003,145.607,53.71,147.032,41.997,137.244,,,,,,,,,,,,,,,,,,,,
339.0,1356.0,,215.972,58.482,191.71400000000003,51.066,131.351,130.835,161.417,130.605,139.32299999999998,129.136,245.798,116.15899999999999,76.983,109.49700000000001,216.283,109.616,199.804,102.634,275.66200000000003,102.96600000000001,128.929,100.2,186.93,94.796,212.11900000000003,95.527,116.896,97.87200000000001,75.523,98.49799999999999,90.35,97.238,248.94099999999997,86.667,110.234,84.538,84.17200000000001,92.154,110.491,91.594,171.12099999999998,81.64399999999999,108.584,79.179,88.00399999999999,84.34299999999999,182.38299999999998,83.117,257.76,77.745,112.083,161.80200000000002,86.815,158.115,42.769,152.55,73.008,153.499,281.69599999999997,145.181,121.655,145.95600000000002,212.47400000000002,146.219,238.30200000000002,145.601,53.744,147.028,41.993,137.261,,,,,,,,,,,,,,,,,,,,
339.25,1357.0,,215.946,58.468,191.713,51.06100000000001,131.371,130.796,161.41299999999998,130.595,139.262,129.14700000000002,245.851,116.19,76.941,109.507,215.801,109.655,199.808,102.634,275.657,102.991,128.96200000000002,100.18700000000001,186.997,94.71700000000001,212.084,95.546,116.875,97.87899999999999,75.508,98.492,90.19200000000001,97.272,248.90599999999998,86.62899999999999,110.229,84.538,84.178,92.148,110.49,91.602,171.108,81.597,108.60600000000001,79.25399999999999,87.992,84.28200000000001,182.38,83.14,257.716,77.72399999999999,112.102,161.775,86.859,158.099,42.766000000000005,152.584,73.018,153.717,281.712,145.19899999999998,121.68700000000001,145.931,212.467,146.22,238.30700000000002,145.60399999999998,53.735,147.026,42.004,137.267,,,,,,,,,,,,,,,,,,,,
339.5,1358.0,,215.91400000000002,58.505,191.702,51.052,131.394,130.815,161.43,130.611,139.26,129.131,245.86700000000002,116.12799999999999,76.92,109.48299999999999,215.981,109.633,199.81599999999997,102.634,275.64599999999996,103.001,128.959,100.17299999999999,187.0,94.705,212.046,95.546,116.853,97.853,75.498,98.49600000000001,90.259,97.26799999999999,248.895,86.617,110.29,84.54,84.181,92.154,110.44200000000001,91.63,171.11,81.616,108.65,79.286,88.035,84.289,182.372,83.15100000000001,257.869,77.693,112.09700000000001,161.80700000000002,86.89299999999999,158.086,42.771,152.578,73.071,153.951,281.7,145.158,121.699,145.953,212.458,146.22899999999998,238.291,145.602,53.703,147.02700000000002,42.001999999999995,137.26,,,,,,,,,,,,,,,,,,,,
339.75,1359.0,,215.886,58.541000000000004,191.706,51.052,131.38299999999998,130.856,161.42,130.621,139.19,129.111,245.872,116.11200000000001,76.917,109.48899999999999,216.243,109.569,199.81799999999998,102.646,275.621,103.06,128.977,100.15700000000001,186.928,94.83,212.132,95.384,116.818,97.867,75.501,98.48899999999999,90.20299999999999,97.306,248.96099999999998,86.639,110.251,84.559,84.178,92.152,110.37,91.66799999999999,171.15,81.661,108.734,79.419,88.008,84.286,182.382,83.09700000000001,257.949,77.688,112.085,161.81,86.803,158.096,42.773,152.569,73.092,153.924,281.69599999999997,145.18,121.715,145.955,212.47,146.221,238.324,145.622,53.729,147.029,42.013000000000005,137.27,,,,,,,,,,,,,,,,,,,,
340.0,1360.0,,215.886,58.576,191.69,51.051,131.43200000000002,130.96,161.45600000000002,130.612,139.208,129.095,245.842,116.12,76.91199999999999,109.509,216.18599999999998,109.58200000000001,199.81900000000002,102.64,275.647,103.005,129.017,100.095,186.94299999999998,94.82600000000001,212.22799999999998,95.309,116.787,97.90299999999999,75.498,98.49600000000001,90.196,97.3,248.93599999999998,86.601,110.26299999999999,84.539,84.166,92.176,110.277,91.711,171.118,81.61,108.727,79.39,88.02799999999999,84.29899999999999,182.392,83.095,257.964,77.664,112.10700000000001,161.796,86.82799999999999,158.083,42.745,152.58,73.081,153.776,281.666,145.158,121.723,145.982,212.46200000000002,146.203,238.292,145.64600000000002,53.731,147.02700000000002,42.005,137.275,,,,,,,,,,,,,,,,,,,,
340.25,1361.0,,215.835,58.597,191.69,51.055,131.481,130.852,161.469,130.599,139.235,129.071,245.804,116.13600000000001,76.857,109.52,216.375,109.527,199.826,102.646,275.645,102.98700000000001,129.015,100.083,186.945,94.811,212.25,95.346,116.811,97.92200000000001,75.544,98.53299999999999,90.171,97.335,248.93599999999998,86.59100000000001,110.225,84.63,84.163,92.194,110.164,91.74600000000001,171.12,81.625,108.728,79.369,88.045,84.31,182.393,83.094,257.957,77.671,112.111,161.814,86.835,158.118,42.75,152.565,73.03,153.525,281.686,145.17600000000002,121.712,145.974,212.46599999999998,146.191,238.275,145.666,53.75,147.02200000000002,42.045,137.29399999999998,,,,,,,,,,,,,,,,,,,,
340.5,1362.0,,215.812,58.582,191.69299999999998,51.055,131.474,130.733,161.469,130.602,139.188,129.071,245.812,116.15100000000001,76.806,109.484,216.005,109.557,199.828,102.65299999999999,275.634,103.01,129.0,100.1,186.95,94.821,212.21400000000003,95.318,116.78200000000001,97.93799999999999,75.536,98.538,90.213,97.333,248.90200000000002,86.54799999999999,110.242,84.603,84.178,92.18700000000001,110.228,91.699,171.132,81.663,108.74799999999999,79.29899999999999,88.014,84.305,182.372,83.103,257.999,77.616,112.096,161.868,86.804,158.106,42.751999999999995,152.559,73.043,153.54,281.66700000000003,145.158,121.713,145.989,212.472,146.184,238.28400000000002,145.645,53.739,147.028,42.056999999999995,137.305,,,,,,,,,,,,,,,,,,,,
340.75,1363.0,,215.795,58.589,191.69,51.048,131.509,130.78,161.471,130.56799999999998,139.232,129.108,245.77700000000002,116.197,76.821,109.46,216.35299999999998,109.531,199.82,102.65700000000001,275.623,103.012,129.056,100.04899999999999,186.98,94.75200000000001,212.185,95.28200000000001,116.802,97.936,75.581,98.554,90.234,97.259,248.90099999999998,86.554,110.189,84.633,84.18700000000001,92.193,110.139,91.75,171.135,81.686,108.72,79.27,88.01899999999999,84.304,182.398,83.071,258.04400000000004,77.592,112.081,161.861,86.8,158.092,42.78,152.55700000000002,73.03,153.594,281.688,145.14700000000002,121.682,145.977,212.476,146.18,238.30700000000002,145.64700000000002,53.722,147.026,42.051,137.30200000000002,,,,,,,,,,,,,,,,,,,,
