TimesH,Frame,NoMissing,4,4,5,5,12,12,17,17,21,21,28,28,30,30,54,54,62,62,65,65,68,68,77,77,78,78,86,86,88,88,91,91,105,105,107,107,115,115,118,118,120,120,199,199,214,214,248,248,250,250,251,251,252,252,255,255,265,265,268,268,277,277,296,296,313,313,314,314,315,315,316,316,317,317,322,322,324,324,330,330,331,331,332,332,335,335,336,336,340,340,341,341,345,345,349,349,353,353,354,354,357,357,364,364,367,367,372,372,380,380,381,381,386,386,394,394,396,396,397,397,402,402,404,404,406,406,410,410,417,417,422,422,424,424,426,426,430,430,434,434,441,441,445,445,599,599,652,652,720,720,734,734,907,907,1087,1087,1179,1179,1350,1350,1667,1667,1751,1751
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
335.75,1343.0,,218.271,150.39700000000002,72.13600000000001,150.671,53.992,149.539,93.52600000000001,148.34,210.488,147.108,253.90599999999998,143.74200000000002,36.065,166.62099999999998,83.96600000000001,156.178,122.507,130.279,102.8,130.007,245.03400000000002,129.32299999999998,221.47400000000002,125.50299999999999,135.76,125.523,197.268,123.25200000000001,82.805,122.259,286.79200000000003,121.318,45.082,139.625,230.575,136.784,88.04299999999999,135.085,192.84400000000002,132.909,200.55200000000002,131.877,173.872,15.475,250.24400000000003,64.919,216.0,76.87,183.47400000000002,76.08800000000001,236.273,76.212,67.468,75.21600000000001,250.386,73.81,269.399,70.118,136.319,68.766,98.921,36.718,178.364,26.296,194.3,50.36,249.81099999999998,50.32,98.825,48.971000000000004,202.578,46.853,119.868,47.998000000000005,137.039,45.521,211.513,44.035,182.237,42.111000000000004,92.40100000000001,110.488,191.453,111.295,74.494,108.86200000000001,280.66200000000003,108.585,247.09900000000002,108.39299999999999,119.786,108.274,266.72,106.001,96.913,105.427,54.678999999999995,103.929,272.573,103.385,251.917,103.094,92.542,119.867,54.602,120.353,73.753,118.27799999999999,184.315,114.79299999999999,295.615,114.24799999999999,103.43,114.029,124.035,92.80799999999999,166.952,91.712,99.749,90.971,68.335,90.338,220.856,88.684,108.488,88.868,245.30599999999998,85.255,102.214,84.024,194.331,82.381,189.197,101.839,132.025,101.454,73.251,100.179,279.664,97.899,223.488,96.617,271.401,94.806,,,,,,,,,,,,,,,,,,,,
336.0,1344.0,,218.28900000000002,150.44299999999998,72.002,151.24,53.983000000000004,149.582,93.53399999999999,148.339,210.484,147.08700000000002,253.90900000000002,143.748,36.013000000000005,166.755,84.00200000000001,156.188,122.478,130.278,102.829,130.014,245.1,129.38,221.543,125.637,135.783,125.536,197.301,123.24799999999999,82.804,122.23200000000001,286.80400000000003,121.334,45.071999999999996,139.623,230.574,136.768,88.051,135.095,192.857,132.906,200.511,131.863,173.898,15.484000000000002,250.24200000000002,64.91199999999999,216.005,76.87,183.458,76.094,236.24200000000002,76.196,67.47800000000001,75.202,250.09400000000002,73.867,269.315,69.984,136.327,68.66199999999999,98.869,36.717,178.446,26.256999999999998,194.28799999999998,50.335,249.81,50.33,98.775,48.955,202.581,46.831,119.85799999999999,48.013000000000005,136.745,45.052,211.88299999999998,44.03,182.25900000000001,42.082,92.54700000000001,110.662,191.43400000000003,111.294,74.488,108.85600000000001,280.625,108.557,247.13299999999998,108.399,119.78399999999999,108.285,266.78700000000003,106.01100000000001,96.89200000000001,105.446,54.711999999999996,103.876,272.564,103.387,251.90200000000002,103.081,92.525,119.9,54.596000000000004,120.34,73.785,118.23200000000001,184.326,114.84899999999999,295.624,114.228,103.42299999999999,114.035,124.00399999999999,92.765,166.97,91.699,99.75200000000001,90.935,68.35,90.36,220.852,88.676,108.512,88.882,245.291,85.23,102.162,84.084,194.37099999999998,82.413,189.21900000000002,101.83,131.988,101.465,73.242,100.167,279.651,97.881,223.50599999999997,96.62899999999999,271.403,94.77799999999999,,,,,,,,,,,,,,,,,,,,
336.25,1345.0,,218.292,150.442,71.84100000000001,151.616,53.958999999999996,149.64700000000002,93.53299999999999,148.315,210.50599999999997,147.116,253.91,143.751,36.052,166.632,84.008,156.172,122.493,130.267,102.881,130.001,245.095,129.389,221.537,125.62100000000001,135.78799999999998,125.57,197.294,123.23,82.77799999999999,122.23299999999999,286.812,121.336,45.093,139.621,230.58700000000002,136.748,88.045,135.107,192.877,132.903,200.484,131.8,173.882,15.452,250.255,64.92,215.997,76.868,183.452,76.135,236.243,76.19,67.502,75.189,249.74400000000003,73.921,269.252,69.903,136.355,68.773,98.831,36.756,178.493,26.271,194.28799999999998,50.328,249.81,50.324,98.76700000000001,48.92100000000001,202.612,46.835,119.90299999999999,47.994,136.752,44.913999999999994,211.782,44.045,182.322,42.07,92.51899999999999,110.62899999999999,191.452,111.272,74.508,108.84700000000001,280.617,108.55799999999999,247.204,108.38600000000001,119.787,108.28,266.825,106.01899999999999,96.891,105.45,54.733999999999995,103.905,272.528,103.39200000000001,251.892,103.083,92.51299999999999,119.87799999999999,54.595,120.337,73.77600000000001,118.26299999999999,184.303,114.839,295.637,114.221,103.412,114.126,124.021,92.79899999999999,166.985,91.682,99.74600000000001,90.92,68.384,90.345,220.815,88.678,108.506,88.86,245.233,85.23100000000001,102.155,84.084,194.41299999999998,82.44,189.209,101.818,132.02100000000002,101.40100000000001,73.209,100.134,279.66900000000004,97.979,223.532,96.625,271.439,94.773,,,,,,,,,,,,,,,,,,,,
336.5,1346.0,,218.297,150.434,71.83800000000001,151.644,54.0,149.638,93.51799999999999,148.411,210.511,147.145,253.90599999999998,143.768,,,84.007,156.179,122.52,130.289,102.85700000000001,130.025,245.02900000000002,129.344,221.56,125.639,135.78,125.56200000000001,197.301,123.259,82.76899999999999,122.18,286.814,121.335,45.126999999999995,139.609,230.56099999999998,136.717,88.03299999999999,135.126,192.87,132.891,200.47400000000002,131.814,173.886,15.395,250.257,64.925,216.033,76.868,183.44099999999997,76.166,236.315,76.19800000000001,67.48100000000001,75.183,249.47400000000002,74.009,269.243,69.898,136.36,68.805,98.804,36.75,178.489,26.261999999999997,194.28799999999998,50.24100000000001,249.812,50.312,,,202.625,46.864,119.875,47.986000000000004,136.868,44.913999999999994,211.791,44.049,182.324,42.076,92.50200000000001,110.618,191.455,111.24600000000001,74.553,108.853,280.638,108.561,247.18900000000002,108.375,119.781,108.27799999999999,266.774,105.96799999999999,96.90299999999999,105.462,54.766999999999996,103.87899999999999,272.488,103.40799999999999,251.891,103.087,92.53399999999999,119.848,54.59,120.34899999999999,73.767,118.238,184.315,114.89,295.629,114.191,103.419,114.208,124.035,92.792,166.957,91.72,99.743,90.906,68.425,90.306,220.80599999999998,88.68299999999999,108.48700000000001,88.804,245.205,85.324,102.041,83.979,194.34900000000002,82.45200000000001,189.209,101.819,132.06,101.277,73.197,100.161,279.668,97.945,223.50099999999998,96.62200000000001,271.45799999999997,94.74700000000001,,,,,,,,,,,,,,,,,,,,
336.75,1347.0,,218.238,150.505,71.822,151.666,53.978,149.608,93.425,148.562,210.507,147.214,253.917,143.762,,,84.038,156.171,122.49600000000001,130.257,102.84899999999999,130.028,245.051,129.35399999999998,221.55900000000003,125.63600000000001,135.795,125.53,197.31400000000002,123.242,82.788,122.18799999999999,286.81,121.352,45.095,139.643,230.59599999999998,136.769,88.051,135.114,192.868,132.874,200.519,131.863,173.831,15.356,250.28,64.922,216.012,76.874,183.428,76.186,236.274,76.193,67.479,75.178,249.358,74.035,269.221,69.855,136.343,68.876,98.779,36.722,178.565,26.268,194.31900000000002,50.192,249.805,50.301,,,202.674,46.83,119.917,48.005,136.875,44.626999999999995,211.952,44.037,182.36700000000002,42.08,92.479,110.605,191.453,111.23899999999999,74.55199999999999,108.88799999999999,280.644,108.514,247.24599999999998,108.35700000000001,119.804,108.28299999999999,266.85,105.94,96.913,105.455,54.781000000000006,103.837,272.508,103.42,251.88299999999998,103.07600000000001,92.579,119.853,54.589,120.352,73.762,118.2,184.343,114.87899999999999,295.621,114.195,103.387,114.09299999999999,124.066,92.789,166.979,91.764,99.721,90.889,68.399,90.285,220.794,88.676,108.44,88.822,245.209,85.40899999999999,102.102,83.92,194.34,82.48700000000001,189.209,101.806,132.029,101.226,73.196,100.16,279.67400000000004,97.943,223.479,96.62,271.464,94.74799999999999,,,,,,,,,,,,,,,,,,,,
337.0,1348.0,,218.255,150.446,71.812,151.759,53.938,149.686,93.455,148.513,210.52900000000002,147.155,253.928,143.768,,,84.05,156.173,122.514,130.262,102.87,130.004,245.06599999999997,129.39,221.547,125.62299999999999,135.879,125.478,197.32299999999998,123.225,82.84299999999999,122.213,286.829,121.368,45.065,139.686,230.58700000000002,136.785,88.072,135.099,192.885,132.868,200.52900000000002,131.884,173.832,15.4,250.27,64.931,216.00900000000001,76.874,183.41299999999998,76.176,236.25099999999998,76.145,67.494,75.157,249.21900000000002,74.056,269.317,69.962,136.35299999999998,68.893,98.787,36.677,178.52700000000002,26.29,194.312,50.104,249.817,50.31,,,202.657,46.868,119.944,48.023,136.815,44.617,211.986,44.031000000000006,182.358,42.05,92.49600000000001,110.63799999999999,191.453,111.241,74.528,108.89299999999999,280.618,108.542,247.31799999999998,108.34700000000001,119.803,108.289,266.868,105.921,96.89,105.46,54.815,103.781,272.485,103.40700000000001,251.877,103.09299999999999,92.559,119.86,54.597,120.355,73.77199999999999,118.18299999999999,184.285,114.895,295.591,114.17399999999999,103.369,114.135,124.07600000000001,92.764,166.967,91.75,99.71600000000001,90.883,68.403,90.29700000000001,220.79,88.68299999999999,108.43299999999999,88.78299999999999,245.22400000000002,85.363,102.162,83.86200000000001,194.356,82.54299999999999,189.203,101.79700000000001,131.97799999999998,101.21,73.157,100.189,279.685,97.934,223.49200000000002,96.624,271.45099999999996,94.742,,,,,,,,,,,,,,,,,,,,
337.25,1349.0,,218.267,150.505,71.771,151.87,53.961999999999996,149.746,93.44,148.614,210.56900000000002,147.19,253.93599999999998,143.75,37.544000000000004,163.99099999999999,84.025,156.178,122.49600000000001,130.269,102.844,130.014,245.18400000000003,129.511,221.53799999999998,125.613,135.817,125.49600000000001,197.317,123.221,82.86,122.20200000000001,286.796,121.34299999999999,45.038000000000004,139.737,230.584,136.841,88.074,135.084,192.885,132.85299999999998,200.521,131.862,173.842,15.385,250.25400000000002,64.915,215.986,76.89,183.424,76.168,236.27,76.118,67.486,75.143,249.166,74.077,269.27299999999997,69.941,136.417,68.801,98.806,36.719,178.489,26.320999999999998,194.291,50.042,249.83,50.278999999999996,98.725,48.806000000000004,202.679,46.88,119.98100000000001,48.028,136.88299999999998,44.713,212.197,44.038000000000004,182.372,41.99100000000001,92.425,110.524,191.442,111.245,74.477,108.884,280.628,108.60700000000001,247.435,108.34899999999999,119.823,108.295,266.869,105.965,96.874,105.461,54.84,103.76799999999999,272.471,103.385,251.868,103.083,92.546,119.876,54.593,120.34100000000001,73.793,118.12899999999999,184.294,114.87200000000001,295.575,114.137,103.36200000000001,114.12100000000001,124.088,92.76899999999999,166.98,91.861,99.704,90.88600000000001,68.405,90.287,220.77700000000002,88.697,108.44200000000001,88.792,245.13,85.516,102.131,83.85600000000001,194.364,82.515,189.196,101.791,132.026,101.118,73.156,100.185,279.659,97.95100000000001,223.481,96.62200000000001,271.439,94.755,,,,,,,,,,,,,,,,,,,,
337.5,1350.0,,218.238,150.457,71.781,151.875,53.976000000000006,149.805,93.448,148.55200000000002,210.56599999999997,147.203,253.93,143.778,37.578,163.953,84.02600000000001,156.17,122.50200000000001,130.293,102.809,130.02100000000002,245.13299999999998,129.49200000000002,221.47799999999998,125.48100000000001,135.82399999999998,125.51899999999999,197.32,123.2,82.863,122.176,286.791,121.334,45.022,139.755,230.513,136.826,88.04799999999999,135.123,192.924,132.761,200.53,131.857,173.84,15.34,250.24900000000002,64.908,215.951,76.86399999999999,183.407,76.132,236.345,76.128,67.467,75.139,249.072,74.094,269.217,69.869,136.459,68.734,98.77799999999999,36.743,178.50900000000001,26.289,194.266,49.997,249.83599999999998,50.278,98.74700000000001,48.805,202.73,46.836000000000006,119.995,48.044,136.934,44.748999999999995,212.203,44.047,182.394,41.958,92.414,110.462,191.451,111.229,74.471,108.889,280.635,108.598,247.45,108.4,119.837,108.29,266.91200000000003,105.963,96.87,105.463,54.872,103.786,272.432,103.399,251.864,103.09,92.586,119.863,54.593,120.333,73.779,118.094,184.28799999999998,114.824,295.59,114.118,103.36200000000001,114.163,124.104,92.765,166.97099999999998,91.87,99.681,90.88799999999999,68.443,90.274,220.774,88.693,108.439,88.814,245.05200000000002,85.61399999999999,102.01,83.941,194.392,82.51899999999999,189.203,101.78399999999999,132.035,101.053,73.186,100.191,279.668,97.932,223.476,96.624,271.443,94.773,,,,,,,,,,,,,,,,,,,,
