 ,X,Y
1,124.000,47.000
2,122.176,45.974
3,120.013,45.343
4,117.674,45.044
5,115.324,45.016
6,113.063,45.191
7,110.886,45.498
8,108.778,45.863
9,106.724,46.215
10,104.697,46.527
11,102.668,46.802
12,100.606,47.043
13,98.508,47.269
14,96.436,47.533
15,94.462,47.891
16,92.646,48.395
17,90.971,49.042
18,89.380,49.802
19,87.816,50.648
20,86.237,51.578
21,84.608,52.604
22,82.898,53.732
23,81.136,54.921
24,79.389,56.094
25,77.726,57.174
26,76.165,58.133
27,74.601,59.058
28,72.908,60.055
29,71.020,61.203
30,69.064,62.496
31,67.207,63.904
32,65.616,65.401
33,64.341,66.950
34,63.204,68.498
35,62.007,69.992
36,60.605,71.403
37,59.089,72.803
38,57.604,74.292
39,56.292,75.961
40,55.150,77.766
41,54.057,79.546
42,52.886,81.134
43,51.570,82.450
44,50.220,83.673
45,48.977,85.030
46,47.945,86.679
47,47.071,88.524
48,46.263,90.406
49,45.436,92.178
50,44.529,93.809
51,43.504,95.341
52,42.325,96.816
53,41.045,98.290
54,39.797,99.828
55,38.712,101.496
56,37.824,103.300
57,36.993,105.139
58,36.060,106.903
59,34.911,108.509
60,33.634,110.011
61,32.379,111.501
62,31.283,113.064
63,30.333,114.689
64,29.421,116.304
65,28.447,117.843
66,27.424,119.353
67,26.467,120.978
68,25.689,122.861
69,25.109,125.005
70,24.629,127.254
71,24.146,129.438
72,23.568,131.410
73,22.919,133.219
74,22.290,135.016
75,21.768,136.954
76,21.391,139.074
77,21.145,141.307
78,21.013,143.575
79,20.989,145.805
80,21.138,147.930
81,21.558,149.890
82,22.345,151.626
83,23.483,153.160
84,24.808,154.629
85,26.140,156.177
86,27.358,157.887
87,28.490,159.671
88,29.597,161.409
89,30.737,162.989
90,31.967,164.366
91,33.346,165.549
92,34.925,166.546
93,36.684,167.420
94,38.542,168.278
95,40.416,169.225
96,42.239,170.316
97,43.981,171.499
98,45.618,172.707
99,47.137,173.875
100,48.648,174.921
101,50.319,175.762
102,52.307,176.320
103,54.587,176.629
104,57.008,176.802
105,59.417,176.953
106,61.678,177.181
107,63.820,177.478
108,65.954,177.778
109,68.190,178.016
110,70.597,178.142
111,73.101,178.168
112,75.601,178.114
113,77.995,178.000
114,80.206,177.838
115,82.255,177.592
116,84.184,177.216
117,86.037,176.671
118,87.861,176.008
119,89.703,175.362
120,91.611,174.868
121,93.604,174.564
122,95.660,174.333
123,97.749,174.044
124,99.843,173.592
125,101.898,173.008
126,103.869,172.374
127,105.710,171.768
128,107.418,171.185
129,109.041,170.507
130,110.633,169.609
131,112.209,168.464
132,113.737,167.168
133,115.182,165.827
134,116.527,164.513
135,117.809,163.220
136,119.074,161.924
137,120.357,160.613
138,121.662,159.303
139,122.982,158.017
140,124.309,156.766
141,125.622,155.492
142,126.894,154.124
143,128.109,152.613
144,129.306,151.036
145,130.543,149.508
146,131.866,148.133
147,133.226,146.872
148,134.507,145.588
149,135.600,144.150
150,136.533,142.553
151,137.452,140.894
152,138.502,139.272
153,139.712,137.726
154,140.987,136.220
155,142.223,134.718
156,143.337,133.183
157,144.289,131.582
158,145.045,129.880
159,145.615,128.065
160,146.154,126.192
161,146.845,124.329
162,147.837,122.536
163,149.043,120.807
164,150.275,119.105
165,151.348,117.397
166,152.154,115.640
167,152.706,113.787
168,153.022,111.785
169,153.138,109.608
170,153.121,107.292
171,153.048,104.886
172,152.993,102.440
173,152.997,99.989
174,153.026,97.538
175,153.037,95.090
176,152.987,92.649
177,152.846,90.225
178,152.612,87.859
179,152.291,85.593
180,151.889,83.469
181,151.396,81.509
182,150.776,79.690
183,149.992,77.985
184,149.035,76.363
185,148.020,74.777
186,147.091,73.178
187,146.355,71.527
188,145.733,69.844
189,145.078,68.176
190,144.267,66.555
191,143.306,64.963
192,142.247,63.365
193,141.135,61.736
194,139.960,60.132
195,138.681,58.654
196,137.264,57.395
197,135.707,56.366
198,134.050,55.492
199,132.330,54.695
200,130.618,53.873
201,129.024,52.894
202,127.663,51.624
203,126.527,50.058
204,125.390,48.430
205,124.000,47.000
