 ,X,Y
1,283.000,98.000
2,282.001,96.882
3,280.787,94.734
4,279.419,92.206
5,277.959,89.947
6,276.483,88.403
7,275.128,87.269
8,274.043,86.068
9,273.322,84.432
10,272.795,82.497
11,272.220,80.548
12,271.379,78.837
13,270.343,77.312
14,269.350,75.740
15,268.625,73.897
16,268.138,71.814
17,267.652,69.720
18,266.921,67.854
19,265.796,66.368
20,264.418,65.137
21,262.986,63.988
22,261.652,62.778
23,260.380,61.479
24,259.088,60.095
25,257.711,58.636
26,256.257,57.151
27,254.762,55.700
28,253.256,54.344
29,251.747,53.091
30,250.217,51.904
31,248.648,50.743
32,247.050,49.570
33,245.496,48.355
34,244.068,47.068
35,242.807,45.702
36,241.579,44.350
37,240.196,43.138
38,238.517,42.158
39,236.653,41.318
40,234.811,40.461
41,233.189,39.433
42,231.831,38.193
43,230.633,36.805
44,229.487,35.341
45,228.291,33.904
46,226.954,32.640
47,225.387,31.694
48,223.589,31.063
49,221.677,30.543
50,219.780,29.912
51,217.979,29.044
52,216.220,28.072
53,214.428,27.177
54,212.533,26.523
55,210.529,26.140
56,208.439,25.989
57,206.285,26.034
58,204.095,26.230
59,201.899,26.528
60,199.731,26.878
61,197.621,27.228
62,195.569,27.551
63,193.558,27.827
64,191.567,28.040
65,189.602,28.221
66,187.712,28.499
67,185.953,29.019
68,184.349,29.863
69,182.796,30.890
70,181.164,31.910
71,179.359,32.777
72,177.486,33.585
73,175.712,34.507
74,174.200,35.709
75,172.949,37.194
76,171.818,38.822
77,170.664,40.453
78,169.422,42.005
79,168.167,43.512
80,166.989,45.015
81,165.952,46.552
82,165.012,48.144
83,164.104,49.806
84,163.174,51.548
85,162.246,53.345
86,161.372,55.162
87,160.602,56.964
88,159.946,58.763
89,159.374,60.614
90,158.857,62.569
91,158.354,64.627
92,157.807,66.683
93,157.153,68.625
94,156.357,70.362
95,155.576,71.978
96,155.053,73.636
97,154.993,75.487
98,155.295,77.562
99,155.718,79.842
100,156.023,82.307
101,156.062,84.917
102,155.955,87.575
103,155.865,90.176
104,155.955,92.612
105,156.357,94.800
106,156.978,96.797
107,157.635,98.719
108,158.149,100.681
109,158.458,102.728
110,158.684,104.795
111,158.965,106.809
112,159.413,108.713
113,160.021,110.541
114,160.734,112.356
115,161.507,114.213
116,162.340,116.079
117,163.271,117.858
118,164.335,119.454
119,165.548,120.836
120,166.888,122.078
121,168.331,123.265
122,169.846,124.462
123,171.392,125.683
124,172.926,126.938
125,174.419,128.223
126,175.914,129.485
127,177.474,130.655
128,179.156,131.670
129,180.944,132.560
130,182.776,133.409
131,184.591,134.303
132,186.365,135.258
133,188.139,136.185
134,189.960,136.985
135,191.852,137.600
136,193.743,138.146
137,195.538,138.786
138,197.158,139.661
139,198.688,140.690
140,200.299,141.670
141,202.153,142.411
142,204.213,142.938
143,206.292,143.434
144,208.202,144.088
145,209.841,145.002
146,211.367,146.033
147,212.983,146.992
148,214.839,147.735
149,216.873,148.301
150,218.968,148.773
151,221.008,149.235
152,222.932,149.758
153,224.732,150.402
154,226.402,151.223
155,227.972,152.211
156,229.542,153.222
157,231.219,154.096
158,233.056,154.748
159,234.952,155.300
160,236.778,155.910
161,238.436,156.708
162,239.994,157.674
163,241.582,158.730
164,243.318,159.797
165,245.220,160.778
166,247.256,161.569
167,249.390,162.062
168,251.601,162.222
169,253.893,162.169
170,256.275,162.048
171,258.754,162.002
172,261.302,162.082
173,263.829,162.178
174,266.240,162.167
175,268.440,161.924
176,270.391,161.403
177,272.184,160.724
178,273.925,160.028
179,275.706,159.421
180,277.543,158.849
181,279.433,158.214
182,281.363,157.421
183,283.241,156.412
184,284.926,155.155
185,286.276,153.617
186,287.259,151.830
187,288.059,149.961
188,288.890,148.193
189,289.911,146.657
190,290.981,145.179
191,291.849,143.476
192,292.296,141.307
193,292.364,138.774
194,292.221,136.152
195,292.039,133.718
196,291.975,131.716
197,292.010,130.050
198,292.016,128.399
199,291.878,126.473
200,291.613,124.245
201,291.302,121.818
202,291.026,119.292
203,290.843,116.767
204,290.687,114.327
205,290.444,112.049
206,290.004,110.013
207,289.290,108.246
208,288.374,106.565
209,287.363,104.735
210,286.362,102.555
211,285.422,100.301
212,284.558,98.574
213,283.781,97.965
214,283.000,98.000
