TimesH,Frame,NoMissing,0,0,9,9,10,10,11,11,12,12,35,35,43,43,46,46,48,48,52,52,61,61,69,69,72,72,73,73,74,74,77,77,80,80,82,82,83,83,84,84,87,87,95,95,98,98,101,101,102,102,105,105,108,108,111,111,114,114,119,119,120,120,121,121,123,123,124,124,126,126,130,130,131,131,132,132,136,136,137,137,138,138,139,139,140,140,141,141,142,142,143,143,147,147,150,150,153,153,155,155,156,156,157,157,160,160,161,161,166,166,167,167,168,168,172,172,174,174,175,175,176,176,177,177,179,179,181,181,185,185,186,186,188,188,189,189,191,191,195,195,196,196,197,197,198,198,201,201,202,202,204,204,207,207,211,211,212,212,213,213,215,215,220,220,222,222,225,225,227,227,228,228,243,243,244,244,245,245,247,247,249,249,251,251,252,252,254,254,255,255,257,257,258,258,259,259,261,261,262,262,263,263,265,265,270,270,273,273,274,274,283,283,284,284,285,285,286,286,288,288,289,289,290,290,291,291,292,292,295,295,296,296,297,297,298,298,299,299,301,301,302,302,303,303,321,321,327,327,328,328,344,344,348,348,350,350,368,368,378,378,402,402,403,403,408,408,413,413,414,414,417,417,429,429,513,513,524,524
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,223.37900000000002,33.489000000000004,138.382,44.538999999999994,228.60299999999998,44.282,239.295,43.93899999999999,255.71,38.399,212.22299999999998,68.078,246.35,74.098,129.22899999999998,71.832,126.73899999999999,52.802,110.516,49.37,218.018,56.809,146.16,124.024,207.41400000000002,120.37299999999999,69.039,121.91,85.61,121.87100000000001,297.754,129.695,63.25,125.62299999999999,132.04,115.89,187.49099999999999,117.531,219.342,116.861,201.924,114.26299999999999,269.823,119.51700000000001,78.283,142.416,,,259.39799999999997,139.725,222.796,141.22799999999998,272.519,145.768,142.872,143.351,73.133,133.701,154.689,131.769,25.42,132.918,301.441,138.114,204.74200000000002,140.695,215.94299999999998,139.936,148.893,136.384,123.51899999999999,87.875,215.301,87.645,292.819,87.68299999999999,41.166000000000004,87.211,103.68700000000001,90.669,128.417,91.538,219.773,91.31299999999999,232.829,92.33,133.765,89.235,207.915,89.04799999999999,270.944,89.352,229.80900000000003,78.274,213.392,75.393,111.994,82.08200000000001,246.733,83.18799999999999,93.958,78.582,120.182,78.668,130.435,108.06299999999999,204.53799999999998,108.074,222.787,104.838,184.80200000000002,106.368,139.694,111.587,196.271,108.53200000000001,254.755,110.98100000000001,114.704,112.38799999999999,149.52,96.62700000000001,261.694,96.074,136.214,98.449,111.69200000000001,94.551,217.03400000000002,100.635,264.631,100.962,287.684,98.413,123.34899999999999,99.42200000000001,210.058,99.741,247.28599999999997,186.065,307.246,180.736,79.01899999999999,182.989,254.74,183.815,94.054,189.422,305.58099999999996,189.35,338.025,186.084,322.09,188.053,69.884,178.92,111.35600000000001,174.38099999999997,267.943,173.80700000000002,223.148,174.553,298.58299999999997,178.825,35.35,179.63099999999997,268.383,193.544,230.489,189.778,286.633,189.797,266.17400000000004,155.33,126.7,156.857,207.87400000000002,156.58,,,270.83,162.123,69.358,159.917,218.21099999999998,160.404,147.995,161.439,210.53900000000002,147.506,105.603,148.373,320.666,147.869,298.753,145.555,45.724,146.78799999999998,190.229,147.06799999999998,230.158,154.26,48.778999999999996,154.836,312.432,153.493,64.46600000000001,169.768,88.194,169.68,104.63600000000001,170.38400000000001,129.388,171.421,278.063,170.863,41.894,171.787,128.319,164.967,205.722,165.449,224.42,164.623,323.39599999999996,162.267,108.542,162.939,253.074,166.614,316.658,166.919,30.793000000000003,168.166,220.308,167.80700000000002,247.704,165.123,140.757,165.895,237.09799999999998,165.96900000000002,,,200.805,71.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,223.304,33.427,138.376,44.538999999999994,228.623,44.283,239.173,43.938,255.665,38.446,212.209,68.05,246.36900000000003,74.171,129.225,71.859,126.74700000000001,52.786,110.49799999999999,49.291000000000004,218.078,56.794,146.14,123.89299999999999,207.391,120.41,68.98899999999999,121.869,85.62100000000001,121.868,297.823,129.675,63.232,125.624,132.025,115.87700000000001,187.493,117.554,219.201,116.851,201.922,114.258,269.88,119.515,78.311,142.452,,,259.376,139.77,222.78,141.202,272.54,145.805,142.872,143.345,73.126,133.689,154.673,131.71200000000002,25.363000000000003,132.945,301.464,138.112,204.75599999999997,140.64700000000002,215.95,139.89700000000002,148.903,136.376,123.48299999999999,87.895,215.304,87.62700000000001,292.663,87.744,41.155,87.184,103.681,90.473,128.376,91.55,219.791,91.325,232.85299999999998,92.32600000000001,133.781,89.229,207.93400000000003,89.059,270.937,89.324,229.77599999999998,78.212,213.385,75.399,112.001,81.896,246.813,83.05799999999999,93.845,78.568,120.162,78.654,130.408,107.978,204.537,108.015,222.826,104.816,184.705,106.277,139.717,111.57700000000001,196.22400000000002,108.65,254.764,110.971,114.704,112.402,149.254,96.273,262.005,95.95200000000001,136.16899999999998,98.365,111.59,94.458,217.043,100.65,264.605,100.98899999999999,287.666,98.3,123.354,99.376,210.05,99.719,247.33,186.043,307.232,180.767,78.954,182.989,254.79,183.797,94.06299999999999,189.393,305.597,189.325,338.01300000000003,186.08900000000003,322.08299999999997,188.074,69.726,179.00799999999998,111.35,174.365,267.987,173.75099999999998,223.168,174.56900000000002,298.582,178.82299999999998,35.251999999999995,179.662,268.539,193.486,230.44299999999998,189.72,286.589,189.785,266.195,155.325,126.697,156.857,207.87,156.563,193.63099999999997,162.488,270.865,162.13,68.805,159.3,218.205,160.343,147.864,161.346,210.542,147.47799999999998,105.585,148.347,320.589,147.889,298.757,145.541,45.582,146.637,190.202,147.026,230.227,154.25,48.758,154.791,312.452,153.424,64.407,169.83,88.175,169.65200000000002,104.556,170.263,129.31,171.24400000000003,278.058,170.896,41.881,171.766,128.29399999999998,164.923,205.71400000000003,165.403,224.451,164.602,323.41200000000003,162.289,108.53200000000001,162.92,253.097,166.636,316.579,166.862,30.820999999999998,168.162,220.30900000000003,167.78599999999997,247.69799999999998,165.12099999999998,140.737,165.766,237.16099999999997,165.949,,,200.76,71.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,223.16099999999997,33.409,138.34,44.513000000000005,228.77200000000002,44.162,238.607,43.99100000000001,255.736,38.441,212.22,67.979,246.43599999999998,74.111,129.159,71.845,126.74799999999999,52.745,110.48700000000001,49.298,218.062,56.748999999999995,146.11700000000002,123.81,207.392,120.4,69.003,121.84100000000001,85.616,121.80799999999999,297.876,129.675,63.151,125.613,131.971,115.818,187.49599999999998,117.46700000000001,219.138,116.868,201.86700000000002,114.355,269.907,119.50299999999999,78.263,142.381,111.47,143.78,259.404,139.773,222.8,141.2,272.496,145.64600000000002,142.872,143.32299999999998,73.113,133.658,154.622,131.627,25.336,132.894,301.462,138.118,204.75400000000002,140.549,215.955,139.881,148.96200000000002,136.393,123.456,87.846,215.291,87.64399999999999,292.717,87.70700000000001,41.169,87.17200000000001,103.69,90.586,128.387,91.53399999999999,219.845,91.315,232.91299999999998,92.289,133.887,89.226,207.956,89.03399999999999,270.91700000000003,89.305,229.782,78.104,213.372,75.42,112.03,81.971,246.77,83.102,93.73700000000001,78.558,120.15,78.646,130.38,107.881,204.513,108.03299999999999,222.83599999999998,104.804,184.68099999999998,106.255,139.751,111.58,196.22099999999998,108.675,254.77900000000002,110.97,114.70299999999999,112.395,149.124,96.09299999999999,261.85400000000004,95.98299999999999,136.205,98.459,111.545,94.42200000000001,217.054,100.62100000000001,264.606,100.991,287.617,98.295,123.376,99.35600000000001,210.078,99.719,247.394,186.03099999999998,307.315,180.77900000000002,78.9,182.96,254.861,183.77,94.059,189.37400000000002,305.61400000000003,189.31,338.01099999999997,186.107,322.119,188.074,69.763,178.94,111.333,174.31799999999998,268.002,173.717,223.18200000000002,174.514,298.55,178.84,35.143,179.713,268.585,193.483,230.447,189.62,286.651,189.761,266.258,155.312,126.693,156.849,207.88,156.542,192.61599999999999,161.678,270.889,162.139,68.8,159.252,218.209,160.308,147.774,161.157,210.502,147.487,105.585,148.336,320.561,147.856,298.817,145.545,45.428000000000004,146.54,190.19299999999998,146.99200000000002,230.239,154.19299999999998,48.753,154.752,312.492,153.421,64.369,169.847,88.163,169.637,104.589,170.24900000000002,129.28,171.11900000000003,278.066,170.933,42.001999999999995,171.93,128.253,164.91099999999997,205.726,165.38,224.46900000000002,164.56599999999997,323.34,162.289,108.464,162.826,253.112,166.679,316.572,166.877,30.728,168.08700000000002,220.293,167.78900000000002,247.72,165.065,140.69899999999998,165.662,237.21599999999998,165.94,,,200.768,71.17399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,223.215,33.533,138.188,44.396,228.847,44.126000000000005,238.24900000000002,44.205,255.863,38.342,212.178,67.92399999999999,246.332,74.061,129.144,71.834,126.743,52.723,110.456,49.278999999999996,218.07299999999998,56.748000000000005,146.085,123.822,207.388,120.447,68.959,121.834,85.65,121.75399999999999,297.964,129.701,63.16,125.648,131.946,115.75,187.50400000000002,117.359,219.162,116.98,201.83599999999998,114.42299999999999,269.96299999999997,119.5,78.192,142.265,111.25399999999999,143.31,259.452,139.726,222.82,141.144,272.473,145.543,142.844,143.3,73.083,133.64,154.53799999999998,131.55100000000002,25.318,132.875,301.454,138.131,204.761,140.517,215.953,139.834,148.993,136.388,123.413,87.831,215.298,87.619,292.73900000000003,87.663,41.185,87.118,103.676,90.559,128.38,91.51700000000001,219.878,91.30799999999999,232.929,92.27,134.003,89.26899999999999,207.93900000000002,89.209,270.957,89.285,229.76,78.024,213.373,75.475,112.03299999999999,81.911,246.857,82.955,93.635,78.57600000000001,120.08,78.592,130.357,107.78399999999999,204.507,107.985,222.82,104.82600000000001,184.787,106.24700000000001,139.773,111.555,196.301,108.55799999999999,254.834,110.96,114.62899999999999,112.348,149.141,96.11399999999999,261.642,96.083,136.24200000000002,98.516,111.473,94.22399999999999,217.06599999999997,100.635,264.58,100.98100000000001,287.64,98.259,123.37899999999999,99.39399999999999,210.06099999999998,99.58,247.459,186.00400000000002,307.115,180.804,78.796,182.99,254.935,183.729,94.04299999999999,189.342,305.608,189.298,338.06300000000005,186.023,322.107,188.196,69.921,179.11900000000003,111.31200000000001,174.29,268.061,173.69299999999998,223.171,174.5,298.534,178.847,35.035,179.725,268.738,193.437,230.497,189.467,286.877,189.752,266.358,155.313,126.662,156.815,207.87099999999998,156.51,191.56799999999998,160.958,270.892,162.141,68.829,159.25799999999998,218.197,160.253,147.83100000000002,161.183,210.498,147.47799999999998,105.575,148.316,320.579,147.842,298.836,145.57,45.364,146.493,190.19099999999997,146.921,230.237,154.129,48.748999999999995,154.768,312.466,153.386,64.19800000000001,169.924,88.17399999999999,169.646,104.574,170.245,129.23,171.00599999999997,278.10900000000004,170.958,41.882,171.88,128.22299999999998,164.892,205.74099999999999,165.368,224.507,164.53900000000002,323.483,162.409,108.382,162.77,253.13299999999998,166.676,316.578,166.87400000000002,30.7,168.074,220.275,167.75099999999998,247.801,165.045,140.716,165.662,237.248,165.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,223.247,33.673,138.172,44.376000000000005,228.90200000000002,44.102,238.185,44.253,255.858,38.334,212.12400000000002,67.76100000000001,246.387,74.07600000000001,129.174,71.78399999999999,126.706,52.673,110.427,49.27,218.125,56.705,146.106,123.811,207.391,120.37299999999999,68.953,121.844,85.637,121.705,297.91,129.708,63.076,125.65100000000001,131.918,115.67399999999999,187.505,117.21,219.079,117.044,201.84099999999998,114.421,269.999,119.484,78.17399999999999,142.208,111.116,142.499,259.546,139.773,222.824,141.179,272.49,145.504,142.858,143.26,73.038,133.62,154.442,131.472,25.375999999999998,132.834,301.501,138.142,204.75799999999998,140.44,215.96099999999998,139.826,149.003,136.387,123.361,87.87100000000001,215.294,87.615,292.788,87.68799999999999,41.174,87.12299999999999,103.67200000000001,90.47200000000001,128.362,91.51299999999999,219.907,91.301,232.96,92.25399999999999,134.016,89.25200000000001,207.925,89.331,270.943,89.288,229.77700000000002,77.94800000000001,213.368,75.503,112.041,81.913,247.005,82.77799999999999,93.60600000000001,78.703,120.042,78.571,130.317,107.694,204.49900000000002,107.99,222.84799999999998,104.786,184.854,106.193,139.78,111.51,196.399,108.436,254.863,110.96600000000001,114.619,112.34,149.123,96.1,261.83,96.007,136.219,98.505,111.494,94.163,217.015,100.656,264.67900000000003,100.95700000000001,287.705,98.23899999999999,123.37,99.34,210.03799999999998,99.391,247.53400000000002,185.986,307.222,180.77,78.738,182.96400000000003,255.00400000000002,183.734,94.042,189.31799999999998,305.608,189.28400000000002,338.108,186.021,322.17900000000003,188.199,69.959,179.06400000000002,111.32,174.28099999999998,268.165,173.672,223.183,174.484,298.509,178.856,34.944,179.671,268.837,193.43099999999998,230.46400000000003,189.51,286.95,189.74099999999999,266.47,155.322,126.645,156.756,207.886,156.502,191.696,161.048,270.89599999999996,162.137,68.837,159.18200000000002,218.21599999999998,160.136,147.66,160.942,210.516,147.436,105.589,148.303,320.608,147.836,298.893,145.59,44.841,146.313,190.192,146.877,230.297,154.128,48.781000000000006,154.732,312.473,153.377,64.179,169.91299999999998,88.141,169.606,104.564,170.22,129.245,171.037,278.135,170.94400000000002,41.925,171.905,128.15200000000002,164.851,205.763,165.363,224.548,164.502,324.353,162.736,108.292,162.704,253.15099999999998,166.68200000000002,316.631,166.892,30.639,168.067,220.27,167.68099999999998,247.877,165.05900000000003,140.66,165.49599999999998,237.304,165.90099999999998,43.141000000000005,146.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,223.33,33.461,138.10299999999998,44.316,229.00900000000001,44.129,238.243,44.294,255.856,38.367,212.081,67.665,246.37099999999998,74.064,129.162,71.766,126.69200000000001,52.678000000000004,110.417,49.253,218.153,56.678999999999995,146.10399999999998,123.664,207.40400000000002,120.29899999999999,68.814,121.74,85.632,121.64200000000001,297.941,129.657,63.034,125.68,131.925,115.59299999999999,187.532,117.105,218.975,116.92,201.83599999999998,114.42200000000001,270.01,119.493,78.025,142.02100000000002,111.061,142.89700000000002,259.375,139.776,222.873,141.17600000000002,272.507,145.468,142.851,143.207,73.029,133.612,154.496,131.505,25.337,132.799,301.519,138.128,204.771,140.372,215.97099999999998,139.809,149.042,136.433,123.35,87.838,215.30700000000002,87.596,292.836,87.65299999999999,41.188,87.117,103.807,90.495,128.332,91.484,219.952,91.306,233.00400000000002,92.24,134.06,89.318,207.89700000000002,89.381,270.928,89.294,229.794,78.02,213.456,75.503,112.02799999999999,81.829,247.046,82.686,93.669,78.782,119.992,78.542,130.284,107.661,204.53900000000002,107.87299999999999,222.84900000000002,104.711,184.923,106.14299999999999,139.77200000000002,111.50299999999999,196.42,108.389,254.938,110.95299999999999,114.58,112.306,149.088,96.057,261.918,95.984,136.11700000000002,98.23899999999999,111.581,94.331,216.997,100.654,264.7,100.962,287.847,98.23100000000001,123.29799999999999,99.413,209.997,99.199,247.58700000000002,185.965,307.228,180.77,78.626,182.95,255.076,183.695,94.046,189.30700000000002,305.615,189.31,338.099,185.983,322.212,188.24099999999999,69.828,178.907,111.352,174.248,268.231,173.688,223.18400000000003,174.43900000000002,298.529,178.861,35.031,179.635,268.961,193.4,230.46900000000002,189.535,287.079,189.763,266.47900000000004,155.36,126.63,156.738,207.889,156.47899999999998,191.62599999999998,160.813,270.907,162.122,68.77600000000001,159.084,218.247,160.009,147.567,160.767,210.53799999999998,147.414,105.551,148.276,320.63,147.866,298.914,145.60399999999998,44.873000000000005,146.263,190.183,146.781,230.294,154.053,48.745,154.704,312.428,153.33,64.185,169.93,88.103,169.53,104.61,170.275,129.20600000000002,170.96900000000002,278.13599999999997,170.94,41.919,171.916,128.124,164.851,205.77900000000002,165.331,224.47799999999998,164.52599999999998,325.513,163.059,108.19200000000001,162.64700000000002,253.187,166.678,316.622,166.90200000000002,30.581,168.002,220.24599999999998,167.757,247.97400000000002,165.00799999999998,140.56799999999998,165.513,237.35,165.886,42.343999999999994,145.888,,,,,99.056,115.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,223.38299999999998,33.47,137.996,44.208999999999996,229.02599999999998,44.111000000000004,238.13099999999997,44.238,255.847,38.351,211.947,67.682,246.43599999999998,73.958,129.148,71.747,126.693,52.711999999999996,110.456,49.248999999999995,218.21099999999998,56.643,146.07299999999998,123.478,207.449,120.10600000000001,68.737,121.65100000000001,85.579,121.531,297.961,129.624,62.983999999999995,125.70200000000001,131.925,115.54299999999999,187.521,117.068,219.012,116.825,201.799,114.462,270.079,119.48,77.945,141.918,111.057,142.33100000000002,259.464,139.754,222.85299999999998,141.166,272.529,145.471,142.835,143.145,72.964,133.558,154.52200000000002,131.77,25.296999999999997,132.789,301.547,138.129,204.813,140.285,215.982,139.78799999999998,149.041,136.365,123.37,87.85799999999999,215.322,87.59,292.82,87.712,41.223,87.12,103.773,90.34100000000001,128.35,91.537,219.953,91.32799999999999,233.05900000000003,92.212,133.994,89.26799999999999,207.922,89.398,270.967,89.305,229.79,78.014,213.481,75.59100000000001,112.01,81.84,247.055,82.60700000000001,93.602,78.818,120.06200000000001,78.566,130.27,107.594,204.542,107.855,222.82,104.725,184.922,106.103,139.773,111.46700000000001,196.433,108.485,255.048,110.89299999999999,114.538,112.238,149.174,96.117,261.862,95.98100000000001,136.004,98.12899999999999,111.598,94.294,216.993,100.634,264.79,100.927,287.829,98.171,123.28299999999999,99.367,210.146,99.115,247.644,185.937,307.282,180.77900000000002,78.516,182.94299999999998,255.153,183.579,94.03200000000001,189.265,305.616,189.33900000000003,338.158,185.894,322.182,188.12400000000002,69.832,179.093,111.266,174.174,268.289,173.679,223.171,174.39,298.531,178.865,35.053000000000004,179.611,269.103,193.34799999999998,230.56799999999998,189.372,287.188,189.801,266.587,155.358,126.59,156.69299999999998,207.864,156.442,191.722,160.546,270.92,162.127,68.683,159.05200000000002,218.24200000000002,159.936,147.42700000000002,160.472,210.546,147.39700000000002,105.494,148.194,320.643,147.87,299.007,145.605,45.533,146.513,190.175,146.657,230.34900000000002,154.02100000000002,48.655,154.671,312.45,153.319,64.517,169.725,88.06299999999999,169.49900000000002,104.45200000000001,169.988,129.195,170.813,278.17400000000004,170.925,41.941,171.96200000000002,128.09,164.83900000000003,205.78400000000002,165.32,224.51,164.52900000000002,325.66,163.024,108.139,162.569,253.261,166.671,316.661,166.90599999999998,30.599,167.99200000000002,220.248,167.71599999999998,248.007,164.96200000000002,140.54399999999998,165.405,237.36599999999999,165.89700000000002,42.255,145.815,,,155.361,118.475,99.02,115.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,223.49900000000002,33.404,137.939,44.172,229.054,44.176,238.363,44.17100000000001,255.76,38.492,211.82,67.679,246.403,73.883,129.093,71.645,126.691,52.718,110.464,49.244,218.22,56.636,145.991,123.318,207.484,119.958,68.618,121.551,85.594,121.39200000000001,298.003,129.655,63.085,125.624,131.92600000000002,115.52,187.50099999999998,117.09200000000001,218.954,116.65899999999999,201.69,114.557,270.16,119.469,77.892,141.81,111.001,142.231,259.546,139.814,222.83700000000002,141.046,273.0,146.0,142.826,143.1,72.846,133.506,154.469,131.553,25.285999999999998,132.775,301.541,138.11700000000002,204.81599999999997,140.207,215.987,139.767,149.08700000000002,136.359,123.462,87.887,215.33900000000003,87.552,292.839,87.693,41.24,87.131,103.714,90.29299999999999,128.3,91.49,219.94099999999997,91.322,233.11599999999999,92.15700000000001,133.92,89.141,207.93900000000002,89.38799999999999,271.004,89.29899999999999,229.84,78.044,213.518,75.55,111.991,81.839,246.997,82.613,93.572,78.858,120.045,78.561,130.249,107.552,204.48,107.955,222.827,104.682,184.993,106.056,139.774,111.434,196.574,108.111,255.108,110.86,114.52,112.135,149.145,96.088,261.905,95.97,135.971,98.031,111.568,94.24700000000001,217.013,100.583,264.856,100.90700000000001,287.738,98.25299999999999,123.28,99.286,210.207,98.954,247.68200000000002,185.90400000000002,307.385,180.77,78.40100000000001,182.93400000000003,255.266,183.495,94.027,189.229,305.626,189.393,338.23699999999997,185.78799999999998,322.25,188.09900000000002,69.865,179.215,111.184,173.983,268.443,173.595,223.201,174.326,298.54,178.87900000000002,35.009,179.517,269.22900000000004,193.333,230.61900000000003,189.303,287.309,189.78900000000002,266.694,155.376,126.545,156.60299999999998,207.864,156.421,191.778,160.434,270.942,162.149,68.781,159.083,218.278,159.786,147.423,160.495,210.563,147.371,105.47200000000001,148.168,320.613,147.865,299.095,145.593,45.644,146.631,190.178,146.588,230.425,154.016,48.257,154.65,312.533,153.267,64.518,169.632,88.015,169.424,104.39200000000001,169.843,129.179,170.722,278.222,170.88299999999998,41.997,172.051,128.05700000000002,164.834,205.794,165.321,224.524,164.518,325.825,163.054,107.975,162.463,253.30599999999998,166.68400000000003,316.744,166.93,30.463,167.78799999999998,220.24900000000002,167.702,248.049,164.924,140.539,165.322,237.43099999999998,165.862,42.227,145.759,,,155.295,118.195,98.932,114.947,,,,,115.781,56.332,,,,,,,,,,,,,,,,,,,,,,
