TimesH,Frame,NoMissing,0,0,15,15,21,21,25,25,28,28,34,34,39,39,40,40,43,43,47,47,48,48,50,50,53,53,57,57,58,58,63,63,65,65,66,66,67,67,70,70,76,76,78,78,85,85,89,89,95,95,96,96,97,97,101,101,107,107,110,110,114,114,116,116,121,121,126,126,133,133,134,134,137,137,144,144,151,151,152,152,154,154,157,157,159,159,167,167,173,173,185,185,186,186,323,323,334,334,348,348,358,358,360,360,361,361,373,373,383,383,391,391,399,399,407,407,413,413,414,414,418,418,427,427,432,432,440,440,444,444,447,447,452,452,463,463,464,464,477,477,493,493,507,507,509,509,512,512,520,520,524,524,528,528,531,531,532,532,533,533,545,545,554,554,562,562,564,564,565,565,568,568,584,584,593,593,599,599,601,601,606,606,607,607,609,609,610,610,614,614,615,615,658,658,665,665,696,696,708,708,714,714,716,716,740,740,754,754,758,758,809,809,811,811,815,815,819,819,834,834,837,837,850,850,874,874,875,875,897,897,953,953,996,996,1004,1004,1010,1010
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,266.092,143.572,191.31099999999998,146.59799999999998,,,95.839,148.501,274.046,150.065,66.263,152.30100000000002,121.774,152.705,262.0,153.0,16.795,155.178,46.408,156.214,54.441,155.487,280.961,155.528,,,194.27,157.74200000000002,209.60299999999998,158.94299999999998,,,98.061,159.312,,,314.92,159.404,217.30700000000002,162.188,289.905,163.658,224.666,163.847,89.62700000000001,165.296,262.827,166.19400000000002,256.982,167.581,65.419,168.078,207.33599999999998,168.169,302.904,168.61900000000003,285.165,169.834,131.944,170.86599999999999,229.59099999999998,172.438,90.87700000000001,172.812,45.467,173.65599999999998,315.887,174.725,290.882,177.243,126.46700000000001,179.354,72.52,178.96,86.04899999999999,180.905,44.567,184.16,,,246.417,184.275,95.215,184.577,255.017,184.201,29.936,188.112,223.21,191.954,290.165,193.15599999999998,304.555,192.863,283.439,48.592,235.41299999999998,52.023,211.097,56.885,284.716,61.75,128.586,61.81399999999999,145.488,63.075,138.898,67.79899999999999,146.401,70.689,224.62900000000002,72.501,244.93900000000002,76.852,55.773999999999994,81.08,270.172,82.36,202.449,82.915,213.36,84.345,,,197.153,88.836,235.392,89.613,67.564,91.848,211.03099999999998,92.324,256.33099999999996,94.14299999999999,143.81,97.426,202.80700000000002,96.353,239.768,102.62700000000001,211.357,106.88,138.311,110.637,201.736,112.163,182.076,111.677,229.457,115.199,122.699,116.679,131.47899999999998,117.102,194.59599999999998,120.037,246.18,119.426,,,33.148,121.902,209.101,124.039,59.365,126.986,,,187.03,127.52799999999999,271.514,127.77799999999999,127.23899999999999,132.2,81.442,135.1,230.648,136.357,252.14700000000002,136.769,92.54299999999999,136.50799999999998,155.04399999999998,139.946,115.19200000000001,137.416,56.875,138.553,206.53,140.935,37.688,141.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,266.008,143.506,191.328,146.565,,,95.855,148.433,273.992,150.088,66.235,152.287,121.751,152.602,262.467,153.065,16.761,155.254,46.372,156.19,54.45399999999999,155.483,281.0,155.489,,,194.297,157.72799999999998,209.565,158.893,,,98.243,159.227,,,314.868,159.252,217.352,162.093,289.91700000000003,163.64,224.64,163.819,89.65700000000001,165.56599999999997,262.928,166.25799999999998,256.92,167.577,65.584,168.07299999999998,207.355,168.141,303.02,168.601,285.186,169.84599999999998,131.839,170.74599999999998,229.65099999999998,172.351,90.79799999999999,172.821,45.497,173.66400000000002,315.982,174.61599999999999,290.885,177.37400000000002,126.51100000000001,179.372,72.612,178.93200000000002,85.995,180.887,44.588,184.114,,,246.34799999999998,184.287,95.182,184.653,255.03799999999998,184.467,29.75,188.13400000000001,223.43400000000003,191.6,290.54200000000003,192.925,304.597,192.912,283.5,48.476000000000006,235.271,51.917,211.106,56.949,284.791,61.71,128.50799999999998,61.799,145.387,63.19,139.497,67.805,146.407,70.725,224.706,72.631,244.896,76.833,55.773999999999994,81.01,270.122,82.235,202.28599999999997,82.941,213.332,84.25399999999999,,,197.153,88.65899999999999,235.26,89.725,67.594,91.848,211.067,92.32600000000001,256.193,94.0,143.658,97.405,202.763,96.41799999999999,239.767,102.62,211.22799999999998,106.95,138.267,110.914,201.675,112.258,182.072,111.708,229.43099999999998,115.198,122.704,116.65299999999999,131.548,117.34299999999999,194.61900000000003,119.96799999999999,246.13400000000001,119.04899999999999,,,33.253,121.887,209.09900000000002,124.079,59.25899999999999,126.881,,,187.168,127.425,271.562,127.835,127.242,132.39600000000002,81.388,135.035,230.7,136.319,252.31799999999998,136.657,92.645,136.753,154.97,139.748,115.647,136.937,56.821000000000005,138.513,206.446,140.993,37.638000000000005,141.60399999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,266.047,143.439,191.31,146.588,214.342,147.525,95.69200000000001,148.27200000000002,273.971,150.072,66.206,152.328,121.818,152.709,262.385,153.047,16.756,155.233,46.299,156.114,54.461999999999996,155.453,281.072,155.512,,,194.234,157.69,209.532,158.614,,,98.19200000000001,159.263,270.231,159.625,314.693,159.118,217.392,162.07399999999998,289.923,163.629,224.595,163.753,89.613,165.446,263.024,166.248,256.885,167.606,65.574,168.08599999999998,207.37900000000002,168.05900000000003,303.041,168.703,285.228,169.842,131.80100000000002,170.704,229.666,172.269,90.67299999999999,172.69799999999998,45.473,173.61599999999999,315.968,174.53900000000002,291.08099999999996,177.343,126.475,179.09099999999998,72.54899999999999,178.872,85.993,180.886,44.56,184.078,,,246.40099999999998,184.35,95.124,184.622,255.09,184.674,29.684,188.155,223.727,191.294,290.66200000000003,192.85299999999998,304.533,192.736,283.488,48.498000000000005,235.31099999999998,51.847,211.213,56.723,284.875,61.717,128.513,61.755,145.22299999999998,63.216,,,146.357,70.75,224.685,72.51899999999999,244.945,76.619,55.732,81.015,269.99,82.20299999999999,202.146,82.896,213.308,84.24799999999999,124.961,88.323,197.128,88.64,235.19,89.773,67.756,92.014,210.917,92.428,255.886,94.161,143.58100000000002,97.507,201.28,99.37799999999999,239.72099999999998,102.57799999999999,211.233,106.869,138.309,110.72200000000001,201.66099999999997,112.135,182.092,111.573,229.40400000000002,115.23200000000001,122.696,116.595,131.546,117.374,194.59400000000002,119.72,245.89700000000002,118.70299999999999,,,33.232,121.876,209.095,123.979,59.335,127.01299999999999,,,187.343,127.3,271.66,127.85,127.28200000000001,132.47899999999998,81.34,135.04399999999998,230.727,136.309,252.515,136.613,92.682,136.754,154.887,139.33700000000002,115.315,137.059,56.886,138.516,206.486,140.953,37.506,141.467,215.895,128.774,243.847,177.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,266.082,143.388,191.27200000000002,146.591,214.238,147.501,95.66,148.191,273.995,150.083,66.17699999999999,152.18200000000002,121.811,152.754,262.378,153.082,16.825,155.238,46.236999999999995,156.135,54.475,155.491,281.097,155.543,,,194.22099999999998,157.635,209.533,158.618,,,98.54299999999999,159.099,270.285,159.681,314.578,158.833,217.395,162.053,289.982,163.559,224.62400000000002,163.761,89.694,165.40900000000002,263.151,166.28400000000002,256.839,167.607,65.54899999999999,168.083,207.43,168.06400000000002,303.059,168.708,285.264,169.86,131.705,170.653,229.64,172.213,90.594,172.72299999999998,45.49100000000001,173.643,316.132,174.305,290.965,177.524,126.445,178.918,72.597,178.92700000000002,85.97,180.856,44.525,184.123,,,246.41400000000002,184.327,95.131,184.649,255.014,184.39700000000002,29.823,188.222,224.321,190.766,290.723,192.833,304.433,192.733,283.182,48.473,235.237,51.753,211.292,56.593,284.941,61.613,128.392,61.775,145.128,63.32,,,146.362,70.778,224.74,72.266,245.014,76.611,55.702,80.991,270.02099999999996,82.238,202.247,82.86,213.31599999999997,84.2,124.383,87.27799999999999,197.19,88.57600000000001,235.12400000000002,89.81299999999999,67.921,92.154,211.04,92.404,255.858,94.09700000000001,143.564,97.94200000000001,201.717,98.494,239.795,102.586,211.283,106.787,138.293,110.51299999999999,201.41,111.97399999999999,182.048,111.773,229.403,115.26799999999999,122.647,116.508,131.472,117.095,194.58599999999998,119.51799999999999,245.77200000000002,118.59200000000001,,,33.293,121.915,209.08900000000003,123.904,59.17100000000001,126.882,,,187.69099999999997,127.251,271.506,127.823,127.29299999999999,132.701,81.316,135.01,230.685,136.245,252.36700000000002,136.748,92.671,136.767,154.819,138.819,115.12299999999999,137.24,,,206.545,140.775,37.531,141.586,215.887,129.04,244.125,177.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,266.107,143.357,191.282,146.555,214.65900000000002,147.49200000000002,95.624,148.148,274.01,150.08100000000002,66.188,152.293,121.738,152.685,262.144,153.009,16.828,155.207,46.31399999999999,156.125,54.417,155.451,281.112,155.554,,,194.21400000000003,157.6,209.55900000000003,158.39700000000002,,,98.60700000000001,159.113,270.26099999999997,159.671,314.47700000000003,158.572,217.419,162.019,290.095,163.482,224.64,163.72,89.686,165.762,263.247,166.332,256.808,167.585,65.529,168.071,207.40099999999998,168.00599999999997,303.086,168.63099999999997,285.267,169.84099999999998,131.70600000000002,170.639,229.63400000000001,172.14700000000002,90.569,172.678,45.233000000000004,173.459,316.175,174.261,291.115,177.757,126.40700000000001,178.864,72.532,178.859,85.97200000000001,180.892,44.528999999999996,184.12099999999998,,,246.391,184.34,95.164,184.607,255.104,184.747,29.908,188.238,225.262,190.03599999999997,290.823,192.71,304.283,192.688,282.758,48.339,235.231,51.715,211.324,56.63399999999999,285.05,61.501000000000005,128.376,61.799,145.047,63.398999999999994,,,146.349,70.778,224.80700000000002,72.156,245.081,76.461,55.638000000000005,80.991,269.991,82.20200000000001,202.04,82.815,213.33700000000002,84.164,124.617,87.51100000000001,197.24900000000002,88.525,235.105,89.838,68.02199999999999,92.272,211.05700000000002,92.46700000000001,255.856,94.135,143.49200000000002,97.815,202.071,97.85700000000001,239.803,102.54700000000001,211.395,106.56,138.273,110.40899999999999,200.827,111.79799999999999,182.085,111.757,229.457,115.228,122.494,116.29700000000001,131.56799999999998,117.277,194.58,119.445,245.80200000000002,118.37299999999999,,,33.324,121.865,209.085,123.876,58.986999999999995,126.67,181.95,127.925,188.03,127.21700000000001,271.507,127.79,127.323,132.858,81.3,134.968,230.737,136.298,252.389,136.79399999999998,92.69200000000001,136.871,154.821,138.697,115.331,137.007,57.058,138.583,206.578,140.735,37.5,141.562,215.942,129.468,244.25599999999997,177.33599999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,266.203,143.387,191.32299999999998,146.52,214.112,147.352,95.686,148.05700000000002,273.99,150.09,66.14399999999999,152.309,121.78,152.68,262.31,152.983,16.91,155.195,46.273999999999994,156.136,54.527,155.447,281.18,155.549,,,194.248,157.622,209.612,158.244,,,98.64,159.08700000000002,270.274,159.65200000000002,314.5,158.673,217.46099999999998,161.963,290.217,163.373,224.68900000000002,163.784,89.742,165.77,263.35900000000004,166.35,256.819,167.56900000000002,65.486,168.12599999999998,207.38099999999997,167.997,303.015,168.635,285.365,169.843,131.696,170.544,229.646,172.107,90.28299999999999,172.558,45.195,173.40400000000002,316.251,174.08,291.113,177.584,126.23200000000001,178.653,72.672,178.90599999999998,85.96,180.872,44.585,184.082,,,246.39,184.326,95.111,184.618,255.128,184.886,29.825,188.185,225.36599999999999,189.831,290.914,192.565,304.341,192.627,282.67400000000004,48.126000000000005,235.142,51.685,211.301,56.736000000000004,285.06,61.409,128.355,61.833,145.07299999999998,63.388000000000005,,,146.423,70.618,224.942,72.34100000000001,245.15900000000002,76.196,55.653999999999996,80.967,269.974,82.266,202.28799999999998,83.154,213.36700000000002,84.113,124.771,87.50200000000001,197.27200000000002,88.53,235.101,89.838,68.017,92.251,211.03900000000002,92.602,255.817,94.09299999999999,143.487,97.824,201.122,99.484,239.66099999999997,102.415,211.39700000000002,106.493,138.208,110.512,199.584,111.294,182.13299999999998,111.699,229.459,115.26899999999999,122.465,116.235,131.44,116.999,195.0,120.0,245.79,118.176,100.0,120.0,33.357,121.833,209.09599999999998,123.859,58.777,126.507,181.898,127.479,188.053,127.07700000000001,271.36,127.766,127.346,133.013,81.301,134.951,230.71200000000002,136.262,252.59599999999998,136.649,92.74600000000001,137.0,154.752,138.23,115.104,137.188,57.0,139.0,206.608,140.715,37.509,141.596,,,,,295.224,156.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,266.258,143.40200000000002,191.303,146.467,213.442,147.17700000000002,95.62299999999999,147.93,273.895,150.145,65.94,152.179,121.863,152.67700000000002,262.243,152.931,16.907,155.181,46.306999999999995,156.109,54.63,155.48,281.248,155.536,,,194.21,157.622,209.625,158.111,,,98.60700000000001,159.10299999999998,270.284,159.626,314.565,158.638,217.495,161.878,290.255,163.341,224.69099999999997,163.778,89.73899999999999,165.63299999999998,263.441,166.351,256.806,167.553,65.459,168.101,207.395,167.908,302.95599999999996,168.58900000000003,285.408,169.81599999999997,131.709,170.57299999999998,229.59400000000002,172.014,90.16799999999999,172.55599999999998,45.568000000000005,173.49,316.156,174.105,291.084,177.61599999999999,125.12299999999999,177.983,72.706,178.976,85.90799999999999,180.87,44.543,184.123,,,246.357,184.28400000000002,95.124,184.59400000000002,255.243,185.195,29.935,188.19400000000002,225.74900000000002,189.354,290.947,192.572,304.376,192.59799999999998,282.454,48.056000000000004,235.00099999999998,51.593,211.428,56.641999999999996,285.214,61.278999999999996,128.35399999999998,61.806999999999995,145.14600000000002,63.365,140.02700000000002,67.735,146.469,70.49600000000001,225.202,72.77,245.28599999999997,75.921,55.644,80.933,269.948,82.225,201.683,82.455,213.4,84.036,124.625,87.456,197.2,88.531,235.104,89.833,67.945,92.161,211.028,92.7,255.74900000000002,94.105,143.43200000000002,97.63,201.237,99.12200000000001,239.65200000000002,102.39399999999999,211.45,106.43299999999999,138.202,110.50399999999999,199.72799999999998,111.32600000000001,182.13400000000001,111.73200000000001,229.489,115.23200000000001,122.473,116.22200000000001,131.494,117.024,195.0,119.0,245.81799999999998,118.061,99.944,120.178,33.409,121.845,209.114,123.824,58.573,126.50399999999999,181.78599999999997,127.431,188.24900000000002,127.00299999999999,271.323,127.641,127.399,133.19299999999998,81.275,134.91,230.74200000000002,136.238,253.16400000000002,136.316,92.80799999999999,137.121,154.684,137.72899999999998,114.51299999999999,137.514,,,206.704,140.47299999999998,37.483000000000004,141.55700000000002,,,,,294.96,154.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,266.427,143.388,191.295,146.358,213.445,147.028,95.514,147.888,273.909,150.13,65.943,152.265,121.87700000000001,152.64,262.285,152.922,16.89,155.039,46.313,156.126,54.757,155.485,281.28,155.546,126.825,156.847,194.21400000000003,157.589,209.658,157.994,34.414,158.92,98.603,159.089,270.377,159.55700000000002,314.548,158.649,217.524,161.787,290.33799999999997,163.286,224.726,163.785,89.795,165.842,263.54400000000004,166.40599999999998,256.532,167.46200000000002,65.32600000000001,168.10299999999998,207.435,167.858,302.998,168.685,285.45099999999996,169.828,131.781,170.607,229.601,171.937,90.30799999999999,172.615,45.482,173.59599999999998,316.166,174.025,291.131,177.345,124.30799999999999,177.489,72.685,178.963,85.87200000000001,180.838,44.457,184.145,109.461,183.87,246.36599999999999,184.34799999999998,95.088,184.55599999999998,255.27700000000002,185.225,30.055,188.237,225.794,189.138,291.106,192.408,304.515,192.282,282.717,47.946999999999996,234.984,51.558,211.477,56.545,285.411,61.354,128.319,61.863,145.252,63.283,139.467,68.021,146.534,70.411,225.21400000000003,72.747,245.325,75.819,55.583999999999996,80.883,269.949,82.223,200.705,82.277,213.385,84.02799999999999,124.476,87.376,197.168,88.39,235.08,89.838,67.998,92.199,210.985,92.698,255.764,93.98,143.394,97.71,201.796,98.23100000000001,239.62900000000002,102.334,211.52200000000002,106.296,138.174,110.57700000000001,199.44,111.133,182.13400000000001,111.569,229.482,115.226,122.436,116.189,131.537,117.175,194.636,119.098,245.82,117.865,98.944,119.34200000000001,33.491,121.821,209.12900000000002,123.73899999999999,58.489,126.434,182.03400000000002,127.27600000000001,188.457,126.834,271.34,127.7,127.426,133.386,81.253,134.889,230.74599999999998,136.241,253.615,135.999,92.74799999999999,137.17,154.576,137.226,114.44200000000001,137.62,56.736000000000004,138.458,206.706,140.35299999999998,37.391999999999996,141.47,,,,,294.862,154.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
