TimesH,Frame,NoMissing,26,26,27,27,42,42,62,62,72,72,76,76,78,78,81,81,86,86,97,97,98,98,104,104,105,105,111,111,113,113,114,114,125,125,128,128,132,132,145,145,146,146,151,151,153,153,157,157,161,161,165,165,166,166,171,171,176,176,182,182,185,185,202,202,205,205,225,225,232,232,233,233,234,234,245,245,249,249,250,250,253,253,257,257,259,259,270,270,273,273,279,279,281,281,297,297,299,299,303,303,305,305,309,309,313,313,315,315,327,327,331,331,332,332,334,334,338,338,339,339,344,344,345,345,348,348,354,354,360,360,363,363,364,364,366,366,367,367,379,379,382,382,389,389,396,396,413,413,416,416,419,419,423,423,425,425,428,428,431,431,434,434,438,438,445,445,451,451,452,452,457,457,488,488,493,493,496,496,516,516,521,521,622,622,626,626,650,650,689,689,692,692,758,758,787,787,854,854,884,884,916,916,984,984,1019,1019,1070,1070,1104,1104,1131,1131,1140,1140,1144,1144,1158,1158
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
143.75,575.0,,189.19799999999998,10.623,222.139,10.78,217.476,37.251999999999995,105.93700000000001,43.095,,,93.22200000000001,50.953,314.899,49.178999999999995,158.869,47.128,127.27600000000001,46.00899999999999,67.937,52.476000000000006,237.675,51.446999999999996,116.399,63.971000000000004,94.964,61.358000000000004,144.745,58.786,126.427,58.559,231.15200000000002,57.568000000000005,80.2,65.987,262.092,64.939,115.186,75.182,106.14200000000001,71.117,124.58,69.743,92.16799999999999,81.006,268.027,79.367,140.412,77.672,83.77,76.568,198.127,86.807,,,122.95,84.169,215.787,81.678,156.31,91.84200000000001,267.589,90.315,251.952,94.444,204.517,92.721,73.025,109.538,37.798,106.833,63.839,106.92399999999999,104.96700000000001,108.64299999999999,225.299,111.337,266.48400000000004,110.429,181.21400000000003,110.574,136.131,109.92399999999999,155.499,117.03299999999999,186.498,115.679,275.264,111.669,77.469,122.223,119.92299999999999,120.23299999999999,289.632,118.725,259.038,122.575,303.722,121.52600000000001,207.963,131.931,294.95,131.482,33.943000000000005,130.175,47.251000000000005,128.463,201.484,126.90299999999999,242.327,134.14,258.73400000000004,132.908,233.774,132.079,192.169,140.21200000000002,271.325,139.084,279.158,139.29399999999998,14.932,138.738,35.139,139.312,214.442,137.845,296.164,145.579,248.956,142.72899999999998,313.375,142.815,212.75,152.257,240.416,150.809,81.71300000000001,151.511,328.07800000000003,156.129,255.253,156.181,284.163,152.941,95.759,161.72299999999998,12.623,164.05700000000002,320.69599999999997,163.135,259.848,160.99200000000002,227.15099999999998,161.332,118.696,161.054,259.296,169.638,230.808,168.045,82.23299999999999,167.53900000000002,208.422,166.12,69.194,174.079,122.71,171.905,322.528,171.835,346.879,170.437,42.086999999999996,180.237,262.895,188.718,302.561,186.49900000000002,292.529,191.476,325.159,190.49099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.0,576.0,,189.24400000000003,10.582,222.083,10.878,217.477,37.282,105.90700000000001,43.074,,,93.24600000000001,50.948,314.841,49.059,158.82399999999998,47.075,127.266,45.981,67.926,52.443999999999996,237.65099999999998,51.435,116.382,63.923,94.955,61.388000000000005,144.78799999999998,58.707,126.51799999999999,58.488,231.112,57.523999999999994,80.172,65.972,262.072,64.936,115.17200000000001,75.225,106.11,71.093,124.556,69.779,92.111,81.081,268.031,79.358,140.386,77.652,83.79,76.571,198.12599999999998,86.71799999999999,,,122.87700000000001,84.17399999999999,215.769,81.671,156.22899999999998,91.9,267.58,90.355,251.94400000000002,94.48,204.56400000000002,92.749,73.168,109.399,37.83,106.78299999999999,63.821999999999996,106.961,104.919,108.68799999999999,225.33900000000003,111.35,266.5,110.432,181.248,110.49799999999999,136.129,109.95700000000001,155.55100000000002,117.009,186.425,115.686,275.276,111.648,77.484,122.22,120.03,120.211,289.616,118.71799999999999,259.07099999999997,122.613,303.673,121.51100000000001,207.97799999999998,131.968,294.934,131.403,33.929,130.145,47.256,128.465,201.739,126.64399999999999,242.297,134.02700000000002,258.748,132.911,233.734,132.124,192.12400000000002,140.251,271.334,139.037,279.44,139.485,14.842,138.52200000000002,35.132,139.297,214.41299999999998,137.8,296.20799999999997,145.583,248.97400000000002,142.746,313.369,142.783,212.74599999999998,152.27,240.355,150.859,81.684,151.498,328.18800000000005,156.179,255.09,156.171,284.173,152.874,95.816,161.52100000000002,12.604000000000001,164.109,320.693,163.19799999999998,259.94599999999997,161.7,227.14700000000002,161.341,118.71600000000001,161.03799999999998,259.27,169.636,230.80200000000002,168.053,82.255,167.386,208.433,166.113,69.235,174.09599999999998,122.639,171.915,322.493,171.829,346.88300000000004,170.392,42.08,180.22299999999998,262.906,188.7,302.486,186.46099999999998,292.531,191.579,325.219,190.46900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.25,577.0,,189.28,10.503,222.079,10.862,217.49400000000003,37.28,105.941,43.1,,,93.243,50.95399999999999,314.89799999999997,48.942,158.78799999999998,47.074,127.25,45.922,67.876,52.39,237.62900000000002,51.422,116.351,63.937,94.948,61.413999999999994,144.733,58.763000000000005,126.51299999999999,58.536,231.132,57.527,80.09899999999999,65.917,262.052,64.947,115.266,75.079,106.101,71.12100000000001,124.565,69.788,92.08,81.145,268.015,79.309,140.39700000000002,77.697,83.773,76.705,198.13299999999998,86.78399999999999,111.175,86.141,122.943,84.088,215.83700000000002,81.781,156.215,91.861,267.52099999999996,90.395,251.942,94.48299999999999,204.63400000000001,92.78200000000001,73.141,109.45200000000001,37.844,106.71600000000001,63.818000000000005,106.955,105.271,108.556,225.34,111.323,266.503,110.42200000000001,181.31900000000002,110.40799999999999,136.11700000000002,109.867,155.507,116.948,186.412,115.69,275.274,111.631,77.65899999999999,122.335,120.04799999999999,120.083,289.597,118.73899999999999,259.08099999999996,122.67,303.63599999999997,121.53200000000001,208.08900000000003,131.783,294.96299999999997,131.392,33.981,130.143,47.233000000000004,128.44799999999998,201.669,126.618,242.264,133.982,258.768,132.893,233.673,132.221,192.111,140.266,271.305,139.023,279.494,139.381,14.857999999999999,138.398,35.128,139.293,214.417,137.86,296.257,145.579,248.947,142.707,313.404,142.727,212.718,152.253,240.424,150.906,81.685,151.494,328.20599999999996,156.15,255.16400000000002,156.19799999999998,284.16700000000003,152.839,95.85700000000001,161.297,12.617,164.067,320.702,163.162,259.897,161.915,227.12599999999998,161.334,118.723,161.03,259.258,169.673,230.74599999999998,168.007,82.38600000000001,167.34799999999998,208.442,166.088,69.27199999999999,174.035,122.71600000000001,171.917,322.531,171.88,346.89,170.399,42.081,180.22,262.904,188.73,302.494,186.46099999999998,292.534,191.56599999999997,325.209,190.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.5,578.0,,189.301,10.439,222.08599999999998,10.847000000000001,217.584,37.259,105.975,43.108000000000004,,,93.287,50.975,314.837,48.931000000000004,158.756,47.123999999999995,127.29700000000001,45.978,67.898,52.382,237.63400000000001,51.419,116.33,63.985,94.916,61.387,144.67,58.818000000000005,126.559,58.495,231.13400000000001,57.535,80.083,65.952,262.036,64.959,115.26799999999999,75.10300000000001,106.071,71.112,124.551,69.79,92.001,81.277,268.01,79.32600000000001,140.389,77.71300000000001,83.655,76.922,198.13400000000001,86.779,111.12200000000001,85.919,122.925,84.01,215.843,81.82,156.119,91.891,267.59,90.36200000000001,251.94400000000002,94.473,204.649,92.79799999999999,73.084,109.51100000000001,37.846,106.81299999999999,63.791000000000004,106.927,105.05799999999999,108.624,225.37400000000002,111.315,266.504,110.40799999999999,181.37099999999998,110.318,136.109,110.01100000000001,155.513,116.885,186.36,115.619,275.26,111.61,77.634,122.29700000000001,120.014,120.12,289.577,118.728,259.094,122.7,303.682,121.522,208.023,131.812,294.975,131.438,34.016999999999996,130.136,47.25,128.447,201.5,126.941,242.218,133.865,258.758,132.928,233.635,132.216,192.13400000000001,140.19899999999998,271.295,139.005,279.535,139.389,14.878,138.187,35.122,139.287,214.416,137.82399999999998,296.275,145.607,248.91400000000002,142.73,313.42400000000004,142.716,212.704,152.25799999999998,240.53599999999997,151.029,81.679,151.513,328.264,156.19899999999998,255.101,156.207,284.16700000000003,152.885,95.83,161.257,12.538,164.042,320.647,163.22799999999998,259.926,161.876,227.143,161.356,118.75,161.033,259.258,169.71,230.75400000000002,167.984,82.46,167.458,208.424,166.083,69.235,174.054,122.61399999999999,171.946,322.629,171.90200000000002,346.889,170.331,42.095,180.21599999999998,262.91,188.692,302.435,186.44,292.499,191.53799999999998,325.198,190.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.75,579.0,,189.294,10.492,222.02900000000002,10.940999999999999,217.555,37.266999999999996,105.99700000000001,43.136,146.773,34.347,93.33200000000001,51.021,314.829,48.952,158.778,47.121,127.302,46.018,67.926,52.32899999999999,237.64700000000002,51.451,116.303,64.02600000000001,94.916,61.375,144.717,58.863,126.535,58.458999999999996,231.127,57.58,80.031,65.986,261.937,64.96600000000001,115.294,75.03699999999999,106.081,71.137,124.51700000000001,69.855,92.086,81.111,268.012,79.316,140.369,77.696,83.698,76.854,198.125,86.854,111.0,86.0,122.846,84.008,215.824,81.80199999999999,156.055,91.861,267.633,90.34700000000001,251.947,94.476,204.666,92.819,73.194,109.45700000000001,37.825,106.76700000000001,63.791000000000004,106.947,109.66799999999999,107.096,225.378,111.296,266.498,110.398,181.364,110.411,136.093,110.065,155.53799999999998,116.805,186.317,115.61200000000001,275.267,111.587,77.797,122.249,120.035,120.18799999999999,289.586,118.751,259.045,122.794,303.577,121.44,208.308,131.47299999999998,294.991,131.381,33.981,130.132,47.285,128.41899999999998,201.332,127.023,242.226,133.895,258.76099999999997,132.917,233.637,132.249,192.141,140.18,271.27,138.977,279.529,139.384,14.852,138.305,35.133,139.30100000000002,214.408,137.784,296.33,145.626,248.91,142.761,313.41700000000003,142.594,212.65099999999998,152.251,240.456,150.893,81.671,151.491,328.334,156.216,255.329,156.35399999999998,284.163,152.822,95.874,161.153,12.432,164.007,320.647,163.136,260.05400000000003,162.183,227.155,161.376,118.73100000000001,160.987,259.251,169.697,230.78099999999998,167.965,82.59,167.391,208.442,166.067,69.296,174.06,122.515,171.894,322.666,171.893,346.916,170.291,42.102,180.24400000000003,262.932,188.558,302.22700000000003,186.43900000000002,292.487,191.49200000000002,325.188,190.34799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.0,580.0,,189.25799999999998,10.515999999999998,221.99900000000002,10.915,217.55700000000002,37.246,106.006,43.123000000000005,144.67,38.313,93.266,50.978,314.878,48.858000000000004,158.739,47.208,127.24,46.036,67.906,52.325,237.65099999999998,51.43899999999999,116.286,63.964,94.904,61.393,144.744,58.783,126.65,58.16,231.109,57.622,80.028,65.895,261.884,64.935,115.273,75.064,106.072,71.134,124.525,69.842,92.87200000000001,79.878,268.019,79.333,140.343,77.654,83.641,76.939,198.203,86.87,,,122.76899999999999,84.061,215.882,81.775,156.106,91.792,267.666,90.307,251.947,94.456,204.696,92.81200000000001,73.23899999999999,109.40100000000001,37.818000000000005,106.648,63.791000000000004,106.958,110.615,106.145,225.38400000000001,111.274,266.496,110.389,181.33700000000002,110.53200000000001,136.105,109.959,155.48,116.647,186.321,115.609,275.278,111.60700000000001,77.705,122.221,120.04299999999999,120.27600000000001,289.557,118.708,259.072,122.78,303.709,121.557,208.15,131.576,294.98400000000004,131.369,33.997,130.116,47.33,128.41899999999998,201.442,126.695,242.262,133.935,258.77099999999996,132.92600000000002,233.61599999999999,132.257,192.128,140.189,271.277,138.922,279.312,139.36700000000002,14.898,138.286,35.162,139.314,214.40400000000002,137.78,296.33799999999997,145.611,248.919,142.752,313.438,142.566,212.609,152.253,240.43099999999998,150.912,81.682,151.494,328.228,156.137,254.998,156.33100000000002,284.16900000000004,152.766,95.86200000000001,161.21,12.42,163.99900000000002,320.55400000000003,163.12,259.953,162.1,227.167,161.431,118.704,160.991,259.195,169.618,230.791,167.90900000000002,82.645,167.442,208.437,166.047,69.327,174.09799999999998,122.50200000000001,171.78599999999997,322.634,171.855,346.907,170.25599999999997,42.129,180.285,262.923,188.558,302.10200000000003,186.398,292.505,191.498,325.264,190.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,581.0,,189.262,10.520999999999999,221.98,10.895,217.54,37.211999999999996,106.03200000000001,43.126000000000005,144.786,38.321999999999996,93.243,50.942,314.865,48.934,158.793,47.199,127.244,46.056999999999995,67.944,52.31100000000001,237.65,51.483999999999995,116.23,63.997,94.97,61.369,144.795,58.821999999999996,126.71799999999999,58.131,231.155,57.568000000000005,80.023,65.861,261.887,64.918,115.34700000000001,74.898,106.089,71.137,124.484,69.921,93.56299999999999,78.983,268.005,79.32300000000001,140.325,77.66199999999999,83.575,77.095,198.225,86.948,111.0,86.0,122.74,84.053,215.90200000000002,81.833,156.213,91.792,267.71299999999997,90.27799999999999,251.937,94.45700000000001,204.669,92.846,73.27199999999999,109.314,37.798,106.566,63.761,107.00399999999999,110.67399999999999,106.068,225.391,111.273,266.475,110.374,181.375,110.094,136.126,109.84200000000001,155.44299999999998,116.667,186.33900000000003,115.654,275.272,111.61399999999999,77.732,122.23200000000001,120.02799999999999,120.24,289.557,118.676,259.05400000000003,122.835,303.57599999999996,121.564,208.112,131.62,294.975,131.322,34.092,130.097,47.332,128.405,201.07299999999998,127.226,242.17700000000002,133.789,258.76599999999996,132.958,233.604,132.24200000000002,192.166,140.168,271.241,138.908,279.19599999999997,139.334,14.999,138.545,35.157,139.329,214.449,137.783,296.38599999999997,145.602,248.93400000000003,142.789,313.447,142.57299999999998,212.61700000000002,152.225,240.767,151.151,81.693,151.477,328.251,156.084,254.80900000000003,156.304,284.13599999999997,152.841,95.927,161.119,12.347999999999999,163.997,320.625,163.003,259.91900000000004,162.116,227.16,161.44799999999998,118.72,160.936,259.188,169.65400000000002,230.812,167.86599999999999,82.70299999999999,167.40599999999998,208.44,166.015,69.314,174.03799999999998,122.434,171.75400000000002,322.577,171.765,346.934,170.285,42.141000000000005,180.25900000000001,262.91900000000004,188.537,301.99,186.351,292.51099999999997,191.528,325.302,190.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.5,582.0,,189.28799999999998,10.556,221.92700000000002,10.857999999999999,217.49599999999998,37.214,106.03,43.13399999999999,144.796,38.275,93.234,50.974,314.915,48.913999999999994,158.796,47.251000000000005,127.182,46.095,67.955,52.268,237.63400000000001,51.486000000000004,116.206,63.976000000000006,94.93799999999999,61.425,144.849,58.745,126.75,58.088,231.115,57.593,79.998,65.78,261.851,64.941,115.404,74.902,106.074,71.094,124.37899999999999,69.985,93.277,79.382,268.04,79.322,140.322,77.708,83.52600000000001,77.123,198.24400000000003,86.93,111.081,86.367,122.75399999999999,84.12200000000001,215.92,81.834,156.10299999999998,91.81200000000001,267.71299999999997,90.304,251.91400000000002,94.47200000000001,204.658,92.79899999999999,73.27600000000001,109.375,37.826,106.54700000000001,63.806000000000004,106.984,110.65299999999999,106.068,225.331,111.26899999999999,266.476,110.381,181.267,110.44200000000001,136.099,109.844,155.387,116.65299999999999,186.325,115.619,275.263,111.611,77.32,121.992,119.993,120.209,289.53700000000003,118.625,259.07599999999996,122.905,303.611,121.471,208.049,131.611,294.973,131.35399999999998,34.084,130.08100000000002,47.346000000000004,128.407,201.24,127.17399999999999,242.232,133.834,258.807,132.97799999999998,233.65099999999998,132.142,192.195,140.129,271.232,138.915,279.172,139.32399999999998,15.042,138.615,35.149,139.321,214.47400000000002,137.858,296.407,145.613,248.92700000000002,142.803,313.452,142.566,212.511,152.244,240.77900000000002,151.16299999999998,81.7,151.445,328.283,156.123,254.99,156.286,284.126,152.803,95.925,161.10299999999998,12.207,164.03900000000002,320.558,163.018,259.83,162.042,227.174,161.463,118.696,160.937,259.112,169.649,230.828,167.793,82.586,167.229,208.43900000000002,166.00099999999998,69.309,173.965,122.431,171.72,322.526,171.74900000000002,346.9,170.25400000000002,42.119,180.299,262.922,188.602,302.01599999999996,186.33599999999998,292.487,191.584,325.283,190.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
