TimesH,Frame,NoMissing,1,1,2,2,3,3,6,6,7,7,8,8,9,9,11,11,17,17,18,18,29,29,31,31,33,33,34,34,35,35,36,36,37,37,38,38,39,39,43,43,44,44,45,45,46,46,47,47,48,48,52,52,53,53,57,57,59,59,60,60,62,62,68,68,69,69,70,70,72,72,73,73,76,76,77,77,81,81,82,82,84,84,87,87,88,88,89,89,93,93,94,94,96,96,97,97,100,100,104,104,106,106,111,111,114,114,115,115,117,117,118,118,119,119,123,123,124,124,125,125,127,127,128,128,132,132,134,134,140,140,142,142,144,144,147,147,151,151,152,152,157,157,158,158,159,159,161,161,163,163,164,164,165,165,167,167,168,168,170,170,177,177,180,180,181,181,184,184,185,185,186,186,188,188,190,190,191,191,193,193,194,194,196,196,197,197,200,200,205,205,206,206,209,209,212,212,215,215,218,218,220,220,221,221,222,222,224,224,225,225,228,228,231,231,232,232,235,235,237,237,241,241,242,242,249,249,250,250,252,252,256,256,257,257,264,264,267,267,272,272,274,274,278,278,279,279,285,285,286,286,287,287,288,288,289,289,290,290,292,292,293,293,296,296,302,302,305,305,341,341,348,348,350,350,405,405,412,412,415,415,484,484,541,541,555,555,660,660,661,661,699,699,720,720,794,794,800,800
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
311.25,1245.0,,118.17200000000001,90.175,210.838,89.31200000000001,221.84400000000002,89.272,100.713,91.178,263.44599999999997,90.835,203.715,91.559,86.56200000000001,93.553,181.753,91.9,139.89,82.852,128.679,81.774,182.88400000000001,89.39200000000001,107.572,87.529,197.668,75.627,108.985,73.85300000000001,248.771,75.507,225.247,77.081,125.67200000000001,77.696,208.567,76.071,142.493,77.083,89.45,78.57300000000001,74.09,81.197,233.7,81.426,118.34700000000001,80.403,262.195,79.827,135.654,62.818000000000005,145.02100000000002,68.417,193.938,64.821,134.887,68.893,267.723,71.569,211.953,70.46300000000001,196.68,123.137,224.62900000000002,123.66,281.27,123.604,298.17,126.492,60.401,126.31299999999999,261.254,126.52600000000001,20.480999999999998,128.195,134.737,127.69,107.025,112.76299999999999,192.31799999999998,115.98100000000001,185.28400000000002,113.59700000000001,77.046,119.414,271.518,117.325,123.45200000000001,118.124,144.59799999999998,120.34299999999999,94.057,105.671,204.702,103.735,255.452,103.537,37.048,107.441,200.50400000000002,109.134,53.972,110.786,80.255,96.01100000000001,155.203,97.81700000000001,186.93400000000003,99.074,137.14600000000002,97.589,264.349,99.971,222.942,100.85,110.166,103.65899999999999,8.341000000000001,103.21600000000001,136.361,102.76700000000001,229.078,153.429,253.53900000000002,151.025,33.634,153.809,84.20299999999999,156.153,51.799,157.18,296.541,144.834,334.586,144.417,42.225,148.32,22.68,150.197,271.881,147.59799999999998,106.51100000000001,149.548,138.078,138.655,38.936,138.003,65.688,141.256,277.305,138.688,304.801,138.648,19.51,143.137,123.41,142.235,3.699,142.862,313.157,143.721,218.81799999999998,131.194,146.835,130.79399999999998,60.446999999999996,133.47899999999998,42.263000000000005,132.784,237.963,134.82,294.42400000000004,135.54399999999998,208.0,135.0,289.689,181.02700000000002,276.434,178.675,315.01099999999997,184.97,325.868,185.097,305.797,185.233,312.118,192.24,293.32,190.94400000000002,232.77900000000002,173.115,314.59,172.014,250.737,175.727,306.664,178.56799999999998,296.476,178.44099999999997,49.733000000000004,178.733,56.495,167.02700000000002,78.722,166.8,254.032,164.99900000000002,340.043,167.965,38.914,168.696,300.411,168.672,259.972,168.75099999999998,30.758000000000003,172.304,22.541,160.452,296.253,158.218,69.768,161.164,272.223,160.796,92.194,164.21400000000003,205.295,164.32299999999998,73.145,56.744,112.29700000000001,58.045,151.379,57.446999999999996,215.132,62.376999999999995,110.256,44.12,68.975,48.34,211.842,49.888999999999996,233.41,53.85,149.207,53.166000000000004,93.29299999999999,32.843,236.88,33.94,124.77799999999999,31.229,266.44,31.235,212.12,36.576,226.854,37.743,247.987,35.964,237.67,40.727,219.081,41.245,131.175,22.235,97.84200000000001,17.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.5,1246.0,,118.178,90.15299999999999,210.831,89.249,221.84799999999998,89.264,100.698,91.191,263.45799999999997,90.79299999999999,203.96,91.65299999999999,86.634,93.456,181.766,91.86399999999999,139.905,82.838,128.7,81.763,182.748,89.55799999999999,107.6,87.516,197.668,75.634,108.98200000000001,73.82,248.797,75.46,225.25400000000002,77.062,125.65899999999999,77.657,208.56900000000002,76.05199999999999,142.466,77.107,89.352,78.65899999999999,74.092,81.183,233.66400000000002,81.377,118.251,80.255,262.172,79.821,135.631,62.803000000000004,144.909,68.217,193.938,64.78399999999999,134.881,68.933,267.697,71.51899999999999,211.946,70.468,196.718,123.12700000000001,224.65,123.725,281.246,123.611,298.217,126.485,60.388999999999996,126.329,261.185,126.476,20.496,128.18200000000002,134.739,127.71700000000001,107.052,112.76100000000001,192.303,115.921,185.30200000000002,113.525,77.00399999999999,119.39200000000001,271.503,117.329,123.447,118.12100000000001,144.589,120.316,94.072,105.677,204.71,103.719,255.518,103.661,37.052,107.38,200.515,109.161,53.886,110.811,80.277,96.01,155.19,97.803,186.933,99.068,137.14600000000002,97.596,264.36400000000003,99.977,222.938,100.83200000000001,110.189,103.662,8.299,103.20200000000001,136.36,102.774,229.09599999999998,153.41299999999998,253.55700000000002,150.999,33.738,153.72799999999998,84.21799999999999,156.137,51.846000000000004,157.102,296.543,144.808,334.47,144.251,42.17,148.316,22.676,150.197,271.86400000000003,147.592,106.524,149.576,138.054,138.707,38.988,138.015,65.725,141.239,277.323,138.65200000000002,304.774,138.636,19.51,143.11700000000002,123.412,142.247,3.7119999999999997,142.88,313.159,143.713,218.804,131.12,146.851,130.714,60.375,133.509,42.227,132.782,237.951,134.762,294.392,135.65200000000002,208.419,135.526,289.682,181.046,276.432,178.68599999999998,315.017,184.957,325.905,185.123,305.839,185.28599999999997,312.122,192.218,293.29200000000003,190.922,232.858,173.06900000000002,314.572,171.981,250.636,175.687,306.659,178.544,296.426,178.395,49.736000000000004,178.718,56.513000000000005,167.011,78.719,166.798,254.051,165.06900000000002,340.03,167.929,38.94,168.847,300.437,168.687,259.965,168.74400000000003,30.768,172.296,22.531999999999996,160.452,296.27299999999997,158.202,69.759,161.056,272.22700000000003,160.813,92.196,164.21900000000002,205.31400000000002,164.357,73.146,56.72,112.291,58.049,151.0,57.0,215.141,62.355,110.271,44.096000000000004,68.971,48.36,211.82299999999998,49.873000000000005,233.451,53.872,149.183,53.144,93.34100000000001,32.839,236.88299999999998,33.976,124.76299999999999,31.229,266.48900000000003,31.263,212.102,36.596,226.82299999999998,37.624,247.975,35.973,238.0,41.0,219.07,41.242,131.144,22.285999999999998,97.839,17.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.75,1247.0,,118.17,90.175,210.833,89.209,221.861,89.266,100.691,91.186,263.465,90.79799999999999,204.171,91.73899999999999,86.64299999999999,93.45,181.774,91.8,139.871,82.795,128.72899999999998,81.78399999999999,182.93,89.155,107.632,87.492,197.71099999999998,75.63600000000001,108.986,73.8,248.783,75.449,225.25099999999998,77.038,125.652,77.585,208.57299999999998,76.055,142.36700000000002,77.087,89.427,78.548,74.084,81.176,233.623,81.355,118.11200000000001,79.993,262.18,79.82300000000001,135.542,62.793,144.91899999999998,68.16199999999999,193.922,64.76,134.844,68.919,267.722,71.565,211.922,70.429,196.75599999999997,123.09299999999999,224.545,123.625,281.228,123.59200000000001,298.149,126.46700000000001,60.39,126.352,261.165,126.45100000000001,20.496,128.141,134.754,127.677,107.04299999999999,112.77,192.295,115.93700000000001,185.295,113.50399999999999,76.982,119.374,271.493,117.354,123.46600000000001,118.152,144.58,120.291,94.087,105.689,204.63299999999998,103.764,255.31799999999998,103.499,37.028,107.35700000000001,200.514,109.179,53.885,110.781,80.297,96.00299999999999,155.184,97.788,186.94400000000002,99.04,137.138,97.583,264.383,99.988,222.954,100.758,110.18299999999999,103.661,8.213,103.195,136.346,102.76700000000001,229.09900000000002,153.403,253.55,150.955,33.746,153.757,84.211,156.18200000000002,51.873000000000005,157.113,296.553,144.797,334.457,144.312,42.187,148.296,22.649,150.203,271.86400000000003,147.57,106.499,149.55700000000002,138.0,138.631,38.946,137.999,65.74600000000001,141.231,277.322,138.609,304.79,138.653,19.511,143.11,123.40899999999999,142.252,3.7110000000000003,142.872,313.168,143.71,218.84099999999998,131.15200000000002,146.84,130.671,60.342,133.487,42.24,132.75,237.949,134.72299999999998,294.457,135.576,208.43400000000003,135.52200000000002,289.69599999999997,181.024,276.428,178.699,315.034,184.975,325.981,185.12599999999998,305.863,185.327,312.14599999999996,192.236,293.285,190.887,232.834,173.06799999999998,314.573,172.016,250.704,175.69,306.586,178.49,296.382,178.38299999999998,49.726000000000006,178.696,56.547,167.017,78.663,166.767,254.063,165.09099999999998,340.11300000000006,167.92700000000002,38.919000000000004,168.893,300.422,168.699,259.962,168.752,30.765,172.30599999999998,22.564,160.45600000000002,296.283,158.202,69.745,161.0,272.223,160.813,92.20700000000001,164.18,205.32299999999998,164.39,73.16199999999999,56.681000000000004,112.281,58.034,151.475,57.617,215.12099999999998,62.38,110.26899999999999,44.076,68.955,48.324,211.822,49.854,233.50099999999998,53.896,149.18,53.16,93.34100000000001,32.848,236.977,33.996,124.75299999999999,31.225,266.481,31.26,212.065,36.628,226.864,37.626999999999995,247.993,35.977,237.217,40.574,219.067,41.225,131.145,22.276999999999997,97.839,17.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.0,1248.0,,118.163,90.181,210.81400000000002,89.169,221.87900000000002,89.265,100.65899999999999,91.197,263.435,90.816,204.25599999999997,91.719,86.676,93.375,181.695,91.866,139.872,82.809,128.75,81.783,183.592,87.64399999999999,107.609,87.479,197.706,75.665,108.991,73.804,248.799,75.456,225.274,77.039,125.68799999999999,77.57,208.565,76.065,142.299,77.075,89.449,78.521,74.085,81.165,233.58599999999998,81.403,118.12299999999999,80.00399999999999,262.191,79.84,135.47299999999998,62.853,144.722,68.01,193.895,64.714,134.845,68.92699999999999,267.71299999999997,71.575,211.942,70.433,196.815,123.083,224.525,123.571,281.248,123.587,298.142,126.461,60.405,126.355,261.133,126.45700000000001,20.448,128.202,134.752,127.632,107.07,112.75,192.28400000000002,115.90899999999999,185.30900000000003,113.523,76.979,119.37299999999999,271.52299999999997,117.37,123.454,118.14399999999999,144.579,120.249,94.079,105.669,204.679,103.79299999999999,255.46099999999998,103.51799999999999,37.055,107.382,200.50400000000002,109.16,53.919,110.76899999999999,80.324,96.012,155.171,97.756,186.93900000000002,99.04899999999999,137.127,97.564,264.36400000000003,99.975,222.959,100.75299999999999,110.195,103.639,8.164,103.194,136.346,102.76899999999999,229.07,153.388,253.525,150.952,33.681,153.69799999999998,84.235,156.158,51.854,157.112,296.556,144.778,334.63,144.579,42.198,148.308,22.624000000000002,150.208,271.843,147.56,106.50200000000001,149.529,138.016,138.726,38.872,137.97899999999998,65.759,141.251,277.282,138.619,304.819,138.648,19.511,143.09,123.443,142.269,3.71,142.876,313.13599999999997,143.749,218.796,131.138,146.726,130.369,60.331,133.52,42.263000000000005,132.776,237.952,134.704,294.312,135.517,208.442,135.57299999999998,289.66,181.09,276.427,178.706,315.01599999999996,184.975,326.004,185.169,305.901,185.345,312.147,192.238,293.288,190.898,232.829,173.06099999999998,314.54200000000003,172.018,250.79,175.66400000000002,306.66900000000004,178.47299999999998,296.37,178.36599999999999,49.758,178.67,56.497,166.985,78.76100000000001,166.755,254.112,165.076,340.135,167.952,39.034,169.197,300.42400000000004,168.74099999999999,260.003,168.74200000000002,30.767,172.33599999999998,22.574,160.445,296.289,158.227,69.752,160.94899999999998,272.245,160.793,92.22,164.203,205.32299999999998,164.429,73.164,56.68,112.28299999999999,58.015,151.50799999999998,57.716,215.111,62.348,110.25399999999999,44.027,68.961,48.301,211.813,49.831,233.515,53.842,149.179,53.103,93.32799999999999,32.827,236.90400000000002,33.996,124.76,31.209,266.486,31.259,212.047,36.603,226.896,37.63,247.993,35.964,237.515,40.759,219.083,41.224,131.094,22.276999999999997,97.844,17.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.25,1249.0,,118.164,90.189,210.75400000000002,89.137,221.89,89.303,100.641,91.175,263.411,90.805,204.25599999999997,91.72,86.639,93.37899999999999,181.639,91.931,139.857,82.803,128.767,81.887,183.373,88.104,107.579,87.48899999999999,197.701,75.666,108.99,73.815,248.792,75.436,225.28599999999997,77.012,125.709,77.589,208.55900000000003,76.053,142.29399999999998,77.032,89.506,78.494,74.084,81.133,233.61700000000002,81.339,118.15899999999999,80.061,262.21,79.847,135.425,62.809,144.75,68.033,193.91400000000002,64.688,134.844,68.961,267.673,71.583,211.967,70.43,196.833,123.083,224.507,123.6,281.238,123.566,298.119,126.464,60.402,126.368,261.13,126.462,20.422,128.121,134.761,127.63600000000001,107.13,112.76799999999999,192.27200000000002,115.944,185.315,113.514,76.969,119.37899999999999,271.524,117.37700000000001,123.48299999999999,118.15700000000001,144.586,120.213,94.09200000000001,105.65899999999999,204.73,103.755,255.503,103.677,37.063,107.399,200.486,109.16799999999999,53.903,110.76299999999999,80.306,95.98299999999999,155.145,97.75299999999999,186.93400000000003,99.059,137.114,97.553,264.375,99.98299999999999,222.963,100.742,110.198,103.645,8.181000000000001,103.13600000000001,136.313,102.796,229.042,153.372,253.49400000000003,150.91299999999998,33.603,153.74,84.26100000000001,156.162,51.881,157.13,296.56,144.786,334.61300000000006,144.63299999999998,42.232,148.322,22.584,150.21,271.814,147.559,106.501,149.513,138.048,138.762,38.842,137.953,65.72800000000001,141.269,277.22700000000003,138.637,304.809,138.61,19.493,143.09,123.449,142.231,3.698,142.865,313.185,143.726,218.84,131.22299999999998,146.69899999999998,130.273,60.312,133.501,42.25899999999999,132.77100000000002,237.957,134.695,294.52099999999996,135.505,208.0,135.0,289.627,181.15,276.455,178.69299999999998,315.012,184.979,325.991,185.209,305.89599999999996,185.37599999999998,312.108,192.227,293.242,190.86900000000003,232.829,173.06099999999998,314.568,172.049,250.817,175.69,306.622,178.49900000000002,296.34,178.338,49.748000000000005,178.679,56.505,166.99,78.73100000000001,166.72,254.13099999999997,165.067,340.16900000000004,167.953,39.005,169.092,300.438,168.766,260.009,168.738,30.767,172.363,22.576,160.417,296.293,158.232,69.76899999999999,160.901,272.242,160.783,92.221,164.195,205.345,164.398,73.168,56.656000000000006,112.275,58.012,151.468,57.545,215.16299999999998,62.355,110.259,43.992,68.898,48.343,211.799,49.816,233.544,53.847,149.158,53.071000000000005,93.41,32.857,236.99900000000002,33.903,124.772,31.195,266.526,31.276,212.05700000000002,36.59,226.92,37.643,247.97299999999998,35.957,237.53599999999997,40.814,219.071,41.18899999999999,131.05200000000002,22.288,97.867,17.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.5,1250.0,,118.16799999999999,90.208,210.813,89.176,221.872,89.304,100.67299999999999,91.17399999999999,263.46,90.73200000000001,204.145,91.67399999999999,86.652,93.39399999999999,181.546,92.01,139.895,82.85600000000001,128.808,81.808,183.4,88.012,107.65899999999999,87.541,197.673,75.68,108.99799999999999,73.791,248.78799999999998,75.447,225.301,77.006,125.695,77.533,208.56400000000002,76.0,142.246,77.035,89.603,78.385,74.065,81.12899999999999,233.65,81.332,118.13600000000001,79.973,262.225,79.846,135.393,62.748000000000005,144.60299999999998,67.88600000000001,193.9,64.664,134.85299999999998,68.973,267.656,71.567,212.03,70.473,196.852,123.09,224.51,123.613,281.226,123.51899999999999,298.134,126.456,60.403,126.344,261.094,126.462,20.427,128.126,134.77200000000002,127.57600000000001,107.149,112.75,192.252,115.882,185.31,113.525,76.961,119.374,271.553,117.39,123.48,118.15799999999999,144.592,120.18799999999999,94.11399999999999,105.646,204.783,103.735,255.574,103.74,37.067,107.35700000000001,200.485,109.16799999999999,53.918,110.757,80.331,95.985,155.14700000000002,97.74799999999999,186.938,99.06,137.115,97.56700000000001,264.374,99.993,222.972,100.73700000000001,110.226,103.646,8.229,103.103,136.321,102.77799999999999,229.11599999999999,153.292,253.472,150.901,33.641999999999996,153.75799999999998,84.289,156.131,51.911,157.159,296.615,144.793,334.667,144.641,42.224,148.321,22.613000000000003,150.197,271.819,147.548,106.509,149.514,138.012,138.734,38.814,137.92600000000002,65.736,141.26,277.305,138.65200000000002,304.83799999999997,138.619,19.480999999999998,143.077,123.44,142.214,3.682,142.829,313.145,143.773,218.833,131.274,146.674,130.21,60.302,133.515,42.271,132.77700000000002,237.956,134.707,294.42900000000003,135.525,208.331,135.399,289.63,181.137,276.447,178.68400000000003,315.03,185.013,326.038,185.188,305.893,185.37400000000002,312.126,192.237,293.36400000000003,190.892,232.852,173.065,314.587,172.12099999999998,250.833,175.69299999999998,306.62,178.40900000000002,296.306,178.304,49.725,178.66400000000002,56.531000000000006,166.98,78.742,166.738,254.137,165.079,340.158,167.94299999999998,39.07,169.229,300.431,168.747,260.035,168.75400000000002,30.781999999999996,172.373,22.581,160.418,296.29900000000004,158.226,69.753,160.884,272.22900000000004,160.77100000000002,92.225,164.197,205.33599999999998,164.38099999999997,73.197,56.64,112.273,58.007,151.526,57.788000000000004,215.132,62.32,110.257,43.934,68.87899999999999,48.348,211.77200000000002,49.806000000000004,233.514,53.832,149.149,53.023,93.42,32.836999999999996,236.93200000000002,33.924,124.777,31.176,266.469,31.269000000000002,211.995,36.639,226.953,37.676,247.982,35.968,237.16099999999997,40.654,219.095,41.153999999999996,131.06,22.224,97.891,17.499000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.75,1251.0,,118.163,90.22399999999999,210.834,89.181,221.893,89.301,100.681,91.166,263.437,90.728,204.546,91.863,86.655,93.40299999999999,181.449,92.132,139.875,82.825,128.81799999999998,81.82300000000001,183.47,87.854,107.67,87.58,197.674,75.691,109.008,73.798,248.78799999999998,75.431,225.298,77.008,125.70700000000001,77.54899999999999,208.575,76.001,142.279,77.02199999999999,89.61,78.461,74.07300000000001,81.153,233.63099999999997,81.329,118.09899999999999,79.903,262.20799999999997,79.839,135.342,62.745,144.502,67.669,193.868,64.60300000000001,134.861,68.987,267.684,71.60600000000001,212.05,70.428,196.87900000000002,123.088,224.49599999999998,123.492,281.20099999999996,123.49600000000001,298.089,126.429,60.422,126.34700000000001,261.11400000000003,126.477,20.463,128.148,134.756,127.625,107.155,112.709,192.24099999999999,115.84200000000001,185.31,113.506,76.936,119.335,271.526,117.405,123.476,118.14200000000001,144.59,120.166,94.119,105.62700000000001,204.80599999999998,103.70200000000001,255.56599999999997,103.74799999999999,37.08,107.302,200.47299999999998,109.163,53.91,110.755,80.329,95.986,155.156,97.738,186.93400000000003,99.056,137.111,97.55799999999999,264.382,99.977,222.988,100.729,110.238,103.647,8.234,103.113,136.32399999999998,102.764,229.173,153.245,253.44799999999998,150.89600000000002,33.624,153.916,84.271,156.118,51.873999999999995,157.21200000000002,296.56,144.814,334.6,144.55100000000002,42.216,148.33100000000002,22.611,150.207,271.811,147.548,106.5,149.52700000000002,138.088,138.665,38.793,137.922,65.755,141.253,277.279,138.68200000000002,304.86400000000003,138.619,19.434,143.10399999999998,123.419,142.201,3.655,142.82399999999998,313.151,143.773,218.84,131.32,146.717,130.254,60.251999999999995,133.447,42.31,132.793,237.953,134.69899999999998,294.565,135.46200000000002,,,289.58099999999996,181.11,276.455,178.71099999999998,315.043,185.024,326.077,185.22400000000002,305.916,185.389,312.108,192.215,293.328,190.90400000000002,232.81799999999998,173.065,314.635,172.118,250.813,175.65599999999998,306.529,178.49200000000002,296.319,178.322,49.729,178.65599999999998,56.523999999999994,166.983,78.71,166.68900000000002,254.16400000000002,165.14700000000002,340.167,167.946,39.083,169.262,300.43,168.77200000000002,260.04200000000003,168.747,30.789,172.38400000000001,22.56,160.375,296.322,158.215,69.75399999999999,160.976,272.223,160.763,92.227,164.16099999999997,205.308,164.27900000000002,73.214,56.665,112.277,57.989,151.535,57.846000000000004,215.10299999999998,62.266999999999996,110.26700000000001,43.931000000000004,68.83800000000001,48.33,211.755,49.78,233.52900000000002,53.798,149.109,52.989,93.45200000000001,32.829,236.989,33.835,124.764,31.17,266.402,31.29,212.03099999999998,36.649,226.972,37.684,247.965,35.97,237.571,40.883,219.101,41.138999999999996,131.062,22.166,97.90899999999999,17.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313.0,1252.0,,118.169,90.26899999999999,210.785,89.124,221.894,89.31299999999999,100.67299999999999,91.155,263.415,90.70200000000001,204.637,91.921,86.65,93.41799999999999,181.418,92.06700000000001,139.847,82.79799999999999,128.874,81.759,183.395,87.96799999999999,107.62200000000001,87.546,197.645,75.699,109.014,73.775,248.799,75.425,225.297,76.993,125.74,77.50399999999999,208.55599999999998,75.958,142.251,77.002,89.527,78.492,74.032,81.191,233.636,81.28399999999999,118.13600000000001,79.949,262.178,79.857,135.312,62.739,144.3,67.503,193.855,64.607,134.841,68.969,267.653,71.642,212.1,70.446,196.895,123.07,224.456,123.507,281.2,123.492,298.07,126.414,60.424,126.34100000000001,261.116,126.491,20.423,128.183,134.751,127.565,107.171,112.736,192.23,115.81200000000001,185.31900000000002,113.477,76.928,119.32700000000001,271.541,117.387,123.471,118.126,144.582,120.131,94.124,105.624,204.82299999999998,103.67399999999999,255.623,103.76799999999999,37.061,107.28299999999999,200.483,109.20100000000001,53.913000000000004,110.76700000000001,80.33,95.975,155.151,97.67299999999999,186.94,99.027,137.108,97.542,264.36400000000003,99.97200000000001,222.997,100.796,110.243,103.637,8.232999999999999,103.15899999999999,136.338,102.745,229.109,153.264,253.46200000000002,150.9,33.674,154.016,84.286,156.092,51.891000000000005,157.215,296.562,144.834,334.649,144.592,42.236000000000004,148.335,22.628,150.22799999999998,271.837,147.523,106.495,149.523,138.102,138.747,38.744,137.884,65.72800000000001,141.262,277.33299999999997,138.726,304.879,138.637,19.439,143.102,123.44,142.187,3.6519999999999997,142.82299999999998,313.16200000000003,143.75799999999998,218.81799999999998,131.341,146.737,130.248,60.25899999999999,133.399,42.32,132.784,237.93900000000002,134.672,294.515,135.572,208.21900000000002,135.05200000000002,289.625,181.12400000000002,276.462,178.69,315.025,185.032,326.108,185.239,305.922,185.451,312.031,192.287,293.288,190.88099999999997,232.797,173.046,314.652,172.162,250.757,175.685,306.483,178.364,296.335,178.287,49.678999999999995,178.662,56.573,167.01,78.726,166.72400000000002,254.175,165.132,340.18,167.963,39.074,169.308,300.435,168.78599999999997,260.057,168.757,30.791999999999998,172.37599999999998,22.572,160.357,296.323,158.256,69.73,160.866,272.221,160.74200000000002,92.27,164.12900000000002,205.25900000000001,164.30900000000003,73.205,56.636,112.28299999999999,57.997,151.63299999999998,57.906000000000006,215.06400000000002,62.266000000000005,110.26700000000001,43.887,68.812,48.29600000000001,211.71599999999998,49.765,233.524,53.761,149.043,52.883,93.46799999999999,32.824,236.99599999999998,33.849000000000004,124.735,31.186999999999998,266.337,31.271,212.014,36.638000000000005,226.987,37.668,247.949,35.958,237.43099999999998,40.811,219.113,41.13,131.06,22.163,97.915,17.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
