TimesH,Frame,NoMissing,1,1,3,3,4,4,9,9,10,10,33,33,41,41,48,48,50,50,63,63,65,65,71,71,73,73,75,75,78,78,81,81,85,85,96,96,110,110,111,111,120,120,125,125,129,129,142,142,143,143,145,145,151,151,153,153,155,155,160,160,161,161,164,164,169,169,180,180,181,181,187,187,198,198,200,200,201,201,202,202,215,215,222,222,230,230,232,232,233,233,250,250,269,269,275,275,288,288,292,292,304,304,309,309,321,321,327,327,347,347,351,351,371,371,373,373,375,375,389,389,390,390,404,404,407,407,409,409,411,411,419,419,431,431,440,440,442,442,454,454,456,456,457,457,463,463,469,469,470,470,486,486,489,489,492,492,495,495,496,496,505,505,509,509,510,510,513,513,515,515,518,518,521,521,522,522,533,533,599,599,645,645,646,646,669,669,737,737,792,792,868,868,875,875,889,889,908,908,932,932,942,942,984,984,1001,1001,1017,1017,1072,1072,1075,1075,1081,1081,1092,1092,1103,1103,1116,1116,1127,1127
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
311.25,1245.0,,111.632,110.86,81.033,111.76100000000001,231.49400000000003,111.561,277.23900000000003,112.74799999999999,53.838,114.35700000000001,205.78099999999998,102.323,275.457,102.93700000000001,37.319,106.7,135.13,106.904,83.486,130.058,189.96900000000002,130.407,261.211,130.816,310.454,131.216,141.039,132.168,231.607,133.04399999999998,13.62,135.817,96.182,137.457,39.266999999999996,119.85799999999999,113.227,124.008,134.316,124.226,245.987,127.346,44.193000000000005,130.025,274.111,148.01,200.857,151.19299999999998,307.877,150.93,122.117,151.82399999999998,70.553,154.41899999999998,113.15,153.997,294.616,156.285,224.97299999999998,139.523,230.123,139.924,205.03,141.102,120.43799999999999,142.316,48.646,145.19,63.708999999999996,145.013,92.637,145.816,344.11699999999996,167.22099999999998,44.364,168.727,59.976000000000006,168.84,271.495,168.648,224.083,172.56599999999997,207.72,156.588,302.189,157.594,276.015,158.957,29.773000000000003,160.143,218.582,164.9,247.669,175.835,25.500999999999998,178.264,321.495,185.208,329.75199999999995,188.852,235.657,14.725999999999999,99.97200000000001,19.477999999999998,143.793,28.719,236.322,32.065,212.165,47.131,258.837,49.02,230.37,56.095,217.111,56.81,282.29200000000003,57.038999999999994,139.167,39.746,228.081,39.213,126.20299999999999,45.628,122.96799999999999,70.381,83.53299999999999,70.645,247.123,71.109,140.109,75.10600000000001,51.504,81.571,125.696,58.681999999999995,146.378,58.152,79.29899999999999,63.772,263.778,63.626999999999995,115.20299999999999,65.366,57.858000000000004,66.931,130.445,68.649,227.149,68.622,190.609,97.26899999999999,266.16,97.655,303.921,97.788,91.516,99.572,141.509,99.473,109.274,84.18700000000001,140.64,85.556,180.266,84.928,99.18700000000001,85.916,202.872,86.24600000000001,288.116,87.20100000000001,194.082,88.535,245.08,88.46799999999999,88.79299999999999,92.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.5,1246.0,,111.656,110.794,81.081,111.78299999999999,231.50900000000001,111.553,277.291,112.757,53.842,114.348,205.793,102.296,275.461,102.883,37.321,106.693,135.14,106.91,83.52,130.063,189.958,130.422,261.211,130.816,310.483,131.214,141.055,132.165,231.58900000000003,133.055,13.582,135.789,96.154,137.44799999999998,39.269,119.809,113.257,123.985,134.333,124.22399999999999,245.96900000000002,127.32,44.318000000000005,130.067,274.108,148.007,200.86900000000003,151.154,307.883,150.958,122.15899999999999,151.855,70.494,154.47,113.164,154.023,294.635,156.292,224.93599999999998,139.54,230.395,140.029,205.00599999999997,141.076,120.525,142.351,48.614,145.145,63.747,145.034,92.649,145.811,344.091,167.218,44.504,168.674,60.001999999999995,168.903,271.411,168.49,224.11599999999999,172.437,207.69299999999998,156.591,302.175,157.58100000000002,276.007,158.939,29.783,160.161,218.487,164.731,247.66,175.86700000000002,25.568,178.324,321.472,185.227,329.67699999999996,188.85,235.676,14.747,100.12799999999999,19.496,143.775,28.735,236.351,32.05,212.166,47.117,258.659,48.912,230.375,56.067,217.097,56.788000000000004,282.254,57.013000000000005,139.171,39.554,228.208,39.218,126.26299999999999,45.666000000000004,122.912,70.378,83.575,70.61,247.125,71.111,140.099,75.1,52.0,81.0,125.694,58.652,146.326,58.1,79.309,63.791000000000004,263.802,63.601000000000006,115.22200000000001,65.332,57.897,66.98899999999999,130.469,68.639,227.106,68.596,190.63,97.26799999999999,266.172,97.59899999999999,303.955,97.891,91.551,99.484,141.539,99.484,109.249,84.163,140.622,85.51299999999999,180.18599999999998,84.78299999999999,99.21600000000001,85.969,202.84099999999998,86.37200000000001,288.10200000000003,87.184,194.097,88.464,245.081,88.45299999999999,88.804,91.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.75,1247.0,,111.649,110.811,81.062,111.803,231.487,111.522,277.297,112.70100000000001,53.85,114.34700000000001,205.805,102.289,275.615,103.16799999999999,37.308,106.71700000000001,135.078,106.93700000000001,83.49799999999999,130.043,189.94,130.393,261.226,130.836,310.55,131.179,140.98,132.222,231.597,133.04399999999998,13.622,135.753,96.053,137.423,39.265,119.8,113.25200000000001,123.959,134.333,124.264,245.972,127.29799999999999,44.343999999999994,130.096,274.091,148.004,200.856,151.175,307.89,150.995,122.178,151.875,70.538,154.459,113.211,154.029,294.637,156.30700000000002,224.91299999999998,139.555,230.394,139.97799999999998,205.0,140.999,120.446,142.376,48.573,145.112,63.772,145.001,92.685,145.814,344.092,167.24099999999999,44.472,168.658,60.011,169.002,271.498,168.582,224.076,172.458,207.71,156.576,302.17400000000004,157.593,275.987,158.93200000000002,29.801,160.18,218.493,164.73,247.705,175.85299999999998,25.605,178.343,321.482,185.255,329.676,188.771,235.59099999999998,14.745999999999999,100.056,19.502,143.83700000000002,28.752,236.34,31.995,212.13299999999998,47.07899999999999,258.689,48.876000000000005,230.34900000000002,56.063,217.076,56.806999999999995,282.29,56.997,139.276,39.501,228.226,39.227,126.28299999999999,45.647,122.92,70.361,83.589,70.582,247.106,71.097,140.076,75.097,51.51,81.597,125.765,58.597,146.31,58.066,79.324,63.79,263.793,63.565,115.23100000000001,65.342,57.896,67.044,130.0,69.0,227.13400000000001,68.585,190.62900000000002,97.288,266.17900000000003,97.552,303.883,98.031,91.594,99.485,141.556,99.5,109.21700000000001,84.147,140.609,85.506,180.16400000000002,84.76799999999999,99.186,86.039,202.854,86.35,288.116,87.186,194.08,88.36,245.08900000000003,88.42299999999999,88.788,91.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.0,1248.0,,111.655,110.774,81.095,111.802,231.435,111.51700000000001,277.335,112.684,53.82,114.31200000000001,205.855,102.25299999999999,275.46299999999997,102.913,37.316,106.709,135.13299999999998,106.89200000000001,83.48299999999999,130.018,189.929,130.347,261.199,130.841,310.603,131.125,141.02,132.18200000000002,231.59799999999998,133.04399999999998,13.599,135.72799999999998,95.988,137.43200000000002,39.246,119.81700000000001,113.273,123.964,134.32,124.266,245.99200000000002,127.291,44.416000000000004,130.118,274.07599999999996,148.018,200.87,151.097,307.889,150.969,122.238,151.86700000000002,70.565,154.417,113.101,153.98,294.634,156.328,224.93,139.553,230.554,140.013,205.018,140.909,120.529,142.31799999999998,48.538999999999994,145.078,63.787,144.988,92.693,145.796,344.089,167.245,44.543,168.704,59.99100000000001,168.93099999999998,271.407,168.618,224.097,172.49900000000002,207.66099999999997,156.509,302.177,157.611,275.992,158.944,29.81,160.218,218.562,164.773,247.68900000000002,175.84900000000002,25.588,178.31,321.482,185.24400000000003,329.652,188.80200000000002,235.71,14.773,99.921,19.534000000000002,143.82,28.803,236.44299999999998,31.974,212.09799999999998,47.07,258.616,48.809,230.37,56.082,217.132,56.729,282.26099999999997,56.975,139.247,39.46,228.209,39.238,126.288,45.614,123.04700000000001,70.329,83.59100000000001,70.601,247.076,71.1,140.07299999999998,75.096,51.533,81.47,125.74799999999999,58.555,146.314,58.007,79.36399999999999,63.788999999999994,263.783,63.571000000000005,115.238,65.362,57.902,67.085,130.496,68.539,227.144,68.579,190.62,97.26700000000001,266.16900000000004,97.624,303.842,97.98299999999999,91.544,99.405,141.588,99.523,109.236,84.116,140.612,85.461,180.16400000000002,84.906,99.167,86.088,202.873,86.41,288.04400000000004,87.14,194.085,88.353,245.072,88.402,88.792,92.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.25,1249.0,,111.666,110.77799999999999,81.17399999999999,111.75399999999999,231.44400000000002,111.539,277.298,112.666,53.798,114.265,205.877,102.22399999999999,275.422,102.773,37.306999999999995,106.699,135.116,106.868,83.458,130.011,189.947,130.309,261.246,130.887,310.608,131.118,140.983,132.181,231.59,133.018,13.622,135.748,95.99799999999999,137.403,39.207,119.81299999999999,113.274,123.979,134.33100000000002,124.26100000000001,246.018,127.265,44.375,130.072,274.056,148.019,200.882,151.111,307.883,150.935,122.25,151.82,70.581,154.398,113.166,153.991,294.639,156.33,225.018,139.43,230.541,140.028,204.99200000000002,140.876,120.619,142.268,48.55,145.072,63.784,145.014,92.68799999999999,145.795,344.07199999999995,167.21900000000002,44.495,168.685,59.979,169.00400000000002,271.297,168.646,224.083,172.645,207.609,156.474,302.192,157.61,275.999,158.929,29.749000000000002,160.249,218.459,164.628,247.687,175.856,25.573,178.28599999999997,321.517,185.25099999999998,329.64300000000003,188.77,235.641,14.787,99.98,19.508,143.821,28.789,236.516,32.062,212.12599999999998,47.056999999999995,258.578,48.8,230.375,56.051,217.146,56.703,282.26,56.937,139.286,39.388000000000005,228.153,39.254,126.301,45.636,123.09100000000001,70.328,83.62100000000001,70.585,247.109,71.084,140.07,75.04,51.574,81.419,125.75299999999999,58.507,146.309,58.019,79.343,63.75899999999999,263.76599999999996,63.568999999999996,115.25200000000001,65.357,57.886,67.08800000000001,130.417,68.362,227.167,68.609,190.62900000000002,97.271,266.178,97.656,303.82599999999996,97.988,91.525,99.37299999999999,141.624,99.53299999999999,109.29700000000001,84.141,140.53799999999998,85.428,180.179,85.069,99.17200000000001,86.073,202.90200000000002,86.391,288.061,87.14200000000001,194.102,88.307,245.053,88.40299999999999,88.79,92.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.5,1250.0,,111.649,110.836,81.217,111.76,231.576,111.546,277.301,112.63600000000001,53.806999999999995,114.3,205.91099999999997,102.18,275.397,102.556,37.3,106.684,135.136,106.84100000000001,83.45100000000001,130.019,189.965,130.296,261.232,130.873,310.633,131.09799999999998,140.965,132.13,231.59099999999998,132.985,13.658,135.745,95.992,137.359,39.169000000000004,119.82799999999999,113.23700000000001,123.97200000000001,134.33100000000002,124.227,246.00900000000001,127.25299999999999,44.488,130.111,274.074,148.018,200.94,151.07,307.901,150.922,122.241,151.834,70.584,154.375,113.323,153.996,294.656,156.38,225.03900000000002,139.311,230.582,140.062,204.93900000000002,140.887,120.555,142.24200000000002,48.424,144.876,63.771,145.028,92.73700000000001,145.809,344.097,167.192,44.298,168.701,60.012,169.00599999999997,271.383,168.61700000000002,224.11700000000002,172.565,207.615,156.46200000000002,302.21299999999997,157.62,275.987,158.93200000000002,29.793000000000003,160.243,218.56,164.683,247.697,175.857,25.546,178.31099999999998,321.47900000000004,185.271,329.7,188.824,235.708,14.713,99.84100000000001,19.574,143.753,28.688000000000002,236.565,32.027,212.113,47.045,258.703,48.84,230.389,56.045,217.142,56.736000000000004,282.251,56.961000000000006,139.283,39.364000000000004,228.15,39.223,126.28399999999999,45.665,122.999,70.34100000000001,83.63799999999999,70.613,247.10299999999998,71.078,140.047,75.03,51.56100000000001,81.445,125.83,58.489,146.29,57.994,79.383,63.746,263.718,63.555,115.243,65.375,57.897,67.087,130.346,68.22800000000001,227.197,68.617,190.632,97.243,266.17900000000003,97.68299999999999,303.83799999999997,97.95299999999999,91.355,99.321,141.57399999999998,99.48899999999999,109.32,84.154,140.50799999999998,85.427,180.21099999999998,85.08,99.18299999999999,86.105,202.894,86.389,288.038,87.12899999999999,194.111,88.288,245.04,88.37200000000001,88.79,92.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.75,1251.0,,111.664,110.77600000000001,81.253,111.72,231.54,111.586,277.27099999999996,112.615,53.81100000000001,114.33,205.949,102.126,275.351,102.62,37.31,106.697,135.124,106.85,83.44200000000001,130.017,189.94400000000002,130.30700000000002,261.198,130.865,310.714,131.077,140.968,132.155,231.58599999999998,132.982,13.593,135.799,96.007,137.332,39.179,119.834,113.26799999999999,123.963,134.339,124.20200000000001,245.972,127.20299999999999,44.555,130.175,274.046,148.033,200.912,151.05200000000002,307.908,150.918,122.27,151.841,70.59100000000001,154.384,113.27,153.971,294.663,156.355,225.115,139.216,230.623,140.10399999999998,204.99599999999998,140.851,120.516,142.165,48.409,144.85,63.773,145.046,92.715,145.774,344.115,167.18200000000002,44.396,168.74099999999999,59.993,169.003,271.402,168.62099999999998,224.081,172.547,207.672,156.511,302.198,157.58700000000002,275.97,158.92600000000002,29.79,160.239,218.61900000000003,164.743,247.68,175.858,25.607,178.301,321.524,185.25400000000002,329.73800000000006,189.00599999999997,235.59900000000002,14.696,99.79899999999999,19.561,143.797,28.726,236.55900000000003,32.03,212.09799999999998,47.071000000000005,258.629,48.783,230.365,56.049,217.142,56.691,282.268,56.93899999999999,139.30200000000002,39.35,228.054,39.251999999999995,126.25200000000001,45.716,123.023,70.32300000000001,83.616,70.611,247.093,71.101,140.017,75.03,51.549,81.45,125.74600000000001,58.516000000000005,146.293,58.00899999999999,79.442,63.751999999999995,263.655,63.501000000000005,115.256,65.391,57.888000000000005,67.062,130.405,68.191,227.201,68.612,190.638,97.23200000000001,266.186,97.676,303.763,97.84,91.344,99.301,141.648,99.53200000000001,109.306,84.161,140.404,85.35700000000001,180.22099999999998,85.3,99.21600000000001,86.145,202.898,86.416,288.01,87.096,194.109,88.321,245.06900000000002,88.32799999999999,88.76100000000001,92.03299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313.0,1252.0,,111.697,110.804,81.575,111.40899999999999,231.458,111.604,277.257,112.6,53.831,114.316,205.938,102.115,275.346,102.559,37.3,106.698,135.106,106.845,83.44200000000001,130.003,189.924,130.26,261.19,130.85299999999998,310.704,131.077,141.029,132.134,231.62400000000002,132.974,13.544,135.835,96.027,137.322,39.179,119.84299999999999,113.285,123.975,134.259,124.27,245.97400000000002,127.23200000000001,44.589,130.183,274.046,148.012,200.887,151.086,307.91200000000003,150.963,122.27,151.803,70.55199999999999,154.386,113.314,153.97,294.656,156.33100000000002,225.15900000000002,139.161,230.618,140.1,205.108,140.804,120.476,142.189,48.353,144.803,63.784,145.047,92.70299999999999,145.756,344.139,167.18,44.437,168.692,60.004,169.015,271.414,168.62400000000002,224.157,172.484,207.67700000000002,156.534,302.209,157.585,275.964,158.91,29.77,160.27700000000002,218.61599999999999,164.729,247.68900000000002,175.85,25.615,178.298,321.534,185.25400000000002,329.67800000000005,188.86599999999999,235.533,14.673,99.80799999999999,19.579,143.776,28.795,236.622,32.021,212.101,47.053000000000004,258.652,48.818999999999996,230.338,56.036,217.07299999999998,56.806000000000004,282.302,56.909,139.332,39.334,228.102,39.242,126.303,45.736999999999995,123.015,70.34899999999999,83.63,70.58800000000001,247.074,71.113,140.012,75.0,52.0,81.0,125.70200000000001,58.542,146.266,57.95,79.411,63.715,263.64099999999996,63.48,115.272,65.365,57.863,67.062,130.374,68.03699999999999,227.252,68.628,190.63,97.24,266.207,97.59299999999999,303.76599999999996,97.81299999999999,91.329,99.28,141.67700000000002,99.542,109.34700000000001,84.16799999999999,140.46,85.333,180.25799999999998,85.333,99.21600000000001,86.20100000000001,202.91,86.383,288.024,87.071,194.125,88.20200000000001,245.06599999999997,88.304,88.789,91.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
