 ,X,Y
1,241.423,192.030
2,242.898,191.662
3,244.378,190.847
4,245.943,189.846
5,247.670,188.918
6,249.595,188.257
7,251.644,187.878
8,253.723,187.770
9,255.741,187.918
10,257.611,188.309
11,259.339,188.910
12,260.990,189.680
13,262.632,190.576
14,264.331,191.556
15,266.095,192.594
16,267.881,193.681
17,269.642,194.808
18,271.334,195.966
19,272.931,197.135
20,274.494,198.238
21,276.111,199.185
22,277.872,199.886
23,279.854,200.260
24,282.032,200.350
25,284.322,200.268
26,286.640,200.124
27,288.901,200.032
28,291.026,200.096
29,293.001,200.362
30,294.842,200.845
31,296.564,201.559
32,298.183,202.517
33,299.738,203.669
34,301.286,204.900
35,302.887,206.091
36,304.602,207.123
37,306.466,207.910
38,308.444,208.464
39,310.486,208.816
40,312.545,208.997
41,314.574,209.037
42,316.566,208.951
43,318.547,208.745
44,320.546,208.424
45,322.589,207.991
46,324.691,207.458
47,326.816,206.848
48,328.924,206.193
49,330.971,205.521
50,332.915,204.862
51,334.735,204.217
52,336.449,203.542
53,338.077,202.785
54,339.642,201.894
55,341.160,200.841
56,342.626,199.658
57,344.037,198.386
58,345.387,197.067
59,346.660,195.728
60,347.800,194.326
61,348.738,192.801
62,349.406,191.093
63,349.759,189.159
64,349.852,187.030
65,349.771,184.758
66,349.599,182.393
67,349.421,179.989
68,349.304,177.587
69,349.254,175.186
70,349.258,172.781
71,349.306,170.362
72,349.388,167.922
73,349.491,165.454
74,349.590,162.987
75,349.653,160.571
76,349.646,158.258
77,349.536,156.097
78,349.289,154.139
79,348.901,152.365
80,348.393,150.684
81,347.791,149.002
82,347.118,147.228
83,346.374,145.354
84,345.533,143.471
85,344.566,141.674
86,343.446,140.058
87,342.168,138.686
88,340.824,137.470
89,339.532,136.287
90,338.410,135.012
91,337.537,133.548
92,336.837,131.906
93,336.197,130.122
94,335.503,128.231
95,334.662,126.273
96,333.680,124.300
97,332.598,122.369
98,331.457,120.535
99,330.298,118.857
100,329.141,117.372
101,327.942,116.066
102,326.650,114.915
103,325.209,113.893
104,323.602,112.966
105,321.901,112.075
106,320.195,111.152
107,318.571,110.134
108,317.105,108.964
109,315.807,107.631
110,314.664,106.139
111,313.666,104.492
112,312.798,102.697
113,312.048,100.783
114,311.402,98.793
115,310.844,96.768
116,310.360,94.751
117,309.928,92.776
118,309.506,90.862
119,309.049,89.023
120,308.511,87.275
121,307.857,85.623
122,307.119,84.005
123,306.350,82.338
124,305.607,80.536
125,304.939,78.526
126,304.341,76.342
127,303.777,74.074
128,303.213,71.812
129,302.615,69.648
130,301.952,67.662
131,301.239,65.829
132,300.520,64.061
133,299.836,62.271
134,299.230,60.369
135,298.720,58.326
136,298.288,56.194
137,297.910,54.035
138,297.566,51.910
139,297.231,49.878
140,296.872,47.951
141,296.444,46.100
142,295.902,44.297
143,295.203,42.515
144,294.345,40.734
145,293.399,38.947
146,292.445,37.152
147,291.563,35.344
148,290.816,33.522
