TimesH,Frame,NoMissing,15,15,21,21,22,22,24,24,25,25,27,27,33,33,34,34,36,36,39,39,40,40,42,42,49,49,56,56,68,68,73,73,85,85,89,89,102,102,103,103,106,106,119,119,132,132,142,142,233,233,237,237,240,240,357,357,412,412,418,418,425,425,429,429,477,477,515,515,542,542,561,561,594,594,597,597,598,598,599,599,609,609,633,633,650,650,652,652,655,655,681,681,688,688,696,696,712,712,713,713,714,714,717,717,721,721,735,735,743,743,745,745,755,755,756,756,760,760,761,761,767,767,770,770,822,822,891,891,894,894,979,979,1001,1001,1259,1259
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
173.0,692.0,,202.36599999999999,182.097,307.828,174.207,254.83700000000002,174.924,70.23,175.895,270.129,175.21599999999998,96.508,176.122,92.5,169.5,267.519,168.77700000000002,248.02700000000002,170.293,52.136,171.21900000000002,229.048,172.25,191.403,173.108,98.041,166.13,314.385,166.887,229.275,195.106,,,296.58099999999996,192.081,55.82,194.037,327.744,188.333,90.69200000000001,188.178,49.6,190.53099999999998,303.693,183.763,289.509,212.79,250.983,209.051,295.518,216.451,283.561,217.704,65.71,218.798,244.69400000000002,51.501999999999995,122.016,71.189,104.184,73.536,96.084,63.68,209.75099999999998,64.324,287.099,91.244,258.70799999999997,85.025,161.61,110.846,252.43,107.281,300.853,125.743,112.234,127.477,87.94,128.62,71.26,127.885,80.429,122.465,244.86,118.37100000000001,97.545,117.045,116.531,117.34,254.709,143.446,126.802,141.81799999999998,,,92.556,137.49,100.975,132.57299999999998,79.762,133.296,292.471,132.768,314.677,133.108,196.05900000000003,160.615,300.186,155.042,107.27600000000001,157.68200000000002,33.715,158.925,267.058,153.381,129.589,154.048,275.935,153.461,248.69400000000002,154.306,124.40899999999999,148.38299999999998,325.461,147.40200000000002,46.9,45.033,,,,,,,,,,
173.25,693.0,,202.293,182.12099999999998,307.879,174.14700000000002,254.666,174.817,70.241,175.88299999999998,270.10200000000003,175.18200000000002,96.574,176.046,92.45200000000001,169.483,267.513,168.77700000000002,248.013,170.25099999999998,52.145,171.111,229.11700000000002,172.22799999999998,191.361,173.09799999999998,98.03399999999999,166.112,314.35400000000004,166.99900000000002,229.669,195.101,,,296.599,191.96900000000002,55.896,194.06400000000002,327.716,188.33,90.71799999999999,188.225,49.556999999999995,190.512,303.673,183.77700000000002,289.48,212.75900000000001,250.954,209.02900000000002,295.599,216.329,283.573,217.715,65.79899999999999,218.703,244.648,51.532,122.057,71.256,104.06200000000001,73.518,96.118,63.623000000000005,209.752,64.165,287.184,91.381,258.703,85.029,161.673,110.90700000000001,252.363,107.204,300.844,125.68,112.321,127.38,87.899,128.56799999999998,71.252,127.839,80.51,122.417,244.83599999999998,118.366,97.569,116.9,116.569,117.34,254.713,143.451,126.821,141.75799999999998,,,93.0,138.0,100.955,132.611,79.697,133.178,292.49,132.69899999999998,314.607,133.189,196.05700000000002,160.586,300.173,155.065,107.33,157.66899999999998,33.828,158.975,266.995,153.357,129.564,153.98,276.009,153.509,248.738,154.33700000000002,124.39299999999999,148.352,325.455,147.439,46.787,45.044,,,,,,,,,,
173.5,694.0,,202.083,181.915,307.783,174.09900000000002,254.53799999999998,174.762,70.225,175.827,270.157,175.17700000000002,96.444,176.273,92.40899999999999,169.42,267.467,168.75599999999997,247.99900000000002,170.295,52.138000000000005,171.146,229.08,172.245,191.335,173.05700000000002,98.029,166.114,314.387,167.0,229.735,195.166,,,296.575,191.976,55.933,194.067,327.773,188.38299999999998,90.75399999999999,188.2,49.531000000000006,190.486,303.673,183.732,289.513,212.74,250.957,209.02200000000002,295.637,216.248,283.555,217.683,65.773,218.66299999999998,244.62099999999998,51.48,122.12,71.3,104.178,73.46,96.221,63.641999999999996,209.701,64.041,287.244,91.462,258.72,85.009,161.864,110.831,252.328,107.135,300.83299999999997,125.69,112.289,127.279,87.92,128.482,71.21,127.85600000000001,80.514,122.381,244.725,118.415,97.695,116.853,116.595,117.31,254.733,143.393,126.816,141.7,,,92.48200000000001,137.54,100.927,132.58,79.632,133.10299999999998,292.461,132.692,314.635,133.221,196.032,160.612,300.163,154.97,107.26899999999999,157.65200000000002,33.929,158.987,266.935,153.325,129.543,153.99200000000002,276.012,153.559,248.71200000000002,154.29,124.338,148.375,325.347,147.6,46.29600000000001,45.287,,,,,,,,,,
173.75,695.0,,201.965,181.813,308.04400000000004,174.08,254.533,174.707,70.232,175.78900000000002,270.177,175.09,96.495,176.31599999999997,92.42299999999999,169.43400000000003,267.41900000000004,168.753,247.925,170.271,52.11600000000001,171.053,229.139,172.268,191.324,173.05,98.037,166.067,314.351,167.05599999999998,229.988,195.113,35.384,197.59599999999998,296.597,191.96400000000003,55.978,194.112,327.842,188.405,90.788,188.141,49.516000000000005,190.49200000000002,303.637,183.74599999999998,289.42,212.74599999999998,250.949,208.983,295.58299999999997,216.331,283.594,217.799,65.792,218.554,244.585,51.43,122.15,71.442,104.105,73.513,96.32700000000001,63.548,209.62400000000002,63.915,287.219,91.40899999999999,258.61400000000003,85.04,162.03,110.87100000000001,252.321,107.069,300.827,125.725,112.307,127.24,87.87700000000001,128.249,71.244,127.861,80.525,122.32799999999999,244.579,118.435,97.87100000000001,116.904,116.60799999999999,117.307,254.831,143.409,126.78,141.531,70.967,136.451,92.684,137.643,100.934,132.555,79.641,133.04399999999998,292.492,132.653,314.67,133.149,196.051,160.679,300.161,154.864,107.271,157.654,33.954,159.023,267.001,153.251,129.505,154.005,275.883,153.548,248.63299999999998,154.278,124.322,148.373,325.392,147.672,,,,,,,,,,,,
174.0,696.0,,202.049,181.72299999999998,308.091,174.12599999999998,254.293,174.553,70.271,175.842,270.187,174.998,96.58200000000001,176.31599999999997,92.415,169.422,267.435,168.74900000000002,247.893,170.261,52.148999999999994,170.965,229.06,172.265,191.28400000000002,173.08700000000002,98.056,166.09,314.394,167.02700000000002,230.074,195.078,35.803000000000004,197.565,296.566,191.976,56.099,194.192,327.77099999999996,188.39700000000002,90.84299999999999,188.14700000000002,49.507,190.446,303.616,183.722,289.496,212.80599999999998,250.916,209.003,295.584,216.329,283.589,217.842,65.821,218.53799999999998,244.489,51.292,122.056,71.217,104.181,73.59100000000001,96.42299999999999,63.506,209.56799999999998,63.896,287.221,91.305,258.716,85.035,161.983,110.814,252.30700000000002,107.03200000000001,300.791,125.70299999999999,112.384,127.242,87.73899999999999,128.07399999999998,71.257,127.883,80.535,122.311,244.548,118.479,97.792,116.788,116.632,117.339,254.84900000000002,143.404,126.726,141.474,70.973,136.159,92.70700000000001,137.57399999999998,100.906,132.563,79.627,133.039,292.495,132.696,314.651,133.13299999999998,196.084,160.702,300.11,154.816,107.324,157.616,34.023,159.11700000000002,266.937,153.214,129.343,154.069,275.841,153.55700000000002,248.63299999999998,154.264,124.32,148.327,325.362,147.691,,,,,,,,,,,,
174.25,697.0,,202.07299999999998,181.581,308.1,174.08,253.757,174.00099999999998,70.26,175.831,270.164,175.05599999999998,96.693,176.176,92.413,169.37400000000002,267.524,168.771,247.791,170.25,52.141999999999996,170.954,229.08599999999998,172.297,191.329,173.049,98.072,166.101,314.37,166.958,230.019,195.048,36.681999999999995,197.393,296.54900000000004,192.021,56.23,194.34599999999998,327.866,188.373,90.905,188.12900000000002,49.506,190.40400000000002,303.621,183.732,289.52299999999997,212.822,250.90099999999998,208.99400000000003,295.556,216.388,283.579,217.894,65.766,218.546,244.456,51.273,122.054,71.123,104.249,73.656,96.53399999999999,63.378,209.593,63.998999999999995,287.295,91.34100000000001,258.702,85.039,161.888,110.87200000000001,252.28,106.961,300.779,125.68799999999999,112.295,127.137,87.818,128.224,71.197,127.87700000000001,80.508,122.345,244.43400000000003,118.462,97.962,116.76899999999999,116.48,117.5,254.87099999999998,143.384,126.759,141.377,71.01,136.315,92.665,137.578,100.915,132.64600000000002,79.556,132.91899999999998,292.409,132.613,314.633,133.079,196.077,160.716,300.11,154.828,107.35799999999999,157.606,33.971,159.086,266.871,153.185,129.3,154.116,275.943,153.55,248.517,154.162,124.36,148.32299999999998,325.348,147.605,,,,,,,,,,,,
174.5,698.0,,201.993,181.537,308.051,174.043,253.385,173.322,70.232,175.863,270.086,175.017,96.60600000000001,176.199,92.38799999999999,169.361,267.553,168.78099999999998,247.796,170.354,52.199,170.81,229.101,172.25,191.312,173.02200000000002,98.11200000000001,166.024,314.36,166.918,230.044,195.112,36.669000000000004,197.37400000000002,296.522,192.003,56.248999999999995,194.362,327.969,188.41099999999997,90.859,188.12099999999998,49.483000000000004,190.34599999999998,303.611,183.768,289.58799999999997,212.972,250.893,209.00099999999998,295.671,216.45,283.539,217.93099999999998,65.835,218.476,244.412,51.288000000000004,121.934,70.988,104.20700000000001,73.635,96.65100000000001,63.348,209.638,63.843999999999994,287.278,91.265,258.907,85.04299999999999,161.762,110.887,252.273,106.896,300.809,125.65299999999999,112.285,127.118,87.861,127.978,71.23899999999999,127.84700000000001,80.554,122.31,244.317,118.432,97.921,116.844,116.49600000000001,117.429,254.889,143.408,126.73,141.33,70.987,136.256,92.55,137.572,100.885,132.655,79.471,132.822,292.41,132.528,314.565,133.096,196.05700000000002,160.66299999999998,300.08799999999997,154.749,,,33.995,159.111,266.937,153.036,129.238,154.151,276.126,153.589,248.53099999999998,154.137,124.331,148.35,325.314,147.608,,,,,,,,,,,,
174.75,699.0,,201.88400000000001,181.233,308.045,174.082,253.268,173.053,70.199,175.842,270.007,175.072,96.455,176.232,92.323,169.372,267.617,168.77200000000002,247.822,170.356,52.175,170.833,229.047,172.22299999999998,191.301,173.016,98.141,166.016,314.41700000000003,166.826,230.125,194.94400000000002,36.058,197.57299999999998,296.54400000000004,192.08599999999998,56.346000000000004,194.453,328.045,188.49400000000003,90.852,188.217,49.466,190.298,303.644,183.734,289.555,212.88,250.916,209.00099999999998,295.621,216.42,283.58799999999997,218.044,65.855,218.313,244.37900000000002,51.226000000000006,122.016,71.007,104.101,73.59,96.77799999999999,63.328,209.63400000000001,63.868,287.25,91.14299999999999,258.926,85.04700000000001,161.628,111.04299999999999,252.268,106.845,300.869,125.613,112.26799999999999,127.095,87.87299999999999,128.039,71.306,127.788,80.625,122.249,244.271,118.426,98.15799999999999,116.884,116.603,117.396,254.953,143.52700000000002,126.78399999999999,141.292,70.928,136.249,92.61200000000001,137.476,100.939,132.705,79.40899999999999,132.799,292.51099999999997,132.496,314.564,132.988,196.06400000000002,160.709,300.085,154.679,,,33.97,159.236,267.022,152.94799999999998,129.196,154.126,276.041,153.54399999999998,248.59599999999998,154.171,124.32600000000001,148.372,325.199,147.601,,,284.597,174.06799999999998,88.445,207.487,,,,,,
