 ,X,Y
1,178.000,83.000
2,177.657,82.633
3,177.308,81.155
4,176.927,78.942
5,176.485,76.373
6,175.958,73.824
7,175.329,71.578
8,174.615,69.606
9,173.841,67.819
10,173.030,66.126
11,172.208,64.438
12,171.392,62.675
13,170.563,60.852
14,169.678,59.035
15,168.696,57.289
16,167.575,55.678
17,166.275,54.264
18,164.806,53.037
19,163.224,51.922
20,161.585,50.841
21,159.947,49.717
22,158.365,48.475
23,156.854,47.104
24,155.381,45.679
25,153.908,44.281
26,152.397,42.989
27,150.810,41.883
28,149.123,41.012
29,147.353,40.337
30,145.523,39.805
31,143.657,39.361
32,141.778,38.952
33,139.905,38.537
34,138.049,38.118
35,136.219,37.705
36,134.423,37.306
37,132.669,36.930
38,130.955,36.590
39,129.253,36.308
40,127.532,36.105
41,125.761,36.006
42,123.910,36.031
43,121.974,36.190
44,119.967,36.480
45,117.903,36.899
46,115.797,37.444
47,113.664,38.113
48,111.518,38.900
49,109.369,39.788
50,107.229,40.762
51,105.108,41.803
52,103.017,42.894
53,100.967,44.018
54,98.968,45.162
55,97.019,46.324
56,95.122,47.507
57,93.275,48.712
58,91.478,49.942
59,89.730,51.198
60,88.031,52.486
61,86.380,53.819
62,84.776,55.211
63,83.217,56.676
64,81.704,58.228
65,80.234,59.881
66,78.820,61.622
67,77.481,63.416
68,76.239,65.227
69,75.115,67.019
70,74.130,68.755
71,73.298,70.407
72,72.592,71.987
73,71.964,73.524
74,71.372,75.046
75,70.769,76.582
76,70.132,78.144
77,69.466,79.717
78,68.777,81.289
79,68.072,82.843
80,67.360,84.372
81,66.656,85.894
82,65.977,87.439
83,65.342,89.037
84,64.767,90.716
85,64.240,92.479
86,63.713,94.296
87,63.136,96.134
88,62.458,97.961
89,61.630,99.745
90,60.642,101.476
91,59.533,103.165
92,58.345,104.830
93,57.119,106.483
94,55.898,108.140
95,54.714,109.812
96,53.565,111.496
97,52.445,113.187
98,51.350,114.881
99,50.271,116.573
100,49.202,118.258
101,48.130,119.938
102,47.039,121.617
103,45.910,123.301
104,44.729,124.994
105,43.478,126.701
106,42.157,128.421
107,40.785,130.150
108,39.380,131.880
109,37.963,133.606
110,36.554,135.322
111,35.171,137.022
112,33.826,138.702
113,32.519,140.361
114,31.254,141.997
115,30.033,143.608
116,28.859,145.193
117,27.735,146.755
118,26.668,148.316
119,25.666,149.901
120,24.737,151.535
121,23.888,153.241
122,23.126,155.034
123,22.455,156.902
124,21.880,158.828
125,21.405,160.796
126,21.033,162.789
127,20.764,164.793
128,20.572,166.807
129,20.422,168.836
130,20.279,170.885
131,20.107,172.956
132,19.874,175.056
133,19.588,177.180
134,19.303,179.319
135,19.070,181.463
136,18.945,183.602
137,18.981,185.725
138,19.220,187.824
139,19.642,189.891
140,20.203,191.920
141,20.859,193.907
142,21.564,195.845
143,22.276,197.728
144,22.981,199.557
145,23.707,201.341
146,24.482,203.087
147,25.336,204.805
148,26.299,206.503
149,27.378,208.178
150,28.541,209.810
151,29.756,211.376
152,30.986,212.852
153,32.198,214.217
154,33.371,215.463
155,34.520,216.622
156,35.664,217.733
157,36.824,218.834
158,38.017,219.956
159,39.263,221.090
160,40.579,222.211
161,41.981,223.293
162,43.486,224.313
163,45.101,225.251
164,46.816,226.105
165,48.618,226.870
166,50.495,227.542
167,52.435,228.120
168,54.431,228.604
169,56.482,229.008
170,58.593,229.348
171,60.764,229.639
172,63.000,229.895
173,65.300,230.131
174,67.649,230.351
175,70.014,230.550
176,72.365,230.722
177,74.667,230.862
178,76.890,230.964
179,79.003,231.023
180,81.006,231.042
181,82.939,231.036
182,84.837,231.018
183,86.742,231.002
184,88.689,231.003
185,90.695,231.022
186,92.743,231.047
187,94.812,231.061
188,96.883,231.052
189,98.934,231.002
190,100.951,230.902
191,102.930,230.751
192,104.875,230.556
193,106.787,230.321
194,108.670,230.051
195,110.526,229.750
196,112.361,229.412
197,114.182,229.024
198,115.996,228.577
199,117.810,228.059
200,119.629,227.459
201,121.442,226.775
202,123.231,226.004
203,124.981,225.146
204,126.674,224.198
205,128.299,223.160
206,129.867,222.045
207,131.404,220.871
208,132.935,219.654
209,134.483,218.411
210,136.070,217.160
211,137.678,215.896
212,139.264,214.607
213,140.785,213.277
214,142.198,211.892
215,143.459,210.439
216,144.565,208.913
217,145.561,207.326
218,146.497,205.692
219,147.424,204.022
220,148.390,202.328
221,149.421,200.624
222,150.512,198.919
223,151.655,197.224
224,152.845,195.549
225,154.072,193.905
226,155.331,192.296
227,156.609,190.700
228,157.898,189.093
229,159.188,187.449
230,160.467,185.744
231,161.725,183.952
232,162.957,182.072
233,164.156,180.118
234,165.318,178.108
235,166.438,176.057
236,167.512,173.980
237,168.535,171.894
238,169.504,169.810
239,170.415,167.735
240,171.266,165.676
241,172.056,163.641
242,172.781,161.636
243,173.441,159.669
244,174.044,157.736
245,174.609,155.829
246,175.152,153.940
247,175.691,152.061
248,176.242,150.182
249,176.812,148.299
250,177.391,146.405
251,177.972,144.498
252,178.546,142.573
253,179.106,140.625
254,179.636,138.651
255,180.114,136.652
256,180.515,134.625
257,180.813,132.572
258,180.982,130.492
259,181.002,128.384
260,180.895,126.243
261,180.701,124.064
262,180.462,121.838
263,180.220,119.561
264,180.016,117.224
265,179.884,114.826
266,179.823,112.389
267,179.816,109.943
268,179.849,107.517
269,179.907,105.141
270,179.975,102.844
271,180.038,100.654
272,180.086,98.544
273,180.114,96.448
274,180.116,94.302
275,180.087,92.040
276,180.021,89.596
277,179.913,86.938
278,179.760,84.292
279,179.563,82.012
280,179.321,80.453
281,179.035,79.971
282,178.708,80.760
283,178.355,82.111
284,178.000,83.000
