 ,X,Y
1,330.000,156.000
2,330.302,157.607
3,330.647,159.439
4,331.007,161.439
5,331.356,163.549
6,331.665,165.714
7,331.908,167.876
8,332.058,169.980
9,332.115,172.003
10,332.107,173.961
11,332.063,175.866
12,332.014,177.737
13,331.987,179.587
14,332.012,181.432
15,332.096,183.282
16,332.200,185.134
17,332.278,186.983
18,332.286,188.826
19,332.179,190.659
20,331.912,192.476
21,331.461,194.275
22,330.839,196.057
23,330.064,197.821
24,329.153,199.567
25,328.124,201.296
26,326.995,203.008
27,325.779,204.699
28,324.477,206.350
29,323.087,207.940
30,321.604,209.447
31,320.027,210.849
32,318.351,212.124
33,316.575,213.249
34,314.705,214.225
35,312.772,215.092
36,310.806,215.899
37,308.841,216.691
38,306.908,217.517
39,305.039,218.422
40,303.265,219.452
41,301.583,220.613
42,299.946,221.854
43,298.304,223.126
44,296.610,224.376
45,294.813,225.555
46,292.865,226.610
47,290.720,227.493
48,288.382,228.196
49,285.893,228.741
50,283.299,229.152
51,280.643,229.452
52,277.970,229.666
53,275.325,229.818
54,272.753,229.931
55,270.296,230.028
56,267.971,230.122
57,265.746,230.203
58,263.582,230.258
59,261.442,230.275
60,259.288,230.243
61,257.082,230.149
62,254.786,229.981
63,252.378,229.732
64,249.877,229.406
65,247.313,229.007
66,244.715,228.544
67,242.111,228.021
68,239.530,227.445
69,237.002,226.823
70,234.556,226.160
71,232.216,225.462
72,229.982,224.729
73,227.840,223.959
74,225.774,223.149
75,223.771,222.298
76,221.816,221.402
77,219.895,220.459
78,217.993,219.468
79,216.111,218.425
80,214.262,217.331
81,212.459,216.183
82,210.717,214.982
83,209.048,213.726
84,207.466,212.414
85,205.982,211.045
86,204.583,209.622
87,203.241,208.149
88,201.928,206.631
89,200.614,205.073
90,199.271,203.479
91,197.871,201.853
92,196.401,200.201
93,194.888,198.527
94,193.372,196.838
95,191.890,195.140
96,190.480,193.438
97,189.180,191.737
98,188.028,190.044
99,187.048,188.360
100,186.206,186.673
101,185.454,184.965
102,184.742,183.220
103,184.020,181.420
104,183.239,179.547
105,182.356,177.588
106,181.382,175.541
107,180.358,173.418
108,179.328,171.228
109,178.335,168.982
110,177.421,166.690
111,176.629,164.362
112,176.002,162.009
113,175.571,159.640
114,175.321,157.270
115,175.226,154.913
116,175.261,152.583
117,175.398,150.294
118,175.613,148.061
119,175.878,145.898
120,176.168,143.818
121,176.470,141.812
122,176.779,139.851
123,177.092,137.909
124,177.404,135.956
125,177.712,133.965
126,178.013,131.908
127,178.303,129.767
128,178.585,127.558
129,178.860,125.308
130,179.131,123.041
131,179.401,120.783
132,179.673,118.559
133,179.948,116.393
134,180.230,114.307
135,180.519,112.291
136,180.816,110.320
137,181.121,108.370
138,181.436,106.419
139,181.761,104.442
140,182.097,102.416
141,182.446,100.331
142,182.813,98.201
143,183.205,96.045
144,183.628,93.879
145,184.087,91.720
146,184.589,89.587
147,185.139,87.495
148,185.735,85.456
149,186.362,83.461
150,186.999,81.501
151,187.630,79.570
152,188.234,77.656
153,188.794,75.753
154,189.293,73.852
155,189.740,71.950
156,190.162,70.048
157,190.588,68.150
158,191.047,66.256
159,191.567,64.369
160,192.176,62.490
161,192.890,60.622
162,193.699,58.768
163,194.591,56.932
164,195.554,55.117
165,196.577,53.326
166,197.647,51.562
167,198.753,49.831
168,199.895,48.139
169,201.078,46.500
170,202.308,44.925
171,203.591,43.425
172,204.931,42.014
173,206.335,40.702
174,207.802,39.495
175,209.315,38.386
176,210.856,37.366
177,212.408,36.427
178,213.953,35.559
179,215.473,34.754
180,216.965,34.012
181,218.450,33.348
182,219.950,32.778
183,221.487,32.319
184,223.083,31.986
185,224.756,31.789
186,226.505,31.706
187,228.325,31.713
188,230.211,31.783
189,232.158,31.890
190,234.162,32.009
191,236.215,32.122
192,238.303,32.232
193,240.408,32.350
194,242.513,32.485
195,244.602,32.647
196,246.659,32.844
197,248.666,33.087
198,250.619,33.375
199,252.532,33.696
200,254.421,34.035
201,256.303,34.378
202,258.193,34.710
203,260.107,35.016
204,262.050,35.296
205,263.991,35.591
206,265.892,35.955
207,267.713,36.439
208,269.417,37.095
209,270.965,37.976
210,272.333,39.112
211,273.558,40.446
212,274.696,41.897
213,275.801,43.382
214,276.928,44.820
215,278.133,46.131
216,279.449,47.266
217,280.851,48.278
218,282.299,49.240
219,283.757,50.223
220,285.188,51.297
221,286.554,52.535
222,287.834,53.960
223,289.028,55.546
224,290.134,57.258
225,291.153,59.065
226,292.085,60.934
227,292.930,62.833
228,293.693,64.730
229,294.408,66.603
230,295.117,68.434
231,295.863,70.203
232,296.688,71.890
233,297.636,73.478
234,298.743,74.948
