TimesH,Frame,NoMissing,30,30,86,86,91,91,92,92,99,99,104,104,110,110,114,114,116,116,117,117,119,119,124,124,133,133,134,134,135,135,140,140,144,144,145,145,146,146,147,147,152,152,160,160,163,163,164,164,165,165,167,167,168,168,169,169,170,170,172,172,173,173,174,174,176,176,177,177,179,179,181,181,182,182,183,183,184,184,185,185,188,188,189,189,190,190,193,193,197,197,202,202,205,205,207,207,212,212,213,213,215,215,216,216,218,218,219,219,220,220,226,226,227,227,228,228,229,229,233,233,234,234,236,236,237,237,239,239,241,241,242,242,245,245,247,247,248,248,249,249,250,250,251,251,252,252,254,254,255,255,256,256,258,258,261,261,263,263,270,270,271,271,273,273,274,274,276,276,277,277,280,280,281,281,282,282,283,283,286,286,287,287,296,296,297,297,298,298,300,300,303,303,305,305,307,307,316,316,317,317,322,322,324,324,327,327,336,336,337,337,349,349,354,354,364,364,435,435,438,438,439,439,450,450,452,452,455,455,459,459,494,494,539,539,540,540,587,587,590,590,618,618,640,640,663,663,714,714,728,728,815,815,827,827,1012,1012,1041,1041
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,210.77700000000002,20.570999999999998,239.947,55.907,188.903,59.532,81.936,60.974,115.485,65.44,92.40100000000001,67.854,205.986,71.917,105.935,74.315,65.888,77.054,198.418,77.134,114.56700000000001,77.707,120.14399999999999,79.413,182.80900000000003,85.42399999999999,78.33800000000001,86.50299999999999,94.429,85.714,54.553000000000004,87.925,116.244,88.646,204.196,88.899,128.716,90.473,167.71099999999998,90.715,106.27799999999999,94.208,113.448,98.00200000000001,222.049,99.706,98.54799999999999,100.743,161.207,101.414,63.007,101.911,169.83900000000003,102.12700000000001,263.235,103.17399999999999,182.49200000000002,104.329,241.707,104.876,106.559,105.914,221.576,106.295,123.208,106.64399999999999,175.37400000000002,107.15100000000001,73.152,108.42,58.595,110.60799999999999,162.789,111.014,248.301,111.37299999999999,104.031,112.26799999999999,112.18299999999999,111.755,197.13299999999998,112.52600000000001,85.43299999999999,113.863,239.755,114.176,218.433,116.161,103.491,119.243,132.688,120.37299999999999,34.204,121.35799999999999,224.395,121.238,217.49599999999998,122.87200000000001,52.431000000000004,123.97200000000001,186.125,124.728,209.93900000000002,124.977,62.868,125.646,113.61200000000001,126.08,240.817,126.006,84.995,128.548,104.191,129.236,201.032,128.547,269.16200000000003,129.002,53.793,133.079,74.23899999999999,133.284,245.322,133.356,278.805,133.006,237.81900000000002,134.222,23.816999999999997,134.898,96.186,134.833,230.25599999999997,134.482,10.722999999999999,136.69899999999998,31.5,137.398,47.233999999999995,137.97299999999998,135.303,138.28799999999998,164.44099999999997,138.734,175.27599999999998,138.989,272.829,139.519,58.273999999999994,140.965,107.51,140.66299999999998,192.513,140.928,18.999000000000002,142.049,53.141999999999996,143.327,224.585,145.953,249.875,145.72299999999998,265.35200000000003,146.827,75.558,147.688,197.925,147.803,208.18,147.719,94.686,149.468,186.678,149.28799999999998,8.021,149.713,43.855,150.17,34.399,151.501,103.66,151.428,23.71,157.466,39.588,157.542,54.571999999999996,156.879,264.5,158.36700000000002,74.502,158.806,230.197,158.641,219.408,160.946,16.819000000000003,164.59,44.614,164.576,237.046,166.899,72.913,167.62599999999998,193.06099999999998,168.34,79.025,174.468,93.431,174.37900000000002,65.208,180.558,52.128,183.077,39.409,187.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,210.828,20.533,239.956,55.931999999999995,188.894,59.595,81.944,60.895,115.444,65.332,92.39399999999999,67.827,205.985,71.865,105.79799999999999,74.37100000000001,65.88600000000001,76.973,198.52599999999998,76.977,114.48,77.54,120.105,79.303,182.838,85.387,78.325,86.51,94.48700000000001,85.65,54.547,87.916,116.353,88.589,204.204,88.884,128.73,90.351,167.726,90.665,106.27799999999999,94.12100000000001,113.429,97.947,222.02200000000002,99.72399999999999,98.67299999999999,100.664,161.273,101.193,63.026,101.912,169.90099999999998,102.03399999999999,263.42400000000004,103.154,182.49200000000002,104.449,241.71,104.875,106.566,105.926,221.56900000000002,106.25299999999999,123.189,106.618,175.37400000000002,107.149,73.163,108.383,58.593,110.64,162.833,111.024,248.179,111.34299999999999,104.014,112.264,112.16799999999999,111.749,197.081,112.523,85.429,113.86399999999999,239.731,114.15299999999999,218.388,116.176,103.521,119.25,132.684,120.34200000000001,34.174,121.37100000000001,224.36599999999999,121.209,217.446,122.868,52.408,123.999,186.13,124.72399999999999,209.908,124.89200000000001,62.87,125.647,113.59899999999999,126.072,240.794,125.986,84.965,128.578,104.184,129.21,201.01,128.466,269.186,129.01,53.766999999999996,133.09799999999998,74.236,133.3,245.328,133.345,278.97900000000004,132.952,237.775,134.231,23.803,134.9,96.186,134.81,230.255,134.472,10.720999999999998,136.707,31.483,137.451,47.211000000000006,137.998,135.29,138.251,164.46900000000002,138.714,175.271,138.947,272.78700000000003,139.504,58.243,140.931,107.49,140.649,192.514,140.95600000000002,19.158,142.024,53.166000000000004,143.309,224.549,145.939,249.87,145.72,265.334,146.80100000000002,75.554,147.691,197.905,147.80200000000002,208.225,147.888,94.73700000000001,149.436,186.667,149.292,7.7620000000000005,149.833,43.808,150.227,34.385,151.504,103.60600000000001,151.273,23.711,157.393,39.613,157.658,54.56399999999999,156.92600000000002,264.497,158.428,74.46300000000001,158.8,230.176,158.591,219.429,160.875,16.798,164.69099999999997,44.586000000000006,164.593,237.017,166.825,72.915,167.627,193.05,168.21200000000002,78.97399999999999,174.405,93.367,174.34,65.156,180.574,52.09,183.025,39.385,187.52,,,200.61599999999999,169.416,85.965,170.46599999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,210.834,20.515,239.96200000000002,55.945,188.94299999999998,59.647,81.91199999999999,60.863,115.42299999999999,65.217,92.40899999999999,67.806,206.03900000000002,71.83800000000001,105.68700000000001,74.365,65.89399999999999,76.926,198.71099999999998,76.859,114.45299999999999,77.418,120.086,79.238,182.83599999999998,85.35600000000001,78.329,86.505,94.509,85.601,54.526,87.89299999999999,116.37700000000001,88.515,204.231,88.852,128.689,90.24700000000001,167.761,90.617,106.23100000000001,94.1,113.42,97.9,222.058,99.74,98.59899999999999,100.699,161.39,101.227,63.019,101.896,169.94299999999998,102.031,263.528,103.124,182.54,104.43700000000001,241.74200000000002,104.85700000000001,106.586,105.947,221.56599999999997,106.23200000000001,123.18299999999999,106.545,175.37,107.13799999999999,73.176,108.384,58.448,110.541,162.78,111.441,248.208,111.289,103.99,112.27799999999999,112.15799999999999,111.73899999999999,197.025,112.491,85.42399999999999,113.854,239.748,114.16,218.40900000000002,116.15299999999999,103.525,119.226,132.668,120.286,34.122,121.37799999999999,224.398,121.189,217.453,122.876,52.375,124.009,186.15099999999998,124.736,209.91400000000002,124.84700000000001,62.876000000000005,125.661,113.572,126.071,240.842,125.955,84.963,128.56,104.176,129.17,201.013,128.422,269.225,128.969,53.742,133.125,74.222,133.298,245.35,133.309,279.003,132.892,237.761,134.261,23.773000000000003,134.904,96.161,134.783,230.231,134.483,10.714,136.727,31.456999999999997,137.46,47.187,138.017,135.282,138.118,164.481,138.722,175.261,138.906,272.82099999999997,139.45,58.178000000000004,140.958,107.479,140.602,192.507,140.918,19.19,141.982,53.17100000000001,143.317,224.56900000000002,145.938,249.864,145.68,265.336,146.785,75.52199999999999,147.683,197.899,147.799,208.32299999999998,148.04,94.725,149.45,186.665,149.255,7.4079999999999995,150.012,43.772,150.264,34.409,151.49200000000002,103.555,151.159,23.712,157.349,39.626,157.494,54.551,156.93,264.464,158.458,74.468,158.784,230.262,158.567,219.497,160.786,16.752,164.766,44.5,164.579,236.97799999999998,166.75,72.896,167.608,193.111,168.109,78.943,174.31099999999998,93.348,174.27900000000002,65.156,180.608,52.041000000000004,182.976,39.318000000000005,187.49900000000002,199.793,153.836,200.46400000000003,169.111,86.03299999999999,170.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,210.861,20.517,240.09900000000002,55.89,189.023,59.68899999999999,81.873,60.809,115.383,65.12100000000001,92.398,67.781,206.08,71.797,105.685,74.32,65.878,76.867,198.896,76.747,114.41,77.292,120.07799999999999,79.18,182.845,85.351,78.333,86.501,94.485,85.59299999999999,54.504,87.86,116.37299999999999,88.45,204.233,88.854,128.65,90.16,167.77,90.556,106.228,94.04700000000001,113.38799999999999,97.867,222.05599999999998,99.781,98.63799999999999,100.663,161.535,101.271,63.031000000000006,101.904,169.97400000000002,102.07700000000001,263.623,103.09299999999999,182.55900000000003,104.484,241.77900000000002,104.831,106.58200000000001,105.905,221.59099999999998,106.177,123.197,106.51700000000001,175.375,107.10600000000001,73.185,108.34899999999999,58.495,110.54899999999999,162.77100000000002,111.522,248.206,111.331,103.97200000000001,112.285,112.146,111.728,196.967,112.463,85.4,113.825,239.753,114.154,218.422,116.135,103.539,119.26100000000001,132.657,120.26100000000001,34.096,121.37299999999999,224.433,121.195,217.459,122.86200000000001,52.354,124.01,186.166,124.745,209.918,124.825,62.876000000000005,125.669,113.565,126.07799999999999,240.915,125.932,84.985,128.58100000000002,104.179,129.17700000000002,201.042,128.355,269.316,128.893,53.699,133.15,74.233,133.316,245.33900000000003,133.304,279.116,132.85,237.763,134.27100000000002,23.74,134.906,96.14299999999999,134.75,230.25599999999997,134.465,10.722999999999999,136.752,31.447,137.471,47.163000000000004,138.035,135.27,138.072,164.49400000000003,138.689,175.263,138.856,272.796,139.401,58.1,140.923,107.46799999999999,140.586,192.51,140.91299999999998,19.199,141.997,53.172,143.287,224.558,145.908,249.889,145.621,265.37,146.774,75.506,147.679,197.887,147.77,208.347,148.16299999999998,94.725,149.44799999999998,186.649,149.224,7.282,150.056,43.723,150.312,34.398,151.491,103.484,150.941,23.694000000000003,157.297,39.568000000000005,157.681,54.531000000000006,156.907,264.494,158.386,74.41199999999999,158.782,230.28900000000002,158.532,220.065,160.369,16.73,164.80700000000002,44.495,164.61900000000003,236.955,166.71,72.876,167.585,193.15099999999998,168.013,78.889,174.21099999999998,93.34200000000001,174.22400000000002,65.14399999999999,180.605,52.001999999999995,182.912,39.27,187.428,199.90900000000002,153.859,200.36900000000003,168.857,85.978,170.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,210.90900000000002,20.474,240.079,55.849,189.136,59.729,81.81,60.771,115.34700000000001,65.04,92.38,67.749,206.06099999999998,71.745,105.781,74.123,65.87899999999999,76.806,199.00900000000001,76.643,114.376,77.182,120.09200000000001,79.11,182.892,85.302,78.346,86.50399999999999,94.512,85.542,54.51,87.829,116.37899999999999,88.36399999999999,204.28799999999998,88.81,128.667,90.059,167.80200000000002,90.51299999999999,106.15799999999999,93.99799999999999,113.37100000000001,97.84200000000001,222.102,99.70299999999999,98.617,100.65799999999999,161.602,101.3,63.023,101.90100000000001,170.013,102.098,263.716,103.068,182.622,104.428,241.829,104.81200000000001,106.586,105.904,221.588,106.146,123.15799999999999,106.389,175.373,107.01100000000001,73.169,108.286,58.466,110.65899999999999,163.05,110.26799999999999,248.192,111.443,103.963,112.285,112.109,111.72200000000001,196.94299999999998,112.42200000000001,85.382,113.825,239.782,114.13799999999999,218.46599999999998,116.069,103.54299999999999,119.235,132.60399999999998,120.22200000000001,34.074,121.374,224.418,121.175,217.50400000000002,122.824,52.335,124.02799999999999,186.16299999999998,124.803,209.90400000000002,124.766,62.86600000000001,125.671,113.569,126.04899999999999,240.99099999999999,125.916,84.984,128.559,104.18799999999999,129.181,200.987,128.156,269.339,128.905,53.672,133.139,74.242,133.32,245.332,133.287,279.216,132.77100000000002,237.778,134.261,23.697,134.929,96.113,134.721,230.257,134.458,10.714,136.77700000000002,31.434,137.474,47.138000000000005,138.04399999999998,135.254,137.97799999999998,164.50799999999998,138.68200000000002,175.243,138.78799999999998,272.802,139.352,58.06100000000001,140.891,107.529,140.55100000000002,192.5,140.864,19.236,142.009,53.168,143.259,224.541,145.872,249.91,145.586,265.368,146.69799999999998,75.48899999999999,147.674,197.91299999999998,147.748,208.33,148.235,94.72399999999999,149.435,186.615,149.137,7.149,150.118,43.685,150.35,34.372,151.484,103.455,150.827,23.691,157.276,39.515,157.717,54.518,156.924,264.499,158.357,74.388,158.786,230.27700000000002,158.52,220.049,160.336,16.654,164.815,44.453,164.649,236.929,166.615,72.873,167.567,193.179,167.918,78.842,174.109,93.294,174.15400000000002,65.109,180.615,51.952,182.856,39.158,187.4,199.95,153.868,200.44299999999998,168.919,85.96600000000001,170.408,11.179,148.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,210.947,20.444000000000003,240.233,55.846000000000004,189.132,59.753,81.745,60.722,115.31,64.958,92.369,67.725,206.06900000000002,71.697,105.71700000000001,74.124,65.872,76.748,199.187,76.547,114.368,77.07300000000001,120.065,79.039,182.912,85.273,78.327,86.505,94.46600000000001,85.51,54.486999999999995,87.833,116.353,88.26899999999999,204.31799999999998,88.772,128.72299999999998,89.984,167.84900000000002,90.501,106.115,93.97200000000001,113.348,97.78399999999999,222.09799999999998,99.62299999999999,98.662,100.60600000000001,161.529,101.117,63.016999999999996,101.896,170.051,102.03,263.786,103.044,182.66299999999998,104.51899999999999,241.83700000000002,104.791,106.59200000000001,105.89299999999999,221.602,106.12899999999999,123.12899999999999,106.27,175.363,106.89399999999999,73.152,108.272,58.418,110.664,163.085,110.22200000000001,248.085,111.359,103.93799999999999,112.29700000000001,112.086,111.708,196.908,112.376,85.353,113.796,239.77900000000002,114.131,218.484,116.055,103.58,119.194,132.59,120.167,34.048,121.381,224.43,121.154,217.49200000000002,122.805,52.273999999999994,124.03,186.16299999999998,124.74600000000001,209.90900000000002,124.708,62.871,125.684,113.581,126.007,241.083,125.875,85.007,128.561,104.19200000000001,129.175,200.976,128.076,269.41,128.86700000000002,53.632,133.159,74.236,133.329,245.34400000000002,133.27200000000002,279.335,132.702,237.765,134.254,23.676,134.94,96.072,134.679,230.253,134.45,10.728,136.796,31.409000000000002,137.47899999999998,47.113,138.066,135.238,137.934,164.544,138.67700000000002,175.24200000000002,138.685,272.867,139.25799999999998,57.97,140.856,107.536,140.517,192.482,140.791,19.337,142.032,53.082,143.273,224.518,145.798,249.91299999999998,145.532,265.37,146.626,75.515,147.675,197.90400000000002,147.732,208.31900000000002,148.225,94.74600000000001,149.405,186.615,149.127,6.987,150.174,43.638999999999996,150.38299999999998,34.37,151.503,103.414,150.722,23.706,157.251,39.461999999999996,157.884,54.482,156.95,264.499,158.355,74.373,158.761,230.31599999999997,158.499,220.196,160.181,16.596,164.83,44.431000000000004,164.68,236.905,166.53,72.859,167.535,193.132,167.91299999999998,78.806,173.998,93.273,174.07299999999998,65.093,180.614,51.92100000000001,182.808,39.048,187.292,200.032,153.9,200.303,168.679,85.931,170.50099999999998,11.294,148.218,,,207.662,178.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,211.021,20.395,240.165,55.84,189.143,59.72,81.729,60.696999999999996,115.29,64.875,92.37100000000001,67.695,206.08700000000002,71.671,105.73200000000001,74.05199999999999,65.87100000000001,76.7,199.234,76.453,114.339,76.992,120.061,78.984,182.93400000000003,85.245,78.315,86.512,94.385,85.49700000000001,54.466,87.823,116.31700000000001,88.211,204.365,88.719,128.715,89.92,167.87400000000002,90.45100000000001,106.11,93.92,113.325,97.742,222.12,99.61399999999999,98.685,100.602,161.43,100.837,63.012,101.891,170.076,101.86200000000001,263.899,103.01299999999999,182.685,104.78200000000001,241.85,104.773,106.588,105.84100000000001,221.61,106.066,123.11200000000001,106.15700000000001,175.389,106.818,73.137,108.259,58.398,110.68299999999999,163.099,110.24700000000001,248.09599999999998,111.514,103.919,112.296,112.071,111.698,196.887,112.338,85.34,113.76799999999999,239.8,114.155,218.516,116.03,103.59100000000001,119.103,132.583,120.124,34.038000000000004,121.40799999999999,224.438,121.141,217.50400000000002,122.84899999999999,52.228,124.024,186.155,124.76799999999999,209.91,124.584,62.864,125.678,113.545,126.03299999999999,241.199,125.807,84.98,128.529,104.146,129.126,201.007,128.026,269.468,128.825,53.608000000000004,133.167,74.223,133.335,245.37400000000002,133.282,279.367,132.68200000000002,237.69799999999998,134.187,23.653000000000002,134.94799999999998,96.01299999999999,134.63,230.282,134.43,10.722000000000001,136.796,31.404,137.488,47.104,138.085,135.236,137.87,164.572,138.627,175.229,138.576,272.889,139.192,57.887,140.858,107.40299999999999,140.453,192.458,140.779,19.387,142.036,53.137,143.232,224.51,145.752,249.955,145.499,265.29900000000004,146.612,75.486,147.672,197.937,147.639,208.394,148.352,94.68799999999999,149.41899999999998,186.625,149.137,6.767,150.281,43.595,150.398,34.354,151.504,103.36200000000001,150.654,23.699,157.25,39.444,157.84,54.452,156.94,264.48,158.38299999999998,74.395,158.762,230.3,158.489,220.38400000000001,159.955,16.538,164.86900000000003,44.361000000000004,164.674,236.895,166.395,72.832,167.515,193.137,167.755,78.742,173.799,93.221,174.00799999999998,65.07300000000001,180.579,51.895,182.78900000000002,39.165,187.22,200.058,153.899,200.389,168.68200000000002,85.92200000000001,170.488,11.3,148.227,,,208.704,171.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,211.092,20.335,240.24400000000003,55.882,189.206,59.696000000000005,81.719,60.678999999999995,115.26700000000001,64.798,92.37100000000001,67.669,206.078,71.55199999999999,105.662,73.976,65.848,76.64699999999999,199.31900000000002,76.366,114.31700000000001,76.92,120.06299999999999,78.935,182.953,85.21600000000001,78.311,86.51700000000001,94.36399999999999,85.439,54.43,87.84200000000001,116.277,88.139,204.449,88.66,128.732,89.824,167.894,90.39399999999999,106.051,93.85799999999999,113.311,97.691,222.14,99.594,98.681,100.568,161.404,100.693,63.001000000000005,101.89399999999999,170.111,101.67,263.98900000000003,102.96799999999999,182.67,104.956,241.868,104.758,106.573,105.809,221.62599999999998,106.027,123.1,106.046,175.399,106.71700000000001,73.117,108.208,58.348,110.69200000000001,163.126,110.088,248.051,111.56200000000001,103.913,112.296,112.054,111.68299999999999,196.82299999999998,112.325,85.31700000000001,113.759,239.796,114.134,218.493,115.962,103.585,119.12799999999999,132.56799999999998,120.09,34.045,121.43,224.453,121.146,217.542,122.831,52.178000000000004,124.054,186.12599999999998,124.759,209.907,124.56299999999999,62.86600000000001,125.646,113.493,126.04799999999999,241.325,125.759,84.889,128.542,104.24,129.121,201.015,127.992,269.529,128.776,53.574,133.178,74.226,133.349,245.39700000000002,133.248,279.5,132.624,237.722,134.264,23.605999999999998,134.946,95.995,134.584,230.28900000000002,134.406,10.732000000000001,136.808,31.361,137.52,47.091,138.077,135.21200000000002,137.72299999999998,164.605,138.6,175.227,138.507,272.9,139.136,57.849,140.84799999999998,107.38799999999999,140.425,192.454,140.757,19.449,142.059,53.165,143.224,224.493,145.694,249.97799999999998,145.423,265.212,146.59799999999998,75.442,147.64700000000002,197.94299999999998,147.556,208.44299999999998,148.414,94.71600000000001,149.435,186.62400000000002,149.107,6.5329999999999995,150.382,43.538999999999994,150.44799999999998,34.308,151.466,103.311,150.566,23.71,157.247,39.416,157.901,54.42,156.94899999999998,264.493,158.345,74.366,158.755,230.299,158.476,221.30700000000002,159.406,16.488,164.882,44.318000000000005,164.68099999999998,236.89,166.305,72.78399999999999,167.485,193.18900000000002,167.62400000000002,78.683,173.602,93.197,173.895,65.074,180.523,51.861999999999995,182.747,38.906,187.03400000000002,200.017,153.876,200.37,168.696,85.95100000000001,170.639,11.162,148.309,271.793,155.207,208.764,171.86700000000002,27.331,177.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
