TimesH,Frame,NoMissing,4,4,6,6,22,22,39,39,44,44,51,51,73,73,74,74,78,78,85,85,88,88,90,90,92,92,96,96,98,98,101,101,106,106,107,107,113,113,114,114,119,119,121,121,125,125,129,129,134,134,137,137,142,142,145,145,147,147,152,152,155,155,157,157,167,167,168,168,169,169,170,170,175,175,176,176,183,183,185,185,195,195,197,197,218,218,223,223,227,227,233,233,234,234,245,245,249,249,261,261,275,275,281,281,293,293,296,296,300,300,310,310,320,320,326,326,327,327,342,342,347,347,348,348,350,350,355,355,358,358,362,362,372,372,375,375,377,377,397,397,409,409,415,415,419,419,423,423,426,426,431,431,448,448,476,476,487,487,514,514,522,522,525,525,527,527,529,529,535,535,537,537,545,545,567,567,602,602,610,610,611,611,615,615,620,620,627,627,652,652,675,675,690,690,699,699,708,708,711,711,714,714,745,745,747,747,756,756,757,757,758,758,759,759,844,844,850,850,857,857,868,868,890,890,981,981,1044,1044,1075,1075,1086,1086
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,117.24,6.904,178.35,4.537,114.259,15.116,231.493,21.086,200.396,19.326,218.951,28.052,89.786,47.373000000000005,188.32,42.467,212.717,40.133,224.595,52.891000000000005,233.49,51.645,37.972,53.387,113.244,50.236000000000004,194.398,46.733000000000004,164.304,48.951,52.851000000000006,61.345,68.58800000000001,54.607,91.80799999999999,56.287,244.297,66.604,206.011,67.175,172.42,67.031,78.34,65.516,193.862,61.96,206.3,75.84899999999999,71.19,75.717,130.721,74.183,91.334,82.52799999999999,182.025,83.802,105.889,79.572,121.13,78.874,219.782,78.428,211.68400000000003,89.167,82.969,87.48899999999999,198.78900000000002,85.802,116.319,85.15299999999999,72.301,84.833,234.699,93.14,72.6,92.63799999999999,116.8,91.194,251.717,91.446,58.379,97.954,153.737,98.089,230.82299999999998,108.98899999999999,86.859,107.12700000000001,199.798,106.575,185.69,104.976,58.229,114.06700000000001,244.141,112.04700000000001,251.33,110.23100000000001,91.03,115.975,77.175,120.823,14.071,128.68,68.758,126.084,262.343,134.505,41.566,134.14700000000002,61.376000000000005,130.833,69.597,139.196,22.791999999999998,145.559,228.62099999999998,144.844,33.739000000000004,151.36,287.93,149.32,199.747,150.356,100.92399999999999,148.805,172.484,146.658,281.344,154.72,224.53799999999998,153.73,24.908,151.988,69.35,160.382,14.657,160.648,267.14,163.79399999999998,73.82,168.93099999999998,42.56,167.895,281.67400000000004,165.688,67.426,176.565,88.083,174.72,80.492,173.06400000000002,31.668000000000003,176.65400000000002,3.222,187.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,117.245,6.869,178.19099999999997,4.735,114.12899999999999,15.024000000000001,231.42,21.109,200.421,19.281,219.308,28.502,89.609,47.181000000000004,188.517,42.068000000000005,213.267,39.444,224.75900000000001,52.619,233.608,51.335,37.819,53.208,112.98100000000001,50.339,194.74099999999999,46.365,164.33700000000002,48.79600000000001,52.76,61.257,68.667,54.718999999999994,91.757,55.997,246.21200000000002,64.615,206.18099999999998,66.835,172.604,66.749,78.166,65.236,193.88400000000001,61.277,206.37,75.819,71.223,75.66199999999999,130.836,73.631,91.13600000000001,82.551,182.266,83.896,105.947,79.564,121.09100000000001,78.76899999999999,219.856,78.377,211.68599999999998,89.27600000000001,82.94200000000001,87.499,198.7,85.814,116.40299999999999,85.14299999999999,72.377,84.806,234.632,93.25299999999999,72.62899999999999,92.664,117.027,90.89,251.688,91.61399999999999,58.418,97.772,153.876,98.085,230.77200000000002,108.89,86.88,107.04,199.94099999999997,106.31700000000001,185.701,104.988,58.13,114.051,244.143,112.046,251.285,110.23700000000001,90.905,115.822,77.215,120.93700000000001,14.085999999999999,128.621,68.793,125.947,262.349,134.52700000000002,41.556000000000004,134.34799999999998,61.288000000000004,130.799,69.59,139.129,22.753,145.505,228.546,144.945,33.663000000000004,151.42600000000002,288.069,149.185,199.753,150.369,101.021,148.703,172.49400000000003,146.658,281.3,154.67600000000002,224.481,153.77100000000002,24.976999999999997,151.959,69.233,160.461,14.595999999999998,160.667,267.077,162.965,73.842,168.921,42.548,167.949,281.678,165.71599999999998,67.322,176.592,88.085,174.447,80.434,173.27700000000002,31.615,176.74900000000002,3.188,187.514,113.30799999999999,155.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,117.353,6.847,178.248,4.757,114.083,15.034,231.333,21.083000000000002,200.44400000000002,19.315,219.53799999999998,28.517,89.54899999999999,47.082,188.63,41.972,213.644,38.958,224.982,52.555,233.665,51.229,37.675,53.038999999999994,112.786,50.409,195.112,45.872,164.43900000000002,48.67100000000001,52.76,61.217,68.66,54.696000000000005,91.726,55.913000000000004,246.542,64.428,206.30599999999998,66.548,172.81599999999997,66.447,78.046,65.08800000000001,194.04,60.832,206.426,75.737,71.22,75.554,130.576,73.711,91.051,82.522,183.734,84.88799999999999,105.93799999999999,79.473,121.045,78.665,219.87099999999998,78.384,211.76,89.31700000000001,82.912,87.50200000000001,198.674,85.77600000000001,116.456,85.13,72.46600000000001,84.789,234.563,93.166,72.578,92.64200000000001,,,251.68599999999998,91.68,58.401,97.661,153.955,98.12200000000001,230.785,108.855,86.959,106.992,200.00599999999997,106.081,185.764,104.96799999999999,58.063,114.04299999999999,244.15200000000002,111.98899999999999,251.267,110.338,90.861,115.719,77.275,121.01299999999999,14.113,128.62,68.829,125.77600000000001,262.347,134.516,41.33,134.636,61.28,130.791,69.57600000000001,139.112,22.715,145.548,228.555,145.001,33.492,151.609,288.161,149.121,199.798,150.363,100.984,148.751,172.476,146.547,281.305,154.662,224.429,153.792,24.846999999999998,152.086,69.13600000000001,160.64600000000002,14.577,160.661,,,73.816,168.923,42.51,167.99099999999999,281.705,165.692,67.256,176.71099999999998,88.045,174.331,80.411,173.378,31.555,176.774,3.1919999999999997,187.447,113.325,155.856,,,240.78,140.51,,,,,84.46700000000001,52.656000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,117.307,6.806,178.114,4.782,114.066,15.056,231.30900000000003,21.096999999999998,200.55900000000003,19.363,219.72799999999998,28.521,89.51,47.00899999999999,188.665,41.875,213.813,38.702,225.136,52.605,233.769,51.082,37.571999999999996,52.945,112.56,50.45,195.358,45.605,164.523,48.544,52.718,61.214,68.467,54.475,91.694,55.841,246.53599999999997,64.562,206.608,66.19800000000001,172.916,66.249,77.96600000000001,64.919,194.085,60.345,206.502,75.67,71.146,75.441,130.454,73.70100000000001,91.1,82.448,183.0,84.0,105.882,79.366,120.993,78.542,219.856,78.331,211.791,89.28299999999999,82.87299999999999,87.51299999999999,198.64700000000002,85.715,116.462,85.134,72.492,84.699,234.546,93.15700000000001,72.436,92.60600000000001,,,251.834,91.493,58.424,97.61200000000001,153.987,98.089,230.81799999999998,108.786,86.93299999999999,106.926,199.889,106.152,185.828,104.898,58.06399999999999,114.036,244.185,111.945,251.24,110.40799999999999,90.958,115.73299999999999,77.277,121.014,14.095,128.653,68.84899999999999,125.74600000000001,262.363,134.493,41.176,134.843,61.28,130.77700000000002,69.577,139.07399999999998,22.750999999999998,145.485,228.495,145.132,33.29,152.09,288.342,149.1,199.75400000000002,150.293,101.015,148.736,172.47400000000002,146.499,281.357,154.57,224.392,153.85299999999998,24.59,152.291,69.094,160.755,14.509,160.71,267.048,162.528,73.795,168.925,42.488,168.028,281.718,165.662,67.333,176.68599999999998,87.99799999999999,174.179,80.435,173.5,31.482,176.8,3.1489999999999996,187.38400000000001,113.255,155.903,,,240.775,140.30100000000002,181.015,147.454,124.115,157.81,85.0,52.0,,,,,233.385,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,117.42,6.756,178.045,4.877,114.014,14.987,231.273,21.046,200.562,19.317999999999998,219.84400000000002,28.506,89.463,46.91,188.68400000000003,41.806000000000004,214.044,38.378,225.199,52.585,233.847,51.0,37.457,52.927,112.49700000000001,50.36600000000001,195.53599999999997,45.20399999999999,164.61700000000002,48.536,52.732,61.122,68.604,54.729,91.697,55.813,246.63299999999998,64.429,206.78400000000002,65.98100000000001,172.94799999999998,66.173,77.95,64.83,194.166,59.852,206.53099999999998,75.625,71.10600000000001,75.309,130.39600000000002,73.649,91.09700000000001,82.432,182.43900000000002,83.08200000000001,105.789,79.215,120.948,78.33800000000001,219.862,78.303,211.796,89.286,82.891,87.493,198.618,85.68799999999999,116.46700000000001,85.03399999999999,72.467,84.63600000000001,234.515,93.116,72.055,92.601,117.005,90.848,251.896,91.491,58.413000000000004,97.59299999999999,153.975,98.125,230.828,108.74,86.962,106.883,199.93900000000002,106.02,185.873,104.902,58.038000000000004,114.027,244.248,111.915,251.233,110.492,90.95100000000001,115.68,77.119,121.00200000000001,14.068,128.6,68.875,125.81299999999999,262.39599999999996,134.455,41.065,134.986,61.215,130.768,69.556,139.04,22.665,145.52,228.452,145.322,33.256,152.05100000000002,288.348,149.018,199.90400000000002,150.178,101.086,148.80100000000002,172.43400000000003,146.434,281.399,154.556,224.403,153.876,24.276,152.507,69.038,160.695,14.466,160.7,267.133,162.743,73.775,168.903,42.451,168.03099999999998,281.775,165.657,67.218,176.68099999999998,87.95200000000001,174.125,80.305,173.618,31.46,176.81400000000002,3.1519999999999997,187.435,113.259,156.065,242.525,124.947,240.765,140.069,181.048,146.658,124.046,157.779,84.78399999999999,52.205,107.15799999999999,58.089,116.167,60.481,233.665,70.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,117.301,6.612,178.18200000000002,4.718999999999999,114.01700000000001,14.94,231.187,21.037,200.58700000000002,19.261,219.954,28.428,89.45200000000001,46.805,188.74099999999999,41.747,214.085,38.13,225.31099999999998,52.575,233.86700000000002,50.949,37.349000000000004,52.893,112.405,50.403999999999996,195.66400000000002,44.968,164.731,48.48,52.70399999999999,61.082,68.67399999999999,54.657,91.689,55.794,246.717,64.35,206.93900000000002,65.822,172.977,66.059,77.938,64.679,194.172,59.588,206.524,75.559,71.111,75.253,130.34,73.57,91.07,82.419,182.40400000000002,81.758,105.734,79.11399999999999,120.906,78.225,219.926,78.247,211.862,89.24700000000001,82.919,87.494,198.627,85.661,116.446,84.99,72.634,84.45200000000001,234.517,93.053,71.686,92.602,116.79,91.098,251.929,91.475,58.33,97.561,154.014,98.12899999999999,230.84799999999998,108.666,86.915,106.844,199.933,105.943,185.88299999999998,104.90799999999999,58.03,114.03399999999999,244.25,111.868,251.243,110.587,90.95700000000001,115.633,77.115,120.962,14.067,128.597,68.863,125.891,262.405,134.393,40.961999999999996,135.121,61.246,130.747,69.53,139.004,22.61,145.46200000000002,228.33900000000003,145.507,33.258,151.97899999999998,288.41200000000003,148.98,199.96099999999998,150.062,101.161,148.766,172.416,146.433,281.545,154.363,224.422,153.934,24.203000000000003,152.481,68.995,160.80200000000002,14.423,160.672,267.142,162.797,73.74600000000001,168.9,42.336999999999996,167.99599999999998,281.868,165.65400000000002,67.235,176.581,87.995,174.00900000000001,80.306,173.69799999999998,31.449,176.84,3.175,187.476,113.162,155.985,242.59400000000002,124.926,240.757,140.064,181.076,146.506,124.34899999999999,157.34799999999998,84.689,52.153,107.162,57.967,116.07,60.236999999999995,233.718,70.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,117.41799999999999,6.625,178.271,4.664,113.95299999999999,14.915,231.215,20.982,200.635,19.298,219.99099999999999,28.388,89.44200000000001,46.659,188.77,41.677,214.19,38.077,225.403,52.57899999999999,233.889,50.869,37.263000000000005,52.856,112.34700000000001,50.368,195.65200000000002,44.808,164.766,48.403,52.716,60.998000000000005,68.92399999999999,54.7,91.68799999999999,55.786,246.77700000000002,64.332,207.013,65.668,172.985,66.005,77.956,64.607,194.19,59.415,206.612,75.453,71.05199999999999,75.087,130.329,73.452,91.04700000000001,82.368,182.426,81.486,105.76299999999999,79.044,120.889,78.02199999999999,219.899,78.236,211.907,89.208,82.911,87.47200000000001,198.65400000000002,85.671,116.447,84.92399999999999,72.52,84.485,234.44799999999998,92.958,71.656,92.564,116.749,91.08,251.96599999999998,91.46799999999999,58.276,97.46799999999999,154.037,98.17200000000001,230.873,108.588,86.87100000000001,106.76700000000001,199.942,105.825,185.894,104.90100000000001,58.06399999999999,114.044,244.287,111.819,251.201,110.729,90.992,115.62,77.046,120.912,13.994000000000002,128.664,68.798,125.889,262.42900000000003,134.357,40.869,135.184,61.251000000000005,130.721,69.517,138.968,22.587,145.512,228.058,145.559,33.194,152.096,288.534,149.028,200.02700000000002,149.95600000000002,101.288,148.731,172.40599999999998,146.378,281.647,154.25799999999998,224.412,154.001,24.14,152.486,68.959,160.882,14.370999999999999,160.668,267.19,162.88299999999998,73.788,168.9,42.292,167.99200000000002,281.94599999999997,165.645,67.282,176.676,87.988,173.875,80.312,173.72,31.401999999999997,176.852,3.2430000000000003,187.48,113.22200000000001,156.24,242.602,124.82799999999999,240.764,140.05200000000002,181.054,146.40200000000002,124.256,157.372,84.85600000000001,51.901,107.16,57.766999999999996,116.006,60.086000000000006,233.74,70.34100000000001,125.456,150.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,117.419,6.556,178.278,4.672,113.95,14.850999999999999,231.21200000000002,20.971,200.72799999999998,19.247,219.977,28.396,89.42299999999999,46.54600000000001,188.821,41.62,214.192,38.048,225.424,52.583999999999996,233.935,50.766000000000005,37.211999999999996,52.838,112.301,50.403,195.649,44.673,164.80599999999998,48.427,52.718999999999994,60.94,69.077,54.693999999999996,91.685,55.746,246.796,64.28699999999999,207.17,65.52600000000001,173.042,65.942,77.92399999999999,64.543,194.195,59.332,206.666,75.367,71.047,74.995,130.327,73.351,91.11399999999999,82.334,,,105.819,78.997,120.852,77.881,219.94799999999998,78.22399999999999,211.946,89.177,82.899,87.479,198.666,85.654,116.42399999999999,84.848,72.46600000000001,84.57,234.4,92.834,71.436,92.545,116.61,91.155,252.0,91.46700000000001,58.25,97.44200000000001,154.012,98.15299999999999,230.90900000000002,108.56,86.883,106.758,199.912,105.79700000000001,185.88299999999998,104.91,58.051,114.03399999999999,244.312,111.816,251.17,110.81,90.964,115.574,77.045,120.838,13.92,128.586,68.766,125.994,262.46299999999997,134.315,40.836,135.241,61.263999999999996,130.72799999999998,69.498,138.934,22.476999999999997,145.47799999999998,227.935,145.653,33.146,152.108,288.546,149.014,200.21200000000002,149.873,101.331,148.66,172.36700000000002,146.251,281.765,154.161,224.403,154.159,23.929000000000002,152.529,68.91199999999999,160.923,14.411,160.697,267.22700000000003,162.795,73.829,168.885,42.21,167.96,281.88,165.65099999999998,67.271,176.56799999999998,87.977,173.774,80.339,173.764,31.328000000000003,176.81799999999998,3.182,187.505,,,242.62900000000002,124.73299999999999,240.75099999999998,140.018,181.019,146.393,124.18299999999999,157.282,84.97200000000001,51.852,107.125,57.583,116.06,59.961000000000006,233.762,70.25,125.346,149.97299999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
