TimesH,Frame,NoMissing,18,18,29,29,31,31,34,34,36,36,38,38,41,41,42,42,43,43,47,47,49,49,54,54,63,63,66,66,72,72,75,75,76,76,86,86,89,89,100,100,103,103,104,104,105,105,108,108,109,109,110,110,113,113,117,117,119,119,120,120,121,121,122,122,125,125,126,126,136,136,138,138,139,139,140,140,142,142,158,158,159,159,160,160,163,163,164,164,171,171,174,174,178,178,179,179,180,180,181,181,186,186,187,187,188,188,190,190,192,192,197,197,204,204,205,205,209,209,211,211,212,212,213,213,216,216,219,219,226,226,227,227,228,228,230,230,231,231,232,232,235,235,244,244,246,246,249,249,256,256,257,257,263,263,267,267,271,271,272,272,273,273,274,274,309,309,316,316,334,334,371,371,538,538,582,582,681,681
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
170.75,683.0,,211.80200000000002,23.296,201.563,73.29,67.217,76.241,117.564,79.457,229.019,69.109,82.197,71.348,193.4,71.857,102.027,72.528,111.555,72.736,91.098,68.211,208.227,67.642,112.859,62.952,215.49400000000003,59.081,80.15,60.923,239.417,54.415,104.72200000000001,45.387,177.456,47.949,215.99400000000003,41.751000000000005,100.686,109.339,71.03699999999999,107.38799999999999,162.398,99.01,62.12,99.956,225.304,101.84100000000001,241.89700000000002,103.38799999999999,263.48900000000003,102.751,80.429,103.839,249.16,97.13799999999999,93.04799999999999,99.02,69.541,93.89200000000001,96.96700000000001,94.351,264.39799999999997,94.52799999999999,120.792,94.741,175.412,96.311,53.098,90.02799999999999,82.973,86.274,197.071,86.21700000000001,103.37200000000001,87.215,185.405,87.67299999999999,175.657,79.995,13.075,135.18200000000002,46.39,134.64,55.95,135.485,272.58099999999996,135.194,32.658,135.714,221.24,132.221,270.061,127.447,51.161,130.006,91.66799999999999,129.657,194.783,129.805,245.68099999999998,120.745,106.708,124.881,200.412,124.529,226.704,125.23700000000001,133.719,119.708,33.995,120.90799999999999,16.255,117.69200000000001,33.001,112.038,160.46200000000002,112.325,84.264,113.574,104.277,116.17,75.355,167.252,87.91,166.75400000000002,60.268,170.356,25.324,172.389,82.605,164.207,200.83599999999998,157.514,42.332,158.526,210.50099999999998,160.262,17.660999999999998,161.279,239.24599999999998,160.71,52.643,155.40200000000002,269.721,151.005,222.57,152.406,263.107,153.516,66.608,150.291,6.729,150.675,40.069,147.16899999999998,251.39,140.696,266.33,143.5,87.741,144.10399999999998,183.196,144.395,108.55,144.972,36.708,177.675,,,,,,,,,,,,
171.0,684.0,,211.856,23.261,201.601,73.25399999999999,67.256,76.266,117.56299999999999,79.405,228.975,69.111,82.069,71.421,193.484,71.865,102.01799999999999,72.533,111.545,72.74,91.104,68.24,208.22299999999998,67.657,112.863,62.949,215.5,59.091,80.15899999999999,60.918,239.445,54.412,104.583,45.683,177.44799999999998,47.95,216.08599999999998,41.855,100.67299999999999,109.306,71.031,107.376,162.44299999999998,99.008,62.126999999999995,99.96600000000001,225.30200000000002,101.851,241.899,103.37100000000001,263.475,102.744,80.455,103.818,249.232,97.15700000000001,93.089,99.01700000000001,69.532,93.863,96.948,94.405,264.395,94.51899999999999,120.766,94.725,175.408,96.29299999999999,53.092,90.005,83.035,86.26100000000001,197.13299999999998,86.336,103.38799999999999,87.19,185.399,87.661,175.69099999999997,79.99,13.082,135.191,46.368,134.65,55.982,135.47799999999998,272.564,135.25,32.658,135.687,221.24599999999998,132.225,270.07599999999996,127.44200000000001,51.191,129.95600000000002,91.706,129.672,194.78900000000002,129.72299999999998,245.66099999999997,120.725,106.757,124.897,200.393,124.575,226.743,125.164,133.69,119.679,33.978,120.89299999999999,15.954,117.82799999999999,33.021,111.96600000000001,160.501,112.311,84.26299999999999,113.568,104.348,116.185,75.4,167.226,87.914,166.74,60.305,170.354,25.326999999999998,172.35,82.631,164.192,200.832,157.503,42.345,158.487,210.53799999999998,160.186,17.937,161.306,239.28900000000002,160.691,52.586999999999996,155.341,269.736,150.95,222.528,152.408,263.112,153.53799999999998,66.597,150.349,6.712000000000001,150.708,40.054,147.149,251.37400000000002,140.688,266.32599999999996,143.435,87.66799999999999,144.06799999999998,183.18400000000003,144.395,108.579,144.977,36.728,177.636,,,,,,,,,,,,
171.25,685.0,,211.87400000000002,23.285,201.667,73.22800000000001,67.258,76.278,117.602,79.423,228.824,69.027,82.193,71.452,193.533,71.829,102.02,72.536,111.56299999999999,72.72800000000001,91.11,68.257,208.21900000000002,67.66,112.863,62.956,215.542,59.081,80.156,60.903999999999996,239.485,54.44,104.758,45.67100000000001,177.58599999999998,47.945,216.13099999999997,41.778999999999996,100.667,109.316,71.05,107.382,162.485,99.01899999999999,62.135,99.944,225.304,101.84299999999999,241.91,103.37799999999999,263.44,102.73200000000001,80.438,103.794,249.275,97.23299999999999,93.03299999999999,99.089,69.525,93.83,96.96700000000001,94.45100000000001,264.408,94.51799999999999,120.775,94.727,175.47299999999998,96.289,53.15,90.001,83.04700000000001,86.238,197.143,86.406,103.391,87.156,185.48,87.509,175.653,79.97800000000001,13.079,135.175,46.408,134.67,56.001999999999995,135.53,272.45799999999997,135.22899999999998,32.674,135.63,221.233,132.174,270.092,127.455,51.20399999999999,129.986,91.796,129.72,194.85299999999998,129.707,245.705,120.712,106.77799999999999,124.91799999999999,200.364,124.65299999999999,226.71,125.175,133.711,119.541,34.0,120.919,15.307,118.279,32.982,111.946,160.513,112.303,84.285,113.556,104.609,116.169,75.43,167.17700000000002,87.94,166.739,60.316,170.356,25.316,172.328,82.61399999999999,164.15200000000002,200.78099999999998,157.481,42.411,158.49200000000002,210.55200000000002,160.085,17.992,161.289,239.507,160.687,52.578,155.311,269.76599999999996,150.916,222.46099999999998,152.407,263.103,153.611,66.611,150.379,6.739,150.759,40.068000000000005,147.143,251.389,140.621,266.33799999999997,143.47299999999998,87.925,143.995,183.18,144.428,108.57,144.944,36.709,177.657,174.59799999999998,138.455,61.293,78.539,,,,,,,,
171.5,686.0,,211.892,23.285,201.683,73.23100000000001,67.288,76.282,117.60700000000001,79.367,228.74900000000002,69.02199999999999,82.064,71.492,193.56,71.80199999999999,102.072,72.472,111.568,72.72800000000001,91.088,68.257,208.21099999999998,67.65899999999999,112.883,62.927,215.56099999999998,59.035,80.166,60.888999999999996,239.507,54.415,105.036,45.82,177.62099999999998,47.928000000000004,216.24200000000002,41.855,100.662,109.323,71.045,107.37799999999999,162.46200000000002,98.99600000000001,62.125,99.935,225.308,101.833,241.88400000000001,103.37899999999999,263.49,102.71799999999999,80.445,103.781,249.297,97.315,93.111,98.993,69.59100000000001,93.848,96.97,94.435,264.42,94.495,120.78,94.70100000000001,175.519,96.176,53.173,89.991,83.042,86.244,197.178,86.381,103.395,87.103,185.51,87.47,175.612,80.023,13.091,135.174,46.402,134.636,56.018,135.549,272.48900000000003,135.231,32.707,135.59799999999998,221.173,132.194,270.14,127.428,51.227,129.965,91.81299999999999,129.64700000000002,194.88400000000001,129.6,245.713,120.694,106.824,124.935,200.44,124.65299999999999,226.71,125.161,133.756,119.53399999999999,34.021,120.927,15.738,117.941,33.025,111.90799999999999,160.503,112.294,84.27600000000001,113.52600000000001,104.566,116.195,75.42,167.176,87.988,166.69299999999998,60.317,170.338,25.294,172.301,82.634,164.128,200.765,157.423,42.418,158.455,210.609,160.077,18.268,161.305,239.395,160.667,52.605,155.309,269.767,150.864,222.555,152.394,263.11400000000003,153.61700000000002,66.581,150.395,6.757999999999999,150.847,40.092,147.137,251.398,140.588,266.32099999999997,143.511,88.104,143.868,183.10299999999998,144.471,108.546,144.9,36.74,177.675,175.453,138.254,61.138000000000005,78.613,,,,,,,,
171.75,687.0,,211.88400000000001,23.22,201.71,73.219,67.317,76.30199999999999,117.609,79.348,228.825,69.021,82.064,71.47399999999999,193.667,71.794,102.03,72.516,111.609,72.686,91.111,68.229,208.24400000000003,67.642,112.9,62.917,215.604,59.028,80.181,60.88399999999999,239.551,54.402,105.154,45.95399999999999,177.699,47.885,216.43200000000002,41.945,100.68299999999999,109.31200000000001,71.051,107.39399999999999,162.481,98.902,62.125,99.944,225.33900000000003,101.82700000000001,241.90099999999998,103.415,263.476,102.689,80.48899999999999,103.75,249.354,97.384,93.061,99.1,69.64,93.82600000000001,96.948,94.419,264.392,94.506,120.792,94.67399999999999,175.55,96.18,53.244,90.025,83.01899999999999,86.251,197.24900000000002,86.413,103.395,87.12299999999999,185.627,87.522,175.66400000000002,80.005,13.106,135.18,46.483999999999995,134.628,56.022,135.54,272.496,135.174,32.743,135.579,221.10299999999998,132.25,270.19,127.42399999999999,51.236000000000004,129.946,91.84,129.63299999999998,194.907,129.567,245.737,120.679,106.795,124.93,200.535,124.595,226.687,125.15100000000001,133.836,119.37299999999999,34.043,120.91799999999999,15.45,118.07700000000001,32.912,112.012,160.507,112.25200000000001,84.31700000000001,113.447,104.725,116.18299999999999,75.471,167.167,87.964,166.67700000000002,60.278999999999996,170.34799999999998,25.291999999999998,172.24,82.631,164.143,200.791,157.394,42.411,158.451,210.59799999999998,160.05100000000002,18.363,161.295,239.503,160.673,52.577,155.311,269.785,150.82399999999998,222.56,152.409,263.119,153.688,66.536,150.33,6.766,150.814,40.052,147.151,251.424,140.536,266.276,143.415,87.98700000000001,143.88299999999998,183.10299999999998,144.45600000000002,108.571,144.86,36.758,177.669,174.637,138.414,61.122,78.583,,,,,,,,
172.0,688.0,,211.889,23.258000000000003,201.705,73.20100000000001,67.369,76.314,117.594,79.344,228.763,68.999,82.164,71.51899999999999,193.75599999999997,71.755,102.054,72.523,111.68,72.668,91.135,68.23,208.278,67.653,112.915,62.903,215.66299999999998,59.027,80.187,60.86600000000001,239.547,54.396,105.531,46.067,177.791,47.911,216.31799999999998,41.887,100.695,109.305,71.058,107.368,162.539,98.816,62.102,99.944,225.34900000000002,101.816,241.895,103.42299999999999,263.495,102.669,80.498,103.73200000000001,249.37400000000002,97.348,93.057,99.052,69.66199999999999,93.815,96.943,94.454,264.372,94.43299999999999,120.8,94.6,175.46,96.24799999999999,53.38,90.021,82.956,86.23700000000001,197.206,86.24600000000001,103.38799999999999,87.15799999999999,185.66099999999997,87.52799999999999,175.75900000000001,80.002,13.132,135.162,46.49100000000001,134.612,56.071999999999996,135.46,272.469,135.19799999999998,32.783,135.523,221.00799999999998,132.234,270.225,127.389,51.236000000000004,129.889,91.835,129.634,194.952,129.565,245.755,120.704,106.786,124.854,200.58900000000003,124.67299999999999,226.733,125.09100000000001,133.835,119.3,34.079,120.906,15.402999999999999,118.07700000000001,32.986999999999995,111.955,160.482,112.197,84.311,113.455,104.823,116.167,75.471,167.16299999999998,88.14,166.581,60.251000000000005,170.37400000000002,25.322,172.21599999999998,82.634,164.144,200.812,157.382,42.417,158.421,210.65,159.969,18.422,161.287,239.567,160.686,52.66,155.295,269.808,150.79,222.71599999999998,152.39700000000002,263.13599999999997,153.796,66.561,150.34,6.7589999999999995,150.868,40.054,147.158,251.43599999999998,140.535,266.305,143.335,88.18,143.84,183.11,144.451,108.569,144.817,36.792,177.672,175.625,138.121,61.193999999999996,78.65100000000001,,,,,,,,
172.25,689.0,,211.921,23.241,201.73,73.182,67.361,76.327,117.63,79.293,228.731,69.128,82.354,71.395,193.766,71.7,102.081,72.507,111.725,72.646,91.14299999999999,68.207,208.299,67.675,112.919,62.872,215.713,59.007,80.218,60.875,239.56900000000002,54.391999999999996,105.514,45.986000000000004,177.798,47.875,216.386,41.803999999999995,100.69200000000001,109.31,71.07300000000001,107.34,162.523,98.78299999999999,62.12,99.931,225.38099999999997,101.802,241.87400000000002,103.391,263.468,102.685,80.452,103.729,249.361,97.42200000000001,93.045,99.055,69.69800000000001,93.73299999999999,96.985,94.46,264.35400000000004,94.444,120.837,94.565,175.429,96.294,53.413999999999994,90.056,82.978,86.21799999999999,197.19099999999997,86.179,103.369,87.18700000000001,185.68,87.441,175.79,79.985,13.129000000000001,135.126,46.464,134.631,56.123000000000005,135.416,272.402,135.155,32.821,135.499,220.972,132.204,270.19599999999997,127.38799999999999,51.253,129.891,91.814,129.60299999999998,194.952,129.59,245.77700000000002,120.7,106.76799999999999,124.833,200.69400000000002,124.65700000000001,226.68400000000003,125.06,133.813,119.292,34.069,120.925,15.497,118.00299999999999,33.0,111.99,160.481,112.161,84.302,113.40899999999999,104.959,116.167,75.508,167.213,88.226,166.57299999999998,60.257,170.325,25.363000000000003,172.16400000000002,82.64200000000001,164.111,200.815,157.358,42.412,158.407,210.679,159.86700000000002,19.044,161.41,239.56099999999998,160.67600000000002,52.678999999999995,155.22799999999998,269.82099999999997,150.741,222.755,152.371,263.158,153.84,66.578,150.32399999999998,6.778,150.88299999999998,40.076,147.136,251.47299999999998,140.55200000000002,266.54200000000003,143.221,88.34700000000001,143.779,183.173,144.453,108.54700000000001,144.72299999999998,36.82,177.65599999999998,175.773,137.997,61.193000000000005,78.666,,,,,,,,
172.5,690.0,,211.91299999999998,23.213,201.71900000000002,73.15899999999999,67.388,76.335,117.663,79.238,228.6,69.09,82.37,71.37100000000001,193.815,71.69800000000001,102.182,72.47399999999999,111.76,72.62899999999999,91.19,68.141,208.296,67.652,112.943,62.865,215.72299999999998,59.013999999999996,80.215,60.857,239.53900000000002,54.35,105.52600000000001,45.961999999999996,177.80900000000003,47.872,216.525,41.901,100.697,109.324,71.082,107.31299999999999,162.549,98.75299999999999,62.114,99.92299999999999,225.377,101.79799999999999,241.842,103.366,263.482,102.691,80.488,103.71700000000001,249.365,97.43299999999999,93.051,99.086,69.72800000000001,93.75299999999999,97.036,94.48299999999999,264.323,94.449,120.87799999999999,94.54,175.417,96.318,53.345,90.012,82.961,86.22,197.22299999999998,86.285,103.38600000000001,87.131,185.72299999999998,87.42399999999999,175.77700000000002,80.007,13.140999999999998,135.127,46.496,134.648,56.117,135.438,272.459,135.123,32.825,135.434,221.22400000000002,132.12,270.175,127.397,51.276,129.889,91.80799999999999,129.52100000000002,194.967,129.564,245.78099999999998,120.678,106.729,124.79700000000001,200.546,124.613,226.58900000000003,125.089,133.83100000000002,119.17200000000001,34.061,121.03299999999999,15.84,117.72,32.762,112.102,160.49200000000002,112.135,84.391,113.36399999999999,104.969,116.14399999999999,75.508,167.215,88.23,166.502,60.25,170.30900000000003,25.424,172.105,82.63799999999999,164.082,200.764,157.334,42.4,158.375,210.655,159.85299999999998,19.64,161.605,239.54,160.66,52.633,155.285,269.853,150.732,222.82,152.339,263.153,153.871,66.527,150.27100000000002,6.8260000000000005,150.954,40.137,147.122,251.5,140.56799999999998,266.39,143.189,88.1,143.819,183.178,144.505,108.56700000000001,144.708,36.82,177.639,175.857,137.928,61.184,78.694,,,,,,,,
