TimesH,Frame,NoMissing,1,1,10,10,19,19,21,21,24,24,53,53,54,54,57,57,67,67,70,70,71,71,72,72,79,79,80,80,89,89,92,92,93,93,101,101,102,102,104,104,105,105,110,110,115,115,116,116,119,119,122,122,126,126,152,152,154,154,160,160,166,166,168,168,170,170,174,174,178,178,183,183,185,185,186,186,189,189,191,191,205,205,216,216,225,225,228,228,241,241,246,246,247,247,253,253,258,258,259,259,263,263,274,274,276,276,285,285,292,292,300,300,319,319,321,321,325,325,328,328,339,339,351,351,354,354,408,408,411,411,451,451,505,505,506,506,519,519,557,557,595,595,634,634,651,651,931,931
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
170.75,683.0,,118.561,21.339000000000002,77.854,11.508,242.63299999999998,28.546,218.0,31.0,221.405,24.589000000000002,224.7,51.983999999999995,38.428000000000004,52.555,106.302,55.585,71.567,62.373999999999995,247.00400000000002,60.708,128.012,64.94800000000001,91.23200000000001,65.485,218.095,42.333,245.649,42.181999999999995,171.641,33.681999999999995,184.048,50.809,98.193,49.63,191.96900000000002,43.629,109.462,44.556999999999995,63.131,49.428999999999995,178.02599999999998,45.95,241.298,88.117,154.059,85.874,254.485,86.53299999999999,104.93700000000001,87.73299999999999,234.62,87.39299999999999,199.50599999999997,94.396,226.87400000000002,70.602,118.734,82.17399999999999,211.878,83.26299999999999,71.873,81.418,87.95299999999999,79.19,195.338,113.125,73.419,114.008,99.046,109.584,55.2,110.874,211.0,109.684,244.65,117.801,226.513,118.11,102.102,121.365,266.3,100.97,48.044,100.2,226.72,104.26100000000001,197.62099999999998,105.881,39.739000000000004,133.92700000000002,52.288000000000004,133.86,79.695,133.898,36.689,143.471,68.459,138.721,86.88600000000001,138.019,236.267,139.385,40.169000000000004,123.598,65.543,122.792,25.009,131.588,218.59799999999998,127.62799999999999,39.507,155.639,251.78599999999997,160.958,24.136,164.88,10.748,148.09,103.69200000000001,148.776,66.734,152.567,49.79,150.986,21.753,151.334,4.676,180.8,12.901,180.35,,,,,,,,,,,,,,,,,,
171.0,684.0,,118.62799999999999,21.273000000000003,77.86399999999999,11.444,242.636,28.535,218.824,30.781,221.389,24.605999999999998,224.68400000000003,51.986000000000004,38.452,52.548,106.281,55.555,71.744,62.349,247.00099999999998,60.705,128.058,64.947,91.242,65.493,218.09599999999998,42.343999999999994,245.583,42.193999999999996,171.738,33.69,184.06900000000002,50.802,98.63600000000001,49.388000000000005,191.983,43.641999999999996,109.43,44.607,63.159,49.41,178.033,45.93,241.328,88.111,154.05200000000002,85.83,254.495,86.53200000000001,104.93799999999999,87.726,234.824,87.40299999999999,199.519,94.33200000000001,226.977,70.585,118.67200000000001,82.182,211.842,83.305,71.90899999999999,81.381,87.96700000000001,79.153,195.327,113.11399999999999,73.462,113.63799999999999,99.055,109.569,55.184,110.87200000000001,211.082,109.84200000000001,244.601,117.818,226.53,118.10799999999999,102.105,121.369,266.241,100.964,48.083,100.193,226.67,104.265,197.606,105.90299999999999,39.69,134.001,52.29,133.843,79.683,133.909,36.71,143.47899999999998,68.58800000000001,138.47,86.867,138.047,236.361,139.398,40.195,123.595,65.475,122.82700000000001,25.011,131.641,218.62099999999998,127.634,39.596,155.649,251.808,161.28799999999998,24.233,164.861,10.819,148.02200000000002,103.65299999999999,148.817,66.786,152.571,49.813,151.0,21.775,151.32,4.676,180.801,12.902999999999999,180.328,,,,,,,,,,,,,,,,,,
171.25,685.0,,118.69,21.298000000000002,77.854,11.491,242.668,28.521,218.738,30.766,221.41099999999997,24.555,224.699,51.992,38.504,52.527,106.266,55.504,71.737,62.354,247.012,60.698,128.067,64.938,91.24700000000001,65.513,218.105,42.351000000000006,245.726,42.281000000000006,171.71099999999998,33.661,184.09400000000002,50.84,98.631,49.37,192.011,43.702,109.42299999999999,44.571999999999996,63.152,49.405,177.989,45.919,241.38400000000001,88.11,154.075,85.79,254.49200000000002,86.477,104.897,87.65100000000001,234.75900000000001,87.37200000000001,199.583,94.31200000000001,227.037,70.572,118.646,82.13600000000001,211.857,83.286,71.953,81.36399999999999,87.96799999999999,79.172,195.299,113.105,73.457,113.521,99.09200000000001,109.59,55.198,110.883,211.136,109.925,244.605,117.774,226.68599999999998,118.11399999999999,102.152,121.375,266.268,100.87299999999999,48.103,100.18799999999999,226.653,104.26700000000001,197.611,105.916,39.661,134.05200000000002,52.294,133.863,79.687,133.934,36.709,143.517,68.681,138.391,86.852,138.072,236.486,139.468,40.248000000000005,123.571,65.423,122.86200000000001,25.025,131.67700000000002,218.646,127.666,39.619,155.632,251.738,161.406,24.230999999999998,164.847,10.728,148.02,103.553,148.85299999999998,66.807,152.57,49.729,151.00799999999998,21.795,151.304,4.685,180.761,12.905999999999999,180.294,,,,,,,,,,,,,,,,,,
171.5,686.0,,118.715,21.27,77.835,11.530999999999999,242.674,28.529,218.91299999999998,30.701999999999998,221.39,24.581999999999997,224.722,51.98,38.438,52.541000000000004,106.223,55.446999999999996,71.708,62.341,247.037,60.714,128.036,64.918,91.26,65.52,218.072,42.351000000000006,245.637,42.193000000000005,171.72400000000002,33.633,184.09400000000002,50.85,98.581,49.36600000000001,191.99599999999998,43.702,109.405,44.57,63.187,49.378,177.955,45.95399999999999,241.502,88.066,154.116,85.77799999999999,254.472,86.475,104.773,87.491,234.72299999999998,87.336,199.637,94.23899999999999,227.18400000000003,70.544,118.851,81.87100000000001,211.905,83.256,71.997,81.32,88.024,79.125,195.312,113.10600000000001,73.47,113.059,99.12100000000001,109.494,55.178999999999995,110.866,211.21900000000002,110.104,244.65400000000002,117.73,226.77599999999998,118.085,102.103,121.31299999999999,266.29900000000004,100.90700000000001,48.118,100.182,226.69400000000002,104.21,197.65,105.98700000000001,39.549,134.054,52.29,133.83100000000002,79.684,133.936,36.662,143.525,68.706,138.362,86.84100000000001,138.091,236.486,139.502,40.296,123.55799999999999,65.407,122.84200000000001,25.044,131.659,218.669,127.67,39.7,155.47899999999998,251.75900000000001,161.357,24.249000000000002,164.843,10.767000000000001,148.039,103.589,148.826,66.862,152.529,49.589,150.984,21.811999999999998,151.283,4.7139999999999995,180.805,12.901,180.269,,,,,,,,,,,,,,,,,,
171.75,687.0,,118.704,21.281,77.82300000000001,11.555,242.673,28.549,218.93900000000002,30.759,221.407,24.555999999999997,224.755,51.945,38.486999999999995,52.563,106.191,55.461000000000006,71.777,62.361999999999995,247.092,60.684,127.991,64.89,91.272,65.515,218.083,42.398999999999994,245.41299999999998,42.091,171.715,33.537,184.12099999999998,50.88,98.585,49.368,192.02900000000002,43.675,109.40700000000001,44.544,63.233999999999995,49.403999999999996,177.80599999999998,45.931999999999995,241.48,88.162,154.165,85.73899999999999,254.475,86.49700000000001,104.70200000000001,87.37799999999999,234.831,87.35,199.61900000000003,94.24,227.26,70.502,118.917,81.926,211.946,83.24799999999999,72.02600000000001,81.327,88.04899999999999,79.133,195.352,113.139,73.513,112.595,99.17,109.6,55.218999999999994,110.833,211.25099999999998,110.23200000000001,244.702,117.68700000000001,226.683,118.163,102.156,121.353,266.307,100.882,48.17100000000001,100.18,226.78400000000002,104.09299999999999,197.667,105.959,39.605,133.957,52.297,133.862,79.71600000000001,133.916,36.73,143.536,68.634,138.359,86.855,138.10399999999998,236.361,139.52100000000002,40.332,123.529,65.41,122.823,25.046999999999997,131.636,218.658,127.67,39.695,155.389,251.782,161.36,24.275,164.83900000000003,10.909,148.036,103.59700000000001,148.864,66.822,152.35399999999998,49.532,150.982,21.809,151.342,4.696000000000001,180.787,12.898,180.197,,,,,,,,,,,,,,,,,,
172.0,688.0,,118.734,21.223000000000003,77.80199999999999,11.522,242.676,28.549,219.032,30.715,221.396,24.566999999999997,224.78799999999998,51.937,38.492,52.586999999999996,106.179,55.473,71.813,62.316,247.07,60.685,127.934,64.869,91.3,65.503,218.077,42.4,245.489,42.256,171.77200000000002,33.523,184.105,50.934,98.594,49.343,192.00400000000002,43.693999999999996,109.405,44.54,63.297,49.35,177.56099999999998,45.956,241.47099999999998,88.206,154.166,85.685,254.476,86.455,104.684,87.315,234.85299999999998,87.31200000000001,199.65099999999998,94.18799999999999,227.114,70.501,118.98299999999999,82.02600000000001,211.95,83.181,72.065,81.331,88.094,79.089,195.363,113.13799999999999,73.433,113.79700000000001,99.227,109.62200000000001,55.256,110.852,211.267,110.209,244.767,117.67200000000001,226.717,118.179,102.177,121.329,266.276,100.949,48.196999999999996,100.179,226.797,104.072,197.67700000000002,105.959,39.622,133.799,52.278,133.917,79.718,133.876,36.765,143.59,68.681,138.255,86.863,138.08100000000002,236.628,139.661,40.358000000000004,123.51799999999999,65.41199999999999,122.79899999999999,25.031,131.608,218.696,127.70299999999999,39.567,155.428,251.824,161.155,24.296,164.813,10.985,147.96,103.617,148.804,66.893,152.30200000000002,49.528999999999996,150.954,21.833000000000002,151.34,4.69,180.78900000000002,12.888,180.146,,,,,,,,,,,,,,,,,,
172.25,689.0,,118.723,21.221999999999998,77.805,11.577,242.675,28.545,219.167,30.723000000000003,221.36700000000002,24.561999999999998,224.812,51.943999999999996,38.524,52.593,106.169,55.431999999999995,71.954,62.262,247.088,60.668,128.00799999999998,64.835,91.32600000000001,65.487,218.085,42.385,245.53,42.247,171.79,33.48,184.157,50.931999999999995,98.615,49.303999999999995,192.02599999999998,43.708999999999996,109.376,44.511,63.297,49.331,177.417,45.915,241.655,88.098,154.209,85.654,254.486,86.499,104.624,87.20200000000001,234.863,87.337,199.685,94.116,227.257,70.491,119.19,81.78,211.926,83.141,72.11,81.355,88.08,79.085,195.389,113.15299999999999,73.0,115.0,99.303,109.75,55.25899999999999,110.838,211.296,110.12299999999999,244.812,117.71,226.66099999999997,118.206,102.186,121.304,266.265,100.96600000000001,48.202,100.193,226.84900000000002,103.988,197.683,105.93,39.67,133.763,52.263000000000005,133.958,79.717,133.871,36.805,143.655,68.661,138.213,86.882,138.10399999999998,236.62900000000002,139.644,40.391999999999996,123.51799999999999,65.441,122.75200000000001,25.008000000000003,131.59799999999998,218.695,127.70200000000001,39.573,155.39600000000002,251.835,161.286,24.28,164.851,11.052,147.961,103.661,148.8,66.884,152.286,49.486000000000004,150.884,21.846,151.325,4.71,180.804,12.89,180.14700000000002,78.0,126.0,,,,,,,,,,,,,,,,
172.5,690.0,,118.758,21.177,77.803,11.572000000000001,242.69799999999998,28.561,219.278,30.698,221.368,24.558000000000003,224.817,51.946999999999996,38.586,52.57,106.25,55.437,72.01,62.284,247.118,60.677,128.029,64.84,91.367,65.482,218.112,42.443000000000005,245.692,42.208,171.827,33.478,184.187,50.908,98.584,49.292,192.115,43.701,109.432,44.496,63.33,49.328,177.386,45.937,241.671,88.083,154.22899999999998,85.615,254.495,86.492,104.554,87.08,234.923,87.33,199.709,94.12200000000001,227.148,70.495,119.258,81.71,211.93400000000003,83.11200000000001,72.127,81.345,88.10600000000001,79.04899999999999,195.43900000000002,113.181,73.518,113.29899999999999,99.294,109.775,55.263999999999996,110.836,211.485,110.398,244.805,117.617,226.639,118.21,102.14200000000001,121.244,266.33,100.941,48.19,100.18,226.898,103.839,197.704,105.931,39.724000000000004,133.653,52.27,133.939,79.748,133.85299999999998,36.865,143.72299999999998,68.74600000000001,138.157,86.91,138.138,236.655,139.644,40.419000000000004,123.516,65.39399999999999,122.726,24.998,131.593,218.704,127.696,39.482,155.533,251.812,161.305,24.324,164.81799999999998,11.13,147.9,103.67200000000001,148.785,66.89699999999999,152.167,49.425,150.89,21.844,151.336,4.735,180.767,12.905999999999999,180.118,78.0,126.0,,,,,,,,,,,,,,,,
