TimesH,Frame,NoMissing,7,7,13,13,15,15,17,17,24,24,27,27,50,50,65,65,66,66,67,67,69,69,70,70,74,74,75,75,76,76,79,79,81,81,82,82,88,88,89,89,91,91,93,93,94,94,95,95,99,99,103,103,104,104,105,105,107,107,111,111,113,113,115,115,116,116,117,117,118,118,119,119,126,126,136,136,141,141,142,142,143,143,146,146,148,148,150,150,152,152,153,153,158,158,160,160,165,165,166,166,168,168,169,169,177,177,181,181,183,183,184,184,185,185,186,186,188,188,189,189,192,192,193,193,196,196,197,197,200,200,204,204,205,205,209,209,210,210,214,214,249,249,250,250,262,262,266,266,269,269,270,270,271,271,272,272,489,489,830,830,959,959,1087,1087,1118,1118,1123,1123,1157,1157,1175,1175
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
344.0,1376.0,,112.22200000000001,58.386,212.105,61.92100000000001,181.745,73.22399999999999,197.593,73.954,202.378,67.234,168.388,69.91,223.33700000000002,55.129,,,177.07,98.57700000000001,192.423,100.47,113.42200000000001,100.88600000000001,62.841,101.113,103.919,102.00299999999999,183.238,104.354,245.847,103.478,78.46,95.50399999999999,92.34299999999999,96.977,201.984,96.166,104.711,114.238,87.5,114.507,170.40900000000002,105.131,77.322,105.944,108.459,105.988,125.955,106.04899999999999,183.472,83.376,72.515,85.545,82.116,87.009,103.19200000000001,87.181,105.00399999999999,77.664,114.994,79.893,197.28599999999997,81.206,93.321,82.63,186.36599999999999,91.971,215.023,92.103,56.813,92.632,133.42700000000002,92.777,195.15900000000002,88.887,231.071,132.58100000000002,275.165,134.35,107.54700000000001,133.513,73.95100000000001,136.224,269.164,136.375,32.49,137.734,86.20200000000001,130.25799999999998,223.59599999999998,130.528,249.861,131.403,115.62200000000001,145.262,220.403,145.46200000000002,254.957,149.98,212.572,149.92700000000002,267.075,150.399,37.538000000000004,151.621,257.047,139.541,267.79400000000004,141.545,101.00299999999999,143.11,277.154,142.204,55.725,145.5,76.278,144.356,214.91099999999997,117.52799999999999,229.36700000000002,117.55,49.648,120.509,76.082,119.833,199.30900000000003,115.413,93.022,117.443,113.669,124.42299999999999,97.60600000000001,126.662,189.63299999999998,126.92,163.063,121.29899999999999,205.731,121.03399999999999,103.486,122.507,49.203,172.324,25.982,171.611,25.145,153.923,87.855,157.945,77.58800000000001,159.433,36.661,163.203,64.557,162.082,23.99,163.77200000000002,,,,,,,,,,,,,,,,
344.25,1377.0,,112.20200000000001,58.294,212.21200000000002,61.99100000000001,181.735,73.187,197.581,73.89699999999999,202.399,67.243,168.387,69.88600000000001,223.338,55.13,,,177.078,98.579,192.43599999999998,100.501,113.427,100.89,62.803999999999995,101.11399999999999,103.914,102.00399999999999,183.245,104.366,245.85,103.491,78.453,95.51100000000001,92.291,96.994,201.982,96.14,104.709,114.25,87.48700000000001,114.494,170.40400000000002,105.119,77.303,105.921,108.45200000000001,105.99,125.964,106.068,183.476,83.368,72.518,85.542,82.14399999999999,87.007,103.16,87.145,104.975,77.66,114.98299999999999,79.914,197.275,81.182,93.274,82.663,186.37099999999998,91.934,215.048,92.124,56.803999999999995,92.62200000000001,133.437,92.65299999999999,195.149,88.885,231.053,132.577,275.25,134.355,107.541,133.507,73.92,136.224,269.154,136.374,32.449,137.747,86.208,130.245,223.551,130.531,249.877,131.399,115.594,145.266,220.35,145.444,254.96099999999998,149.981,212.563,149.917,267.066,150.401,37.555,151.62,257.125,139.487,267.791,141.535,101.023,143.12,277.17900000000003,142.167,55.729,145.49200000000002,76.271,144.349,214.861,117.542,229.357,117.564,49.641999999999996,120.51899999999999,76.087,119.83,199.304,115.417,93.00200000000001,117.444,113.667,124.41,97.60700000000001,126.646,189.627,126.92,163.063,121.295,205.72799999999998,121.022,103.47200000000001,122.514,49.225,172.331,25.963,171.62599999999998,25.122,153.907,87.829,157.844,77.54899999999999,159.42700000000002,36.6,163.227,64.562,162.084,23.983,163.773,,,,,,,,,,,,,,,,
344.5,1378.0,,112.20200000000001,58.292,212.24099999999999,62.023999999999994,181.739,73.17399999999999,197.59599999999998,73.827,202.4,67.242,168.386,69.875,223.34400000000002,55.136,,,177.105,98.575,192.422,100.473,113.432,100.891,62.781000000000006,101.11,103.92299999999999,102.02,183.24,104.37,245.861,103.475,78.455,95.521,92.318,97.00200000000001,201.979,96.12700000000001,104.693,114.25399999999999,87.478,114.486,170.40400000000002,105.104,77.32,105.89200000000001,108.45700000000001,105.988,125.965,106.075,183.47099999999998,83.37,72.515,85.541,82.137,87.01299999999999,103.14,87.098,104.985,77.7,114.988,79.902,197.26,81.15899999999999,93.355,82.74700000000001,186.388,91.932,215.041,92.14299999999999,56.81100000000001,92.61399999999999,133.474,92.54700000000001,195.16099999999997,88.88799999999999,231.007,132.595,275.14599999999996,134.374,107.56,133.529,73.892,136.226,269.152,136.362,32.416,137.73,86.20299999999999,130.235,223.49,130.56,249.918,131.388,115.57700000000001,145.27200000000002,220.34900000000002,145.471,254.958,149.966,212.558,149.931,267.047,150.408,37.566,151.657,257.183,139.463,267.79200000000003,141.549,101.024,143.124,277.191,142.142,55.721000000000004,145.493,76.273,144.346,214.84099999999998,117.552,229.357,117.514,49.644,120.51,76.056,119.794,199.308,115.375,93.025,117.447,113.681,124.40700000000001,97.596,126.70299999999999,189.63,126.91799999999999,163.066,121.273,205.72,121.04700000000001,103.469,122.52,49.216,172.36900000000003,25.956999999999997,171.62599999999998,25.133000000000003,153.891,87.839,157.817,77.528,159.42,36.615,163.248,64.571,162.08700000000002,23.986,163.768,,,,,,,,,,,,,,,,
344.75,1379.0,,112.154,58.198,212.28,62.055,181.72,73.11,197.59900000000002,73.762,202.386,67.247,168.36,69.873,223.33700000000002,55.138999999999996,263.3,98.80799999999999,177.11599999999999,98.568,192.407,100.459,113.426,100.885,62.736000000000004,101.11,103.915,102.00200000000001,183.24200000000002,104.38,245.835,103.47,78.457,95.52600000000001,92.295,96.96,201.984,96.105,104.69200000000001,114.245,87.46799999999999,114.492,170.396,105.104,77.375,105.94,108.44200000000001,105.98700000000001,125.947,106.056,183.481,83.35799999999999,72.488,85.51899999999999,82.133,86.99600000000001,103.096,86.934,105.02799999999999,77.722,114.98200000000001,79.873,197.255,81.141,93.45200000000001,82.726,186.416,91.889,215.03400000000002,92.124,56.816,92.60700000000001,133.49200000000002,92.48899999999999,195.162,88.87200000000001,230.993,132.592,275.281,134.157,107.575,133.54,73.893,136.238,269.144,136.351,32.426,137.737,86.18299999999999,130.235,223.523,130.60299999999998,249.868,131.349,115.569,145.282,220.31799999999998,145.44,254.95,149.972,212.56099999999998,149.923,267.035,150.393,37.577,151.667,257.123,139.55200000000002,267.784,141.566,101.014,143.107,277.147,142.159,55.706,145.491,76.267,144.336,214.86,117.574,229.34,117.50399999999999,49.66,120.49600000000001,76.098,119.8,199.291,115.333,93.02,117.44,113.68799999999999,124.42,97.589,126.679,189.625,126.925,163.07,121.195,205.72400000000002,121.038,103.46600000000001,122.516,49.208999999999996,172.301,25.958000000000002,171.622,25.125,153.892,87.809,157.737,77.531,159.417,36.602,163.257,64.54,162.102,23.987,163.766,,,,,,,,,,,,,,,,
345.0,1380.0,,112.165,58.242,212.388,62.148,181.72,73.101,197.579,73.744,202.403,67.26,168.352,69.87100000000001,223.335,55.123000000000005,263.242,98.788,177.12099999999998,98.568,192.41099999999997,100.426,113.435,100.87899999999999,62.718,101.125,103.919,102.006,183.253,104.382,245.856,103.469,78.462,95.531,92.301,96.98700000000001,201.987,96.098,104.68799999999999,114.24799999999999,87.443,114.478,170.407,105.08,77.425,105.979,108.444,105.98899999999999,125.929,106.021,183.472,83.376,72.49,85.51899999999999,82.137,86.99799999999999,103.025,86.76799999999999,105.005,77.712,115.027,79.814,197.24599999999998,81.134,93.449,82.719,186.41400000000002,91.90100000000001,215.03900000000002,92.073,56.813,92.605,133.517,92.435,195.19099999999997,88.865,231.002,132.591,275.203,134.232,107.583,133.54399999999998,73.911,136.254,269.158,136.33700000000002,32.435,137.71,86.186,130.235,223.487,130.515,249.875,131.328,115.556,145.296,220.304,145.434,254.951,149.972,212.571,149.935,267.032,150.41,37.598,151.672,257.112,139.539,267.78700000000003,141.589,101.016,143.105,277.084,142.118,55.696999999999996,145.491,76.268,144.341,214.938,117.54,229.35299999999998,117.521,49.663000000000004,120.493,76.109,119.816,199.298,115.361,93.00299999999999,117.434,113.652,124.411,97.595,126.72200000000001,189.61900000000003,126.94,163.077,121.206,205.715,121.068,103.45700000000001,122.51700000000001,49.2,172.215,25.948,171.61900000000003,25.096999999999998,153.912,87.671,157.735,77.513,159.412,36.625,163.237,64.514,162.096,23.976999999999997,163.763,,,,,,,,,,,,,,,,
345.25,1381.0,,112.178,58.229,212.30599999999998,62.095,181.703,73.086,197.558,73.685,202.40200000000002,67.274,168.33700000000002,69.839,223.34599999999998,55.132,263.205,98.73700000000001,177.143,98.581,192.43900000000002,100.413,113.44,100.87899999999999,62.756,101.105,103.925,102.005,183.245,104.38799999999999,245.908,103.463,78.464,95.51700000000001,92.29799999999999,96.94,201.98,96.11399999999999,104.685,114.25,87.454,114.488,170.395,105.071,77.431,106.02600000000001,108.45100000000001,105.984,125.948,106.023,183.477,83.361,72.483,85.516,82.145,87.006,103.031,86.787,105.09100000000001,77.696,115.096,79.721,197.239,81.119,93.383,82.815,186.438,91.90799999999999,215.05200000000002,92.111,56.821999999999996,92.589,133.528,92.406,195.201,88.86399999999999,231.011,132.609,275.20599999999996,134.17,107.59899999999999,133.55,73.893,136.238,269.149,136.328,32.438,137.683,86.179,130.227,223.533,130.588,249.896,131.283,115.537,145.29,220.27200000000002,145.392,254.96599999999998,149.984,212.575,149.92700000000002,267.031,150.41,37.607,151.675,257.166,139.562,267.775,141.584,101.03,143.118,277.028,142.13,55.711999999999996,145.501,76.263,144.33700000000002,214.949,117.5,229.363,117.535,49.657,120.485,76.161,119.77799999999999,199.296,115.318,93.01799999999999,117.445,113.646,124.42200000000001,97.60600000000001,126.684,189.608,126.95700000000001,163.067,121.16799999999999,205.713,121.073,103.45100000000001,122.522,49.208999999999996,172.165,25.959,171.61700000000002,25.101,153.938,87.609,157.761,77.506,159.406,36.683,163.22899999999998,64.5,162.079,23.973000000000003,163.75799999999998,,,,,,,,,,,,,,,,
345.5,1382.0,,112.244,58.244,212.334,62.157,181.706,73.111,197.49,73.794,202.425,67.29,168.365,69.817,223.335,55.11,263.389,98.63799999999999,177.128,98.581,192.43900000000002,100.413,113.445,100.87100000000001,62.722,101.105,103.92299999999999,101.99700000000001,183.24200000000002,104.391,245.89,103.462,78.449,95.505,92.296,96.935,201.983,96.105,104.67299999999999,114.256,87.47399999999999,114.51299999999999,170.388,105.023,77.431,106.041,108.443,105.975,125.932,105.99600000000001,183.47099999999998,83.368,72.464,85.506,82.12899999999999,87.001,103.04899999999999,86.786,105.06200000000001,77.692,115.15700000000001,79.663,197.247,81.102,93.37799999999999,82.839,186.43599999999998,91.92399999999999,215.047,92.133,56.817,92.59899999999999,133.528,92.34899999999999,195.195,88.867,231.04,132.6,275.255,134.207,107.59200000000001,133.545,73.90100000000001,136.237,269.16700000000003,136.328,32.443000000000005,137.67,86.185,130.21200000000002,223.53099999999998,130.575,249.88299999999998,131.326,115.525,145.30200000000002,220.227,145.31799999999998,254.94799999999998,149.977,212.578,149.924,267.036,150.409,37.622,151.692,257.134,139.525,267.77299999999997,141.60399999999998,101.029,143.115,277.063,142.185,55.708999999999996,145.491,76.256,144.338,214.925,117.516,229.359,117.506,49.691,120.491,76.187,119.779,199.3,115.31200000000001,93.01700000000001,117.449,113.62700000000001,124.446,97.62700000000001,126.67200000000001,189.59599999999998,126.955,163.05,121.137,205.718,121.054,103.44200000000001,122.529,49.20399999999999,172.15599999999998,25.944000000000003,171.625,25.104,153.955,87.632,157.753,77.497,159.386,36.711999999999996,163.234,64.492,162.101,23.97,163.75,,,,,,,,,,,,,,,,
345.75,1383.0,,112.209,58.239,212.34599999999998,62.153999999999996,181.69400000000002,73.131,197.489,73.762,202.40099999999998,67.3,168.364,69.824,223.335,55.103,263.0,98.0,177.143,98.585,192.459,100.39200000000001,113.43799999999999,100.875,62.708999999999996,101.103,103.927,101.97200000000001,183.236,104.39299999999999,245.886,103.46799999999999,78.456,95.512,92.295,96.955,201.97299999999998,96.115,104.66799999999999,114.26100000000001,87.47,114.505,170.386,105.024,77.433,106.035,108.44,105.976,125.959,106.00299999999999,183.476,83.37700000000001,72.558,85.49799999999999,82.13600000000001,87.015,103.055,86.775,105.074,77.682,115.198,79.611,197.24400000000003,81.086,93.29799999999999,82.897,186.425,91.934,215.08700000000002,92.163,56.815,92.594,133.55200000000002,92.28299999999999,195.204,88.87899999999999,231.014,132.614,275.157,134.20600000000002,107.61399999999999,133.58,73.89399999999999,136.25799999999998,269.14799999999997,136.32,32.448,137.659,86.178,130.222,223.505,130.59799999999998,249.899,131.293,115.51299999999999,145.312,220.234,145.356,254.95,149.991,212.575,149.953,267.032,150.41,37.638000000000005,151.681,257.144,139.505,267.781,141.597,101.009,143.105,277.132,142.28,55.722,145.494,76.245,144.33,214.96900000000002,117.448,229.356,117.49,49.675,120.494,76.175,119.751,199.304,115.337,93.04700000000001,117.47,113.62200000000001,124.441,97.70200000000001,126.596,189.59599999999998,126.96,163.028,121.09899999999999,205.731,121.04,103.446,122.51799999999999,49.242,172.13299999999998,25.941,171.615,25.08,154.023,87.60600000000001,157.722,77.483,159.368,36.693000000000005,163.24,64.49,162.112,23.967,163.75,,,,,,,,,,,,,,,,
