TimesH,Frame,NoMissing,3,3,4,4,8,8,14,14,15,15,18,18,22,22,29,29,32,32,33,33,35,35,42,42,47,47,48,48,55,55,57,57,58,58,63,63,67,67,68,68,71,71,74,74,76,76,79,79,82,82,89,89,94,94,95,95,98,98,99,99,101,101,108,108,110,110,111,111,118,118,126,126,130,130,133,133,143,143,151,151,167,167,190,190,194,194,197,197,198,198,199,199,213,213,215,215,216,216,217,217,218,218,222,222,226,226,229,229,230,230,235,235,241,241,244,244,246,246,317,317,318,318,320,320,322,322,343,343,346,346,350,350,357,357,358,358,360,360,362,362,370,370,388,388,389,389,390,390,396,396,397,397,403,403,415,415,421,421,423,423,429,429,485,485,486,486,589,589,609,609,617,617,648,648,720,720,840,840,870,870,960,960,1030,1030,1172,1172,1272,1272
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
344.0,1376.0,,218.215,120.214,229.292,121.603,182.75599999999997,123.236,268.879,123.271,52.371,125.27600000000001,40.721,128.121,49.391000000000005,129.381,254.13400000000001,132.07,175.43200000000002,133.94899999999998,211.456,134.453,264.028,133.303,76.915,136.033,62.801,137.388,268.78700000000003,137.533,184.77200000000002,139.214,215.65200000000002,140.886,231.523,140.312,78.596,141.625,225.388,93.891,174.416,95.92399999999999,127.178,95.88799999999999,71.267,97.686,241.831,97.853,215.345,98.242,84.095,98.735,220.14,105.68799999999999,251.025,105.79,36.703,106.744,199.99400000000003,107.12100000000001,261.909,107.24600000000001,101.249,108.845,213.66,111.34200000000001,172.71400000000003,110.20100000000001,57.492,111.05799999999999,247.012,113.961,48.881,118.902,20.686999999999998,166.507,28.215999999999998,169.183,57.18899999999999,169.858,91.26,173.812,65.66199999999999,179.13099999999997,48.034,142.591,58.125,144.394,242.769,144.11,28.517,144.734,89.03299999999999,144.431,76.9,152.485,42.483999999999995,151.366,258.356,152.06,265.105,152.472,199.83,151.96,275.473,151.532,14.147,154.031,57.198,158.131,89.26799999999999,156.849,22.265,159.03,43.907,161.27200000000002,228.517,161.06799999999998,100.441,160.649,181.202,66.756,205.9,69.01100000000001,190.676,69.51899999999999,199.128,70.436,123.0,79.0,204.075,83.389,219.43200000000002,85.54700000000001,76.251,89.447,109.309,88.76100000000001,187.64700000000002,87.58,85.441,91.25200000000001,140.56,94.581,190.93099999999998,41.739,134.637,40.925,174.899,40.718,197.513,46.708999999999996,211.94,45.071999999999996,185.53099999999998,48.836000000000006,175.46,57.143,93.00399999999999,61.29600000000001,123.73899999999999,59.743,195.40900000000002,62.071999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,
344.25,1377.0,,218.196,120.19200000000001,229.28900000000002,121.581,182.74900000000002,123.184,268.921,123.27,52.396,125.265,40.714,128.116,49.474,129.49200000000002,254.125,132.066,175.454,133.945,211.428,134.475,264.007,133.299,76.911,136.037,62.788999999999994,137.382,268.79200000000003,137.55100000000002,184.74900000000002,139.192,215.632,140.891,231.507,140.261,78.594,141.64600000000002,225.387,93.898,174.535,96.015,127.189,95.897,71.274,97.69200000000001,241.82,97.861,215.328,98.23700000000001,84.11,98.75200000000001,220.13099999999997,105.7,251.007,105.81200000000001,36.731,106.76899999999999,199.997,107.104,261.926,107.226,101.256,108.84100000000001,213.63099999999997,111.329,172.71200000000002,110.206,57.49100000000001,111.07,247.00099999999998,113.963,48.876999999999995,118.91,20.676,166.44299999999998,28.199,169.192,57.176,169.86900000000003,91.256,173.83,65.691,179.09599999999998,48.028,142.621,58.13399999999999,144.412,242.769,144.112,28.499000000000002,144.749,89.02600000000001,144.424,76.911,152.469,42.468,151.363,258.351,152.036,265.061,152.481,199.85,151.969,275.475,151.526,14.159,153.994,57.192,158.129,89.271,156.869,22.247,159.001,43.901,161.278,228.514,161.069,100.475,160.66899999999998,181.22400000000002,66.729,205.88400000000001,69.009,190.62599999999998,69.531,199.155,70.43,123.0,79.0,204.07,83.37,219.428,85.55,76.245,89.43799999999999,109.316,88.774,187.59400000000002,87.571,85.42399999999999,91.26299999999999,140.472,94.633,190.918,41.716,134.558,40.937,174.87099999999998,40.67,197.50599999999997,46.701,211.977,45.026,185.489,48.845,175.46900000000002,57.131,93.0,61.31,123.757,59.75,195.41400000000002,62.066,,,,,,,,,,,,,,,,,,,,,,,,,,
344.5,1378.0,,218.166,120.20299999999999,229.28,121.541,182.75099999999998,123.199,268.835,123.26799999999999,52.417,125.314,40.723,128.11,49.443999999999996,129.463,254.12,132.07299999999998,175.454,133.947,211.519,134.381,263.988,133.285,76.914,136.031,62.786,137.40200000000002,268.776,137.562,184.74599999999998,139.179,215.625,140.903,231.49200000000002,140.239,78.571,141.641,225.375,93.87700000000001,174.54,96.055,127.162,95.94200000000001,71.249,97.682,241.80599999999998,97.90299999999999,215.33,98.23700000000001,84.105,98.758,220.111,105.713,250.98,105.79899999999999,36.722,106.73899999999999,200.03,107.096,261.98,107.23200000000001,101.266,108.855,213.62099999999998,111.325,172.71599999999998,110.2,57.486000000000004,111.064,246.99900000000002,113.96799999999999,48.924,118.90700000000001,20.665,166.497,28.213,169.18599999999998,57.158,169.858,91.251,173.84,65.705,179.088,48.028999999999996,142.614,58.128,144.421,242.74099999999999,144.13,28.498,144.745,89.03200000000001,144.412,76.921,152.466,42.486000000000004,151.377,258.349,152.023,265.07599999999996,152.49,199.855,151.974,275.526,151.52,14.16,153.967,57.18600000000001,158.138,89.273,156.849,22.239,159.0,43.906000000000006,161.28,228.459,161.007,100.49600000000001,160.675,181.217,66.711,205.889,68.999,190.62,69.539,199.136,70.46,122.428,80.071,204.045,83.37200000000001,219.412,85.571,76.241,89.439,109.34200000000001,88.8,187.543,87.53399999999999,85.43700000000001,91.26100000000001,140.423,94.734,190.907,41.667,134.583,40.943000000000005,174.872,40.683,197.488,46.736999999999995,212.018,45.011,185.44,48.867,175.377,57.114,92.976,61.317,123.755,59.747,195.407,62.019,,,,,,,,,,,,,,,,,,,,,,,,,,
344.75,1379.0,,218.155,120.205,229.267,121.569,182.77599999999998,123.29700000000001,268.777,123.242,52.437,125.27600000000001,40.733000000000004,128.10399999999998,49.481,129.531,254.108,132.071,175.416,133.93,211.44400000000002,134.431,263.96299999999997,133.275,76.91,136.029,62.781000000000006,137.406,268.76599999999996,137.565,184.76,139.186,215.607,140.905,231.544,140.21200000000002,78.568,141.63299999999998,225.40099999999998,93.899,174.417,95.978,127.176,95.959,71.24,97.691,241.81099999999998,97.928,215.31900000000002,98.23100000000001,84.104,98.775,220.112,105.715,251.00599999999997,105.814,36.67,106.803,200.02599999999998,107.09,261.937,107.243,101.26,108.84700000000001,213.635,111.34700000000001,172.71200000000002,110.181,57.485,111.066,246.995,113.969,48.913999999999994,118.87700000000001,20.646,166.484,28.203000000000003,169.208,57.177,169.84799999999998,91.23200000000001,173.82,65.708,179.07299999999998,48.038000000000004,142.625,58.123999999999995,144.431,242.74,144.119,28.485,144.761,89.046,144.377,76.93,152.453,42.483999999999995,151.381,258.344,152.013,265.066,152.482,199.87,151.977,275.518,151.52100000000002,14.177999999999999,153.972,57.177,158.144,89.273,156.809,22.232,159.023,43.91,161.286,228.47299999999998,161.006,100.476,160.675,181.218,66.689,205.885,68.991,190.575,69.57600000000001,199.125,70.46600000000001,122.385,80.087,204.02200000000002,83.376,219.419,85.57,76.222,89.44200000000001,109.389,88.81700000000001,187.55,87.542,85.46,91.257,140.374,94.805,190.889,41.68,134.594,40.946999999999996,174.919,40.741,197.447,46.778999999999996,212.033,44.943999999999996,185.39700000000002,48.82899999999999,175.24,57.076,92.963,61.325,123.78299999999999,59.76,195.429,61.979,,,,,,,,,,,,,,,,,,,,,,,,,,
345.0,1380.0,,218.14700000000002,120.206,229.265,121.55,182.484,122.677,268.762,123.24799999999999,52.401,125.324,40.738,128.1,49.486000000000004,129.533,254.097,132.076,175.447,133.95,211.38299999999998,134.421,263.92,133.266,76.911,136.024,62.788999999999994,137.40200000000002,268.77299999999997,137.58,184.771,139.166,215.577,140.891,231.515,140.203,,,225.399,93.854,174.412,95.949,127.179,95.97399999999999,71.243,97.681,241.797,97.944,215.308,98.244,84.105,98.806,220.104,105.711,251.025,105.815,36.58,106.774,200.002,107.088,262.015,107.198,101.26299999999999,108.835,213.64,111.348,172.71900000000002,110.249,57.477,111.068,246.988,113.98,48.873000000000005,118.874,20.662,166.472,28.223000000000003,169.192,57.213,169.84099999999998,91.215,173.81400000000002,65.708,179.055,48.013000000000005,142.649,58.118,144.425,242.71099999999998,144.116,28.471999999999998,144.766,89.052,144.394,76.928,152.445,42.473,151.394,258.33799999999997,152.006,265.09,152.535,199.829,151.971,275.517,151.52,14.136,153.955,57.178000000000004,158.15200000000002,89.28200000000001,156.83,22.206999999999997,159.036,43.912,161.297,228.453,160.975,100.448,160.69299999999998,181.22,66.67399999999999,205.89700000000002,68.984,190.53599999999997,69.554,199.097,70.46,122.454,79.944,204.02200000000002,83.353,219.40599999999998,85.594,76.227,89.43299999999999,109.38600000000001,88.83,187.528,87.53200000000001,85.46799999999999,91.251,140.363,94.79700000000001,190.90099999999998,41.658,134.661,40.946999999999996,174.921,40.713,197.447,46.776,212.166,44.79600000000001,185.388,48.8,175.146,57.04600000000001,92.97399999999999,61.336000000000006,123.77799999999999,59.76,195.435,61.934,,,,,,,,,,,,,,,,,,,,,,,,,,
345.25,1381.0,,218.11900000000003,120.20200000000001,229.285,121.494,182.25,122.331,268.70599999999996,123.23899999999999,52.528999999999996,125.111,40.745,128.096,49.435,129.47299999999998,254.095,132.069,175.385,133.938,211.36700000000002,134.436,263.903,133.257,76.92,136.026,62.794,137.41299999999998,268.755,137.577,184.766,139.173,215.57,140.903,231.50099999999998,140.209,78.572,141.61700000000002,225.408,93.81700000000001,174.44,95.979,127.181,96.00200000000001,71.265,97.67399999999999,241.78400000000002,97.964,215.32299999999998,98.25299999999999,84.11399999999999,98.822,220.122,105.706,250.98,105.844,36.57,106.792,200.032,107.113,262.038,107.197,101.26299999999999,108.845,213.637,111.35,172.71900000000002,110.29799999999999,57.474,111.054,246.97799999999998,113.98,48.887,118.87799999999999,20.625999999999998,166.459,28.226,169.17700000000002,57.187,169.84799999999998,91.206,173.832,65.681,179.08,48.0,142.718,58.123000000000005,144.434,242.701,144.102,28.463,144.768,89.061,144.387,76.931,152.444,42.477,151.401,258.346,151.998,265.04200000000003,152.47299999999998,199.861,151.97,275.475,151.488,14.109000000000002,153.98,57.167,158.15200000000002,89.28399999999999,156.836,22.164,159.039,43.918,161.296,228.375,160.959,100.477,160.694,181.19099999999997,66.672,205.885,68.984,190.532,69.557,199.095,70.461,122.366,80.086,204.018,83.339,219.41,85.601,76.225,89.45100000000001,109.39299999999999,88.837,187.535,87.53399999999999,85.48100000000001,91.25399999999999,140.385,94.824,190.89700000000002,41.651,134.692,40.931999999999995,174.955,40.677,197.34,46.84,212.048,44.986999999999995,185.385,48.836000000000006,175.123,57.056999999999995,92.95299999999999,61.358999999999995,123.775,59.75,195.39700000000002,61.997,,,,,,,,,,,,,,,,,,,,,,,,,,
345.5,1382.0,,218.054,120.197,229.274,121.476,182.205,122.18299999999999,268.682,123.215,52.505,125.16799999999999,40.736,128.101,49.461999999999996,129.499,254.084,132.072,175.416,133.946,211.34099999999998,134.44,263.937,133.256,76.917,136.039,62.785,137.39,268.762,137.616,184.74599999999998,139.2,215.56400000000002,140.9,231.55,140.214,78.568,141.631,225.43200000000002,93.773,174.445,95.995,127.178,96.02600000000001,71.267,97.69,241.763,97.944,215.328,98.25200000000001,84.09899999999999,98.85600000000001,220.093,105.714,250.99599999999998,105.84299999999999,36.533,106.777,200.05900000000003,107.139,261.985,107.18799999999999,101.26100000000001,108.836,213.65200000000002,111.336,172.695,110.24600000000001,57.471000000000004,111.057,246.96,113.986,48.846000000000004,118.869,20.613000000000003,166.50599999999997,28.229,169.171,57.198,169.856,91.22200000000001,173.838,65.653,179.12,47.981,142.738,58.128,144.436,242.703,144.08700000000002,28.449,144.72299999999998,89.052,144.384,76.937,152.453,42.489,151.398,258.347,151.996,265.04200000000003,152.429,199.798,151.959,275.61400000000003,151.502,14.103,154.00799999999998,57.16,158.155,89.303,156.849,22.156,159.092,43.953,161.293,228.399,160.957,100.469,160.666,181.174,66.661,205.892,68.967,190.498,69.585,199.127,70.438,122.314,80.152,203.99900000000002,83.331,219.405,85.615,76.22800000000001,89.45,109.414,88.81,187.53799999999998,87.538,85.48100000000001,91.24,140.351,94.891,190.90900000000002,41.637,134.687,40.963,174.918,40.663000000000004,197.315,46.853,212.136,44.858999999999995,185.39,48.806000000000004,175.071,57.023,92.95100000000001,61.38,123.775,59.758,195.42,61.93,,,,,,,,,,,,,,,,,,,,,,,,,,
345.75,1383.0,,218.05599999999998,120.208,229.269,121.45200000000001,182.183,122.113,268.676,123.21600000000001,52.528,125.162,40.741,128.10299999999998,49.471000000000004,129.529,254.082,132.086,175.40400000000002,133.946,211.372,134.439,263.904,133.25799999999998,76.888,136.034,62.792,137.377,268.765,137.634,184.764,139.17600000000002,215.55700000000002,140.906,231.51,140.241,78.57300000000001,141.64700000000002,225.44,93.704,174.49599999999998,96.02,127.176,96.053,71.257,97.699,241.736,97.91799999999999,215.34799999999998,98.251,84.102,98.87200000000001,220.085,105.708,250.97400000000002,105.852,36.513000000000005,106.83,200.076,107.154,262.05400000000003,107.164,101.27799999999999,108.839,213.611,111.34100000000001,172.713,110.25200000000001,57.538999999999994,111.024,246.954,113.988,48.766999999999996,118.89299999999999,20.607,166.486,28.226,169.171,57.201,169.83700000000002,91.22399999999999,173.822,65.62899999999999,179.165,47.978,142.741,58.126000000000005,144.44299999999998,242.667,144.102,28.433000000000003,144.715,89.039,144.387,76.945,152.458,42.481,151.414,258.361,151.976,265.043,152.389,199.813,151.958,275.593,151.49200000000002,14.123,153.998,57.158,158.165,89.307,156.885,22.148000000000003,159.07299999999998,43.951,161.292,228.416,160.95600000000002,100.464,160.66299999999998,181.16099999999997,66.65,205.905,68.957,190.47799999999998,69.543,199.097,70.426,122.28200000000001,80.158,204.005,83.322,219.403,85.62899999999999,76.21300000000001,89.441,109.434,88.779,187.49900000000002,87.501,85.47399999999999,91.241,140.29399999999998,94.91,190.872,41.586000000000006,134.648,40.939,174.937,40.655,197.291,46.868,212.146,44.803999999999995,185.325,48.781000000000006,175.123,57.011,92.95,61.361000000000004,123.785,59.738,195.422,61.856,,,,,,,,,,,,,,,,,,,,,,,,,,
