 ,X,Y
1,101.026,46.196
2,100.281,46.110
3,98.099,46.041
4,95.342,46.092
5,92.848,46.368
6,90.915,46.882
7,89.299,47.564
8,87.737,48.339
9,86.053,49.156
10,84.275,50.024
11,82.464,50.957
12,80.677,51.971
13,78.943,53.064
14,77.280,54.228
15,75.707,55.456
16,74.215,56.719
17,72.747,57.945
18,71.238,59.058
19,69.641,60.003
20,68.023,60.879
21,66.491,61.838
22,65.140,63.016
23,63.916,64.351
24,62.667,65.651
25,61.246,66.734
26,59.657,67.618
27,58.040,68.505
28,56.541,69.602
29,55.231,70.992
30,54.077,72.562
31,53.032,74.186
32,52.056,75.764
33,51.121,77.313
34,50.206,78.880
35,49.292,80.508
36,48.391,82.219
37,47.529,84.024
38,46.732,85.933
39,45.980,87.914
40,45.196,89.879
41,44.297,91.731
42,43.212,93.390
43,41.992,94.888
44,40.749,96.316
45,39.595,97.768
46,38.583,99.292
47,37.686,100.881
48,36.870,102.523
49,36.073,104.183
50,35.168,105.774
51,34.018,107.203
52,32.553,108.420
53,30.954,109.546
54,29.463,110.745
55,28.301,112.164
56,27.410,113.766
57,26.551,115.386
58,25.486,116.865
59,24.126,118.144
60,22.539,119.278
61,20.801,120.325
62,19.000,121.349
63,17.240,122.425
64,15.633,123.629
65,14.279,125.031
66,13.127,126.578
67,11.995,128.117
68,10.701,129.495
69,9.180,130.661
70,7.602,131.779
71,6.168,133.039
72,5.039,134.590
73,4.164,136.366
74,3.417,138.222
75,2.675,140.018
76,1.937,141.743
77,1.334,143.523
78,1.000,145.492
79,1.009,147.726
80,1.263,150.140
81,1.638,152.628
82,2.010,155.082
83,2.285,157.410
84,2.504,159.596
85,2.752,161.648
86,3.110,163.570
87,3.623,165.388
88,4.251,167.164
89,4.939,168.968
90,5.652,170.843
91,6.443,172.698
92,7.401,174.390
93,8.609,175.782
94,10.078,176.845
95,11.733,177.674
96,13.493,178.372
97,15.297,179.010
98,17.113,179.604
99,18.916,180.163
100,20.692,180.679
101,22.492,181.067
102,24.386,181.216
103,26.436,181.036
104,28.603,180.642
105,30.784,180.276
106,32.878,180.185
107,34.806,180.549
108,36.602,181.219
109,38.338,181.946
110,40.082,182.495
111,41.879,182.826
112,43.748,183.050
113,45.712,183.284
114,47.775,183.574
115,49.917,183.873
116,52.115,184.122
117,54.349,184.266
118,56.607,184.304
119,58.882,184.274
120,61.169,184.217
121,63.463,184.169
122,65.754,184.148
123,68.028,184.152
124,70.274,184.181
125,72.479,184.232
126,74.642,184.279
127,76.769,184.284
128,78.866,184.206
129,80.944,184.018
130,83.036,183.747
131,85.180,183.441
132,87.416,183.149
133,89.747,182.896
134,92.088,182.662
135,94.341,182.419
136,96.408,182.137
137,98.262,181.812
138,100.039,181.486
139,101.897,181.211
140,103.957,181.017
141,106.144,180.833
142,108.330,180.559
143,110.384,180.092
144,112.236,179.380
145,113.952,178.476
146,115.621,177.453
147,117.320,176.375
148,119.043,175.265
149,120.738,174.122
150,122.357,172.946
151,123.880,171.744
152,125.351,170.538
153,126.825,169.352
154,128.344,168.200
155,129.874,167.043
156,131.354,165.821
157,132.724,164.476
158,133.971,163.009
159,135.124,161.472
160,136.217,159.922
161,137.258,158.387
162,138.207,156.834
163,139.016,155.219
164,139.660,153.509
165,140.220,151.711
166,140.805,149.840
167,141.511,147.915
168,142.335,145.968
169,143.202,144.038
170,144.038,142.168
171,144.779,140.376
172,145.404,138.606
173,145.901,136.781
174,146.261,134.831
175,146.524,132.750
176,146.751,130.573
177,147.008,128.333
178,147.337,126.063
179,147.677,123.786
180,147.938,121.518
181,148.027,119.279
182,147.885,117.077
183,147.592,114.870
184,147.267,112.606
185,147.028,110.231
186,146.960,107.715
187,147.007,105.127
188,147.075,102.562
189,147.069,100.115
190,146.904,97.872
191,146.605,95.791
192,146.281,93.729
193,146.046,91.544
194,145.990,89.120
195,146.057,86.529
196,146.137,83.915
197,146.116,81.424
198,145.887,79.197
199,145.413,77.267
200,144.735,75.555
201,143.898,73.975
202,142.958,72.444
203,141.988,70.900
204,141.068,69.277
205,140.247,67.537
206,139.441,65.742
207,138.528,63.985
208,137.391,62.354
209,136.025,60.871
210,134.529,59.493
211,133.004,58.177
212,131.525,56.893
213,130.059,55.667
214,128.546,54.539
215,126.929,53.545
216,125.207,52.661
217,123.410,51.827
218,121.568,50.983
219,119.724,50.098
220,117.944,49.205
221,116.296,48.341
222,114.811,47.548
223,113.253,46.874
224,111.277,46.369
225,108.560,46.082
226,105.325,46.000
227,102.333,46.047
228,100.371,46.143
229,100.201,46.210
230,101.026,46.196
