TimesH,Frame,NoMissing,6,6,16,16,21,21,23,23,39,39,42,42,45,45,46,46,48,48,55,55,58,58,65,65,66,66,70,70,75,75,108,108,112,112,116,116,222,222,240,240,242,242,243,243,245,245,246,246,256,256,262,262,264,264,266,266,274,274,279,279,281,281,284,284,287,287,288,288,291,291,296,296,303,303,304,304,311,311,312,312,313,313,316,316,321,321,323,323,339,339,342,342,346,346,348,348,350,350,351,351,354,354,356,356,362,362,366,366,367,367,368,368,373,373,377,377,380,380,382,382,383,383,398,398,401,401,402,402,403,403,404,404,408,408,409,409,412,412,413,413,416,416,422,422,428,428,431,431,433,433,434,434,438,438,439,439,444,444,446,446,450,450,451,451,454,454,455,455,462,462,472,472,501,501,506,506,507,507,512,512,522,522,523,523,524,524,540,540,543,543,564,564,572,572,600,600,800,800,834,834,926,926,1226,1226,1470,1470,1492,1492
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,219.873,43.681999999999995,223.99900000000002,50.93899999999999,152.92,53.129,131.099,51.891999999999996,231.68599999999998,57.176,210.687,55.802,113.007,62.772,143.045,62.315,159.069,61.43899999999999,92.709,63.895,222.398,68.98899999999999,270.573,64.893,133.149,72.393,88.93299999999999,70.456,200.398,73.443,85.587,81.604,256.405,85.95,264.1,85.029,146.433,35.935,87.277,130.925,287.282,130.02100000000002,271.856,129.668,153.439,129.094,139.43200000000002,129.494,141.984,136.708,41.74100000000001,134.334,294.293,136.795,186.59,137.381,300.006,139.203,309.44,144.366,198.45,143.865,39.275999999999996,142.086,153.60399999999998,145.764,133.41,145.981,143.517,144.496,51.482,149.279,,,161.623,150.792,37.346,152.486,311.144,152.411,273.693,151.629,42.713,157.914,145.224,154.817,284.11,159.416,86.823,163.515,326.16900000000004,162.505,289.27,166.204,212.41099999999997,166.15099999999998,149.812,166.217,141.816,166.204,52.181999999999995,167.66299999999998,318.921,167.017,150.961,87.89299999999999,224.65099999999998,86.90799999999999,249.707,90.822,167.68599999999998,91.60799999999999,215.06400000000002,88.605,72.141,93.639,80.05199999999999,92.095,192.412,97.02600000000001,139.8,96.52,164.595,100.024,152.89700000000002,99.315,122.964,98.9,224.75,103.053,197.168,103.132,208.543,102.22399999999999,100.33,102.459,248.082,104.712,60.225,104.96700000000001,146.774,104.147,126.573,107.964,136.615,111.288,211.572,109.90100000000001,105.811,109.696,40.811,113.36,113.40799999999999,112.09,69.827,111.765,190.43200000000002,115.432,148.02100000000002,114.18700000000001,273.27,118.16,100.979,117.542,209.292,116.944,142.076,116.57799999999999,167.767,119.70100000000001,194.63400000000001,122.426,201.747,171.47099999999998,43.14,168.99099999999999,31.505,172.71099999999998,278.779,170.832,44.455,179.05200000000002,206.22299999999998,178.114,145.332,177.8,137.541,183.257,130.942,181.67,131.622,193.328,124.416,194.895,126.84100000000001,204.674,,,,,,,,,,,,
0.25,1.0,,219.886,43.75,223.91400000000002,50.893,152.928,53.078,131.083,51.87,231.593,57.12,210.709,55.812,113.02799999999999,62.778999999999996,143.037,62.306999999999995,159.10399999999998,61.431000000000004,92.7,63.885,222.4,68.984,270.582,64.87899999999999,133.132,72.41199999999999,88.913,70.453,200.378,73.406,85.59,81.596,256.395,85.95299999999999,264.116,85.02799999999999,146.409,35.965,87.274,130.987,287.118,129.94,271.822,129.661,153.446,129.064,139.38299999999998,129.442,141.958,136.762,41.743,134.334,294.309,136.765,186.544,137.43200000000002,299.982,139.175,309.482,144.343,198.517,143.969,39.268,142.053,153.576,145.789,133.38299999999998,145.95600000000002,143.566,144.468,51.355,149.336,208.99,151.213,161.674,150.844,37.384,152.47899999999998,311.008,152.535,273.653,151.642,42.708999999999996,157.921,145.221,154.79,284.093,159.369,87.01299999999999,163.442,326.156,162.506,289.288,166.118,212.408,166.047,149.799,166.22799999999998,141.786,166.218,52.199,167.673,318.909,167.021,150.94799999999998,87.86200000000001,224.69099999999997,86.89,249.735,90.801,167.715,91.564,215.049,88.637,72.133,93.617,80.04899999999999,92.09299999999999,192.43,97.042,139.80100000000002,96.551,164.615,100.005,152.898,99.281,122.931,98.964,224.77200000000002,103.05799999999999,197.18200000000002,103.17399999999999,208.533,102.228,100.325,102.429,248.078,104.679,60.239,104.96600000000001,146.751,104.134,126.624,107.915,136.695,111.21799999999999,211.56900000000002,109.90100000000001,105.79700000000001,109.714,40.838,113.34100000000001,113.406,112.07799999999999,69.836,111.76100000000001,190.446,115.33200000000001,148.009,114.15100000000001,273.254,118.125,100.971,117.542,209.301,116.946,142.053,116.59299999999999,167.68599999999998,119.62100000000001,194.642,122.41799999999999,201.755,171.49099999999999,43.16,168.988,31.486,172.645,278.763,170.842,44.483999999999995,179.082,206.183,177.90599999999998,145.335,177.81599999999997,137.53799999999998,183.239,130.917,181.675,131.605,193.35299999999998,124.425,194.878,126.83200000000001,204.638,,,,,,,,,,,,
0.5,2.0,,219.81599999999997,43.726000000000006,223.91,50.852,152.931,53.093,131.065,51.883,231.695,57.156000000000006,210.671,55.777,112.992,62.798,143.018,62.301,159.072,61.413000000000004,92.712,63.887,222.36900000000003,69.0,270.613,64.848,133.127,72.39,88.902,70.44,200.359,73.392,85.60700000000001,81.595,256.368,85.944,264.133,85.005,146.38299999999998,35.946999999999996,87.259,130.963,287.134,129.995,271.789,129.666,153.388,129.111,139.366,129.43200000000002,141.94799999999998,136.586,41.744,134.35,294.308,136.721,186.575,137.42600000000002,300.004,139.181,309.496,144.395,198.489,143.944,39.263000000000005,142.018,153.55,145.77100000000002,133.378,145.92700000000002,143.737,144.536,51.42100000000001,149.239,208.984,151.216,161.674,150.871,37.367,152.48,311.04,152.536,273.687,151.613,42.666000000000004,157.938,145.217,154.80100000000002,284.065,159.387,87.06200000000001,163.35399999999998,326.176,162.47799999999998,289.23900000000003,166.113,212.365,166.053,149.793,166.227,141.756,166.24200000000002,52.206,167.685,318.923,167.06400000000002,150.94299999999998,87.823,224.71599999999998,86.895,249.71400000000003,90.777,167.493,91.521,215.05,88.649,72.149,93.603,80.03,92.06299999999999,192.393,97.041,139.80100000000002,96.568,164.62,99.991,152.866,99.24799999999999,122.958,98.946,224.74599999999998,103.04,197.172,103.2,208.50900000000001,102.24600000000001,100.32700000000001,102.411,248.071,104.73700000000001,60.239,104.946,146.746,104.124,126.69200000000001,107.93,136.691,111.132,211.576,109.9,105.77600000000001,109.68700000000001,40.933,113.2,113.405,112.086,69.81,111.757,190.429,115.306,148.005,114.12799999999999,273.204,118.139,100.97399999999999,117.538,209.303,116.932,142.05100000000002,116.59100000000001,167.67,119.585,194.632,122.431,201.745,171.49900000000002,43.16,169.005,31.498,172.743,278.759,170.834,44.486999999999995,179.077,206.25599999999997,177.78799999999998,145.334,177.833,137.558,183.19799999999998,130.91,181.669,131.565,193.345,124.387,194.872,126.84899999999999,204.62400000000002,,,,,,,,,,,,
0.75,3.0,,219.855,43.755,223.827,50.731,152.901,53.076,131.036,51.871,231.421,56.909,210.528,55.68,112.98100000000001,62.806000000000004,143.02100000000002,62.287,159.154,61.263999999999996,92.715,63.881,222.399,68.98100000000001,270.625,64.831,133.137,72.369,88.895,70.418,200.38099999999997,73.404,85.605,81.577,256.355,85.93700000000001,264.118,85.0,146.333,35.964,87.28,130.937,287.12,129.876,271.783,129.704,153.451,129.10299999999998,139.349,129.425,142.067,136.389,41.758,134.35299999999998,294.302,136.697,186.625,137.429,300.004,139.178,309.483,144.31,198.497,143.993,39.269,142.024,153.55700000000002,145.75799999999998,133.39600000000002,145.947,143.792,144.517,51.486999999999995,149.27100000000002,208.958,151.15,161.641,150.806,37.452,152.485,311.022,152.541,273.714,151.59799999999998,42.661,157.941,145.203,154.793,284.066,159.33,87.04799999999999,163.322,326.191,162.421,289.199,166.062,212.34400000000002,166.021,149.809,166.225,141.744,166.248,52.211000000000006,167.68400000000003,318.953,167.05700000000002,150.94299999999998,87.823,224.77,86.807,249.72400000000002,90.762,167.618,91.47399999999999,215.046,88.66,72.157,93.602,80.04,92.03399999999999,192.368,97.014,139.835,96.552,164.62,99.98200000000001,152.865,99.26899999999999,122.867,99.056,224.74099999999999,103.02600000000001,197.167,103.179,208.55,102.23299999999999,100.315,102.395,248.053,104.756,60.236000000000004,104.95,146.713,104.145,126.691,107.93299999999999,136.722,111.13600000000001,211.57299999999998,109.889,105.73700000000001,109.654,40.888000000000005,113.211,113.428,112.089,69.786,111.75200000000001,190.429,115.291,148.014,114.15299999999999,273.19599999999997,118.116,100.985,117.55,209.296,116.919,142.054,116.564,167.675,119.53399999999999,194.63,122.411,201.718,171.614,43.152,169.002,31.479,172.68099999999998,278.77299999999997,170.85299999999998,44.486000000000004,179.06799999999998,206.405,177.78799999999998,145.341,177.847,137.586,183.15099999999998,130.881,181.65400000000002,131.49200000000002,193.31900000000002,124.359,194.865,126.81,204.595,,,,,,,,,,,,
1.0,4.0,,219.83599999999998,43.798,224.011,50.758,152.92,52.986999999999995,131.047,51.883,231.545,57.081,210.547,55.677,112.977,62.803999999999995,143.025,62.263999999999996,159.13,61.233999999999995,92.726,63.883,222.395,68.971,270.634,64.839,133.139,72.35,88.88799999999999,70.407,200.37599999999998,73.388,85.59,81.585,256.344,85.93299999999999,264.127,84.99600000000001,146.313,35.900999999999996,87.212,130.819,287.14799999999997,129.907,271.777,129.707,153.50799999999998,129.071,139.358,129.453,142.058,136.374,41.787,134.375,294.31,136.673,186.63099999999997,137.437,299.982,139.183,309.474,144.317,198.455,143.954,39.27,142.014,153.558,145.748,133.401,145.959,143.717,144.547,51.488,149.148,209.02200000000002,151.053,161.657,150.839,37.431,152.493,311.098,152.459,273.67900000000003,151.58700000000002,42.645,157.942,145.194,154.791,284.11400000000003,159.278,86.99600000000001,163.411,326.19,162.47,289.156,166.08599999999998,212.304,165.99099999999999,149.816,166.21900000000002,141.739,166.22,52.218,167.68200000000002,318.947,167.055,150.89600000000002,87.68,224.8,86.791,249.763,90.734,167.632,91.425,215.03400000000002,88.67,72.128,93.57799999999999,80.029,92.021,192.368,96.994,139.859,96.57,164.612,99.97,152.866,99.234,122.874,99.083,224.75799999999998,103.03200000000001,197.165,103.20200000000001,208.56,102.251,100.321,102.38,248.093,104.70700000000001,60.24100000000001,104.95200000000001,146.785,104.119,126.73299999999999,107.955,136.746,111.11399999999999,211.576,109.895,105.75299999999999,109.655,41.016000000000005,113.154,113.43700000000001,112.095,69.796,111.75399999999999,190.426,115.26899999999999,147.982,114.118,273.204,118.11,100.96600000000001,117.54700000000001,209.28900000000002,116.906,142.061,116.54899999999999,167.74,119.585,194.613,122.404,201.769,171.535,43.141000000000005,168.99400000000003,31.5,172.69299999999998,278.801,170.827,44.486999999999995,179.067,206.271,177.885,145.344,177.85,137.57,183.122,130.836,181.644,131.501,193.335,124.34100000000001,194.838,126.811,204.546,,,,,,,,,,,,
1.25,5.0,,219.82299999999998,43.703,224.067,50.775,152.933,52.898,131.06799999999998,51.88,231.41,56.839,210.518,55.589,112.935,62.812,143.02,62.254,159.111,61.137,92.721,63.87,222.378,68.96,270.652,64.843,133.118,72.355,88.906,70.39399999999999,200.351,73.361,85.587,81.586,256.341,85.889,264.12,84.995,146.305,35.89,87.204,130.834,287.194,129.858,271.778,129.739,153.506,129.018,139.387,129.437,142.023,136.428,41.793,134.39,294.312,136.69299999999998,186.59099999999998,137.43200000000002,299.974,139.161,309.457,144.3,198.46099999999998,143.887,39.253,141.991,153.638,145.814,133.381,145.94,143.61,144.502,51.448,149.159,208.97099999999998,151.048,161.63299999999998,150.764,37.467,152.495,311.138,152.46200000000002,273.70099999999996,151.583,42.641000000000005,157.938,145.185,154.773,284.132,159.287,87.059,163.357,326.23,162.441,289.20099999999996,166.044,212.30700000000002,165.99200000000002,149.822,166.226,141.734,166.188,52.227,167.69299999999998,318.904,167.108,150.878,87.669,224.88,86.71700000000001,249.763,90.755,167.735,91.36200000000001,215.019,88.65700000000001,72.126,93.586,80.027,91.988,192.343,97.03399999999999,139.822,96.571,164.62099999999998,99.961,152.877,99.189,122.807,99.155,224.74099999999999,103.007,197.172,103.196,208.58700000000002,102.25200000000001,100.319,102.385,248.08700000000002,104.624,60.244,104.962,146.764,104.13600000000001,126.764,107.97200000000001,136.763,111.134,211.555,109.88,105.70200000000001,109.646,41.163000000000004,113.219,113.444,112.096,69.774,111.73200000000001,190.43099999999998,115.242,147.96,114.04299999999999,273.218,118.09100000000001,100.975,117.52799999999999,209.278,116.90100000000001,142.061,116.56,167.75099999999998,119.589,194.62,122.397,201.745,171.583,43.108000000000004,168.977,31.44,172.44799999999998,278.817,170.77200000000002,44.483000000000004,179.058,206.229,177.799,145.346,177.847,137.589,183.08700000000002,130.811,181.628,131.497,193.33900000000003,124.335,194.847,126.844,204.49,,,,,,,,,,,,
1.5,6.0,,219.845,43.669,224.044,50.73,152.938,52.886,131.063,51.867,231.305,56.783,210.52599999999998,55.598,112.912,62.839,143.02700000000002,62.25,159.109,61.076,92.74,63.88,222.388,68.95100000000001,270.60400000000004,64.835,133.111,72.33800000000001,88.883,70.37100000000001,200.34900000000002,73.36,85.579,81.587,256.329,85.884,264.12,84.96,146.363,35.929,87.18,130.814,287.295,129.874,271.765,129.702,153.457,129.04399999999998,139.39700000000002,129.43200000000002,142.04399999999998,136.46200000000002,41.793,134.399,294.301,136.638,186.632,137.472,299.968,139.161,309.434,144.297,198.517,143.921,39.257,142.002,153.63,145.812,133.387,145.898,143.741,144.559,51.431999999999995,149.14,208.99099999999999,151.041,161.653,150.764,37.501,152.484,311.117,152.376,273.73400000000004,151.57,42.622,157.942,145.186,154.775,284.116,159.275,87.13,163.245,326.26099999999997,162.485,289.19599999999997,166.076,212.35299999999998,165.987,149.82399999999998,166.217,141.714,166.203,52.236000000000004,167.692,318.895,167.109,150.874,87.619,224.905,86.75299999999999,249.783,90.77,167.979,91.27799999999999,215.014,88.671,72.125,93.584,80.03399999999999,91.99799999999999,192.364,97.02799999999999,139.841,96.51899999999999,164.61599999999999,99.949,152.892,99.139,122.86200000000001,99.087,224.745,102.994,197.17,103.215,208.585,102.24799999999999,100.309,102.367,248.044,104.59200000000001,60.25,104.962,146.78,104.14399999999999,126.758,107.93299999999999,136.671,111.139,211.56099999999998,109.876,105.70700000000001,109.633,41.255,113.26299999999999,113.43700000000001,112.096,69.789,111.728,190.407,115.206,147.92,113.958,273.274,118.055,100.985,117.507,209.257,116.9,142.039,116.54799999999999,167.66,119.505,194.608,122.389,201.75400000000002,171.59599999999998,43.118,168.96599999999998,31.414,172.388,278.87,170.75799999999998,44.477,179.046,206.03099999999998,177.75400000000002,145.372,177.82299999999998,137.591,183.06,130.774,181.58599999999998,131.511,193.328,124.368,194.845,126.89,204.41299999999998,75.557,162.773,,,,,,,,,,
1.75,7.0,,219.832,43.67,224.143,50.735,152.94,52.875,131.07299999999998,51.886,231.168,56.77,210.48,55.692,112.963,62.795,143.02200000000002,62.244,159.204,61.011,92.736,63.883,222.392,68.954,270.629,64.855,133.124,72.318,88.87899999999999,70.352,200.355,73.34,85.58200000000001,81.596,256.318,85.86399999999999,264.119,84.95700000000001,146.36700000000002,35.921,87.103,130.808,287.187,129.715,271.762,129.655,153.53,129.001,139.404,129.43200000000002,142.006,136.39,41.806999999999995,134.388,294.293,136.6,186.65599999999998,137.42700000000002,299.961,139.16299999999998,309.45,144.264,198.46599999999998,143.842,39.24,141.968,153.59,145.74,133.409,145.906,143.626,144.502,51.468,149.214,209.002,151.113,161.615,150.786,37.494,152.49,311.171,152.297,273.645,151.60299999999998,42.622,157.942,145.201,154.763,284.13,159.218,87.161,163.238,326.214,162.42700000000002,289.258,166.005,212.407,165.981,149.825,166.22400000000002,141.68200000000002,166.209,52.239,167.695,318.92,167.09099999999998,150.892,87.632,224.865,86.851,249.791,90.764,168.042,91.306,214.99099999999999,88.677,72.149,93.59,80.021,92.001,192.356,97.053,139.87,96.521,164.60299999999998,99.91799999999999,152.915,99.089,122.861,99.163,224.761,102.98899999999999,197.165,103.22,208.58599999999998,102.235,100.324,102.37100000000001,248.025,104.639,60.24,104.94200000000001,146.792,104.146,126.771,107.876,136.67600000000002,111.15700000000001,211.57,109.87799999999999,105.70299999999999,109.59700000000001,41.172,113.44200000000001,113.445,112.096,69.821,111.708,190.40099999999998,115.20299999999999,147.909,113.927,273.23,118.04,100.99799999999999,117.506,209.261,116.89399999999999,142.03799999999998,116.54,167.62900000000002,119.492,194.62900000000002,122.37799999999999,201.813,171.512,43.119,168.97400000000002,31.433000000000003,172.424,278.881,170.733,44.476000000000006,179.037,206.207,177.595,145.375,177.80599999999998,137.57,183.028,130.761,181.576,131.484,193.30599999999998,124.31700000000001,194.84400000000002,126.89,204.442,75.752,162.469,,,,,,,,,,
