TimesH,Frame,NoMissing,50,50,70,70,75,75,113,113,114,114,118,118,120,120,136,136,137,137,140,140,146,146,160,160,161,161,162,162,169,169,206,206,228,228,230,230,236,236,244,244,245,245,246,246,251,251,253,253,254,254,255,255,259,259,268,268,270,270,274,274,277,277,280,280,281,281,288,288,289,289,290,290,294,294,304,304,307,307,308,308,310,310,311,311,312,312,317,317,319,319,325,325,333,333,336,336,337,337,338,338,339,339,343,343,344,344,347,347,354,354,358,358,359,359,363,363,365,365,371,371,372,372,375,375,377,377,378,378,381,381,388,388,397,397,405,405,412,412,413,413,416,416,418,418,419,419,421,421,422,422,426,426,427,427,428,428,431,431,437,437,438,438,443,443,444,444,457,457,462,462,463,463,472,472,473,473,480,480,484,484,485,485,486,486,501,501,729,729,733,733,782,782,999,999,1096,1096,1149,1149,1300,1300
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
173.75,695.0,,124.85799999999999,195.87400000000002,303.82,178.91099999999997,128.47299999999998,183.48,149.535,56.133,98.499,57.59,217.729,53.974,163.60299999999998,53.614,158.372,45.773,137.17600000000002,46.433,258.732,70.339,123.801,71.307,94.508,64.59100000000001,228.24200000000002,64.48899999999999,274.363,64.321,127.31299999999999,62.928999999999995,227.75,42.038999999999994,151.945,31.094,117.66,31.67,193.78900000000002,109.064,143.224,106.882,117.27799999999999,105.56299999999999,201.12,105.921,207.13299999999998,102.944,157.517,102.12799999999999,73.84100000000001,104.94,223.52599999999998,104.92,251.33599999999998,99.936,158.359,122.978,171.03799999999998,127.054,235.15099999999998,121.11399999999999,90.068,123.111,144.046,122.20200000000001,196.601,115.867,302.159,117.056,276.999,116.85799999999999,212.054,110.62299999999999,154.879,113.016,77.185,86.865,260.627,81.95,229.83700000000002,80.969,268.58,83.17299999999999,220.554,84.124,125.58200000000001,82.553,218.044,76.83,170.956,80.945,208.01,72.029,168.75599999999997,97.50200000000001,230.625,98.75,201.605,97.958,65.607,99.09700000000001,153.033,95.21700000000001,103.932,95.315,211.998,96.28,206.627,91.15299999999999,169.048,89.493,240.541,88.516,198.111,90.413,328.582,161.045,45.31100000000001,160.84799999999998,141.987,158.645,214.696,158.545,313.199,160.41299999999998,150.332,160.203,53.985,160.387,287.233,157.286,25.385,151.688,136.965,174.71,143.489,170.551,318.763,167.046,148.244,167.882,308.149,169.02,200.53,165.86599999999999,135.238,164.74599999999998,53.978,167.062,34.124,167.18599999999998,44.846000000000004,137.02200000000002,169.787,137.064,302.53,135.92,201.34599999999998,140.326,287.96299999999997,135.96200000000002,295.277,136.018,188.172,128.97299999999998,288.357,128.74200000000002,275.728,149.67700000000002,323.73900000000003,150.80100000000002,44.36600000000001,150.53799999999998,302.095,144.384,310.783,143.774,135.10299999999998,140.967,281.243,142.49200000000002,55.218999999999994,143.444,318.091,143.45,62.056000000000004,125.10799999999999,,,,,,,,,,,,,,
174.0,696.0,,124.876,195.875,303.855,178.907,128.482,183.465,149.534,56.111999999999995,98.50299999999999,57.617,217.735,53.928000000000004,163.601,53.622,158.356,45.769,137.214,46.418,258.64799999999997,70.313,123.805,71.318,94.53,64.646,228.236,64.47800000000001,274.39599999999996,64.359,127.348,62.913999999999994,227.763,42.05,151.963,31.096,117.696,31.568,193.799,109.03399999999999,143.226,106.821,117.28,105.579,201.118,105.76100000000001,207.143,102.90700000000001,157.52,102.11,73.84,104.964,223.572,104.90700000000001,251.386,99.87700000000001,158.369,122.98,171.209,127.096,235.028,121.11200000000001,90.083,123.12100000000001,144.093,122.21700000000001,196.542,115.885,302.217,117.012,277.0,116.759,212.05,110.603,154.879,112.978,77.158,86.86399999999999,260.621,81.958,229.845,80.962,268.57599999999996,83.156,220.516,84.115,125.554,82.559,218.03099999999998,76.805,170.97799999999998,81.057,208.024,72.02,168.778,97.39399999999999,230.595,98.751,201.611,97.919,65.611,99.09200000000001,153.049,95.198,103.947,95.31700000000001,211.972,96.292,206.623,91.027,169.093,89.51799999999999,240.516,88.47200000000001,198.088,90.374,328.55199999999996,161.088,45.294,160.846,141.957,158.665,214.678,158.537,313.226,160.392,150.316,160.213,53.99,160.378,287.295,157.289,25.430999999999997,151.751,136.981,174.739,143.505,170.53,318.777,167.02700000000002,148.234,167.875,308.153,169.035,200.555,165.873,135.217,164.77599999999998,53.971000000000004,167.08599999999998,34.145,167.185,44.853,137.029,169.82299999999998,137.102,302.56,135.903,201.36599999999999,140.34,287.971,135.961,295.415,135.964,188.229,128.871,288.445,128.737,275.723,149.675,323.699,150.707,44.394,150.517,302.07599999999996,144.314,310.829,143.796,135.069,140.92700000000002,281.216,142.477,55.211999999999996,143.42,318.149,143.436,62.031000000000006,125.18,,,,,,,,,,,,,,
174.25,697.0,,124.895,195.912,303.843,178.889,128.474,183.46099999999998,149.56799999999998,56.123000000000005,98.527,57.638000000000005,217.74900000000002,53.86600000000001,163.582,53.617,158.372,45.751999999999995,137.191,46.41,258.534,70.279,123.804,71.296,94.49,64.653,228.25400000000002,64.477,274.426,64.365,127.324,62.917,227.74900000000002,42.027,151.968,31.076,117.697,31.628,193.767,108.975,143.16299999999998,106.758,117.311,105.555,201.13299999999998,105.71600000000001,207.145,102.89399999999999,157.528,102.061,73.873,104.915,223.555,104.929,251.363,99.802,158.372,122.962,171.22400000000002,127.04899999999999,235.02900000000002,121.02799999999999,90.09200000000001,123.095,144.066,122.21700000000001,196.49400000000003,115.92200000000001,302.237,116.91799999999999,276.925,116.825,212.044,110.617,154.88299999999998,112.945,77.157,86.855,260.631,81.95100000000001,229.842,80.957,268.49,83.166,220.472,84.104,125.57799999999999,82.565,218.033,76.786,170.93,81.015,208.012,71.98,168.762,97.49,230.53400000000002,98.73200000000001,201.60299999999998,97.911,65.617,99.095,153.05700000000002,95.17200000000001,103.96799999999999,95.29799999999999,211.96200000000002,96.281,206.632,90.963,169.143,89.50399999999999,240.545,88.499,198.09900000000002,90.375,328.566,161.07,45.312,160.83,141.945,158.684,214.71599999999998,158.53,313.26,160.418,150.329,160.232,53.95,160.35299999999998,287.32599999999996,157.287,25.44,151.934,137.002,174.674,143.515,170.516,318.765,167.037,148.224,167.843,308.168,169.049,200.583,165.891,135.251,164.77599999999998,53.99,167.093,34.165,167.149,44.854,137.007,169.9,137.12,302.488,135.839,201.458,140.33,287.978,135.952,295.487,135.969,188.294,128.809,288.369,128.709,275.658,149.63299999999998,323.705,150.724,44.405,150.502,302.067,144.253,310.813,143.756,135.132,140.933,281.175,142.645,55.242,143.40200000000002,318.289,143.321,61.997,125.355,,,,,,,,,,,,,,
174.5,698.0,,124.93799999999999,195.90900000000002,303.889,178.861,128.5,183.47299999999998,149.562,56.136,98.542,57.65,217.707,53.845,163.583,53.608000000000004,158.476,45.751999999999995,137.215,46.413000000000004,258.618,70.253,123.811,71.277,94.478,64.66,228.25900000000001,64.459,274.422,64.317,127.304,62.937,227.748,42.032,151.985,31.07,117.694,31.508000000000003,193.778,108.98299999999999,143.21200000000002,106.764,117.3,105.545,201.09799999999998,105.67299999999999,207.153,102.88799999999999,157.53,102.05799999999999,73.915,104.89200000000001,223.553,105.056,251.391,99.779,158.39600000000002,122.94200000000001,171.287,126.978,235.03,121.00399999999999,90.09899999999999,123.087,144.04399999999998,122.171,196.43599999999998,115.90700000000001,302.293,116.73299999999999,276.881,116.73200000000001,212.02700000000002,110.598,154.899,112.929,77.153,86.835,260.61,81.929,229.85,80.962,268.518,83.14,220.454,84.083,125.596,82.598,218.032,76.76899999999999,170.912,81.006,208.011,71.928,168.734,97.421,230.446,98.697,201.59400000000002,97.904,65.623,99.075,153.082,95.155,103.965,95.27600000000001,211.94,96.281,206.612,90.792,169.13099999999997,89.48899999999999,240.567,88.51799999999999,198.09099999999998,90.37,328.57199999999995,161.023,45.318000000000005,160.82,141.944,158.667,214.708,158.504,313.187,160.392,150.374,160.267,53.951,160.357,287.368,157.275,25.426,151.951,137.043,174.69299999999998,143.471,170.50099999999998,318.745,167.033,148.19799999999998,167.896,308.16,169.019,200.605,165.93,135.29,164.769,53.998999999999995,167.09400000000002,34.046,167.136,44.861999999999995,137.001,169.924,137.16,302.493,135.817,201.49400000000003,140.325,287.975,135.975,295.374,135.97,188.33599999999998,128.808,288.349,128.707,275.725,149.64600000000002,323.79200000000003,150.781,44.431999999999995,150.487,302.02,144.265,310.83099999999996,143.761,135.11700000000002,140.886,281.171,142.731,55.224,143.415,318.383,143.225,62.108000000000004,125.39299999999999,,,,,,,,,,,,,,
174.75,699.0,,124.92200000000001,195.96,303.944,178.843,128.523,183.47400000000002,149.536,56.119,98.583,57.667,217.68400000000003,53.869,163.561,53.59,158.483,45.762,137.209,46.348,258.59,70.296,123.815,71.292,94.445,64.672,228.238,64.434,274.421,64.324,127.26799999999999,62.96,227.72799999999998,42.041000000000004,151.988,31.076,117.546,31.474,193.774,108.95700000000001,143.20600000000002,106.758,117.292,105.53399999999999,201.078,105.684,207.155,102.85700000000001,157.553,102.059,73.959,104.90299999999999,223.543,105.065,251.36599999999999,99.73299999999999,158.407,122.90700000000001,171.299,127.044,235.00099999999998,121.06200000000001,90.09200000000001,123.102,144.023,122.15100000000001,196.486,115.87100000000001,302.246,116.78299999999999,276.871,116.709,212.03900000000002,110.583,154.901,112.919,77.141,86.802,260.522,81.862,229.852,80.975,268.591,83.12899999999999,220.422,84.074,125.639,82.59899999999999,218.023,76.74600000000001,170.896,80.998,208.014,71.931,168.713,97.329,230.33900000000003,98.669,201.601,97.927,65.617,99.071,153.10299999999998,95.124,103.949,95.25200000000001,211.928,96.26700000000001,206.607,90.868,169.165,89.476,240.593,88.385,198.067,90.359,328.525,161.03,45.355,160.822,141.953,158.637,214.80700000000002,158.537,313.223,160.406,150.299,160.27100000000002,53.979,160.36700000000002,287.36,157.267,25.3,151.94799999999998,137.049,174.688,143.526,170.51,318.726,167.016,148.204,167.888,308.163,169.013,200.638,165.96900000000002,135.387,164.77599999999998,53.986999999999995,167.06,34.196,167.18099999999998,44.86600000000001,137.02200000000002,169.835,137.137,302.454,135.785,201.49900000000002,140.327,287.97700000000003,135.987,295.41200000000003,135.917,188.385,128.781,288.373,128.725,275.74,149.656,323.778,150.79399999999998,44.512,150.528,301.973,144.241,310.814,143.74200000000002,135.106,140.855,281.18,142.679,55.32,143.359,318.23400000000004,143.291,62.382,125.686,,,,,,,,,,,,,,
175.0,700.0,,124.92399999999999,195.97299999999998,303.98,178.815,128.45600000000002,183.46,149.543,56.12,98.602,57.681999999999995,217.705,53.818000000000005,163.569,53.567,158.532,45.673,137.22899999999998,46.346000000000004,258.60900000000004,70.343,123.809,71.30199999999999,94.431,64.634,228.257,64.418,274.44,64.319,127.31,62.943999999999996,227.72099999999998,42.041000000000004,151.995,31.065,117.48700000000001,31.59,193.792,108.929,143.143,106.681,117.291,105.516,201.123,105.723,207.16099999999997,102.836,157.56799999999998,102.007,73.878,104.91,223.562,105.01899999999999,251.34099999999998,99.71,158.387,122.92200000000001,171.285,127.038,235.018,121.01799999999999,90.06700000000001,123.12100000000001,144.034,122.12100000000001,196.489,115.845,302.268,116.699,276.856,116.463,212.041,110.594,154.899,112.90100000000001,77.142,86.795,260.436,81.814,229.845,80.97800000000001,268.64099999999996,83.145,220.382,84.065,125.664,82.604,218.002,76.72,170.91,80.959,208.02,71.919,168.71599999999998,97.30799999999999,230.294,98.65100000000001,201.601,97.88600000000001,65.619,99.084,153.118,95.113,103.959,95.2,211.924,96.24,206.601,90.71799999999999,169.25400000000002,89.48899999999999,240.636,88.329,198.05,90.348,328.504,161.076,45.351000000000006,160.838,141.99,158.539,214.75900000000001,158.514,313.212,160.42,150.27700000000002,160.255,53.99100000000001,160.364,287.366,157.225,25.318,152.112,137.04399999999998,174.673,143.52,170.513,318.767,167.04,148.187,167.88400000000001,308.16900000000004,169.01,200.78599999999997,165.979,135.421,164.769,53.986999999999995,167.076,34.176,167.172,44.87,137.023,169.78,137.116,302.43,135.769,201.49900000000002,140.32299999999998,287.938,136.02,295.309,135.97799999999998,188.43099999999998,128.714,288.38,128.689,275.664,149.613,323.777,150.842,44.417,150.489,302.002,144.22299999999998,310.818,143.735,135.114,140.858,281.133,142.749,55.326,143.292,318.207,143.335,,,,,,,,,,,,,,,,
175.25,701.0,,124.919,196.00099999999998,303.98400000000004,178.8,128.503,183.47400000000002,149.547,56.126000000000005,98.60600000000001,57.688,217.65200000000002,53.795,163.575,53.622,158.566,45.66,137.19899999999998,46.325,258.653,70.29,123.792,71.29,94.445,64.656,228.265,64.415,274.373,64.308,127.265,62.983999999999995,227.72099999999998,42.043,152.0,31.075,117.66,31.614,193.812,108.92299999999999,143.095,106.589,117.29,105.50399999999999,201.15599999999998,105.945,207.167,102.845,157.612,101.976,73.852,104.86200000000001,223.532,105.024,251.33,99.671,158.412,122.90299999999999,171.34400000000002,127.022,234.995,120.948,90.054,123.13799999999999,144.023,122.072,196.475,115.79299999999999,302.277,116.693,276.889,116.522,212.063,110.571,154.895,112.854,77.148,86.801,260.43,81.79,229.856,80.973,268.639,83.11399999999999,220.338,84.05799999999999,125.616,82.585,217.99900000000002,76.695,170.97299999999998,80.96300000000001,208.011,71.915,168.745,97.29700000000001,230.205,98.62200000000001,201.609,97.854,65.608,99.07700000000001,153.14,95.08200000000001,103.971,95.179,211.984,96.255,206.59799999999998,90.809,169.345,89.506,240.635,88.302,198.03,90.338,328.541,161.049,45.36,160.83700000000002,142.004,158.528,214.726,158.468,315.59,161.018,150.34799999999998,160.283,53.975,160.375,287.367,157.18200000000002,25.138,151.977,137.07,174.675,143.488,170.554,318.763,167.03400000000002,148.216,167.87099999999998,308.16900000000004,169.00799999999998,200.75,165.984,135.428,164.761,53.978,167.06099999999998,34.268,167.232,44.876999999999995,137.024,169.769,137.138,302.433,135.741,201.53,140.284,287.948,136.007,295.39099999999996,135.921,188.58900000000003,128.636,288.297,128.63,275.668,149.609,323.73,150.906,44.476000000000006,150.487,301.999,144.237,310.818,143.743,135.119,140.906,281.143,142.781,55.358999999999995,143.297,318.203,143.327,,,,,,,,,,,,,,,,
175.5,702.0,,124.914,195.96099999999998,303.987,178.78799999999998,128.47899999999998,183.483,149.559,56.13,98.624,57.702,217.655,53.772,163.58100000000002,53.601000000000006,158.565,45.633,137.231,46.327,258.655,70.336,123.815,71.318,94.47200000000001,64.658,228.266,64.41,274.311,64.313,127.23200000000001,63.011,227.72099999999998,42.05,152.001,31.084,117.721,31.659000000000002,193.83700000000002,108.87700000000001,143.16299999999998,106.626,117.28399999999999,105.495,201.16400000000002,105.90700000000001,207.16,102.81200000000001,157.634,101.976,73.875,104.845,223.516,105.083,251.305,99.574,158.415,122.885,171.468,126.965,235.19799999999998,120.941,90.042,123.133,144.03799999999998,122.036,196.424,115.786,302.245,116.714,276.868,116.59700000000001,212.104,110.525,154.89600000000002,112.833,77.141,86.84899999999999,260.413,81.76899999999999,229.843,80.97399999999999,268.633,83.061,220.324,84.064,125.639,82.579,217.99900000000002,76.681,171.013,80.96600000000001,207.984,71.87899999999999,168.72299999999998,97.24700000000001,230.18099999999998,98.585,201.606,97.845,65.625,99.07799999999999,153.167,95.074,103.965,95.152,211.979,96.241,206.615,90.65299999999999,169.354,89.499,240.65400000000002,88.264,198.03,90.302,328.56300000000005,161.014,45.31399999999999,160.825,142.101,158.404,214.709,158.475,315.73900000000003,160.889,150.389,160.319,53.973,160.398,287.414,157.188,25.213,152.004,137.07299999999998,174.622,143.50799999999998,170.543,318.776,167.005,148.22,167.89,308.173,169.01,200.74099999999999,165.947,135.36,164.74900000000002,54.005,167.03,34.141,167.21599999999998,44.87,137.024,169.75900000000001,137.148,302.465,135.701,201.579,140.268,287.94,136.0,295.467,135.85399999999998,188.608,128.58700000000002,288.218,128.61700000000002,275.688,149.655,323.756,150.92600000000002,44.535,150.532,301.973,144.232,310.828,143.719,135.089,140.861,281.125,142.798,55.387,143.279,318.245,143.32,,,,,,,,,,,,,,,,
