TimesH,Frame,NoMissing,16,16,18,18,153,153,173,173,176,176,184,184,186,186,194,194,196,196,197,197,198,198,199,199,200,200,204,204,205,205,208,208,223,223,225,225,234,234,236,236,241,241,246,246,248,248,252,252,254,254,259,259,261,261,262,262,266,266,269,269,274,274,275,275,276,276,279,279,280,280,284,284,287,287,288,288,289,289,292,292,293,293,298,298,299,299,301,301,303,303,305,305,312,312,314,314,315,315,317,317,320,320,322,322,323,323,328,328,329,329,331,331,335,335,339,339,341,341,343,343,344,344,345,345,347,347,350,350,351,351,353,353,355,355,358,358,361,361,364,364,367,367,375,375,379,379,386,386,390,390,391,391,395,395,398,398,401,401,402,402,407,407,409,409,411,411,415,415,420,420,421,421,427,427,430,430,436,436,438,438,441,441,445,445,446,446,464,464,564,564,623,623,633,633,640,640,645,645,647,647,650,650,652,652,654,654,722,722,730,730,746,746,787,787,857,857,927,927,1023,1023,1092,1092,1161,1161
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,107.697,178.778,125.54299999999999,177.968,219.324,52.821000000000005,258.084,42.961000000000006,246.255,63.062,272.39599999999996,68.059,202.605,65.288,258.113,59.763999999999996,119.48299999999999,56.968,107.652,60.083,,,237.104,61.383,86.336,61.497,220.09400000000002,78.196,256.16200000000003,79.157,184.489,81.001,231.821,73.38,192.1,71.046,121.876,93.54899999999999,262.879,92.432,177.075,96.2,94.556,97.10799999999999,139.091,87.185,147.85,88.126,247.085,86.904,183.396,91.281,213.142,90.586,105.915,104.88799999999999,237.298,107.021,152.235,106.902,178.4,109.604,196.213,108.477,214.62900000000002,97.60700000000001,81.23,98.50200000000001,241.513,99.525,202.09599999999998,101.777,143.362,101.73,223.5,102.895,232.47400000000002,103.194,208.17700000000002,117.325,93.647,118.792,154.11,119.031,75.88600000000001,120.461,119.054,120.65700000000001,,,70.387,122.729,207.43400000000003,113.96799999999999,90.735,113.113,154.028,113.307,109.35,113.697,127.921,117.186,178.269,116.485,216.825,116.046,192.572,133.262,202.625,133.012,151.546,133.095,126.771,135.49,142.327,123.15299999999999,181.06,127.04700000000001,135.762,125.77,148.121,126.244,212.854,126.655,109.62799999999999,130.384,89.39200000000001,129.621,112.686,141.786,93.256,141.91,199.205,142.764,214.953,143.64600000000002,104.07,144.107,119.62700000000001,144.977,138.761,136.439,222.889,139.05200000000002,190.787,140.863,290.21,154.175,99.43,156.321,207.692,154.38299999999998,149.987,147.24,143.661,146.696,89.323,147.888,136.214,147.951,105.598,153.30700000000002,192.642,151.90200000000002,184.827,163.99900000000002,104.598,166.218,111.529,165.27900000000002,135.483,165.981,188.755,156.937,126.51799999999999,158.816,92.867,160.224,193.829,161.782,138.085,173.827,213.02599999999998,174.75599999999997,203.935,175.639,185.766,171.829,130.748,73.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,107.664,178.799,125.588,177.967,219.34900000000002,52.78,257.952,42.629,246.428,63.036,272.399,68.068,202.363,65.43,258.115,59.773,119.708,56.938,107.704,60.312,217.59599999999998,61.497,237.231,61.347,86.40899999999999,61.522,220.1,78.161,256.224,79.128,184.485,80.995,231.84099999999998,73.27199999999999,192.084,71.03399999999999,121.934,93.542,262.981,92.436,177.13,96.244,94.255,97.031,139.124,87.18700000000001,147.92,88.056,247.263,86.82700000000001,183.428,91.28299999999999,213.245,90.493,105.939,104.885,237.343,107.01299999999999,152.235,106.921,178.425,109.584,196.282,108.527,214.636,97.60700000000001,81.206,98.48299999999999,241.47799999999998,99.546,202.12900000000002,101.774,143.36,101.73,223.597,102.94,232.52599999999998,103.17299999999999,208.21200000000002,117.43700000000001,93.704,118.787,154.116,119.185,75.893,120.47,119.089,120.665,,,70.444,122.734,207.399,113.876,90.714,113.085,154.064,113.306,109.39399999999999,113.649,127.98299999999999,117.14399999999999,177.989,116.475,216.96200000000002,116.009,192.618,133.296,202.66099999999997,133.037,151.55,133.088,126.805,135.48,142.372,123.101,180.83900000000003,126.694,135.786,125.78200000000001,148.202,126.21600000000001,212.887,126.64399999999999,109.626,130.45600000000002,89.413,129.648,112.772,141.767,93.279,141.89700000000002,199.15400000000002,142.88299999999998,215.02900000000002,143.71,104.09899999999999,144.119,119.62,145.055,138.84799999999998,136.451,222.929,139.062,190.834,140.894,290.70099999999996,154.127,99.0,158.0,207.774,154.41299999999998,150.113,147.245,143.644,146.68200000000002,89.383,147.887,136.237,147.918,105.59,153.305,192.68599999999998,151.906,184.84799999999998,164.005,104.624,166.26,111.583,165.30599999999998,135.545,166.03099999999998,188.771,156.89700000000002,126.53299999999999,158.827,92.79700000000001,160.247,193.827,161.80200000000002,138.248,173.86700000000002,213.05200000000002,174.785,203.99099999999999,175.683,185.752,171.838,130.683,73.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,107.654,178.84400000000002,125.56200000000001,177.984,219.412,52.786,257.91900000000004,42.549,246.642,63.007,272.41200000000003,67.99600000000001,202.65,65.152,258.142,59.762,119.759,56.863,107.645,59.997,216.42,62.293,237.565,61.136,86.427,61.45399999999999,220.00599999999997,78.308,256.192,79.167,184.65900000000002,80.962,231.82299999999998,73.304,192.093,71.025,122.042,93.521,262.871,92.33,177.213,96.249,94.338,97.04299999999999,139.15,87.164,147.988,87.904,247.507,86.696,183.52900000000002,91.25,213.342,90.465,105.979,104.87299999999999,237.40400000000002,106.99,152.366,106.84299999999999,178.517,109.505,196.34900000000002,108.54,214.67700000000002,97.625,81.208,98.46,241.56599999999997,99.079,202.17700000000002,101.774,143.388,101.726,223.549,102.913,232.678,103.17299999999999,208.28099999999998,117.45100000000001,93.757,118.774,154.215,119.399,75.9,120.495,119.10799999999999,120.649,,,70.419,122.749,,,90.727,113.055,154.111,113.31200000000001,109.38799999999999,113.715,128.02200000000002,117.085,177.71599999999998,116.461,216.949,115.876,192.65200000000002,133.273,202.68099999999998,133.056,151.55100000000002,133.10299999999998,126.83200000000001,135.484,142.36700000000002,123.055,179.954,126.139,135.775,125.779,148.203,126.20700000000001,212.887,126.63799999999999,109.685,130.41,89.43799999999999,129.69299999999998,112.80799999999999,141.756,93.303,141.891,199.125,142.833,215.03599999999997,143.716,104.096,144.148,119.587,145.094,138.916,136.46,222.967,139.047,190.84400000000002,140.91,292.04400000000004,154.155,99.634,156.123,207.796,154.483,150.09799999999998,147.264,143.657,146.659,89.35799999999999,147.945,136.261,147.93200000000002,105.569,153.29399999999998,192.7,151.89600000000002,184.859,164.035,104.65100000000001,166.28599999999997,111.60600000000001,165.362,135.597,166.048,188.81099999999998,156.923,126.568,158.849,92.837,160.279,193.826,161.814,138.3,173.926,213.06900000000002,174.842,204.065,175.707,185.81900000000002,171.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,107.68299999999999,178.851,125.566,178.01,219.472,52.773999999999994,257.92,42.473,246.896,62.871,272.474,67.96,202.707,65.042,258.178,59.748000000000005,119.86200000000001,56.93600000000001,107.618,59.825,217.208,61.927,237.636,61.113,86.461,61.435,220.02200000000002,78.352,256.214,79.13600000000001,184.775,80.967,231.86,73.263,192.111,71.068,122.09200000000001,93.506,262.851,92.334,177.295,96.23,94.525,97.03399999999999,139.162,87.147,148.04399999999998,87.978,247.74099999999999,86.704,183.593,91.23100000000001,213.475,90.412,106.035,104.852,237.433,106.977,152.47,106.796,178.578,109.51799999999999,196.41299999999998,108.46600000000001,214.862,97.745,81.209,98.462,241.47799999999998,99.05,202.217,101.79299999999999,143.41899999999998,101.725,223.657,102.949,232.84599999999998,103.083,208.392,117.488,93.785,118.775,154.179,119.431,75.943,120.493,119.14,120.65,262.546,120.34100000000001,70.417,122.76,207.46400000000003,113.884,90.729,113.051,154.085,113.344,109.469,113.698,128.012,117.057,177.679,116.43700000000001,217.05599999999998,115.809,192.64700000000002,133.314,202.692,133.175,151.545,133.09,126.855,135.475,142.43,122.956,179.662,126.109,135.83700000000002,125.789,148.222,126.20700000000001,212.90099999999998,126.661,109.81299999999999,130.406,89.45700000000001,129.72,112.82700000000001,141.776,93.32,141.878,199.15200000000002,142.923,215.106,143.681,104.09899999999999,144.16899999999998,119.62799999999999,145.105,138.946,136.444,223.032,139.04,190.94,140.892,292.093,154.165,99.68700000000001,155.827,207.86900000000003,154.481,150.071,147.256,143.72,146.651,89.367,147.985,136.25,147.977,105.56299999999999,153.295,192.704,151.886,184.864,164.063,104.69200000000001,166.28,111.669,165.421,135.641,166.095,188.82299999999998,156.888,126.598,158.856,92.82799999999999,160.285,193.793,161.833,138.47799999999998,173.984,213.09,174.885,204.12900000000002,175.734,185.86,171.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,107.60700000000001,178.938,125.538,178.021,219.605,52.70399999999999,257.894,42.468,247.007,62.81100000000001,272.557,67.91199999999999,202.868,65.006,258.168,59.748999999999995,120.134,57.04,107.595,59.766000000000005,217.665,61.498000000000005,237.84599999999998,61.027,86.506,61.358000000000004,219.968,78.406,256.166,79.12899999999999,184.827,80.97800000000001,231.865,73.277,192.168,71.062,122.196,93.475,262.947,92.337,177.355,96.25299999999999,94.507,97.05799999999999,139.203,87.117,148.1,87.867,247.855,86.713,183.63400000000001,91.251,213.51,90.376,106.036,104.838,237.543,106.947,152.506,106.8,178.625,109.499,196.505,108.48899999999999,215.054,97.863,81.226,98.45200000000001,241.503,99.11,202.273,101.79,143.409,101.706,223.72099999999998,102.99799999999999,232.892,103.125,208.47799999999998,117.45299999999999,93.819,118.757,154.19899999999998,119.316,75.98100000000001,120.488,119.184,120.616,262.835,120.31,70.36,122.762,207.429,113.46600000000001,90.77600000000001,113.05,154.132,113.31700000000001,109.469,113.698,127.947,117.042,177.636,116.367,217.158,115.82700000000001,192.688,133.319,202.74599999999998,133.196,151.54399999999998,133.094,126.836,135.471,142.484,122.929,174.896,126.57700000000001,135.892,125.772,148.257,126.182,212.926,126.639,109.84700000000001,130.436,89.488,129.741,112.86,141.842,93.355,141.912,199.15599999999998,142.97299999999998,215.169,143.71,104.12100000000001,144.151,119.665,145.115,139.029,136.403,223.11599999999999,139.048,190.888,140.85,292.57,154.224,99.794,155.564,207.899,154.50799999999998,150.114,147.32,143.773,146.703,89.353,148.012,136.256,147.966,105.55,153.286,192.713,151.893,184.859,164.174,104.791,166.28099999999998,111.714,165.468,135.751,166.165,188.87400000000002,156.963,126.646,158.89700000000002,92.811,160.322,193.805,161.843,138.515,174.051,213.15400000000002,174.894,204.201,175.785,185.873,171.84400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,107.64399999999999,178.96200000000002,125.544,178.024,219.64,52.68600000000001,258.006,42.905,247.27700000000002,62.754,272.593,67.935,203.12900000000002,64.875,258.112,59.757,120.294,57.00899999999999,107.59,59.772,217.72400000000002,61.481,237.93099999999998,60.99100000000001,86.553,61.292,220.00400000000002,78.428,256.159,79.116,184.946,80.952,231.887,73.35,192.202,71.083,122.208,93.443,262.923,92.404,177.419,96.23299999999999,94.637,97.037,139.264,87.12700000000001,148.136,87.82799999999999,247.96900000000002,86.62700000000001,183.666,91.257,213.52200000000002,90.309,106.01700000000001,104.84200000000001,237.6,106.92399999999999,152.535,106.713,178.715,109.45200000000001,196.62599999999998,108.663,215.293,97.978,81.249,98.44,241.452,99.008,202.321,101.792,143.429,101.691,223.937,103.087,232.981,103.154,208.513,117.55799999999999,93.86399999999999,118.73700000000001,154.276,119.37799999999999,75.985,120.488,119.206,120.59299999999999,263.514,120.137,70.29899999999999,122.74,207.442,113.39299999999999,90.78299999999999,113.021,154.123,113.32799999999999,109.462,113.61200000000001,128.012,117.01299999999999,177.687,116.35,217.21400000000003,115.836,192.78599999999997,133.389,202.764,133.265,151.503,133.095,126.81700000000001,135.477,142.533,122.816,175.403,126.399,135.93200000000002,125.807,148.33,126.14399999999999,212.96,126.656,109.895,130.481,89.5,129.761,112.947,141.834,93.36200000000001,141.891,199.202,142.931,215.22799999999998,143.701,104.11,144.09799999999998,119.677,145.136,139.11,136.371,223.192,139.08100000000002,190.896,140.881,292.547,154.109,99.773,155.498,207.947,154.501,150.07,147.385,143.861,146.747,89.4,148.071,136.3,147.977,105.545,153.297,192.739,151.89600000000002,184.91400000000002,164.236,104.77,166.34900000000002,111.757,165.519,135.843,166.235,188.891,156.984,126.698,158.91899999999998,92.806,160.329,193.822,161.85299999999998,138.602,174.145,213.19099999999997,174.916,204.238,175.81900000000002,185.886,171.81400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,107.59299999999999,179.019,125.54299999999999,178.018,219.737,52.685,257.93,42.883,247.456,62.656000000000006,272.652,67.947,203.24599999999998,64.718,258.13,59.753,120.25399999999999,57.035,107.639,59.788999999999994,217.769,61.423,238.049,60.958999999999996,86.571,61.27,220.02599999999998,78.381,256.215,79.058,185.09900000000002,80.968,231.84599999999998,73.333,192.213,71.067,122.259,93.456,262.857,92.38799999999999,177.503,96.287,94.70700000000001,97.038,139.342,87.102,148.178,87.788,248.09,86.652,183.726,91.242,213.578,90.321,106.025,104.848,237.688,106.865,152.66,106.711,178.75900000000001,109.429,196.66,108.65899999999999,215.63,98.213,81.258,98.439,241.59799999999998,99.005,202.398,101.78299999999999,143.418,101.691,224.04,103.101,233.06599999999997,103.152,208.601,117.59200000000001,93.90299999999999,118.729,154.0,120.0,75.998,120.473,119.23100000000001,120.60799999999999,263.668,120.176,70.285,122.74,207.83,114.639,90.809,113.012,154.185,113.316,109.47399999999999,113.535,128.144,117.056,177.571,116.324,217.269,115.794,192.829,133.446,202.83900000000003,133.30700000000002,151.499,133.096,126.87799999999999,135.45600000000002,142.66299999999998,122.71700000000001,174.88400000000001,126.39200000000001,135.998,125.814,148.393,126.103,213.023,126.66799999999999,109.97200000000001,130.47799999999998,89.501,129.808,112.986,141.85,93.344,141.861,199.217,143.04,215.25799999999998,143.71,104.176,144.115,119.699,145.153,139.218,136.36700000000002,223.24099999999999,139.094,190.965,140.91299999999998,292.585,154.24,99.845,155.38299999999998,207.99099999999999,154.518,150.14700000000002,147.38299999999998,143.97899999999998,146.793,89.40299999999999,148.107,136.32,147.989,105.52,153.312,192.771,151.878,184.92700000000002,164.28900000000002,104.781,166.343,111.77600000000001,165.553,135.937,166.28900000000002,188.88099999999997,156.929,126.758,158.97799999999998,92.825,160.322,193.83599999999998,161.83100000000002,138.642,174.19799999999998,213.21400000000003,174.93400000000003,204.291,175.865,185.898,171.827,127.491,69.53699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,107.641,179.046,125.561,178.017,219.78,52.638000000000005,257.915,42.748000000000005,247.49400000000003,62.593999999999994,272.684,67.913,203.128,64.736,258.105,59.745,120.421,57.122,107.652,59.806000000000004,217.72400000000002,61.489,238.128,60.912,86.616,61.229,219.96599999999998,78.45,256.232,79.021,185.21,80.95100000000001,231.864,73.4,192.187,71.086,122.273,93.447,262.801,92.39200000000001,177.575,96.303,94.62700000000001,96.986,139.386,87.1,148.194,87.78299999999999,248.213,86.59899999999999,183.81,91.24799999999999,213.65400000000002,90.355,106.031,104.854,237.72799999999998,106.881,152.714,106.745,178.81599999999997,109.395,196.74,108.65700000000001,215.782,98.264,81.24600000000001,98.435,241.71099999999998,98.848,202.43599999999998,101.802,143.441,101.684,224.155,103.14299999999999,233.22099999999998,103.12100000000001,208.666,117.633,93.92,118.667,154.293,119.455,76.029,120.464,119.259,120.645,263.881,120.149,70.275,122.73,207.52900000000002,113.37799999999999,90.825,112.993,154.204,113.25200000000001,109.46700000000001,113.46799999999999,128.069,116.961,177.56400000000002,116.25200000000001,217.343,115.76799999999999,192.851,133.425,202.89,133.381,151.468,133.085,126.949,135.44799999999998,142.688,122.68700000000001,174.896,126.274,135.99200000000002,125.815,148.465,126.13,213.046,126.665,110.07600000000001,130.512,89.51700000000001,129.795,113.014,141.852,93.374,141.83,199.23,143.024,215.347,143.68,104.178,144.109,119.744,145.139,139.268,136.321,223.295,139.116,191.12099999999998,140.972,292.606,154.14600000000002,99.837,155.357,208.072,154.55200000000002,150.256,147.342,144.065,146.843,89.44200000000001,148.149,136.334,147.995,105.527,153.305,192.828,151.88299999999998,184.912,164.263,104.759,166.378,111.791,165.59099999999998,135.976,166.331,188.908,156.914,126.81299999999999,159.009,92.788,160.322,193.893,161.864,138.75,174.25799999999998,213.243,174.928,204.403,175.886,185.908,171.835,127.229,69.71,269.703,152.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
