TimesH,Frame,NoMissing,36,36,37,37,50,50,58,58,89,89,92,92,93,93,95,95,101,101,106,106,110,110,111,111,113,113,115,115,116,116,119,119,120,120,124,124,130,130,131,131,132,132,136,136,142,142,143,143,148,148,151,151,154,154,156,156,159,159,160,160,170,170,183,183,196,196,197,197,199,199,208,208,214,214,215,215,216,216,228,228,230,230,236,236,246,246,249,249,257,257,265,265,280,280,283,283,290,290,300,300,304,304,306,306,312,312,317,317,319,319,320,320,374,374,379,379,418,418,437,437,643,643,928,928
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
165.5,662.0,,99.25,41.253,112.656,40.92,238.10299999999998,44.815,122.579,42.308,227.144,79.452,116.875,80.0,149.239,80.493,87.921,81.72800000000001,255.73,89.795,183.582,86.84,204.43200000000002,87.87,143.076,95.584,179.364,95.92,205.25799999999998,96.59200000000001,237.658,97.81200000000001,245.24599999999998,93.427,123.74799999999999,94.361,108.535,103.285,241.294,106.28200000000001,83.75,99.18700000000001,191.985,98.898,196.40200000000002,101.211,195.21400000000003,56.236000000000004,223.60299999999998,56.275,109.87899999999999,50.316,256.744,50.611999999999995,260.67900000000003,60.153,109.89200000000001,62.43899999999999,238.93599999999998,62.58,248.03599999999997,63.294,271.96299999999997,67.104,121.449,66.758,199.81599999999997,74.411,215.83900000000003,73.734,137.707,140.514,110.315,135.955,311.03,145.791,105.23200000000001,146.689,151.607,146.639,271.85900000000004,146.121,143.649,152.60299999999998,320.203,154.893,225.62900000000002,158.614,101.8,160.834,128.576,157.965,297.103,111.554,264.94599999999997,119.64399999999999,216.328,121.48200000000001,196.798,117.20100000000001,207.2,128.362,72.898,122.87299999999999,103.27600000000001,123.429,119.428,133.192,310.149,127.709,182.00799999999998,129.15200000000002,269.605,129.222,119.975,170.908,109.15700000000001,176.981,,,,,,,,
165.75,663.0,,99.35700000000001,41.217,112.65799999999999,40.945,238.107,44.86600000000001,122.0,43.0,227.153,79.42399999999999,116.82799999999999,80.063,149.275,80.5,87.91799999999999,81.779,255.59099999999998,89.79700000000001,183.53900000000002,86.762,204.428,87.866,143.041,95.671,179.422,95.993,205.368,96.51700000000001,237.727,97.90899999999999,245.298,93.426,123.801,94.37,108.541,103.251,241.481,106.429,83.829,98.71,191.981,98.85799999999999,196.21200000000002,101.01799999999999,195.107,56.347,223.64,56.323,109.89399999999999,50.349,256.798,50.663000000000004,260.693,60.14,109.948,62.486000000000004,238.977,62.644,248.00599999999997,63.265,271.878,67.146,121.45700000000001,66.737,199.808,74.433,215.833,73.709,137.687,140.431,110.381,135.977,310.818,145.268,105.24700000000001,146.69299999999998,151.47899999999998,146.749,271.873,146.155,143.619,152.53,320.166,154.737,225.605,158.591,101.874,160.841,128.606,157.975,297.127,111.57799999999999,264.968,119.635,216.321,121.40700000000001,196.798,117.167,207.196,128.313,72.967,122.82799999999999,103.37100000000001,123.49600000000001,119.413,132.87,310.164,127.67399999999999,182.02,129.122,269.601,129.18,120.02,170.929,109.12700000000001,177.012,,,,,,,,
166.0,664.0,,99.31299999999999,41.198,112.679,40.948,238.109,44.957,122.456,42.471000000000004,227.19400000000002,79.38600000000001,116.84299999999999,80.053,149.315,80.729,87.916,81.745,255.58900000000003,89.758,183.541,86.72,204.37900000000002,87.819,142.971,95.75200000000001,179.47299999999998,96.0,205.365,96.51,237.96599999999998,97.863,245.30200000000002,93.402,123.838,94.397,108.60799999999999,103.227,241.605,106.505,83.756,98.471,191.99200000000002,98.86399999999999,196.085,100.762,195.19799999999998,56.424,223.59799999999998,56.33,109.973,50.438,256.778,50.723,260.64799999999997,60.196999999999996,109.961,62.653,238.985,62.701,248.023,63.271,271.77099999999996,67.093,121.415,66.69800000000001,199.78900000000002,74.453,215.81400000000002,73.595,137.898,140.33700000000002,110.446,135.924,310.805,145.44899999999998,105.234,146.672,151.519,146.659,271.945,146.071,143.63299999999998,152.577,320.103,154.784,225.605,158.607,101.97200000000001,160.715,128.653,157.972,297.101,111.587,264.933,119.661,216.329,121.346,196.805,117.163,207.203,128.283,72.992,122.861,103.45700000000001,123.573,119.56200000000001,133.046,310.01599999999996,127.434,182.024,129.064,269.721,129.28,119.925,170.954,109.16,177.00900000000001,101.335,71.148,142.585,162.25,,,,
166.25,665.0,,99.321,41.123000000000005,112.654,40.915,238.101,44.89,122.594,42.277,227.22,79.39,116.945,80.027,149.357,80.61399999999999,87.904,81.764,255.763,89.70100000000001,183.535,86.762,204.44,87.848,142.869,95.603,179.609,96.065,205.679,96.084,237.97099999999998,97.73,245.245,93.365,123.787,94.425,108.617,103.23899999999999,241.57299999999998,106.47399999999999,83.853,97.944,191.965,98.865,196.04,100.72200000000001,195.294,56.411,223.574,56.372,110.016,50.458999999999996,256.72700000000003,50.693999999999996,260.606,60.261,109.97,62.563,238.96599999999998,62.731,248.02599999999998,63.266999999999996,271.757,67.17699999999999,121.363,66.653,199.804,74.447,215.71599999999998,73.431,137.92700000000002,140.269,110.478,135.774,310.668,145.106,105.22200000000001,146.68,151.53,146.58,271.945,145.976,143.53799999999998,152.487,320.105,154.803,225.625,158.668,101.993,160.625,128.611,158.017,297.028,111.631,264.972,119.63600000000001,216.325,121.307,196.808,117.15799999999999,207.266,128.14,72.97399999999999,122.796,103.439,123.551,119.555,132.982,309.992,127.405,182.023,128.976,269.716,129.356,119.762,171.042,109.124,176.979,101.133,71.192,142.965,162.04,,,,
166.5,666.0,,99.35700000000001,41.108000000000004,112.661,40.928000000000004,238.155,44.978,122.709,42.317,227.231,79.37899999999999,116.906,79.991,149.28799999999998,80.486,87.90299999999999,81.693,255.793,89.61399999999999,183.454,86.779,204.43900000000002,87.89,142.923,95.48700000000001,179.662,95.965,205.419,96.321,237.94400000000002,97.82600000000001,245.19099999999997,93.323,123.788,94.37700000000001,108.62200000000001,103.17399999999999,241.544,106.75,84.084,97.338,191.972,98.80799999999999,196.09400000000002,100.637,195.047,56.48,223.59400000000002,56.333999999999996,110.056,50.494,256.748,50.736999999999995,260.612,60.18899999999999,109.956,62.598,238.96400000000003,62.665,248.012,63.255,271.857,67.154,121.333,66.655,199.815,74.498,215.761,73.445,137.822,140.287,110.515,135.792,310.677,145.165,105.23,146.61700000000002,151.498,146.639,272.041,145.884,143.566,152.514,320.13,154.876,225.59400000000002,158.631,102.02,160.60399999999998,128.65,158.005,296.97900000000004,111.56200000000001,265.028,119.68,216.27700000000002,121.245,196.736,117.15899999999999,207.25599999999997,128.14700000000002,72.976,122.78200000000001,103.485,123.574,119.38,132.593,310.093,127.52,182.01,128.953,269.759,129.341,119.47,171.138,109.115,176.955,101.354,71.03699999999999,143.501,161.648,,,,
166.75,667.0,,99.375,41.028,112.57,40.931,238.082,45.04600000000001,122.677,42.137,227.236,79.332,116.84700000000001,79.89,149.259,80.479,87.883,81.665,255.852,89.596,183.437,86.68700000000001,204.422,87.875,142.81799999999998,95.65899999999999,179.65900000000002,95.963,205.62599999999998,96.241,237.885,97.85600000000001,245.245,93.30799999999999,123.775,94.37299999999999,108.589,103.13,241.537,106.876,83.96799999999999,97.348,191.90200000000002,98.757,196.1,100.613,195.16099999999997,56.793,223.604,56.327,110.023,50.475,256.717,50.751999999999995,260.587,60.18,109.955,62.653999999999996,238.952,62.643,248.02,63.218,271.933,67.23100000000001,121.3,66.646,199.851,74.494,215.733,73.46600000000001,137.786,140.20600000000002,110.46600000000001,135.67700000000002,310.594,144.944,105.21,146.566,151.486,146.686,272.115,145.821,143.558,152.547,320.101,154.995,225.63099999999997,158.629,102.01799999999999,160.58700000000002,128.621,158.012,296.998,111.574,264.99,119.71799999999999,216.217,121.234,196.71,117.116,207.21400000000003,128.19,73.002,122.82,103.49799999999999,123.49799999999999,119.34200000000001,132.438,309.994,127.351,182.023,128.921,269.77,129.276,119.697,170.968,109.176,176.91299999999998,101.376,70.969,143.56,161.584,,,,
167.0,668.0,,99.274,41.05,112.501,40.878,238.253,46.56399999999999,122.679,42.352,227.27200000000002,79.334,116.89,79.938,149.311,80.66199999999999,87.823,81.668,255.872,89.51299999999999,183.40200000000002,86.655,204.449,87.854,142.868,95.492,179.90200000000002,96.037,205.422,96.345,237.98,97.848,245.265,93.274,123.80799999999999,94.318,108.595,103.131,241.292,106.83200000000001,83.936,97.565,191.889,98.71799999999999,195.856,100.45,195.058,56.79,223.592,56.36,110.11399999999999,50.424,256.632,50.736000000000004,260.545,60.18899999999999,109.963,62.605,238.953,62.6,248.005,63.178999999999995,271.809,67.3,121.251,66.705,199.856,74.444,215.704,73.318,138.018,140.072,110.51100000000001,135.379,310.628,145.02200000000002,105.209,146.60299999999998,151.46200000000002,146.655,272.096,145.836,143.47899999999998,152.278,320.16200000000003,154.905,225.61,158.65,102.00200000000001,160.503,128.63,158.01,296.999,111.546,265.077,119.729,216.236,121.17299999999999,196.696,117.066,207.236,128.118,73.00399999999999,122.662,103.55,123.60799999999999,119.35700000000001,132.196,309.968,127.315,182.00900000000001,128.878,269.832,129.287,120.005,170.91400000000002,109.181,176.88299999999998,101.478,70.898,144.089,161.334,,,,
167.25,669.0,,99.274,41.038999999999994,112.444,40.829,238.597,45.672,122.824,42.119,227.18099999999998,79.331,116.887,79.936,149.298,80.58800000000001,87.789,81.578,255.863,89.486,183.42,86.63600000000001,204.47299999999998,87.851,142.8,95.616,179.858,95.979,205.517,96.29899999999999,238.162,97.823,245.299,93.273,123.88,94.281,108.551,103.165,240.928,106.781,,,191.898,98.71700000000001,196.09,100.56299999999999,195.30700000000002,57.251999999999995,223.62099999999998,56.39,110.251,50.57,256.64,50.695,260.54200000000003,60.247,109.988,62.481,238.953,62.617,248.012,63.153999999999996,271.753,67.27,121.214,66.76899999999999,199.828,74.454,215.764,73.267,138.049,140.035,110.585,135.28799999999998,310.56,144.761,105.182,146.60399999999998,151.43,146.691,272.078,145.873,143.43,152.157,320.082,154.847,225.615,158.65200000000002,101.958,160.316,128.624,158.06,296.93,111.415,265.18,119.65,216.239,121.134,196.7,117.04299999999999,207.231,128.061,72.874,122.61,103.556,123.59100000000001,119.366,132.454,309.899,127.243,182.02900000000002,128.817,269.901,129.221,120.08200000000001,170.88299999999998,109.208,176.83599999999998,101.436,70.895,144.138,161.25799999999998,,,,
