TimesH,Frame,NoMissing,2,2,9,9,10,10,15,15,19,19,21,21,24,24,26,26,27,27,34,34,35,35,38,38,39,39,42,42,48,48,50,50,51,51,57,57,68,68,69,69,70,70,71,71,73,73,75,75,79,79,80,80,82,82,88,88,89,89,99,99,106,106,108,108,112,112,114,114,120,120,122,122,123,123,125,125,126,126,130,130,131,131,134,134,141,141,144,144,145,145,146,146,147,147,154,154,158,158,160,160,163,163,165,165,166,166,167,167,176,176,181,181,184,184,186,186,192,192,194,194,201,201,202,202,205,205,210,210,218,218,225,225,227,227,233,233,234,234,236,236,242,242,245,245,341,341,370,370,374,374,382,382,391,391,393,393,398,398,399,399,401,401,404,404,412,412,414,414,654,654,716,716,831,831,1264,1264,1269,1269,1440,1440,1737,1737,1743,1743
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
334.75,1339.0,,259.507,76.907,185.144,81.568,205.206,80.821,61.24100000000001,80.296,215.12099999999998,69.813,98.09700000000001,70.328,227.77200000000002,73.983,144.993,74.46600000000001,187.463,73.653,135.44,90.469,141.912,89.751,123.551,88.63799999999999,180.774,89.23,236.39,92.98299999999999,249.687,84.375,218.497,82.706,149.171,84.369,206.642,86.95700000000001,238.923,101.023,89.06700000000001,102.2,219.12,106.507,233.78400000000002,107.20200000000001,111.459,107.32799999999999,210.342,106.329,218.005,98.154,84.14299999999999,96.699,186.86700000000002,96.15100000000001,107.18299999999999,100.116,129.69899999999998,100.039,94.71700000000001,115.147,240.912,119.13600000000001,119.32799999999999,118.77600000000001,90.43799999999999,109.60700000000001,195.62400000000002,108.36399999999999,213.612,112.791,145.429,111.28399999999999,225.541,110.846,213.25900000000001,128.701,223.368,128.766,90.396,128.838,191.111,125.70299999999999,108.779,132.661,147.075,121.852,138.892,121.775,206.035,120.973,76.971,121.844,101.38,121.00399999999999,70.848,122.765,126.663,140.493,95.931,138.928,217.605,142.722,114.927,143.436,187.37599999999998,143.358,208.237,141.626,143.821,135.316,102.03399999999999,136.923,137.024,135.454,212.18400000000003,151.922,221.77200000000002,149.94899999999998,125.75399999999999,156.565,199.553,153.61,138.873,146.047,103.404,145.784,90.06,150.252,103.59899999999999,164.99099999999999,111.626,167.982,222.09,166.546,204.502,159.27,185.782,158.09,98.72399999999999,157.57399999999998,138.303,161.24,116.926,160.328,96.42200000000001,40.352,217.93900000000002,54.786,191.855,53.3,108.93700000000001,42.545,250.55,63.15,225.0,62.0,104.413,67.49600000000001,269.719,67.181,197.635,63.996,121.484,63.531000000000006,90.258,61.39,261.152,60.50899999999999,,,,,,,,,,,,,,,,
335.0,1340.0,,259.613,76.962,185.15200000000002,81.57,205.217,80.854,61.181999999999995,80.28,214.945,69.762,98.111,70.343,227.768,73.99,144.97299999999998,74.44800000000001,187.465,73.654,135.422,90.469,141.908,89.62899999999999,123.505,88.631,180.805,89.22200000000001,236.34799999999998,92.99700000000001,249.692,84.368,218.50099999999998,82.706,149.119,84.397,206.646,86.96,238.925,101.038,89.08,102.2,219.135,106.516,233.796,107.199,111.382,107.361,210.305,106.303,218.017,98.155,84.12100000000001,96.70200000000001,186.898,95.852,107.17200000000001,100.14200000000001,129.735,100.052,94.728,115.14399999999999,240.938,119.13600000000001,119.367,118.773,90.648,109.494,195.612,108.35,213.62900000000002,112.756,145.404,111.37799999999999,225.52200000000002,110.81,213.283,128.671,223.271,128.715,90.37,128.82,191.115,125.685,108.771,132.648,147.07,121.845,138.884,121.757,206.079,121.00399999999999,76.965,121.839,101.366,120.984,70.835,122.749,126.691,140.496,95.919,138.907,217.61599999999999,142.694,114.87700000000001,143.39,187.33900000000003,143.336,208.21099999999998,141.654,143.839,135.305,102.046,136.91299999999998,137.007,135.548,212.18200000000002,151.981,221.773,149.944,125.74,156.546,199.547,153.616,138.89,146.023,103.412,145.786,90.039,150.233,103.68799999999999,165.015,111.613,167.97,222.09900000000002,166.511,204.512,159.276,185.773,158.08700000000002,98.704,157.567,138.303,161.275,116.913,160.388,96.397,40.329,217.838,54.783,191.907,53.401,109.0,42.5,250.53799999999998,63.165,225.0,62.0,104.396,67.492,269.73400000000004,67.161,197.637,64.00399999999999,121.485,63.513999999999996,90.24600000000001,61.415,261.255,60.464,,,,,,,,,,,,,,,,
335.25,1341.0,,259.573,76.954,185.167,81.578,205.21599999999998,80.862,61.078,80.27,215.076,69.836,98.14200000000001,70.348,227.75900000000001,73.997,144.985,74.464,187.495,73.663,135.43,90.493,141.93200000000002,89.714,123.51,88.626,180.799,89.2,236.328,93.01100000000001,249.69799999999998,84.353,218.52,82.759,149.093,84.384,206.65099999999998,86.958,238.979,101.009,89.05799999999999,102.182,219.125,106.47200000000001,233.813,107.17399999999999,111.43700000000001,107.361,210.31,106.307,217.997,98.15100000000001,84.109,96.719,186.896,95.897,107.169,100.148,129.857,100.015,94.74,115.15100000000001,240.954,119.119,119.337,118.834,90.475,109.48299999999999,195.59799999999998,108.376,213.638,112.76,145.452,111.351,225.502,110.795,213.295,128.671,223.243,128.662,90.37100000000001,128.82299999999998,191.1,125.661,108.805,132.68200000000002,147.058,121.84299999999999,138.895,121.75299999999999,206.044,120.98299999999999,76.968,121.846,101.381,120.973,70.835,122.772,126.66,140.529,95.868,138.918,217.62900000000002,142.692,114.993,143.379,187.285,143.32,208.21599999999998,141.65200000000002,143.866,135.316,102.09299999999999,136.907,136.994,135.54,212.17700000000002,151.909,221.74,149.958,125.74600000000001,156.537,199.553,153.638,139.001,146.009,103.406,145.78799999999998,90.075,150.252,103.71,164.99,111.611,167.915,222.118,166.458,204.49900000000002,159.30200000000002,185.775,158.08,98.705,157.56799999999998,138.259,161.27,116.87799999999999,160.363,96.322,40.292,217.78900000000002,54.711999999999996,191.88099999999997,53.376999999999995,109.098,42.453,250.46900000000002,63.157,225.37900000000002,62.446000000000005,104.413,67.484,269.737,67.142,197.635,63.992,121.51700000000001,63.478,90.241,61.442,261.241,60.488,,,,,,,,,,,,,,,,
335.5,1342.0,,259.539,76.941,185.165,81.582,205.227,80.875,61.011,80.274,215.16,69.874,98.166,70.369,227.77700000000002,73.992,144.984,74.42399999999999,187.488,73.671,135.53,90.652,142.018,89.762,123.516,88.65299999999999,180.825,89.234,236.304,92.98700000000001,249.74400000000003,84.31700000000001,218.515,82.73899999999999,149.082,84.366,206.655,86.958,238.99900000000002,101.005,89.131,102.20700000000001,219.132,106.461,233.83700000000002,107.15,111.426,107.331,210.30599999999998,106.29299999999999,217.99900000000002,98.12299999999999,84.12100000000001,96.76299999999999,186.895,95.839,107.181,100.135,129.93200000000002,99.939,94.75299999999999,115.17200000000001,240.95,119.11399999999999,119.309,118.905,91.0,110.0,195.601,108.399,213.62900000000002,112.765,145.43200000000002,111.40700000000001,225.52599999999998,110.815,213.28900000000002,128.691,223.278,128.635,90.38,128.82,191.122,125.656,108.81700000000001,132.691,147.053,121.85600000000001,138.9,121.714,206.07,120.98100000000001,76.959,121.867,101.399,120.976,70.87,122.76,126.641,140.524,95.855,138.91899999999998,217.72,142.727,114.887,143.439,187.271,143.338,208.21599999999998,141.77700000000002,143.871,135.312,102.081,136.916,136.97899999999998,135.56799999999998,212.135,151.865,221.743,149.94,125.71600000000001,156.532,199.563,153.609,138.907,146.002,103.397,145.789,90.06700000000001,150.27200000000002,103.691,164.988,111.605,167.922,222.12,166.423,204.516,159.332,185.74,158.066,98.723,157.545,138.207,161.286,116.995,160.486,96.277,40.259,217.613,54.692,191.75,53.321000000000005,109.075,42.475,250.528,63.202,225.34900000000002,62.382,104.37200000000001,67.501,269.678,67.113,197.623,64.021,121.529,63.498999999999995,90.238,61.467,261.20599999999996,60.479,,,,,,,,,,,,,,,,
335.75,1343.0,,259.535,76.939,185.18,81.6,205.232,80.86,61.056999999999995,80.26899999999999,215.108,69.847,98.167,70.385,227.78900000000002,73.991,144.977,74.432,187.46200000000002,73.65899999999999,135.537,90.633,141.95600000000002,89.77600000000001,123.521,88.596,180.81799999999998,89.251,236.264,92.98200000000001,249.739,84.315,218.512,82.725,149.058,84.351,206.65200000000002,86.955,239.0,100.999,89.119,102.18299999999999,219.14,106.476,233.817,107.141,111.39399999999999,107.375,210.308,106.271,218.028,98.13,84.109,96.76,186.942,95.734,107.181,100.13,129.929,99.98100000000001,94.762,115.165,240.982,119.12299999999999,119.322,118.97200000000001,90.45,109.71799999999999,195.595,108.446,213.62400000000002,112.77,145.468,111.31,225.511,110.831,213.257,128.69899999999998,223.255,128.653,90.37200000000001,128.812,191.09900000000002,125.637,108.805,132.685,147.056,121.839,138.899,121.725,206.082,120.98299999999999,76.939,121.854,101.40899999999999,120.992,70.872,122.738,126.633,140.497,95.87799999999999,138.873,217.707,142.721,114.895,143.414,187.245,143.325,208.213,141.785,143.881,135.309,102.09299999999999,136.873,137.002,135.524,212.138,151.817,221.739,149.942,125.762,156.499,199.55,153.553,138.901,146.032,103.40299999999999,145.791,90.054,150.244,103.74700000000001,165.055,111.611,167.967,222.09099999999998,166.351,204.51,159.333,185.745,158.084,98.70200000000001,157.577,138.165,161.35299999999998,117.01100000000001,160.507,96.228,40.286,217.643,54.763999999999996,191.76,53.354,109.01299999999999,42.495,250.546,63.228,225.347,62.663000000000004,104.37299999999999,67.475,269.699,67.119,197.648,64.02199999999999,121.537,63.492,90.227,61.493,261.252,60.467,,,,,,,,,,,,,,,,
336.0,1344.0,,259.546,76.941,185.218,81.608,205.222,80.875,61.049,80.256,215.08599999999998,69.848,98.178,70.419,227.792,73.968,144.97,74.42699999999999,187.446,73.671,135.605,90.723,141.931,89.74,123.477,88.664,180.82,89.25299999999999,236.21,92.97200000000001,249.75799999999998,84.27799999999999,218.541,82.73299999999999,149.05100000000002,84.331,206.63400000000001,86.946,239.011,100.988,89.10799999999999,102.196,219.132,106.454,233.843,107.15899999999999,111.35700000000001,107.396,210.304,106.24700000000001,218.016,98.109,84.065,96.774,186.981,95.663,107.181,100.13,129.999,99.98299999999999,94.762,115.179,240.967,119.084,119.311,118.977,90.51799999999999,109.723,195.583,108.485,213.613,112.772,145.464,111.329,225.498,110.78,213.22400000000002,128.681,223.282,128.673,90.367,128.809,191.09900000000002,125.63,108.787,132.705,147.033,121.829,138.911,121.713,206.082,120.944,76.918,121.865,101.40700000000001,121.009,70.904,122.698,126.61,140.531,95.868,138.85399999999998,217.81900000000002,142.737,115.00200000000001,143.421,187.203,143.346,208.213,141.806,143.921,135.335,102.064,136.877,137.075,135.49,212.12900000000002,151.834,221.72299999999998,149.942,125.72,156.531,199.55,153.566,138.942,146.013,103.389,145.781,90.086,150.21200000000002,103.764,165.062,111.617,167.986,222.092,166.34400000000002,204.512,159.325,185.755,158.08700000000002,98.728,157.55200000000002,138.15200000000002,161.375,117.022,160.548,96.23200000000001,40.383,217.59099999999998,54.633,191.625,53.358999999999995,108.905,42.495,250.56599999999997,63.202,225.36700000000002,62.65,104.39200000000001,67.445,269.711,67.112,197.66299999999998,64.031,121.565,63.521,90.22399999999999,61.49,261.285,60.468,,,,,,,,,,,,,,,,
336.25,1345.0,,259.552,76.902,185.22400000000002,81.607,205.213,80.872,61.181999999999995,80.275,215.127,69.798,98.178,70.419,227.77599999999998,74.002,144.993,74.369,187.456,73.679,135.63,90.72200000000001,141.904,89.705,123.51299999999999,88.57799999999999,180.83,89.28200000000001,236.273,92.96,249.764,84.25200000000001,218.53,82.713,149.054,84.33,206.643,86.954,239.032,101.015,89.09200000000001,102.225,219.143,106.445,233.83599999999998,107.189,111.43799999999999,107.395,210.297,106.206,218.02200000000002,98.12700000000001,84.051,96.807,187.04,95.484,107.18,100.139,130.02100000000002,100.02,94.74,115.18799999999999,240.975,119.08,119.295,119.009,90.52,109.713,195.58900000000003,108.488,213.609,112.764,145.44899999999998,111.321,225.49400000000003,110.815,213.209,128.67700000000002,223.236,128.634,90.365,128.81799999999998,191.05700000000002,125.615,108.794,132.708,147.024,121.822,138.887,121.751,206.095,120.927,76.919,121.844,101.40700000000001,121.006,70.839,122.678,126.60700000000001,140.55200000000002,95.87100000000001,138.843,217.755,142.701,114.839,143.506,187.231,143.384,208.19299999999998,141.796,143.954,135.334,102.087,136.893,137.088,135.45600000000002,212.165,151.901,221.722,149.961,125.721,156.529,199.521,153.579,139.058,146.003,103.384,145.779,90.045,150.222,103.774,165.092,111.619,168.007,222.082,166.31,204.512,159.316,185.745,158.086,98.70200000000001,157.525,138.143,161.391,117.085,160.578,96.22200000000001,40.42,217.56,54.655,191.71200000000002,53.312,108.781,42.56,250.545,63.242,225.31599999999997,62.68600000000001,104.42399999999999,67.426,269.702,67.108,197.65400000000002,64.02,121.49799999999999,63.501000000000005,90.227,61.492,261.315,60.434,,,,,,,,,,,,,,,,
336.5,1346.0,,259.61,76.945,185.22,81.584,205.213,80.896,61.195,80.21,215.074,69.745,98.152,70.42399999999999,227.76,73.987,144.967,74.352,187.46200000000002,73.687,135.63,90.715,141.898,89.708,123.521,88.565,180.857,89.36,236.296,92.98100000000001,249.78400000000002,84.315,218.543,82.726,149.03,84.359,206.632,86.949,239.058,100.965,89.071,102.21799999999999,219.171,106.45,233.84,107.164,111.435,107.322,210.28599999999997,106.194,218.025,98.113,84.046,96.79700000000001,187.05200000000002,95.521,107.176,100.16799999999999,129.955,100.044,94.73200000000001,115.13799999999999,240.959,119.04899999999999,119.21,119.132,90.65700000000001,109.719,195.58599999999998,108.531,213.607,112.715,145.455,111.306,225.476,110.825,213.218,128.671,223.113,128.488,90.375,128.834,191.042,125.601,108.794,132.701,147.002,121.821,138.864,121.79,206.118,120.913,76.904,121.823,101.384,121.00200000000001,70.843,122.665,126.61200000000001,140.519,95.85600000000001,138.811,217.665,142.67,114.71700000000001,143.553,187.243,143.412,208.172,141.798,143.981,135.332,102.064,136.889,137.07,135.412,212.166,151.889,221.713,149.965,125.779,156.498,199.51,153.60399999999998,139.195,145.96200000000002,103.359,145.77200000000002,90.054,150.215,103.86200000000001,165.11,111.605,167.997,222.077,166.24900000000002,204.49400000000003,159.30200000000002,185.74400000000003,158.064,98.708,157.558,138.106,161.403,117.125,160.57299999999998,96.211,40.349000000000004,217.50599999999997,54.798,191.791,53.286,108.82700000000001,42.562,250.495,63.229,225.325,62.681000000000004,104.417,67.41,269.683,67.061,197.66299999999998,63.981,121.48299999999999,63.528999999999996,90.23200000000001,61.497,261.29400000000004,60.461000000000006,,,,,,,,,,,,,,,,
