TimesH,Frame,NoMissing,3,3,8,8,11,11,13,13,14,14,37,37,38,38,39,39,42,42,48,48,59,59,60,60,77,77,79,79,82,82,94,94,108,108,110,110,118,118,121,121,140,140,151,151,153,153,161,161,166,166,176,176,183,183,187,187,194,194,207,207,210,210,212,212,213,213,215,215,219,219,227,227,239,239,298,298,375,375,423,423,433,433,456,456,468,468,473,473,475,475,480,480,502,502,520,520,612,612,640,640,695,695,1004,1004,1418,1418,1503,1503,1658,1658,1716,1716,1846,1846,2015,2015,2141,2141,2289,2289
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
334.75,1339.0,,128.692,109.027,109.92299999999999,111.926,247.701,110.348,119.848,110.083,220.627,110.835,146.86,122.62,100.5,121.286,141.27700000000002,120.542,134.82399999999998,119.87799999999999,100.01700000000001,114.234,204.77900000000002,89.57600000000001,139.939,89.852,128.895,82.881,185.023,82.34100000000001,101.152,82.305,202.468,100.809,119.781,95.257,255.755,93.772,184.96,97.02600000000001,126.119,97.425,232.28599999999997,141.224,136.749,144.24,94.333,143.713,212.21200000000002,157.08,120.029,159.262,159.5,149.846,221.347,153.705,210.253,129.701,77.578,132.291,206.817,122.884,306.623,127.07,70.217,127.396,201.895,126.928,193.562,125.829,243.215,139.546,206.1,140.159,193.045,132.289,250.16400000000002,167.41299999999998,237.166,35.793,212.44400000000002,66.38600000000001,101.54,64.225,202.335,71.798,97.43700000000001,73.267,222.74900000000002,44.086000000000006,111.92,43.501000000000005,92.931,47.207,256.197,56.427,76.558,49.026,,,,,,,,,,,,,,,,,,,,,,,,
335.0,1340.0,,128.666,109.046,109.91,111.934,247.645,110.33,119.861,110.044,220.59599999999998,110.833,146.77700000000002,122.48100000000001,100.544,121.339,141.257,120.60799999999999,134.886,119.829,100.057,114.209,204.747,89.542,139.898,89.854,128.856,82.90100000000001,185.065,82.33,101.204,82.304,202.46900000000002,100.81,119.822,95.211,255.81,93.79,184.92,97.057,126.09200000000001,97.395,232.303,141.28,136.69,144.216,94.324,143.748,212.238,157.084,120.006,159.208,159.528,149.876,221.451,153.653,210.173,129.756,77.541,132.22799999999998,206.812,122.92399999999999,306.577,127.133,70.248,127.309,201.952,126.96700000000001,193.579,125.852,243.215,139.518,206.09900000000002,140.166,193.102,132.184,250.197,167.65599999999998,237.168,35.823,212.449,66.313,101.48,64.193,202.38400000000001,71.816,97.50200000000001,73.30199999999999,222.732,44.071999999999996,111.796,43.418,92.917,47.239,256.194,56.36,76.572,49.052,133.601,167.92700000000002,,,,,,,,,,,,,,,,,,,,,,
335.25,1341.0,,128.66299999999998,109.01899999999999,109.919,111.90299999999999,247.6,110.37799999999999,119.818,109.95200000000001,220.636,110.609,146.716,122.611,100.55799999999999,121.29299999999999,141.327,120.665,134.906,119.848,99.99700000000001,114.209,204.87599999999998,89.473,139.882,89.869,128.901,82.917,185.06799999999998,82.311,101.211,82.265,202.455,100.82700000000001,119.809,95.221,255.821,93.74600000000001,184.888,97.11399999999999,126.09,97.39299999999999,232.35299999999998,141.3,136.711,144.214,94.334,143.704,212.183,157.092,120.016,159.26,159.5,149.88,221.273,153.691,210.162,129.72299999999998,77.608,132.218,206.79,122.944,306.67900000000003,127.05799999999999,70.28699999999999,127.28299999999999,201.963,126.9,193.547,125.806,243.261,139.543,206.08700000000002,140.174,193.127,132.19,250.203,167.452,237.157,35.762,212.37599999999998,66.3,101.479,64.205,202.416,71.83,97.492,73.365,222.748,44.099,111.777,43.42100000000001,92.848,47.242,256.145,56.318999999999996,76.649,49.032,133.678,167.924,,,,,,,,,,,,,,,,,,,,,,
335.5,1342.0,,128.658,108.963,109.96799999999999,111.912,247.63400000000001,110.34700000000001,119.805,110.01700000000001,220.577,110.714,146.651,122.64200000000001,100.626,121.32700000000001,141.365,120.564,134.851,119.875,100.00299999999999,114.19200000000001,204.851,89.49,139.898,89.89200000000001,128.937,82.928,185.033,82.258,101.21600000000001,82.274,202.49599999999998,100.796,119.81299999999999,95.18799999999999,255.80599999999998,93.766,184.855,97.103,126.007,97.321,232.408,141.393,136.736,144.207,94.287,143.861,212.21599999999998,157.049,120.035,159.262,159.52700000000002,149.91,221.105,153.645,210.207,129.76,77.608,132.213,206.78099999999998,122.96799999999999,306.698,127.02600000000001,70.309,127.20299999999999,201.942,126.98100000000001,193.43200000000002,125.65799999999999,243.232,139.509,206.082,140.27200000000002,193.139,132.188,250.187,167.317,237.171,35.768,212.47299999999998,66.331,101.48200000000001,64.19800000000001,202.423,71.84,97.508,73.318,222.78400000000002,44.115,111.751,43.445,92.743,47.327,256.16900000000004,56.284,76.681,48.985,,,,,,,,,,,,,,,,,,,,,,,,
335.75,1343.0,,128.63299999999998,108.929,109.95700000000001,111.90700000000001,247.808,110.359,119.796,109.973,220.604,110.715,146.608,122.654,100.62700000000001,121.35799999999999,141.405,120.542,134.92600000000002,119.819,100.012,114.22200000000001,204.894,89.473,139.9,89.895,129.01,82.944,185.062,82.302,101.206,82.31200000000001,202.485,100.791,119.777,95.18299999999999,255.828,93.725,184.791,97.15700000000001,125.91,97.275,232.486,141.562,136.739,144.19799999999998,94.34700000000001,143.878,212.28599999999997,157.034,120.01700000000001,159.17700000000002,159.482,149.89,221.44299999999998,153.626,210.199,129.778,77.60600000000001,132.232,206.782,122.963,306.736,127.014,70.33,127.302,201.898,127.001,193.53099999999998,125.809,243.24599999999998,139.505,206.075,140.305,193.113,132.346,250.172,167.315,237.18099999999998,35.778,212.46400000000003,66.33800000000001,101.469,64.202,202.424,71.87,97.50399999999999,73.256,222.75,44.108999999999995,111.698,43.45,92.74799999999999,47.373999999999995,256.151,56.417,76.696,49.016000000000005,,,,,,,,,,,,,,,,,,,,,,,,
336.0,1344.0,,128.64600000000002,108.9,109.929,111.905,247.78400000000002,110.375,119.803,109.96700000000001,220.60299999999998,110.697,146.67600000000002,122.48100000000001,100.65299999999999,121.384,141.406,120.512,134.91899999999998,119.929,100.07600000000001,114.212,205.019,89.421,139.9,89.90100000000001,128.933,82.912,185.013,82.20700000000001,101.23100000000001,82.301,202.502,100.77600000000001,119.766,95.15799999999999,255.858,93.72200000000001,184.824,97.13799999999999,125.889,97.274,232.551,141.80700000000002,136.743,144.14600000000002,94.32700000000001,143.988,212.31599999999997,157.061,120.00299999999999,159.184,159.422,149.931,221.479,153.638,210.31599999999997,129.748,77.57300000000001,132.287,206.71599999999998,123.031,306.742,127.02,70.307,127.314,201.94299999999998,126.95700000000001,193.542,125.837,243.285,139.495,206.045,140.316,193.072,132.356,250.019,167.27900000000002,237.171,35.734,212.507,66.257,101.449,64.17699999999999,202.41099999999997,71.873,97.51100000000001,73.279,222.77700000000002,44.146,111.706,43.471000000000004,92.70700000000001,47.369,256.115,56.44,76.70100000000001,49.008,,,,,,,,,,,,,,,,,,,,,,,,
336.25,1345.0,,128.635,108.885,109.904,111.904,247.80700000000002,110.36399999999999,119.773,109.95,220.709,110.486,150.862,118.01899999999999,100.637,121.37100000000001,141.407,120.57600000000001,134.90200000000002,119.859,100.103,114.25,205.207,89.443,139.925,89.895,128.989,82.87200000000001,184.926,82.16799999999999,101.251,82.26100000000001,202.482,100.77600000000001,119.788,95.09200000000001,255.87,93.71600000000001,184.832,97.18299999999999,125.91799999999999,97.322,232.517,141.81799999999998,136.764,144.174,94.39200000000001,143.952,212.347,157.07,120.00399999999999,159.2,159.404,149.99,221.72,153.733,210.328,129.741,77.506,132.253,206.696,123.024,306.70799999999997,127.068,70.248,127.41,201.926,126.95,193.40200000000002,125.635,243.299,139.491,206.046,140.316,193.14,132.27200000000002,250.072,167.08,237.169,35.758,212.481,66.187,101.458,64.183,202.38099999999997,71.82600000000001,97.46799999999999,73.28399999999999,222.762,44.121,111.713,43.48,92.691,47.441,256.099,56.434,76.626,48.966,,,,,,,,,,,,,,,,,,,,,,,,
336.5,1346.0,,128.563,108.834,109.853,111.95700000000001,247.799,110.359,119.758,109.96,220.61900000000003,110.68299999999999,150.856,117.936,100.631,121.355,141.431,120.537,134.934,119.912,100.12899999999999,114.243,205.265,89.413,139.914,89.89200000000001,129.013,82.83200000000001,184.894,82.119,101.265,82.25200000000001,202.44299999999998,100.795,119.811,95.086,255.896,93.7,184.835,97.165,125.927,97.25399999999999,232.35299999999998,141.493,136.722,144.129,94.39399999999999,143.99200000000002,212.345,157.058,119.992,159.189,159.374,149.961,221.28900000000002,153.619,210.296,129.77100000000002,77.494,132.345,206.68,122.99799999999999,306.66,127.147,70.255,127.45100000000001,201.93200000000002,126.943,193.419,125.68,243.267,139.514,205.99400000000003,140.338,193.15599999999998,132.235,250.095,167.076,237.197,35.715,212.476,66.12100000000001,101.473,64.186,202.40200000000002,71.804,97.44200000000001,73.249,222.78400000000002,44.121,111.60700000000001,43.335,92.671,47.482,256.09,56.418,76.619,48.997,,,,,,,,,,,,,,,,,,,,,,,,
