TimesH,Frame,NoMissing,2,2,3,3,4,4,7,7,8,8,9,9,11,11,15,15,17,17,19,19,20,20,22,22,23,23,24,24,25,25,27,27,28,28,29,29,30,30,34,34,35,35,38,38,40,40,41,41,42,42,47,47,49,49,50,50,51,51,52,52,53,53,56,56,58,58,60,60,61,61,62,62,64,64,65,65,70,70,71,71,72,72,73,73,75,75,76,76,78,78,79,79,80,80,82,82,84,84,87,87,90,90,91,91,92,92,93,93,94,94,96,96,97,97,99,99,100,100,101,101,102,102,106,106,108,108,109,109,110,110,111,111,113,113,114,114,118,118,122,122,123,123,125,125,126,126,128,128,129,129,131,131,134,134,138,138,139,139,140,140,143,143,145,145,148,148,149,149,151,151,153,153,155,155,158,158,159,159,162,162,163,163,168,168,175,175,177,177,178,178,180,180,183,183,184,184,185,185,188,188,190,190,191,191,192,192,194,194,196,196,198,198,199,199,200,200,201,201,205,205,208,208,211,211,212,212,213,213,214,214,216,216,245,245,246,246,256,256,260,260,349,349,356,356,368,368,389,389,395,395,435,435,436,436,491,491,497,497
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
48.25,193.0,,195.137,72.182,129.815,72.187,109.61,79.372,164.13299999999998,76.236,92.285,64.705,175.33599999999998,62.472,179.774,58.666000000000004,103.363,67.149,201.71900000000002,89.47399999999999,84.02600000000001,86.92200000000001,176.16,91.88600000000001,229.00599999999997,89.49,106.087,90.0,97.802,82.02,195.77,80.904,186.72,80.346,115.848,83.369,175.52599999999998,82.499,123.72399999999999,81.919,211.08,98.294,65.42399999999999,102.62700000000001,133.686,101.09100000000001,92.42299999999999,94.61200000000001,137.328,92.60600000000001,200.08599999999998,98.19,140.011,109.66799999999999,90.89200000000001,109.00399999999999,230.125,114.12799999999999,248.084,111.6,125.75200000000001,112.412,176.611,107.083,119.959,102.912,79.26899999999999,107.495,191.43599999999998,107.015,103.273,122.999,128.407,121.741,84.48299999999999,122.23100000000001,160.35399999999998,126.16799999999999,139.048,117.96,168.408,115.50399999999999,108.09299999999999,115.743,67.612,121.99799999999999,160.69899999999998,119.06200000000001,193.101,117.929,203.294,133.881,155.545,134.041,181.578,133.534,167.459,138.195,79.263,137.537,58.266000000000005,126.94,134.798,131.972,66.255,130.833,111.639,144.648,275.69,144.085,223.36599999999999,144.023,134.216,147.162,42.858000000000004,147.069,152.983,145.592,142.775,140.483,63.825,140.144,53.056000000000004,140.003,38.049,141.365,75.65899999999999,153.762,149.82,152.997,49.727,152.833,253.563,152.131,134.797,154.67,35.843,154.835,246.09400000000002,149.155,94.48700000000001,151.086,65.81,150.882,71.559,159.737,59.926,158.95,253.227,161.474,207.926,160.515,85.135,155.768,172.21099999999998,154.657,113.59700000000001,156.195,129.06799999999998,167.982,261.61400000000003,167.459,89.07700000000001,170.42700000000002,242.417,167.942,100.38,164.136,46.141999999999996,162.52,158.423,165.40400000000002,110.595,164.65099999999998,141.851,175.17700000000002,80.73899999999999,174.372,205.187,178.35299999999998,252.227,174.56799999999998,117.68700000000001,170.72799999999998,184.231,172.49599999999998,36.973,185.611,239.312,183.512,199.78599999999997,184.24099999999999,99.314,178.683,45.592,180.937,259.827,180.09400000000002,234.127,180.343,232.687,189.227,47.63399999999999,194.46099999999998,83.322,192.157,245.37599999999998,190.87400000000002,50.629,187.149,183.213,186.071,98.196,188.78099999999998,69.62,187.644,218.44799999999998,186.998,118.05799999999999,186.68099999999998,171.424,200.325,53.595,204.09400000000002,206.333,195.127,183.99400000000003,194.69,103.76899999999999,194.59,200.016,199.111,91.55799999999999,199.149,186.791,55.645,172.977,52.998999999999995,,,,,,,,,,,,,,,,,,,,,,
48.5,194.0,,195.15900000000002,72.207,129.809,72.192,109.602,79.388,164.144,76.242,92.28399999999999,64.743,175.315,62.513999999999996,179.771,58.633,103.34100000000001,67.184,201.80900000000003,89.441,84.03,86.947,176.162,91.921,228.99400000000003,89.501,106.102,90.116,97.79700000000001,82.041,195.768,80.93,186.688,80.355,115.88600000000001,83.352,175.56900000000002,82.522,123.715,81.918,211.051,98.301,65.433,102.676,133.709,101.05799999999999,92.397,94.609,137.295,92.626,200.062,98.22399999999999,139.999,109.671,90.98899999999999,109.046,230.13099999999997,114.133,248.06599999999997,111.601,125.72200000000001,112.449,176.542,107.053,119.941,102.928,79.29,107.535,191.435,107.007,103.277,123.005,128.405,121.75399999999999,84.484,122.21799999999999,160.365,126.171,139.066,117.969,168.41299999999998,115.521,108.037,115.743,67.623,121.99799999999999,160.686,119.04,193.075,117.93299999999999,203.275,133.89,155.55,134.017,181.56799999999998,133.535,167.463,138.179,79.256,137.5,58.282,126.929,134.8,131.964,66.252,130.843,111.62299999999999,144.643,275.657,144.1,223.351,144.063,134.157,147.165,42.867,147.066,152.998,145.627,142.786,140.417,63.833999999999996,140.13,53.062,140.02700000000002,37.982,141.34799999999998,75.679,153.764,149.82399999999998,153.006,49.74100000000001,152.839,253.55200000000002,152.127,134.77,154.634,35.846,154.85,246.08599999999998,149.16899999999998,94.479,151.092,65.831,150.877,71.555,159.708,59.951,158.959,253.28799999999998,161.517,207.919,160.52200000000002,85.10700000000001,155.791,172.21200000000002,154.671,113.625,156.171,129.066,167.99400000000003,261.762,167.477,89.065,170.41299999999998,242.40200000000002,167.90200000000002,100.376,164.127,46.161,162.519,158.405,165.423,110.605,164.657,141.82399999999998,175.095,80.748,174.37,205.18099999999998,178.34099999999998,252.229,174.571,117.67200000000001,170.72,184.21599999999998,172.5,36.974000000000004,185.604,239.294,183.52,199.791,184.24,99.29299999999999,178.66400000000002,45.577,180.93900000000002,259.816,180.10299999999998,234.09099999999998,180.321,232.669,189.24400000000003,47.655,194.46900000000002,83.301,192.135,245.359,190.88299999999998,50.635,187.2,183.21599999999998,186.063,98.20299999999999,188.798,69.624,187.63,218.447,187.015,118.053,186.672,171.63299999999998,200.40200000000002,53.571999999999996,204.058,206.375,195.141,184.107,194.989,103.771,194.611,200.00900000000001,199.12400000000002,91.538,199.137,186.80700000000002,55.693999999999996,172.972,53.019,,,,,,,,,,,,,,,,,,,,,,
48.75,195.0,,195.165,72.268,129.793,72.2,109.573,79.43,164.165,76.251,92.27799999999999,64.75399999999999,175.321,62.528999999999996,179.828,58.678000000000004,103.318,67.19800000000001,201.882,89.449,84.036,86.96700000000001,176.171,91.958,228.928,89.54700000000001,106.09299999999999,90.161,97.76700000000001,82.059,195.774,80.94800000000001,186.64700000000002,80.415,115.868,83.37700000000001,175.56900000000002,82.545,123.709,81.94,211.028,98.31200000000001,65.423,102.755,133.697,101.086,92.413,94.63600000000001,137.254,92.654,200.044,98.259,139.998,109.666,90.976,109.089,230.097,114.18299999999999,248.076,111.602,125.655,112.476,176.717,107.134,119.928,102.929,79.29899999999999,107.556,191.43900000000002,106.986,103.285,123.021,128.404,121.758,84.495,122.228,160.36700000000002,126.199,139.071,117.992,168.392,115.56299999999999,108.056,115.709,67.62,121.985,160.68,119.041,193.132,117.964,203.273,133.889,155.558,134.03799999999998,181.563,133.47899999999998,167.47299999999998,138.168,79.264,137.52,58.292,126.946,134.786,131.972,66.25399999999999,130.86,111.60600000000001,144.613,275.63,144.15,223.357,144.097,134.164,147.119,42.882,147.071,153.056,145.612,142.768,140.446,63.826,140.144,53.06,139.998,37.944,141.32,75.689,153.776,149.825,153.00799999999998,49.75899999999999,152.846,253.551,152.131,134.743,154.51,35.848,154.864,246.071,149.16899999999998,94.49,151.086,65.834,150.881,71.56,159.707,59.964,158.976,253.275,161.523,207.90200000000002,160.52100000000002,85.07,155.786,172.232,154.673,113.654,156.127,129.06,168.0,261.782,167.412,89.07600000000001,170.40900000000002,242.4,167.889,100.40700000000001,164.15,46.138000000000005,162.534,158.39,165.533,110.59299999999999,164.69,141.834,175.111,80.764,174.378,205.168,178.342,252.243,174.549,117.666,170.708,184.234,172.447,36.983000000000004,185.607,239.29,183.571,199.794,184.213,99.303,178.612,45.567,180.923,259.809,180.09099999999998,234.082,180.27900000000002,232.643,189.248,47.648,194.535,83.335,192.107,245.354,190.892,50.677,187.201,183.203,186.062,98.20200000000001,188.78099999999998,69.608,187.643,218.442,187.015,118.057,186.665,171.47099999999998,200.257,53.614,204.03400000000002,206.458,195.083,184.095,194.963,103.721,194.604,200.03,199.093,91.617,199.12400000000002,186.824,55.743,172.984,53.053000000000004,,,,,,,,,,,,,,,,,,,,,,
49.0,196.0,,195.168,72.306,129.77200000000002,72.211,109.556,79.476,164.174,76.262,92.26899999999999,64.767,175.329,62.553000000000004,179.792,58.68,103.28200000000001,67.204,201.86599999999999,89.49799999999999,84.03299999999999,86.995,176.18,91.98100000000001,228.915,89.54899999999999,106.154,90.289,97.821,82.06200000000001,195.77900000000002,80.96600000000001,186.47099999999998,80.558,115.887,83.396,175.593,82.584,123.697,81.93799999999999,210.987,98.35600000000001,65.435,102.814,133.671,101.042,92.387,94.69,137.216,92.67399999999999,200.02700000000002,98.334,139.99200000000002,109.665,90.904,109.07799999999999,230.046,114.219,248.06900000000002,111.583,125.634,112.48700000000001,176.703,107.169,119.926,102.985,79.313,107.59700000000001,191.438,106.99700000000001,103.289,123.03,128.391,121.765,84.499,122.241,160.361,126.24,139.079,117.992,168.364,115.57799999999999,108.031,115.736,67.625,122.03,160.637,119.038,193.12099999999998,117.98899999999999,203.25,133.877,155.567,134.078,181.56900000000002,133.453,167.463,138.17700000000002,79.295,137.537,58.29,126.964,134.774,131.974,66.247,130.874,111.615,144.616,275.644,144.235,223.377,144.095,134.13,147.001,42.887,147.086,153.05200000000002,145.631,142.75799999999998,140.469,63.838,140.16,53.049,140.002,37.935,141.31,75.691,153.793,149.803,153.023,49.775,152.849,253.546,152.127,134.744,154.623,35.873000000000005,154.868,246.063,149.195,94.488,151.119,65.847,150.876,71.563,159.711,59.961000000000006,158.985,253.24599999999998,161.455,207.893,160.525,85.027,155.753,172.253,154.64600000000002,113.685,156.089,129.065,168.013,261.784,167.382,89.09700000000001,170.435,242.393,167.91,100.384,164.15599999999998,46.118,162.608,158.274,165.41099999999997,110.585,164.72799999999998,141.841,175.171,80.785,174.391,205.15900000000002,178.345,252.231,174.542,117.662,170.702,184.27,172.386,36.992,185.609,239.287,183.55900000000003,199.78900000000002,184.208,99.323,178.56400000000002,45.553000000000004,180.90200000000002,259.791,180.095,234.10299999999998,180.252,232.62900000000002,189.23,47.641999999999996,194.622,83.323,192.092,245.357,190.892,50.7,187.245,183.202,186.084,98.20700000000001,188.787,69.607,187.643,218.44400000000002,187.035,118.065,186.673,171.36599999999999,200.243,53.648,204.047,206.468,195.107,184.028,194.808,103.706,194.58599999999998,200.053,199.074,91.611,199.09,186.761,55.761,172.976,53.09,,,190.95,147.67700000000002,,,,,,,,,,,,,,,,,,
49.25,197.0,,195.18400000000003,72.33,129.732,72.197,109.537,79.494,164.18099999999998,76.273,92.255,64.79899999999999,175.328,62.566,179.766,58.67,103.26799999999999,67.202,201.752,89.541,84.036,87.027,176.18400000000003,91.993,228.882,89.55,106.18299999999999,90.426,97.766,82.12799999999999,195.77700000000002,80.988,186.50799999999998,80.707,115.905,83.404,175.572,82.62799999999999,123.704,81.977,210.946,98.39399999999999,65.433,102.88,133.666,101.035,92.4,94.71600000000001,137.17700000000002,92.695,200.01,98.39200000000001,139.986,109.68299999999999,90.895,109.22200000000001,230.024,114.225,248.081,111.617,125.50399999999999,112.52799999999999,176.729,107.238,119.93799999999999,103.024,79.306,107.637,191.43099999999998,107.001,103.29,123.04299999999999,128.39700000000002,121.788,84.49799999999999,122.255,160.37,126.29299999999999,139.08700000000002,117.995,168.34900000000002,115.59700000000001,107.979,115.773,67.619,122.066,160.621,119.06299999999999,193.16299999999998,118.03,203.239,133.879,155.575,134.102,181.609,133.391,167.46900000000002,138.179,79.322,137.526,58.298,126.975,134.774,131.983,66.25,130.89,111.617,144.636,275.574,144.27,223.40900000000002,144.12,134.157,147.03,42.901,147.08700000000002,153.11,145.628,142.739,140.489,63.861000000000004,140.192,53.098,140.02100000000002,37.914,141.32,75.725,153.834,149.805,153.023,49.79600000000001,152.861,253.541,152.1,134.72899999999998,154.671,35.876999999999995,154.862,246.063,149.211,94.507,151.13,65.842,150.893,71.56,159.722,59.965,159.002,253.25099999999998,161.414,207.872,160.531,84.97200000000001,155.725,172.285,154.634,113.704,156.042,129.054,168.043,261.764,167.485,89.118,170.454,242.363,167.93099999999998,100.396,164.143,46.126000000000005,162.576,158.251,165.295,110.58,164.765,141.847,175.34,80.805,174.40200000000002,205.145,178.351,252.169,174.57,117.679,170.703,184.292,172.34099999999998,36.993,185.608,239.25,183.58700000000002,199.791,184.21,99.322,178.53400000000002,45.558,180.891,259.784,180.09,234.085,180.247,232.597,189.208,47.563,194.84,83.29899999999999,192.106,245.34799999999998,190.891,50.758,187.231,183.192,186.07,98.20100000000001,188.804,69.618,187.667,218.463,187.037,118.06700000000001,186.665,171.33900000000003,200.207,53.721000000000004,204.02700000000002,206.43900000000002,195.13400000000001,184.065,194.847,103.7,194.58700000000002,200.021,199.101,91.64,199.113,186.738,55.809,172.96400000000003,53.117,134.20600000000002,85.213,191.13400000000001,147.53,,,,,,,,,,,,,,,,,,
49.5,198.0,,195.176,72.357,129.685,72.187,109.51899999999999,79.51899999999999,164.19,76.274,92.26299999999999,64.835,175.31,62.586000000000006,179.785,58.65,103.25399999999999,67.236,201.705,89.601,84.046,87.054,176.19400000000002,92.021,228.81799999999998,89.59899999999999,106.14200000000001,90.427,97.75399999999999,82.177,195.771,81.007,186.457,80.752,115.884,83.443,175.597,82.663,123.693,81.98200000000001,210.93200000000002,98.41799999999999,65.431,102.94,133.631,101.075,92.42399999999999,94.758,137.132,92.7,199.984,98.456,139.969,109.68799999999999,90.838,109.339,229.96400000000003,114.292,248.08900000000003,111.664,125.539,112.555,176.709,107.214,119.928,103.054,79.32600000000001,107.681,191.428,106.99700000000001,103.294,123.053,128.388,121.803,84.515,122.27,160.357,126.34299999999999,139.07399999999998,118.01799999999999,168.334,115.59200000000001,107.962,115.804,67.635,122.118,160.60399999999998,119.09700000000001,193.175,118.045,203.268,133.88299999999998,155.588,134.115,181.653,133.406,167.465,138.19799999999998,79.331,137.535,58.312,126.985,134.757,131.988,66.251,130.91,111.61399999999999,144.659,275.647,144.287,223.40900000000002,144.142,134.17700000000002,147.014,42.915,147.086,153.143,145.611,142.743,140.511,63.875,140.207,53.093999999999994,140.04399999999998,37.906,141.326,75.735,153.881,149.817,153.028,49.799,152.868,253.53099999999998,152.08700000000002,134.72299999999998,154.67600000000002,35.863,154.931,246.05599999999998,149.243,94.521,151.115,65.876,150.898,71.572,159.744,60.007,158.999,253.174,161.339,207.854,160.525,84.912,155.708,172.296,154.621,113.70200000000001,156.00799999999998,129.049,168.05599999999998,261.79200000000003,167.524,89.12100000000001,170.44400000000002,242.355,168.021,100.414,164.14,46.125,162.655,158.244,165.28799999999998,110.586,164.81400000000002,141.851,175.16099999999997,80.828,174.407,205.137,178.357,252.142,174.576,117.676,170.672,184.28900000000002,172.347,36.996,185.641,239.229,183.637,199.785,184.201,99.32700000000001,178.505,45.553000000000004,180.896,259.778,180.097,234.07299999999998,180.233,232.578,189.225,47.586000000000006,194.861,83.27600000000001,192.14,245.34,190.90200000000002,50.8,187.23,183.171,186.07299999999998,98.206,188.81,69.598,187.68599999999998,218.46099999999998,187.041,118.072,186.673,171.49099999999999,200.273,53.733000000000004,204.067,206.41099999999997,195.109,183.984,194.593,103.788,194.581,200.018,199.102,91.654,199.145,186.75,55.828,172.93200000000002,53.173,134.165,85.257,191.15200000000002,147.493,,,,,,,,,,,,,,,,,,
49.75,199.0,,195.166,72.36399999999999,129.662,72.217,109.49,79.586,164.199,76.28,92.26,64.827,175.31,62.603,179.787,58.657,103.25299999999999,67.275,201.644,89.584,84.056,87.081,176.2,92.04299999999999,228.829,89.581,106.156,90.47200000000001,97.67200000000001,82.14,195.77200000000002,81.025,186.40099999999998,80.892,115.85799999999999,83.485,175.578,82.68299999999999,123.684,82.01799999999999,210.921,98.42,65.44,102.99700000000001,133.628,101.069,92.38,94.904,137.127,92.709,199.998,98.521,139.961,109.694,90.76899999999999,109.40899999999999,229.94099999999997,114.307,248.053,111.68799999999999,125.506,112.583,176.74,107.24,119.92,103.06200000000001,79.337,107.704,191.41299999999998,107.01299999999999,103.29299999999999,123.06700000000001,128.36,121.806,84.525,122.28399999999999,160.34,126.387,139.075,118.03399999999999,168.33700000000002,115.62,107.96600000000001,115.822,67.642,122.137,160.593,119.12299999999999,193.17700000000002,118.068,203.275,133.92700000000002,155.602,134.131,181.68099999999998,133.369,167.458,138.23,79.322,137.511,58.325,127.01799999999999,134.753,132.009,66.249,130.933,111.613,144.709,275.613,144.347,223.419,144.174,134.159,146.98,42.924,147.099,153.127,145.61,142.738,140.494,63.885,140.215,53.102,140.048,37.899,141.332,75.737,153.9,149.821,153.04399999999998,49.815,152.886,253.521,152.079,134.71,154.806,35.838,154.95,246.05200000000002,149.27200000000002,94.508,151.123,65.889,150.90200000000002,71.57,159.755,60.026,159.017,253.095,161.36,207.861,160.542,84.884,155.70600000000002,172.31099999999998,154.608,113.72399999999999,156.014,129.019,168.074,261.862,167.44099999999997,89.12799999999999,170.426,242.36,168.067,100.405,164.114,46.106,162.719,158.30200000000002,165.27200000000002,110.56299999999999,164.825,141.912,175.06,80.842,174.417,205.11599999999999,178.38,252.093,174.59599999999998,117.70700000000001,170.66099999999997,184.293,172.354,36.981,185.641,239.195,183.675,199.792,184.175,99.316,178.489,45.566,180.91400000000002,259.772,180.102,234.06599999999997,180.245,232.5,189.282,47.589,194.893,83.34100000000001,192.09099999999998,245.328,190.898,50.828,187.226,183.15900000000002,186.075,98.20100000000001,188.815,69.616,187.688,218.50400000000002,187.05200000000002,118.069,186.671,171.704,200.356,53.74100000000001,204.00599999999997,206.641,195.13400000000001,184.005,194.67,103.76700000000001,194.53799999999998,200.002,199.092,91.676,199.12,186.71200000000002,55.842,172.919,53.202,134.113,85.28399999999999,191.183,147.465,,,,,,,,,,,,,,,,,,
50.0,200.0,,195.201,72.359,129.648,72.23100000000001,109.478,79.62,164.217,76.296,92.262,64.837,175.30599999999998,62.645,179.925,58.674,103.266,67.257,201.673,89.664,84.068,87.1,176.218,92.07600000000001,228.797,89.63799999999999,106.196,90.615,97.656,82.28299999999999,195.77200000000002,81.05199999999999,186.398,80.97800000000001,115.84100000000001,83.516,175.597,82.71700000000001,123.676,82.03399999999999,210.917,98.431,65.464,103.051,133.593,101.08,92.359,94.98100000000001,137.08,92.712,199.959,98.535,139.959,109.698,90.766,109.461,229.93200000000002,114.339,248.05599999999998,111.73200000000001,125.51100000000001,112.598,176.697,107.3,119.91799999999999,103.065,79.337,107.71799999999999,191.41,107.045,103.29799999999999,123.084,128.352,121.833,84.51799999999999,122.292,160.341,126.435,139.075,118.06299999999999,168.30700000000002,115.667,107.991,115.885,67.64699999999999,122.19200000000001,160.583,119.15,193.176,118.06700000000001,203.313,133.936,155.61700000000002,134.168,181.68400000000003,133.342,167.46200000000002,138.263,79.333,137.502,58.339,127.039,134.749,132.018,66.25,130.96,111.613,144.713,275.61,144.347,223.416,144.165,134.153,147.013,42.93899999999999,147.105,153.131,145.58700000000002,142.733,140.484,63.883,140.217,53.106,140.07,37.881,141.345,75.726,153.94799999999998,149.81,153.077,49.825,152.909,253.515,152.093,134.71,154.873,35.84,154.99,246.051,149.284,94.514,151.102,65.908,150.916,71.571,159.774,60.048,159.005,253.047,161.366,207.835,160.547,84.861,155.727,172.335,154.59799999999998,113.735,156.064,129.0,168.093,261.9,167.206,89.12899999999999,170.43599999999998,242.36700000000002,168.128,100.427,164.09400000000002,46.158,162.754,158.309,165.26,110.571,164.864,141.94899999999998,174.981,80.851,174.424,205.09900000000002,178.37900000000002,252.06900000000002,174.636,117.689,170.646,184.29,172.368,36.986999999999995,185.649,239.16299999999998,183.683,199.77599999999998,184.18,99.335,178.465,45.577,180.93400000000003,259.755,180.12099999999998,234.06400000000002,180.24900000000002,232.493,189.22400000000002,47.578,194.957,83.336,192.072,245.322,190.912,50.856,187.226,183.162,186.07299999999998,98.197,188.831,69.642,187.68400000000003,218.50799999999998,187.06799999999998,118.081,186.68200000000002,171.66099999999997,200.338,53.66,203.96,206.67,195.14,183.989,194.554,103.773,194.537,199.99400000000003,199.037,91.662,199.111,186.699,55.885,172.88,53.225,134.114,85.27600000000001,191.16099999999997,147.518,,,,,,,,,,,,,,,,,,
