TimesH,Frame,NoMissing,26,26,35,35,37,37,46,46,51,51,55,55,61,61,67,67,76,76,83,83,86,86,88,88,89,89,90,90,99,99,106,106,107,107,108,108,112,112,122,122,126,126,127,127,128,128,129,129,131,131,134,134,135,135,140,140,142,142,147,147,151,151,155,155,160,160,162,162,170,170,174,174,175,175,177,177,180,180,182,182,199,199,200,200,201,201,203,203,204,204,205,205,206,206,209,209,211,211,216,216,218,218,219,219,223,223,225,225,226,226,228,228,229,229,234,234,236,236,238,238,239,239,240,240,248,248,257,257,261,261,264,264,270,270,271,271,275,275,276,276,278,278,279,279,280,280,281,281,282,282,284,284,285,285,292,292,293,293,297,297,300,300,301,301,315,315,321,321,350,350,405,405,412,412,464,464,476,476,487,487,505,505,516,516,526,526,599,599,608,608
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
48.25,193.0,,108.669,25.496,180.267,37.184,163.896,41.748000000000005,105.804,48.773,185.40599999999998,56.122,111.118,59.738,177.543,62.028,103.292,68.176,211.794,71.558,189.31599999999997,76.517,86.492,78.492,123.34200000000001,80.455,100.042,82.12299999999999,196.261,82.316,84.529,88.335,200.93400000000003,90.919,239.938,91.355,130.9,92.206,184.955,92.414,213.46099999999998,99.181,144.934,102.152,202.327,102.706,157.225,103.09299999999999,195.885,102.881,181.824,103.58200000000001,172.81900000000002,105.64,99.634,106.53399999999999,208.25900000000001,108.34700000000001,244.097,108.78,42.226000000000006,113.37700000000001,82.99700000000001,114.37299999999999,237.158,114.86399999999999,57.111000000000004,119.913,163.926,119.869,219.896,124.87,155.822,125.516,107.00200000000001,127.12799999999999,97.73,129.528,202.477,129.651,121.735,130.678,222.533,137.967,101.154,138.754,43.851000000000006,140.05,196.312,141.451,35.598,142.532,92.54799999999999,142.019,179.433,141.704,252.80900000000003,143.77200000000002,218.567,145.05,51.67,148.262,62.115,149.376,147.208,148.514,122.225,151.688,251.555,151.515,35.762,153.05200000000002,83.40799999999999,152.64,96.585,152.66,151.024,157.236,216.94099999999997,157.131,169.537,157.707,59.852,158.844,110.58,159.313,73.61399999999999,162.892,89.661,167.317,156.306,168.142,116.986,169.153,69.368,172.08700000000002,129.804,171.53400000000002,34.783,173.08900000000003,59.5,173.463,103.902,176.22099999999998,263.735,176.247,167.798,177.31099999999998,202.52700000000002,176.743,241.864,176.62,43.369,178.622,88.68700000000001,178.83599999999998,71.812,182.57299999999998,230.683,182.987,247.364,184.584,110.771,185.704,258.973,185.657,197.858,195.463,41.159,199.0,,,,,,,,,,,,,,,,,,,,,,
48.5,194.0,,108.631,25.538,180.33,37.193000000000005,163.82299999999998,41.706,105.772,48.818999999999996,185.44400000000002,56.169,111.055,59.761,177.56400000000002,62.026,103.28399999999999,68.02199999999999,211.791,71.55199999999999,189.33599999999998,76.454,86.566,78.443,123.36,80.516,99.85,81.913,196.267,82.367,84.53,88.273,200.90200000000002,90.902,239.90400000000002,91.352,130.879,92.295,184.942,92.456,213.454,99.26899999999999,144.835,102.258,202.25799999999998,102.681,157.275,103.116,195.85299999999998,102.963,181.885,103.65,172.84099999999998,105.605,99.639,106.545,208.264,108.333,244.05700000000002,108.78399999999999,42.233000000000004,113.34299999999999,82.97399999999999,114.345,237.125,114.90799999999999,57.123999999999995,119.936,163.96,119.928,219.926,124.91,155.829,125.50200000000001,107.00299999999999,127.139,97.711,129.50799999999998,202.484,129.697,121.723,130.709,222.537,137.996,101.15100000000001,138.764,43.85,140.055,196.405,141.423,35.606,142.468,92.554,142.01,179.394,141.705,252.882,143.705,218.56599999999997,145.031,51.665,148.268,62.135,149.357,147.197,148.51,122.25200000000001,151.72,251.547,151.52,35.773,153.034,83.383,152.672,96.54799999999999,152.619,151.014,157.226,216.93900000000002,157.15200000000002,169.55700000000002,157.705,59.868,158.85299999999998,110.54700000000001,159.463,73.656,162.91299999999998,89.641,167.28900000000002,156.334,168.155,116.99700000000001,169.11599999999999,69.367,172.071,129.784,171.523,34.778,173.09799999999998,59.49100000000001,173.412,103.913,176.21200000000002,263.70599999999996,176.294,167.766,177.266,202.91400000000002,177.093,241.821,176.612,43.376000000000005,178.62599999999998,88.68700000000001,178.85,71.837,182.611,230.554,182.96,247.356,184.579,110.766,185.706,258.965,185.66400000000002,197.83900000000003,195.459,41.155,198.97799999999998,,,,,,,,,,,,,,,,,,,,,,
48.75,195.0,,108.63799999999999,25.564,180.34099999999998,37.145,163.96599999999998,41.913000000000004,105.789,48.849,185.36900000000003,56.181000000000004,111.083,59.724,177.54,62.023,103.295,68.084,211.767,71.553,189.327,76.469,86.535,78.477,123.32600000000001,80.473,99.906,82.038,196.253,82.43,84.542,88.325,200.88,90.913,239.928,91.435,130.81,92.31200000000001,184.925,92.522,213.43400000000003,99.314,144.787,102.302,201.99400000000003,102.492,157.303,103.155,195.817,102.961,181.861,103.684,172.808,105.669,99.662,106.587,208.3,108.339,244.03799999999998,108.819,42.223,113.365,82.964,114.33200000000001,237.085,114.905,57.14,119.995,163.988,119.97,219.87599999999998,124.912,155.806,125.51,106.99600000000001,127.133,97.70100000000001,129.541,202.47799999999998,129.727,121.712,130.80200000000002,222.555,138.009,101.146,138.77,43.86,140.029,196.393,141.429,35.666,142.451,92.553,141.984,179.38299999999998,141.724,252.93599999999998,143.68,218.56900000000002,145.026,51.685,148.251,62.148,149.356,147.18200000000002,148.507,122.195,151.641,251.50900000000001,151.51,35.723,153.036,83.38799999999999,152.68200000000002,96.475,152.779,151.011,157.227,216.954,157.099,169.54,157.741,59.842,158.88,110.53399999999999,159.597,73.656,162.914,89.66799999999999,167.28,156.377,168.176,116.979,169.145,69.369,172.111,129.725,171.543,34.808,173.097,59.498999999999995,173.34799999999998,103.92299999999999,176.208,263.663,176.343,167.763,177.27,202.94099999999997,177.142,241.847,176.608,43.376000000000005,178.627,88.68799999999999,178.86,71.752,182.608,230.78400000000002,182.94799999999998,247.33599999999998,184.542,110.78200000000001,185.699,258.942,185.67700000000002,197.834,195.47299999999998,41.174,198.983,,,,,,,,,,,,,,,,,,,,,,
49.0,196.0,,108.66799999999999,25.51,180.342,37.204,164.085,41.912,105.786,48.838,185.395,56.196999999999996,111.06700000000001,59.824,177.53400000000002,62.101000000000006,103.28399999999999,68.218,211.743,71.57600000000001,189.33599999999998,76.513,86.463,78.58,123.34700000000001,80.46600000000001,99.736,81.94,196.267,82.47,84.566,88.31700000000001,200.856,90.92200000000001,239.919,91.45200000000001,130.774,92.314,184.91099999999997,92.579,213.429,99.396,144.751,102.43700000000001,201.917,102.43700000000001,157.347,103.196,195.886,102.866,181.926,103.772,172.77,105.70200000000001,99.679,106.603,208.21099999999998,108.34100000000001,244.024,108.852,42.211999999999996,113.387,82.978,114.331,237.08,114.988,57.148999999999994,120.022,164.00099999999998,120.008,219.769,124.891,155.776,125.50299999999999,106.991,127.14399999999999,97.699,129.572,202.47299999999998,129.755,121.695,130.86700000000002,222.58,138.033,101.14,138.776,43.86,140.015,196.38099999999997,141.44799999999998,35.727,142.45600000000002,92.51899999999999,141.967,179.38299999999998,141.761,252.951,143.688,218.59099999999998,145.035,51.681999999999995,148.231,62.131,149.36,147.202,148.519,122.214,151.678,251.52599999999998,151.531,35.707,153.029,83.37899999999999,152.68200000000002,96.449,152.843,151.03,157.226,217.043,157.067,169.53599999999997,157.812,59.878,158.871,110.56,159.786,73.689,162.92600000000002,89.681,167.304,156.403,168.175,116.976,169.142,69.378,172.12099999999998,129.716,171.56900000000002,34.821999999999996,173.104,59.501000000000005,173.3,103.94,176.21200000000002,263.603,176.375,167.768,177.24599999999998,202.865,177.04,241.861,176.638,43.4,178.644,88.691,178.862,71.71600000000001,182.6,230.808,182.945,247.32,184.53,110.78399999999999,185.72,258.928,185.678,197.803,195.50400000000002,41.187,198.985,,,,,,,,,,,,,,,,,,,,,,
49.25,197.0,,108.771,25.593000000000004,180.392,37.201,164.09400000000002,41.787,105.785,48.84,185.40599999999998,56.327,110.93299999999999,59.937,177.56099999999998,62.098,103.23200000000001,68.21300000000001,211.69799999999998,71.608,189.33,76.528,86.46799999999999,78.62100000000001,123.38,80.457,99.682,81.858,196.30900000000003,82.49,84.512,88.294,200.83700000000002,90.936,239.88,91.539,130.713,92.43299999999999,184.892,92.648,213.364,99.40899999999999,144.732,102.40899999999999,201.872,102.417,157.381,103.227,195.86900000000003,102.887,181.95,103.854,172.799,105.709,99.681,106.656,208.18099999999998,108.40899999999999,244.02900000000002,108.904,42.217,113.381,82.98899999999999,114.381,237.111,115.055,57.169,120.068,164.015,120.087,219.67,124.882,155.784,125.521,106.994,127.15299999999999,97.73100000000001,129.569,202.43900000000002,129.733,121.699,130.984,222.57299999999998,138.026,101.13600000000001,138.776,43.86600000000001,140.018,196.327,141.45,35.732,142.528,92.385,141.789,179.405,141.773,252.984,143.702,218.582,145.017,51.675,148.237,62.144,149.352,147.195,148.53799999999998,122.249,151.708,251.465,151.489,35.686,153.053,83.38,152.683,96.395,152.937,151.036,157.213,217.055,156.998,169.542,157.844,59.851000000000006,158.921,110.48100000000001,159.86700000000002,73.69800000000001,162.93,89.712,167.308,156.424,168.172,116.97399999999999,169.16099999999997,69.362,172.112,129.655,171.59599999999998,34.809,173.118,59.527,173.35,103.956,176.207,263.558,176.433,167.822,177.329,202.877,177.02900000000002,241.908,176.668,43.385,178.66400000000002,88.675,178.88400000000001,71.846,182.58900000000003,230.764,182.90200000000002,247.31900000000002,184.52700000000002,110.79700000000001,185.709,258.914,185.679,197.77200000000002,195.505,41.192,198.967,154.626,143.308,,,,,,,,,,,,,,,,,,,,
49.5,198.0,,108.652,25.638,180.387,37.231,164.107,41.76,105.81,48.895,185.285,56.308,110.861,59.925,177.562,62.122,103.329,68.12,211.695,71.627,189.33,76.598,86.444,78.62899999999999,123.39,80.472,99.44200000000001,81.702,196.347,82.46799999999999,84.568,88.28,200.831,90.961,239.843,91.59299999999999,130.673,92.54899999999999,184.886,92.698,213.456,99.566,144.817,102.339,201.817,102.397,157.22299999999998,103.10600000000001,195.877,102.912,182.02200000000002,103.949,172.75900000000001,105.772,99.694,106.73100000000001,208.218,108.47399999999999,244.021,108.934,42.26,113.477,83.0,114.427,237.072,115.101,57.183,120.145,164.03099999999998,120.14200000000001,219.6,124.88,155.811,125.57,106.969,127.156,97.726,129.6,202.424,129.745,121.686,131.06799999999998,222.576,138.02100000000002,101.139,138.804,43.872,139.984,196.24900000000002,141.47899999999998,35.751,142.46200000000002,92.36399999999999,141.784,179.463,141.817,252.95,143.72299999999998,218.572,145.012,51.678000000000004,148.273,62.125,149.339,147.19299999999998,148.546,122.242,151.72,251.479,151.532,35.694,153.035,83.391,152.648,96.38600000000001,152.98,151.036,157.203,217.06799999999998,156.92700000000002,169.543,157.905,59.835,158.964,110.43799999999999,160.047,73.665,162.929,89.709,167.33599999999998,156.476,168.18900000000002,116.97399999999999,169.15200000000002,69.37100000000001,172.09799999999998,129.632,171.582,34.838,173.139,59.535,173.343,103.956,176.197,263.578,176.458,167.847,177.40599999999998,202.989,177.145,241.94099999999997,176.665,43.387,178.706,88.681,178.888,71.855,182.582,230.63400000000001,182.938,247.31,184.532,110.78,185.78599999999997,258.916,185.675,197.765,195.50799999999998,41.223,198.93,154.619,143.32399999999998,,,,,,,,,,,,,,,,,,,,
49.75,199.0,,108.51299999999999,25.541999999999998,180.375,37.278,164.175,41.876000000000005,105.773,48.882,185.362,56.35,110.80799999999999,59.951,177.593,62.123000000000005,103.314,68.296,211.725,71.732,189.328,76.567,86.40799999999999,78.638,123.40799999999999,80.491,99.35,81.682,196.34400000000002,82.555,84.6,88.314,200.898,91.021,239.83,91.665,130.619,92.57700000000001,184.88299999999998,92.73,213.44,99.594,144.763,102.344,201.735,102.303,157.233,103.102,195.858,102.939,181.93099999999998,103.94,172.774,105.838,99.72200000000001,106.804,208.22299999999998,108.535,244.012,108.963,42.273999999999994,113.50200000000001,83.008,114.45200000000001,237.05599999999998,115.14299999999999,57.188,120.2,164.03400000000002,120.18,219.655,124.89,155.806,125.58200000000001,106.947,127.164,97.75,129.582,202.426,129.754,121.676,131.156,222.582,138.023,101.145,138.81,43.869,139.99200000000002,196.18,141.501,35.757,142.458,92.337,141.764,179.49099999999999,141.827,252.89700000000002,143.734,218.562,145.017,51.687,148.27700000000002,62.111999999999995,149.356,147.189,148.569,122.23,151.727,251.47799999999998,151.578,35.704,152.97899999999998,83.374,152.637,96.396,153.049,151.029,157.22299999999998,217.118,156.91899999999998,169.55599999999998,157.877,59.81,158.984,110.4,159.938,73.668,162.957,89.705,167.34799999999998,156.524,168.203,116.98100000000001,169.16,69.339,172.028,129.654,171.53,34.861,173.139,59.498000000000005,173.332,103.95299999999999,176.201,263.533,176.513,167.847,177.44799999999998,202.97799999999998,177.11,241.972,176.683,43.402,178.75799999999998,88.686,178.896,71.84100000000001,182.59400000000002,230.90400000000002,182.928,247.295,184.558,110.795,185.80599999999998,258.905,185.69299999999998,197.764,195.50099999999998,41.218999999999994,198.93099999999998,154.703,143.515,,,,,,,,,,,,,,,,,,,,
50.0,200.0,,108.631,25.557,180.35299999999998,37.275,164.233,41.913999999999994,105.76100000000001,48.887,185.372,56.348,110.801,59.897,177.582,62.163000000000004,103.348,68.24600000000001,211.695,71.78399999999999,189.327,76.602,86.302,78.643,123.415,80.476,99.086,81.57300000000001,196.389,82.49700000000001,84.60700000000001,88.34,200.878,91.04299999999999,239.764,91.713,130.59799999999998,92.571,184.90099999999998,92.76700000000001,213.399,99.601,144.805,102.285,201.77599999999998,102.354,157.267,103.133,195.887,103.00299999999999,182.00099999999998,104.012,172.77200000000002,105.824,99.706,106.855,208.141,108.584,244.007,109.014,42.281000000000006,113.555,83.016,114.478,237.075,115.229,57.187,120.279,164.03900000000002,120.195,219.84900000000002,124.90299999999999,155.773,125.58200000000001,106.931,127.166,97.773,129.612,202.421,129.735,121.65899999999999,131.214,222.60299999999998,138.02200000000002,101.149,138.811,43.876000000000005,139.994,196.141,141.52100000000002,35.76,142.70600000000002,92.29299999999999,141.767,179.46,141.852,252.84099999999998,143.75799999999998,218.56099999999998,145.015,51.678999999999995,148.287,62.113,149.364,147.184,148.577,122.285,151.846,251.49900000000002,151.704,35.736,152.996,83.37799999999999,152.636,96.37700000000001,153.157,151.0,157.268,217.132,156.916,169.584,157.864,59.797,159.012,110.38799999999999,160.05700000000002,73.675,162.98,89.698,167.35,156.523,168.205,116.98299999999999,169.146,69.358,172.02900000000002,129.708,171.53400000000002,34.872,173.132,59.473,173.33,103.95200000000001,176.203,263.57599999999996,176.46400000000003,167.828,177.4,202.55700000000002,176.923,241.945,176.69400000000002,43.416000000000004,178.797,88.696,178.90099999999998,71.804,182.582,230.97099999999998,182.86700000000002,247.31099999999998,184.528,110.806,185.832,258.89,185.69400000000002,197.77,195.50599999999997,41.199,198.942,154.69299999999998,143.513,,,,,,,,,,,,,,,,,,,,
