TimesH,Frame,NoMissing,8,8,27,27,32,32,35,35,39,39,41,41,48,48,50,50,52,52,54,54,56,56,60,60,61,61,66,66,67,67,79,79,81,81,83,83,96,96,104,104,110,110,115,115,127,127,137,137,141,141,149,149,152,152,153,153,154,154,156,156,157,157,159,159,168,168,174,174,180,180,197,197,198,198,209,209,221,221,227,227,231,231,237,237,240,240,241,241,242,242,327,327,392,392,424,424
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
384.0,1536.0,,187.017,55.981,83.693,110.4,249.16,112.499,112.92399999999999,115.53299999999999,217.30200000000002,95.265,99.225,93.883,81.846,102.382,179.425,105.012,72.622,102.671,138.30700000000002,80.32600000000001,187.88,79.87899999999999,197.923,82.98100000000001,106.749,82.75,229.392,90.955,200.965,90.073,197.322,73.51899999999999,114.708,79.36,95.23299999999999,78.327,43.316,154.315,224.92,141.881,42.725,143.209,196.043,132.14,51.972,139.025,231.972,118.663,89.07799999999999,122.521,261.298,178.813,90.725,182.054,58.193000000000005,181.761,74.262,185.083,212.89700000000002,183.32299999999998,185.832,182.87400000000002,120.883,186.678,69.995,172.55599999999998,179.533,179.424,49.013000000000005,165.00099999999998,88.405,155.339,173.658,159.64700000000002,90.238,162.762,124.85,202.549,187.082,206.67700000000002,248.774,186.718,99.17299999999999,190.832,108.32600000000001,194.699,188.282,193.75099999999998,52.945,194.27,,,,,,
384.25,1537.0,,187.032,55.953,83.671,110.335,249.179,112.49799999999999,112.78299999999999,115.51899999999999,217.27900000000002,95.26,99.156,93.883,81.89699999999999,102.361,179.269,104.9,72.63,102.66,138.33700000000002,80.467,187.873,79.881,197.90200000000002,83.0,106.759,82.745,229.394,90.945,200.925,90.10600000000001,197.28599999999997,73.492,114.675,79.317,95.294,78.391,43.34,154.32,224.959,141.889,42.745,143.2,195.99900000000002,132.116,51.909,138.95,232.04,118.751,89.04299999999999,122.571,261.349,178.798,90.771,181.963,58.132,181.729,74.233,185.112,212.893,183.326,185.86,182.895,120.915,186.674,69.972,172.545,179.547,179.428,49.089,164.983,88.43799999999999,155.321,173.685,159.58,90.241,162.753,124.87100000000001,202.6,187.079,206.68,248.77,186.701,99.194,190.835,108.321,194.77200000000002,188.25599999999997,193.804,52.966,194.245,,,,,,
384.5,1538.0,,187.074,55.974,83.695,110.33200000000001,249.19299999999998,112.505,113.07,115.43299999999999,217.308,95.25299999999999,99.29899999999999,93.852,81.93,102.37299999999999,179.76,105.095,72.665,102.65100000000001,138.433,80.393,187.87,79.851,197.90400000000002,82.976,106.762,82.757,229.394,90.90700000000001,201.04,90.039,197.315,73.51100000000001,114.67,79.305,95.281,78.383,43.352,154.317,224.968,141.836,42.745,143.244,196.072,132.126,51.973,139.007,232.046,118.728,89.039,122.565,261.388,178.77,90.796,181.93099999999998,58.11600000000001,181.75400000000002,74.22399999999999,185.06400000000002,212.885,183.30599999999998,185.86599999999999,182.86900000000003,120.98100000000001,186.63,69.99600000000001,172.52700000000002,179.467,179.482,49.113,165.003,88.45299999999999,155.327,173.678,159.579,90.279,162.747,124.867,202.545,187.08700000000002,206.68,248.787,186.668,99.214,190.835,108.32700000000001,194.827,188.27,193.896,53.00899999999999,194.232,,,,,,
384.75,1539.0,,187.138,55.967,83.70200000000001,110.319,249.213,112.512,112.976,115.508,217.298,95.26100000000001,99.167,93.89200000000001,81.921,102.397,179.38400000000001,105.027,72.67399999999999,102.663,138.458,80.407,187.877,79.85600000000001,197.898,82.962,106.76299999999999,82.751,229.389,90.92200000000001,200.907,90.05799999999999,197.334,73.516,114.631,79.332,95.274,78.444,43.373000000000005,154.317,224.988,141.86,42.707,143.235,196.09900000000002,132.149,51.993,139.054,232.07299999999998,118.749,89.08200000000001,122.52,261.23900000000003,178.774,90.848,181.835,58.18,181.787,74.199,185.021,212.834,183.263,185.851,182.923,121.038,186.632,69.991,172.56099999999998,179.435,179.43099999999998,49.102,165.00799999999998,88.439,155.338,173.685,159.579,90.294,162.798,124.87799999999999,202.614,187.09,206.66299999999998,248.79,186.678,99.235,190.831,108.345,194.77200000000002,188.30900000000003,193.986,53.015,194.19799999999998,,,,,,
385.0,1540.0,,187.128,55.94,83.70100000000001,110.375,249.24200000000002,112.52600000000001,112.882,115.47399999999999,217.30200000000002,95.28,99.181,93.90299999999999,81.887,102.402,178.804,104.882,72.689,102.63,138.32299999999998,80.646,187.88099999999997,79.86399999999999,197.925,83.005,106.744,82.691,229.368,90.946,200.916,90.04799999999999,197.329,73.505,114.61399999999999,79.35300000000001,95.205,78.403,43.391999999999996,154.316,224.982,141.852,42.702,143.218,196.139,132.179,51.968,139.039,231.878,118.6,89.098,122.581,261.244,178.74599999999998,90.852,181.856,58.083999999999996,181.76,74.202,185.023,212.88400000000001,183.25400000000002,185.856,182.96599999999998,121.06200000000001,186.67700000000002,70.016,172.53099999999998,179.47299999999998,179.428,49.073,164.986,88.486,155.371,173.718,159.572,90.319,162.755,124.866,202.59900000000002,187.09400000000002,206.65099999999998,248.78099999999998,186.695,99.266,190.83599999999998,108.329,194.794,188.226,193.99400000000003,53.008,194.176,,,,,,
385.25,1541.0,,187.153,55.93,83.694,110.397,249.262,112.508,112.891,115.51299999999999,217.292,95.27600000000001,99.19,93.897,81.887,102.385,179.71599999999998,105.296,72.711,102.617,138.366,80.569,187.86599999999999,79.85600000000001,197.928,82.99700000000001,106.766,82.68799999999999,229.37599999999998,90.904,200.856,90.045,197.345,73.498,114.59100000000001,79.362,95.085,78.388,43.38,154.32399999999998,224.96900000000002,141.879,42.75,143.185,196.178,132.15200000000002,51.926,138.98,232.054,118.575,89.118,122.57700000000001,261.178,178.69,90.867,181.90599999999998,58.021,181.71099999999998,74.21,185.00599999999997,212.88299999999998,183.282,185.857,182.925,121.09299999999999,186.763,70.024,172.549,179.477,179.355,49.035,165.014,88.48200000000001,155.393,173.725,159.612,90.336,162.75799999999998,124.882,202.658,187.115,206.64700000000002,248.78099999999998,186.707,99.245,190.85,108.34,194.768,188.282,194.047,53.034,194.13400000000001,,,,,,
385.5,1542.0,,187.213,55.887,83.71799999999999,110.421,249.267,112.505,113.07799999999999,115.398,217.343,95.296,99.227,93.89,81.892,102.387,180.636,105.65100000000001,72.688,102.647,138.357,80.602,187.864,79.833,197.956,82.99600000000001,106.74600000000001,82.679,229.38299999999998,90.91,200.78900000000002,90.04799999999999,197.317,73.497,114.60799999999999,79.298,95.103,78.419,43.397,154.33700000000002,224.94400000000002,141.935,42.751000000000005,143.18200000000002,196.19099999999997,132.16899999999998,51.926,138.999,232.18099999999998,118.66,89.14200000000001,122.552,261.23900000000003,178.718,90.85799999999999,181.907,58.047,181.65599999999998,74.21300000000001,184.968,212.91299999999998,183.217,185.854,182.981,121.069,186.937,70.027,172.52599999999998,179.47400000000002,179.378,48.993,165.016,88.45700000000001,155.35,173.725,159.597,90.37100000000001,162.74200000000002,124.851,202.638,187.125,206.646,248.796,186.68200000000002,99.25399999999999,190.85299999999998,108.34700000000001,194.84799999999998,188.222,193.979,53.037,194.158,,,,,,
385.75,1543.0,,187.26,55.873999999999995,83.713,110.4,249.27900000000002,112.50200000000001,113.184,115.421,217.352,95.287,99.24,93.897,81.867,102.385,179.822,105.28399999999999,72.70100000000001,102.67200000000001,138.291,80.71600000000001,187.84900000000002,79.82300000000001,197.959,83.023,106.755,82.661,229.405,90.896,200.787,90.016,197.315,73.509,114.791,79.35300000000001,95.1,78.392,43.385,154.3,224.92,141.94799999999998,42.74100000000001,143.17,196.22,132.21200000000002,51.943999999999996,138.984,232.023,118.493,89.12799999999999,122.604,261.318,178.774,90.869,181.88099999999997,58.135,181.748,74.202,184.957,212.90400000000002,183.239,185.854,182.93400000000003,121.073,186.963,70.068,172.52200000000002,179.459,179.34799999999998,49.015,164.987,88.49700000000001,155.376,173.718,159.593,90.493,162.673,124.87200000000001,202.67700000000002,187.13400000000001,206.635,248.824,186.68900000000002,99.26,190.86599999999999,108.382,194.862,188.19099999999997,193.99599999999998,53.023,194.206,,,,,,
386.0,1544.0,,187.275,55.833,83.693,110.318,249.29,112.509,113.204,115.37,217.31099999999998,95.265,99.21700000000001,93.915,81.87100000000001,102.375,179.39,105.111,72.71600000000001,102.671,138.32,80.61399999999999,187.865,79.803,197.98,83.06200000000001,106.756,82.616,229.40200000000002,90.936,200.87099999999998,90.037,197.321,73.497,114.815,79.34100000000001,95.124,78.482,43.4,154.296,224.924,141.97799999999998,42.783,143.135,196.215,132.174,51.931000000000004,138.989,232.144,118.757,89.139,122.54299999999999,261.332,178.815,90.87200000000001,181.896,58.07,181.72099999999998,74.154,184.91299999999998,212.918,183.197,185.88099999999997,182.91,121.11,186.899,70.039,172.49400000000003,179.49,179.325,49.028999999999996,165.023,88.506,155.328,173.709,159.595,90.536,162.58100000000002,124.863,202.7,187.139,206.62599999999998,248.857,186.69299999999998,99.286,190.856,108.404,194.865,188.233,194.02,53.071000000000005,194.183,,,,,,
386.25,1545.0,,187.31900000000002,55.853,83.712,110.305,249.292,112.524,113.40799999999999,115.366,217.343,95.28399999999999,99.26799999999999,93.897,81.839,102.36200000000001,179.862,105.264,72.71,102.678,138.451,80.444,187.851,79.79,197.986,83.054,106.749,82.647,229.403,90.943,200.791,90.03200000000001,197.313,73.49600000000001,114.822,79.311,95.206,78.512,43.41,154.298,224.908,142.024,42.793,143.121,196.245,132.178,51.898,138.916,232.174,118.874,89.13799999999999,122.505,261.402,178.834,90.874,181.93099999999998,57.982,181.695,74.112,184.893,212.889,183.238,185.875,182.908,121.181,186.938,70.036,172.51,179.482,179.273,49.07,165.025,88.50399999999999,155.30700000000002,173.708,159.63,90.512,162.626,124.883,202.709,187.13400000000001,206.615,248.856,186.676,99.31200000000001,190.863,108.40299999999999,194.905,188.24099999999999,194.03400000000002,53.067,194.18900000000002,,,,,,
