TimesH,Frame,NoMissing,4,4,6,6,16,16,17,17,65,65,78,78,101,101,114,114,122,122,125,125,130,130,131,131,132,132,137,137,143,143,144,144,145,145,151,151,158,158,160,160,163,163,178,178,199,199,207,207,209,209,217,217,218,218,226,226,236,236,239,239,245,245,250,250,259,259,277,277,278,278,281,281,292,292,300,300,304,304,306,306,315,315,394,394,536,536,598,598
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
384.0,1536.0,,121.64200000000001,53.086999999999996,128.118,54.306000000000004,178.833,62.943000000000005,170.34,64.919,188.475,92.804,165.03599999999997,91.117,92.929,76.667,204.78,84.329,159.22,82.307,167.84099999999998,121.45,160.52,124.20700000000001,205.59,125.941,124.035,116.884,90.425,117.583,126.305,127.65899999999999,186.637,128.088,234.672,130.34,80.041,126.382,226.41400000000002,108.14200000000001,210.9,109.118,195.016,104.31,111.179,116.77600000000001,150.499,147.767,90.234,157.589,192.123,157.88,258.041,154.173,67.822,135.159,91.04700000000001,132.875,217.52900000000002,144.539,120.84899999999999,145.357,94.235,140.481,107.54700000000001,175.00599999999997,133.329,172.202,93.035,179.55599999999998,232.976,179.688,196.738,162.487,115.5,159.789,112.57700000000001,168.761,100.42200000000001,164.352,145.498,165.606,47.905,191.575,,,,,,
384.25,1537.0,,121.649,53.089,128.09799999999998,54.196999999999996,178.831,62.928000000000004,170.41,64.979,188.528,92.823,164.995,91.31299999999999,92.944,76.689,204.808,84.29,159.203,82.28200000000001,167.896,121.427,160.416,124.351,205.601,125.85700000000001,124.054,116.906,89.845,117.47,126.31200000000001,127.65299999999999,186.646,128.136,234.679,130.334,80.107,126.352,226.415,108.15100000000001,210.91,109.095,195.049,104.292,111.189,116.73100000000001,150.506,147.67,90.27799999999999,157.589,192.11599999999999,157.912,258.063,154.112,67.842,135.125,91.057,132.89,217.457,144.476,120.84899999999999,145.32399999999998,94.255,140.491,107.45299999999999,174.929,133.349,172.187,93.00200000000001,179.592,232.989,179.637,196.718,162.529,115.493,159.79399999999998,112.57,168.74400000000003,100.42399999999999,164.34599999999998,145.52,165.62099999999998,47.985,191.572,,,,,,
384.5,1538.0,,121.62299999999999,53.076,128.05700000000002,54.192,178.83599999999998,62.946999999999996,170.39700000000002,65.00399999999999,188.58900000000003,92.815,164.96,91.20200000000001,92.945,76.676,204.797,84.31,159.174,82.286,167.825,121.397,160.408,124.116,205.597,125.61200000000001,124.07,116.913,89.787,117.494,126.334,127.522,186.62599999999998,128.1,234.606,130.293,80.141,126.339,226.38,108.1,210.928,109.09899999999999,195.08,104.235,111.15799999999999,116.72,150.425,147.769,90.26799999999999,157.601,192.06099999999998,157.916,257.988,154.095,67.835,135.143,91.04799999999999,132.899,217.391,144.313,120.839,145.286,94.34200000000001,140.52100000000002,107.516,174.99900000000002,133.35,172.227,93.022,179.628,233.014,179.58,196.71,162.45,115.54,159.765,112.493,168.731,100.381,164.325,145.519,165.555,47.924,191.545,,,,,,
384.75,1539.0,,121.602,53.085,128.132,54.283,178.83900000000003,62.98,170.416,64.982,188.66,92.83200000000001,164.882,91.042,92.93299999999999,76.65899999999999,204.805,84.27600000000001,159.129,82.306,167.83700000000002,121.42200000000001,160.463,124.20299999999999,205.66299999999998,124.844,124.087,116.92,90.103,117.579,126.33200000000001,127.641,186.66299999999998,128.16299999999998,234.669,130.364,80.092,126.35,226.395,108.126,210.918,109.089,195.05900000000003,104.238,111.145,116.758,150.495,147.751,90.27,157.624,192.102,157.87,257.994,153.976,67.797,135.154,91.06700000000001,132.909,217.41299999999998,144.329,120.90799999999999,145.30700000000002,94.36,140.504,107.43799999999999,174.96200000000002,133.39700000000002,172.28400000000002,93.006,179.69,233.014,179.597,196.68900000000002,162.482,115.554,159.773,112.525,168.72400000000002,100.376,164.304,145.437,165.43200000000002,47.909,191.571,,,,,,
385.0,1540.0,,121.604,53.081,128.145,54.242,178.87,62.97,170.41099999999997,65.015,188.708,92.809,164.80900000000003,90.686,92.943,76.608,204.821,84.271,159.072,82.279,167.885,121.413,160.44799999999998,124.195,205.669,124.454,124.12,116.884,89.925,117.60799999999999,126.311,127.654,186.66,128.148,234.58599999999998,130.27200000000002,80.18,126.415,226.363,108.10600000000001,210.949,109.08,195.11700000000002,104.20100000000001,111.14299999999999,116.811,150.475,147.796,90.285,157.643,192.12599999999998,157.879,258.015,153.965,67.798,135.148,91.064,132.9,217.493,144.40200000000002,120.884,145.31,94.383,140.529,107.42299999999999,174.952,133.417,172.29,92.98100000000001,179.627,233.02599999999998,179.576,196.745,162.466,115.60799999999999,159.775,112.48700000000001,168.74099999999999,100.366,164.33900000000003,145.41299999999998,165.417,47.832,191.481,,,,,,
385.25,1541.0,,121.589,53.07899999999999,128.124,54.321000000000005,178.91,62.925,170.435,65.0,188.75,92.825,164.69400000000002,90.40899999999999,92.904,76.64699999999999,204.81900000000002,84.277,159.062,82.294,167.86,121.344,160.437,124.175,205.683,124.413,124.146,116.87700000000001,90.271,117.646,126.385,127.51799999999999,186.69799999999998,128.16,234.548,130.24,80.281,126.363,226.36700000000002,108.084,210.982,109.06,195.135,104.189,111.17299999999999,116.851,150.444,147.786,90.397,157.762,192.139,157.872,258.103,154.086,67.827,135.148,91.064,132.879,217.546,144.507,120.887,145.296,94.402,140.545,107.37200000000001,174.949,133.422,172.301,92.95200000000001,179.623,233.06400000000002,179.53400000000002,196.732,162.482,115.57700000000001,159.79,112.569,168.71599999999998,100.331,164.30599999999998,145.482,165.505,47.882,191.671,,,,,,
385.5,1542.0,,121.588,53.058,128.13,54.236999999999995,178.915,62.93,170.42,65.045,188.801,92.845,163.977,89.165,92.913,76.592,204.796,84.307,159.063,82.37,167.83,121.395,160.46200000000002,124.03399999999999,205.685,124.429,124.141,116.867,89.79299999999999,117.544,126.396,127.514,186.725,128.1,234.636,130.286,80.34899999999999,126.353,226.33700000000002,108.075,210.90400000000002,109.06200000000001,195.268,104.104,111.17399999999999,116.91,150.503,147.716,90.319,157.741,192.167,157.855,258.116,154.08,67.859,135.134,91.124,132.89,217.50799999999998,144.494,120.925,145.315,94.359,140.517,107.44,174.97099999999998,133.401,172.28599999999997,92.992,179.69,233.09099999999998,179.503,196.74,162.47799999999998,115.62200000000001,159.781,112.556,168.64700000000002,100.306,164.25599999999997,145.489,165.484,47.806999999999995,191.69,,,,,,
385.75,1543.0,,121.575,53.034,128.05700000000002,54.238,178.926,62.937,170.426,64.991,188.833,92.906,164.983,91.031,92.929,76.594,204.859,84.32799999999999,159.077,82.384,167.893,121.38799999999999,160.39700000000002,123.976,205.669,124.34700000000001,124.13799999999999,116.846,,,126.39299999999999,127.50299999999999,186.713,128.12,234.60299999999998,130.30100000000002,80.264,126.27600000000001,226.324,108.095,211.02599999999998,109.06,195.19799999999998,104.165,111.12,116.866,150.52700000000002,147.668,90.40299999999999,157.799,192.081,157.84799999999998,258.117,153.924,67.83800000000001,135.132,91.15100000000001,132.863,217.48,144.475,120.89299999999999,145.292,94.31299999999999,140.514,107.544,175.046,133.398,172.283,92.991,179.71400000000003,233.139,179.46400000000003,196.697,162.499,115.61399999999999,159.782,112.553,168.57,100.307,164.322,145.626,165.56799999999998,47.92,191.785,,,,,,
