TimesH,Frame,NoMissing,2,2,4,4,6,6,8,8,12,12,14,14,20,20,27,27,31,31,32,32,33,33,34,34,36,36,37,37,38,38,41,41,42,42,44,44,45,45,52,52,53,53,54,54,55,55,56,56,57,57,59,59,61,61,62,62,63,63,65,65,66,66,68,68,79,79,80,80,81,81,84,84,92,92,94,94,98,98,99,99,101,101,105,105,106,106,108,108,109,109,111,111,113,113,127,127,129,129,131,131,134,134,135,135,137,137,140,140,161,161,162,162,167,167,178,178,180,180,182,182,183,183,184,184,186,186,187,187,189,189,190,190,192,192,198,198,199,199,200,200,201,201,204,204,205,205,212,212,213,213,214,214,217,217,218,218,219,219,220,220,223,223,233,233,238,238,240,240,248,248,249,249,250,250,253,253,254,254,255,255,256,256,259,259,263,263,268,268,269,269,271,271,274,274,276,276,279,279,280,280,283,283,286,286,426,426,427,427,509,509,576,576,582,582,595,595,604,604,616,616,639,639,667,667,678,678,685,685,747,747,774,774
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
550.75,2203.0,,106.398,168.512,219.291,167.627,258.182,166.592,196.918,172.41099999999997,69.472,172.0,250.954,170.71200000000002,182.78900000000002,172.555,80.036,177.81400000000002,217.71099999999998,176.192,184.986,182.135,89.758,182.428,56.633,181.34900000000002,260.676,178.65900000000002,179.06099999999998,179.097,131.04,179.112,102.935,186.42700000000002,221.672,186.053,74.042,184.63299999999998,236.28099999999998,183.919,259.285,187.325,247.648,186.775,176.092,187.271,120.035,187.06900000000002,107.521,193.18,186.745,191.945,98.56299999999999,190.045,199.951,189.024,127.448,188.903,208.65,188.12900000000002,42.155,142.613,224.44,142.174,121.462,141.796,195.455,142.825,119.86399999999999,149.921,199.30599999999998,147.814,183.16099999999997,147.138,172.417,149.94899999999998,150.964,150.083,88.37700000000001,154.906,42.632,154.393,54.745,153.225,173.512,159.476,255.253,157.621,247.639,157.042,65.928,156.62,90.551,163.929,213.929,163.102,219.912,196.136,77.90100000000001,195.62,51.601000000000006,194.648,196.218,204.84,186.512,204.416,58.946000000000005,201.745,67.047,198.567,175.947,51.568999999999996,125.993,51.32,181.12599999999998,44.756,132.244,110.094,,,150.50799999999998,116.28200000000001,194.55700000000002,115.17399999999999,111.781,114.90899999999999,48.367,113.88799999999999,248.547,112.61399999999999,156.031,111.884,88.445,122.5,163.192,119.667,62.655,127.50200000000001,224.847,126.14299999999999,106.37,126.265,193.998,124.787,239.12599999999998,131.793,138.55700000000002,131.884,95.579,135.68,216.25099999999998,135.313,82.919,134.946,196.136,132.783,123.12799999999999,132.892,69.273,133.026,187.27599999999998,139.026,51.813,138.514,188.352,56.1,96.885,63.967,144.189,63.086000000000006,124.514,70.188,182.922,68.733,138.8,81.095,187.74599999999998,79.551,115.024,79.117,94.85600000000001,77.467,197.513,74.292,107.15100000000001,87.492,84.475,83.962,111.88799999999999,91.9,229.233,91.262,202.77599999999998,89.405,138.409,99.419,152.94299999999998,97.402,97.999,94.581,181.96900000000002,93.605,72.48899999999999,101.54299999999999,185.13099999999997,101.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551.0,2204.0,,106.396,168.483,219.296,167.61700000000002,258.089,166.565,196.97299999999998,172.42700000000002,69.479,171.99099999999999,251.00400000000002,170.73,182.76,172.63099999999997,80.041,177.827,217.731,176.202,184.97400000000002,182.127,89.77,182.408,56.648,181.327,260.64,178.662,179.016,179.11599999999999,130.994,179.095,102.963,186.425,221.69799999999998,186.00400000000002,74.041,184.61599999999999,236.14,183.919,259.305,187.30700000000002,247.667,186.783,176.05700000000002,187.19400000000002,120.046,186.99900000000002,107.48899999999999,193.18599999999998,186.77200000000002,191.97299999999998,98.51,190.043,199.96,189.04,127.53299999999999,188.821,208.65599999999998,188.135,42.141000000000005,142.611,224.459,142.178,121.458,141.804,195.433,142.74200000000002,119.788,149.871,199.269,147.839,183.199,147.108,172.421,149.951,150.94799999999998,150.08700000000002,88.318,154.891,42.641000000000005,154.385,54.77,153.172,173.525,159.467,255.297,157.601,247.685,157.084,65.911,156.643,90.536,163.93200000000002,213.918,163.09799999999998,219.908,196.197,77.87899999999999,195.63400000000001,51.581,194.648,196.21900000000002,204.81599999999997,186.53799999999998,204.419,58.96,201.72799999999998,67.0,198.576,175.952,51.602,125.944,51.297,181.15400000000002,44.736000000000004,132.247,110.113,96.661,109.72399999999999,150.513,116.24799999999999,194.56799999999998,115.15799999999999,111.77799999999999,114.963,48.32899999999999,113.97399999999999,248.53599999999997,112.641,156.093,111.931,88.449,122.514,163.183,119.70299999999999,62.635,127.506,224.804,126.149,106.235,126.164,193.95,124.789,239.028,131.806,138.55700000000002,131.88299999999998,95.566,135.667,216.257,135.278,82.902,134.957,196.112,132.835,123.139,132.911,69.283,133.02100000000002,187.28,139.024,51.776,138.55700000000002,188.34099999999998,56.104,96.94200000000001,63.913999999999994,144.174,63.07,124.431,70.322,182.888,68.725,138.798,81.102,187.705,79.545,114.964,79.14,94.839,77.47,197.50799999999998,74.32600000000001,107.11399999999999,87.557,84.515,84.036,111.84299999999999,91.87899999999999,229.24099999999999,91.26100000000001,202.792,89.42,138.395,99.463,152.97,97.396,98.00200000000001,94.584,181.97799999999998,93.59100000000001,72.469,101.535,185.146,101.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551.25,2205.0,,106.249,168.639,219.27900000000002,167.62099999999998,258.012,166.56900000000002,196.937,172.43,69.465,171.99200000000002,251.023,170.763,182.799,172.61599999999999,80.032,177.821,217.72799999999998,176.202,184.98,182.15900000000002,89.766,182.403,56.663999999999994,181.343,260.651,178.666,179.00799999999998,179.1,130.958,179.12,102.993,186.46099999999998,221.69,186.02700000000002,74.02,184.61,236.128,183.90200000000002,259.337,187.30200000000002,247.666,186.787,176.153,187.507,120.069,186.985,107.501,193.237,186.773,191.968,98.516,190.032,199.97099999999998,189.03099999999998,127.545,188.87400000000002,208.65,188.14700000000002,42.144,142.635,224.49200000000002,142.202,121.443,141.743,195.485,142.708,119.801,149.885,199.345,147.876,183.285,147.148,172.44099999999997,149.969,150.942,150.096,88.294,154.906,42.636,154.39700000000002,54.815,153.145,173.514,159.556,255.257,157.607,247.72299999999998,156.862,65.98899999999999,156.655,90.568,163.933,213.924,163.101,219.917,196.169,77.911,195.611,51.57899999999999,194.646,196.171,204.77200000000002,186.53400000000002,204.477,58.952,201.625,67.061,198.537,175.946,51.472,125.87,51.336999999999996,181.158,44.696999999999996,132.252,110.111,96.869,109.62899999999999,150.495,116.184,194.612,115.16799999999999,111.786,114.931,48.33,113.822,248.521,112.634,156.144,111.921,88.421,122.538,163.306,119.76,62.63399999999999,127.49600000000001,224.834,126.139,106.242,126.184,193.96099999999998,124.78399999999999,238.97299999999998,131.835,138.523,131.901,95.56,135.64700000000002,216.239,135.328,82.868,135.015,196.09099999999998,132.832,123.109,132.914,69.264,133.007,187.271,139.061,51.771,138.648,188.33599999999998,56.107,96.949,63.946999999999996,144.173,63.019,124.475,70.28699999999999,182.946,68.74600000000001,138.813,81.1,187.662,79.584,114.916,79.145,94.836,77.442,197.503,74.331,107.12100000000001,87.572,84.477,84.04,111.83200000000001,91.85,229.253,91.26299999999999,202.82,89.406,138.366,99.43700000000001,152.971,97.45700000000001,97.98200000000001,94.598,181.96900000000002,93.588,72.47,101.539,185.10299999999998,101.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551.5,2206.0,,106.24700000000001,168.607,219.28400000000002,167.611,257.934,166.595,196.895,172.49400000000003,69.469,172.007,251.06400000000002,170.794,182.761,172.643,80.013,177.81900000000002,217.764,176.178,184.99599999999998,182.169,89.74600000000001,182.39,56.68,181.392,260.647,178.669,179.055,179.09400000000002,130.893,179.12900000000002,102.98200000000001,186.47,221.699,186.00900000000001,74.007,184.625,236.213,183.907,259.33799999999997,187.294,247.688,186.79,176.12,187.59599999999998,120.073,186.92,107.535,193.196,186.757,191.976,98.508,190.044,199.96900000000002,189.047,127.585,188.886,208.658,188.14700000000002,42.145,142.666,224.481,142.211,121.448,141.806,195.495,142.675,119.749,149.866,199.327,147.857,183.234,147.123,172.457,149.971,150.937,150.079,88.277,154.925,42.633,154.379,54.854,153.127,173.495,159.459,255.30200000000002,157.503,247.706,156.963,65.893,156.687,90.555,163.90900000000002,213.916,163.054,219.937,196.15599999999998,77.91,195.58,51.583,194.67,196.149,204.753,186.505,204.435,58.983000000000004,201.67700000000002,67.018,198.549,175.918,51.431000000000004,125.775,51.386,181.114,44.63,132.275,110.131,96.882,109.56299999999999,150.499,116.11399999999999,194.54,115.193,111.757,114.95,48.373999999999995,113.876,248.521,112.625,156.153,111.92200000000001,88.412,122.551,163.347,119.85700000000001,62.657,127.494,224.84099999999998,126.12200000000001,106.17200000000001,126.154,193.942,124.78299999999999,238.94099999999997,131.841,138.513,131.868,95.555,135.649,216.176,135.368,82.948,135.03,196.101,132.861,123.06200000000001,132.92700000000002,69.256,133.011,187.25400000000002,139.062,51.793,138.66899999999998,188.34400000000002,56.096000000000004,96.927,63.913999999999994,144.14700000000002,62.998000000000005,124.443,70.26899999999999,183.11,68.911,138.80100000000002,81.09,187.68599999999998,79.62100000000001,114.99700000000001,79.038,94.84299999999999,77.433,197.5,74.376,107.12100000000001,87.619,84.48899999999999,84.109,111.837,91.831,229.255,91.26,202.81599999999997,89.427,138.366,99.416,152.945,97.44,97.95299999999999,94.569,181.863,93.714,72.469,101.529,185.074,101.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551.75,2207.0,,106.23700000000001,168.514,219.263,167.62099999999998,258.026,166.593,196.937,172.49900000000002,69.458,171.99400000000003,251.176,170.91099999999997,182.679,172.797,80.04,177.847,217.727,176.19299999999998,185.011,182.17,89.738,182.40200000000002,56.723,181.445,260.645,178.675,179.013,179.14,130.91,179.109,102.979,186.47299999999998,221.707,186.014,73.992,184.61,236.3,183.898,259.335,187.278,247.704,186.81400000000002,176.165,187.57299999999998,120.087,186.919,107.527,193.232,186.75599999999997,191.99400000000003,98.52799999999999,190.033,199.988,189.058,127.72200000000001,188.843,208.65099999999998,188.15099999999998,42.125,142.667,224.455,142.27200000000002,121.48200000000001,141.855,195.497,142.56799999999998,119.78,149.811,199.30700000000002,147.83700000000002,183.261,147.091,172.511,150.004,150.94,150.06799999999998,88.29899999999999,154.939,42.635,154.38,54.843999999999994,153.15,173.481,159.47299999999998,255.315,157.498,247.729,156.965,65.931,156.786,90.55799999999999,163.903,213.917,163.05,219.887,196.178,77.908,195.55,51.583999999999996,194.66099999999997,196.144,204.78900000000002,186.512,204.43099999999998,59.016000000000005,201.679,67.134,198.63299999999998,175.955,51.468999999999994,125.785,51.33,181.11599999999999,44.678000000000004,132.27200000000002,110.14299999999999,96.993,109.506,150.46,116.156,194.56,115.228,111.74799999999999,114.88799999999999,48.335,113.772,248.53799999999998,112.59100000000001,156.17700000000002,111.902,88.412,122.557,163.399,119.93,62.645,127.479,224.808,126.15899999999999,106.212,126.309,193.993,124.759,238.968,131.808,138.513,131.857,95.561,135.67,216.167,135.296,82.95200000000001,135.03,196.16299999999998,132.884,123.046,132.931,69.222,133.054,187.274,139.077,51.821000000000005,138.64,188.359,56.089,96.961,63.907,144.122,62.938,124.464,70.24600000000001,183.104,68.91,138.811,81.105,187.687,79.62,115.103,78.96600000000001,94.833,77.42,197.505,74.32300000000001,107.11200000000001,87.626,84.523,84.07,111.777,91.79700000000001,229.245,91.271,202.8,89.479,138.382,99.441,152.966,97.44200000000001,97.965,94.539,181.842,93.772,72.454,101.525,185.063,101.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.0,2208.0,,106.264,168.481,219.27,167.63400000000001,257.974,166.58,196.956,172.49599999999998,69.441,171.96099999999998,251.118,170.847,182.623,172.817,80.02,177.84799999999998,217.72,176.178,185.011,182.19799999999998,89.73100000000001,182.43400000000003,56.88,181.541,260.635,178.679,179.051,179.155,130.855,179.08900000000003,103.06700000000001,186.515,221.685,186.02200000000002,73.993,184.62099999999998,236.24099999999999,183.896,259.33099999999996,187.274,247.692,186.84,176.16400000000002,187.514,120.084,186.983,107.537,193.24200000000002,186.763,192.00099999999998,98.512,190.051,199.988,189.077,127.73100000000001,188.84099999999998,208.643,188.139,42.114,142.68200000000002,224.418,142.297,121.514,141.92600000000002,195.364,142.58700000000002,119.78299999999999,149.815,199.31,147.879,183.294,147.123,172.53400000000002,150.02100000000002,150.95,150.05200000000002,88.244,154.961,42.621,154.40200000000002,54.828,153.143,173.479,159.444,255.315,157.52100000000002,247.708,156.908,65.944,156.812,90.552,163.87599999999998,213.922,163.05200000000002,219.831,196.11599999999999,77.91199999999999,195.545,51.585,194.687,196.15599999999998,204.753,186.50400000000002,204.415,59.01,201.752,67.07600000000001,198.737,175.88,51.425,125.756,51.313,181.063,44.714,132.265,110.131,96.772,109.751,150.398,116.156,194.56900000000002,115.23100000000001,111.738,114.866,48.159,113.777,248.50799999999998,112.48200000000001,156.114,111.899,88.429,122.552,163.33700000000002,119.839,62.623000000000005,127.475,224.805,126.17,106.25,126.279,194.042,124.76899999999999,238.93099999999998,131.79399999999998,138.502,131.861,95.557,135.66899999999998,216.165,135.293,83.055,135.009,196.179,132.889,123.06700000000001,132.94299999999998,69.214,133.033,187.268,139.036,51.818999999999996,138.654,188.377,56.095,96.936,63.926,144.128,62.89,124.50299999999999,70.15,182.988,68.801,138.809,81.09100000000001,187.68200000000002,79.60600000000001,115.05,78.955,94.835,77.429,197.511,74.262,107.11,87.67299999999999,84.387,84.01,111.81200000000001,91.80799999999999,229.248,91.264,202.81,89.46600000000001,138.39700000000002,99.464,152.984,97.45299999999999,97.994,94.51,181.804,93.805,72.459,101.51799999999999,185.043,101.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.25,2209.0,,106.35,168.50799999999998,219.3,167.637,257.915,166.515,196.93099999999998,172.518,69.442,171.96099999999998,251.05700000000002,170.803,182.584,172.85,80.009,177.877,217.713,176.178,185.013,182.206,89.70700000000001,182.458,56.972,181.61599999999999,260.644,178.667,179.047,179.138,130.865,179.108,103.11399999999999,186.56,221.69,186.044,73.979,184.623,236.185,183.921,259.34,187.24599999999998,247.69799999999998,186.856,176.149,187.535,120.023,186.93,107.521,193.283,186.78400000000002,192.015,98.505,190.05,199.97299999999998,189.1,127.70700000000001,188.88400000000001,208.628,188.149,42.097,142.68,224.382,142.3,121.59200000000001,141.939,195.38,142.575,119.75299999999999,149.735,199.35299999999998,147.83700000000002,183.297,147.121,172.583,150.059,150.954,150.061,88.21600000000001,154.976,42.6,154.407,54.846000000000004,153.134,173.484,159.47299999999998,255.351,157.523,247.692,156.895,65.949,156.816,90.57,163.858,213.91,163.042,219.808,196.076,77.91,195.481,51.583,194.692,196.127,204.72400000000002,186.513,204.438,59.011,201.72299999999998,67.137,198.747,175.854,51.335,125.715,51.313,181.074,44.743,132.268,110.134,96.59100000000001,109.956,150.476,116.163,194.565,115.22399999999999,111.759,114.84299999999999,48.211000000000006,113.604,248.554,112.539,156.026,111.912,88.429,122.58,163.32399999999998,119.881,62.597,127.491,224.805,126.15100000000001,106.28200000000001,126.294,194.09099999999998,124.726,238.947,131.817,138.47299999999998,131.872,95.552,135.713,216.13099999999997,135.335,83.11399999999999,135.011,196.166,132.91,123.04899999999999,132.97799999999998,69.236,132.97899999999998,187.253,139.05700000000002,51.81,138.672,188.37599999999998,56.09,96.956,63.948,144.119,62.852,124.381,70.168,183.002,68.827,138.827,81.072,187.66,79.548,114.93799999999999,79.048,94.834,77.432,197.52599999999998,74.237,107.111,87.691,84.40899999999999,84.053,111.82700000000001,91.83,229.252,91.24,202.783,89.445,138.373,99.493,153.011,97.471,98.084,94.454,181.813,93.738,72.46,101.51799999999999,185.097,101.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.5,2210.0,,106.411,168.52599999999998,219.28799999999998,167.63400000000001,257.906,166.53,196.862,172.551,69.434,171.954,251.054,170.80599999999998,182.612,172.851,79.994,177.889,217.71200000000002,176.192,185.011,182.22299999999998,89.706,182.475,57.037,181.644,260.64599999999996,178.66299999999998,179.058,179.14700000000002,130.846,179.12599999999998,103.139,186.571,221.739,186.088,73.972,184.627,236.222,183.918,259.334,187.27700000000002,247.717,186.87099999999998,176.231,187.604,120.055,186.912,107.53399999999999,193.296,186.801,192.013,98.536,190.07,199.99599999999998,189.076,127.664,188.952,208.609,188.15099999999998,42.103,142.718,224.326,142.297,121.633,141.958,195.488,142.589,119.735,149.785,199.324,147.83100000000002,183.324,147.119,172.61900000000003,150.097,150.953,150.058,88.25,154.968,42.591,154.409,54.846000000000004,153.154,173.493,159.475,255.385,157.566,247.71,156.928,65.916,156.82399999999998,90.546,163.88400000000001,213.925,163.05,219.79,196.071,77.919,195.415,51.56100000000001,194.66,196.15,204.702,186.498,204.42700000000002,58.931000000000004,201.71099999999998,67.145,198.69400000000002,175.80700000000002,51.446000000000005,125.677,51.294,181.05,44.795,132.27,110.115,96.331,110.117,150.38,116.164,194.579,115.228,111.76299999999999,114.786,48.288000000000004,113.792,248.56799999999998,112.51,156.109,111.867,88.40799999999999,122.59100000000001,163.362,119.86,62.633,127.473,224.775,126.179,106.35,126.324,193.993,124.79700000000001,238.843,131.80100000000002,138.484,131.88,95.545,135.72,216.023,135.355,83.023,134.987,196.175,132.893,123.053,132.998,69.248,132.946,187.225,139.048,51.817,138.711,188.38099999999997,56.083999999999996,96.932,63.964,144.07,62.85,124.417,70.09100000000001,182.859,68.67699999999999,138.82299999999998,81.07300000000001,187.679,79.554,114.95200000000001,79.0,94.821,77.42699999999999,197.503,74.17,107.113,87.73299999999999,84.359,84.098,111.859,91.84100000000001,229.262,91.23700000000001,202.75599999999997,89.488,138.373,99.499,153.023,97.523,98.12,94.439,181.84599999999998,93.831,72.476,101.515,185.013,101.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
