TimesH,Frame,NoMissing,9,9,17,17,36,36,44,44,50,50,51,51,52,52,61,61,78,78,97,97,99,99,100,100,116,116,118,118,127,127,129,129,140,140,149,149,153,153,162,162,167,167,171,171,177,177,178,178,185,185,195,195,198,198,221,221,230,230,233,233,238,238,239,239,244,244,250,250,253,253,267,267,269,269,270,270,275,275,277,277,278,278,283,283,290,290,297,297,310,310,330,330,334,334,339,339,347,347,349,349,361,361,362,362,364,364,422,422,483,483,591,591,609,609,688,688,710,710,757,757,842,842,848,848,864,864,883,883
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
550.75,2203.0,,158.107,82.11200000000001,211.607,83.459,137.989,70.488,107.689,191.793,193.30700000000002,64.237,91.02,70.235,47.37,189.77900000000002,259.719,185.16,113.93,185.139,186.322,104.89299999999999,218.615,103.289,138.47899999999998,104.936,106.985,91.02799999999999,189.05,91.838,157.857,118.756,63.102,118.677,109.301,115.149,210.55599999999998,109.344,225.952,107.242,80.982,132.429,186.61599999999999,126.602,215.02200000000002,126.181,109.34200000000001,126.064,80.763,125.275,131.783,122.069,199.02599999999998,140.48,134.643,138.349,257.70099999999996,154.192,187.343,150.95,86.235,149.925,179.81,148.14600000000002,150.37,147.805,163.722,143.563,139.529,144.15,50.2,167.048,114.875,159.34,247.358,159.072,142.088,158.85299999999998,236.803,155.963,87.38600000000001,157.269,151.48,154.738,76.362,179.238,156.584,39.941,222.83599999999998,176.3,158.717,23.198,214.83700000000002,174.22,132.454,171.377,152.862,170.83900000000003,146.715,167.003,161.642,166.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551.0,2204.0,,158.156,82.20700000000001,211.56099999999998,83.436,138.003,70.52600000000001,107.79700000000001,191.65,193.31599999999997,64.18,91.02799999999999,70.191,47.271,189.78799999999998,259.712,185.13400000000001,114.029,185.295,186.33599999999998,104.902,218.46900000000002,103.306,138.472,104.99,107.06,91.09,189.051,91.834,157.865,118.744,63.098,118.68299999999999,109.352,115.17299999999999,210.58599999999998,109.354,225.94400000000002,107.205,80.968,132.41,186.63,126.62,215.048,126.17,109.37700000000001,126.10700000000001,80.76100000000001,125.26700000000001,131.808,122.073,199.00799999999998,140.52200000000002,134.65,138.34,257.73900000000003,154.22899999999998,187.343,150.951,86.257,149.941,179.72799999999998,148.132,150.35299999999998,147.786,163.744,143.555,139.509,144.15200000000002,50.178000000000004,167.04,114.875,159.356,247.35,159.142,142.08700000000002,158.959,236.85,155.911,87.444,157.224,151.477,154.70600000000002,76.335,179.29,156.597,39.897,222.78400000000002,176.278,158.702,23.23,214.847,174.17,132.429,171.36700000000002,152.844,170.84099999999998,146.64700000000002,167.035,161.662,166.622,,,130.118,162.6,,,,,,,,,,,,,,,,,,,,,,,,
551.25,2205.0,,158.141,82.20299999999999,211.543,83.44200000000001,138.018,70.51899999999999,107.7,191.75099999999998,193.329,64.12899999999999,91.039,70.108,47.24,189.75599999999997,259.69,185.145,114.01899999999999,185.32,186.356,104.896,218.532,103.244,138.447,105.031,107.04799999999999,91.12100000000001,189.04,91.82799999999999,157.88,118.757,63.111000000000004,118.61399999999999,109.33,115.24600000000001,210.601,109.365,225.972,107.206,80.999,132.451,186.62900000000002,126.641,214.967,126.13799999999999,109.412,126.171,80.711,125.305,131.813,122.08,199.013,140.52100000000002,134.664,138.342,257.77299999999997,154.24200000000002,187.357,150.96200000000002,86.2,149.916,179.685,148.164,150.332,147.755,163.678,143.534,139.505,144.155,50.156000000000006,167.05200000000002,114.88799999999999,159.366,247.34099999999998,159.153,142.095,158.924,236.812,155.887,87.382,157.187,151.475,154.68200000000002,76.277,179.305,156.559,39.898,222.72099999999998,176.27,158.68200000000002,23.283,214.852,174.202,132.424,171.357,152.825,170.81599999999997,146.645,167.00599999999997,161.629,166.63,,,130.061,162.563,,,,,,,,,,,,,,,,,,,,,,,,
551.5,2206.0,,158.151,82.178,211.604,83.419,137.975,70.492,107.652,191.768,193.303,64.118,91.096,70.029,47.144,189.77700000000002,259.67,185.123,114.01899999999999,185.231,186.373,104.93299999999999,218.455,103.243,138.399,105.06700000000001,106.986,91.134,189.03599999999997,91.851,157.875,118.76899999999999,63.122,118.65799999999999,109.34700000000001,115.26100000000001,210.641,109.37899999999999,225.949,107.191,81.0,132.436,186.61599999999999,126.635,214.929,126.141,109.476,126.228,80.709,125.27799999999999,131.855,122.09899999999999,198.99599999999998,140.545,134.722,138.27200000000002,257.808,154.352,187.34,150.955,86.167,149.931,179.673,148.113,150.33700000000002,147.731,163.71,143.609,139.47799999999998,144.122,50.11600000000001,166.988,114.896,159.359,247.32299999999998,159.135,142.144,158.548,236.804,155.863,87.416,157.154,151.458,154.72,76.285,179.328,156.532,39.959,222.72299999999998,176.269,158.7,23.28,214.872,174.21200000000002,132.398,171.34799999999998,152.80700000000002,170.83700000000002,146.637,166.942,161.639,166.60299999999998,,,130.144,162.645,,,,,,,,,,,,,,,,,,,,,,,,
551.75,2207.0,,158.166,82.185,211.583,83.449,137.951,70.495,107.29700000000001,191.831,193.202,64.069,91.085,70.015,47.023999999999994,189.824,259.718,185.12400000000002,113.932,185.06,186.38,104.928,218.42700000000002,103.211,138.409,105.068,106.929,91.167,188.989,91.82700000000001,157.898,118.79299999999999,63.11600000000001,118.611,109.32600000000001,115.256,210.657,109.374,225.92700000000002,107.149,80.95100000000001,132.395,186.646,126.632,214.889,126.146,109.564,126.419,80.71300000000001,125.26899999999999,131.839,122.094,199.0,140.55700000000002,134.722,138.253,257.807,154.382,187.333,150.963,86.22200000000001,149.944,179.64700000000002,148.187,150.322,147.719,163.756,143.618,139.464,144.12,50.117,167.019,114.897,159.375,247.33599999999998,159.111,142.135,158.635,236.81099999999998,155.873,87.454,157.102,151.446,154.759,76.271,179.327,156.476,39.781,222.706,176.27599999999998,158.641,23.316999999999997,214.905,174.255,132.386,171.351,152.744,170.817,146.662,166.9,161.639,166.60299999999998,223.08900000000003,138.078,130.25799999999998,162.72299999999998,,,,,,,,,,,,,,,,,,,,,,,,
552.0,2208.0,,158.174,82.163,211.59400000000002,83.439,137.872,70.495,107.134,191.83700000000002,193.12,64.082,91.068,69.964,46.766999999999996,189.84400000000002,259.746,185.075,113.86200000000001,184.91299999999998,186.378,104.947,218.554,103.397,138.41299999999998,105.105,106.962,91.21700000000001,188.983,91.836,157.933,118.838,63.104,118.605,109.301,115.25299999999999,210.65599999999998,109.37799999999999,225.954,107.163,80.939,132.377,186.61700000000002,126.61,214.873,126.152,109.64299999999999,126.51299999999999,80.672,125.286,131.826,122.10700000000001,198.967,140.575,134.738,138.25799999999998,257.851,154.395,187.343,150.97,86.227,149.954,179.595,148.196,150.31,147.711,163.80100000000002,143.711,139.476,144.123,50.058,166.96400000000003,114.9,159.379,247.351,159.122,142.149,158.66,236.773,155.865,87.462,157.062,151.421,154.764,76.295,179.333,156.344,39.769,222.697,176.247,158.62,23.343000000000004,214.90599999999998,174.22799999999998,132.346,171.334,152.713,170.80599999999998,146.644,166.946,161.68,166.583,223.055,138.07,130.385,162.817,104.77600000000001,101.37799999999999,,,,,,,,,,,,,,,,,,,,,,
552.25,2209.0,,158.218,82.15700000000001,211.608,83.478,137.781,70.528,107.14299999999999,191.878,193.108,64.003,91.061,69.92399999999999,46.674,189.847,259.717,185.12400000000002,113.855,185.00799999999998,186.40599999999998,104.898,218.47400000000002,103.189,138.412,105.104,106.944,91.24700000000001,188.976,91.855,157.972,118.869,63.122,118.609,109.346,115.209,210.67700000000002,109.36399999999999,225.95,107.15299999999999,80.96300000000001,132.372,186.673,126.561,214.83900000000003,126.147,109.714,126.555,80.658,125.302,131.84,122.09,198.947,140.586,134.72799999999998,138.26,257.806,154.389,187.331,150.991,86.25,149.975,179.517,148.148,150.284,147.717,163.84799999999998,143.64,139.47899999999998,144.102,50.081,166.957,114.906,159.374,247.387,159.106,142.158,158.56799999999998,236.822,155.868,87.523,156.994,151.437,154.765,76.274,179.291,156.314,39.760999999999996,222.63099999999997,176.206,158.614,23.369,214.917,174.333,132.35399999999998,171.333,152.718,170.824,146.644,166.92,161.666,166.56799999999998,223.05200000000002,138.024,130.512,162.916,104.977,101.37700000000001,,,,,,,,,,,,,,,,,,,,,,
552.5,2210.0,,158.201,82.11399999999999,211.55200000000002,83.471,137.783,70.505,107.255,191.91,193.236,64.03,91.089,69.937,46.603,189.861,259.625,185.14700000000002,113.709,184.88299999999998,186.418,104.912,218.512,103.156,138.385,105.163,106.934,91.455,188.987,91.854,157.974,118.88799999999999,63.141999999999996,118.62200000000001,109.304,115.214,210.69,109.34700000000001,225.94799999999998,107.17299999999999,80.941,132.366,186.69,126.55,214.745,126.177,109.711,126.53,80.616,125.27,131.825,122.072,198.917,140.60299999999998,134.765,138.267,257.795,154.346,187.304,151.011,86.31,149.996,179.465,148.016,150.25799999999998,147.707,163.839,143.643,139.483,144.10399999999998,50.091,166.956,114.904,159.37,247.407,159.065,142.194,158.447,236.77700000000002,155.852,87.568,156.975,151.47,154.738,76.291,179.28,156.315,39.769,222.665,176.21200000000002,158.605,23.320999999999998,214.946,174.387,132.349,171.326,152.71,170.795,146.602,166.96099999999998,161.68,166.547,223.017,137.994,130.555,162.972,104.853,101.311,,,,,,,,,,,,,,,,,,,,,,
