TimesH,Frame,NoMissing,24,24,29,29,248,248,304,304,306,306,309,309,313,313,316,316,318,318,319,319,324,324,325,325,338,338,350,350,352,352,354,354,362,362,363,363,366,366,373,373,375,375,376,376,377,377,378,378,381,381,386,386,387,387,390,390,391,391,393,393,398,398,403,403,404,404,413,413,414,414,415,415,416,416,424,424,425,425,427,427,428,428,431,431,432,432,434,434,435,435,444,444,445,445,447,447,448,448,456,456,458,458,459,459,460,460,461,461,466,466,469,469,470,470,472,472,485,485,486,486,491,491,503,503,507,507,508,508,509,509,510,510,512,512,516,516,518,518,522,522,526,526,532,532,543,543,549,549,562,562,569,569,576,576,582,582,950,950,980,980,1091,1091,1460,1460,1570,1570,1820,1820,2348,2348
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,109.029,245.28799999999998,243.31799999999998,228.90200000000002,271.955,96.181,120.21700000000001,135.225,173.855,137.06799999999998,109.02600000000001,138.857,124.461,142.256,176.115,143.291,229.63,144.05100000000002,271.188,143.71,242.34900000000002,147.54,167.582,147.559,271.001,120.398,268.514,126.70700000000001,243.18200000000002,127.52799999999999,260.952,130.278,228.993,165.024,264.369,164.88,254.96900000000002,166.12599999999998,240.873,168.972,111.274,170.111,136.084,170.334,81.572,171.054,283.555,171.266,265.784,173.169,230.50099999999998,174.96599999999998,287.678,150.285,107.77799999999999,151.904,171.16299999999998,151.596,253.706,152.298,113.736,154.178,241.06400000000002,156.025,291.89,155.89700000000002,258.558,159.579,280.774,159.595,149.503,161.03,131.844,186.553,281.905,188.8,288.955,189.44299999999998,223.725,189.649,312.19,189.96099999999998,111.265,190.572,296.967,190.86700000000002,154.765,191.854,267.151,191.72400000000002,229.37400000000002,194.733,122.807,195.942,121.564,176.465,143.387,176.11700000000002,167.252,178.97,229.192,180.115,275.401,180.053,88.89200000000001,180.64700000000002,112.524,181.06,176.08599999999998,181.925,239.78099999999998,183.34099999999998,119.444,184.043,100.53200000000001,184.512,283.20099999999996,209.42700000000002,291.769,209.15,101.31299999999999,211.265,150.02700000000002,215.33700000000002,140.90200000000002,196.065,171.96900000000002,196.546,253.87900000000002,197.361,278.907,197.359,107.368,198.253,235.22,200.058,152.987,201.097,144.102,202.53400000000002,158.295,203.44099999999997,115.84,206.205,127.745,223.171,136.812,224.445,166.15099999999998,228.247,116.51899999999999,216.44099999999997,160.019,216.808,142.005,217.954,,,,,,,,,,,,,,
0.25,1.0,,109.13799999999999,245.248,243.204,228.574,271.949,96.175,120.213,135.237,173.855,137.04,109.022,138.835,124.461,142.259,176.123,143.30700000000002,229.655,144.047,271.172,143.688,242.372,147.564,167.582,147.54,270.992,120.38799999999999,268.506,126.70200000000001,243.18599999999998,127.509,260.95099999999996,130.267,228.99400000000003,165.014,264.383,164.864,254.985,166.13299999999998,240.87900000000002,168.975,111.271,170.071,136.077,170.31799999999998,81.564,171.055,283.574,171.269,265.79400000000004,173.165,230.535,175.00099999999998,287.663,150.27,107.787,151.908,171.16400000000002,151.593,253.378,152.76,113.75,154.161,241.07,156.015,291.909,155.874,258.538,159.55200000000002,280.788,159.594,149.457,161.05100000000002,131.84799999999998,186.545,281.894,188.792,288.95799999999997,189.433,223.58900000000003,189.563,312.204,189.97,111.249,190.53900000000002,296.998,190.878,154.783,191.87099999999998,267.156,191.69099999999997,229.41299999999998,194.739,122.81299999999999,195.93400000000003,121.552,176.44400000000002,143.357,176.113,167.22400000000002,178.96900000000002,229.158,180.15400000000002,275.442,180.03099999999998,88.897,180.623,112.545,181.04,176.077,181.956,239.808,183.37,119.448,184.028,100.49,184.495,283.132,209.449,291.772,209.11,101.316,211.3,150.028,215.343,140.87,196.025,171.977,196.523,253.88099999999997,197.33599999999998,278.93,197.342,107.37799999999999,198.178,235.269,200.092,152.988,201.07,144.12,202.61700000000002,158.257,203.455,115.836,206.217,127.75,223.187,136.812,224.424,166.15400000000002,228.229,116.505,216.485,160.096,216.80200000000002,141.885,217.965,,,,,,,,,,,,,,
0.5,2.0,,109.146,245.22400000000002,243.202,228.588,271.95,96.164,120.223,135.268,173.83900000000003,137.034,109.023,138.793,124.45100000000001,142.256,176.102,143.311,229.645,144.042,271.165,143.65,242.396,147.566,167.56,147.505,270.996,120.367,268.499,126.681,243.18900000000002,127.477,260.962,130.25799999999998,229.002,164.993,264.361,164.877,255.015,166.144,240.885,168.96900000000002,111.329,169.99200000000002,136.105,170.3,81.547,171.043,283.60900000000004,171.264,265.806,173.15900000000002,230.545,175.00799999999998,287.649,150.263,107.77799999999999,151.912,171.19299999999998,151.601,253.732,152.39,113.745,154.165,241.09099999999998,156.009,291.94,155.847,258.502,159.509,280.79,159.58100000000002,149.444,161.063,131.847,186.52,281.88599999999997,188.765,288.95,189.412,223.543,189.614,312.21299999999997,189.949,111.24600000000001,190.521,297.028,190.895,154.746,191.842,267.14,191.68599999999998,229.389,194.743,122.823,195.91099999999997,121.54799999999999,176.423,143.298,176.111,167.19400000000002,178.953,229.185,180.235,275.442,180.023,88.87299999999999,180.53599999999997,112.604,181.00900000000001,176.02,182.09599999999998,239.888,183.365,119.435,184.01,100.47399999999999,184.468,283.10900000000004,209.46200000000002,291.751,209.045,101.38799999999999,211.268,150.04,215.335,140.856,196.013,171.975,196.554,253.918,197.322,278.899,197.31799999999998,107.291,198.16099999999997,235.28,200.083,153.011,201.054,144.067,202.46099999999998,158.222,203.493,115.846,206.207,127.71700000000001,223.155,136.77200000000002,224.399,166.192,228.237,116.51100000000001,216.425,160.06,216.805,141.726,217.97,,,,,,,,,,,,,,
0.75,3.0,,109.255,245.21599999999998,243.179,228.708,271.968,96.162,120.204,135.241,173.838,137.012,109.007,138.793,124.45,142.241,176.082,143.304,229.645,144.02200000000002,271.215,143.61,242.41299999999998,147.582,167.542,147.46200000000002,270.999,120.352,268.513,126.68299999999999,243.2,127.465,260.973,130.256,229.01,164.985,264.34,164.878,255.043,166.16299999999998,240.889,168.96900000000002,111.329,169.954,136.126,170.269,81.535,171.02200000000002,283.61400000000003,171.257,265.802,173.14700000000002,230.551,175.00099999999998,287.666,150.257,107.791,151.869,171.215,151.582,253.377,152.779,113.725,154.144,241.108,155.998,291.976,155.845,258.475,159.472,280.79900000000004,159.577,149.44,161.048,131.833,186.505,281.902,188.794,288.96299999999997,189.41,223.30200000000002,189.498,312.233,189.921,111.255,190.50099999999998,297.087,190.804,154.721,191.817,267.14,191.674,229.421,194.774,122.823,195.893,121.55,176.408,143.269,176.11,167.17700000000002,178.94400000000002,229.188,180.30700000000002,275.467,180.02,88.88600000000001,180.521,112.616,180.958,176.12599999999998,182.09799999999998,239.979,183.36900000000003,119.434,183.99900000000002,100.415,184.36700000000002,283.056,209.465,291.786,208.99200000000002,101.501,211.222,150.006,215.334,140.855,196.017,171.97799999999998,196.523,253.91299999999998,197.31400000000002,278.91900000000004,197.287,107.38600000000001,198.077,235.31799999999998,200.101,153.041,201.053,144.058,202.46099999999998,158.208,203.476,115.863,206.192,127.771,223.12900000000002,136.752,224.38400000000001,166.167,228.16099999999997,116.45100000000001,216.47,160.031,216.812,141.664,217.972,,,,,,,,,,,,,,
1.0,4.0,,109.295,245.205,243.165,228.83700000000002,271.964,96.156,120.227,135.255,173.85,137.013,109.00399999999999,138.781,124.444,142.237,176.084,143.297,229.676,144.02100000000002,271.176,143.566,242.42,147.599,167.52599999999998,147.441,271.0,120.34,268.505,126.64299999999999,243.199,127.45,260.986,130.255,229.014,164.967,264.383,164.845,255.051,166.16299999999998,240.894,168.96599999999998,111.32600000000001,169.952,136.134,170.271,81.527,170.993,283.644,171.238,265.797,173.13299999999998,230.56900000000002,174.99200000000002,287.689,150.263,107.741,151.814,171.232,151.576,253.325,152.855,113.734,154.137,241.128,155.987,291.994,155.838,258.512,159.493,280.801,159.57399999999998,149.39,161.058,131.843,186.49900000000002,281.92400000000004,188.804,288.968,189.351,223.332,189.515,312.26,189.923,111.24600000000001,190.48,297.117,190.872,154.685,191.799,267.166,191.685,229.463,194.82299999999998,122.836,195.872,121.544,176.388,143.275,176.12599999999998,167.14700000000002,178.93400000000003,229.25900000000001,180.255,275.515,179.997,88.85700000000001,180.52599999999998,112.619,180.94099999999997,176.18200000000002,182.048,240.05,183.363,119.43799999999999,183.97799999999998,100.40299999999999,184.392,283.04200000000003,209.475,291.83099999999996,208.952,101.335,211.3,149.999,215.322,140.843,196.015,171.972,196.476,253.93400000000003,197.296,278.895,197.262,107.473,198.05200000000002,235.326,200.079,153.03799999999998,201.017,144.05700000000002,202.4,158.175,203.477,115.84200000000001,206.2,127.792,223.115,136.733,224.399,166.16099999999997,228.227,116.459,216.476,160.034,216.753,141.66299999999998,217.94099999999997,,,,,,,,,,,,,,
1.25,5.0,,109.281,245.22799999999998,243.11900000000003,228.857,271.96,96.148,120.219,135.216,173.84900000000002,137.018,108.98100000000001,138.766,124.425,142.224,176.067,143.296,229.671,144.02,271.194,143.578,242.5,147.70600000000002,167.545,147.52200000000002,270.995,120.335,268.495,126.619,243.201,127.429,261.003,130.246,229.02,164.955,264.39,164.843,255.082,166.17700000000002,240.888,168.965,111.351,169.925,136.132,170.257,81.516,170.96900000000002,283.66,171.21200000000002,265.802,173.122,230.56099999999998,174.965,287.70599999999996,150.261,107.671,151.89,171.247,151.575,253.44,152.78,113.72399999999999,154.119,241.145,155.982,292.02099999999996,155.825,258.454,159.49,280.801,159.57299999999998,149.334,161.009,131.887,186.455,281.942,188.80700000000002,288.97,189.31900000000002,223.375,189.57,312.322,189.892,111.223,190.46099999999998,297.158,190.833,154.65200000000002,191.78599999999997,267.195,191.65900000000002,229.484,194.84900000000002,122.837,195.857,121.54799999999999,176.362,143.253,176.108,167.12900000000002,178.935,229.285,180.31400000000002,275.524,179.97799999999998,88.804,180.48,112.604,180.919,176.13,182.111,240.125,183.359,119.429,183.959,100.43700000000001,184.40900000000002,282.982,209.442,291.881,208.96200000000002,101.22,211.368,150.032,215.32,140.85,196.00799999999998,171.99,196.46,253.953,197.274,278.901,197.257,107.42,198.049,235.34400000000002,200.06599999999997,153.02100000000002,200.985,144.075,202.39,158.158,203.452,115.824,206.21599999999998,127.803,223.054,136.704,224.4,166.174,228.29,116.38,216.625,160.059,216.75099999999998,141.69799999999998,217.945,,,,,,,,,,,,,,
1.5,6.0,,109.23299999999999,245.215,243.145,228.646,271.966,96.14399999999999,120.226,135.184,173.868,136.982,108.96,138.749,124.40899999999999,142.219,176.063,143.29,229.675,144.004,271.182,143.546,242.533,147.748,167.53799999999998,147.505,270.995,120.32799999999999,268.499,126.59200000000001,243.199,127.417,261.008,130.241,229.017,164.938,264.392,164.804,255.107,166.19099999999997,240.893,168.968,111.38,169.94400000000002,136.179,170.25599999999997,81.529,170.975,283.681,171.207,265.803,173.112,230.563,174.94299999999998,287.721,150.25,107.695,151.80200000000002,171.262,151.583,253.454,152.799,113.719,154.094,241.149,155.97299999999998,292.056,155.819,258.444,159.44799999999998,280.806,159.565,149.27100000000002,161.006,131.89,186.43099999999998,281.96299999999997,188.859,288.976,189.27900000000002,223.293,189.535,312.381,189.873,111.228,190.445,297.26099999999997,190.68599999999998,154.689,191.78099999999998,267.212,191.632,229.46,194.896,122.84899999999999,195.826,121.551,176.34099999999998,143.21200000000002,176.079,167.107,178.923,229.296,180.25599999999997,275.55,179.946,88.785,180.453,112.62,180.90599999999998,176.188,182.125,240.171,183.342,119.42399999999999,183.937,100.436,184.36,282.935,209.43400000000003,291.942,208.918,101.229,211.328,150.072,215.325,140.849,195.98,172.00099999999998,196.40200000000002,253.97099999999998,197.25900000000001,278.933,197.22799999999998,107.39399999999999,198.021,235.347,200.058,153.004,200.954,144.069,202.41400000000002,158.125,203.457,115.816,206.199,127.766,223.045,136.688,224.37900000000002,166.178,228.24200000000002,116.352,216.635,160.04399999999998,216.77,141.68,217.916,,,,,,,,,,,,,,
1.75,7.0,,109.271,245.19,243.21099999999998,228.77,271.957,96.13799999999999,120.17,135.16,173.859,136.938,108.939,138.74200000000002,124.40700000000001,142.201,176.047,143.281,229.678,143.99200000000002,271.145,143.60399999999998,242.555,147.755,167.53900000000002,147.458,270.991,120.31299999999999,268.504,126.575,243.197,127.404,261.01,130.239,229.035,164.929,264.43,164.787,255.13400000000001,166.195,240.889,168.96200000000002,111.382,169.947,136.187,170.229,81.536,170.96099999999998,283.72,171.187,265.793,173.108,230.59900000000002,174.938,287.721,150.249,107.645,151.81799999999998,171.283,151.589,253.424,152.812,113.709,154.06799999999998,241.15599999999998,155.965,292.091,155.808,258.478,159.437,280.82099999999997,159.56,149.241,161.005,131.89700000000002,186.43099999999998,281.947,188.81799999999998,288.97,189.266,223.132,189.364,312.373,189.877,111.165,190.43099999999998,297.265,190.669,154.653,191.782,267.218,191.602,229.44299999999998,194.886,122.861,195.799,121.54299999999999,176.31599999999997,143.191,176.067,167.077,178.93200000000002,229.385,180.192,275.553,179.94099999999997,88.78200000000001,180.442,112.648,180.896,176.185,182.19299999999998,240.229,183.356,119.40799999999999,183.918,100.445,184.343,282.895,209.44400000000002,292.019,208.90200000000002,101.113,211.287,150.07299999999998,215.34400000000002,140.83700000000002,195.957,172.00400000000002,196.34,254.021,197.25,278.923,197.22099999999998,107.35700000000001,198.015,235.33599999999998,200.025,153.005,200.923,144.064,202.356,158.123,203.44799999999998,115.821,206.21099999999998,127.75299999999999,223.041,136.636,224.39,166.18900000000002,228.255,116.251,216.767,160.10299999999998,216.795,141.71200000000002,217.894,,,,,,,,,,,,,,
