TimesH,Frame,NoMissing,1,1,5,5,9,9,10,10,11,11,12,12,18,18,32,32,37,37,38,38,46,46,47,47,59,59,62,62,65,65,73,73,75,75,88,88,102,102,104,104,116,116,123,123,124,124,140,140,150,150,154,154,419,419,432,432,454,454,478,478,516,516,531,531,542,542,582,582,584,584,589,589,606,606,613,613,617,617,621,621,622,622,628,628,634,634,644,644,654,654,668,668,683,683,690,690,693,693,694,694,706,706,714,714,718,718,727,727,735,735,746,746,753,753,754,754,771,771,773,773,775,775,786,786,787,787,789,789,793,793,800,800,804,804,809,809,810,810,816,816,818,818,827,827,844,844,845,845,846,846,853,853,861,861,871,871,874,874,876,876,878,878,890,890,905,905,919,919,923,923,927,927,929,929,940,940,941,941,943,943,945,945,949,949,950,950,964,964,971,971,985,985,988,988,989,989,993,993,1003,1003,1015,1015,1022,1022,1027,1027,1032,1032,1045,1045,1049,1049,1050,1050,1051,1051,1052,1052,1054,1054,1068,1068,1069,1069,1073,1073,1078,1078,1080,1080,1081,1081,1083,1083,1161,1161,1186,1186,1194,1194,1260,1260,1309,1309,1415,1415,1416,1416,1653,1653,1750,1750,1806,1806,1866,1866,1911,1911,1972,1972,2008,2008,2083,2083,2136,2136,2325,2325,2337,2337,2347,2347
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,340.115,195.49,135.60299999999998,196.399,245.80900000000003,195.84799999999998,331.10400000000004,196.355,269.911,196.9,296.512,196.78099999999998,225.592,199.044,162.39,203.028,112.557,204.22099999999998,242.183,204.328,233.483,204.84599999999998,271.885,205.328,137.18,207.37400000000002,254.604,207.378,278.863,207.878,76.05,210.139,66.854,210.96900000000002,128.809,213.09799999999998,257.279,215.69,282.481,216.322,338.73800000000006,217.648,109.15,218.858,165.40599999999998,218.856,210.426,223.304,175.196,225.227,366.561,225.33,104.016,42.138000000000005,221.93,45.141999999999996,80.98100000000001,53.073,171.076,59.715,167.82299999999998,70.39399999999999,276.563,74.07300000000001,119.45299999999999,77.921,247.43400000000003,87.363,124.251,87.661,224.502,88.37899999999999,260.991,93.306,124.617,95.18299999999999,326.971,94.986,137.013,96.73200000000001,160.61700000000002,96.601,253.424,98.125,149.389,100.325,261.65,101.649,139.154,104.507,124.12899999999999,106.95100000000001,247.282,109.681,269.166,111.759,321.557,112.588,128.556,112.73899999999999,145.326,115.318,136.89600000000002,118.02600000000001,268.885,118.277,234.613,120.055,252.578,120.57799999999999,231.778,125.318,124.15100000000001,127.16,253.25,127.405,164.763,129.546,241.748,129.64700000000002,275.791,130.792,150.316,132.829,177.666,133.278,170.515,134.491,322.89799999999997,133.73,220.301,134.79,163.496,136.555,132.345,137.889,230.033,137.935,179.178,139.653,244.87900000000002,139.585,144.665,142.215,132.09,145.72899999999998,173.813,145.846,235.52700000000002,146.108,161.226,147.65200000000002,255.82,147.81799999999998,226.447,149.951,111.978,151.90200000000002,166.59599999999998,151.532,246.623,152.345,273.563,153.487,238.0,157.0,115.99799999999999,158.594,175.245,159.869,268.219,161.063,141.239,162.215,316.717,163.526,334.17400000000004,163.289,85.39200000000001,166.048,287.735,165.924,77.042,166.767,101.022,166.52,95.31299999999999,169.08599999999998,169.612,170.99400000000003,247.803,173.638,110.06,175.03400000000002,160.578,174.673,149.851,175.91400000000002,142.11700000000002,177.67700000000002,241.0,179.641,350.12300000000005,180.653,298.277,181.47099999999998,107.696,183.46599999999998,237.93599999999998,186.12,216.926,187.429,250.005,186.792,287.703,187.40400000000002,324.925,187.138,69.439,187.858,168.002,191.185,176.362,190.676,293.789,191.678,282.30400000000003,193.697,354.524,194.28,384.425,194.055,117.785,195.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,340.148,195.49900000000002,135.577,196.421,245.83700000000002,195.89,331.13199999999995,196.389,269.709,196.829,296.51599999999996,196.78400000000002,225.597,199.14700000000002,162.411,203.03400000000002,112.60600000000001,204.225,242.203,204.31799999999998,233.38299999999998,204.85,271.93,205.331,137.171,207.274,254.609,207.35299999999998,278.881,207.87099999999998,76.045,210.173,66.837,211.05200000000002,128.73,213.053,257.252,215.665,282.482,216.343,338.751,217.608,109.215,218.827,165.456,218.798,210.299,223.37900000000002,175.203,225.243,366.461,225.50599999999997,104.035,42.126999999999995,221.918,45.163999999999994,80.931,53.001999999999995,171.06799999999998,59.769,167.747,70.376,276.611,74.006,119.398,77.906,247.514,87.11399999999999,124.228,87.635,224.487,88.34899999999999,260.99,93.29,124.62299999999999,95.14,326.954,94.961,137.013,96.73100000000001,160.599,96.635,253.44099999999997,98.126,149.43200000000002,100.26100000000001,261.649,101.64200000000001,139.13299999999998,104.366,124.13799999999999,106.917,247.335,109.63,269.21299999999997,111.839,321.377,112.23299999999999,128.566,112.728,145.28,115.24700000000001,136.917,118.02600000000001,268.848,118.382,234.548,120.06299999999999,252.593,120.59,231.915,125.15,124.12,127.147,253.237,127.34200000000001,164.778,129.53,241.734,129.61,275.8,130.786,150.282,132.78,177.65900000000002,133.293,170.50599999999997,134.52700000000002,322.89,133.753,220.31400000000002,134.765,163.52,136.60299999999998,132.333,137.874,229.998,137.869,179.118,139.7,244.917,139.766,144.658,142.205,132.029,145.763,173.81099999999998,145.77100000000002,235.502,146.105,161.041,147.493,255.80200000000002,147.865,226.505,149.958,111.969,151.90200000000002,166.613,151.569,246.618,152.314,273.598,153.497,237.58,156.981,115.97,158.55100000000002,175.317,159.817,268.235,161.05100000000002,141.26,162.21200000000002,316.774,163.542,334.589,163.694,85.367,166.03799999999998,287.815,165.835,77.196,166.9,101.007,166.524,95.31,169.047,169.562,171.014,247.82299999999998,173.671,110.069,175.03900000000002,160.57299999999998,174.641,149.819,175.887,142.09799999999998,177.68099999999998,241.02700000000002,179.65900000000002,349.965,180.696,298.315,181.524,107.68299999999999,183.458,237.96400000000003,186.15599999999998,216.92,187.44299999999998,249.982,186.78099999999998,287.728,187.40400000000002,324.941,187.16099999999997,69.377,187.864,168.005,191.203,176.497,190.667,293.817,191.69799999999998,282.33299999999997,193.762,354.606,194.30900000000003,384.519,194.05900000000003,117.751,195.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,340.10900000000004,195.489,135.559,196.41299999999998,245.843,195.898,331.163,196.449,268.665,196.549,296.607,196.77,225.606,199.176,162.447,203.062,112.48700000000001,204.24099999999999,242.187,204.355,233.417,204.86,271.935,205.34599999999998,137.143,207.21400000000003,254.632,207.355,278.88,207.852,76.056,210.196,66.85,211.037,128.689,213.075,257.171,215.62599999999998,282.487,216.362,338.716,217.612,109.234,218.85,165.428,218.83,210.299,223.16099999999997,175.18599999999998,225.22,366.42400000000004,225.523,104.036,42.113,221.81599999999997,45.085,80.95,53.041000000000004,171.013,59.479,167.69299999999998,70.403,276.57599999999996,74.03399999999999,119.351,77.884,247.46200000000002,87.001,124.23299999999999,87.64,224.61900000000003,88.54299999999999,261.001,93.287,124.62799999999999,95.115,326.904,95.149,137.04,96.72399999999999,160.561,96.53299999999999,253.451,98.10700000000001,149.416,100.256,261.64,101.58,139.079,104.434,124.124,106.89399999999999,247.274,109.639,269.156,111.721,321.814,112.81200000000001,128.632,112.73100000000001,145.291,115.22200000000001,136.903,118.025,268.894,118.36200000000001,234.495,120.08200000000001,252.58,120.51799999999999,231.921,125.181,124.09700000000001,127.155,253.22799999999998,127.34200000000001,164.793,129.529,241.75599999999997,129.627,275.808,130.768,150.278,132.78799999999998,177.675,133.21,170.493,134.535,322.881,133.702,220.449,134.657,163.52200000000002,136.586,132.33100000000002,137.892,229.99599999999998,137.916,179.123,139.74200000000002,244.891,139.85,144.622,142.179,131.975,145.77,173.88,145.864,235.486,146.114,161.029,147.49200000000002,255.81099999999998,147.844,226.488,149.983,111.943,151.887,166.61599999999999,151.632,246.597,152.257,273.598,153.514,237.425,156.838,115.939,158.52700000000002,175.43099999999998,159.828,268.258,161.041,141.236,162.196,316.82099999999997,163.509,334.24199999999996,163.468,85.348,166.0,287.872,165.824,77.26,166.918,101.016,166.52599999999998,95.309,168.99599999999998,169.532,171.007,247.852,173.678,110.073,175.02900000000002,160.566,174.62599999999998,149.827,175.872,142.219,177.645,241.03599999999997,179.66099999999997,350.19300000000004,180.77900000000002,298.482,181.37900000000002,107.648,183.463,237.989,186.204,216.888,187.457,250.054,186.892,287.722,187.36900000000003,324.9,187.16299999999998,69.333,187.855,168.01,191.145,176.399,190.658,293.823,191.718,282.353,193.767,354.61699999999996,194.31,384.551,194.06900000000002,117.835,195.19799999999998,215.287,120.95200000000001,,,145.126,220.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,340.157,195.608,135.56,196.399,245.84400000000002,195.893,331.139,196.49900000000002,268.788,196.49599999999998,296.659,196.75599999999997,225.68599999999998,199.24599999999998,162.518,202.99400000000003,112.366,204.137,242.19799999999998,204.31799999999998,233.37900000000002,204.84400000000002,271.928,205.377,137.124,207.16299999999998,254.669,207.326,278.887,207.835,75.961,210.13,66.767,210.89700000000002,128.66299999999998,213.083,257.259,215.657,282.503,216.28799999999998,338.707,217.61900000000003,109.274,218.796,165.46900000000002,218.805,210.267,223.02200000000002,175.175,225.21,366.51599999999996,225.575,104.08,42.033,221.734,44.971000000000004,80.945,53.071999999999996,170.989,59.413000000000004,167.725,70.28699999999999,276.58,74.038,119.20700000000001,77.744,247.475,86.992,124.29,87.61200000000001,224.65,88.462,261.012,93.255,124.62299999999999,95.07600000000001,326.905,95.219,137.039,96.68,160.572,96.37700000000001,253.495,98.089,149.39,100.257,261.626,101.575,139.07,104.339,124.1,106.863,247.32,109.544,269.145,111.637,321.809,112.794,128.644,112.74600000000001,145.283,115.266,136.827,118.01899999999999,268.873,118.39299999999999,234.523,119.991,252.548,120.485,231.89700000000002,125.182,124.06299999999999,127.169,253.265,127.258,164.732,129.52100000000002,241.761,129.607,275.843,130.75,150.284,132.784,177.676,133.282,170.488,134.54,322.769,133.657,220.53900000000002,134.621,163.49200000000002,136.507,132.343,137.826,230.00400000000002,137.909,179.109,139.673,245.085,139.822,144.60399999999998,142.157,131.865,145.808,173.896,145.878,235.476,146.09799999999998,161.031,147.461,255.80599999999998,147.866,226.417,149.982,111.927,151.859,166.608,151.494,246.597,152.257,273.615,153.49200000000002,238.0,157.0,115.928,158.502,175.396,159.85299999999998,268.27099999999996,161.043,141.224,162.19,316.909,163.524,334.204,163.399,85.34700000000001,165.93099999999998,287.892,165.707,77.217,166.905,101.0,166.507,95.37799999999999,169.016,169.424,170.997,247.882,173.68,110.08200000000001,175.01,160.56799999999998,174.593,149.843,175.877,142.39700000000002,177.592,241.02900000000002,179.68099999999998,350.017,180.753,298.502,181.47099999999998,107.603,183.47400000000002,238.007,186.25799999999998,216.888,187.482,250.053,186.893,287.689,187.358,324.837,187.15,69.295,187.832,168.053,191.10299999999998,176.31400000000002,190.628,293.837,191.717,282.345,193.771,354.67800000000005,194.325,384.491,194.054,117.9,195.22400000000002,215.31400000000002,120.669,376.34,197.28599999999997,145.125,220.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,340.191,195.65,135.562,196.388,245.868,195.922,331.176,196.543,268.785,196.46599999999998,296.718,196.817,225.74200000000002,199.27,162.545,203.002,112.44200000000001,204.106,242.21400000000003,204.28599999999997,233.363,204.83900000000003,271.986,205.37900000000002,137.097,207.118,254.729,207.324,278.89799999999997,207.81799999999998,75.936,210.035,66.7,210.845,128.632,213.071,257.072,215.55700000000002,282.476,216.28,338.736,217.6,109.426,218.83599999999998,165.47,218.947,210.35,222.738,175.172,225.18400000000003,366.537,225.332,104.109,42.006,221.748,45.031000000000006,80.905,53.033,171.016,59.239,167.734,70.165,276.577,74.05199999999999,119.255,77.631,247.544,87.024,124.375,87.594,224.74099999999999,88.59299999999999,261.03,93.243,124.63,95.057,326.91700000000003,95.068,137.049,96.635,160.558,96.473,253.46099999999998,98.039,149.35399999999998,100.215,261.642,101.58,139.115,104.271,124.09899999999999,106.845,247.3,109.53399999999999,269.205,111.634,321.805,112.852,128.634,112.771,145.26,115.367,136.78799999999998,117.984,268.925,118.35600000000001,234.49400000000003,119.995,252.533,120.45200000000001,231.921,125.13600000000001,124.087,127.04,253.19799999999998,127.229,164.87900000000002,129.546,241.773,129.58,275.847,130.741,150.25799999999998,132.767,177.705,133.17600000000002,170.458,134.534,322.635,133.47799999999998,220.479,134.648,163.513,136.504,132.279,137.78799999999998,229.99900000000002,137.859,179.033,139.549,245.06599999999997,139.661,144.59799999999998,142.113,131.874,145.789,173.89700000000002,145.911,235.47400000000002,146.095,161.039,147.454,255.804,147.892,226.419,149.982,111.90299999999999,151.859,166.64,151.55,246.63,152.235,273.638,153.47899999999998,237.614,156.93,115.934,158.476,175.452,159.785,268.279,161.049,141.22,162.197,316.97700000000003,163.514,334.256,163.361,85.34299999999999,165.94400000000002,287.812,165.416,77.26100000000001,166.921,100.964,166.498,95.288,168.995,169.44,170.99,247.899,173.667,110.075,175.011,160.558,174.578,149.894,175.88,142.0,178.0,241.02700000000002,179.67700000000002,350.07199999999995,180.778,298.532,181.49400000000003,107.575,183.482,238.035,186.27599999999998,216.88299999999998,187.507,249.986,186.83,287.66,187.334,324.86400000000003,187.173,69.22399999999999,187.857,168.171,191.06,176.322,190.543,293.824,191.731,282.351,193.801,354.741,194.331,384.347,194.003,117.818,195.19099999999997,215.403,120.65,376.281,197.31799999999998,145.145,220.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,340.217,195.71400000000003,135.537,196.388,245.87599999999998,195.90599999999998,331.20099999999996,196.607,268.72900000000004,196.415,296.709,196.891,225.80200000000002,199.36599999999999,162.588,203.03099999999998,112.47399999999999,204.168,242.15900000000002,204.358,233.372,204.832,271.996,205.39,137.043,207.06599999999997,254.791,207.322,278.92,207.833,75.94,209.997,66.581,210.838,128.55700000000002,213.088,257.074,215.56400000000002,282.473,216.25099999999998,338.79400000000004,217.547,109.492,218.813,165.497,218.908,210.274,222.77,175.15400000000002,225.172,366.501,225.53599999999997,104.05799999999999,41.972,221.718,44.958,80.90100000000001,52.912,171.05900000000003,59.233999999999995,167.708,70.21600000000001,276.601,74.063,119.23200000000001,77.60600000000001,247.562,87.03399999999999,124.315,87.579,224.68200000000002,88.45299999999999,261.051,93.211,124.615,95.04700000000001,326.814,95.126,137.026,96.65799999999999,160.553,96.055,253.488,98.04,149.296,100.182,261.639,101.59700000000001,139.17600000000002,104.288,124.09100000000001,106.803,247.37,109.361,269.163,111.62899999999999,321.811,112.781,128.608,112.75399999999999,145.248,115.35,136.781,117.98700000000001,268.885,118.402,234.472,120.02,252.535,120.47399999999999,231.88400000000001,125.09700000000001,124.09299999999999,126.955,253.18599999999998,127.214,164.845,129.534,241.771,129.54399999999998,275.89,130.746,150.237,132.751,177.639,133.164,170.455,134.512,322.961,133.713,220.38299999999998,134.678,163.49,136.47299999999998,132.27700000000002,137.80200000000002,230.047,137.83,179.05599999999998,139.564,245.032,139.686,144.564,142.08,131.912,145.737,173.94400000000002,145.945,235.50799999999998,146.109,161.102,147.47,255.74,147.967,226.446,149.97299999999998,111.896,151.845,166.66099999999997,151.593,246.672,152.231,273.644,153.453,237.66,156.944,115.929,158.464,175.40200000000002,159.71200000000002,268.29200000000003,161.069,141.218,162.22,317.063,163.578,334.231,163.372,85.315,165.91,287.879,165.36599999999999,77.222,166.916,100.94,166.484,95.25399999999999,168.953,169.389,170.947,247.91099999999997,173.696,110.08,175.005,160.58,174.512,149.877,175.87099999999998,142.0,178.0,241.06099999999998,179.688,350.043,180.734,298.502,181.389,107.57700000000001,183.46,238.06599999999997,186.305,216.865,187.53099999999998,250.08900000000003,186.935,287.623,187.32299999999998,324.89799999999997,187.18099999999998,69.20100000000001,187.829,168.176,191.04,176.328,190.554,293.85900000000004,191.729,282.328,193.88,354.83099999999996,194.38099999999997,384.33,193.985,117.931,195.252,,,375.848,200.878,145.167,220.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,340.224,195.80200000000002,135.506,196.41400000000002,245.87599999999998,195.896,331.17800000000005,196.549,268.262,196.31,296.73400000000004,197.00099999999998,225.81400000000002,199.36,162.57299999999998,203.003,112.46700000000001,204.192,242.13299999999998,204.43900000000002,233.358,204.84900000000002,272.04900000000004,205.386,137.00799999999998,207.013,254.835,207.321,278.908,207.825,75.998,209.957,66.611,210.74900000000002,128.542,213.12,257.047,215.55200000000002,282.504,216.27700000000002,338.782,217.50799999999998,109.391,218.787,165.58599999999998,218.733,210.296,222.683,175.132,225.222,366.514,225.528,104.038,41.961999999999996,221.69299999999998,44.806000000000004,80.944,52.858000000000004,171.048,59.262,167.701,70.135,276.597,74.057,119.154,77.664,247.46,87.279,124.24700000000001,87.59,224.55,88.389,261.063,93.18799999999999,124.65299999999999,95.039,326.872,94.971,137.031,96.556,160.623,95.757,253.50799999999998,98.027,149.374,100.166,261.611,101.568,139.149,104.26700000000001,124.072,106.785,247.544,109.06299999999999,269.152,111.67399999999999,321.77,112.771,128.566,112.765,145.243,115.39299999999999,136.761,117.95,268.719,118.525,234.485,120.0,252.5,120.491,231.91,125.006,124.084,126.95,253.157,127.17299999999999,164.81799999999998,129.43200000000002,241.77,129.507,275.91,130.705,150.214,132.741,177.639,133.15,170.43599999999998,134.506,322.916,133.653,220.378,134.711,163.506,136.428,132.264,137.78,230.054,137.81799999999998,179.08900000000003,139.539,245.00599999999997,139.618,144.532,142.043,131.826,145.751,173.93599999999998,145.969,235.525,146.107,161.12,147.453,255.707,148.015,226.49200000000002,149.964,111.87899999999999,151.844,166.658,151.579,246.671,152.21200000000002,273.665,153.434,237.674,156.92600000000002,115.92,158.471,175.418,159.673,268.318,161.071,141.224,162.222,317.149,163.6,334.134,163.35399999999998,85.31,165.86900000000003,287.916,165.403,77.187,166.90900000000002,100.921,166.46599999999998,95.264,168.90400000000002,169.36,170.903,247.946,173.68200000000002,110.103,175.00400000000002,160.61700000000002,174.486,149.958,175.878,142.0,178.0,241.055,179.71900000000002,350.033,180.725,298.51099999999997,181.553,107.57799999999999,183.47799999999998,238.06400000000002,186.354,216.83900000000003,187.53799999999998,250.16099999999997,187.023,287.668,187.28900000000002,324.875,187.143,69.16,187.81599999999997,168.206,191.032,176.35,190.52,293.869,191.761,282.348,193.907,354.913,194.419,384.37300000000005,194.08700000000002,117.945,195.264,215.021,120.161,375.784,200.87900000000002,145.167,220.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,340.27099999999996,195.93599999999998,135.53,196.428,245.878,195.886,331.14099999999996,196.56900000000002,268.383,196.25099999999998,296.687,197.002,225.834,199.43099999999998,162.58700000000002,203.003,112.50200000000001,204.18200000000002,242.203,204.364,233.28599999999997,204.834,272.065,205.38,136.981,206.983,254.84599999999998,207.312,278.91700000000003,207.827,75.991,209.892,66.523,210.718,128.502,213.178,256.997,215.579,282.515,216.27200000000002,338.68300000000005,217.502,109.26799999999999,218.842,165.39,218.886,210.215,222.832,175.16299999999998,225.217,366.528,225.49900000000002,104.066,41.9,221.75799999999998,44.803000000000004,80.94800000000001,52.953,171.08700000000002,59.174,167.676,70.098,276.6,74.047,119.01700000000001,77.454,247.446,87.169,124.286,87.544,224.47099999999998,88.45299999999999,261.07599999999996,93.18299999999999,124.645,94.98899999999999,326.895,95.03200000000001,137.013,96.603,160.531,95.55799999999999,253.511,98.008,149.405,100.177,261.585,101.542,139.111,104.20100000000001,124.06299999999999,106.755,247.575,109.03299999999999,269.249,111.63799999999999,321.795,112.87799999999999,128.577,112.741,145.257,115.36200000000001,136.805,117.929,268.681,118.512,234.49,119.98100000000001,252.46599999999998,120.40899999999999,231.954,124.925,124.06,126.921,253.178,127.146,164.826,129.389,241.78599999999997,129.535,275.89,130.703,150.217,132.707,177.604,133.162,170.425,134.477,322.857,133.743,220.505,134.608,163.461,136.38299999999998,132.24,137.764,230.09799999999998,137.83700000000002,179.112,139.619,245.03,139.67600000000002,144.524,142.02700000000002,131.858,145.708,173.96200000000002,146.019,235.50900000000001,146.101,161.099,147.415,255.675,148.08,226.46400000000003,149.966,111.87200000000001,151.816,166.68099999999998,151.607,246.66400000000002,152.172,273.687,153.407,237.863,157.076,115.913,158.404,175.49,159.526,268.32099999999997,161.072,141.19799999999998,162.204,317.164,163.625,334.17800000000005,163.40200000000002,85.321,165.87099999999998,287.901,165.37099999999998,77.14699999999999,166.87400000000002,100.914,166.46900000000002,95.292,168.888,169.368,170.864,247.925,173.66299999999998,110.07799999999999,174.985,160.702,174.49099999999999,149.974,175.83599999999998,143.0,178.0,241.065,179.745,350.046,180.775,298.59,181.328,107.568,183.472,238.077,186.36900000000003,216.835,187.545,250.139,187.081,287.649,187.3,324.91900000000004,187.179,69.155,187.78,168.226,191.019,176.312,190.40200000000002,293.928,191.75099999999998,282.38599999999997,193.93099999999998,354.93300000000005,194.46,384.349,193.987,117.874,195.218,214.99099999999999,120.156,375.82099999999997,200.998,145.153,220.09900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
