TimesH,Frame,NoMissing,6,6,11,11,12,12,14,14,18,18,22,22,26,26,35,35,45,45,50,50,80,80,116,116,124,124,142,142,145,145,147,147,152,152,155,155,166,166,174,174,183,183,223,223,224,224,235,235,332,332,335,335,338,338,481,481,832,832
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
181.5,726.0,,127.75,139.524,239.359,131.222,232.604,131.724,111.62,134.162,294.036,155.265,224.007,152.194,116.944,149.863,215.115,110.00200000000001,123.904,130.019,263.802,128.389,273.996,93.96799999999999,134.629,204.75900000000001,113.693,202.50599999999997,293.622,205.582,105.977,191.274,123.29700000000001,193.31400000000002,313.784,189.687,158.511,189.445,274.255,198.354,279.279,193.72,253.796,176.375,278.593,168.753,106.921,170.248,82.48299999999999,164.49599999999998,283.851,218.55900000000003,94.126,216.81900000000002,148.005,215.774,344.63300000000004,198.24099999999999,,
181.75,727.0,,127.70700000000001,139.44799999999998,239.416,131.316,232.632,131.718,111.655,134.158,294.006,155.265,223.97799999999998,152.19299999999998,116.969,149.858,215.235,110.285,123.958,130.029,263.795,128.381,273.79200000000003,93.805,134.628,204.75599999999997,113.678,202.503,293.62,205.548,106.01299999999999,191.225,123.289,193.3,313.735,189.68099999999998,158.424,189.49099999999999,274.282,198.355,279.272,193.7,253.822,176.315,278.591,168.75099999999998,106.90899999999999,170.222,82.446,164.52900000000002,283.843,218.56599999999997,94.071,216.658,147.928,215.695,344.589,198.237,,
182.0,728.0,,127.745,139.408,239.467,131.254,232.579,131.69899999999998,111.46799999999999,134.483,293.994,155.257,223.99200000000002,152.149,116.945,149.84,215.734,110.556,123.963,130.041,263.79400000000004,128.391,273.697,93.79,134.642,204.725,113.68700000000001,202.514,293.651,205.52900000000002,106.015,191.21,123.311,193.32299999999998,313.75,189.697,158.502,189.485,274.274,198.343,279.226,193.69,253.832,176.162,278.53700000000003,168.72299999999998,106.925,170.205,82.37799999999999,164.75400000000002,283.885,218.57299999999998,94.055,216.59900000000002,147.937,215.71599999999998,,,,
182.25,729.0,,127.67299999999999,139.32,239.451,131.18,232.585,131.59,111.545,134.221,293.991,155.22,224.03400000000002,152.23,116.947,149.847,215.89,110.704,123.89200000000001,130.036,263.793,128.38299999999998,273.642,93.822,134.65200000000002,204.71099999999998,113.678,202.50400000000002,293.65,205.495,106.046,191.208,123.304,193.33,313.721,189.68599999999998,158.475,189.488,274.277,198.329,279.22900000000004,193.658,253.893,176.17700000000002,278.55,168.72099999999998,107.00299999999999,170.15099999999998,82.29299999999999,164.77700000000002,283.901,218.57,94.1,216.57299999999998,147.97299999999998,215.731,,,,
182.5,730.0,,127.745,139.388,239.388,131.202,232.605,131.513,111.605,134.14700000000002,293.998,155.218,224.046,152.189,116.904,149.889,215.97099999999998,110.79299999999999,123.883,130.046,263.82,128.361,273.621,93.806,134.65,204.701,113.68700000000001,202.495,293.642,205.44799999999998,106.044,191.19400000000002,123.294,193.322,313.746,189.632,158.414,189.518,274.274,198.31799999999998,279.32599999999996,193.642,253.89700000000002,176.05900000000003,278.592,168.68,106.955,170.135,82.462,164.783,283.877,218.525,94.035,216.46900000000002,148.034,215.696,,,,
182.75,731.0,,127.742,139.40200000000002,239.38299999999998,131.312,232.66400000000002,131.507,111.456,134.252,293.97,155.21,224.014,152.25,116.86200000000001,149.92,215.958,110.603,123.91799999999999,130.066,263.81,128.357,273.67400000000004,93.823,134.626,204.66400000000002,113.691,202.49900000000002,293.681,205.403,106.042,191.202,123.288,193.31599999999997,313.746,189.632,158.464,189.479,274.29,198.30200000000002,279.319,193.62599999999998,253.91400000000002,176.014,278.599,168.67700000000002,106.97,170.18200000000002,82.156,164.675,283.899,218.485,94.105,216.451,148.06,215.704,,,,
183.0,732.0,,127.71,139.335,239.352,131.23,232.718,131.497,111.314,134.356,293.966,155.171,224.067,152.22,116.866,149.89700000000002,215.91299999999998,110.663,123.869,130.085,263.79200000000003,128.35299999999998,273.672,93.818,134.628,204.657,113.65700000000001,202.50400000000002,293.736,205.34099999999998,106.036,191.18,123.311,193.31400000000002,313.72900000000004,189.635,158.411,189.512,274.29200000000003,198.308,279.295,193.636,253.972,176.08,278.625,168.67,106.975,170.19299999999998,82.006,164.766,283.93,218.449,94.06700000000001,216.395,148.02100000000002,215.708,,,,
183.25,733.0,,127.77,139.34799999999998,239.37,131.273,232.75799999999998,131.452,111.265,134.33100000000002,293.97,155.161,224.09,152.127,116.899,149.849,215.924,110.64299999999999,123.87299999999999,130.062,263.8,128.35299999999998,273.699,93.906,134.63299999999998,204.608,113.67399999999999,202.49900000000002,293.745,205.304,106.02600000000001,191.18900000000002,123.292,193.325,313.742,189.641,158.466,189.47400000000002,274.269,198.304,279.21,193.668,254.028,176.315,278.631,168.658,106.961,170.18400000000003,81.991,164.74200000000002,283.995,218.457,94.118,216.422,148.072,215.597,344.523,198.065,,
