TimesH,Frame,NoMissing,6,6,12,12,22,22,28,28,40,40,65,65,85,85,90,90,95,95,102,102,117,117,130,130,137,137,169,169,188,188,190,190,205,205,210,210,234,234,236,236,282,282,290,290,294,294,317,317,352,352,370,370,371,371,467,467,485,485,486,486,501,501,511,511,526,526,550,550,585,585,597,597,604,604,644,644,645,645,660,660,667,667,1574,1574
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
181.5,726.0,,242.57299999999998,156.713,293.83299999999997,155.085,115.304,158.933,141.239,160.014,129.713,147.002,229.275,171.28,115.75,174.332,132.388,165.136,309.062,165.90200000000002,108.069,164.011,280.783,167.97099999999998,115.76100000000001,190.757,168.607,188.273,147.097,191.90599999999998,67.296,181.987,339.644,186.253,51.38,184.701,247.012,184.75,255.294,206.392,139.032,206.335,263.03,198.923,242.923,197.53799999999998,285.189,198.332,110.994,201.054,288.457,60.423,371.764,223.915,173.25400000000002,69.169,113.35700000000001,88.964,116.009,100.038,272.228,101.59200000000001,255.475,99.184,118.926,79.926,289.67900000000003,73.53699999999999,157.077,87.774,246.092,117.84,177.574,121.865,125.477,122.04299999999999,151.756,138.093,257.77299999999997,136.942,106.12799999999999,144.765,268.149,140.828,,
181.75,727.0,,242.6,156.704,293.686,155.116,115.273,158.806,141.299,159.987,129.697,146.97799999999998,229.352,171.208,115.742,174.253,132.369,165.15200000000002,309.089,165.9,108.085,164.035,280.78700000000003,167.983,115.736,190.725,168.65599999999998,188.255,147.013,191.917,67.301,182.067,339.545,186.21,51.301,184.78900000000002,247.043,184.74900000000002,255.267,206.37900000000002,139.025,206.35,262.97,198.918,242.924,197.482,285.204,198.36599999999999,110.973,201.07,288.541,60.324,371.655,223.97,173.24599999999998,69.094,113.36200000000001,88.949,116.027,99.96700000000001,272.21299999999997,101.603,255.482,99.19200000000001,118.932,79.888,289.66900000000004,73.531,157.048,87.744,246.122,117.814,177.55700000000002,121.905,125.46700000000001,122.084,151.741,138.097,257.781,136.88,106.15,144.75799999999998,268.318,140.875,,
182.0,728.0,,242.47,156.639,293.91900000000004,154.921,115.272,158.862,141.29399999999998,159.989,129.68200000000002,147.043,229.382,171.217,115.757,174.138,132.366,165.153,309.087,165.954,108.072,164.053,280.803,168.0,115.723,190.72099999999998,168.662,188.24599999999998,147.045,191.85299999999998,67.27600000000001,182.021,339.54699999999997,186.22,51.328,184.81400000000002,247.048,184.67,255.245,206.355,139.024,206.342,262.906,198.87599999999998,242.895,197.46099999999998,285.295,198.39,110.978,201.084,288.621,60.27,371.63699999999994,223.90900000000002,173.22299999999998,69.098,113.415,88.898,116.045,99.959,272.194,101.57700000000001,255.46200000000002,99.18,118.95700000000001,79.939,289.704,73.524,157.05100000000002,87.743,246.132,117.898,177.574,121.965,125.476,122.113,151.70600000000002,138.123,257.757,136.89,106.13600000000001,144.765,268.189,140.828,,
182.25,729.0,,242.512,156.69299999999998,293.86400000000003,155.05200000000002,115.23700000000001,158.75799999999998,141.293,160.017,129.667,147.05,229.347,171.243,115.811,174.071,132.417,165.157,309.04900000000004,165.92700000000002,108.109,164.105,280.779,168.012,115.861,190.738,168.71400000000003,188.175,147.04399999999998,191.868,67.288,181.949,339.528,186.153,51.372,184.702,247.111,184.56400000000002,255.245,206.34799999999998,139.03,206.36700000000002,262.933,198.88099999999997,242.87099999999998,197.34799999999998,285.278,198.41,110.963,201.192,288.601,60.229,371.75699999999995,223.88299999999998,173.262,69.132,113.399,88.891,116.02,99.915,272.177,101.601,255.449,99.20100000000001,118.941,79.95100000000001,289.731,73.529,157.132,87.75299999999999,246.171,117.93,177.61599999999999,121.977,125.494,122.185,151.72899999999998,138.158,257.753,136.85299999999998,106.154,144.774,268.192,140.88,,
182.5,730.0,,242.48,156.641,293.671,155.097,115.272,158.808,141.286,160.025,129.65,147.028,229.236,171.204,115.789,173.951,132.529,165.093,309.062,165.90099999999998,108.135,164.08,280.848,168.083,115.855,190.709,168.679,188.142,147.041,191.859,67.292,181.958,339.42699999999996,186.082,51.435,184.69400000000002,247.123,184.523,255.24400000000003,206.34400000000002,139.029,206.389,262.847,198.833,242.859,197.418,285.235,198.44400000000002,110.96799999999999,201.041,288.603,60.21,371.654,223.882,173.28599999999997,69.097,113.43299999999999,88.88600000000001,115.96,99.902,272.175,101.59,255.46200000000002,99.19200000000001,118.92,79.918,289.753,73.545,157.296,87.83,246.168,117.93,177.50400000000002,121.789,125.493,122.205,151.681,138.16299999999998,257.686,136.865,106.146,144.775,267.934,140.839,,
182.75,731.0,,242.457,156.65,293.64099999999996,155.039,115.223,158.696,141.306,160.02100000000002,129.63,147.02700000000002,229.18400000000003,171.114,115.772,174.11700000000002,132.507,165.06799999999998,309.075,165.86,108.1,164.138,280.86,168.11900000000003,115.93700000000001,190.727,168.632,188.132,147.092,191.81599999999997,67.289,181.929,339.45,186.09900000000002,51.352,184.817,247.06400000000002,184.581,255.234,206.335,139.012,206.393,262.91700000000003,198.896,242.856,197.59,285.296,198.5,111.00299999999999,201.01,288.51,60.172,371.69599999999997,223.84400000000002,173.265,69.039,113.413,88.874,116.031,99.946,272.192,101.569,255.44799999999998,99.175,118.929,79.932,289.735,73.559,157.254,87.756,246.183,117.86,177.53,121.766,125.478,122.197,151.644,138.17600000000002,257.58299999999997,136.74200000000002,106.12799999999999,144.782,267.721,140.759,,
183.0,732.0,,242.417,156.626,293.715,155.067,115.14399999999999,158.488,141.305,159.981,129.667,147.004,229.208,171.12400000000002,115.78,174.033,132.454,165.137,309.074,165.885,108.115,164.166,280.938,168.17,115.954,190.732,168.62,188.104,147.085,191.791,67.318,181.84599999999998,339.406,186.084,51.495,184.825,247.062,184.65599999999998,255.231,206.327,139.041,206.362,262.897,198.894,242.842,197.537,285.267,198.49400000000003,111.027,201.074,288.53,60.229,371.73199999999997,223.89,173.265,69.075,113.49,88.839,116.09,99.936,272.165,101.572,255.486,99.185,118.943,79.964,289.7,73.561,157.214,87.696,246.18,117.845,177.537,121.836,125.43799999999999,122.186,151.662,138.173,257.642,136.846,106.113,144.792,267.767,140.766,,
183.25,733.0,,242.45,156.585,293.738,155.11700000000002,115.273,158.681,141.30100000000002,159.928,129.672,147.007,229.18400000000003,171.192,115.816,174.04,132.412,165.142,309.11,165.892,108.149,164.16400000000002,280.91,168.153,116.054,190.761,168.61,188.16400000000002,147.05200000000002,191.765,67.332,181.801,339.412,186.00599999999997,51.312,184.824,247.046,184.612,255.255,206.31900000000002,139.012,206.34099999999998,262.902,198.93099999999998,242.81,197.43200000000002,285.328,198.487,110.993,201.215,288.517,60.247,371.798,223.88,173.282,69.081,113.432,88.869,116.12700000000001,99.935,272.14099999999996,101.59899999999999,255.476,99.20700000000001,118.945,79.959,289.689,73.543,157.217,87.696,246.196,117.833,177.588,121.912,125.44200000000001,122.214,151.679,138.159,257.72,136.866,106.118,144.765,268.15,140.87,,
