TimesH,Frame,NoMissing,36,36,65,65,100,100,133,133,135,135,148,148,150,150,151,151,235,235,240,240,252,252,305,305,311,311,312,312,1117,1117,1290,1290,1367,1367,1415,1415,1692,1692,1725,1725,1846,1846,1947,1947,1969,1969,2045,2045,2086,2086,2123,2123,2331,2331,2337,2337,2408,2408,2409,2409,2431,2431,2447,2447,2453,2453,2499,2499,2522,2522,2566,2566,2580,2580,2640,2640,2647,2647,2660,2660,2667,2667,2711,2711,2810,2810,3114,3114,3148,3148,3363,3363,3482,3482,3493,3493,3692,3692,3695,3695,3704,3704,3760,3760,3843,3843,3890,3890,3958,3958,4019,4019,4063,4063,4107,4107,4154,4154,4182,4182,4216,4216,4227,4227,4232,4232,4240,4240,4254,4254,4261,4261,4303,4303
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
354.0,1416.0,,155.855,159.96200000000002,121.866,177.145,110.949,181.93099999999998,141.701,194.699,96.965,194.602,146.97899999999998,187.16099999999997,102.47399999999999,188.753,119.743,187.924,114.219,111.51299999999999,102.54700000000001,148.708,168.31400000000002,145.19799999999998,93.271,204.845,120.213,203.405,110.29799999999999,202.80599999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.25,1417.0,,155.85,159.938,121.883,177.12900000000002,110.926,181.915,141.716,194.775,96.956,194.57299999999998,146.961,187.155,102.48899999999999,188.739,119.792,187.935,114.28,111.448,102.579,148.702,168.30900000000003,145.19299999999998,93.262,204.854,120.21799999999999,203.398,110.314,202.78400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.5,1418.0,,155.838,159.917,121.89200000000001,177.08599999999998,110.90700000000001,181.895,141.715,194.702,96.97200000000001,194.53900000000002,146.939,187.157,102.506,188.75099999999998,119.825,187.923,114.223,111.333,102.602,148.67700000000002,168.30700000000002,145.17600000000002,93.221,204.834,120.215,203.372,110.344,202.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.75,1419.0,,155.842,159.89,121.88600000000001,177.043,110.884,181.891,141.688,194.66400000000002,96.98200000000001,194.516,146.914,187.169,102.49799999999999,188.72299999999998,119.835,187.919,114.14299999999999,111.35,102.62,148.656,168.317,145.192,93.18,204.80200000000002,120.21799999999999,203.38,110.338,202.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.0,1420.0,,155.842,159.857,121.882,176.99900000000002,110.87700000000001,181.889,141.694,194.747,96.943,194.47299999999998,146.909,187.176,102.49700000000001,188.722,119.846,187.90599999999998,114.156,111.428,102.646,148.657,168.32299999999998,145.22799999999998,93.219,204.80599999999998,120.229,203.38299999999998,110.36200000000001,202.80700000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.25,1421.0,,155.832,159.827,121.891,176.968,110.868,181.88299999999998,141.692,194.702,96.96,194.445,146.87,187.19099999999997,102.557,188.729,119.84299999999999,187.90400000000002,114.236,111.512,102.65799999999999,148.66,168.331,145.226,93.21799999999999,204.803,120.22,203.36900000000003,110.351,202.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.5,1422.0,,155.826,159.80100000000002,121.895,176.924,110.846,181.882,141.704,194.65599999999998,96.98,194.421,146.85,187.205,102.564,188.74,119.823,187.887,114.137,111.36399999999999,102.681,148.665,168.326,145.19899999999998,93.211,204.80700000000002,120.23299999999999,203.342,110.368,202.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.75,1423.0,,155.828,159.776,121.92299999999999,176.889,110.86200000000001,181.87099999999998,,,96.975,194.39,146.885,187.179,102.53200000000001,188.738,119.86399999999999,187.891,114.146,111.45100000000001,102.694,148.656,168.321,145.201,93.18,204.824,120.226,203.332,110.35700000000001,202.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
