TimesH,Frame,NoMissing,160,160,211,211,225,225,240,240,331,331,344,344,440,440,468,468,783,783,979,979,1024,1024,1060,1060,1119,1119,1303,1303,1459,1459,1694,1694,1783,1783,1942,1942,2344,2344,2446,2446,2451,2451,2846,2846,2854,2854,3041,3041,3066,3066,3293,3293,3604,3604,4069,4069,4118,4118,4174,4174,4181,4181,4214,4214,4262,4262,4459,4459,4673,4673,4696,4696,4890,4890,5315,5315,5374,5374,5502,5502,5509,5509
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
354.0,1416.0,,130.30200000000002,168.75900000000001,44.637,192.916,147.69799999999998,190.465,144.202,184.695,125.06200000000001,24.384,122.32600000000001,201.44299999999998,138.312,55.258,176.937,51.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.25,1417.0,,130.273,168.733,44.657,192.91400000000002,147.914,190.755,144.216,184.673,125.14399999999999,24.298000000000002,122.334,201.49,138.30200000000002,55.235,176.908,51.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.5,1418.0,,130.334,168.66299999999998,44.67,192.90400000000002,147.924,190.898,144.25,184.658,124.929,24.36,122.39200000000001,201.514,138.32399999999998,55.175,176.907,51.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354.75,1419.0,,130.346,168.613,44.646,192.896,,,144.25799999999998,184.602,125.15899999999999,24.14,122.318,201.55,138.334,55.138000000000005,176.988,50.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.0,1420.0,,130.31799999999998,168.709,44.628,192.877,147.799,190.99,144.26,184.601,125.23200000000001,24.079,122.33200000000001,201.53799999999998,138.411,55.102,176.952,51.013999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.25,1421.0,,130.341,168.59400000000002,44.623999999999995,192.861,147.836,191.085,144.213,184.576,125.057,24.27,122.301,201.507,138.385,55.071999999999996,176.878,51.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.5,1422.0,,130.29,168.662,44.62,192.891,147.93200000000002,191.418,144.222,184.572,125.073,24.449,122.21700000000001,201.44299999999998,138.361,55.085,176.887,51.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.75,1423.0,,130.3,168.59900000000002,44.645,192.887,147.756,190.734,144.208,184.555,124.95,24.56,122.156,201.49599999999998,138.362,55.06399999999999,176.91099999999997,51.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.0,1424.0,,130.312,168.547,44.638999999999996,192.87400000000002,,,144.208,184.541,125.016,24.666999999999998,122.135,201.649,138.365,55.056000000000004,176.9,51.056999999999995,156.453,17.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.25,1425.0,,130.45600000000002,168.36,44.646,192.882,,,144.188,184.535,125.081,24.416,122.22200000000001,201.623,138.38,55.053000000000004,176.854,51.095,156.684,17.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.5,1426.0,,130.518,168.13,44.638999999999996,192.868,,,144.262,184.482,124.959,24.552,122.18299999999999,201.521,138.39,55.088,176.96,51.041000000000004,156.631,17.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.75,1427.0,,130.612,168.012,44.62,192.78799999999998,147.86700000000002,192.08700000000002,144.30100000000002,184.418,124.98700000000001,24.421999999999997,122.155,201.50900000000001,138.41,55.086999999999996,176.925,50.983999999999995,156.614,17.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.0,1428.0,,130.608,167.954,44.607,192.745,147.757,192.15599999999998,144.326,184.358,125.024,24.465,122.088,201.768,138.44899999999998,55.062,177.0,50.909,156.61700000000002,17.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.25,1429.0,,130.632,167.85299999999998,44.57899999999999,192.678,147.684,191.997,144.333,184.29,124.84,24.805,122.039,201.851,138.415,55.048,177.15900000000002,50.91,156.545,17.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.5,1430.0,,130.733,167.62,44.589,192.69,147.656,191.769,144.35,184.25,124.792,25.094,121.95,201.804,138.437,55.041000000000004,176.982,50.937,156.526,17.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357.75,1431.0,,130.726,167.683,44.619,192.66,147.666,191.763,144.333,184.222,125.05,25.186999999999998,121.931,201.826,138.433,55.065,177.055,50.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.0,1432.0,,130.707,167.699,44.597,192.639,147.709,191.80900000000003,144.293,184.17700000000002,124.969,25.357,121.854,201.958,138.445,55.059,177.06400000000002,50.788000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.25,1433.0,,130.685,167.708,44.556999999999995,192.68400000000003,147.77700000000002,192.179,144.3,184.136,124.971,25.348000000000003,121.865,202.148,138.519,54.996,177.11900000000003,50.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.5,1434.0,,130.692,167.611,44.543,192.644,147.809,192.11,144.233,184.043,124.939,25.272,121.855,201.87,138.512,54.989,177.202,50.81,154.161,18.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.75,1435.0,,130.674,167.66099999999997,44.508,192.59900000000002,147.817,191.99900000000002,144.25799999999998,184.003,124.751,25.557,121.866,202.11900000000003,138.53799999999998,55.008,177.25599999999997,50.848,155.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.0,1436.0,,130.69,167.636,44.516000000000005,192.55200000000002,147.797,192.19,144.26,183.96599999999998,124.844,25.408,121.814,201.993,138.555,54.941,177.266,50.84,155.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.25,1437.0,,130.691,167.74,44.542,192.498,147.847,192.168,144.238,183.945,124.775,25.453000000000003,121.846,201.774,138.595,54.961000000000006,177.362,50.751000000000005,155.971,17.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.5,1438.0,,130.713,167.81599999999997,44.453,192.49099999999999,147.937,192.071,144.249,183.924,124.822,25.514,121.96,202.025,138.643,54.961000000000006,177.42700000000002,50.72,155.875,17.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.75,1439.0,,130.695,167.672,44.534,192.49,147.86,191.998,144.235,183.856,124.736,25.559,121.914,201.66299999999998,138.635,54.931000000000004,177.688,50.547,155.921,17.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.0,1440.0,,130.69299999999998,167.752,44.481,192.487,147.856,191.952,144.204,183.794,124.781,25.629,121.84100000000001,201.415,138.664,54.935,177.58,50.532,155.89700000000002,17.397000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
