 ,X,Y
1,189.000,183.000
2,189.164,181.002
3,189.349,178.999
4,189.552,176.995
5,189.768,174.991
6,189.992,172.991
7,190.221,170.997
8,190.449,169.011
9,190.673,167.036
10,190.887,165.074
11,191.088,163.128
12,191.273,161.199
13,191.440,159.285
14,191.588,157.385
15,191.715,155.498
16,191.821,153.622
17,191.903,151.756
18,191.961,149.898
19,191.994,148.048
20,191.999,146.204
21,191.977,144.361
22,191.929,142.511
23,191.856,140.646
24,191.759,138.757
25,191.640,136.837
26,191.501,134.876
27,191.341,132.866
28,191.164,130.799
29,190.969,128.666
30,190.758,126.465
31,190.532,124.208
32,190.291,121.907
33,190.037,119.577
34,189.770,117.231
35,189.491,114.883
36,189.200,112.548
37,188.898,110.237
38,188.587,107.967
39,188.266,105.749
40,187.937,103.597
41,187.599,101.520
42,187.248,99.508
43,186.881,97.550
44,186.493,95.637
45,186.081,93.757
46,185.641,91.900
47,185.169,90.055
48,184.660,88.212
49,184.111,86.360
50,183.519,84.489
51,182.885,82.603
52,182.214,80.705
53,181.510,78.803
54,180.777,76.903
55,180.021,75.010
56,179.243,73.130
57,178.450,71.271
58,177.646,69.437
59,176.834,67.635
60,176.017,65.867
61,175.193,64.126
62,174.360,62.406
63,173.515,60.697
64,172.657,58.993
65,171.782,57.285
66,170.889,55.567
67,169.974,53.830
68,169.036,52.067
69,168.072,50.273
70,167.082,48.453
71,166.064,46.618
72,165.017,44.777
73,163.942,42.938
74,162.836,41.113
75,161.699,39.309
76,160.530,37.536
77,159.328,35.804
78,158.092,34.122
79,156.822,32.498
80,155.518,30.940
81,154.179,29.450
82,152.805,28.035
83,151.396,26.699
84,149.953,25.447
85,148.475,24.283
86,146.963,23.212
87,145.415,22.240
88,143.833,21.370
89,142.219,20.604
90,140.576,19.938
91,138.907,19.372
92,137.217,18.904
93,135.508,18.532
94,133.784,18.254
95,132.049,18.068
96,130.306,17.973
97,128.557,17.965
98,126.802,18.041
99,125.042,18.194
100,123.278,18.419
101,121.509,18.712
102,119.737,19.069
103,117.961,19.483
104,116.182,19.949
105,114.401,20.464
106,112.619,21.023
107,110.837,21.624
108,109.057,22.261
109,107.280,22.933
110,105.508,23.636
111,103.742,24.365
112,101.984,25.119
113,100.235,25.894
114,98.497,26.687
115,96.769,27.502
116,95.049,28.347
117,93.336,29.227
118,91.630,30.150
119,89.929,31.121
120,88.231,32.148
121,86.536,33.238
122,84.842,34.396
123,83.148,35.630
124,81.457,36.938
125,79.772,38.315
126,78.097,39.752
127,76.439,41.243
128,74.801,42.780
129,73.188,44.356
130,71.604,45.964
131,70.055,47.597
132,68.545,49.248
133,67.079,50.909
134,65.660,52.574
135,64.284,54.242
136,62.946,55.913
137,61.641,57.588
138,60.363,59.266
139,59.108,60.949
140,57.869,62.635
141,56.642,64.326
142,55.420,66.021
143,54.200,67.722
144,52.975,69.427
145,51.749,71.140
146,50.524,72.863
147,49.306,74.597
148,48.098,76.346
149,46.904,78.111
150,45.728,79.895
151,44.574,81.701
152,43.447,83.531
153,42.351,85.388
154,41.289,87.272
155,40.263,89.184
156,39.273,91.117
157,38.320,93.068
158,37.404,95.033
159,36.526,97.007
160,35.685,98.985
161,34.882,100.964
162,34.117,102.939
163,33.390,104.905
164,32.702,106.859
165,32.052,108.800
166,31.439,110.733
167,30.863,112.665
