TimesH,Frame,NoMissing,12,12,49,49,54,54,56,56,66,66,75,75,76,76,80,80,88,88,93,93,97,97,100,100,101,101,104,104,105,105,109,109,110,110,111,111,115,115,116,116,121,121,129,129,131,131,136,136,141,141,142,142,144,144,147,147,148,148,149,149,150,150,156,156,161,161,162,162,165,165,166,166,171,171,172,172,173,173,176,176,177,177,178,178,179,179,180,180,181,181,182,182,187,187,188,188,191,191,193,193,195,195,197,197,204,204,207,207,208,208,210,210,212,212,218,218,221,221,225,225,236,236,239,239,240,240,241,241,242,242,244,244,247,247,250,250,253,253,254,254,257,257,258,258,259,259,265,265,266,266,267,267,268,268,272,272,273,273,276,276,278,278,279,279,280,280,287,287,288,288,289,289,290,290,291,291,292,292,293,293,294,294,296,296,300,300,302,302,305,305,306,306,308,308,309,309,310,310,311,311,312,312,313,313,315,315,317,317,318,318,323,323,325,325,331,331,332,332,333,333,339,339,343,343,344,344,347,347,350,350,351,351,353,353,357,357,358,358,360,360,366,366,367,367,376,376,381,381,382,382,383,383,384,384,387,387,404,404,486,486,533,533,644,644,764,764,901,901,1000,1000,1009,1009
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,238.676,11.682,212.795,55.318000000000005,101.14299999999999,63.347,230.537,63.528,187.403,41.485,224.50099999999998,53.071000000000005,108.602,76.832,246.28799999999998,78.37899999999999,239.857,82.948,189.61,71.57300000000001,113.755,75.237,91.615,75.627,209.418,76.265,80.315,92.139,116.906,92.37700000000001,108.501,92.848,63.778,94.314,94.679,94.178,224.245,97.525,198.088,99.04299999999999,262.58799999999997,83.948,204.322,87.652,,,90.896,107.161,235.19400000000002,108.448,82.64,108.68299999999999,213.31,111.59700000000001,287.08299999999997,111.039,132.259,112.509,195.822,112.36399999999999,220.519,112.26100000000001,47.347,103.836,119.27600000000001,104.572,136.196,105.63799999999999,,,41.214,107.059,60.761,125.296,114.141,124.999,131.868,124.647,192.28400000000002,125.678,205.077,124.85,99.079,125.666,144.094,125.895,72.444,127.62799999999999,105.37899999999999,127.23,234.79,127.13,69.195,116.73,191.053,116.79,244.615,118.34100000000001,129.075,119.083,296.939,118.759,201.428,119.78399999999999,246.18200000000002,137.345,257.574,137.86700000000002,117.948,138.61,208.99400000000003,138.595,220.343,140.694,92.041,129.214,132.155,130.108,209.646,132.34,299.373,149.59799999999998,84.65,152.461,93.381,152.289,215.44299999999998,151.671,243.71,151.70600000000002,135.322,153.401,82.99799999999999,141.22799999999998,43.121,143.898,220.75799999999998,144.66,242.61,145.058,133.009,145.717,230.563,146.245,6.1160000000000005,146.69,132.267,160.762,223.266,160.312,78.819,161.158,104.391,161.388,235.53099999999998,161.996,141.516,162.92700000000002,251.658,162.71,100.446,164.47799999999998,26.853,154.472,75.164,155.532,116.93299999999999,157.113,193.736,157.109,269.32599999999996,156.799,202.0,158.019,208.62099999999998,158.869,258.73400000000004,158.67600000000002,21.076,160.336,50.765,160.07,269.623,170.361,100.307,171.34799999999998,255.753,171.142,127.324,173.264,92.802,174.076,260.561,175.328,25.116,175.512,106.67299999999999,176.704,192.947,164.233,61.898999999999994,164.72,84.663,164.84400000000002,200.81099999999998,165.136,136.145,165.922,,,219.054,168.55200000000002,66.845,170.06900000000002,129.964,183.28599999999997,274.81,182.804,197.485,183.683,52.508,185.87400000000002,203.58,176.238,79.25,177.162,136.49200000000002,176.801,223.30700000000002,177.15900000000002,240.399,176.775,64.943,178.003,112.75,180.333,251.517,180.459,134.88,198.24,118.507,200.489,261.741,199.68599999999998,221.19,189.12,207.855,191.299,231.372,190.864,77.061,192.40099999999998,92.351,194.62599999999998,270.425,195.976,56.733000000000004,207.896,,,,,,,,,,,,,,
0.25,1.0,,238.622,11.714,212.86900000000003,55.387,101.124,63.336999999999996,230.548,63.518,187.40200000000002,41.494,224.532,53.074,108.58,76.819,246.25599999999997,78.422,239.80599999999998,82.986,189.548,71.66199999999999,113.725,75.22,91.604,75.632,209.34099999999998,76.243,80.25399999999999,92.186,116.89299999999999,92.345,108.478,92.811,63.784,94.277,94.62100000000001,94.19,224.299,97.54299999999999,198.10299999999998,99.006,262.58299999999997,83.914,204.378,87.545,,,90.87700000000001,107.16,235.213,108.45200000000001,82.62899999999999,108.682,213.32,111.50399999999999,287.166,111.012,132.207,112.444,195.877,112.26100000000001,220.59400000000002,112.20700000000001,47.395,103.788,119.29,104.602,136.27100000000002,105.575,,,41.18600000000001,107.051,60.74,125.229,114.12700000000001,125.03200000000001,131.847,124.587,192.334,125.711,205.092,124.868,99.044,125.611,144.08,125.90799999999999,72.421,127.561,105.40899999999999,127.242,234.81,127.12700000000001,69.195,116.72,191.06099999999998,116.76799999999999,244.641,118.291,129.086,119.06299999999999,296.975,118.74799999999999,201.47299999999998,119.779,246.19299999999998,137.325,257.594,137.85299999999998,117.93299999999999,138.572,208.968,138.567,220.365,140.708,92.03,129.219,132.15200000000002,130.082,209.62900000000002,132.305,299.437,149.596,84.706,152.378,93.44200000000001,152.309,215.447,151.613,243.717,151.7,135.263,153.428,82.978,141.27100000000002,43.103,143.887,220.773,144.702,242.649,145.084,133.03799999999998,145.722,230.826,146.281,6.132000000000001,146.711,132.192,160.75,223.278,160.345,78.84100000000001,161.158,104.398,161.391,235.53799999999998,161.977,141.589,162.95600000000002,251.679,162.71,100.436,164.46099999999998,26.843000000000004,154.493,75.164,155.509,117.014,157.066,193.78900000000002,157.091,269.278,156.899,201.998,157.998,208.66,158.895,258.772,158.637,21.087,160.343,50.778,160.046,269.644,170.332,100.303,171.334,255.71599999999998,171.139,127.351,173.274,92.788,174.00099999999998,260.60200000000003,175.31900000000002,25.104,175.55599999999998,106.715,176.674,192.929,164.205,61.895,164.688,84.648,164.81799999999998,200.83599999999998,165.11900000000003,136.205,165.88,,,219.058,168.551,66.845,170.058,129.974,183.245,274.846,182.77,197.49900000000002,183.703,52.93899999999999,186.234,203.551,176.268,79.247,177.10299999999998,136.495,176.715,223.31599999999997,177.127,240.42,176.766,64.958,177.99599999999998,112.734,180.326,251.502,180.40900000000002,134.918,198.312,118.40799999999999,200.39,261.775,199.544,221.21099999999998,189.083,207.865,191.37900000000002,231.52700000000002,190.952,77.07,192.363,92.37799999999999,194.615,270.522,196.08,56.729,207.9,,,,,,,,,,,,,,
0.5,2.0,,238.655,11.712,212.916,55.34,101.12200000000001,63.352,230.636,63.483999999999995,187.447,41.513999999999996,224.553,53.056000000000004,108.581,76.821,246.28900000000002,78.344,239.842,82.99799999999999,189.5,71.697,113.75200000000001,75.205,91.598,75.633,209.342,76.28699999999999,80.244,92.167,116.91,92.35700000000001,108.492,92.766,63.797,94.288,94.59299999999999,94.16799999999999,224.31,97.542,198.093,99.03399999999999,262.58,83.916,204.497,87.35700000000001,,,90.889,107.094,235.188,108.414,82.60799999999999,108.641,213.72299999999998,110.811,287.205,110.994,132.23,112.421,195.83700000000002,112.303,220.678,112.126,47.358999999999995,103.84299999999999,119.29899999999999,104.545,136.32399999999998,105.671,,,41.169,107.045,60.755,125.209,114.09700000000001,125.04899999999999,131.864,124.564,192.354,125.66799999999999,205.097,124.87799999999999,99.025,125.59299999999999,144.066,125.913,72.433,127.515,105.37200000000001,127.2,234.84,127.11,69.185,116.74600000000001,191.054,116.76100000000001,244.59099999999998,118.292,129.089,119.04299999999999,296.993,118.728,201.47,119.751,246.24900000000002,137.305,257.657,137.873,117.93799999999999,138.533,208.976,138.55700000000002,220.283,140.61700000000002,92.035,129.224,132.144,130.13,209.609,132.293,299.464,149.606,84.73299999999999,152.31,93.405,152.309,215.503,151.667,243.775,151.657,135.25799999999998,153.389,82.97200000000001,141.311,43.043,143.865,220.81099999999998,144.756,242.6,145.096,133.045,145.69799999999998,230.731,146.29399999999998,6.105,146.707,132.12,160.657,223.24,160.308,78.844,161.144,104.42399999999999,161.382,235.537,161.952,141.613,162.91299999999998,251.697,162.708,100.40899999999999,164.43,26.815,154.491,75.125,155.482,116.958,157.064,193.77900000000002,157.062,269.313,156.888,202.024,158.01,208.668,158.858,258.798,158.608,21.079,160.329,50.786,159.99,269.69599999999997,170.34799999999998,100.311,171.327,255.707,171.13,127.279,173.227,92.802,173.895,260.63599999999997,175.30700000000002,25.131,175.50900000000001,106.744,176.62,192.97,164.153,61.913000000000004,164.679,84.64299999999999,164.768,200.834,165.104,136.097,165.74400000000003,,,219.08900000000003,168.512,66.837,170.055,129.981,183.252,274.828,182.792,197.513,183.69,53.013999999999996,186.22099999999998,203.558,176.24900000000002,79.257,177.07,136.543,176.655,223.30900000000003,177.105,240.44,176.765,64.947,177.988,112.715,180.329,251.55,180.389,134.915,198.293,118.46799999999999,200.368,261.84,199.59,221.236,189.08,207.88299999999998,191.40400000000002,231.55599999999998,190.924,77.105,192.342,92.396,194.554,270.486,196.065,56.769,207.84400000000002,,,,,,,,,,,,,,
0.75,3.0,,238.46400000000003,11.71,212.93099999999998,55.33,101.101,63.349,230.704,63.471000000000004,187.458,41.588,224.55599999999998,53.043,108.59899999999999,76.77,246.28599999999997,78.28699999999999,239.778,83.02600000000001,189.482,71.751,113.759,75.206,91.587,75.625,209.416,76.282,80.30199999999999,92.161,116.9,92.37100000000001,108.505,92.772,63.803999999999995,94.272,94.575,94.139,224.31099999999998,97.49,198.141,99.052,262.613,83.90899999999999,204.56900000000002,87.383,,,90.87899999999999,107.075,235.215,108.44200000000001,82.60799999999999,108.60700000000001,213.77,110.729,287.237,110.994,132.203,112.38799999999999,195.855,112.259,220.628,112.101,47.342,103.896,119.3,104.6,136.451,105.493,,,41.173,107.025,60.824,125.15,114.096,125.079,131.859,124.51899999999999,192.403,125.61,205.115,124.865,98.824,125.405,144.148,126.00299999999999,72.435,127.48899999999999,105.348,127.225,234.83,127.087,69.20100000000001,116.727,191.049,116.76100000000001,244.678,118.23,129.11700000000002,119.012,296.995,118.715,201.49200000000002,119.72399999999999,246.308,137.298,257.73,137.88,117.889,138.519,209.00400000000002,138.563,220.248,140.579,92.04,129.218,132.128,130.105,209.605,132.363,299.494,149.653,84.73,152.287,93.406,152.299,215.512,151.662,243.81400000000002,151.645,135.252,153.4,82.90799999999999,141.303,43.001999999999995,143.876,220.81099999999998,144.77200000000002,242.59099999999998,145.118,133.042,145.686,230.72099999999998,146.279,6.055,146.716,132.101,160.494,223.218,160.335,78.847,161.121,104.40299999999999,161.31799999999998,235.52700000000002,161.94899999999998,141.623,162.892,251.7,162.686,100.37299999999999,164.40599999999998,26.826,154.516,75.096,155.458,116.97200000000001,157.034,193.82299999999998,157.045,269.302,156.908,202.041,158.012,208.68,158.862,258.83,158.611,21.083000000000002,160.34,50.815,159.922,269.748,170.342,100.381,171.342,255.68900000000002,171.141,127.27600000000001,173.243,92.851,173.855,260.676,175.304,25.116,175.516,106.756,176.606,192.967,164.142,61.894,164.65400000000002,84.645,164.735,200.843,165.06400000000002,136.213,165.77,229.71400000000003,166.468,219.09,168.482,66.82,170.06,129.972,183.18599999999998,274.85900000000004,182.75,197.54,183.627,53.056000000000004,186.201,203.546,176.22299999999998,79.25,177.03799999999998,136.564,176.61700000000002,223.32,177.08599999999998,240.46,176.763,64.939,177.977,112.734,180.31,251.554,180.365,134.843,198.28799999999998,118.436,200.372,261.712,199.58599999999998,221.243,189.072,207.924,191.38299999999998,231.53599999999997,190.856,77.12,192.33,92.33,194.488,270.514,196.10299999999998,56.756,207.918,,,,,,,,,,,,,,
1.0,4.0,,238.546,11.684000000000001,212.87599999999998,55.318000000000005,101.103,63.346000000000004,230.68200000000002,63.455,187.398,41.518,224.574,53.045,108.594,76.736,246.347,78.233,239.88099999999997,83.086,189.515,71.764,113.76,75.183,91.6,75.596,209.373,76.373,80.245,92.221,116.881,92.35700000000001,108.447,92.78200000000001,63.81399999999999,94.241,94.6,94.09700000000001,224.327,97.48200000000001,198.144,99.021,262.652,83.926,204.62900000000002,87.365,224.571,89.491,90.86399999999999,107.083,235.25400000000002,108.43700000000001,82.58200000000001,108.559,213.968,110.471,287.282,110.985,132.164,112.363,195.905,112.205,220.74200000000002,112.098,47.315,103.87200000000001,119.336,104.53299999999999,136.43200000000002,105.49700000000001,203.605,106.333,41.173,107.02600000000001,60.748999999999995,125.109,114.08200000000001,125.07700000000001,131.868,124.57600000000001,192.612,125.384,205.192,124.85799999999999,98.829,125.39399999999999,144.099,125.954,72.393,127.52,105.329,127.18,234.825,127.083,69.178,116.712,191.06799999999998,116.721,244.706,118.23700000000001,129.137,119.01299999999999,297.02,118.729,201.486,119.7,246.315,137.268,257.769,137.889,117.758,138.459,209.023,138.55,220.22400000000002,140.514,92.04299999999999,129.216,132.15200000000002,130.002,209.642,132.35299999999998,299.495,149.67600000000002,84.762,152.241,93.455,152.312,215.537,151.66,243.84400000000002,151.625,135.27100000000002,153.41899999999998,82.90700000000001,141.325,43.00899999999999,143.884,220.83900000000003,144.795,242.63099999999997,145.099,133.078,145.638,230.53400000000002,146.254,6.062,146.714,132.05,160.504,223.175,160.317,78.829,161.115,104.348,161.216,235.546,161.95600000000002,141.589,162.876,251.671,162.711,100.375,164.395,26.804000000000002,154.547,75.074,155.407,116.971,156.981,193.824,157.012,269.357,156.881,202.06900000000002,157.97899999999998,208.69799999999998,158.89,258.86,158.6,21.089000000000002,160.33,50.83,159.909,269.758,170.33900000000003,100.39399999999999,171.352,255.65900000000002,171.155,127.303,173.267,92.891,173.77700000000002,260.686,175.296,25.180999999999997,175.49900000000002,106.772,176.59099999999998,192.97799999999998,164.097,61.883,164.657,84.64200000000001,164.696,200.87599999999998,165.02900000000002,136.211,165.75799999999998,229.69,166.4,219.11599999999999,168.47099999999998,66.796,170.055,129.961,183.15200000000002,274.94599999999997,182.722,197.53900000000002,183.60299999999998,53.06,186.267,203.543,176.21,79.238,177.02700000000002,136.561,176.584,223.31599999999997,177.03900000000002,240.47099999999998,176.763,64.96,178.00400000000002,112.743,180.297,251.571,180.359,134.739,198.3,118.44,200.386,261.702,199.581,221.245,189.065,207.886,191.28900000000002,231.597,190.852,77.135,192.31900000000002,92.287,194.438,270.441,196.06,56.636,207.894,,,,,,,,,,,,,,
1.25,5.0,,238.576,11.724,212.863,55.335,101.084,63.345,230.74,63.477,187.425,41.519,224.579,53.082,108.59700000000001,76.762,246.433,78.202,239.894,83.057,189.517,71.758,113.789,75.195,91.58200000000001,75.595,209.33,76.325,80.184,92.249,116.87200000000001,92.321,108.49600000000001,92.811,63.805,94.243,94.588,94.05799999999999,224.37,97.456,198.162,99.041,262.66700000000003,83.906,204.63099999999997,87.369,224.725,89.536,90.881,107.06700000000001,235.28900000000002,108.369,82.588,108.565,214.032,110.37700000000001,287.33299999999997,110.985,132.159,112.36399999999999,195.93099999999998,112.16,220.77900000000002,112.04899999999999,47.31,103.897,119.319,104.539,136.364,105.264,203.65900000000002,106.277,41.177,107.016,60.787,125.05,114.06200000000001,125.073,131.9,124.6,192.582,125.38799999999999,205.206,124.883,98.78299999999999,125.31700000000001,144.144,125.984,72.384,127.515,105.32700000000001,127.171,234.834,127.068,69.182,116.684,191.06599999999997,116.708,244.77700000000002,118.211,129.139,118.98100000000001,297.001,118.73100000000001,201.49599999999998,119.682,246.343,137.227,257.744,137.863,117.74,138.444,208.984,138.485,220.313,140.481,92.045,129.205,132.158,129.951,209.641,132.355,299.552,149.674,84.79299999999999,152.22,93.436,152.286,215.543,151.639,243.81099999999998,151.627,135.27100000000002,153.44899999999998,82.898,141.297,43.031000000000006,143.846,220.85,144.835,242.638,145.125,133.10399999999998,145.602,230.67700000000002,146.24200000000002,6.058,146.744,132.05100000000002,160.47299999999998,223.175,160.3,78.835,161.105,104.33,161.25,235.56599999999997,161.929,141.553,162.78,251.71099999999998,162.66299999999998,100.359,164.372,26.781999999999996,154.526,75.07,155.39700000000002,117.014,156.974,193.842,157.00799999999998,269.367,156.912,202.072,157.987,208.735,158.918,258.895,158.559,21.088,160.319,50.835,159.839,269.775,170.31799999999998,100.43700000000001,171.361,255.65900000000002,171.16299999999998,127.32,173.226,92.905,173.74900000000002,260.709,175.28599999999997,25.165,175.53799999999998,106.74700000000001,176.581,192.99,164.09400000000002,61.891999999999996,164.683,84.62100000000001,164.668,200.887,165.054,136.239,165.72299999999998,229.665,166.33,219.137,168.438,66.786,170.062,129.957,183.10299999999998,274.931,182.707,197.56099999999998,183.62,53.01,186.22299999999998,203.575,176.19799999999998,79.23100000000001,177.028,136.549,176.582,223.321,177.053,240.48,176.765,64.931,177.985,112.749,180.283,251.58599999999998,180.338,134.836,198.31599999999997,118.42,200.34400000000002,261.663,199.55599999999998,221.255,189.06099999999998,207.899,191.2,231.68099999999998,190.886,77.15899999999999,192.28599999999997,92.27,194.396,270.49,196.095,56.652,207.949,184.313,140.424,,,,,,,,,,,,
1.5,6.0,,238.657,11.686,212.843,55.288000000000004,101.03299999999999,63.332,230.82,63.461999999999996,187.442,41.473,224.585,53.07899999999999,108.57600000000001,76.74600000000001,246.489,78.133,239.912,83.01799999999999,189.507,71.781,113.819,75.19800000000001,91.581,75.598,209.37400000000002,76.342,80.167,92.165,116.861,92.305,108.491,92.792,63.791000000000004,94.259,94.565,94.04799999999999,224.393,97.469,198.115,99.022,262.633,83.88799999999999,204.738,87.296,224.646,89.458,90.88799999999999,107.08,235.30599999999998,108.367,82.585,108.51,214.095,110.374,287.377,110.98,132.132,112.359,195.94400000000002,112.12100000000001,220.88,112.031,47.297,103.915,119.365,104.541,136.347,105.197,203.817,106.21799999999999,41.168,107.01700000000001,60.748000000000005,125.09700000000001,114.074,125.06200000000001,131.915,124.67200000000001,192.543,125.415,205.243,124.86200000000001,98.755,125.29799999999999,144.156,125.965,72.374,127.486,105.305,127.15299999999999,234.83700000000002,127.07600000000001,69.184,116.67200000000001,191.079,116.691,244.769,118.163,129.149,118.963,297.018,118.755,201.488,119.66799999999999,246.398,137.251,257.70799999999997,137.83700000000002,117.70100000000001,138.41299999999998,209.005,138.436,220.36599999999999,140.469,92.044,129.194,132.14,129.982,209.71200000000002,132.332,299.551,149.68200000000002,84.75299999999999,152.241,94.616,153.077,215.562,151.622,243.808,151.63299999999998,135.284,153.399,82.90899999999999,141.285,43.007,143.82399999999998,220.861,144.88299999999998,242.709,145.18,133.096,145.609,230.773,146.266,6.108,146.77,131.99200000000002,160.406,223.201,160.34,78.82300000000001,161.121,104.34,161.252,235.595,161.91299999999998,141.58,162.72899999999998,251.73,162.671,100.35,164.34099999999998,26.741999999999997,154.541,75.054,155.355,117.01,156.971,193.87,156.986,269.323,156.91899999999998,202.058,157.952,208.72,158.876,258.918,158.507,21.109,160.317,50.876000000000005,159.744,269.796,170.313,100.566,171.421,255.632,171.19400000000002,127.344,173.21099999999998,92.921,173.697,260.735,175.297,25.201,175.511,106.81200000000001,176.545,193.011,164.055,61.86600000000001,164.65400000000002,84.626,164.673,200.915,165.02599999999998,136.252,165.69299999999998,229.657,166.201,219.136,168.386,66.773,170.055,129.94799999999998,183.06099999999998,274.993,182.683,197.585,183.639,53.042,186.22,203.597,176.179,79.24600000000001,177.00799999999998,136.523,176.50900000000001,223.317,177.007,240.49200000000002,176.752,64.907,177.97099999999998,112.789,180.255,251.60299999999998,180.326,134.816,198.24099999999999,118.43299999999999,200.343,261.607,199.58599999999998,221.274,189.03900000000002,207.835,191.148,231.71599999999998,190.838,77.17699999999999,192.25799999999998,92.23700000000001,194.334,270.531,196.137,56.64,207.845,184.0,140.0,,,,,,,,,,,,
1.75,7.0,,238.59400000000002,11.755,212.81,55.303999999999995,101.001,63.325,230.84900000000002,63.458,187.38099999999997,41.451,224.609,53.09,108.574,76.738,246.50400000000002,78.161,239.868,83.037,189.52599999999998,71.78399999999999,113.802,75.19,91.569,75.601,209.34900000000002,76.322,80.192,92.182,116.868,92.264,108.488,92.801,63.776,94.242,94.525,94.038,224.421,97.484,198.14,99.005,262.665,83.895,204.769,87.25299999999999,224.56099999999998,89.471,90.899,107.066,235.42,108.289,82.514,108.476,214.108,110.45200000000001,287.405,110.985,132.151,112.36200000000001,195.98,112.06700000000001,220.993,112.029,47.331,103.906,119.355,104.529,136.332,105.24,203.94299999999998,106.12899999999999,41.161,107.01,60.71,125.10700000000001,114.06700000000001,125.083,131.924,124.67200000000001,192.695,125.3,205.236,124.88,98.78,125.3,144.107,125.936,72.373,127.447,105.21,127.10600000000001,234.863,127.06299999999999,69.16,116.678,191.093,116.666,244.74599999999998,118.137,129.168,118.947,297.02299999999997,118.749,201.497,119.67200000000001,246.43400000000003,137.24200000000002,257.764,137.852,117.68,138.376,209.019,138.451,220.373,140.467,92.02600000000001,129.186,132.122,130.004,209.74,132.313,299.564,149.711,84.771,152.192,94.70200000000001,153.077,215.577,151.592,243.80900000000003,151.611,135.246,153.452,82.919,141.334,42.988,143.753,220.889,144.90200000000002,242.68,145.121,133.101,145.577,230.916,146.251,6.16,146.787,132.003,160.40200000000002,223.207,160.317,78.843,161.107,104.396,161.27700000000002,235.58599999999998,161.9,141.59799999999998,162.60399999999998,251.74200000000002,162.659,100.31200000000001,164.32,26.689,154.534,75.02,155.347,117.01899999999999,156.92700000000002,193.87099999999998,156.957,269.308,156.92,202.05700000000002,157.895,208.731,158.87,258.972,158.445,21.129,160.326,50.857,159.716,269.78700000000003,170.297,100.435,171.403,255.625,171.2,127.323,173.18599999999998,92.946,173.602,260.76599999999996,175.293,25.288,175.502,106.98899999999999,176.44,193.00099999999998,164.02599999999998,61.853,164.66,84.648,164.62599999999998,200.93,165.028,136.287,165.704,229.685,166.082,219.136,168.378,66.77199999999999,170.054,129.95600000000002,183.03900000000002,275.063,182.7,197.58,183.637,53.15,186.3,203.65,176.128,79.222,177.002,136.533,176.483,223.326,177.015,240.502,176.763,64.93,178.003,112.79,180.239,251.63299999999998,180.292,134.825,198.21200000000002,118.443,200.38299999999998,261.779,199.582,221.287,189.03400000000002,207.91299999999998,191.16299999999998,231.75400000000002,190.86900000000003,77.188,192.25900000000001,92.226,194.25900000000001,270.462,196.136,56.68,207.989,184.351,140.371,,,,,,,,,,,,
