TimesH,Frame,NoMissing,72,72,74,74,95,95,98,98,107,107,112,112,114,114,120,120,122,122,123,123,143,143,154,154,158,158,162,162,163,163,169,169,170,170,172,172,175,175,176,176,187,187,195,195,199,199,201,201,205,205,211,211,221,221,230,230,231,231,232,232,236,236,244,244,245,245,246,246,255,255,259,259,262,262,266,266,269,269,271,271,292,292,295,295,318,318,319,319,324,324,328,328,330,330,334,334,338,338,369,369,370,370,396,396,403,403,405,405,406,406,408,408,411,411,419,419,424,424,426,426,449,449,452,452,457,457,558,558,655,655,724,724,732,732,750,750,752,752,770,770,872,872,904,904,990,990,991,991,1023,1023,1111,1111
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0,0.0,,242.71599999999998,45.849,180.58900000000003,48.382,86.76899999999999,58.096000000000004,208.11599999999999,58.798,,,102.23700000000001,63.797,219.417,64.202,226.21599999999998,67.707,209.31799999999998,68.616,249.81900000000002,68.07,244.227,77.828,98.98,81.187,,,89.568,83.708,189.592,84.505,127.323,86.56299999999999,217.83900000000003,87.65799999999999,75.14,89.145,210.35299999999998,88.948,245.833,89.59899999999999,120.928,93.30799999999999,189.925,95.73899999999999,83.05799999999999,98.88600000000001,132.35299999999998,97.431,229.489,100.47,249.685,103.60700000000001,219.782,107.001,119.273,108.148,81.186,110.23700000000001,136.599,110.12700000000001,98.404,112.689,85.665,116.719,116.25200000000001,116.47399999999999,220.36599999999999,117.273,208.382,117.98299999999999,130.08,119.419,232.46400000000003,121.414,118.55799999999999,122.493,217.862,123.01100000000001,62.153,123.98299999999999,135.08700000000002,132.993,94.41799999999999,134.96200000000002,233.613,141.359,261.803,140.905,98.194,143.04,191.363,144.174,208.50799999999998,145.125,225.25900000000001,144.874,72.53699999999999,146.923,206.755,156.879,225.322,157.906,102.865,166.019,24.684,168.226,119.368,168.685,134.843,168.702,190.204,170.826,245.185,171.325,260.546,173.33599999999998,79.773,176.202,241.09,176.62400000000002,205.73,185.357,90.26700000000001,185.097,220.90900000000002,188.75400000000002,188.87099999999998,114.486,,,,,,,,,,,,,,,,,,,,,,,,
0.25,1.0,,242.638,45.705,180.49,48.36,86.633,57.998000000000005,208.03400000000002,58.858999999999995,,,102.411,64.083,218.995,64.335,226.15099999999998,67.59899999999999,209.525,68.464,249.842,68.059,245.078,77.389,98.84,81.086,,,89.47,83.758,189.56,84.416,127.361,86.538,217.799,87.64399999999999,75.282,89.215,210.512,88.902,245.967,89.411,120.97,93.21799999999999,189.99599999999998,95.70299999999999,83.09100000000001,98.70299999999999,132.029,97.76,229.541,100.415,249.731,103.42399999999999,220.00099999999998,106.26899999999999,119.54899999999999,108.57,81.226,110.07600000000001,136.528,110.275,98.45200000000001,112.553,85.834,116.78200000000001,115.946,116.175,220.648,116.867,207.93599999999998,118.37799999999999,130.125,119.537,232.43599999999998,121.37799999999999,118.785,122.681,217.93200000000002,123.139,62.148999999999994,124.03,135.092,133.004,94.476,134.77200000000002,233.576,141.234,261.768,140.937,98.059,142.985,191.40900000000002,143.953,208.44799999999998,144.923,225.275,144.826,72.583,146.92700000000002,206.896,156.709,225.5,157.71200000000002,103.286,165.213,24.739,168.248,119.355,168.581,134.928,169.023,190.266,170.84599999999998,245.268,171.331,260.547,173.44,79.867,176.148,241.148,176.495,205.854,185.18599999999998,90.25299999999999,185.375,220.52700000000002,188.63400000000001,188.71900000000002,114.559,,,,,,,,,,,,,,,,,,,,,,,,
0.5,2.0,,242.59,45.636,180.463,48.372,86.469,58.018,207.99599999999998,58.836999999999996,229.035,62.385,102.412,64.078,218.97299999999998,64.447,226.178,67.52600000000001,209.49,68.39,249.915,68.068,245.542,77.209,98.73200000000001,81.074,,,89.405,83.70200000000001,189.52599999999998,84.456,127.37700000000001,86.38799999999999,217.794,87.611,75.10600000000001,88.96799999999999,210.50900000000001,88.81,246.049,89.34100000000001,120.85799999999999,93.169,189.813,95.749,83.111,98.527,131.881,97.95100000000001,229.692,100.322,249.803,103.384,220.17,106.116,119.256,108.24600000000001,81.085,109.818,136.451,110.27799999999999,98.441,112.565,85.729,116.265,115.874,116.024,220.701,116.741,207.93200000000002,118.339,130.023,119.462,232.92700000000002,121.12899999999999,118.836,122.777,217.96400000000003,123.147,62.147,124.037,135.056,132.998,94.494,134.639,233.638,141.069,261.70799999999997,140.81,98.088,142.868,191.53599999999997,143.951,208.0,144.0,225.3,144.81,72.63600000000001,146.9,207.042,156.55700000000002,225.523,157.686,103.272,165.06599999999997,24.784000000000002,168.27900000000002,119.37200000000001,168.518,134.929,169.19299999999998,190.44,170.703,245.352,171.292,260.582,173.516,79.857,176.084,241.172,176.55200000000002,205.949,185.053,90.397,185.5,220.61700000000002,188.791,188.31799999999998,114.84299999999999,,,,,,,,,,,,,,,,,,,,,,,,
0.75,3.0,,242.61,45.684,180.55200000000002,48.33,86.383,58.016999999999996,207.97299999999998,58.813,229.149,62.12,102.465,64.196,218.83,64.55,226.31799999999998,67.453,209.77,68.21600000000001,249.96400000000003,68.082,245.72299999999998,77.19,98.649,81.212,,,89.359,83.634,189.585,84.213,127.35600000000001,86.27600000000001,217.84799999999998,87.664,75.111,88.911,210.65400000000002,88.766,246.028,89.38799999999999,120.794,93.2,189.812,95.751,83.081,98.385,131.622,98.05799999999999,229.854,100.273,249.84799999999998,103.37799999999999,220.264,105.889,119.68700000000001,108.78200000000001,81.02199999999999,109.61200000000001,136.384,110.255,98.389,112.32600000000001,85.63600000000001,116.06200000000001,115.699,115.965,220.78900000000002,116.601,207.921,118.26299999999999,130.372,119.691,233.50599999999997,120.945,118.821,122.633,217.987,123.17,62.178000000000004,123.99700000000001,135.055,133.10399999999998,94.583,134.421,233.726,140.993,261.808,140.852,98.126,142.761,191.54,143.88299999999998,208.495,144.874,225.36599999999999,144.783,72.672,146.828,207.079,156.495,225.519,157.662,103.29700000000001,164.83900000000003,24.819000000000003,168.3,119.382,168.502,134.972,169.283,190.47400000000002,170.56099999999998,245.48,171.282,260.668,173.545,79.821,176.08900000000003,241.137,176.49400000000003,205.956,184.963,90.001,185.56400000000002,220.893,188.815,188.273,114.836,,,,,,,,,,,,,,,,,,,,,,,,
1.0,4.0,,242.60299999999998,45.773,180.62099999999998,48.293,86.337,58.085,207.916,58.771,229.282,61.787,102.39299999999999,63.909,218.967,64.524,226.378,67.37,209.919,68.288,249.97299999999998,68.14399999999999,245.707,77.148,98.51899999999999,81.209,,,89.31,83.583,189.623,84.081,127.33,86.11,217.885,87.65700000000001,75.203,89.02,210.747,88.75,246.063,89.34299999999999,120.73200000000001,93.14,189.859,95.68299999999999,83.03200000000001,98.238,131.539,97.927,230.04,100.24799999999999,249.894,103.43700000000001,220.343,105.95,119.102,108.20299999999999,81.008,109.719,136.363,110.211,98.434,112.26299999999999,85.516,115.96600000000001,115.64399999999999,115.947,220.794,116.581,207.88400000000001,118.221,130.213,119.755,233.53400000000002,120.825,118.787,122.64,218.00599999999997,123.2,62.16,124.024,135.093,133.174,94.61200000000001,134.351,233.679,141.026,261.64599999999996,140.809,98.165,142.662,191.528,143.82,208.507,144.887,225.545,144.679,72.6,146.945,207.082,156.518,225.764,157.467,103.339,164.733,24.886,168.37099999999998,119.431,168.47400000000002,134.994,169.36599999999999,190.68599999999998,170.275,245.481,171.235,260.682,173.50900000000001,79.908,176.047,241.09,176.53900000000002,206.049,184.805,90.13799999999999,185.553,220.78099999999998,188.886,188.172,114.84,,,,,,,,,,,,,,,,,,,,,,,,
1.25,5.0,,242.60299999999998,45.826,180.563,48.254,86.309,58.136,207.946,58.765,229.0,62.0,102.42,64.082,219.158,64.52,226.43400000000003,67.266,210.017,68.142,250.005,68.128,245.71400000000003,77.083,98.50399999999999,81.21,,,89.279,83.546,189.704,83.97200000000001,127.321,86.065,217.89700000000002,87.68700000000001,75.309,89.10700000000001,210.75900000000001,88.726,246.081,89.301,120.891,93.17299999999999,189.828,95.65299999999999,83.036,98.17399999999999,131.575,97.594,230.15599999999998,100.052,250.019,103.413,220.442,105.92200000000001,119.65,108.63,80.74600000000001,109.486,136.35299999999998,110.228,98.488,112.228,85.336,115.67200000000001,115.484,116.0,220.78400000000002,116.524,207.919,118.17200000000001,130.175,119.725,233.692,120.807,118.785,122.75200000000001,218.032,123.29799999999999,62.155,123.977,135.128,133.222,94.77799999999999,134.14,233.701,140.97799999999998,261.69,140.849,98.17399999999999,142.599,191.65599999999998,143.836,208.396,144.533,225.567,144.662,72.595,146.975,207.082,156.56799999999998,225.762,157.44799999999998,103.56,164.497,24.889,168.424,119.44,168.399,134.986,169.14700000000002,190.68200000000002,170.266,245.49599999999998,171.217,260.733,173.515,79.898,176.055,241.253,176.515,206.049,184.854,90.037,185.63099999999997,220.799,188.771,187.813,114.823,,,,,,,,,,,,,,,,,,,,,,,,
1.5,6.0,,242.696,45.856,180.483,48.083,86.40700000000001,58.163999999999994,207.985,58.748000000000005,229.394,61.575,102.493,64.155,219.27200000000002,64.501,226.46099999999998,67.238,209.977,68.168,250.033,68.181,245.765,77.079,98.45200000000001,81.283,241.118,82.185,89.275,83.54299999999999,189.752,83.98,127.26100000000001,85.965,217.954,87.689,75.378,89.102,210.812,88.575,246.107,89.26100000000001,121.071,93.199,189.831,95.712,83.023,98.14299999999999,131.594,97.59,230.19299999999998,99.994,250.046,103.41799999999999,220.484,105.94200000000001,119.11200000000001,108.329,80.715,109.441,136.355,110.291,98.45200000000001,112.17200000000001,85.42200000000001,115.825,115.45100000000001,115.921,220.81,116.46799999999999,207.882,118.20200000000001,130.221,119.734,233.889,120.75,118.70299999999999,122.574,218.093,123.26100000000001,62.089,124.125,135.15,133.201,94.774,134.19799999999998,233.705,141.00799999999998,261.66700000000003,140.80200000000002,98.235,142.517,191.61700000000002,143.78799999999998,208.335,144.494,225.516,144.66,72.57,147.00799999999998,207.084,156.608,225.78599999999997,157.403,103.43,164.55700000000002,24.906,168.433,119.49799999999999,168.36900000000003,134.991,169.158,190.67700000000002,170.245,245.479,171.15599999999998,260.736,173.55700000000002,79.939,176.044,241.22400000000002,176.46099999999998,206.08700000000002,184.825,89.84299999999999,185.77200000000002,220.833,188.632,,,,,,,,,,,,,,,,,,,,,,,,,,
1.75,7.0,,242.732,45.911,180.418,48.074,86.583,58.131,207.96099999999998,58.757,229.399,61.43899999999999,102.49799999999999,64.273,219.245,64.492,226.56400000000002,67.006,209.989,68.255,250.046,68.207,245.768,77.10300000000001,98.37899999999999,81.266,240.96900000000002,82.235,89.26700000000001,83.556,189.762,83.93700000000001,127.22,85.891,218.011,87.735,75.156,88.822,210.753,88.572,246.139,89.213,121.025,93.20299999999999,189.842,95.685,83.01299999999999,98.116,131.472,97.492,230.298,99.991,250.05900000000003,103.419,220.503,105.9,119.165,108.40100000000001,80.628,109.383,136.317,110.301,98.399,112.03299999999999,85.446,115.79899999999999,115.40799999999999,115.958,220.799,116.43700000000001,207.878,118.23200000000001,130.19799999999998,119.67200000000001,234.03099999999998,120.75399999999999,118.684,122.56200000000001,218.172,123.243,62.097,124.09100000000001,135.109,133.155,94.831,134.047,233.727,140.998,261.7,140.78799999999998,98.147,142.563,191.713,143.84,208.305,144.468,225.546,144.629,72.672,146.914,207.231,156.465,225.93900000000002,157.298,103.42200000000001,164.49099999999999,24.906999999999996,168.393,119.50299999999999,168.28599999999997,134.96200000000002,168.90599999999998,190.72,170.247,245.554,171.19299999999998,260.683,173.56400000000002,79.933,176.02,241.268,176.49,206.05,184.804,89.89399999999999,185.67700000000002,220.797,188.77,,,,,,,,,,,,,,,,,,,,,,,,,,
