TimesH,Frame,NoMissing,10,10,23,23,33,33,34,34,38,38,47,47,51,51,56,56,57,57,60,60,63,63,65,65,68,68,73,73,75,75,77,77,82,82,86,86,88,88,91,91,92,92,94,94,101,101,104,104,109,109,115,115,122,122,123,123,127,127,135,135,137,137,141,141,143,143,144,144,157,157,158,158,159,159,160,160,162,162,163,163,169,169,171,171,172,172,175,175,176,176,179,179,189,189,191,191,195,195,196,196,202,202,210,210,218,218,221,221,222,222,223,223,225,225,226,226,227,227,231,231,234,234,235,235,236,236,239,239,240,240,242,242,243,243,250,250,255,255,262,262,263,263,265,265,266,266,270,270,271,271,277,277,278,278,279,279,280,280,282,282,285,285,288,288,289,289,290,290,293,293,298,298,301,301,304,304,307,307,310,310,312,312,320,320,321,321,322,322,324,324,330,330,331,331,335,335,344,344,508,508,638,638,657,657,765,765
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
167.75,671.0,,237.268,9.12,225.752,17.805,115.228,74.14699999999999,90.111,74.295,106.28200000000001,76.429,126.044,85.113,206.321,87.156,245.585,78.318,209.547,77.01100000000001,68.124,81.83,243.267,45.913000000000004,224.609,53.318000000000005,221.206,39.7,72.806,44.89,189.18099999999998,42.46,99.584,62.471000000000004,230.09599999999998,63.347,211.761,55.471000000000004,111.44200000000001,59.552,236.253,108.031,213.653,107.76799999999999,221.993,110.977,135.178,104.556,88.814,105.96600000000001,253.97,118.147,96.54899999999999,111.735,202.502,92.45100000000001,107.68299999999999,91.791,94.61200000000001,92.93799999999999,115.43299999999999,90.10600000000001,109.634,102.115,78.107,104.839,44.821999999999996,102.18700000000001,119.35799999999999,101.96600000000001,257.889,137.891,221.08599999999998,138.296,103.23100000000001,137.836,246.463,136.661,116.977,133.695,209.02599999999998,131.382,228.771,144.129,202.738,143.165,220.285,145.491,6.632999999999999,144.783,81.917,139.599,272.823,141.062,69.454,124.712,296.085,119.465,60.225,122.421,223.28900000000002,121.25200000000001,199.88099999999997,129.766,234.9,126.73700000000001,,,234.886,162.486,218.33900000000003,158.673,110.18299999999999,158.999,208.40099999999998,157.64,222.919,159.989,83.824,160.592,65.346,167.93900000000002,55.316,170.947,269.342,169.50099999999998,97.046,169.393,262.716,164.34400000000002,200.903,163.57299999999998,90.09299999999999,166.485,57.001000000000005,165.543,297.94,150.987,84.35600000000001,149.3,91.865,157.245,19.472,157.19299999999998,258.49,154.72,47.725,157.53,25.215999999999998,152.967,241.893,151.819,272.051,152.736,237.15400000000002,187.262,220.877,185.675,111.257,185.918,203.28900000000002,194.05,,,228.762,182.421,256.716,185.43900000000002,209.78400000000002,182.952,61.839,195.82,92.47399999999999,191.62599999999998,231.82299999999998,189.50400000000002,83.31700000000001,193.00799999999998,25.398000000000003,173.16400000000002,122.051,174.095,232.493,172.63299999999998,126.756,172.252,250.283,178.938,56.744,178.31599999999997,238.893,176.687,259.597,174.83599999999998,221.24599999999998,175.21900000000002,65.12100000000001,176.19400000000002,207.417,207.912,,,,,,,,
168.0,672.0,,237.21599999999998,9.097999999999999,225.733,17.813,115.324,74.19,90.124,74.279,106.29299999999999,76.425,126.044,85.10799999999999,206.293,87.163,245.588,78.32300000000001,209.56599999999997,76.998,68.1,81.829,243.227,45.911,224.611,53.276,221.2,39.711999999999996,72.804,44.895,189.205,42.43600000000001,99.68700000000001,62.39,230.074,63.36,211.75,55.46,111.48899999999999,59.532,236.24400000000003,108.039,213.546,107.74700000000001,222.06900000000002,110.954,135.188,104.566,88.81,105.95700000000001,253.94099999999997,118.16,96.53399999999999,111.734,202.541,92.381,107.71600000000001,91.779,94.647,92.895,115.435,90.118,109.64399999999999,102.125,78.097,104.846,44.791000000000004,102.17399999999999,119.381,101.867,257.879,137.884,221.097,138.305,103.24600000000001,137.844,246.46099999999998,136.657,116.98100000000001,133.683,209.011,131.387,228.77700000000002,144.099,202.738,143.18,220.287,145.49,6.585,144.82299999999998,81.913,139.585,272.849,141.064,69.46300000000001,124.73700000000001,296.062,119.48299999999999,60.25899999999999,122.37799999999999,223.298,121.26,199.892,129.761,234.926,126.725,50.086000000000006,166.205,234.893,162.488,218.29,158.65200000000002,110.182,159.005,208.38299999999998,157.69,222.975,160.0,83.819,160.597,65.332,167.922,55.301,170.96599999999998,269.39099999999996,169.503,97.045,169.386,262.719,164.32299999999998,200.96200000000002,163.584,90.09200000000001,166.445,56.98,165.551,297.91900000000004,151.018,84.439,149.247,91.84700000000001,157.233,19.477,157.21200000000002,258.51,154.713,47.727,157.535,25.22,152.98,241.89700000000002,151.819,272.057,152.72,237.15599999999998,187.266,220.89,185.66,111.265,185.89,203.31900000000002,194.09900000000002,,,228.743,182.405,256.722,185.422,209.778,182.965,61.867,195.68599999999998,92.524,191.62400000000002,231.801,189.475,83.28399999999999,192.97299999999998,25.381,173.179,122.094,173.93400000000003,232.50900000000001,172.648,126.76299999999999,172.24099999999999,250.274,178.947,56.729,178.33,238.893,176.68400000000003,259.596,174.838,221.22799999999998,175.237,65.105,176.197,207.40200000000002,207.956,,,,,,,,
168.25,673.0,,237.27,9.073,225.73,17.777,115.331,74.17399999999999,90.13600000000001,74.292,106.309,76.40899999999999,126.053,85.132,206.291,87.155,245.578,78.328,209.571,76.987,68.116,81.796,243.208,45.909,224.67,53.303999999999995,221.207,39.695,72.808,44.898999999999994,189.24200000000002,42.426,99.755,62.431999999999995,230.062,63.351000000000006,211.77,55.455,111.65299999999999,59.45399999999999,236.226,108.055,213.558,107.73299999999999,222.088,110.91,135.211,104.602,88.801,105.946,253.94400000000002,118.15799999999999,96.546,111.734,202.548,92.39,107.70299999999999,91.79299999999999,94.64299999999999,92.855,115.429,90.116,109.648,102.12700000000001,78.125,104.875,44.912,102.111,119.402,101.855,257.894,137.88299999999998,221.102,138.283,103.242,137.833,246.44799999999998,136.666,116.97399999999999,133.65200000000002,209.09,131.328,228.752,144.1,202.738,143.205,220.297,145.496,6.602,144.814,81.895,139.57299999999998,272.82599999999996,141.04399999999998,69.461,124.791,296.045,119.46799999999999,60.272,122.361,223.28799999999998,121.286,199.933,129.691,234.93200000000002,126.704,50.011,166.347,234.892,162.48,218.34799999999998,158.60399999999998,110.186,159.006,208.40200000000002,157.671,222.957,159.957,83.801,160.635,65.33800000000001,167.90400000000002,55.285,171.044,269.399,169.50799999999998,97.044,169.372,262.714,164.31,201.015,163.577,90.05,166.44,57.011,165.56,297.935,151.01,84.541,149.08100000000002,91.82700000000001,157.211,19.497,157.261,258.488,154.697,47.732,157.536,25.221,153.006,241.895,151.835,272.025,152.72799999999998,237.15400000000002,187.27,220.87900000000002,185.65900000000002,111.275,185.84400000000002,203.178,194.138,90.696,183.52599999999998,228.705,182.418,256.762,185.37099999999998,209.763,183.007,61.911,195.813,92.495,191.665,231.74200000000002,189.43400000000003,83.258,193.042,25.375,173.178,122.088,173.967,232.551,172.641,126.727,172.19299999999998,250.285,178.93900000000002,56.738,178.32,238.889,176.687,259.578,174.845,221.168,175.19799999999998,65.066,176.185,207.68200000000002,207.5,,,,,,,,
168.5,674.0,,237.24200000000002,9.116,225.729,17.776,115.26,74.23,90.15700000000001,74.301,106.31700000000001,76.4,126.04700000000001,85.11,206.27200000000002,87.15700000000001,245.565,78.358,209.583,76.968,68.131,81.794,243.233,45.894,224.648,53.255,221.201,39.69,72.801,44.896,189.21400000000003,42.456,99.72399999999999,62.398999999999994,230.045,63.368,211.735,55.473,111.633,59.498999999999995,236.22,108.065,213.53799999999998,107.72399999999999,222.132,110.932,135.226,104.64200000000001,88.79700000000001,105.958,253.95,118.149,96.64,111.73100000000001,202.576,92.35700000000001,107.69,91.79700000000001,94.648,92.796,115.42200000000001,90.10700000000001,109.637,102.113,78.142,104.881,44.887,102.29,119.43700000000001,101.77799999999999,257.855,137.86700000000002,221.109,138.28,103.241,137.829,246.447,136.668,116.928,133.672,209.187,131.303,228.75599999999997,144.097,202.752,143.209,220.304,145.503,6.61,144.804,81.906,139.566,272.85,141.043,69.456,124.815,295.999,119.464,60.275,122.391,223.285,121.27799999999999,199.855,129.72899999999998,234.93599999999998,126.7,50.022,166.297,234.903,162.481,218.372,158.592,110.19200000000001,159.011,208.38299999999998,157.687,222.963,159.986,83.81700000000001,160.588,65.342,167.891,55.31,171.019,269.403,169.5,97.044,169.363,262.70799999999997,164.31,201.05599999999998,163.561,90.126,166.567,56.99,165.56099999999998,297.909,151.023,84.569,149.046,91.83200000000001,157.211,19.497,157.25799999999998,258.482,154.671,47.706,157.542,25.230999999999998,152.981,241.889,151.84799999999998,272.013,152.733,237.143,187.27,220.88099999999997,185.637,111.259,185.87099999999998,203.18200000000002,194.15099999999998,90.79899999999999,183.53099999999998,228.718,182.433,256.8,185.301,209.77900000000002,182.99900000000002,61.943000000000005,195.72799999999998,92.47,191.66400000000002,231.8,189.425,83.26100000000001,193.063,25.384,173.172,122.13799999999999,173.90200000000002,232.58,172.64,126.824,172.235,250.271,178.938,56.744,178.28799999999998,238.894,176.68900000000002,259.577,174.84400000000002,221.209,175.262,65.061,176.18200000000002,207.673,207.445,,,,,,,,
168.75,675.0,,237.236,9.126,225.74400000000003,17.69,115.25399999999999,74.23,90.148,74.304,106.321,76.406,126.041,85.087,206.245,87.165,245.6,78.332,209.585,76.982,68.13,81.78399999999999,243.356,45.895,224.601,53.243,221.207,39.668,72.816,44.881,189.19299999999998,42.437,99.70100000000001,62.33,230.017,63.351000000000006,211.731,55.483000000000004,111.59,59.516000000000005,236.229,108.055,213.555,107.757,222.148,110.94200000000001,135.202,104.594,88.795,105.949,253.952,118.154,96.663,111.781,202.595,92.34299999999999,107.691,91.818,94.663,92.76799999999999,115.41,90.14,109.647,102.09299999999999,78.149,104.911,44.92100000000001,102.51899999999999,119.477,101.70100000000001,257.83099999999996,137.869,221.12099999999998,138.291,103.229,137.82299999999998,246.456,136.664,116.90299999999999,133.687,208.984,131.438,228.78599999999997,144.106,202.778,143.217,220.31099999999998,145.513,6.617000000000001,144.833,81.913,139.576,272.877,140.998,69.48100000000001,124.87700000000001,295.98900000000003,119.45,60.32899999999999,122.279,223.27700000000002,121.264,199.87,129.736,234.95,126.69200000000001,50.653999999999996,164.81900000000002,234.898,162.484,218.351,158.624,110.19200000000001,159.017,208.354,157.72299999999998,222.96900000000002,159.993,83.81200000000001,160.539,65.355,167.86599999999999,55.324,171.046,269.383,169.503,97.057,169.361,262.695,164.28900000000002,201.077,163.585,90.113,166.579,56.965,165.582,297.923,151.015,84.624,149.00799999999998,91.85,157.218,19.483,157.253,258.469,154.64600000000002,47.705,157.615,25.2,152.94799999999998,241.893,151.85399999999998,271.993,152.749,237.135,187.267,220.78599999999997,185.658,111.26100000000001,185.87400000000002,203.03,194.106,90.667,183.525,228.65599999999998,182.417,256.86,185.264,209.783,183.014,62.001999999999995,195.75400000000002,92.434,191.672,231.78099999999998,189.41,83.26299999999999,193.043,25.381,173.157,122.12200000000001,173.87599999999998,232.622,172.623,126.825,172.19299999999998,250.285,178.93400000000003,56.757,178.27700000000002,238.88,176.688,259.57599999999996,174.85,221.313,175.27900000000002,65.036,176.17,207.727,207.31400000000002,,,,,,,,
169.0,676.0,,237.217,9.05,225.72400000000002,17.639,115.234,74.268,90.14299999999999,74.314,106.31299999999999,76.39,126.035,85.066,206.25400000000002,87.167,245.579,78.351,209.578,76.97800000000001,68.126,81.8,243.30599999999998,45.92100000000001,224.585,53.232,221.207,39.671,72.792,44.861999999999995,189.15,42.422,99.773,62.26,229.99900000000002,63.38,211.71900000000002,55.468,111.479,59.553000000000004,236.199,108.071,213.55,107.758,222.226,110.915,135.197,104.603,88.79,105.946,253.96099999999998,118.17299999999999,96.70200000000001,111.805,202.618,92.292,107.68,91.804,94.69,92.755,115.37299999999999,90.14399999999999,109.637,102.10600000000001,78.148,104.91799999999999,45.02,102.75399999999999,119.49600000000001,101.679,257.818,137.859,221.12599999999998,138.27700000000002,103.23,137.827,246.457,136.659,116.90100000000001,133.74,208.771,131.58,228.785,144.122,202.767,143.234,220.312,145.52200000000002,6.624,144.808,81.928,139.57299999999998,272.86400000000003,141.001,69.476,124.92399999999999,295.995,119.426,60.3,122.38600000000001,223.28400000000002,121.25299999999999,199.97099999999998,129.702,234.93599999999998,126.71799999999999,50.728,164.668,234.90400000000002,162.489,218.301,158.63,110.18700000000001,159.033,208.395,157.767,222.97099999999998,159.99200000000002,83.816,160.517,65.348,167.885,55.317,171.02900000000002,269.322,169.502,97.052,169.355,262.707,164.27,201.12900000000002,163.627,90.071,166.532,56.953,165.59900000000002,297.918,151.025,84.646,148.99200000000002,91.895,157.232,19.497,157.245,258.452,154.66299999999998,47.668,157.614,25.189,152.92,241.887,151.864,272.018,152.733,237.14,187.27200000000002,220.71900000000002,185.64700000000002,111.285,185.851,202.94299999999998,194.128,90.64200000000001,183.502,228.71200000000002,182.416,256.848,185.252,209.803,183.024,62.023999999999994,195.80200000000002,92.44200000000001,191.668,231.77900000000002,189.382,83.305,192.945,25.393,173.158,122.119,173.74099999999999,232.65400000000002,172.61599999999999,126.834,172.188,250.275,178.93099999999998,56.74100000000001,178.24599999999998,238.868,176.709,259.58799999999997,174.855,221.262,175.287,65.067,176.18,207.733,207.359,,,,,,,,
169.25,677.0,,237.203,9.004,225.704,17.66,115.229,74.255,90.175,74.297,106.315,76.361,126.04899999999999,85.055,206.236,87.15,245.593,78.334,209.57299999999998,76.975,68.145,81.82300000000001,243.28900000000002,45.928999999999995,224.595,53.248999999999995,221.202,39.702,72.788,44.87,189.15099999999998,42.431000000000004,99.74600000000001,62.306000000000004,229.952,63.388000000000005,211.72400000000002,55.435,111.525,59.508,236.21,108.06700000000001,213.485,107.73100000000001,222.255,110.896,135.15200000000002,104.632,88.781,105.943,253.957,118.162,96.699,111.76299999999999,202.637,92.294,107.68,91.807,94.697,92.84899999999999,115.37,90.156,109.64200000000001,102.103,78.17699999999999,104.935,45.025,102.569,119.509,101.574,257.806,137.85299999999998,221.155,138.296,103.235,137.845,246.453,136.658,116.891,133.75,208.14700000000002,132.106,228.75,144.089,202.774,143.233,220.312,145.514,6.671,144.79399999999998,81.941,139.577,272.877,141.019,69.491,124.976,295.968,119.42,60.232,122.397,223.301,121.24700000000001,199.98,129.695,234.896,126.706,50.801,164.459,234.93599999999998,162.506,218.332,158.58100000000002,110.18299999999999,159.042,208.43099999999998,157.697,222.958,159.995,83.835,160.493,65.343,167.88,55.32899999999999,170.98,269.296,169.524,97.038,169.35,262.718,164.273,201.227,163.727,90.079,166.486,56.935,165.645,297.888,151.04,84.694,148.933,91.925,157.234,19.367,157.267,258.45099999999996,154.65,47.655,157.638,25.156999999999996,152.9,241.88299999999998,151.887,272.04,152.696,237.14700000000002,187.283,220.71599999999998,185.666,111.306,185.83700000000002,206.005,188.019,90.54,183.481,228.692,182.43400000000003,256.927,185.178,209.797,183.04,62.06399999999999,195.769,92.446,191.709,231.79,189.378,83.355,192.954,25.373,173.153,122.05799999999999,173.722,232.696,172.61599999999999,126.79,172.178,250.261,178.93400000000003,56.708999999999996,178.21099999999998,238.864,176.71400000000003,259.585,174.858,221.243,175.292,65.033,176.174,207.614,207.497,,,,,,,,
169.5,678.0,,237.19299999999998,9.026,225.79,17.689,115.264,74.259,90.182,74.27199999999999,106.31200000000001,76.343,126.064,85.04899999999999,206.25,87.13600000000001,245.605,78.321,209.55599999999998,76.971,68.14699999999999,81.801,243.327,45.882,224.61900000000003,53.222,221.203,39.693000000000005,72.792,44.865,189.128,42.445,99.806,62.227,229.921,63.347,211.72400000000002,55.451,111.432,59.566,236.217,108.085,213.475,107.73299999999999,222.283,110.86,135.109,104.59,88.76799999999999,105.92,253.929,118.171,96.711,111.73299999999999,202.65200000000002,92.255,107.699,91.81299999999999,94.70700000000001,92.665,115.363,90.19,109.61399999999999,102.089,78.189,104.939,45.103,102.727,119.51100000000001,101.501,257.803,137.841,221.138,138.308,103.226,137.846,246.433,136.66299999999998,116.895,133.784,208.24,132.029,228.74900000000002,144.08100000000002,202.77700000000002,143.227,220.312,145.512,6.654,144.81,81.949,139.576,272.89,141.019,69.47800000000001,125.009,295.97,119.432,60.216,122.404,223.322,121.24600000000001,199.99200000000002,129.66299999999998,234.93099999999998,126.706,50.833999999999996,164.41400000000002,234.91299999999998,162.493,218.324,158.613,110.185,159.054,208.42,157.69799999999998,222.97,159.983,83.82799999999999,160.48,65.35300000000001,167.885,55.301,171.00799999999998,269.281,169.532,97.045,169.347,262.704,164.282,201.356,163.767,90.1,166.56799999999998,56.93,165.608,297.885,151.031,84.73100000000001,148.905,91.95,157.215,19.313,157.268,258.443,154.636,47.656000000000006,157.63299999999998,25.156,152.88299999999998,241.892,151.885,272.028,152.701,237.145,187.28,220.708,185.68599999999998,111.316,185.843,206.016,188.046,90.31200000000001,183.44,228.667,182.43099999999998,256.972,185.118,209.80599999999998,183.053,62.126000000000005,195.65400000000002,92.465,191.735,231.769,189.375,83.34200000000001,193.00799999999998,25.373,173.15900000000002,122.06200000000001,173.687,232.692,172.59900000000002,126.806,172.202,250.243,178.933,56.731,178.21900000000002,238.862,176.71599999999998,259.592,174.852,221.263,175.332,65.01,176.168,207.71,207.30200000000002,,,,,,,,
