TimesH,Frame,NoMissing,2,2,6,6,12,12,14,14,16,16,21,21,23,23,28,28,30,30,31,31,34,34,46,46,47,47,51,51,53,53,54,54,55,55,56,56,63,63,66,66,71,71,72,72,75,75,78,78,85,85,86,86,88,88,98,98,99,99,103,103,115,115,119,119,122,122,129,129,137,137,139,139,140,140,143,143,148,148,153,153,155,155,166,166,168,168,172,172,174,174,176,176,178,178,204,204,225,225,237,237,239,239,246,246,260,260,266,266,279,279,289,289,295,295,297,297,299,299,301,301,307,307,313,313,314,314,316,316,318,318,329,329,330,330,354,354,395,395,404,404,472,472,480,480,708,708,712,712
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
167.75,671.0,,71.457,61.306999999999995,95.51299999999999,58.913999999999994,221.55700000000002,56.458999999999996,143.007,54.725,251.093,52.813,80.921,50.283,182.977,49.036,227.71200000000002,47.918,242.53799999999998,46.945,251.58700000000002,75.13600000000001,191.34599999999998,73.968,87.93,70.218,101.70299999999999,70.219,247.52200000000002,68.013,209.44400000000002,66.318,220.02900000000002,63.711000000000006,232.97099999999998,65.249,85.729,63.848,218.468,86.73299999999999,73.025,86.63600000000001,220.024,81.587,233.076,81.62100000000001,115.978,80.62899999999999,86.834,81.486,82.334,78.282,96.036,78.884,244.218,76.92,246.21599999999998,95.70100000000001,126.587,97.21,104.20100000000001,95.167,245.02700000000002,89.00299999999999,209.896,87.85,94.595,110.96600000000001,214.28400000000002,107.652,192.9,104.848,123.85600000000001,104.689,134.57399999999998,105.34299999999999,221.18900000000002,103.986,249.273,102.522,181.515,123.35799999999999,190.896,123.259,232.81099999999998,118.78,101.655,119.39,220.753,115.49700000000001,112.32700000000001,114.355,66.667,114.52799999999999,83.198,113.21799999999999,75.77600000000001,127.985,133.403,142.474,64.458,136.684,241.546,135.569,122.488,155.579,11.209000000000001,151.714,296.388,150.107,123.95299999999999,166.825,58.056000000000004,162.917,232.718,160.815,260.904,160.4,272.993,158.92700000000002,114.979,158.991,250.173,178.854,68.53699999999999,177.50799999999998,102.15299999999999,177.472,238.53400000000002,176.362,63.236999999999995,175.75099999999998,260.289,169.59,268.75,168.981,236.828,186.829,193.627,32.739000000000004,253.33700000000002,25.374000000000002,,,,,,,,
168.0,672.0,,71.452,61.331,95.28399999999999,58.88,221.701,56.54,143.00799999999998,54.763000000000005,251.102,52.843,80.863,50.297,182.933,48.957,227.59099999999998,47.82,242.563,46.957,251.59900000000002,75.14,191.235,73.882,87.926,70.229,101.64299999999999,70.244,247.521,68.01899999999999,209.453,66.35600000000001,220.12,63.754,232.981,65.139,85.698,63.855,218.50599999999997,86.666,73.03,86.616,220.192,80.939,233.12900000000002,81.609,115.928,80.594,86.831,81.47800000000001,82.227,78.314,96.045,78.88,244.294,76.949,246.28599999999997,95.611,126.575,97.193,104.14399999999999,95.215,245.09,88.98,209.91400000000002,87.82,94.669,110.89399999999999,214.291,107.68,192.80700000000002,104.921,124.03299999999999,104.69200000000001,134.621,105.27,221.204,103.96799999999999,249.24599999999998,102.512,181.41099999999997,123.41799999999999,190.96900000000002,123.211,232.74099999999999,118.838,101.632,119.45200000000001,220.733,115.552,112.235,114.387,66.704,114.632,83.15,113.266,75.791,127.979,133.43,142.438,64.45100000000001,136.628,241.565,135.576,122.484,155.566,11.159,151.717,296.493,150.238,123.954,166.826,58.019,162.986,232.717,160.855,260.932,160.351,272.97,158.914,114.9,159.07299999999998,250.271,178.887,68.441,177.52200000000002,102.156,177.442,238.58900000000003,176.386,63.192,175.75099999999998,260.275,169.65400000000002,268.776,168.887,236.824,186.85,193.705,32.775999999999996,253.328,25.405,,,,,,,,
168.25,673.0,,71.51,61.324,95.235,58.878,221.50900000000001,56.483999999999995,142.91899999999998,54.755,251.115,52.97,80.89399999999999,50.367,182.882,49.016999999999996,227.447,47.924,242.53099999999998,46.917,251.604,75.15100000000001,191.237,73.92699999999999,87.949,70.258,101.598,70.275,247.487,68.044,209.446,66.428,220.158,63.692,232.99400000000003,65.171,85.729,63.836000000000006,218.53,86.723,73.145,86.676,220.292,80.523,233.09900000000002,81.59899999999999,115.916,80.595,86.825,81.456,82.23200000000001,78.28699999999999,96.04299999999999,78.883,244.247,76.933,246.33,95.617,126.596,97.12899999999999,104.12799999999999,95.20200000000001,245.144,88.994,209.908,87.74,94.655,110.844,214.324,107.69200000000001,192.82,104.90100000000001,123.947,104.706,134.595,105.24700000000001,221.187,103.958,249.265,102.535,181.49599999999998,123.50200000000001,190.94,123.23700000000001,232.74200000000002,118.79799999999999,101.603,119.475,220.769,115.545,112.235,114.368,66.715,114.662,83.184,113.24700000000001,75.77199999999999,127.976,133.393,142.395,64.396,136.606,241.62400000000002,135.611,122.50200000000001,155.558,11.085,151.661,296.452,150.30700000000002,123.969,166.671,58.042,162.985,232.718,160.781,261.115,160.31799999999998,272.972,158.908,114.87299999999999,159.115,250.329,178.882,68.52199999999999,177.516,102.21700000000001,177.47400000000002,238.50900000000001,176.385,63.196999999999996,175.791,260.263,169.676,268.78,168.942,236.83599999999998,186.859,193.68,32.771,253.352,25.421999999999997,,,,,,,,
168.5,674.0,,71.485,61.356,95.09299999999999,58.869,221.52200000000002,56.49,142.891,54.733999999999995,251.14700000000002,52.983999999999995,80.881,50.324,182.97400000000002,49.155,227.46400000000003,47.83,242.495,46.943000000000005,251.608,75.154,191.24,73.922,87.941,70.253,101.68299999999999,70.311,247.521,68.032,209.38299999999998,66.388,220.169,63.68,232.96,65.16,85.79299999999999,63.799,218.457,86.70299999999999,72.99,86.51100000000001,220.426,79.476,233.062,81.563,115.94,80.585,86.844,81.39399999999999,82.26899999999999,78.28,96.05,78.865,244.24,76.973,246.35299999999998,95.569,126.523,97.178,104.105,95.196,245.179,89.024,209.965,87.706,94.69,110.76100000000001,214.355,107.604,192.93099999999998,104.991,123.84299999999999,104.699,134.507,105.277,221.179,103.949,249.266,102.49799999999999,181.483,123.52600000000001,190.89700000000002,123.266,232.71200000000002,118.84700000000001,101.62200000000001,119.48200000000001,220.785,115.49700000000001,112.205,114.46600000000001,66.72399999999999,114.67,83.19,113.171,75.836,128.064,133.268,142.358,64.374,136.65,241.605,135.606,122.494,155.55700000000002,11.120999999999999,151.624,296.258,150.34,124.006,166.706,57.986999999999995,162.937,232.704,160.775,261.079,160.227,272.961,158.90200000000002,114.89299999999999,159.113,250.31400000000002,178.93400000000003,68.646,177.5,102.26,177.446,238.52900000000002,176.36599999999999,63.206,175.815,260.23,169.69799999999998,268.746,168.981,236.81,186.882,193.66,32.728,253.263,25.511,,,,,,,,
168.75,675.0,,71.508,61.349,95.025,58.78,221.49400000000003,56.45399999999999,142.89600000000002,54.75899999999999,251.149,52.916000000000004,80.851,50.33,182.935,49.17,227.34400000000002,47.9,242.47099999999998,46.913000000000004,251.581,75.146,191.326,73.96,87.936,70.21300000000001,101.566,70.289,247.47299999999998,68.055,209.38299999999998,66.435,220.28,63.731,232.97799999999998,65.208,85.635,63.821000000000005,218.421,86.777,72.942,86.447,220.308,79.52600000000001,233.054,81.464,115.96,80.556,86.837,81.398,82.31,78.238,96.055,78.874,244.15900000000002,76.937,246.40400000000002,95.565,126.53399999999999,97.17399999999999,104.084,95.194,245.16,89.052,209.912,87.619,94.725,110.75399999999999,214.365,107.523,192.983,104.995,123.95100000000001,104.685,134.55200000000002,105.329,221.174,103.928,249.234,102.48,181.512,123.633,190.735,123.176,232.64700000000002,118.86,101.712,119.469,220.773,115.524,112.118,114.564,66.71300000000001,114.675,83.109,113.25299999999999,75.877,128.075,133.358,142.33700000000002,64.347,136.61,241.62900000000002,135.616,122.495,155.562,11.061,151.63299999999998,296.402,150.398,123.98299999999999,166.71,58.003,162.989,232.69400000000002,160.744,261.21,160.114,272.957,158.914,114.916,159.069,250.24099999999999,178.90400000000002,68.62899999999999,177.483,102.21600000000001,177.445,238.49400000000003,176.28599999999997,63.222,175.785,260.218,169.709,268.801,169.007,236.783,186.88299999999998,193.60299999999998,32.748000000000005,253.31,25.493000000000002,,,,,,,,
169.0,676.0,,71.506,61.358999999999995,95.244,58.847,221.468,56.457,142.94799999999998,54.784,251.13,52.928999999999995,80.851,50.363,182.976,49.153,227.28799999999998,47.963,242.528,46.94,251.578,75.154,191.21099999999998,73.82600000000001,87.955,70.229,101.541,70.325,247.455,68.05199999999999,209.28,66.472,220.484,63.77,232.958,65.255,85.67,63.806999999999995,218.38,86.758,72.934,86.40899999999999,220.11900000000003,81.49,233.09400000000002,81.509,115.96700000000001,80.528,86.855,81.39,82.333,78.211,96.065,78.881,244.051,76.92,246.47,95.505,126.527,97.152,104.057,95.196,245.123,89.086,209.96,87.652,94.70700000000001,110.76700000000001,214.331,107.491,193.025,105.064,123.92200000000001,104.699,134.637,105.301,221.19299999999998,103.97,249.229,102.49600000000001,181.472,123.665,190.653,123.287,232.518,118.865,101.75200000000001,119.439,220.81400000000002,115.486,112.10600000000001,114.587,66.73,114.65899999999999,83.069,113.32799999999999,75.876,128.101,133.494,142.373,64.376,136.57399999999998,241.593,135.565,122.49799999999999,155.584,11.12,151.672,296.335,150.481,123.999,166.768,57.988,162.989,232.72799999999998,160.776,261.20799999999997,160.096,272.95,158.893,115.01100000000001,159.028,250.22400000000002,178.80599999999998,68.649,177.50900000000001,102.26299999999999,177.43,238.513,176.265,63.239,175.78,260.19599999999997,169.766,268.841,169.062,236.797,186.882,193.649,32.755,253.31599999999997,25.487,,,,,,,,
169.25,677.0,,71.509,61.263999999999996,95.12,58.825,221.33,56.412,142.989,54.745,251.108,52.928999999999995,80.893,50.278999999999996,183.11900000000003,49.111000000000004,227.231,47.95,242.56099999999998,46.92100000000001,251.601,75.118,191.305,73.905,87.958,70.26100000000001,101.439,70.339,247.487,68.05199999999999,209.185,66.524,220.497,63.772,232.938,65.365,85.586,63.841,218.40400000000002,86.78200000000001,72.866,86.365,220.49599999999998,79.417,233.137,81.525,115.991,80.577,86.868,81.357,82.322,78.251,96.055,78.874,244.02200000000002,76.964,246.483,95.49600000000001,126.455,97.175,104.04799999999999,95.19200000000001,245.114,89.126,209.834,87.693,94.764,110.81299999999999,214.391,107.495,193.13,105.15299999999999,123.875,104.725,134.672,105.18,221.18400000000003,104.023,249.208,102.509,181.42,123.677,190.582,123.064,232.533,118.839,101.774,119.54799999999999,220.817,115.469,112.221,114.551,66.757,114.65,83.22200000000001,113.304,75.827,128.134,133.497,142.376,64.32300000000001,136.57299999999998,241.62599999999998,135.563,122.491,155.594,11.043,151.66,296.275,150.474,124.01100000000001,166.768,57.979,163.007,232.733,160.766,261.242,160.1,272.937,158.894,114.95,159.054,250.14700000000002,178.83599999999998,68.62899999999999,177.514,102.318,177.437,238.472,176.27700000000002,63.283,175.78,260.248,169.695,268.82099999999997,169.114,236.859,186.87,193.609,32.751,253.296,25.500999999999998,,,,,,,,
169.5,678.0,,71.459,61.284,95.069,58.821999999999996,221.25,56.402,142.984,54.765,251.136,52.968999999999994,80.854,50.313,183.22,49.125,227.25900000000001,47.92,242.55,46.906000000000006,251.6,75.14,191.301,73.781,87.955,70.281,101.509,70.274,247.468,68.066,209.21099999999998,66.454,220.533,63.795,232.967,65.28399999999999,85.556,63.848,218.44400000000002,86.73299999999999,72.775,86.335,220.429,79.369,233.08900000000003,81.491,116.02,80.529,86.87200000000001,81.311,82.295,78.286,96.068,78.867,243.933,76.973,246.43599999999998,95.564,126.431,97.164,103.979,95.25399999999999,245.175,89.125,209.82299999999998,87.729,94.815,110.744,214.53099999999998,107.79899999999999,193.235,105.146,123.68799999999999,104.678,134.64,105.20299999999999,221.21599999999998,104.113,249.239,102.505,181.468,123.67,190.618,123.10600000000001,232.595,118.788,102.12799999999999,119.654,220.829,115.469,112.181,114.52,66.773,114.65299999999999,83.352,113.234,75.92699999999999,128.15,133.314,142.42,64.34,136.54399999999998,241.61700000000002,135.575,122.495,155.56799999999998,11.034,151.69799999999998,296.199,150.523,124.03299999999999,166.74400000000003,57.992,163.002,232.715,160.737,261.276,160.118,272.941,158.907,114.941,159.075,250.183,178.796,68.72,177.489,102.291,177.41400000000002,238.479,176.217,63.378,175.78599999999997,260.265,169.642,268.811,169.074,236.877,186.852,193.541,32.711999999999996,253.361,25.489,,,,,,,,
