TimesH,Frame,NoMissing,0,0,1,1,5,5,7,7,12,12,16,16,19,19,20,20,22,22,24,24,27,27,28,28,31,31,33,33,34,34,36,36,46,46,50,50,53,53,59,59,62,62,64,64,65,65,71,71,74,74,78,78,115,115,118,118,122,122,126,126,128,128,129,129,132,132,133,133,135,135,138,138,141,141,143,143,144,144,146,146,154,154,155,155,163,163,164,164,183,183,188,188,195,195,197,197,207,207,218,218,224,224,226,226,228,228,229,229,233,233,241,241,249,249,252,252,254,254,256,256,259,259,262,262,263,263,265,265,266,266,267,267,269,269,271,271,274,274,279,279,285,285,286,286,287,287,288,288,291,291,294,294,340,340,475,475,556,556,818,818,824,824,876,876,897,897,914,914,1117,1117,1122,1122,1124,1124,1202,1202,1213,1213,1216,1216
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
335.5,1342.0,,108.5,159.74200000000002,82.279,159.9,221.28,160.888,91.53399999999999,161.865,55.851000000000006,164.74599999999998,260.897,165.778,66.30199999999999,166.575,47.778999999999996,168.829,95.478,170.275,267.381,170.27,89.38600000000001,172.19799999999998,53.358999999999995,171.562,123.421,147.217,68.74600000000001,146.445,45.141000000000005,145.987,218.245,146.833,296.422,152.134,240.043,153.264,256.575,155.609,232.94400000000002,158.122,205.75400000000002,158.79,249.368,185.703,227.65200000000002,185.81900000000002,235.213,186.956,204.87900000000002,187.549,91.79,190.063,274.184,172.66400000000002,201.74400000000003,173.615,126.06299999999999,174.93599999999998,219.544,175.528,61.342,176.15900000000002,44.125,176.567,256.60900000000004,176.33900000000003,237.162,178.222,71.688,178.49200000000002,248.128,178.787,224.1,20.238,54.996,180.359,262.748,178.66400000000002,111.148,179.551,218.697,43.246,103.29700000000001,182.537,213.778,183.50400000000002,208.00099999999998,183.048,118.87899999999999,101.97,76.77199999999999,106.287,129.595,111.35799999999999,94.75299999999999,112.361,,,88.73700000000001,76.192,205.592,78.362,104.633,78.627,243.23,80.39399999999999,261.096,84.821,202.445,87.535,93.654,93.193,207.071,131.763,109.84200000000001,132.55,224.862,133.675,87.81200000000001,136.92700000000002,115.213,136.686,101.546,138.958,244.518,138.425,255.209,139.256,218.25599999999997,139.614,234.581,140.791,271.015,142.275,200.128,143.358,226.87099999999998,144.966,189.153,116.178,179.179,118.882,294.132,121.24700000000001,252.07,119.926,118.522,123.26299999999999,220.421,123.24600000000001,68.306,125.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335.75,1343.0,,108.484,159.764,82.249,159.876,221.234,160.88299999999998,91.52,161.959,55.824,164.76,260.902,165.701,66.327,166.582,47.76,168.813,95.455,170.299,267.355,170.285,89.37700000000001,172.205,53.369,171.525,123.24799999999999,147.129,68.71300000000001,146.40200000000002,45.09,145.94,218.236,146.833,296.385,152.145,240.047,153.264,256.58799999999997,155.605,232.967,158.108,205.707,158.734,249.38299999999998,185.709,227.736,186.01,235.21400000000003,186.951,204.855,187.523,91.76100000000001,190.05900000000003,274.203,172.606,201.637,173.622,126.04799999999999,174.89,219.53599999999997,175.53099999999998,61.328,176.174,44.111999999999995,176.637,256.618,176.36599999999999,237.157,178.264,71.695,178.505,248.17700000000002,178.842,224.049,20.262999999999998,54.998000000000005,180.34400000000002,262.725,178.685,111.119,179.565,218.692,43.269,103.26299999999999,182.558,213.774,183.49900000000002,207.959,183.05,118.876,101.93700000000001,76.777,106.275,129.608,111.363,94.787,112.346,215.389,211.138,88.741,76.185,205.61700000000002,78.357,104.616,78.656,243.204,80.404,261.14099999999996,84.705,202.41,87.51299999999999,93.66,93.177,207.08700000000002,131.792,109.85700000000001,132.531,224.815,133.713,87.806,136.915,115.181,136.69299999999998,101.56700000000001,138.966,244.507,138.468,255.21599999999998,139.243,218.247,139.595,234.602,140.72,270.953,142.233,200.111,143.327,226.773,144.97,189.213,116.197,179.174,118.876,294.137,121.23700000000001,252.02900000000002,119.949,118.382,123.296,220.468,123.22200000000001,68.354,125.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336.0,1344.0,,108.448,159.796,82.245,159.862,221.24400000000003,160.885,91.464,162.108,55.898999999999994,164.687,260.899,165.733,66.311,166.56,47.738,168.83700000000002,95.46,170.31400000000002,267.346,170.27,89.395,172.19400000000002,53.361000000000004,171.528,123.169,147.118,68.793,146.326,45.068000000000005,145.903,218.22,146.82299999999998,296.387,152.142,240.05200000000002,153.275,256.628,155.61700000000002,232.942,158.097,205.74099999999999,158.79399999999998,249.329,185.66299999999998,227.77200000000002,186.05599999999998,235.21200000000002,186.935,204.877,187.49400000000003,91.741,190.049,274.209,172.592,201.537,173.588,126.06,174.85299999999998,219.52200000000002,175.514,61.326,176.165,44.138000000000005,176.507,256.618,176.365,237.162,178.264,71.735,178.49599999999998,248.23,178.892,224.043,20.265,54.977,180.373,262.693,178.709,111.09100000000001,179.597,218.72299999999998,43.256,103.271,182.579,213.77700000000002,183.50099999999998,207.99099999999999,183.019,118.895,101.946,76.807,106.33,129.556,111.292,94.758,112.32799999999999,216.61,210.263,88.719,76.184,205.607,78.363,104.62200000000001,78.645,243.209,80.414,261.173,84.72,202.4,87.486,93.67399999999999,93.18799999999999,207.08700000000002,131.799,109.87700000000001,132.482,224.794,133.713,87.821,136.95600000000002,115.242,136.756,101.54299999999999,138.977,244.52900000000002,138.45600000000002,255.225,139.234,218.262,139.572,234.58599999999998,140.648,270.959,142.17700000000002,200.107,143.336,226.77,144.906,189.208,116.115,179.12400000000002,118.82600000000001,294.16700000000003,121.23200000000001,252.045,119.95,118.17299999999999,123.26700000000001,220.465,123.2,68.411,125.51100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336.25,1345.0,,108.44,159.819,82.26899999999999,159.931,221.326,160.888,91.432,162.15,56.06399999999999,164.44099999999997,260.903,165.729,66.35600000000001,166.553,47.726000000000006,168.82,95.486,170.301,267.35,170.261,89.398,172.18099999999998,53.34,171.50799999999998,123.08,147.077,68.797,146.356,45.088,145.899,218.19099999999997,146.83100000000002,296.414,152.137,240.03099999999998,153.27200000000002,256.634,155.609,232.98,158.077,205.69299999999998,158.705,249.327,185.65900000000002,227.82299999999998,186.108,235.21099999999998,186.929,204.727,187.49,91.729,190.06099999999998,274.236,172.549,201.548,173.60299999999998,126.07799999999999,174.856,219.487,175.528,61.332,176.17700000000002,44.147,176.533,256.612,176.385,237.14,178.263,71.708,178.50799999999998,248.083,178.86599999999999,224.071,20.236,54.983999999999995,180.327,262.658,178.683,111.07799999999999,179.63,218.69400000000002,43.277,103.288,182.565,213.775,183.5,207.997,183.005,118.902,101.943,76.863,106.367,129.546,111.291,94.762,112.32600000000001,215.868,210.827,88.72200000000001,76.186,205.588,78.329,104.65100000000001,78.628,243.21400000000003,80.398,261.036,84.70299999999999,202.387,87.473,93.65899999999999,93.186,207.085,131.783,109.87799999999999,132.47,224.75400000000002,133.72799999999998,87.831,136.988,115.259,136.762,101.553,139.018,244.512,138.326,255.18900000000002,139.243,218.275,139.601,234.577,140.679,270.934,142.171,200.09599999999998,143.311,226.72,144.825,189.17700000000002,116.037,179.138,118.81200000000001,294.142,121.197,252.00099999999998,119.962,118.20100000000001,123.24700000000001,220.56,123.10799999999999,68.469,125.51100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336.5,1346.0,,108.445,159.835,82.26,159.909,221.325,160.901,91.508,161.97,56.137,164.399,260.874,165.674,66.405,166.53599999999997,47.728,168.857,95.553,170.28599999999997,267.328,170.268,89.374,172.169,53.331,171.53099999999998,123.111,147.11,68.808,146.252,45.106,145.901,218.18200000000002,146.804,296.436,152.131,240.03099999999998,153.269,256.637,155.607,232.972,158.048,205.658,158.689,249.327,185.662,227.72400000000002,185.907,235.19799999999998,186.915,204.78,187.44400000000002,91.728,190.037,274.231,172.546,201.30900000000003,173.421,126.096,174.81599999999997,219.47299999999998,175.47799999999998,61.335,176.179,44.07899999999999,176.57,256.60900000000004,176.394,237.09099999999998,178.27200000000002,71.707,178.483,248.145,178.612,224.095,20.168,54.996,180.327,262.582,178.697,111.133,179.64,218.704,43.283,103.318,182.65200000000002,213.815,183.50099999999998,207.997,182.989,118.915,101.95100000000001,76.936,106.399,129.532,111.345,94.77,112.329,215.27900000000002,211.19299999999998,88.712,76.185,205.601,78.354,104.65299999999999,78.639,243.201,80.402,261.268,84.58,202.392,87.505,93.682,93.169,207.077,131.778,109.882,132.458,224.706,133.773,87.837,136.946,115.255,136.73,101.566,138.997,244.53799999999998,138.313,255.179,139.246,218.305,139.648,234.605,140.695,270.98900000000003,142.186,200.08900000000003,143.295,226.774,144.859,189.199,116.052,179.135,118.786,294.161,121.209,252.00400000000002,119.978,118.315,123.2,220.535,123.083,68.432,125.486,190.676,42.173,,,,,,,,,,,,,,,,,,,,,,,,,,
336.75,1347.0,,108.45,159.821,82.309,159.865,221.317,160.877,91.443,162.069,56.199,164.324,260.899,165.66299999999998,66.414,166.60299999999998,47.783,168.863,95.529,170.31,267.342,170.283,89.37200000000001,172.197,53.313,171.56,123.085,147.155,68.803,146.208,45.08,145.916,218.155,146.812,296.47700000000003,152.138,240.023,153.265,256.63,155.64,232.97799999999998,158.055,205.585,158.656,249.27200000000002,185.644,227.7,185.908,235.169,186.91299999999998,204.783,187.468,91.727,190.05599999999998,274.26,172.547,201.25099999999998,173.351,126.09200000000001,174.81599999999997,219.477,175.419,61.339,176.183,44.071999999999996,176.602,256.60200000000003,176.4,237.07,178.295,71.727,178.457,248.229,178.53900000000002,224.06900000000002,20.171,54.96,180.299,262.504,178.703,111.119,179.685,218.718,43.13399999999999,103.27600000000001,182.666,213.77200000000002,183.507,207.997,182.97799999999998,118.87899999999999,101.931,76.936,106.42399999999999,129.458,111.441,94.815,112.353,215.128,211.40599999999998,88.711,76.178,205.606,78.282,104.647,78.638,243.2,80.378,261.276,84.43799999999999,202.39,87.464,93.70200000000001,93.179,207.063,131.779,109.859,132.451,224.7,133.783,87.84100000000001,136.952,115.272,136.836,101.559,139.011,244.584,138.355,255.143,139.239,218.31799999999998,139.631,234.627,140.724,270.846,142.24200000000002,200.08599999999998,143.297,226.732,144.805,189.16400000000002,116.022,179.11599999999999,118.789,294.16,121.154,251.975,120.039,118.37299999999999,123.169,220.515,123.096,68.433,125.48200000000001,190.394,41.981,,,,,,,,,,,,,,,,,,,,,,,,,,
337.0,1348.0,,108.45700000000001,159.81,82.325,159.875,221.297,160.849,91.434,162.151,56.26,164.28900000000002,260.89099999999996,165.646,66.425,166.64700000000002,47.751000000000005,168.72400000000002,95.585,170.299,267.35200000000003,170.28,89.384,172.19400000000002,53.318999999999996,171.545,123.13,147.014,68.773,146.255,45.06100000000001,145.90200000000002,218.157,146.83100000000002,296.48400000000004,152.136,240.02,153.28,256.663,155.645,232.982,158.046,205.622,158.66899999999998,249.245,185.615,227.697,185.89,235.165,186.91299999999998,204.79,187.50099999999998,91.75299999999999,190.03799999999998,274.252,172.609,201.19799999999998,173.354,126.14399999999999,174.794,219.475,175.445,61.346000000000004,176.165,44.123000000000005,176.65200000000002,256.586,176.43400000000003,237.095,178.358,71.737,178.389,248.199,178.52,224.074,20.169,54.973,180.28099999999998,262.46,178.77700000000002,111.17,179.715,218.75,43.12,103.279,182.674,213.81900000000002,183.513,208.018,182.956,118.87700000000001,101.96,76.945,106.42299999999999,129.437,111.45700000000001,94.84,112.338,,,88.714,76.186,205.614,78.266,104.632,78.63600000000001,243.231,80.375,261.188,84.531,202.395,87.411,93.664,93.166,207.05599999999998,131.756,109.87200000000001,132.444,224.7,133.785,87.823,136.9,115.25,136.832,101.57600000000001,139.019,244.582,138.342,255.143,139.246,218.31599999999997,139.665,234.639,140.69299999999998,270.801,142.283,200.09,143.29399999999998,226.71400000000003,144.855,189.105,115.985,179.08700000000002,118.773,294.21299999999997,121.193,251.98,120.036,118.251,123.117,220.458,123.139,68.447,125.461,190.577,42.092,,,,,,,,,,,,,,,,,,,,,,,,,,
337.25,1349.0,,108.44,159.80700000000002,82.179,160.005,221.324,160.863,91.351,162.14700000000002,56.23,164.28099999999998,260.89099999999996,165.637,66.362,166.666,47.726000000000006,168.81,95.611,170.30900000000003,267.413,170.282,89.38799999999999,172.18900000000002,53.328,171.545,122.99700000000001,147.10399999999998,68.818,146.252,45.027,145.884,218.15599999999998,146.789,296.478,152.139,240.02200000000002,153.261,256.685,155.635,232.995,158.037,205.622,158.675,249.17,185.579,227.699,185.826,235.162,186.91400000000002,204.87599999999998,187.52200000000002,91.756,190.045,274.194,172.615,201.22,173.37099999999998,126.124,174.757,219.417,175.421,61.347,176.157,44.17,176.59400000000002,256.593,176.456,237.09,178.32,71.733,178.40900000000002,248.202,178.554,224.06799999999998,20.163,54.911,180.31799999999998,262.44599999999997,178.755,111.18799999999999,179.688,218.725,43.132,103.272,182.674,213.885,183.495,208.018,182.952,118.85700000000001,101.945,76.946,106.441,129.412,111.501,94.848,112.353,,,88.713,76.199,205.606,78.311,104.62,78.661,243.238,80.36,261.27299999999997,84.292,202.389,87.458,93.68299999999999,93.147,207.062,131.75,109.85600000000001,132.42600000000002,224.615,133.898,87.81299999999999,136.88299999999998,115.249,136.77100000000002,101.572,139.016,244.498,138.368,255.105,139.236,218.33599999999998,139.653,234.63,140.67,270.758,142.352,200.074,143.31799999999998,226.576,144.774,189.049,115.986,179.09900000000002,118.779,294.19,121.167,251.96599999999998,119.99600000000001,118.25200000000001,123.155,220.517,123.053,68.517,125.48700000000001,190.47099999999998,42.044,,,,,,,,,,,,,,,,,,,,,,,,,,
