TimesH,Frame,NoMissing,23,23,82,82,103,103,108,108,130,130,131,131,143,143,150,150,153,153,156,156,166,166,169,169,178,178,182,182,191,191,197,197,215,215,219,219,227,227,230,230,233,233,242,242,267,267,299,299,311,311,318,318,323,323,324,324,326,326,328,328,332,332,336,336,340,340,372,372,526,526,569,569,615,615,1088,1088,1116,1116,1296,1296,1332,1332,1361,1361,1448,1448
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
335.5,1342.0,,251.717,28.237,205.261,59.92100000000001,136.756,103.97399999999999,218.213,106.749,117.57799999999999,90.09700000000001,207.095,89.635,242.99599999999998,90.66799999999999,94.404,80.105,188.925,78.749,102.87700000000001,84.046,179.708,125.774,95.66799999999999,131.364,216.484,121.564,141.317,119.92,216.738,116.959,237.18200000000002,118.56700000000001,94.462,112.197,221.167,154.991,13.892000000000001,159.157,136.134,156.88,101.15299999999999,156.661,73.3,151.995,227.077,134.364,257.769,171.618,21.615,166.275,56.034,164.327,121.346,167.298,194.919,167.102,109.40100000000001,167.043,186.922,159.96200000000002,213.886,159.058,223.36700000000002,162.94,258.348,160.166,202.495,185.095,,,,,,,,,,,,,,,,,,
335.75,1343.0,,251.673,28.276,205.25900000000001,59.873000000000005,136.743,103.947,218.21,106.714,117.56700000000001,90.12299999999999,207.055,89.689,243.02200000000002,90.68299999999999,94.397,80.09899999999999,188.90400000000002,78.735,102.84899999999999,84.071,179.767,125.713,95.685,131.417,216.451,121.59299999999999,141.393,119.90700000000001,216.567,117.029,237.328,118.523,94.512,112.163,221.21,154.972,13.66,159.30100000000002,136.109,156.895,101.17299999999999,156.634,73.3,152.019,227.132,134.344,257.77099999999996,171.65900000000002,21.588,166.215,56.078,164.368,121.395,167.267,195.017,167.07,109.51100000000001,167.06900000000002,186.918,159.945,214.095,158.918,223.264,162.929,258.372,160.194,202.456,185.09,,,,,,,,,,,,,,,,,,
336.0,1344.0,,251.657,28.301,205.15099999999998,59.9,136.75799999999998,103.956,218.155,106.77,117.56,90.14299999999999,207.045,89.787,242.99900000000002,90.68,94.375,80.093,188.90400000000002,78.779,102.823,84.07,179.797,125.667,95.802,131.438,216.285,121.665,141.26,120.09,216.665,116.979,237.243,118.493,94.5,112.212,221.25099999999998,154.959,13.695,159.334,136.09799999999998,156.89700000000002,101.39299999999999,156.447,73.327,152.032,227.13099999999997,134.31799999999998,257.789,171.607,21.618000000000002,166.21099999999998,56.196999999999996,164.399,121.384,167.27200000000002,195.09,167.05200000000002,109.495,167.12400000000002,186.91,159.876,214.063,159.05,223.27,162.882,258.486,160.22899999999998,202.45,185.09400000000002,,,,,,,,,,,,,,,,,,
336.25,1345.0,,251.702,28.253,205.176,59.861000000000004,136.804,103.985,218.18200000000002,106.76299999999999,117.561,90.169,207.03799999999998,89.829,242.976,90.70100000000001,94.39299999999999,80.104,188.952,78.833,102.785,84.083,179.824,125.681,95.616,131.496,216.33900000000003,121.646,141.26,120.334,216.576,117.06299999999999,237.25,118.52,94.419,112.301,221.265,154.901,13.459000000000001,159.463,136.07,156.903,101.166,156.52200000000002,73.315,152.10299999999998,226.99400000000003,134.332,257.757,171.62599999999998,21.629,166.13400000000001,56.461999999999996,164.449,121.42299999999999,167.332,195.093,167.097,109.454,167.15,186.86,159.95600000000002,214.062,159.189,223.44299999999998,162.718,258.649,160.108,202.451,185.085,,,,,,,,,,,,,,,,,,
336.5,1346.0,,251.703,28.212,205.35,59.738,136.797,103.988,218.22299999999998,106.76,117.555,90.162,207.06,89.81299999999999,242.947,90.684,94.41799999999999,80.118,188.935,78.79,102.82,84.1,179.94099999999997,125.65899999999999,95.48299999999999,131.49200000000002,216.298,121.65700000000001,141.215,120.179,216.457,117.12100000000001,237.275,118.47399999999999,94.45200000000001,112.323,221.236,154.959,13.425,159.44899999999998,136.09799999999998,156.906,101.111,156.54,73.281,152.078,226.957,134.333,257.79200000000003,171.59799999999998,21.587,166.088,56.553000000000004,164.33700000000002,121.365,167.27,195.15400000000002,167.127,109.455,167.03900000000002,186.88299999999998,160.07299999999998,213.832,159.322,223.35,162.855,258.921,160.07399999999998,202.451,185.08700000000002,,,,,,,,,,,,,,,,,,
336.75,1347.0,,251.68200000000002,28.206999999999997,205.3,59.785,136.79399999999998,103.98700000000001,218.146,106.745,117.55,90.20299999999999,207.049,89.803,242.95,90.694,94.426,80.118,188.96099999999998,78.8,102.839,84.13,179.94799999999998,125.711,95.50299999999999,131.55,216.333,121.634,141.183,120.229,216.375,117.175,237.25799999999998,118.464,94.416,112.37299999999999,221.226,155.002,13.227,159.524,136.086,156.942,101.1,156.611,73.23100000000001,152.036,226.84900000000002,134.332,257.832,171.507,21.546999999999997,166.15400000000002,56.338,164.18099999999998,121.359,167.271,195.118,167.171,109.434,166.929,186.933,160.035,213.793,159.091,223.203,162.937,258.976,160.07,202.576,185.093,,,,,,,,,,,,,,,,,,
337.0,1348.0,,251.71200000000002,28.184,205.18400000000003,59.776,136.76,104.00200000000001,218.138,106.697,117.49,90.14,206.998,89.844,242.96099999999998,90.685,94.414,80.12,188.94400000000002,78.824,102.81700000000001,84.125,179.86700000000002,125.70100000000001,95.435,131.506,216.331,121.595,141.109,120.211,216.195,117.266,237.37900000000002,118.434,94.374,112.411,221.26,154.98,13.119000000000002,159.578,136.085,156.952,101.184,156.62,73.192,151.999,226.872,134.292,257.846,171.517,21.569000000000003,166.18200000000002,56.397,164.071,121.37799999999999,167.263,195.077,167.185,109.32,167.055,186.97400000000002,160.11700000000002,213.66400000000002,159.031,223.202,162.746,258.969,160.07299999999998,202.608,185.054,,,,,,,,,,,,,,,,,,
337.25,1349.0,,251.67,28.28,205.215,59.61,136.77700000000002,103.969,218.141,106.70299999999999,117.522,90.19200000000001,206.97299999999998,89.84299999999999,242.946,90.68700000000001,94.39200000000001,80.10600000000001,188.93200000000002,78.842,102.81200000000001,84.11,179.995,125.708,95.25399999999999,131.55,216.36900000000003,121.586,141.102,120.34299999999999,216.253,117.31,237.392,118.39299999999999,94.35700000000001,112.397,221.313,155.035,13.062000000000001,159.537,136.082,156.935,101.27799999999999,156.80700000000002,73.194,151.946,226.845,134.308,257.857,171.43,21.53,166.169,56.293,164.52900000000002,121.323,167.22099999999998,195.08599999999998,167.18900000000002,109.353,166.949,186.995,160.13299999999998,213.74099999999999,158.92,223.334,162.494,258.851,160.181,202.667,185.083,,,,,,,,,,,,,,,,,,
337.5,1350.0,,251.667,28.281999999999996,205.18,59.615,136.768,103.963,218.23,106.67200000000001,117.505,90.182,206.96200000000002,89.87200000000001,242.947,90.713,94.384,80.117,188.982,78.828,102.834,84.051,180.063,125.715,95.307,131.48,216.37,121.542,141.137,120.022,216.065,117.421,237.382,118.382,94.375,112.376,221.34599999999998,154.982,13.008,159.45,136.11,156.944,101.21,156.77,73.172,151.953,226.90099999999998,134.359,257.89799999999997,171.34400000000002,21.551,166.11700000000002,56.011,164.62599999999998,121.279,167.239,195.041,167.208,109.28299999999999,167.083,187.02900000000002,160.309,213.803,158.803,223.33700000000002,162.501,258.985,160.151,202.672,185.076,,,,,,,,,,,,,,,,,,
337.75,1351.0,,251.692,28.255,205.27200000000002,59.661,136.797,103.949,218.31400000000002,106.65100000000001,117.50399999999999,90.167,206.989,89.87700000000001,242.937,90.727,94.384,80.107,188.98,78.781,102.837,84.09899999999999,180.15,125.742,95.086,131.503,216.33700000000002,121.58,141.13,119.98700000000001,215.94400000000002,117.359,237.36700000000002,118.456,94.31200000000001,112.37799999999999,221.373,154.96,13.157,159.35299999999998,136.105,156.904,101.198,156.657,73.196,151.941,227.00099999999998,134.378,257.918,171.305,21.429000000000002,166.149,55.972,164.676,121.333,167.278,195.032,167.239,109.277,167.226,187.06,160.379,213.78799999999998,158.714,223.28,162.19899999999998,259.035,160.086,202.64700000000002,185.11700000000002,,,,,,,,,,,,,,,,,,
338.0,1352.0,,251.713,28.26,205.18900000000002,59.744,136.825,103.956,218.34599999999998,106.67399999999999,117.505,90.181,206.94,89.97,242.96400000000003,90.71,94.37700000000001,80.126,188.976,78.781,102.854,84.12100000000001,180.16099999999997,125.742,94.926,131.511,216.247,121.618,141.159,120.04700000000001,215.9,117.32799999999999,237.377,118.48200000000001,94.3,112.382,221.377,154.988,12.868,159.466,136.127,156.908,101.329,156.475,73.2,151.82299999999998,227.02900000000002,134.387,257.965,171.265,21.421,166.24,55.867,164.678,121.323,167.27,195.035,167.271,109.2,167.39,187.085,160.261,213.8,158.84799999999998,223.109,162.034,259.119,160.092,202.65599999999998,185.168,,,,,,,,,,,,,,,,,,
338.25,1353.0,,251.687,28.279,205.104,59.754,136.826,103.945,218.167,106.62799999999999,117.494,90.205,206.91099999999997,89.965,242.986,90.71799999999999,94.374,80.135,189.013,78.808,102.863,84.117,180.16299999999998,125.74600000000001,94.89200000000001,131.511,216.25099999999998,121.662,141.153,119.882,215.855,117.37700000000001,237.386,118.48899999999999,94.301,112.37,221.38099999999997,154.986,12.785,159.47799999999998,136.114,156.957,101.25399999999999,156.58,73.258,151.74,226.97799999999998,134.453,257.88,171.38099999999997,21.342,166.30700000000002,55.926,164.732,121.287,167.267,194.98,167.263,109.26100000000001,167.227,187.07299999999998,160.259,213.77900000000002,158.767,222.91,162.097,259.16200000000003,160.047,202.68400000000003,185.13299999999998,,,,,,,,,,,,,,,,,,
338.5,1354.0,,251.676,28.275,205.017,59.739,136.806,103.936,218.31599999999997,106.62299999999999,117.455,90.088,206.888,89.91799999999999,243.0,90.71,94.404,80.164,188.976,78.792,102.875,84.141,180.02900000000002,125.77,94.861,131.525,216.187,121.603,141.17700000000002,119.71600000000001,215.87,117.473,237.378,118.509,94.26899999999999,112.35,221.342,154.967,12.505999999999998,159.503,136.09,156.97899999999998,101.29,156.554,73.208,151.799,226.97099999999998,134.48,257.832,171.396,21.445,166.412,55.6,164.824,121.307,167.266,194.965,167.247,109.18799999999999,167.15599999999998,187.079,160.44899999999998,213.78599999999997,158.609,222.77200000000002,161.88,259.268,160.036,202.71,185.185,,,,,,,,,,,,,,,,,,
